"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수","사업자등록번호",
"11","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021199400005","1994-07-29","","01","영업/정상","11","영업","","","","","033-253-3147","","","강원특별자치도 춘천시 후평동 185-5","강원특별자치도 춘천시 후석로462번길 91 (후평동)","","(합)동춘천현대서비스","2024-08-16 09:07:19","U","2024-08-18 02:40:00","자동차 수리업","266065.511239163","487913.162622979","대기배출업소관리","자동차 수리업","5종","","8","300","8","300","2218119221",
"12","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021199200005","1992-04-08","","01","영업/정상","11","영업","","","","","0332633011","","","강원특별자치도 춘천시 남산면 광판리 307 309,1147번지","강원특별자치도 춘천시 남산면 김유정로 491-34","200-913","덕원산업(주)","2024-08-21 11:31:11","U","2024-08-23 02:40:00","레미콘 제조업","262092.001484213","472974.76407777","대기배출업소관리","레미콘 제조업","5종","레미콘","8","300","8","300","2218108909",
"13","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021199200007","1992-12-22","","01","영업/정상","11","영업","","","","","033 2611896","","","강원특별자치도 춘천시 신동면 혈동리 218-1","","","동서아스콘(주)","2025-05-14 10:25:14","U","2025-05-16 02:40:00","아스콘 제조업","262788.58697275","475067.113409687","대기배출업소관리","아스콘 제조업","4종","","8","150","8","150","2218128166",
"14","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021199300006","1993-05-21","","01","영업/정상","11","영업","","","","","0332633473","","","강원특별자치도 춘천시 남산면 광판리 461-1","강원특별자치도 춘천시 남산면 장터골길 27-7","200-913","광판1리정미소","2025-10-15 10:20:08","U","2025-10-17 02:40:00","곡물 도정업","262154.990696983","470447.833434802","대기배출업소관리","곡물 도정업","5종","","8","90","8","90","2213007117",
"15","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021199300011","1993-06-03","","01","영업/정상","11","영업","","","","","033-263-5565","","","강원특별자치도 춘천시 신동면 팔미리 101","강원특별자치도 춘천시 신동면 모오리길 31-6","200-811","모리정미소 주식회사 농업회사법인","2025-07-16 14:04:00","U","2025-07-18 02:40:00","곡물 도정업","262069.363873058","480250.222002179","대기배출업소관리","곡물 도정업","5종","","8","200","8","200","8768800104",
"16","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021200100008","2001-09-25","","01","영업/정상","11","영업","","","","","033242 2285","","","강원특별자치도 춘천시 동면 장학리 627-6","강원특별자치도 춘천시 동면 소양강로 298","","르노코리아 서비스센터 북춘천정비","2024-04-19 08:46:16","U","2024-04-21 02:40:00","자동차 수리업","265698.895363807","490348.594125294","대기배출업소관리","자동차 수리업","5종","","4","300","4","300","2212682991",
"17","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021200100012","2001-11-19","","01","영업/정상","11","영업","","","","","033257 0554","","","강원특별자치도 춘천시 효자동 590-20","강원특별자치도 춘천시 춘천로56번길 19-1 (효자동)","","효성카독크","2024-10-29 10:44:47","U","2024-10-31 02:40:00","자동차 종합 수리업","263814.021757071","485361.116808953","대기배출업소관리","자동차 종합 수리업","5종","","4","300","4","300","2210524259",
"18","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021200200001","2002-01-09","","01","영업/정상","11","영업","","","","","033 2616599","","","강원특별자치도 춘천시 남산면 창촌리 432-1","강원특별자치도 춘천시 남산면 소주고개로 388","","신원기업(주)","2025-05-07 16:15:40","U","2025-05-09 02:40:00","비금속광물제품 제조업","255656.494238071","473750.256464113","대기배출업소관리","비금속광물제품 제조업","5종","","8","224","8","224","2218112868",
"19","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021200200003","2002-02-20","","01","영업/정상","11","영업","","","","","033-261-4712","","","강원특별자치도 춘천시 남산면 창촌리 284 285번지","강원특별자치도 춘천시 남산면 둔일길 49-5 (285번지)","","(주)진양기업","2025-01-06 15:01:49","U","2025-01-08 02:40:00","","256143.188814069","474963.928747309","대기배출업소관리","","4종","","8","150","8","150","2218120524",
"20","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021200200008","2002-08-02","","01","영업/정상","11","영업","","","","","033 2542604","","","강원특별자치도 춘천시 후평동 243-1","강원특별자치도 춘천시 공단로 30 (후평동)","","동춘천 서비스 기아오토큐","2023-07-25 13:41:24","U","2023-07-27 02:40:00","자동차 수리업","265892.915166064","487608.496866468","대기배출업소관리","자동차 수리업","5종","","4","300","4","300","2210366084",
"21","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021198700002","1987-11-06","","01","영업/정상","11","영업","","","","","033 261 4581","","","강원특별자치도 춘천시 퇴계동 49-3","강원특별자치도 춘천시 퇴계공단길 49-7 (퇴계동)","","유덕레미콘(주)","2025-02-19 11:35:16","U","2025-02-21 02:40:00","레미콘 제조업","264810.071158761","482740.842042473","대기배출업소관리","레미콘 제조업","4종","레미콘","8","200","8","200","2218103317",
"22","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021200700005","2007-10-18","","01","영업/정상","11","영업","","","","","0332622841","","","강원특별자치도 춘천시 동산면 군자리 13-3 외 12필지","","","유진기업(주)춘천","2021-03-21 17:29:13","I","2023-06-13 00:00:00","레미콘 제조업","267252.028277186","475559.550211108","대기배출업소관리","레미콘 제조업","5종","레미콘","8","250","8","250","2218510776",
"23","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021200800001","2008-03-24","","01","영업/정상","11","영업","","","","","033-261-8181","","","강원특별자치도 춘천시 신동면 팔미리 562-5","강원특별자치도 춘천시 신동면 한치로 799","","(주)일흥제재소","2018-11-26 17:48:14","I","2023-06-13 00:00:00","일반 제재업","261122.117479129","478351.773371361","대기배출업소관리","일반 제재업","5종","목재","8","300","8","300","2218141247",
"24","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021200800002","2008-05-19","","01","영업/정상","11","영업","","","","","0332539366","","","강원특별자치도 춘천시 동내면 거두리 1153","강원특별자치도 춘천시 동내면 거두단지2길 60","","일동후디스 주식회사","2025-05-08 11:04:46","U","2025-05-10 02:40:00","음·식료품 제조업","268830.238891791","485195.41388557","대기배출업소관리","음·식료품 제조업","2종","아기밀,건양밀","24","365","24","365","1358105649",
"25","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021200900003","2009-08-11","","01","영업/정상","11","영업","","","","","0332648333","","","강원특별자치도 춘천시 동내면 신촌리 570-1","강원특별자치도 춘천시 동내면 동내로 57","","남춘천서비스기아오토큐(주)","2024-04-30 09:55:53","U","2024-05-02 02:40:00","자동차 종합 수리업","266735.007339181","483213.307264443","대기배출업소관리","자동차 종합 수리업","5종","","7","300","7","300","2218139019",
"26","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021200900002","2009-08-06","","01","영업/정상","11","영업","","","","","033-262-2777","","","강원특별자치도 춘천시 남산면 수동리 427-7","강원특별자치도 춘천시 남산면 한치로 228-2","","춘천모터스","2023-12-06 13:55:10","U","2023-12-08 02:40:00","자동차 종합 수리업","257630.46071611","475531.565719668","대기배출업소관리","자동차 종합 수리업","5종","","8","300","8","300","2218139848",
"27","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021201000004","2010-11-03","","01","영업/정상","11","영업","","","","","0332586500","","","강원특별자치도 춘천시 동내면 거두리 1144","강원특별자치도 춘천시 동내면 거두단지1길 39","","(주)애드바이오텍","2025-10-21 15:23:07","U","2025-10-23 02:40:00","연구 및 개발업","268610.125364766","485398.610453281","대기배출업소관리","연구 및 개발업","4종","","8","300","8","300","2158193416",
"28","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021201000003","2010-10-08","","01","영업/정상","11","영업","","","","","0332647330","","","강원특별자치도 춘천시 동산면 군자리 728-4","강원특별자치도 춘천시 동산면 종자리로 515","200-841","강원아스콘 주식회사","2024-10-29 11:12:26","U","2024-10-31 02:40:00","아스콘 제조업","266676.957338903","473596.355670956","대기배출업소관리","아스콘 제조업","4종","아스콘","8","180","8","180","7358702105",
"29","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021201200001","2012-01-02","","01","영업/정상","11","영업","","","","","2547501","","","강원특별자치도 춘천시 동면 장학리 849","강원특별자치도 춘천시 동면 공단로70번길 20-6","","정석자동차정비","2023-12-06 14:13:36","U","2023-12-08 02:40:00","자동차 종합 수리업","266040.033167534","488063.215064715","대기배출업소관리","자동차 종합 수리업","5종","","4","296","4","296","2211219263",
"30","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021201200004","2012-06-19","","01","영업/정상","11","영업","","","","","033-254-2360","","","강원특별자치도 춘천시 동면 장학리 42-1","강원특별자치도 춘천시 동면 노루목길 8-16","","신화정비공장","2024-10-29 10:50:34","U","2024-10-31 02:40:00","자동차 종합 수리업","267673.258138992","488824.131959165","대기배출업소관리","자동차 종합 수리업","5종","","6","300","6","300","2212913078",
"31","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021198800003","1988-09-07","","01","영업/정상","11","영업","","","","","0332518801","","","강원특별자치도 춘천시 근화동 524","강원특별자치도 춘천시 영서로 2497 (근화동)","200-931","쌍용레미콘(주)춘천사업소","2025-05-26 17:54:28","U","2025-05-28 02:40:00","","262517.525143634","486900.506676263","대기배출업소관리","","5종","","10","300","10","300","2218517309",
"32","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021200300005","2003-12-08","","01","영업/정상","11","영업","","","","","0332449035","","","강원특별자치도 춘천시 신북읍 지내리 518","강원특별자치도 춘천시 신북읍 지내고탄로 199-34","","(주)대한산업","2025-06-26 15:27:33","U","2025-06-28 02:40:00","도장및기타피막처리업","263992.400227683","494291.996809619","대기배출업소관리","도장및기타피막처리업","5종","","8","300","8","300","2218106556",
"33","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021200600001","2006-04-05","","01","영업/정상","11","영업","","","","","033-261-0869","","","강원특별자치도 춘천시 남산면 방곡리 53 53-5","강원특별자치도 춘천시 남산면 풀무골길 123 (53-5)","","강촌숯가마","2023-11-23 11:29:00","U","2023-11-25 02:40:00","","257443.966736513","477762.240959358","대기배출업소관리","","4종","","24","360","24","360","1494700673",
"34","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021200700002","2007-01-26","","01","영업/정상","11","영업","","","","","0332444117","","","강원특별자치도 춘천시 동면 장학리 753-6","강원특별자치도 춘천시 동면 소양강로 192","200-853","오토자동차정비공업사","2024-10-29 10:49:25","U","2024-10-31 02:40:00","자동차 수리업","265966.631576875","489345.741698197","대기배출업소관리","자동차 수리업","5종","소형정비업","7","300","7","300","1790200498",
"35","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021200700003","2007-05-03","","01","영업/정상","11","영업","","","","","0332548526","","","강원특별자치도 춘천시 근화동 492-1 493-5,547-6번지","강원특별자치도 춘천시 공지로 549 (근화동)","200-931","대명1급자동차정비공장","2023-06-16 17:30:23","U","2023-06-18 02:40:00","자동차 종합 수리업","262845.612087262","486761.884494933","대기배출업소관리","자동차 종합 수리업","5종","","6","300","6","300","2210944501",
"36","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021199400007","1994-05-04","","01","영업/정상","11","영업","","","","","0332558252","","","강원특별자치도 춘천시 동내면 학곡리 4-12","강원특별자치도 춘천시 동내면 순환대로 648","","신춘천자동차정비공장","2024-10-29 11:00:34","U","2024-10-31 02:40:00","자동차 종합 수리업","267149.766024601","482258.164011952","대기배출업소관리","자동차 종합 수리업","5종","","5","300","3","300","2212598744",
"37","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021201200006","2012-08-09","","01","영업/정상","11","영업","","","","","033-257-2757","","","강원특별자치도 춘천시 삼천동 769","강원특별자치도 춘천시 옛경춘로 739 (삼천동)","","(주)한국지엠춘천서비스센터","2025-01-03 17:49:06","U","2025-01-05 02:40:00","자동차 종합 수리업","262108.905419308","484776.052696132","대기배출업소관리","자동차 종합 수리업","5종","","8","300","8","300","5178800340",
"38","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021201300002","2013-04-15","","01","영업/정상","11","영업","","","","","0332648800","","","강원특별자치도 춘천시 동내면 거두리 468","강원특별자치도 춘천시 동내면 거두길 160","","광진자동차정비공장","2025-03-28 17:55:00","U","2025-03-30 02:40:00","자동차 종합 수리업","268143.820460638","484500.043915308","대기배출업소관리","자동차 종합 수리업","5종","","8","300","8","300","2211277846",
"39","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021201300001","2013-03-28","","01","영업/정상","11","영업","","","","","0332690740","","","강원특별자치도 춘천시 동내면 거두리 1152","강원특별자치도 춘천시 동내면 거두단지2길 55","200-883","(주)일화 춘천GMP공장","2025-04-09 17:55:38","U","2025-04-11 02:40:00","인삼식품 제조업","268710.68763737","485128.415621145","대기배출업소관리","인삼식품 제조업","4종","정제, 캅셀제","8","300","8","300","1328101004",
"40","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021201300004","2013-09-17","","01","영업/정상","11","영업","","","","","033-815-2009","","","강원특별자치도 춘천시 퇴계동 866","강원특별자치도 춘천시 퇴계공단길 72 (퇴계동)","24427","(주)에프엠지","2024-10-23 09:47:25","U","2024-10-25 02:40:00","화장품 제조업","264997.255063046","482527.844509136","대기배출업소관리","화장품 제조업","4종","","13","250","13","250","2218119973",
"41","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021201500022","2015-12-18","","01","영업/정상","11","영업","","","","","033-240-6297","","","","강원특별자치도 춘천시 백령로 15 (효자동, 강원지방병무청)","24342","강원지방병무청","2024-11-26 16:17:58","U","2024-11-28 02:40:00","공공행정, 국방 및 사회보장 행정","264724.970869134","485095.099377436","대기배출업소관리","공공행정, 국방 및 사회보장 행정","5종","","4","150","4","150","2218300110",
"42","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021201500023","2015-12-18","","01","영업/정상","11","영업","","","","","033-240-5000","","","강원특별자치도 춘천시 교동 153","강원특별자치도 춘천시 삭주로 77 (교동, 춘천성심병원)","24253","한림대학교부속춘천성심병원","2025-01-22 15:20:12","U","2025-01-24 02:40:00","종합 병원","264995.790705309","487048.050495199","대기배출업소관리","종합 병원","4종","","18","365","18","365","2218203051",
"43","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021201500007","2015-11-03","","01","영업/정상","11","영업","","","","","033-264-7304","","","강원특별자치도 춘천시 석사동 산 29-3 춘천국민체육센터","강원특별자치도 춘천시 우석로 102-3, 춘천국민체육센터 (석사동)","24327","춘천도시공사 국민체육센터","2022-12-23 15:37:55","I","2023-06-13 00:00:00","사회서비스 관리 행정","","","대기배출업소관리","사회서비스 관리 행정","4종","문화체육시설 관리","14","365","14","365","2218214276",
"44","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021199900002","1999-10-02","","01","영업/정상","11","영업","","","","","0332631900","","","강원특별자치도 춘천시 퇴계동 135","강원특별자치도 춘천시 김유정로 1822 (퇴계동)","","푸른1급정비공장","2023-12-06 13:30:38","U","2023-12-08 02:40:00","자동차 수리업","264514.695938948","483227.799874503","대기배출업소관리","자동차 수리업","5종","","2.5","301","2.5","301","2210757695",
"45","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021200200004","2002-05-08","","01","영업/정상","11","영업","","","","","033263 9922","","","강원특별자치도 춘천시 동내면 학곡리 591","강원특별자치도 춘천시 동내면 학곡동2길 6","","학곡리정비공장","2025-07-30 18:11:56","U","2025-08-01 02:40:00","자동차 수리업","266833.156481834","481890.131301744","대기배출업소관리","자동차 수리업","5종","","2.5","300","2","300","2210445960",
"46","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021199200006","1992-10-20","","01","영업/정상","11","영업","","","","","0332517795","","","강원특별자치도 춘천시 동면 장학리 844-9","강원특별자치도 춘천시 동면 공단로70번길 20-3","","(주)동부자동차공업사","2024-10-29 10:52:36","U","2024-10-31 02:40:00","자동차 수리업","266020.786326818","488094.573683992","대기배출업소관리","자동차 수리업","5종","","7","300","5","300","2218114319",
"47","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021199400009","1994-05-30","","01","영업/정상","11","영업","","","","","0332436859","","","강원특별자치도 춘천시 사북면 고성리 566-1","강원특별자치도 춘천시 사북면 도장골길 41-5","","주식회사 대한기업","2024-05-10 17:27:18","U","2024-05-12 02:40:00","일반철물 제조업","262397.18800951","499054.923628716","대기배출업소관리","일반철물 제조업","5종","","8","180","8","180","2218140404",
"48","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021199400010","1994-07-22","","01","영업/정상","11","영업","","","","","033-372-5017","","","강원특별자치도 춘천시 남산면 창촌리 300-1","강원특별자치도 춘천시 남산면 보매기길 87","200-911","푸른곡산(주)","2024-10-29 10:55:12","U","2024-10-31 02:40:00","곡물 도정업","256165.216772284","476018.340037227","대기배출업소관리","곡물 도정업","4종","","9","300","9","300","2218106916",
"49","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021199400011","1994-08-31","","01","영업/정상","11","영업","","","","","0332518628","","","강원특별자치도 춘천시 동면 장학리 786-80 외 10필지","강원특별자치도 춘천시 동면 하일길 215-4","24210","북춘천현대서비스","2024-02-28 10:50:25","U","2024-03-01 02:40:00","자동차 종합 수리업","266104.077916101","489242.949844905","대기배출업소관리","자동차 종합 수리업","5종","","10","300","6","300","2210339836",
"50","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021199500003","1995-04-10","","01","영업/정상","11","영업","","","","","0332627471","","","강원특별자치도 춘천시 남산면 수동리 611","강원특별자치도 춘천시 남산면 추곡고개길 341","","(주)유덕산업","2024-10-29 10:53:43","U","2024-10-31 02:40:00","","256575.73001006","474125.584245349","대기배출업소관리","","5종","","10","275","10","275","2218144356",
"51","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021201300007","2013-12-05","","01","영업/정상","11","영업","","","","","0332613011","","","강원특별자치도 춘천시 신동면 증리 1051-4","강원특별자치도 춘천시 신동면 김유정로 1577","200-812","(주)강남일급정비공장","2025-07-22 16:24:01","U","2025-07-24 02:40:00","자동차 수리업","263819.968744925","480960.389225678","대기배출업소관리","자동차 수리업","5종","자동차정비","3","300","3","300","2218145035",
"52","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021199000010","1990-01-12","","01","영업/정상","11","영업","","","","","0332611891","","","강원특별자치도 춘천시 신동면 혈동리 219-1","강원특별자치도 춘천시 신동면 김유정로 791","200-812","동서레미콘(주)","2024-06-18 20:33:56","U","2024-06-20 02:40:00","","262742.356015916","474970.499150172","대기배출업소관리","","5종","","8","279","8","279","2218103700",
"53","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021199000011","1990-02-07","","01","영업/정상","11","영업","","","","","033-261-4711","","","강원특별자치도 춘천시 남산면 창촌리 285, 285-1","","","동서진흥주식회사","2024-10-29 10:54:32","U","2024-10-31 02:40:00","레미콘 제조업","","","대기배출업소관리","레미콘 제조업","5종","","8","300","8","300","2218128244",
"54","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021199000012","1990-08-17","","01","영업/정상","11","영업","","","","","033-262-0454","","","강원특별자치도 춘천시 신동면 혈동리 65-1","","","삼호건설(주)아스콘 춘천지점","2024-06-27 16:42:33","U","2024-06-29 02:40:00","아스콘 제조업","","","대기배출업소관리","아스콘 제조업","3종","아스콘","8","150","8","150","2218500448",
"55","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021199100008","1991-11-12","","01","영업/정상","11","영업","","","","","033-263-7761","","","강원특별자치도 춘천시 동산면 군자리 728-4","강원특별자치도 춘천시 동산면 종자리로 515","","동산콘크리트(주)","2024-08-21 11:27:33","U","2024-08-23 02:40:00","콘크리트, 시멘트 및 플라스터 제품 제조업","266676.957338903","473596.355670956","대기배출업소관리","콘크리트, 시멘트 및 플라스터 제품 제조업","5종","수로관","8","280","8","280","2218139815",
"56","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021199100009","2006-08-10","","01","영업/정상","11","영업","","","","","0332643111","","","강원특별자치도 춘천시 동산면 군자리 728-12","","","신우레미콘(주)","2025-01-24 17:07:31","U","2025-01-26 02:40:00","레미콘 제조업","266715.581455816","473671.875315403","대기배출업소관리","레미콘 제조업","5종","레미콘","8","260","8","260","2218133238",
"57","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021199800004","1998-07-04","","01","영업/정상","11","영업","","","","","033-264-7876","","","강원특별자치도 춘천시 서면 당림리 403-17","강원특별자치도 춘천시 서면 당숲안길 35","200-832","주식회사 아이제이","2023-12-07 16:04:05","U","2023-12-09 02:40:00","일반 제재업","253169.355992557","481525.339594702","대기배출업소관리","일반 제재업","5종","","8","254","8","254","1258609740",
"58","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021200200005","2002-06-04","","01","영업/정상","11","영업","","","","","033-254-4300","","","강원특별자치도 춘천시 퇴계동 1190","강원특별자치도 춘천시 우묵길 50 (퇴계동)","200-943","케이지모빌리티춘천서비스센터 주식회사","2024-06-18 20:38:04","U","2024-06-20 02:40:00","자동차 수리업","263489.620996373","484989.366348108","대기배출업소관리","자동차 수리업","4종","","2","237","2","237","2218139547",
"59","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021201500035","2016-01-04","","01","영업/정상","11","영업","","","","","033-248-1193","","","","강원특별자치도 춘천시 한림대학길 1 (옥천동, 한림대학교)","24252","한림대학교","2025-10-21 14:11:09","U","2025-10-23 02:40:00","대학교","264602.141926602","487386.633309595","대기배출업소관리","대학교","4종","","8","365","8","365","2218205646",
"60","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021200000010","2000-10-05","","01","영업/정상","11","영업","","","","","0332415225","","","강원특별자치도 춘천시 석사동 166-7","강원특별자치도 춘천시 영서로 1925-17 (석사동)","24416","성영자동차공업사","2025-09-05 18:02:21","U","2025-09-07 02:40:00","자동차 수리업","266340.690871574","482906.597291575","대기배출업소관리","자동차 수리업","5종","소형정비","3","300","3","300","2211315890",
"61","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021201500037","2016-01-06","","01","영업/정상","11","영업","","","","","033-261-9919","","","","강원특별자치도 춘천시 공지로 111 (석사동, 석사신우아파트 )","24389","신우수영장","2023-12-19 16:09:36","U","2023-12-21 02:40:00","수영장 운영업","265628.056819471","484040.280563305","대기배출업소관리","수영장 운영업","5종","","6","360","","0","2211044526",
