"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","법인구분명","구분명",
"11","유료직업소개소","11_50_02_P","4181000","2000418001611500003","2000-05-29","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 운교동 137-72 2층","강원특별자치도 춘천시 동부시장길 3, 2층 (운교동)","24350","대우종합인력","2024-11-20 13:10:40","U","2024-11-22 02:40:00","","264477.030464785","486262.185284689","개인","유료",
"12","유료직업소개소","11_50_02_P","4181000","2001418001611500003","2001-10-29","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 효자동 310-14 1층","강원특별자치도 춘천시 공지로 266, 1층 (효자동)","24342","매일인력","2024-12-30 10:43:08","U","2025-01-03 02:40:00","","264622.179541327","485026.528638022","개인","유료",
"13","유료직업소개소","11_50_02_P","4181000","2002418001611500004","2002-03-22","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 후평동 728-7 1층","강원특별자치도 춘천시 춘천로 338, 1층 (후평동)","24297","가나인력","2024-11-20 13:09:29","U","2024-11-22 02:40:00","","265839.834074312","487043.552374744","개인","유료",
"14","유료직업소개소","11_50_02_P","4181000","2002418001611500009","2002-11-06","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 효자동 655번지 7호","강원특별자치도 춘천시 춘천로 184-1 (효자동)","24329","천마인력","2024-11-20 13:08:53","U","2024-11-22 02:40:00","","264569.339908493","486225.626980008","개인","유료",
"15","유료직업소개소","11_50_02_P","4181000","2012418022914500005","2012-08-03","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 석사동 666-9 지하층","강원특별자치도 춘천시 후석로46번길 15, 지하층 (석사동)","24387","성진인력","2024-11-20 13:04:53","U","2024-11-22 02:40:00","","265341.344629742","484188.065467333","개인","유료",
"16","유료직업소개소","11_50_02_P","4181000","2014418022914500001","2014-01-08","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 후평동 728번지 6호","강원특별자치도 춘천시 후석로 401 (후평동)","24251","춘천전우인력","2024-11-20 13:04:05","U","2024-11-22 02:40:00","","265845.620744745","487058.848509263","개인","유료",
"17","유료직업소개소","11_50_02_P","4181000","2014418022914500002","2014-01-27","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 근화동 722번지 4호","강원특별자치도 춘천시 중앙로 170 (근화동)","200-931","강원인력","2024-11-20 13:03:17","U","2024-11-22 02:40:00","","262957.221282804","486059.720016585","개인","유료",
"18","유료직업소개소","11_50_02_P","4181000","2014418027714500001","2014-08-12","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 효자동 684번지","강원특별자치도 춘천시 춘천로 74 (효자동)","200-954","춘천인력","2024-11-20 13:02:29","U","2024-11-22 02:40:00","","263744.788062997","485601.723422743","개인","유료",
"19","유료직업소개소","11_50_02_P","4181000","2019418031914500007","2019-07-01","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 요선동 14번지 18호 2층","강원특별자치도 춘천시 서부대성로44번길 19-2, 2층 (요선동)","24272","춘천직업소개소","2024-11-20 12:58:47","U","2024-11-22 02:40:00","","263911.978733876","486795.526898234","개인","유료",
"20","유료직업소개소","11_50_02_P","4181000","2019418034914500004","2019-11-28","","01","영업/정상","20","영업중","","","","","033 252 9019","","","강원특별자치도 춘천시 효자동 615-1","강원특별자치도 춘천시 서부대성로 201, 3층 (효자동)","24295","(주)드림캐쳐","2025-09-24 16:04:25","U","2025-09-26 02:40:00","","265127.834310982","486025.699382494","법인","유료",
"21","유료직업소개소","11_50_02_P","4181000","2019418034914500005","2019-12-10","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 석사동 705-7 102호","강원특별자치도 춘천시 벌말길47번길 31-1, 102호 (석사동)","24383","엠디에이치알","2024-11-20 12:56:40","U","2024-11-22 02:40:00","","265002.424536665","484563.886739303","개인","유료",
"22","유료직업소개소","11_50_02_P","4181000","2019418034914500006","2019-12-11","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 후평동 687번지 16호 2층","강원특별자치도 춘천시 춘천로 290, 2층 (후평동)","24277","신화인력","2024-11-20 12:56:08","U","2024-11-22 02:40:00","","265499.556174706","486711.522616673","개인","유료",
"23","유료직업소개소","11_50_02_P","4181000","2019418034914500007","2019-12-13","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 운교동 183 동부시장현대아파트 2층 204호","강원특별자치도 춘천시 동부시장길 8, 2층 204호 (운교동, 동부시장현대아파트)","24350","가자인력","2024-12-30 10:43:35","U","2025-01-03 02:40:00","","264518.245047485","486328.376714699","개인","유료",
"24","유료직업소개소","11_50_02_P","4181000","2020418034914500002","2020-02-20","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 석사동 292번지 1호 1층 상가 좌측","강원특별자치도 춘천시 공지로 98, 1층 (석사동)","24327","개미인력개발(춘천)","2024-11-20 12:54:42","U","2024-11-22 02:40:00","","265869.501946195","483951.300406893","개인","유료",
"25","유료직업소개소","11_50_02_P","4181000","2022418034914500006","2022-09-14","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 후평동 721-18 1층","강원특별자치도 춘천시 춘천로 359, 1층 (후평동)","24234","대양인력","2024-11-20 12:45:36","U","2024-11-22 02:40:00","","265874.80282893","487263.80949514","개인","유료",
"26","유료직업소개소","11_50_02_P","4181000","2022418039414500001","2022-12-02","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 퇴계동 529-1 3층 301호","강원특별자치도 춘천시 안마산로 110, 3층 301호 (퇴계동)","24455","엠브이피파트너스 맨파워","2024-11-20 12:44:42","U","2024-11-22 02:40:00","","263913.65863414","483730.035744869","개인","유료",
"27","유료직업소개소","11_50_02_P","4181000","2023418039414500001","2023-01-25","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 소양로3가 183-7 2층","강원특별자치도 춘천시 금강로 12, 2층 (소양로3가)","24273","금강인력개발","2024-11-20 12:43:48","U","2024-11-22 02:40:00","","263596.540602045","486846.90839153","개인","유료",
"28","유료직업소개소","11_50_02_P","4181000","2023418039414500005","2023-02-27","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 동내면 사암리 1293-70","강원특별자치도 춘천시 동내면 학곡동2길 57","24408","국제인력","2024-11-20 11:50:26","U","2024-11-22 02:40:00","","267156.829609113","482205.623318903","개인","유료",
"29","유료직업소개소","11_50_02_P","4181000","2023418039414500007","2023-05-10","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 석사동 492-8 1층","강원특별자치도 춘천시 후석로 60, 1층 (석사동)","24387","탑인력","2024-11-20 11:49:43","U","2024-11-22 02:40:00","","265326.080211268","484349.305261941","개인","유료",
"30","유료직업소개소","11_50_02_P","4181000","2023418039414500008","2023-05-30","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 효자동 663 1층","강원특별자치도 춘천시 효자로 101-3, 1층 (효자동)","24336","태양인력","2023-06-01 10:37:58","I","2023-06-13 00:00:00","","264419.277785778","485726.075117934","개인","유료",
"31","유료직업소개소","11_50_02_P","4181000","2023418039414500009","2023-06-02","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 소양로2가 173-1","강원특별자치도 춘천시 소양로 148, 2층 (소양로2가)","24269","88인력","2024-11-20 11:48:22","U","2024-11-22 02:40:00","","263655.831015453","487323.369869407","개인","유료",
"32","유료직업소개소","11_50_02_P","4181000","1998418001611500001","1998-12-23","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 후평동 866 금호빌리지 상가동 208호","강원특별자치도 춘천시 후만로 119, 상가동 2층 208호 (후평동, 금호빌리지)","24301","경우인력","2024-11-20 13:12:30","U","2024-11-22 02:40:00","","266533.315377313","486448.910650528","개인","유료",
"33","유료직업소개소","11_50_02_P","4181000","1999418001611500002","1999-07-14","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 효자동 705-11 2층","강원특별자치도 춘천시 남춘로45번길 16-1, 2층 (효자동)","24372","개미인력","2024-12-30 10:12:25","U","2025-01-03 02:40:00","","264240.272648604","485049.274633857","개인","유료",
"34","유료직업소개소","11_50_02_P","4181000","2007418016611500003","2007-06-13","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 교동 150번지 4호","강원특별자치도 춘천시 삭주로 39 (교동)","24264","인산간병인","2024-11-20 13:08:20","U","2024-11-22 02:40:00","","264629.33822982","486874.788902687","개인","유료",
"35","유료직업소개소","11_50_02_P","4181000","2007418016611500004","2007-07-10","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 석사동 697-1","강원특별자치도 춘천시 벌말길 89 (석사동)","200-180","동원간병복지센터","2024-11-20 13:07:31","U","2024-11-22 02:40:00","","265200.523560603","484567.905477241","개인","유료",
"36","유료직업소개소","11_50_02_P","4181000","2010418016614500004","2010-02-11","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 후평1동 855번지 3호","강원특별자치도 춘천시 삭주로 98 (후평동)","","(주)약손간병","2024-11-20 13:15:45","U","2024-11-22 02:40:00","","265178.419702144","487029.538293149","법인","유료",
"37","유료직업소개소","11_50_02_P","4181000","2010418016614500008","2010-08-17","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 동면 장학리 7통 1반 춘천장학엘에이치1단지 101동 203호","강원특별자치도 춘천시 후만로 37, 상가동 204호 (후평동, 주공6단지아파트)","24281","노아인력","2024-11-20 13:06:25","U","2024-11-22 02:40:00","","265726.30589084","486074.183143946","개인","유료",
"38","유료직업소개소","11_50_02_P","4181000","2011418016614500006","2011-08-08","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 퇴계동 1160번지 4호","강원특별자치도 춘천시 퇴계로 5 (퇴계동)","24367","합동인력","2024-11-20 13:05:27","U","2024-11-22 02:40:00","","263534.328575049","485172.80318052","개인","유료",
"39","유료직업소개소","11_50_02_P","4181000","2009418016614500003","2009-04-27","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 효자동 672번지 8호","강원특별자치도 춘천시 공지로 338, 1층 (효자동)","24337","경동인력","2024-11-20 13:07:02","U","2024-11-22 02:40:00","","264068.159757679","485466.367974162","개인","유료",
"40","유료직업소개소","11_50_02_P","4181000","2024418108314500011","2024-10-23","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 후평동 873-5","강원특별자치도 춘천시 후만로126번길 16, 1층 (후평동)","24307","신호인력","2024-10-23 16:27:23","I","2024-10-25 00:12:21","","266680.210378259","486224.177370323","개인","유료",
"41","유료직업소개소","11_50_02_P","4181000","2024418108314500009","2024-09-23","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 석사동 640-5","강원특별자치도 춘천시 후석로 71, 1층 (석사동)","24383","가가인력","2024-09-23 12:48:09","I","2024-09-25 00:13:02","","265380.20742142","484469.601691721","개인","유료",
"42","유료직업소개소","11_50_02_P","4181000","2024418108314500008","2021-06-22","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 퇴계동 945 상가동 4호","강원특별자치도 춘천시 안마산로 216, 상가동 2층 4호 (퇴계동)","24424","케이플래그","2024-08-14 17:28:55","U","2024-08-17 02:40:00","","193616.796239252","446333.482649997","개인","유료",
"43","유료직업소개소","11_50_02_P","4181000","2024418108314500006","2024-05-10","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 소양로2가 1-64","강원특별자치도 춘천시 모수물길 64-2, 2층 (소양로2가)","24249","황소인력","2024-05-10 11:13:23","I","2024-05-12 00:14:54","","263783.935784977","487634.750349472","개인","유료",
"44","유료직업소개소","11_50_02_P","4181000","2024418108314500005","2024-03-14","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 효자동 622-4","강원특별자치도 춘천시 백령로 153, 3층 (효자동)","24295","명성간병인전문센터","2024-11-20 11:44:06","U","2024-11-22 02:40:00","","265328.220040744","486127.969107428","개인","유료",
"45","유료직업소개소","11_50_02_P","4181000","2024418108314500003","2024-02-19","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 교동 156","강원특별자치도 춘천시 삭주로 78 (교동)","24258","한림간병인","2024-11-20 11:44:49","U","2024-11-22 02:40:00","","264976.695379224","487008.173438314","개인","유료",
"46","유료직업소개소","11_50_02_P","4181000","2024418108314500001","2024-01-29","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 운교동 168-5","강원특별자치도 춘천시 금강로 99, 2층 (운교동)","24352","동양인력","2024-02-14 10:15:04","U","2024-02-16 02:40:00","","264252.076575243","486291.660891059","개인","유료",
"47","유료직업소개소","11_50_02_P","4181000","2025418108314500003","2025-09-02","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 효자동 5통 2반 101호","","","거성인력","2025-09-02 13:41:11","I","2025-09-04 00:20:07","","","","개인","유료",
"48","유료직업소개소","11_50_02_P","4181000","2025418108314500004","2025-09-30","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 동면 장학리 997-6","강원특별자치도 춘천시 동면 춘천로449번길 26-4, 1층","24209","365간병센터","2025-09-30 14:41:45","I","2025-10-02 00:20:02","","266330.077657417","488245.932997495","개인","유료",
"49","유료직업소개소","11_50_02_P","4181000","2025418108314500002","2025-06-20","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 효자동 641-6","강원특별자치도 춘천시 춘천로 199, 5층 501호 (효자동)","24260","호반산업인력개발","2025-06-20 14:35:23","I","2025-06-22 00:20:17","","264702.174234341","486310.528026106","개인","유료",
"50","유료직업소개소","11_50_02_P","4181000","2023418108314500005","2023-10-23","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 온의동 529-3","강원특별자치도 춘천시 충혼길 32, 1층 (온의동)","24436","SM HR컨설팅","2025-10-16 16:10:24","U","2025-10-18 02:40:00","","263407.244440319","484571.463092399","개인","유료",
"51","유료직업소개소","11_50_02_P","4181000","2023418108314500002","2023-09-21","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 온의동 542-2 302-3호","강원특별자치도 춘천시 충혼길52번길 10, 3층 302-3호 (온의동)","24437","World language education & Job","2024-11-20 11:47:40","U","2024-11-22 02:40:00","","263250.540593552","484452.409041204","개인","유료",
"52","유료직업소개소","11_50_02_P","4181000","2023418108314500003","2023-09-21","","01","영업/정상","20","영업중","","","","","033 264 5437","","","강원특별자치도 춘천시 석사동 428-3 1층","강원특별자치도 춘천시 후석로 74, 1층 (석사동)","24387","제일인력","2023-10-12 17:56:05","U","2023-10-14 02:40:00","","265424.762951809","484438.502963737","개인","유료",
"53","유료직업소개소","11_50_02_P","4181000","2023418108314500004","2020-03-18","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 효자동 665-1 2층","강원특별자치도 춘천시 효자로 108, 2층 (효자동)","24339","브솔인력개발","2024-11-20 12:53:59","U","2024-11-22 02:40:00","","264494.543101277","485774.132808806","개인","유료",
"54","유료직업소개소","11_50_02_P","4181000","2025418108314500001","2025-02-10","","01","영업/정상","20","영업중","","","","","033 244 7577","","","강원특별자치도 춘천시 온의동 601 춘천 센트럴타워 푸르지오 프리미엄몰 1242호","강원특별자치도 춘천시 방송길 77, 프리미엄몰 1242호 (온의동, 춘천 센트럴타워 푸르지오)","24363","돌볼케어","2025-02-10 17:19:33","I","2025-02-12 00:11:06","","263345.431242431","485397.525389929","개인","유료",
"55","유료직업소개소","11_50_02_P","4181000","2004418001611500009","2004-06-18","","03","폐업","40","폐업","2009-03-25","","","","","","","강원특별자치도 춘천시 근화동 799번지 4호 21통 2반","강원특별자치도 춘천시 당간지주길74번길 11 (근화동)","","춘천인력","2009-03-25 15:56:58","I","2023-06-13 00:00:00","","263621.906366922","487894.707166141","개인","유료",
"56","유료직업소개소","11_50_02_P","4181000","2004418001611500010","2004-06-30","","03","폐업","40","폐업","2007-09-17","","","","","","","강원특별자치도 춘천시 동내면 거두리 939번지 3호 5통 5반 부영아파트 202 803","강원특별자치도 춘천시 동내면 춘천순환로94번길 14, 202동 803호 (부영아파트)","","대림인력개발","2007-09-17 15:33:12","I","2023-06-13 00:00:00","","266315.912591812","483826.236456111","개인","유료",
"57","유료직업소개소","11_50_02_P","4181000","2004418001611500011","2004-07-23","","03","폐업","40","폐업","2023-08-16","","","","033 256 0404","","","강원특별자치도 춘천시 동내면 신촌리 382-3 103호","강원특별자치도 춘천시 동내면 향군길 22, 1층 3호","24407","굿모닝인력","2023-08-24 10:11:40","U","2023-08-26 02:40:00","","267176.192994058","483053.824036599","개인","유료",
"58","유료직업소개소","11_50_02_P","4181000","2004418001611500012","2004-10-25","","03","폐업","40","폐업","2010-09-27","","","","","","","강원특별자치도 춘천시 석사동 665호 13통 2반","강원특별자치도 춘천시 후석로 48 (석사동)","","대흥인력","2010-09-27 11:50:47","I","2023-06-13 00:00:00","","265260.328469522","484261.220079641","개인","유료",
"59","유료직업소개소","11_50_02_P","4181000","2005418001611500001","2005-01-11","","03","폐업","40","폐업","2014-07-24","","","","","","","강원특별자치도 춘천시 약사동 158번지 5호 9통 4반 도화연립 B 206","강원특별자치도 춘천시 근화길15번길 63, B동 206호 (약사동,도화연립)","","교차로인력","2014-07-24 16:37:17","I","2023-06-13 00:00:00","","263451.022988289","485717.617639938","개인","유료",
"60","유료직업소개소","11_50_02_P","4181000","2005418001611500002","2005-02-25","","03","폐업","40","폐업","","","","","","","","강원특별자치도 춘천시 근화동 722번지 5호 7통 4반","강원특별자치도 춘천시 중앙로 168-1 (근화동)","","잡파크","2006-02-09 09:51:16","I","2023-06-13 00:00:00","","262974.604257317","486059.067180222","개인","유료",
"61","유료직업소개소","11_50_02_P","4181000","2005418001611500003","2005-06-24","","03","폐업","40","폐업","","","","","","","","강원특별자치도 춘천시 퇴계동 879번지 4호 7통 2반","강원특별자치도 춘천시 공원2길 14-1 (퇴계동)","","토림인력","2005-12-15 13:35:05","I","2023-06-13 00:00:00","","263624.613483601","484509.253473824","개인","유료",
"62","유료직업소개소","11_50_02_P","4181000","2005418001611500004","2005-06-24","","03","폐업","40","폐업","","","","","","","","강원특별자치도 춘천시 효자동 547번지 42호","강원특별자치도 춘천시 효자상길 8-8 (효자동)","","하나기획","2006-01-13 15:53:13","I","2023-06-13 00:00:00","","263878.328785118","485742.107261966","개인","유료",
"63","유료직업소개소","11_50_02_P","4181000","2005418001611500005","2005-07-15","","03","폐업","40","폐업","","","","","","","","강원특별자치도 춘천시 신북읍 지내리 251번지 3호 2통 2반","강원특별자치도 춘천시 신북읍 성문2길 39","","강원골프","2005-08-22 13:37:41","I","2023-06-13 00:00:00","","263498.429562042","495840.275339795","개인","유료",
"64","유료직업소개소","11_50_02_P","4181000","2015418027714500004","2015-05-06","","03","폐업","40","폐업","2018-11-08","","","","","","","강원특별자치도 춘천시 동내면 거두리 982번지 7호","강원특별자치도 춘천시 동내면 춘천순환로72번길 52","200-883","황소인력","2018-11-09 17:55:18","I","2023-06-13 00:00:00","","266319.774548","483498.38678919","개인","유료",
"65","유료직업소개소","11_50_02_P","4181000","2015418027714500005","2015-05-06","","03","폐업","40","폐업","2021-05-01","","","","","","","강원특별자치도 춘천시 중앙로2가 58번지 1호","강원특별자치도 춘천시 중앙로 86-1, 3층 (중앙로2가)","200-042","성모 간병인협회","2021-05-03 13:56:14","I","2023-06-13 00:00:00","","263693.075429934","486424.181707512","개인","유료",
"66","유료직업소개소","11_50_02_P","4181000","2015418027714500006","2015-07-02","","03","폐업","40","폐업","2019-11-30","","","","","","","강원특별자치도 춘천시 효자동 709번지 13호","강원특별자치도 춘천시 춘천로 223, 2층 (효자동)","24259","오케이인력","2019-11-29 09:50:13","I","2023-06-13 00:00:00","","264433.224646455","485118.073182246","개인","유료",
"67","유료직업소개소","11_50_02_P","4181000","2015418027714500007","2015-08-11","","03","폐업","40","폐업","2016-05-30","","","","","","","강원특별자치도 춘천시 효자동 700번지 5호","강원특별자치도 춘천시 공지로 322, 1층 (효자동)","24338","제일인력","2016-05-30 17:46:14","I","2023-06-13 00:00:00","","264193.80169967","485376.817936581","개인","유료",
"68","유료직업소개소","11_50_02_P","4181000","2015418027714500008","2015-09-24","","03","폐업","40","폐업","2016-07-25","","","","","","","","강원특별자치도 춘천시 사우로 67 (사농동)","24222","예맥인력","2016-07-25 16:31:37","I","2023-06-13 00:00:00","","264316.760426104","489685.794145536","개인","유료",
"69","유료직업소개소","11_50_02_P","4181000","2015418027714500009","2015-12-01","","03","폐업","40","폐업","2018-07-06","","","","","","","강원특별자치도 춘천시 후평동 711번지 24호","강원특별자치도 춘천시 삭주로 134-1 (후평동)","24254","이삭인력","2018-07-09 09:27:13","I","2023-06-13 00:00:00","","265507.865990489","487215.708488289","개인","유료",
"70","유료직업소개소","11_50_02_P","4181000","2015418027714500010","2015-12-28","","03","폐업","40","폐업","2018-04-17","","","","033 242 6211","","","강원특별자치도 춘천시 후평동 678번지 22호","강원특별자치도 춘천시 춘천로 268 (후평동)","24292","지비엔플러스 인력","2018-04-25 09:22:23","I","2023-06-13 00:00:00","","265311.795407215","486610.645164671","개인","유료",
"71","유료직업소개소","11_50_02_P","4181000","2016418027714500003","2016-02-17","","03","폐업","40","폐업","2020-12-14","","","","033 252 7337","","","","강원특별자치도 춘천시 낙원길 37 (낙원동)","24273","독도파출부소개소","2020-12-15 09:18:55","I","2023-06-13 00:00:00","","263800.717402969","486587.92092839","개인","유료",
"72","유료직업소개소","11_50_02_P","4181000","2005418001611500006","2005-08-05","","03","폐업","40","폐업","","","","","","","","강원특별자치도 춘천시 후평동 855번지 7호 19통 1반","강원특별자치도 춘천시 후석로393번길 46 (후평동)","","여성인력소개소","2006-10-31 10:21:31","I","2023-06-13 00:00:00","","265220.666696777","487016.709140534","개인","유료",
"73","유료직업소개소","11_50_02_P","4181000","2005418001611500007","2005-10-25","","03","폐업","40","폐업","2007-09-14","","","","","","","강원특별자치도 춘천시 퇴계동 1025호 58통 2반 퇴계(7)주공아파트 708 906","강원특별자치도 춘천시 승지골길16번길 14, 708동 906호 (퇴계동,퇴계(7)주공아파트)","","W.F.C","2007-09-14 17:09:11","I","2023-06-13 00:00:00","","265216.501704429","483129.096440038","개인","유료",
"74","유료직업소개소","11_50_02_P","4181000","2005418001611500008","2005-11-14","","03","폐업","40","폐업","2009-02-26","","","","","","","강원특별자치도 춘천시 퇴계동 916호 33통 1반 현대2차아파트 204 901","강원특별자치도 춘천시 행촌로 14, 204동 901호 (퇴계동,현대2차아파트)","","조은 간병인","2009-02-26 17:13:30","I","2023-06-13 00:00:00","","263621.120421684","484144.713945217","개인","유료",
"75","유료직업소개소","11_50_02_P","4181000","2005418001611500009","2005-12-20","","03","폐업","40","폐업","2022-07-14","","","","033 256 7959","","","강원특별자치도 춘천시 근화동 285번지 17호 8통 3반","강원특별자치도 춘천시 공지로451번길 9 (근화동)","","황금인력","2022-07-14 11:10:34","I","2023-06-13 00:00:00","","263036.402386034","485871.664916185","개인","유료",
"76","유료직업소개소","11_50_02_P","4181000","2006418015511500001","2006-07-18","","03","폐업","40","폐업","2012-07-12","","","","033 264 9216","","","강원특별자치도 춘천시 퇴계동 424번지 16호 4통 5반   101","강원특별자치도 춘천시 미나리길11번길 5-1, 101호 (퇴계동)","","파워인력","2012-07-13 10:08:18","I","2023-06-13 00:00:00","","264047.894708229","484343.453601441","개인","유료",
