"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","수리대상 의료기기의 유형","다른 겸업 여부","총규모","영업규모",
"29","의료기기수리업","01_02_02_P","4191000","PHMG320134190023047400002","2013-02-26","","03","폐업","03","폐업","2022-12-31","","","","033-765-3134","","220-932","강원특별자치도 원주시 개운동 520번지","강원특별자치도 원주시 치악로 1732-48 (개운동)","26444","원주프라임덴탈","2023-01-17 14:48:32","I","2023-06-13 00:00:00","","285037.372911297","426650.239901549","","","","",
"30","의료기기수리업","01_02_02_P","4191000","PHMG320134190023047400005","2013-02-26","","03","폐업","03","폐업","2019-09-02","","","","","","220-939","강원특별자치도 원주시 단계동 888번지 7호","강원특별자치도 원주시 이화5길 31 (단계동)","26382","(주)메디피아","2019-09-30 14:44:56","I","2023-06-13 00:00:00","","282477.405747568","427018.880915741","","","","",
"31","의료기기수리업","01_02_02_P","4191000","PHMG320144190023047400002","2014-05-08","","03","폐업","03","폐업","2015-12-31","","","","033-748-3788","","","","강원특별자치도 원주시 무실로 213 (단계동)","26479","베이비시티(주)","2021-05-24 13:07:46","I","2023-06-13 00:00:00","","283018.103711137","426748.683257323","","","","",
"32","의료기기수리업","01_02_02_P","4191000","PHMG320164190023047400007","2016-11-14","","03","폐업","03","폐업","2018-01-05","","","","","","","","강원특별자치도 원주시 건강로 21, 4층 (반곡동, 조은빌딩)","26464","국민건강보험원주보장구센터","2018-01-08 10:15:51","I","2023-06-13 00:00:00","","287481.178446511","425295.566203516","","","","",
"33","의료기기수리업","01_02_02_P","4191000","PHMG320184190023047400002","2018-11-13","","03","폐업","03","폐업","2019-03-07","","","","033-734-0017","","","강원특별자치도 원주시 학성동 315번지 4호","강원특별자치도 원주시 충정길 36 (학성동)","26415","(주)예원","2021-07-16 17:10:27","I","2023-06-13 00:00:00","","283774.726100066","428449.4022472","","","","",
"34","의료기기수리업","01_02_02_P","4191000","PHMG320234191050047400001","2023-07-27","","01","영업/정상","13","영업중","","","","","033-747-0105","","","강원특별자치도 원주시 반곡동 1901-1","강원특별자치도 원주시 양지로 70, 508호 (반곡동)","26462","주식회사 하모니메디케어","2023-07-28 11:44:52","I","2023-07-30 00:18:45","","287297.976055779","425500.777714415","","","","",
"35","의료기기수리업","01_02_02_P","4191000","PHMG320194190023047400001","2019-01-22","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 판부면 서곡리 1986번지 1호 101호","강원특별자치도 원주시 판부면 매봉길 1, 101호","26399","신성메디칼","2019-01-28 11:27:18","I","2023-06-13 00:00:00","","283393.923397805","424840.366139881","","","","",
"36","의료기기수리업","01_02_02_P","4191000","PHMG320054190023047400001","2005-07-29","","01","영업/정상","13","영업중","","","","","033-748-8820","","","강원특별자치도 원주시 태장동 1363번지","강원특별자치도 원주시 북원여중길 16 (태장동)","26316","(주)명은헬스케어","2019-10-18 10:14:17","I","2023-06-13 00:00:00","","284033.677622685","432028.309547797","","","","",
"37","의료기기수리업","01_02_02_P","4191000","PHMG320114190023047400001","2011-10-31","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 문막읍 동화리 1647-1","강원특별자치도 원주시 문막읍 동화공단로 130-1","26365","(주)씨유메디칼시스템","2021-05-06 17:24:16","I","2023-06-13 00:00:00","","274138.861051817","426239.682386931","","","","",
"38","의료기기수리업","01_02_02_P","4191000","PHMG320134190023047400001","2013-02-26","","01","영업/정상","13","영업중","","","","","","","220-931","강원특별자치도 원주시 개운동 402번지 18호","강원특별자치도 원주시 개운4길 14-1 (개운동)","26444","한강메디칼코리아","2013-02-26 13:34:28","I","2023-06-13 00:00:00","","284961.057474238","426905.765519527","","","","",
"39","의료기기수리업","01_02_02_P","4191000","PHMG320134190023047400004","2013-02-26","","01","영업/정상","13","영업중","","","","","033-746-8639","","","강원특별자치도 원주시 단구동 1604-1 신성미소지움아파트","강원특별자치도 원주시 나비허리길 57-1, 신성미소지움아파트 2층 (단구동)","26490","위니아서비스원주점","2023-01-11 16:58:59","I","2023-06-13 00:00:00","","284998.107032385","425050.496775289","","","","",
"40","의료기기수리업","01_02_02_P","4191000","PHMG320144190023047400001","2014-06-20","","01","영업/정상","13","영업중","","","","","0337316868","","","","강원특별자치도 원주시 문막읍 원문로 2170","26361","문막밧데리 할인매장","2014-06-30 16:06:19","I","2023-06-13 00:00:00","","270395.859270932","422037.019128919","","","","",
"41","의료기기수리업","01_02_02_P","4191000","PHMG320144190023047400003","2014-04-01","","01","영업/정상","13","영업중","","","","","033-901-2886","","","","강원특별자치도 원주시 원일로 142 (일산동)","26427","딜라이트보청기 원주점","2015-08-03 14:56:29","I","2023-06-13 00:00:00","","283879.930433847","428154.964919009","","","","",
"42","의료기기수리업","01_02_02_P","4191000","PHMG320154190023047400001","2015-07-24","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 관설동 1716번지 6호","강원특별자치도 원주시 단관초교길 30-5, 101호 (관설동)","26472","청백의료기","2016-05-02 11:58:24","I","2023-06-13 00:00:00","","285327.538680588","424224.657570322","","","","",
"43","의료기기수리업","01_02_02_P","4191000","PHMG320164190023047400001","2016-04-28","","01","영업/정상","13","영업중","","","","","070-4616-5089","","","강원특별자치도 원주시 태장동 1720번지 26호 원주의료기기산업기술단지 1동 109호","강원특별자치도 원주시 태장공단길 42-10, 원주의료기기산업기술단지 1동 109호 (태장동)","26311","주식회사가포생활건강","2019-11-19 09:15:05","I","2023-06-13 00:00:00","","284054.839907546","434219.573818976","","","","",
"44","의료기기수리업","01_02_02_P","4191000","PHMG320164190023047400002","2016-03-10","","01","영업/정상","13","영업중","","","","","033-732-4818","","","강원특별자치도 원주시 학성동 978-21","강원특별자치도 원주시 북원로 2376, 3층 (학성동)","26413","엘지전자(주) 원주서비스센터","2024-03-26 09:41:55","U","2024-03-28 02:40:00","","282947.858396457","428735.609135469","","","","",
"45","의료기기수리업","01_02_02_P","4191000","PHMG320204190023047400003","2020-12-15","","01","영업/정상","13","영업중","","","","","033-732-9081","","","강원특별자치도 원주시 무실동 1857-1 304호","강원특별자치도 원주시 능라동길 65, 304호 (무실동)","26392","원주서비스","2020-12-21 13:38:29","I","2023-06-13 00:00:00","","282412.949162386","426126.146047135","","","","",
"46","의료기기수리업","01_02_02_P","4191000","PHMG320214190023047400002","2021-06-17","","01","영업/정상","13","영업중","","","","","02-1600-7091","","","강원특별자치도 원주시 지정면 신평리 1080","강원특별자치도 원주시 지정면 신평로 20","26348","(주)아이벡스메디칼시스템즈","2023-08-16 13:47:49","U","2023-08-18 02:40:00","","278752.678623533","430649.357057692","","","","",
"47","의료기기수리업","01_02_02_P","4191000","PHMG320234190023047400001","2023-04-04","","01","영업/정상","13","영업중","","","","","033-766-6954","","","강원특별자치도 원주시 관설동 1673-1","강원특별자치도 원주시 라옹정길 71, 2호 (관설동)","26471","누리젠","2023-04-10 09:58:39","I","2023-06-13 00:00:00","","285024.449874955","424743.01122821","","","","",
"48","의료기기수리업","01_02_02_P","4191000","PHMG320164190023047400003","2016-04-11","","01","영업/정상","13","영업중","","","","","1644-5866","","","강원특별자치도 원주시 문막읍 1660번지 2호","강원특별자치도 원주시 문막읍 동화공단로 107","26365","(주)굿플","2016-05-02 13:47:00","I","2023-06-13 00:00:00","","274245.483386841","426086.435031911","","","","",
"49","의료기기수리업","01_02_02_P","4191000","PHMG320164190023047400004","2016-06-01","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 원동 241번지 25호","강원특별자치도 원주시 무실로43번길 24 (원동)","26432","케어존-동부지점","2016-06-02 09:15:45","I","2023-06-13 00:00:00","","283983.453677817","427435.866651786","","","","",
"50","의료기기수리업","01_02_02_P","4191000","PHMG320164190023047400005","2016-06-01","","01","영업/정상","13","영업중","","","","","033-742-5282","","","강원특별자치도 원주시 학성동 327-2","강원특별자치도 원주시 평원로 107, 1층 (학성동)","26415","대림","2021-04-09 17:00:32","I","2023-06-13 00:00:00","","283904.150630792","428375.574364094","","","","",
"51","의료기기수리업","01_02_02_P","4191000","PHMG320164190023047400006","2016-06-27","","01","영업/정상","13","영업중","","","","","","","","","강원특별자치도 원주시 판부면 오성마을길 37-7","26400","㈜대세엠.케어","2016-06-27 11:54:36","I","2023-06-13 00:00:00","","284196.315071066","424483.15857269","","","","",
"52","의료기기수리업","01_02_02_P","4191000","PHMG320164190023047400008","2016-11-23","","01","영업/정상","13","영업중","","","","","","","","","강원특별자치도 원주시 태장공단길 42-10, 1동 207호 (태장동, 원주의료기기산업기술단지)","26311","(주)엘칸","2017-04-06 09:33:33","I","2023-06-13 00:00:00","","284054.839907546","434219.573818976","","","","",
"53","의료기기수리업","01_02_02_P","4191000","PHMG320164190023047400009","2016-12-28","","01","영업/정상","13","영업중","","","","","","","","","강원특별자치도 원주시 관설안길 9-7 (관설동)","26472","피앤피메디칼","2016-12-28 14:15:36","I","2023-06-13 00:00:00","","285203.66290001","424455.359189498","","","","",
"54","의료기기수리업","01_02_02_P","4191000","PHMG320164190023047400010","2016-12-28","","01","영업/정상","13","영업중","","","","","","","","","강원특별자치도 원주시 소방서길 40-1 (명륜동)","26482","원주장애인보장구센터","2016-12-28 14:16:50","I","2023-06-13 00:00:00","","283571.970434234","425606.260475012","","","","",
"55","의료기기수리업","01_02_02_P","4191000","PHMG320174190023047400001","2017-02-10","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 반곡동 1926-6","강원특별자치도 원주시 웅비3길 4 (반곡동)","26462","엠앤디","2023-04-21 16:09:19","I","2023-06-13 00:00:00","","287444.320696544","425626.607815719","","","","",
"56","의료기기수리업","01_02_02_P","4191000","PHMG320174190023047400002","2017-03-07","","01","영업/정상","13","영업중","","","","","033-764-7644","","","강원특별자치도 원주시 문막읍 건등리 1488번지","강원특별자치도 원주시 문막읍 원문로 1660","26371","한신메디칼원주","2020-04-13 17:31:35","I","2023-06-13 00:00:00","","273385.205578369","424262.690564613","","","","",
"57","의료기기수리업","01_02_02_P","4191000","PHMG320184190023047400001","2018-02-21","","01","영업/정상","13","영업중","","","","","033-765-9497","","","강원특별자치도 원주시 지정면 가곡리 1325번지 의료기기종합지원센터 510호","강원특별자치도 원주시 지정면 기업도시로 200, 의료기기종합지원센터 5층 510호","26354","(주)보우메디텍","2019-04-07 16:44:44","I","2023-06-13 00:00:00","","277350.791712766","430306.972224638","","","","",
"58","의료기기수리업","01_02_02_P","4191000","PHMG320184190023047400003","2018-06-12","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 지정면 가곡리 1325번지 의료기기종합지원센터","강원특별자치도 원주시 지정면 기업도시로 200, 의료기기종합지원센터 605호","26354","(주)메디타임","2021-07-16 16:52:29","I","2023-06-13 00:00:00","","277350.791712766","430306.972224638","","","","",
"59","의료기기수리업","01_02_02_P","4191000","PHMG320194190023047400002","2019-08-19","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 명륜동 395번지","강원특별자치도 원주시 남원로527번길 82-4, 1층 (명륜동)","26480","원주장애인보장구판매수리센터","2019-08-22 13:56:50","I","2023-06-13 00:00:00","","283434.807240698","426288.85425881","","","","",
"60","의료기기수리업","01_02_02_P","4191000","PHMG320194190023047400003","2019-10-07","","01","영업/정상","13","영업중","","","","","033-766-6955","","","강원특별자치도 원주시 관설동 1673번지 1호","강원특별자치도 원주시 라옹정길 71 (관설동)","26471","(주)아이포커스","2023-03-31 17:52:52","I","2023-06-13 00:00:00","","285024.449874955","424743.01122821","","","","",
"61","의료기기수리업","01_02_02_P","4191000","PHMG320204190023047400001","2020-04-16","","01","영업/정상","13","영업중","","","","","033-761-9948","","","강원특별자치도 원주시 단구동 1550번지 1호","강원특별자치도 원주시 천매봉길 36-22, 202호 (단구동)","26483","주식회사 리드메디칼","2020-04-23 14:14:15","I","2023-06-13 00:00:00","","283550.019671907","425070.26290751","","","","",
"62","의료기기수리업","01_02_02_P","4191000","PHMG320204190023047400002","2020-06-08","","01","영업/정상","13","영업중","","","","","033-733-7330","","","강원특별자치도 원주시 문막읍 동화리 1647번지 2호","강원특별자치도 원주시 문막읍 동화공단로 110-1","26365","(주)메가메디칼","2020-06-11 11:40:03","I","2023-06-13 00:00:00","","274260.917554617","426241.388420929","","","","",
"63","의료기기수리업","01_02_02_P","4191000","PHMG320134191050047400001","2013-07-11","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 흥업면 흥업리 586-7","강원특별자치도 원주시 흥업면 남원로 72","26403","덴마크보청기(연세의료기)","2024-04-18 09:13:46","I","2024-04-21 00:14:59","","281514.031842148","422665.247669895","","","","",
"64","의료기기수리업","01_02_02_P","4191000","PHMG320254191050047400002","2025-05-26","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 단구동 519-3","강원특별자치도 원주시 치악로1735번길 57, 101호 (단구동)","26446","시나브로 MC","2025-05-27 19:13:26","I","2025-05-29 00:20:10","","284540.568256152","426191.826236869","","","","",
"65","의료기기수리업","01_02_02_P","4191000","PHMG320234191050047400002","2023-11-28","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 판부면 서곡리 107-2","강원특별자치도 원주시 판부면 내남송길 131-16","26401","백세의료기","2024-06-24 11:45:48","U","2024-06-26 02:40:00","","283985.126118929","423307.163457915","","","","",
"66","의료기기수리업","01_02_02_P","4191000","PHMG320254191050047400001","2025-01-13","","01","영업/정상","13","영업중","","","","","033-747-0165","","","강원특별자치도 원주시 반곡동 1901-1","강원특별자치도 원주시 양지로 70, 서영에비뉴파크 3차 508호 (반곡동)","26462","(주)하모니메디칼시스템즈","2025-01-14 16:17:38","I","2025-01-16 00:11:11","","287297.976055779","425500.777714415","","","","",
"67","의료기기수리업","01_02_02_P","4191000","PHMG320244191050047400001","2024-12-02","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 중앙동 60-13","강원특별자치도 원주시 원일로 114, 201호 (중앙동)","26428","시그니아 보청기 원주점","2024-12-04 10:25:42","I","2024-12-06 00:11:59","","283990.118216079","427970.085692733","","","","",
"68","의료기기수리업","01_02_02_P","4201000","PHMG320094200028047400001","2009-08-04","","03","폐업","03","폐업","2014-01-16","","","","033-653-5506","","","강원특별자치도 강릉시 포남동 1069-27","강원특별자치도 강릉시 강릉대로457번길 21 (포남동)","25485","위니아서비스 강릉점","2021-01-19 14:18:35","I","2023-06-13 00:00:00","","368309.798504914","476457.190075262","","","","",
"69","의료기기수리업","01_02_02_P","4201000","PHMG320114200028047400003","2011-03-09","","03","폐업","03","폐업","2012-04-06","","","","033-641-3002","","","강원특별자치도 강릉시 포남동 1171-14","강원특별자치도 강릉시 경강로 2279 (포남동)","25571","원강메디텍","2021-01-19 14:12:42","I","2023-06-13 00:00:00","","368316.978425146","475518.832948554","","","","",
"70","의료기기수리업","01_02_02_P","4201000","PHMG320114200028047400001","2011-01-26","","01","영업/정상","13","영업중","","","","","033-651-8899","","","강원특별자치도 강릉시 포남동 1077-8","강원특별자치도 강릉시 강릉대로419번길 22 (포남동)","25478","연서메디칼","2021-01-19 13:54:56","I","2023-06-13 00:00:00","","368091.815472142","476212.45648293","","","","",
"71","의료기기수리업","01_02_02_P","4201000","PHMG320114200028047400002","2011-02-22","","01","영업/정상","13","영업중","","","","","033-644-8858","","","강원특별자치도 강릉시 옥천동 330","강원특별자치도 강릉시 옥가로50번길 1 (옥천동)","25552","가나의료기","2021-01-19 13:57:15","I","2023-06-13 00:00:00","","367388.120014165","474853.707457734","","","","",
"72","의료기기수리업","01_02_02_P","4201000","PHMG320114200028047400004","2011-06-15","","01","영업/정상","13","영업중","","","","","033-655-2037","","","강원특별자치도 강릉시 포남동 1117-9","강원특별자치도 강릉시 강릉대로 329-3 (포남동)","25492","아시아방사선","2021-01-19 14:25:11","I","2023-06-13 00:00:00","","367640.648516694","475375.686051535","","","","",
"73","의료기기수리업","01_02_02_P","4201000","PHMG320124200028047400001","2012-04-04","","01","영업/정상","13","영업중","","","","","033-641-8452","","","강원특별자치도 강릉시 포남동 1165-2","강원특별자치도 강릉시 강릉대로 378 (포남동)","25545","파나소닉 강릉서비스","2021-01-19 14:08:59","I","2023-06-13 00:00:00","","368017.47529188","475683.014656046","","","","",
"74","의료기기수리업","01_02_02_P","4201000","PHMG320134200028047400001","2013-01-07","","01","영업/정상","13","영업중","","","","","033-655-1311","","","강원특별자치도 강릉시 남문동 116-1","강원특별자치도 강릉시 남문길 15 (남문동)","25538","대양의료기","2021-01-19 14:47:49","I","2023-06-13 00:00:00","","366763.492471169","473677.682189902","","","","",
"75","의료기기수리업","01_02_02_P","4201000","PHMG320144200028047400001","2014-09-01","","01","영업/정상","13","영업중","","","","","033-645-1311","","","강원특별자치도 강릉시 옥천동 154-9","강원특별자치도 강릉시 옥가로 13 (옥천동)","25551","나눔의료기","2021-01-19 14:29:31","I","2023-06-13 00:00:00","","367274.383777915","474497.533868566","","","","",
