"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"14","썰매장업","10_39_01_P","4201000","CDFH3301092002000001","2002-01-08","","03","폐업","03","폐업","2016-10-11","","","","","","210-290","강원특별자치도 강릉시 병산동 243-2","강원특별자치도 강릉시 두산길 156-7 (병산동)","25574","공항눈썰매장","2016-10-12 09:42:18","I","2023-06-13 00:00:00","","370686.794848256","475523.125804468","썰매장업","사립","Y","0","0","0","0","","",
"15","썰매장업","10_39_01_P","4201000","CDFH3301091999000001","1999-12-27","","03","폐업","03","폐업","2020-12-17","","","","641-2622","","210-340","강원특별자치도 강릉시 대전동 169-0","강원특별자치도 강릉시 동해대로3456번길 14 (대전동)","25463","태장봉눈썰매장","2020-12-17 16:44:09","I","2023-06-13 00:00:00","","363863.643218578","478632.485036476","썰매장업","사립","","0","0","0","0","","",
"16","썰매장업","10_39_01_P","4221000","CDFH3301091995000001","1995-12-22","","03","폐업","03","폐업","2020-04-02","","","","033-553-5647","","235-030","강원특별자치도 태백시 소도동 산 68-1","강원특별자치도 태백시 천제단길 187 (소도동)","","태백산눈썰매장","2020-04-02 15:41:48","I","2023-06-13 00:00:00","","373562.856652411","403678.642420907","썰매장업","사립","","0","1","294","0","","",
"17","썰매장업","10_39_01_P","4221000","CDFH3301091995000002","1995-05-15","","03","폐업","03","폐업","2003-08-11","","","","553-2791","","235-220","강원특별자치도 태백시 백산동 4통3반","","","백산동눈썰매장","2004-04-13 16:26:24","I","2023-06-13 00:00:00","","","","썰매장업","사립","0","0","0","8430","0","","",
"18","썰매장업","10_39_01_P","4221000","CDFH3301092016000001","2016-12-16","","03","폐업","03","폐업","2017-12-07","","","","","","","","강원특별자치도 태백시 서학로 861 (황지동, 오투리조트)","26010","O2눈썰매장","2017-12-07 11:31:40","I","2023-06-13 00:00:00","","","","썰매장업","사립","","0","0","0","0","","",
"19","썰매장업","10_39_01_P","4221000","CDFH3301092011000001","2011-01-05","","01","영업/정상","13","영업중","","","","","033-581-2400","","235-290","강원특별자치도 태백시 동점동 372","강원특별자치도 태백시 사군드리길 240 (동점동)","","태백레이싱파크(주)","2014-11-06 15:34:39","I","2023-06-13 00:00:00","","379607.794642313","399864.85578202","썰매장업","사립","","0","0","0","0","","",
"20","썰매장업","10_39_01_P","4221000","CDFH3301092011000002","2011-03-25","","01","영업/정상","13","영업중","","","","","033-552-4852","","235-010","강원특별자치도 태백시 황지동 산 176-23 오투눈썰매장","강원특별자치도 태백시 서학로 861 (황지동, 오투눈썰매장)","26010","오투눈썰매장","2016-11-25 16:32:50","I","2023-06-13 00:00:00","","","","썰매장업","사립","","0","0","0","0","","",
"21","썰매장업","10_39_01_P","4241000","CDFH3301092005000001","2005-12-30","","03","폐업","03","폐업","2006-02-28","","","","576-0111","","245-821","강원특별자치도 삼척시 미로면 내미로리 26-4","","","내미로 눈썰매장","2006-12-26 17:34:23","I","2023-06-13 00:00:00","","384137.842447239","439544.563903922","썰매장업","사립","0","0","0","0","0","","",
"22","썰매장업","10_39_01_P","4241000","CDFH3301092006000001","2006-12-22","","03","폐업","03","폐업","2007-03-20","","","","033-572-2053","","245-821","강원특별자치도 삼척시 미로면 내미로리 26-4","","","내미로눈썰매장","2007-03-20 13:44:19","I","2023-06-13 00:00:00","","384137.842447239","439544.563903922","썰매장업","사립","1","0","0","0","0","","",
"23","썰매장업","10_39_01_P","4241000","CDFH3301092007000001","2007-12-20","","03","폐업","03","폐업","2008-03-10","","","","573-9960","","245-821","강원특별자치도 삼척시 미로면 내미로리 26-4","","","내미로 눈썰매장","2008-03-10 09:18:55","I","2023-06-13 00:00:00","","384137.842447239","439544.563903922","썰매장업","사립","1","0","0","0","0","","",
"24","썰매장업","10_39_01_P","4241000","CDFH3301092022000001","2022-12-21","","03","폐업","03","폐업","2023-02-21","","","","033-550-7788","","","강원특별자치도 삼척시 도계읍 심포리 231-3 하이원추추파크","강원특별자치도 삼척시 도계읍 심포남길 99, 하이원추추파크","25952","(주)하이원 추추파크","2023-02-24 13:40:54","I","2023-06-13 00:00:00","","","","썰매장업","사립","","0","0","0","0","","",
"25","썰매장업","10_39_01_P","4241000","CDFH3301092014000001","2014-09-19","","01","영업/정상","13","영업중","","","","","573-0562","","245-100","강원특별자치도 삼척시 증산동 1","강원특별자치도 삼척시 수로부인길 333 (증산동)","25909","이사부사자공원 사계절썰매장","2014-09-19 16:43:11","I","2023-06-13 00:00:00","","390982.275429255","443616.413202298","썰매장업","사립","","0","0","880.5","0","","",
"26","썰매장업","10_39_01_P","4241000","CDFH3301092008000001","2008-12-19","","04","취소/말소/만료/정지/중지","35","직권말소","2021-11-18","","","","033-573-9960","","245-821","강원특별자치도 삼척시 미로면 내미로리 26-4","","","내미로눈썰매장","2021-11-18 13:29:43","I","2023-06-13 00:00:00","","384137.842447239","439544.563903922","썰매장업","사립","","0","0","0","0","","",
"27","썰매장업","10_39_01_P","4251000","CDFH3301092008000001","2008-01-08","","02","휴업","02","휴업","","2009-11-28","2010-11-30","","033-435-2002","","250-883","강원특별자치도 홍천군 북방면 소매곡리 산 35-10","","","(주)홍천레저개발 눈썰매장","2010-02-11 18:32:37","I","2023-06-13 00:00:00","","273678.553551058","466114.784440444","썰매장업","사립","","0","0","0","0","","",
"28","썰매장업","10_39_01_P","4251000","CDFH3301091995000001","1995-11-30","","03","폐업","03","폐업","2020-12-31","","","","436-6113","","250-831","강원특별자치도 홍천군 서석면 검산리 522","강원특별자치도 홍천군 서석면 검산길 147-19","","모둘자리눈썰매장","2020-12-31 11:25:44","I","2023-06-13 00:00:00","","308417.239430455","468359.377991187","썰매장업","사립","0","0","0","0","0","","",
"29","썰매장업","10_39_01_P","4251000","CDFH3301091999000001","1999-04-28","","03","폐업","03","폐업","2014-03-07","","","","434-8311","","250-856","강원특별자치도 홍천군 서면 팔봉리 산 125-16","강원특별자치도 홍천군 서면 한치골길 262","","대명비발디파크물보라썰매장","2014-03-07 16:37:09","I","2023-06-13 00:00:00","","260639.34235408","460468.652029598","썰매장업","사립","0","0","0","0","0","","",
"30","썰매장업","10_39_01_P","4251000","CDFH3301092003000001","2003-07-05","","03","폐업","03","폐업","2018-10-23","","","","434-8311","","250-856","강원특별자치도 홍천군 서면 팔봉리 산 125-16","강원특별자치도 홍천군 서면 한치골길 262","","대명비발디파크눈썰매장","2018-10-23 09:01:06","I","2023-06-13 00:00:00","","260639.34235408","460468.652029598","썰매장업","사립","0","0","0","0","0","","",
"31","썰매장업","10_39_01_P","4251000","CDFH3301092020000001","2020-04-29","","03","폐업","03","폐업","2024-01-11","","","","033-439-8432","","","강원특별자치도 홍천군 서면 팔봉리 1289 대명비발디파크","강원특별자치도 홍천군 서면 한치골길 264, 대명비발디파크","25102","비발디파크 레일썰매","2024-01-11 17:09:19","U","2024-01-13 02:40:00","","260132.088814104","460528.355366015","썰매장업","사립","","0","0","0","0","","",
"32","썰매장업","10_39_01_P","4251000","CDFH3301092017000001","2017-12-12","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 홍천군 서면 팔봉리 1289 대명비발디파크","강원특별자치도 홍천군 서면 한치골길 264","25102","스노위랜드","2025-05-09 10:53:47","U","2025-05-11 02:40:00","","260132.088814104","460528.355366015","썰매장업","사립","Y","0","0","0","0","","",
"33","썰매장업","10_39_01_P","4251000","CDFH3301092018000001","2018-07-25","","01","영업/정상","13","영업중","","","","","033-434-1080","","","강원특별자치도 홍천군 두촌면 철정리 34-5 가람밸리리조트","강원특별자치도 홍천군 두촌면 부채들길 29, 가람밸리리조트","25164","너의아지트사계절썰매장","2025-05-08 16:17:32","U","2025-05-10 02:40:00","","289563.84589679","482007.611456378","썰매장업","사립","Y","0","0","0","0","","",
"34","썰매장업","10_39_01_P","4261000","CDFH3301092004000001","2004-12-30","","01","영업/정상","13","영업중","","","","","033)340-3000","","225-834","강원특별자치도 횡성군 둔내면 두원리 204","강원특별자치도 횡성군 둔내면 고원로 451","","웰리힐리눈썰매장","2021-12-15 16:28:15","I","2023-06-13 00:00:00","","310506.755038668","443916.785022628","썰매장업","사립","Y","0","0","0","0","","",
"35","썰매장업","10_39_01_P","4281000","CDFH3301092014000001","2014-12-23","","03","폐업","03","폐업","2015-10-31","","","","033-339-0568","","232-951","강원특별자치도 평창군 대관령면 용산리 425","강원특별자치도 평창군 대관령면 솔봉로 325","25351","사계절 튜브 썰매장","2016-12-08 17:20:21","I","2023-06-13 00:00:00","","345786.815844836","462590.554819645","썰매장업","사립","","0","0","0","0","","",
"36","썰매장업","10_39_01_P","4281000","CDFH3301092018000002","2018-06-29","","03","폐업","03","폐업","2019-03-28","","","","","","","강원특별자치도 평창군 대관령면 용산리 130 용평리조트","강원특별자치도 평창군 대관령면 올림픽로 715, 용평리조트","25352","(주)씨앤에스이벤트 루지코리아","2019-03-28 15:10:06","I","2023-06-13 00:00:00","","348259.144297804","461699.273918606","썰매장업","사립","Y","0","0","0","0","","",
"37","썰매장업","10_39_01_P","4281000","CDFH3301091998000001","1998-12-19","","03","폐업","03","폐업","2006-04-10","","","","033-335-7172","","232-951","강원특별자치도 평창군 대관령면 횡계리 373-7","강원특별자치도 평창군 대관령면 올림픽로 56","","대관령횡계눈썰매장","2014-01-02 14:56:54","I","2023-06-13 00:00:00","","349949.907718533","464844.269715571","썰매장업","사립","","0","0","0","0","","",
"38","썰매장업","10_39_01_P","4281000","CDFH3301091999000001","1999-12-18","","03","폐업","03","폐업","2004-12-24","","","","","","232-922","강원특별자치도 평창군 봉평면 면온리 1095","","","폐업","2004-12-28 09:48:58","I","2023-06-13 00:00:00","","","","썰매장업","사립","0","0","0","0","0","","",
"39","썰매장업","10_39_01_P","4281000","CDFH3301091996000001","1996-08-01","","03","폐업","03","폐업","2019-01-11","","","","033-330-6533","","232-711","강원특별자치도 평창군 봉평면 면온리 1098 외104필지","강원특별자치도 평창군 봉평면 태기로 174","25307","루지썰매(하계)","2019-01-11 14:30:08","I","2023-06-13 00:00:00","","317059.630017773","454194.674829187","썰매장업","사립","","0","0","0","0","","",
"40","썰매장업","10_39_01_P","4281000","CDFH3301092018000001","2018-02-06","","01","영업/정상","13","영업중","","","","","033-335-3995","","","강원특별자치도 평창군 대관령면 횡계리 324-4","강원특별자치도 평창군 대관령면 대관령로 91","25344","대관령면 축제위원회 썰매장","2023-07-17 15:57:23","U","2023-07-19 02:40:00","","350507.595066375","464752.125506075","썰매장업","사립","Y","0","0","0","0","","",
"41","썰매장업","10_39_01_P","4281000","CDFH3301092019000001","2019-12-30","","01","영업/정상","13","영업중","","","","","033-334-3395","","","강원특별자치도 평창군 대관령면 횡계리 245-66","강원특별자치도 평창군 대관령면 오목길 107","25342","대관령 테마파크","2020-10-22 15:54:09","I","2023-06-13 00:00:00","","351538.034311284","463340.257858173","썰매장업","사립","Y","0","0","0","0","","",
"42","썰매장업","10_39_01_P","4281000","CDFH3301092023000001","2023-01-11","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 평창군 대관령면 횡계리 82-46","","25342","오리골 썰매장","2024-01-23 11:34:24","U","2024-01-25 02:40:00","","352362.254497455","464944.604335071","썰매장업","사립","","0","0","0","0","","",
"43","썰매장업","10_39_01_P","4281000","CDFH3301092004000001","2004-12-29","","01","영업/정상","13","영업중","","","","","033-330-6685","","","강원특별자치도 평창군 봉평면 면온리 1095-1 (주)휘닉스평창","강원특별자치도 평창군 봉평면 태기로 174 (주)휘닉스평창","25307","휘닉스 스노우빌리지","2024-10-10 10:11:48","U","2024-10-12 02:40:00","","317177.713905004","454046.509523181","썰매장업","사립","Y","0","0","0","0","","",
"44","썰매장업","10_39_01_P","4281000","CDFH3301092005000002","2005-12-07","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 평창군 대관령면 횡계리 288-4","강원특별자치도 평창군 대관령면 꽃밭양지길 48-47","25341","대관령스노우파크","2020-01-03 16:44:56","I","2023-06-13 00:00:00","","350997.638638398","465464.026904929","썰매장업","사립","","0","0","0","0","","",
"45","썰매장업","10_39_01_P","4281000","CDFH3301092009000001","2009-11-04","","01","영업/정상","13","영업중","","","","","033-339-0341","","","강원특별자치도 평창군 대관령면 용산리 198-4","강원특별자치도 평창군 대관령면 솔봉로 325 (알펜시아리조트)","25351","알펜시아리조트 사계절썰매장","2025-07-02 19:26:59","U","2025-07-04 02:40:00","","347744.358047986","462849.988179215","썰매장업","사립","Y","0","0","0","0","","",
"46","썰매장업","10_39_01_P","4281000","CDFH3301092011000002","2011-12-14","","01","영업/정상","13","영업중","","","","","033-336-4000","","232-948","강원특별자치도 평창군 진부면 하진부리 325","강원특별자치도 평창군 진부면 경강로 3562","25332","평창송어축제위원회(눈썰매장)","2018-01-23 10:59:25","I","2023-06-13 00:00:00","","337363.490659836","460120.991436092","썰매장업","사립","Y","0","0","0","0","","",
"47","썰매장업","10_39_01_P","4281000","CDFH3301091994000001","1994-12-08","","01","영업/정상","13","영업중","","","","","033-330-8229","","","강원특별자치도 평창군 대관령면 용산리 130 용평리조트","강원특별자치도 평창군 대관령면 올림픽로 715, 모나용평","25352","모나용평 썰매장","2025-09-09 08:55:36","U","2025-09-11 02:40:00","","348259.144297804","461699.273918606","썰매장업","사립","Y","0","0","0","0","","",
"48","썰매장업","10_39_01_P","4281000","CDFH3301091995000001","1995-03-04","","01","영업/정상","13","영업중","","","","","033-333-3301","","","강원특별자치도 평창군 대관령면 차항리 316","강원특별자치도 평창군 대관령면 차항서녘길 27-22","25340","차항리눈썰매장","2017-05-17 11:33:30","I","2023-06-13 00:00:00","","347746.751459316","469443.36006939","썰매장업","사립","","0","0","0","0","","",
"49","썰매장업","10_39_01_P","4281000","CDFH3301092007000001","2007-12-12","","04","취소/말소/만료/정지/중지","35","직권말소","2016-12-30","","","","","","232-952","강원특별자치도 평창군 대관령면 차항리 45-2","","","뼝대산눈썰매장","2016-12-30 15:50:17","I","2023-06-13 00:00:00","","349197.3857803","466251.051033962","썰매장업","사립","","0","0","0","0","","",
"50","썰매장업","10_39_01_P","4281000","CDFH3301092011000001","2011-01-17","","04","취소/말소/만료/정지/중지","35","직권말소","2016-12-30","","","","033-334-3200","","232-932","강원특별자치도 평창군 용평면 도사리 110 외2필지","","","(주)로하스월드","2016-12-30 15:51:52","I","2023-06-13 00:00:00","","328584.463462219","460853.720849708","썰매장업","사립","Y","0","0","0","0","","",
"51","썰매장업","10_39_01_P","4291000","CDFH3301091994000001","1994-12-30","","03","폐업","03","폐업","2016-01-04","","","","591-3939","","233-811","강원특별자치도 정선군 고한읍 고한리 266-6","강원특별자치도 정선군 고한읍 소두문동길 106","26156","고한눈썰매장","2016-01-04 15:11:53","I","2023-06-13 00:00:00","","366841.000177957","413478.75890756","썰매장업","사립","","0","0","0","0","","",
"52","썰매장업","10_39_01_P","4291000","CDFH3301091994000002","1994-12-22","","03","폐업","03","폐업","2016-01-22","","","","562-0686","","233-871","강원특별자치도 정선군 임계면 가목리 23","","","군대눈썰매장","2016-01-22 16:29:57","I","2023-06-13 00:00:00","","373133.038391107","444784.438980352","썰매장업","사립","","0","0","0","0","","",
"53","썰매장업","10_39_01_P","4291000","CDFH3301092008000001","2008-06-04","","03","폐업","03","폐업","2021-05-26","","","","","","","강원특별자치도 정선군 사북읍 사북리 424 강원랜드","강원특별자치도 정선군 사북읍 하이원길 265, 강원랜드","26154","쿨라이더썰매장","2021-05-26 11:03:54","I","2023-06-13 00:00:00","","361518.513221455","413851.267613498","썰매장업","사립","","0","0","0","0","","",
"54","썰매장업","10_39_01_P","4291000","CDFH3301092013000001","2013-12-30","","03","폐업","03","폐업","2018-01-29","","","","033-590-7700","","233-811","강원특별자치도 정선군 고한읍 고한리 416","강원특별자치도 정선군 고한읍 고한7길 348","26154","(주)강원랜드","2018-01-30 16:34:24","I","2023-06-13 00:00:00","","363741.846088718","409773.843179841","썰매장업","사립","","0","0","0","0","","",
"55","썰매장업","10_39_01_P","4291000","CDFH3301092023000001","2023-12-26","","03","폐업","03","폐업","2025-10-27","","","","","","","강원특별자치도 정선군 북평면 숙암리 산 327","","","정선가리왕산 눈썰매장","2025-10-27 15:47:13","U","2025-10-29 02:40:00","","342405.097046335","442512.112594204","썰매장업","사립","","0","0","0","0","","",
"56","썰매장업","10_39_01_P","4291000","CDFH3301092006000001","2006-12-21","","01","영업/정상","13","영업중","","","","","033-590-6854","","","강원특별자치도 정선군 고한읍 고한리 산 350 일원","","","하이원 스노우월드 눈썰매장","2022-12-12 09:26:16","I","2023-06-13 00:00:00","","361412.823204983","411361.737517527","썰매장업","사립","Y","0","0","0","0","","",
"57","썰매장업","10_39_01_P","4291000","CDFH3301092014000002","2014-12-15","","01","영업/정상","13","영업중","","","","","033)560-4100","","233-807","강원특별자치도 정선군 정선읍 북실리 산 106","","","(주)정선에코리조트","2014-12-15 16:46:51","I","2023-06-13 00:00:00","","344771.050913063","430341.848569182","썰매장업","사립","","0","0","0","0","","",
"58","썰매장업","10_39_01_P","4301000","CDFH3301092023000001","2023-01-06","","01","영업/정상","13","영업중","","","","","033-450-5255","","","강원특별자치도 철원군 동송읍 장흥리 10-2","강원특별자치도 철원군 동송읍 태봉로 1769","24023","겨울 놀이마당","2023-01-06 15:51:19","I","2023-06-13 00:00:00","","225747.723927509","520520.794602038","썰매장업","사립","","0","0","0","0","","",
"59","썰매장업","10_39_01_P","4301000","CDFH3301092024000001","2024-01-22","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 철원군 김화읍 청양리 9-6","강원특별자치도 철원군 김화읍 호국로 6442","24055","화강 얼음꽁 놀이터","2024-01-22 15:46:37","I","2024-01-24 00:16:13","","236248.965780486","527247.55203622","썰매장업","사립","","0","0","0","0","","",
"60","썰매장업","10_39_01_P","4321000","CDFH3301092013000001","2013-01-31","","02","휴업","02","휴업","","","","","","","255-811","강원특별자치도 양구군 국토정중앙면 가오작리 1092-4","","","용소 눈썰매장","2021-02-04 15:44:02","I","2023-06-13 00:00:00","","291662.97091792","514191.036193211","썰매장업","사립","","0","0","0","0","","",
"61","썰매장업","10_39_01_P","4331000","CDFH3301092017000001","2017-01-25","","01","영업/정상","13","영업중","","","","","","","","","강원특별자치도 인제군 남면 모루박길 17-46","24646","인제빙어축제눈썰매장","2017-03-20 09:20:30","I","2023-06-13 00:00:00","","296563.743516778","500049.056131385","썰매장업","사립","","0","0","0","0","","",
"62","썰매장업","10_39_01_P","4331000","CDFH3301092023000001","2023-01-19","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 인제군 남면 부평리 551-1","강원특별자치도 인제군 남면 빙어마을길 166","24646","2023년 인제빙어축제 눈썰매장","2023-01-19 11:03:08","I","2023-06-13 00:00:00","","296596.074899042","500135.671158374","썰매장업","사립","","0","0","0","0","","",
"63","썰매장업","10_39_01_P","4341000","CDFH3301091995000001","1995-11-16","","02","휴업","02","휴업","","2006-04-01","2010-12-31","","033-681-5030","","219-804","강원특별자치도 고성군 간성읍 흘리","","","알프스썰매장","2008-05-21 11:54:05","I","2023-06-13 00:00:00","","","","썰매장업","사립","1","0","0","0","0","","",
"64","썰매장업","10_39_01_P","4341000","CDFH3301092016000001","2016-07-13","","03","폐업","03","폐업","2022-12-31","","","","","","","강원특별자치도 고성군 토성면 원암리 403-24 델피노골프&리조트","강원특별자치도 고성군 토성면 미시령옛길 1153, 델피노골프&리조트","24768","(주)소노인터내셔널 설악지점 레일썰매","2023-01-04 10:52:14","I","2023-06-13 00:00:00","","331116.910496187","524073.824015649","썰매장업","사립","","0","0","0","0","","",
"65","썰매장업","10_39_01_P","4341000","CDFH3301092018000001","2018-01-17","","03","폐업","03","폐업","2025-02-01","","","","","","","강원특별자치도 고성군 토성면 원암리 403-24 델피노골프&리조트","강원특별자치도 고성군 토성면 미시령옛길 1153, 델피노골프&리조트","24768","(주)소노인터내셔널 설악지점 눈썰매장","2025-04-17 16:17:27","U","2025-04-19 02:40:00","","331116.910496187","524073.824015649","썰매장업","사립","","0","0","0","0","","",
"66","썰매장업","10_39_01_P","4341000","CDFH3301091998000001","1998-01-10","","01","영업/정상","13","영업중","","","","","033-636-0013","","219-832","강원특별자치도 고성군 토성면 원암리","","","일성설악콘도 사계절썰매장","2010-06-22 17:42:38","I","2023-06-13 00:00:00","","","","썰매장업","사립","Y","0","0","0","0","","",
"67","썰매장업","10_39_01_P","4341000","CDFH3301092015000001","2015-12-22","","01","영업/정상","13","영업중","","","","","681-5030","","","","강원특별자치도 고성군 간성읍 흘리령길 52 (알프스리조트)","24742","고성 알프스 썰매장","2015-12-22 14:39:25","I","2023-06-13 00:00:00","","320515.751123282","529632.694612951","썰매장업","사립","","0","0","0","0","","",
"68","썰매장업","10_39_01_P","4341000","CDFH3301091994000001","1994-12-19","","01","영업/정상","13","영업중","","","","","033-635-8311","","219-832","강원특별자치도 고성군 토성면 원암리 산 95-2","강원특별자치도 고성군 토성면 미시령옛길 1153","","대명눈썰매장","2009-06-04 13:22:22","I","2023-06-13 00:00:00","","331116.910496187","524073.824015649","썰매장업","사립","Y","0","0","0","0","","",
"69","썰매장업","10_39_01_P","4341000","CDFH3301092024000001","2024-12-18","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 고성군 토성면 원암리 403-1 델피노골프&리조트","강원특별자치도 고성군 토성면 미시령옛길 1153, 델피노골프&리조트","24768","델피노 눈썰매장","2024-12-18 13:16:53","I","2024-12-20 00:11:41","","330773.968639857","524312.561018691","썰매장업","사립","","0","0","0","0","","",
