"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","목재생산업구분코드명","목재생산업종류명","취급목재제품","인력보유현황","년간생산량","자본금","상태구분명",
"16","목재수입유통업","09_27_01_P","4191000","419100090201900009","2019-10-07","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 원주시 신림면 금창리 ***","강원특별자치도 원주시 신림면 치악로 ***","26506","***","2019-10-07 10:28:04","I","2024-05-17 01:13:33","","293249.061888572","417097.652933178","목재수입유통업","","","","0","0","영업",
"17","목재수입유통업","09_27_01_P","4191000","419100090202100005","2021-11-09","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 원주시 무실동 ***-**","강원특별자치도 원주시 둔전길 **-*(무실동)","26397","텍사스큐 주식회사","2021-11-09 10:18:19","I","2024-05-17 01:13:33","","281916.62236951","423785.986078362","목재수입유통업","","목재펠릿","3명","0","50","영업",
"18","목재수입유통업","09_27_01_P","4191000","419100090202200003","2022-10-19","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 원주시 문막읍 반계리 ***","강원특별자치도 원주시 문막읍 원문로 ****","26361","(주)비지머티리얼즈","2022-10-19 17:36:25","I","2024-05-17 01:13:33","","269649.399521948","421186.429581708","목재수입유통업","","목탄","1명","1000","450","영업",
"19","목재수입유통업","09_27_01_P","4191000","419100090202200005","2022-10-28","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 원주시 태장동 ***","강원특별자치도 원주시 새동네*길 ***(태장동)","26326","주식회사 일군인더스트리","2022-10-28 16:49:59","I","2024-05-17 01:13:33","","284222.255762749","429488.685025612","목재수입유통업","","제재목, 적삼목, 헴록","","200","200","영업",
"20","목재수입유통업","09_27_01_P","4191000","419100090202200007","2022-11-21","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 원주시 문막읍 원문로 ****","26361","***","2022-11-21 09:48:50","I","2024-05-17 01:13:33","","269649.399521948","421186.429581708","목재수입유통업","","목탄, 성형목탄","","300","0","영업",
"21","목재수입유통업","09_27_01_P","4201000","420100090202300003","2023-12-15","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 강릉시 사천면 덕실리 ***-*","강원특별자치도 강릉시 사천면 덕실길 **-*","25439","태광산업(주)","2023-12-15 11:38:50","I","2024-05-17 01:13:33","","362282.517961787","480808.590116758","목재수입유통업","","펠릿","","0","0","영업",
"22","목재수입유통업","09_27_01_P","4201000","420100090202400003","2024-09-04","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 강릉시 강동면 모전리 ***-*","강원특별자치도 강릉시 강동면 아래장작골길 ***","25627","(주)인코테크","2024-09-04 09:09:47","I","2024-09-06 00:13:31","","373249.943141771","469703.641435906","목재수입유통업","","우드펠릿","","0","0","영업",
"23","목재수입유통업","09_27_01_P","4201000","420100090202400001","2024-03-15","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 강릉시 포남동 ****-*","강원특별자치도 강릉시 보래미길 * (포남동)","25478","코리아에너지뱅크","2024-03-15 17:29:39","I","2024-05-17 01:13:33","","367931.374211597","475993.995675073","목재수입유통업","","","","0","0","영업",
"24","목재수입유통업","09_27_01_P","4201000","420100090201400004","2014-05-08","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 강릉시 강동면 대동길 ***","","한국남동발전(주)영동화력","2014-05-08 10:40:41","I","2024-05-17 01:13:33","","374396.388661492","472404.40075571","목재수입유통업","","우드펠릿","","0","0","영업",
"25","목재수입유통업","09_27_01_P","4201000","420100090201600003","2016-07-13","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 강릉시 강동면 모전리 ***-*","강원특별자치도 강릉시 강동면 윗장작골길 **","25627","(자)피앤케이코리아","2025-02-19 15:41:55","U","2025-02-21 02:40:00","","372099.380904671","469066.535284703","목재수입유통업","","","","0","0","영업",
"26","목재수입유통업","09_27_01_P","4201000","420100090201600007","2016-11-03","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 강릉시 강동면 하시동리 ***-*","강원특별자치도 강릉시 강동면 풍호길 ***","25620","강릉eps","2019-03-15 17:11:10","I","2024-05-17 01:13:33","","","","목재수입유통업","1종","","","0","0","영업",
"27","목재수입유통업","09_27_01_P","4201000","420100090201700001","2017-02-20","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 강릉시 주문진읍 매맥이길 **-*, 나동 ***호","","***","2017-02-20 14:33:34","I","2024-05-17 01:13:33","","360550.665595967","487850.772676892","목재수입유통업","","","","0","0","영업",
"28","목재수입유통업","09_27_01_P","4201000","420100090202000001","2020-03-12","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 강릉시 교동 ****-*","강원특별자치도 강릉시 하슬라로***번길 **-* (교동)","25508","(주)대성","2020-03-12 19:42:15","I","2024-05-17 01:13:33","","365436.550517349","475844.501036469","목재수입유통업","","수입용 우드펠릿","","0","0","영업",
"29","목재수입유통업","09_27_01_P","4201000","420100090202300001","2023-05-01","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 강릉시 옥천동 ***","강원특별자치도 강릉시 경강로 ****, *층 ***호 (옥천동)","25552","주식회사 트라이허브코리아","2024-08-22 15:47:46","U","2024-08-24 02:40:00","","367540.766623865","474662.18007794","목재수입유통업","","","","0","0","영업",
"30","목재수입유통업","09_27_01_P","4201000","420100090202500004","2025-07-29","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 강릉시 교동 ***-*","강원특별자치도 강릉시 강릉대로 *** (교동)","25506","에이비로지 주식회사","2025-07-29 10:07:40","I","2025-07-31 00:20:02","","366024.886191976","474352.816835921","목재수입유통업","","우드펠렛","","60","10","영업",
"31","목재수입유통업","09_27_01_P","4201000","420100090202500003","2025-07-11","","01","영업/정상","1","정상","","","","","033-642-0678","","","","강원특별자치도 강릉시 강동면 임곡로 ***-*","25629","***","2025-07-11 09:34:29","I","2025-07-13 00:20:10","","374452.662458375","467939.730635997","목재수입유통업","","목재펠릿, 목재칩","","20000","0","영업",
"32","목재수입유통업","09_27_01_P","4201000","420100090202500001","2025-02-28","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 강릉시 성산면 위촌리 ***-*","강원특별자치도 강릉시 성산면 소목길 ***-*","25447","오거토크코리아","2025-03-01 11:01:53","I","2025-03-03 00:10:46","","362846.598104005","473533.055121","목재수입유통업","","목재펠릿","김정구","10000","300","영업",
"33","목재수입유통업","09_27_01_P","4201000","420100090201400002","2014-02-10","","03","폐업","3","폐업","","","","","","","","","강원특별자치도 강릉시 주문진읍 농공단지길 **-**","","케이엠네이쳐(주)","2016-09-30 16:22:40","I","2024-05-17 01:13:33","","360689.147050536","486906.388323301","목재수입유통업","","","","0","0","폐업",
"34","목재수입유통업","09_27_01_P","4211000","421100090202400001","2024-08-16","","01","영업/정상","1","정상","","","","","033-920-2180","","","강원특별자치도 동해시 망상동 *** 산림조합중앙회 동부목재유통센터","강원특별자치도 동해시 동해대로 ****, 산림조합중앙회 동부목재유통센터 (망상동)","25707","산림조합중앙회 동부목재사업본부","2024-08-26 15:47:01","U","2024-08-28 02:40:00","","385519.82246025","455173.024914817","목재수입유통업","","국산목재, 수입목재","","0","0","영업",
"35","목재수입유통업","09_27_01_P","4211000","421100090201700001","2017-04-20","","01","영업/정상","1","정상","","","","","0335320023","","","","강원특별자치도 동해시 향로봉길 ***, 덕수냉동 (부곡동)","25729","(주)덕수인터내셔널","2018-11-10 16:03:10","I","2024-05-17 01:13:33","","386643.611504856","450488.916361487","목재수입유통업","","우드팰렛","","10000","700","영업",
"36","목재수입유통업","09_27_01_P","4211000","421100090201800001","2018-11-01","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 동해시 효가동 ***-*","강원특별자치도 동해시 동해대로 **** (효가동)","25785","(주)동방물류","2018-11-01 18:26:37","I","2024-05-17 01:13:33","","386627.507358206","445822.950194486","목재수입유통업","","우드펠릿","","50000","50","영업",
"37","목재수입유통업","09_27_01_P","4211000","421100090201400002","2014-11-05","","03","폐업","3","폐업","","","","","033-521-5502","","","","강원특별자치도 동해시 공단**로 ** (구호동)","","지씨테크(주)동해공장","2024-08-13 16:27:29","U","2024-08-15 02:40:00","","388672.651126574","444289.898247254","목재수입유통업","","원목,목재펠릿,우드칩외","1","100000","300","폐업",
"38","목재수입유통업","09_27_01_P","4211000","421100090201800003","2018-12-12","","03","폐업","3","폐업","","","","","0335222460","","","강원특별자치도 동해시 송정동 *** 현대자동차","강원특별자치도 동해시 대동로 ***-*, 현대자동차 (송정동)","25789","(주)서도기업","2024-12-03 10:34:19","U","2024-12-05 02:40:00","","387885.362861426","445565.620348082","목재수입유통업","","우드펠렛","3","100000","150","폐업",
"39","목재수입유통업","09_27_01_P","4211000","421100090202000001","2020-04-04","","03","폐업","3","폐업","","","","","","","","강원특별자치도 동해시 천곡동 **** 영풍볼링장","강원특별자치도 동해시 동굴*길 **, 영풍볼링장 (천곡동)","25768","(주)자연과우리","2024-12-02 16:29:51","U","2024-12-04 02:40:00","","386865.821962746","448511.84239549","목재수입유통업","","우드펠렛","","60000","1500","폐업",
"40","목재수입유통업","09_27_01_P","4211000","421100090202300001","2023-05-10","","03","폐업","3","폐업","","","","","033-521-2325","","","강원특별자치도 동해시 구호동 ***-** 태진산업","강원특별자치도 동해시 공단*로 **, 태진산업 (구호동)","25799","태진산업 주식회사","2024-12-03 10:32:54","U","2024-12-05 02:40:00","","388736.459005515","443679.73864847","목재수입유통업","","목재펠릿, 제재목, 방부목재, 난연목재, 집성재, 합판","8","100","130","폐업",
"41","목재수입유통업","09_27_01_P","4221000","422100090201900001","2019-02-27","","01","영업/정상","1","정상","","","","","033-581-5654","","","강원특별자치도 태백시 장성동 ***-*","강원특별자치도 태백시 계산**길 ** (장성동)","26050","(주)나무나라","2023-03-07 19:45:28","I","2024-05-17 01:13:33","","377397.832402205","402392.58816563","목재수입유통업","","목재펠릿 등","","500","205","영업",
"42","목재수입유통업","09_27_01_P","4231000","423100090201700001","2017-12-15","","03","폐업","3","폐업","","","","","0336334484","","","","강원특별자치도 속초시 먹거리*길 **-*, ***호 (교동)","24858","***","2023-07-06 16:01:49","I","2024-05-17 01:13:33","","337727.614987781","522552.68291844","목재수입유통업","","목탄","3","200","100","폐업",
"43","목재수입유통업","09_27_01_P","4241000","424100090202500002","2025-09-24","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 삼척시 신기면 환선로 ***, 서하가든","25942","***","2025-09-30 13:37:32","I","2025-10-02 00:20:02","","382674.987384855","429034.081656873","목재수입유통업","","목재제품","교육수료 1명","500","30","영업",
"44","목재수입유통업","09_27_01_P","4251000","425100090201800001","2018-10-10","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 홍천군 북방면 중화계리 ***","강원특별자치도 홍천군 북방면 중화계로**번길 **","25114","지정구","2018-10-10 18:05:23","I","2024-05-17 01:13:33","","275789.300403317","466611.169928023","목재수입유통업","","","","0","0","영업",
"45","목재수입유통업","09_27_01_P","4251000","425100090202200001","2022-05-17","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 홍천군 홍천읍 설악로 ****","25117","***","2022-05-17 17:34:01","I","2024-05-17 01:13:33","","275592.950780709","464393.186807872","목재수입유통업","","","","0","0","영업",
"46","목재수입유통업","09_27_01_P","4251000","425100090202500001","2025-02-12","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 홍천군 북방면 중화계리 ***","강원특별자치도 홍천군 북방면 중화계로**번길 **, B동","25114","파니컴퍼니","2025-02-12 11:42:21","I","2025-02-14 00:11:18","","275789.300403317","466611.169928023","목재수입유통업","","목탄숯, 펠릿","","0","0","영업",
"47","목재수입유통업","09_27_01_P","4261000","426100090201600001","2016-09-08","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 횡성군 우천면 경강로 ****","225-815","연희목재화학공업사","2016-09-12 14:35:51","I","2024-05-17 01:13:33","","","","목재수입유통업","","","","0","0","영업",
"48","목재수입유통업","09_27_01_P","4261000","426100090201700006","2017-11-03","","01","영업/정상","1","정상","","","","","342-0949","","","","강원특별자치도 횡성군 우천면 경강로 ****","225-815","연희목재화학공업사","2017-11-03 13:56:34","I","2024-05-17 01:13:33","","","","목재수입유통업","","","","0","0","영업",
"49","목재수입유통업","09_27_01_P","4261000","426100090202000001","2020-02-14","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 횡성군 횡성읍 학곡리 ***","강원특별자치도 횡성군 횡성읍 경강로 ****","25210","신흥목재","2020-02-15 16:22:00","I","2024-05-17 01:13:33","","284273.86968906","445340.253325746","목재수입유통업","","목재 또는 목재제품의 수입·유통","","0","0","영업",
"50","목재수입유통업","09_27_01_P","4281000","428100090201300029","2013-12-09","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 평창군 평창읍 농공단지길 **","25369","호성건설산업(주)","2018-01-11 10:17:17","I","2024-05-17 01:13:33","","324846.202681897","433465.411913442","목재수입유통업","","","","0","0","영업",
"51","목재수입유통업","09_27_01_P","4281000","428100090201600004","2016-12-23","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 평창군 진부면 면의동길 **-**","","한결 주식회사","2016-12-23 13:55:10","I","2024-05-17 01:13:33","","338100.288804304","462325.813626565","목재수입유통업","","목탄,숯","","0","200","영업",
"52","목재수입유통업","09_27_01_P","4281000","428100090201700002","2017-02-20","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 평창군 대화면 대화리 ***-*","강원특별자치도 평창군 대화면 웃대화길 **-*","25355","***","2018-06-21 10:47:34","I","2024-05-17 01:13:33","","329255.451578589","446259.423752676","목재수입유통업","","제재목","1명","0","30","영업",
"53","목재수입유통업","09_27_01_P","4281000","428100090201700009","2017-11-06","","01","영업/정상","1","정상","","","","","033-333-4122","","","","강원특별자치도 평창군 평창읍 노성로 **","232-801","평창군산림조합","2017-11-06 12:06:08","I","2024-05-17 01:13:33","","323182.395458353","430553.16163805","목재수입유통업","","제재목","1명","0","0","영업",
"54","목재수입유통업","09_27_01_P","4281000","428100090202000008","2020-12-22","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 평창군 대화면 대화리 ****-*","강원특별자치도 평창군 대화면 대화중앙로 ***","25358","***","2020-12-23 15:30:52","I","2024-05-17 01:13:33","","328579.55608005","445314.340724885","목재수입유통업","","우드팰렛","","10000","0","영업",
"55","목재수입유통업","09_27_01_P","4281000","428100090202100001","2021-02-05","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 평창군 봉평면 무이리 ***-***","강원특별자치도 평창군 봉평면 경강로 ***","25306","***","2021-06-24 13:43:39","I","2024-05-17 01:13:33","","316556.414994501","455623.89191557","목재수입유통업","","우드펠릿","","5000","10","영업",
"56","목재수입유통업","09_27_01_P","4281000","428100090202100005","2021-11-12","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 평창군 용평면 용전리 ***-*","강원특별자치도 평창군 용평면 경강로 ****","25313","장병우","2021-11-12 10:33:09","I","2024-05-17 01:13:33","","325882.981825459","456702.377604515","목재수입유통업","","","","0","0","영업",
"57","목재수입유통업","09_27_01_P","4291000","429100090202400002","2024-03-04","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 정선군 남면 무릉*로 **, *동 *호","26146","***","2024-03-04 13:21:22","I","2024-05-17 01:13:33","","357546.027142629","417949.024949204","목재수입유통업","","숯","","10","100","영업",
"58","목재수입유통업","09_27_01_P","4301000","430100090202000002","2020-07-28","","01","영업/정상","1","정상","","","","","031-529-0518","","","","강원특별자치도 철원군 갈말읍 갈말로 **-**, 자연과학산업(주)","24032","***","2021-11-29 15:47:40","I","2024-05-17 01:13:33","","226904.821860279","517705.211084178","목재수입유통업","","야자쉘차콜","11","2000","350","영업",
"59","목재수입유통업","09_27_01_P","4301000","430100090201600003","2016-04-09","","01","영업/정상","1","정상","","","","","033-455-4811","","","","강원특별자치도 철원군 동송읍 오덕로 ** (한국농업경영인동송읍회)","24010","***","2016-04-09 15:52:13","I","2024-05-17 01:13:33","","219869.687889143","523464.7512788","목재수입유통업","","","","0","0","영업",
"60","목재수입유통업","09_27_01_P","4301000","430100090201700001","2017-05-10","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 철원군 갈말읍 호국로 ****","24034","***","2017-05-10 13:04:58","I","2024-05-17 01:13:33","","227240.976842924","517556.396092838","목재수입유통업","","","","0","0","영업",
"61","목재수입유통업","09_27_01_P","4301000","430100090202000003","2020-08-10","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 철원군 갈말읍 강포리 **-* 삼성목재","강원특별자치도 철원군 갈말읍 강포*길 *, 삼성목재","24046","삼성목재","2020-08-10 09:55:50","I","2024-05-17 01:13:33","","225573.480077348","512849.678865799","목재수입유통업","","목재","","0","50","영업",
"62","목재수입유통업","09_27_01_P","4321000","432100090202000003","2020-05-20","","01","영업/정상","1","정상","","","","","033-482-5565","","","","강원특별자치도 양구군 양구읍 농공단지길 **","","(합)자라나라","2020-05-20 15:13:55","I","2024-05-17 01:13:33","","287216.118022503","514145.105863479","목재수입유통업","","제제목","","5000","365","영업",
"63","목재수입유통업","09_27_01_P","4321000","432100090201400001","2014-02-04","","03","폐업","3","폐업","","","","","","","","","강원특별자치도 양구군 양구읍 농공단지길 **","255-801","케이엠네이쳐(주)양구공장","2022-12-26 17:02:45","I","2024-05-17 01:13:33","","287310.05231713","514262.433633873","목재수입유통업","","펠릿","8","12000","400","폐업",
"64","목재수입유통업","09_27_01_P","4331000","433100090202100002","2021-04-20","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 인제군 북면 원통리 ****","강원특별자치도 인제군 북면 원통로**번길 **","24621","주식회사 조민건설","2024-01-11 10:40:20","I","2024-05-17 01:13:33","","305219.913077834","513318.899759793","목재수입유통업","","꾸마루, 멀바우, 마사란두바, 이페","1","40500","200","영업",
"65","목재수입유통업","09_27_01_P","4351000","435100090202300001","2023-05-16","","01","영업/정상","1","정상","","","","","033-673-7133","","","강원특별자치도 양양군 손양면 와리 ***","강원특별자치도 양양군 손양면 상촌로 ***","25045","(주)지오텍","2025-04-17 10:00:17","U","2025-04-19 02:40:00","","344436.200113759","506079.893798263","목재수입유통업","","목탄, 성형목탄, 목재팰릿,목재칩,임산팰릿,톱밥,목분","2","100","50","영업",
"66","목재수입유통업","09_27_01_P","4351000","435100090201800002","2018-10-18","","03","폐업","3","폐업","","","","","","","","강원특별자치도 양양군 강현면 장산리 ***-**","강원특별자치도 양양군 강현면 장산*길 **","25001","코인푸드앤우드","2025-01-31 20:09:13","U","2025-02-02 02:40:00","","339571.237343609","516974.549884909","목재수입유통업","","합판, 집성목 등 목재가공품","","0","0","폐업",
