"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","법인구분명","구분명",
"11","무료직업소개소","11_50_01_P","4181000","2000418016614500001","2007-11-07","","03","폐업","40","폐업","2015-09-03","","","","","","200-140","강원특별자치도 춘천시 사농동 105-5번지","","","강원도장애인종합복지관","2015-12-09 13:59:17","I","2023-06-13 00:00:00","","","","법인","무료",
"12","무료직업소개소","11_50_01_P","4181000","2005418001611200001","2005-08-12","","03","폐업","40","폐업","2010-08-09","","","","","","","강원특별자치도 춘천시 석사동 667번지 24호 14통 3반","강원특별자치도 춘천시 효석로135번길 16-22 (석사동)","","춘천시장애인보호시설(부설)장애인무료직업소개소","2010-08-09 16:39:06","I","2023-06-13 00:00:00","","265478.811634537","484196.19881162","법인","무료",
"13","무료직업소개소","11_50_01_P","4181000","2007418016614500001","2007-07-27","","03","폐업","40","폐업","2010-02-04","","","","003302521875","","200-060","강원특별자치도 춘천시 교동 164번지 5호","강원특별자치도 춘천시 성심로 32 (교동)","","약손엄마회","2010-02-04 16:31:16","I","2023-06-13 00:00:00","","265022.516196146","486720.585936666","법인","무료",
"14","무료직업소개소","11_50_01_P","4181000","2007418016614500004","2007-08-31","","03","폐업","40","폐업","2008-05-14","","","","033  2542912","","210-100","강원특별자치도 강릉시 교동 26-7번지","","","대한건설협회 강원도회","2008-05-14 15:08:20","I","2023-06-13 00:00:00","","","","법인","무료",
"15","무료직업소개소","11_50_01_P","4181000","2009418016614500001","2009-02-06","","03","폐업","40","폐업","2023-03-20","","","","033 252 6091","","","강원특별자치도 춘천시 운교동 174-1","강원특별자치도 춘천시 운천길 28-29(운교동)","24335","재단법인국제복지선교협회강원도춘천시지회(희망)","2023-03-23 11:13:10","I","2023-06-13 00:00:00","","264361.310282032","486098.459689912","법인","무료",
"16","무료직업소개소","11_50_01_P","4181000","2009418016614500008","2009-09-17","","03","폐업","40","폐업","2021-07-29","","","","033 253 4575","","","강원특별자치도 춘천시 중앙로3가 67번지 1호","강원특별자치도 춘천시 중앙로 131 (중앙로3가)","200-043","춘천지역자활센터","2021-07-29 18:00:54","I","2023-06-13 00:00:00","","263324.358308568","486132.791952156","법인","무료",
"17","무료직업소개소","11_50_01_P","4181000","2010418016614500003","2010-01-22","","03","폐업","40","폐업","2018-12-06","","","","033 242 0529","","","강원특별자치도 춘천시 온의동 151번지 10호","강원특별자치도 춘천시 영서로 2301, 3층 (온의동)","200-190","(사)강원경영자총협회","2018-12-07 10:56:08","I","2023-06-13 00:00:00","","263223.615698129","485041.146257817","법인","무료",
"18","무료직업소개소","11_50_01_P","4181000","2010418016614500007","2010-05-27","","03","폐업","40","폐업","2016-08-04","","","","033 255 8866","","200-852","강원특별자치도 춘천시 동면 만천리 893번지 3호","강원특별자치도 춘천시 동면 세실로 250","","춘천동부노인복지관","2016-08-05 16:01:10","I","2023-06-13 00:00:00","","266579.866930598","486621.769174289","법인","무료",
"19","무료직업소개소","11_50_01_P","4181000","2011418016614500002","2011-04-19","","03","폐업","40","폐업","2020-06-10","","","","033 257 3880","","","강원특별자치도 춘천시 퇴계동 11토지내 12블럭 3롯트","","","사단법인 일터","2020-06-12 10:50:33","I","2023-06-13 00:00:00","","","","법인","무료",
"20","무료직업소개소","11_50_01_P","4181000","2012418022914500002","2012-04-23","","03","폐업","40","폐업","2015-07-21","","","","","","200-853","강원특별자치도 춘천시 동면 지내리 708번지 42호","강원특별자치도 춘천시 동면 가산로 157-13","200-853","(사)가가장애인복지협회","2015-12-09 14:00:22","I","2023-06-13 00:00:00","","268569.517261802","490931.784422762","법인","무료",
"21","무료직업소개소","11_50_01_P","4181000","2012418022914500008","2012-11-02","","03","폐업","40","폐업","2024-05-13","","","","033 262 2095","","","강원특별자치도 춘천시 퇴계동 856번지 8호 강원지방중소기업청 103호","강원특별자치도 춘천시 안마산로 262 (퇴계동)","200-944","(사)중소기업기술혁신협회 강원지회","2024-05-13 17:27:09","U","2024-05-15 02:40:00","","265169.574487896","482961.060297657","법인","무료",
"22","무료직업소개소","11_50_01_P","4181000","2013418022914500001","2013-06-25","","03","폐업","40","폐업","2022-03-17","","","","033 255 6065","","","","강원특별자치도 춘천시 이디오피아길 13 (근화동)","200-931","(사)대한노인회강원도연합회취업지원센터","2022-07-12 11:06:08","I","2023-06-13 00:00:00","","262466.174936181","485961.343052668","법인","무료",
"23","무료직업소개소","11_50_01_P","4181000","2016418027714500004","2016-02-24","","03","폐업","40","폐업","2020-12-31","","","","033 256 3005","","","","강원특별자치도 춘천시 당간지주길 77 (근화동)","24244","춘천시니어클럽","2021-02-03 17:45:35","I","2023-06-13 00:00:00","","263611.421115763","488021.235319557","법인","무료",
"24","무료직업소개소","11_50_01_P","4181000","2017418027714500006","2017-10-18","","03","폐업","40","폐업","2022-01-01","","","","033 256 6065","","","","강원특별자치도 춘천시 중앙로 131 (중앙로3가, 춘천시민복지회관)","24358","(사)대한노인회춘천시지회(취업지원센터)","2022-07-12 11:06:30","I","2023-06-13 00:00:00","","263324.358308568","486132.791952156","법인","무료",
"25","무료직업소개소","11_50_01_P","4181000","2018418027714500001","2018-01-25","","03","폐업","40","폐업","2019-08-28","","","","033 256 8819","","","강원특별자치도 영월군 영월읍 하송리 247번지 3호 2층","강원특별자치도 영월군 영월읍 하송로 35, 2층","26234","사회적협동조합희망리본","2019-11-25 16:38:26","I","2023-06-13 00:00:00","","329947.228486293","410197.196451909","법인","무료",
"26","무료직업소개소","11_50_01_P","4181000","2019418031914500003","2019-02-22","","03","폐업","40","폐업","2020-02-19","","","","","","","","강원특별자치도 춘천시 금강로 68-6 (조양동)","24353","춘천남부노인복지관(사단법인 춘천동부디아코니아)","2020-02-20 09:10:56","I","2023-06-13 00:00:00","","263990.032049917","486514.002562514","법인","무료",
"27","무료직업소개소","11_50_01_P","4191000","1997419011511200001","1997-04-01","","01","영업/정상","20","영업중","","","","","003307426090","","","강원특별자치도 원주시 일산동 194번지 5호","강원특별자치도 원주시 천사로 190 (일산동)","","대한YWCA연합회후원회무료직업소개소","2023-04-14 14:49:13","I","2023-06-13 00:00:00","","283701.447625784","427980.225543172","법인","무료",
"28","무료직업소개소","11_50_01_P","4191000","2000419011511200001","2000-08-16","","01","영업/정상","20","영업중","","","","","033 762 8841","","","강원특별자치도 원주시 명륜1동 193번지","강원특별자치도 원주시 서원대로 311 (명륜동)","220-947","전국건설노동자취업알선센터","2023-04-14 13:59:46","I","2023-06-13 00:00:00","","283558.029901345","426616.043304968","개인","무료",
"29","무료직업소개소","11_50_01_P","4191000","2008419014914500001","2008-01-30","","01","영업/정상","20","영업중","","","","","033 732 9122","","","강원특별자치도 원주시 호저면 주산리 642번지 7호","강원특별자치도 원주시 호저면 칠봉로 6-6","","성공회원주나눔의집 무료직업소개소 ""희망나눔터""","2023-04-14 11:07:59","I","2023-06-13 00:00:00","","281617.876643912","435233.985868772","법인","무료",
"30","무료직업소개소","11_50_01_P","4191000","2010419019114500007","2010-04-28","","01","영업/정상","20","영업중","","","","","033 766 0601","","","강원특별자치도 원주시 단구동 1486번지 14호","강원특별자치도 원주시 동부순환로 9-6 (단구동)","","원주시노인종합복지관(노인인력뱅크)","2023-04-13 18:13:47","I","2023-06-13 00:00:00","","285847.882203068","424497.481915288","법인","무료",
"31","무료직업소개소","11_50_01_P","4191000","2012419019114500002","2012-01-30","","01","영업/정상","20","영업중","","","","","033 762 8131","","","강원특별자치도 원주시 소초면 장양4리 792번지","강원특별자치도 원주시 소초면 장막2길 26","220-834","명륜종합사회복지관","2023-04-13 17:44:34","I","2023-06-13 00:00:00","","284666.094943776","434762.299276038","법인","무료",
"32","무료직업소개소","11_50_01_P","4191000","2013419019114500009","2013-10-22","","01","영업/정상","20","영업중","","","","","033 742 5844","","","강원특별자치도 원주시 일산동 184번지 1호","강원특별자치도 원주시 옛시청길 11 (일산동)","220-957","(사)대한노인회 원주시지회","2023-04-13 16:00:49","I","2023-06-13 00:00:00","","283693.947885353","428247.789626137","법인","무료",
"33","무료직업소개소","11_50_01_P","4191000","2014419019114500003","2014-02-03","","01","영업/정상","20","영업중","","","","","070 74381544","","","강원특별자치도 원주시 지정면 가곡리 327번지 의료기기종합지원센터 809호","강원특별자치도 원주시 지정면 기업도시로 200, 809호 (의료기기종합지원센터)","220-821","(사)강원의료기기산업협회","2025-07-14 13:10:21","U","2025-07-16 02:40:00","","277350.791712766","430306.972224638","법인","무료",
"34","무료직업소개소","11_50_01_P","4191000","2014419019114500004","2014-02-03","","01","영업/정상","20","영업중","","","","","0337422004","","","강원특별자치도 원주시 단구동 1514번지 7호","강원특별자치도 원주시 남원로 528-29, 3층 (단구동)","26484","사회적협동조합 원주진로교육센터 새움","2023-04-13 14:59:05","I","2023-06-13 00:00:00","","284080.556681701","425707.109801663","법인","무료",
"35","무료직업소개소","11_50_01_P","4191000","2016419019114500007","2016-06-27","","01","영업/정상","20","영업중","","","","","0337643855","","","","강원특별자치도 원주시 서원대로 311 (명륜동, 종합운동장)","26447","강원도장애인복지협회","2023-04-13 10:13:04","I","2023-06-13 00:00:00","","283567.415989357","426479.780201421","법인","무료",
"36","무료직업소개소","11_50_01_P","4191000","2016419019114500015","2016-10-21","","01","영업/정상","20","영업중","","","","","0339008009","","","","강원특별자치도 원주시 치악로 1803, 2층 (명륜동, 남부시장)","26441","(사)한국노인상담소","2023-04-13 10:07:13","I","2023-06-13 00:00:00","","284505.128476342","427202.926014401","법인","무료",
"37","무료직업소개소","11_50_01_P","4191000","2018419028614500007","2018-05-30","","01","영업/정상","20","영업중","","","","","0337324100","","","강원특별자치도 원주시 태장동 1026번지 1호","강원특별자치도 원주시 방강골길 20, 1층 (태장동)","26318","온새미사회적협동조합","2023-04-13 09:53:30","I","2023-06-13 00:00:00","","284202.077767791","431186.224140893","법인","무료",
"38","무료직업소개소","11_50_01_P","4191000","2018419028614500015","2018-12-14","","01","영업/정상","20","영업중","","","","","033 743 2991","","","","강원특별자치도 원주시 북원로 2551, 원주상공회의소 (우산동)","26337","원주상공회의소","2023-04-14 15:24:46","I","2023-06-13 00:00:00","","283339.498859058","430422.080300948","법인","무료",
"39","무료직업소개소","11_50_01_P","4191000","2019419028614500013","2019-11-07","","01","영업/정상","20","영업중","","","","","0337316080","","","강원특별자치도 원주시 학성동 211-4","강원특별자치도 원주시 원일로 172, 3층 (학성동)","26415","원주노인사회적협동조합","2025-07-14 13:11:19","U","2025-07-16 02:40:00","","283763.767084552","428344.838285903","법인","무료",
"40","무료직업소개소","11_50_01_P","4191000","2021419028614500012","2021-08-23","","01","영업/정상","20","영업중","","","","","0338130660","","","","강원특별자치도 원주시 단구초교길 41, 2층 (단구동)","26452","어스청소년자립사회적협동조합","2023-04-11 11:59:10","I","2023-06-13 00:00:00","","285631.970416695","425028.392562533","법인","무료",
"41","무료직업소개소","11_50_01_P","4191000","2024419100714500005","2024-04-08","","01","영업/정상","20","영업중","","","","","0337426092","","","","강원특별자치도 원주시 천사로 190, YWCA (일산동)","26427","사단법인 원주 YWCA","2025-03-25 18:02:01","U","2025-03-27 02:40:00","","283701.447625784","427980.225543172","법인","무료",
"42","무료직업소개소","11_50_01_P","4191000","2025419100714500005","2025-03-04","","01","영업/정상","20","영업중","","","","","","","","","강원특별자치도 원주시 문막읍 큰애니길 17, 3층","26366","우리들사회적협동조합","2025-03-04 16:18:14","I","2025-03-06 00:10:58","","273855.532717613","425041.781814961","법인","무료",
"43","무료직업소개소","11_50_01_P","4191000","2025419100714500004","2025-02-18","","01","영업/정상","20","영업중","","","","","","","","","강원특별자치도 원주시 나비허리길 169-1 (관설동)","26471","따뜻한손사회적협동조합","2025-02-18 13:52:02","I","2025-02-20 00:10:42","","285550.542958399","424498.150005302","법인","무료",
"44","무료직업소개소","11_50_01_P","4191000","1996419011511200001","1996-01-13","","03","폐업","40","폐업","2018-03-27","","","","033 743 2991","","220-130","강원특별자치도 원주시 우산동 73번지 8호","강원특별자치도 원주시 북원로 2551 (우산동)","","원주상공회의소 무료직업소개소","2018-03-27 17:09:38","I","2023-06-13 00:00:00","","283339.498859058","430422.080300948","법인","무료",
"45","무료직업소개소","11_50_01_P","4191000","2004419011511200001","2004-03-30","","03","폐업","40","폐업","2015-06-23","","","","033 764 3855","","220-110","강원특별자치도 원주시 개운동 316번지 6호","강원특별자치도 원주시 남원로612번길 39 (개운동)","","장애인직업알선도우미","2015-06-23 17:33:30","I","2023-06-13 00:00:00","","284129.629988518","426379.153480992","법인","무료",
"46","무료직업소개소","11_50_01_P","4191000","2008419014914500002","2008-01-31","","03","폐업","40","폐업","2012-01-12","","","","033 748 5119","","220-050","강원특별자치도 원주시 일산동 230번지 2호","강원특별자치도 원주시 천사로 178 (일산동)","","강원알코올상담센터","2012-01-12 13:53:15","I","2023-06-13 00:00:00","","283569.740562133","427956.618712357","법인","무료",
"47","무료직업소개소","11_50_01_P","4191000","2010419019114500008","2010-05-17","","03","폐업","40","폐업","2014-01-17","","","","033 742 2004","","220-904","강원특별자치도 원주시 중앙동 217번지 1호","강원특별자치도 원주시 원일로 56-1 (중앙동)","","(사)한국청년센터 원주지회","2014-01-21 15:12:29","I","2023-06-13 00:00:00","","284322.006427229","427691.213121932","법인","무료",
"48","무료직업소개소","11_50_01_P","4191000","2010419019114500022","2010-12-10","","03","폐업","40","폐업","2018-07-13","","","","033 766 5990","","220-944","강원특별자치도 원주시 단구동 1486번지 2호","강원특별자치도 원주시 동부순환로 9-8 (단구동)","","원주시장애인종합복지관무료직업소개소","2018-07-13 17:02:01","I","2023-06-13 00:00:00","","285813.133172423","424539.270851818","법인","무료",
"49","무료직업소개소","11_50_01_P","4191000","2012419019114500003","2012-02-06","","03","폐업","40","폐업","2015-06-04","","","","033 744 1318","","220-935","강원특별자치도 원주시 단계동 123번지 12호","강원특별자치도 원주시 원문로137번길 7-6 (단계동)","220-935","한국기독교청년회(원주기독교청년회)","2015-06-05 13:44:29","I","2023-06-13 00:00:00","","282668.409675799","428499.998202146","법인","무료",
"50","무료직업소개소","11_50_01_P","4191000","2016419019114500002","2016-02-26","","03","폐업","40","폐업","2020-04-16","","","","0337422004","","","","강원특별자치도 원주시 원일로 151-1, 2~3층 (일산동)","26427","사회적협동조합 원주진로교육센터 새움(일산동지점)","2020-04-23 15:59:48","I","2023-06-13 00:00:00","","283774.088984962","428186.489968407","법인","무료",
"51","무료직업소개소","11_50_01_P","4191000","2018419028614500014","2018-12-11","","03","폐업","40","폐업","2023-10-31","","","","033 763 7779","","","","강원특별자치도 원주시 금불1길 38-5, 102호 (단계동)","26423","캐치커리어 사회적협동조합","2023-11-10 15:10:17","U","2023-11-12 02:40:00","","282344.185547165","427792.441762941","법인","무료",
"52","무료직업소개소","11_50_01_P","4201000","2023420101814500003","2023-09-06","","01","영업/정상","20","영업중","","","","","033 651 1385","","","","강원특별자치도 강릉시 수리골길 27 (교동)","25474","사단법인 강릉YWCA","2024-04-03 08:41:57","U","2024-04-05 02:40:00","","367311.570649438","476202.978205416","법인","무료",
"53","무료직업소개소","11_50_01_P","4201000","2012420011514500007","2012-06-08","","01","영업/정상","20","영업중","","","","","033 643 4411","","210-922","강원특별자치도 강릉시 교2동 349번지 2호","강원특별자치도 강릉시 종합운동장길 88 (교동)","210-922","강릉상공회의소","2024-06-21 17:16:54","U","2024-06-23 02:40:00","","367021.073783902","475991.577259467","법인","무료",
"54","무료직업소개소","11_50_01_P","4201000","2013420011514500006","2013-08-19","","01","영업/정상","20","영업중","","","","","033 652 9070","","","강원특별자치도 강릉시 병산동 337번지 3호","강원특별자치도 강릉시 공항길 19 (병산동)","210-290","강릉시니어클럽","2020-07-09 16:26:38","I","2023-06-13 00:00:00","","370749.698195225","475101.77997424","법인","무료",
"55","무료직업소개소","11_50_01_P","4201000","2013420020714500001","2013-09-03","","01","영업/정상","20","영업중","","","","","033 641 6085","","","강원특별자치도 강릉시 홍제동 96번지 54호","강원특별자치도 강릉시 경강로 1956 (홍제동)","210-948","대한노인회 강릉시지회","2020-07-09 16:25:47","I","2023-06-13 00:00:00","","365979.83056977","473358.973368062","법인","무료",
"56","무료직업소개소","11_50_01_P","4201000","2023420038614500001","2023-01-18","","01","영업/정상","20","영업중","","","","","033 655 9088","","","강원특별자치도 강릉시 교동 934-1 한국지체장애인협회","강원특별자치도 강릉시 원대로26번길 31, 한국지체장애인협회 2층 (교동)","25506","강릉시 지적발달자립지원센터","2023-11-14 15:46:52","U","2023-11-16 02:40:00","","366020.926931405","474565.791753464","법인","무료",
"57","무료직업소개소","11_50_01_P","4201000","2024420101814500004","2024-05-24","","01","영업/정상","20","영업중","","","","","033 646 9669","","","","강원특별자치도 강릉시 강릉대로 523, 1층 (포남동)","25484","기쁨가득사회적협동조합","2024-05-24 14:23:55","I","2024-05-26 00:14:47","","368873.367308397","476877.550765735","법인","무료",
"58","무료직업소개소","11_50_01_P","4201000","2002420008511200001","2002-07-02","","03","폐업","40","폐업","","","","","","","","강원특별자치도 강릉시 옥천동 367번지 3호 14통 5반","","","강릉농협농산물산지유통센터","2004-12-27 17:43:26","I","2023-06-13 00:00:00","","367617.875766114","474946.817713064","개인","무료",
"59","무료직업소개소","11_50_01_P","4201000","2004420008511500009","2004-06-23","","03","폐업","40","폐업","2010-04-26","","","","033 643 1801","","","강원특별자치도 원주시 명륜동 388호 11통 1반","강원특별자치도 원주시 남원로527번길 82-9 (명륜동)","","강릉장애인무료직업소개소","2010-04-26 16:24:49","I","2023-06-13 00:00:00","","283483.645701392","426290.300041418","법인","무료",
"60","무료직업소개소","11_50_01_P","4201000","2005420008511200001","2005-04-28","","03","폐업","40","폐업","2008-01-10","","","","","","","강원특별자치도 강릉시 교동 1748호 32통 2반 교동주공2단지아파트 205 906","강원특별자치도 강릉시 가작로 85, 205동 906호 (교동,교동주공2단지아파트)","","강릉장애인무료직업소개소","2008-03-18 13:54:46","I","2023-06-13 00:00:00","","366076.663409547","475777.353988968","개인","무료",
"61","무료직업소개소","11_50_01_P","4201000","2009420011514500001","2009-02-12","","03","폐업","40","폐업","2021-05-12","","","","033 643 4688","","","강원특별자치도 강릉시 노암동 279번지 9호","강원특별자치도 강릉시 강변로 278 (노암동)","210-930","노암직업무료지원센터","2021-05-12 15:51:24","I","2023-06-13 00:00:00","","367291.844469613","473583.069728444","법인","무료",
"62","무료직업소개소","11_50_01_P","4211000","1994421009311200001","1994-04-01","","01","영업/정상","20","영업중","","","","","531 3007","","","강원특별자치도 동해시 발한동 216-15 동해 YWCA","강원특별자치도 동해시 발한로 182, 동해 YWCA 1층 (발한동)","25725","사단법인 동해YWCA 무료직업소개소","2025-06-02 12:56:24","U","2025-06-04 02:40:00","","386093.891833245","451485.057457221","법인","무료",
"63","무료직업소개소","11_50_01_P","4211000","2017421018114500001","2017-01-11","","01","영업/정상","20","영업중","","","","","033 532 8848","","","","강원특별자치도 동해시 천곡로 6, 2층 (천곡동, 대한노인회동해시지부)","25764","대한노인회 동해시지회","2025-07-02 14:33:50","U","2025-07-04 02:40:00","","386110.202110593","449097.642569131","법인","무료",
"64","무료직업소개소","11_50_01_P","4211000","2020421021514500002","2020-02-14","","01","영업/정상","20","영업중","","","","","033 534 7501","","","","강원특별자치도 동해시 중앙로 152, 태영 201호 (천곡동)","25777","동해시니어클럽","2025-07-10 09:46:49","U","2025-07-12 02:40:00","","387279.57446613","447985.540223044","법인","무료",
"65","무료직업소개소","11_50_01_P","4211000","2004421009311200001","2004-05-14","","03","폐업","40","폐업","2009-03-03","","","","","","","강원특별자치도 동해시 추암동 130번지 2호 8통 3반","강원특별자치도 동해시 추암길 29-2 (추암동)","","동해시장애인무료직업소개소","2009-03-03 17:42:16","I","2023-06-13 00:00:00","","389820.670001038","442840.926406931","법인","무료",
"66","무료직업소개소","11_50_01_P","4211000","2006421009311500003","2006-06-12","","03","폐업","40","폐업","2010-07-29","","","","003305337200","","240-230","강원특별자치도 동해시 구호동 241번지","강원특별자치도 동해시 공단2로 15-5 (구호동)","","한국산업단지공단동해지부 무료직업안내소","2010-07-30 16:55:46","I","2023-06-13 00:00:00","","389409.558914799","443236.740585902","법인","무료",
"67","무료직업소개소","11_50_01_P","4211000","2014421014014500001","2014-02-19","","03","폐업","40","폐업","2023-04-18","","","","","","","","강원특별자치도 동해시 중앙로 240 (천곡동)","240-812","동해상공회의소","2023-04-18 14:38:37","I","2023-06-13 00:00:00","","386885.912532397","448766.313339921","법인","무료",
"68","무료직업소개소","11_50_01_P","4221000","2024422105414500001","2024-08-27","","01","영업/정상","20","영업중","","","","","","","","","강원특별자치도 태백시 태백로 1134 (황지동)","26039","(사)열린정보화직업재활협회","2024-08-27 18:14:07","I","2024-08-29 00:13:20","","376653.407141704","407977.436315076","법인","무료",
"69","무료직업소개소","11_50_01_P","4221000","2006422001011200001","2006-09-15","","01","영업/정상","20","영업중","","","","","0335525881","","","강원특별자치도 태백시 소도동 19호 9통 6반 한솔아파트 2 210","강원특별자치도 태백시 소도1길 71, 2동 210호 (소도동,한솔아파트)","","진폐재해인 무료직업소개소","2010-02-05 17:44:18","I","2023-06-13 00:00:00","","375449.029998888","405722.548952237","법인","무료",
"70","무료직업소개소","11_50_01_P","4221000","2013422007214500002","2013-09-26","","01","영업/정상","20","영업중","","","","","0335541248","","","","강원특별자치도 태백시 광장로 45 (황지동)","235-801","(사)대한노인회 태백시지회","2022-08-03 09:10:14","I","2023-06-13 00:00:00","","376465.142813546","410489.113825614","법인","무료",
"71","무료직업소개소","11_50_01_P","4221000","2022422012214500004","2022-12-20","","01","영업/정상","20","영업중","","","","","0335817733","","","","강원특별자치도 태백시 태백로 1565, 태백시니어클럽 (문곡동)","26044","태백시니어클럽","2022-12-20 15:36:52","I","2023-06-13 00:00:00","","377980.298847191","404775.723957283","법인","무료",
"72","무료직업소개소","11_50_01_P","4221000","2003422001011200001","2003-12-02","","03","폐업","40","폐업","2014-07-28","","","","033 554 0355","","","강원특별자치도 태백시 황지동 343번지 43호 11통 2반","강원특별자치도 태백시 엄나무정2길 10-2 (황지동)","","장애인 무료직업소개소","2014-08-03 13:50:42","I","2023-06-13 00:00:00","","375795.560530214","410516.971446572","개인","무료",
"73","무료직업소개소","11_50_01_P","4221000","2006422001011500002","2006-03-06","","03","폐업","40","폐업","2012-03-19","","","","","","235-800","강원특별자치도 태백시 황지동 114번지 25호","강원특별자치도 태백시 상장로 41 (황지동)","","장애인무료직업소개소","2012-03-27 10:36:57","I","2023-06-13 00:00:00","","376744.129100867","407209.743921664","법인","무료",
"74","무료직업소개소","11_50_01_P","4221000","2012422007214500002","2012-03-27","","03","폐업","40","폐업","2019-12-02","","","","0335540357","","","","강원특별자치도 태백시 상장로 41 (황지동)","235-019","실버무료직업소개소","2019-12-02 17:12:03","I","2023-06-13 00:00:00","","376744.129100867","407209.743921664","법인","무료",
"75","무료직업소개소","11_50_01_P","4221000","2001422001011200001","2001-10-11","","04","취소/말소/만료/정지/중지","70","등록취소","2010-05-16","","","","","","","강원특별자치도 태백시 황지동 621번지 211호 2통 5반","","","장애인무료직업소개소","2010-05-10 11:59:20","I","2023-06-13 00:00:00","","","","개인","무료",
"76","무료직업소개소","11_50_01_P","4231000","2016423007814500005","2016-12-28","","01","영업/정상","20","영업중","","","","","6357151","","","","강원특별자치도 속초시 엑스포로 168 (교동)","24836","대한노인회 속초시지회","2018-05-21 10:41:30","I","2023-06-13 00:00:00","","338473.892845749","522939.241133778","법인","무료",
