"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","승려수","신도수","창립연대","유래연혁","지정취소","지정취소일자","지정취소사유","전통사찰명",
"18","전통사찰","03_07_11_P","6530000","4211000-002","1988-05-28","","01","영업/정상","BBBB","","","","","","0335347661","","","강원특별자치도 동해시 삼화동 산172번지","","","삼화사","2011-11-23 13:36:51","I","2023-06-13 00:00:00","","","","5","1500","642","신라 선덕여왕 11년 자장율사 창건. 
신라 경문왕 4년 중건, 고려 공민왕 18년 확장.
임진왜란 때 전소. 1908년 중건, 1997년 이건.","A","","","삼화사",
"19","전통사찰","03_07_11_P","6530000","4231000-001","1988-05-28","","01","영업/정상","BBBB","","","","","","0336367044","","","강원특별자치도 속초시 설악동 170번지","강원특별자치도 속초시 설악산로 1137 (설악동)","","신흥사","2011-11-23 13:41:20","I","2023-06-13 00:00:00","","330016.079736653","520253.149761864","15","6940","652","신라 진덕여왕 6년 자장율사가 창건.
조선 인조 22년(1644) 영서 연옥 혜원스님이 하루 저녁 같은 꿈을 동시에 꾼것을 계기로 중창을 시작하여 1647년 완공. 1917년 조계종 제3교구본사로 승격.","A","","","신흥사",
"20","전통사찰","03_07_11_P","6530000","4231000-002","1988-10-21","","01","영업/정상","BBBB","","","","","","0336367188","","","강원특별자치도 속초시 설악동 산40번지","강원특별자치도 속초시 설악산로 1140-115 (설악동)","","계조암","2011-11-23 13:45:48","I","2023-06-13 00:00:00","","329334.025587911","521077.170997124","2","1000","652","신라 진덕여왕 6년 자장율사가 창건(신흥사와 동시에)했는데 정확히 신흥사보다 먼저 창건.
1548년 중건, 고종 27년(1890) 응화스님이 삼성각 건립하여 현재에 이르고 있음.","A","","","계조암",
"21","전통사찰","03_07_11_P","6530000","4241000-001","1988-05-28","","01","영업/정상","BBBB","","","","","","0335720333","","","강원특별자치도 삼척시 미로면 내미로리 785번지","강원특별자치도 삼척시 미로면 동안로 816","","천은사","2011-11-23 14:01:39","I","2023-06-13 00:00:00","","380698.043692988","440021.945184556","1","3400","829","신라 흥덕왕 4년 창건 당시에는 백련대, 고려 충렬왕때 간장사, 조선 고종때는 영경, 준경묘를 수축하고서 임금님의 은혜를 입었다는 의미에서 천은사로 개칭.","A","","","천은사",
"22","전통사찰","03_07_11_P","6530000","4241000-003","1988-05-28","","01","영업/정상","BBBB","","","","","","0335723600","","","강원특별자치도 삼척시 근덕면 동막리 1332번지","강원특별자치도 삼척시 근덕면 양리길 220","","신흥사","2015-02-10 20:40:48","I","2023-06-13 00:00:00","","395386.199179747","426903.552220947","0","0","838","신라 민애왕 원년 범일국사 창건.

조선 현종 15년(1647)에 중창. 순조 21년(1821) 삼척부사 이헌규가 시주를 하여 크게 중창.","A","","","신흥사",
"23","전통사찰","03_07_11_P","6530000","4251000-001","1988-05-28","","01","영업/정상","BBBB","","","","","","0334336611","","","강원특별자치도 홍천군 영귀미면 덕치리 9","","","수타사","2013-10-29 10:59:32","I","2023-06-13 00:00:00","","284528.210770047","466659.938521277","4","800","708","","A","","","수타사",
"24","전통사찰","03_07_11_P","6530000","4251000-002","2006-01-06","","01","영업/정상","BBBB","","","","","","0334331138","","","강원특별자치도 홍천군 내촌면 서곡리 19","강원특별자치도 홍천군 내촌면 여창길 402","","쌍계사","2011-11-23 14:13:06","I","2023-06-13 00:00:00","","299655.533830081","481509.388105498","3","500","조선시대","","A","","","쌍계사",
"25","전통사찰","03_07_11_P","6530000","4261000-001","1988-05-28","","01","영업/정상","BBBB","","","","","","0333433007","","","강원특별자치도 횡성군 횡성읍 남산리 산16번지 5호","","","보광사","2011-11-23 14:16:37","I","2023-06-13 00:00:00","","","","1","1150","1933","옛 남산사의 절터에 건립함. 창건당시는 남산사라 했으나 1965년 5월 7일 보광사로 등록.","A","","","보광사",
"26","전통사찰","03_07_11_P","6530000","4261000-002","1988-05-28","","01","영업/정상","BBBB","","","","","","0333455656","","","강원특별자치도 횡성군 청일면 신대리 138번지","","","봉복사","2011-11-23 14:15:17","I","2023-06-13 00:00:00","","","","1","250","647","신라 자장율사가 창건하였다고 함.","A","","","봉복사",
"27","전통사찰","03_07_11_P","6530000","4271000-001","1988-05-28","","01","영업/정상","BBBB","","","","","","0333743169","","","강원특별자치도 영월군 영월읍 영흥리 영흥12리 1110번지","강원특별자치도 영월군 영월읍 보덕사길 34","","보덕사","2011-11-23 14:20:06","I","2023-06-13 00:00:00","","329337.860933776","411654.739005955","3","840","668","668년 의상조사가 창건하였으며, 발본산 지덕사라  하였음. 1457년 단종대왕이 노산군으로 강봉되어 이곳 영월로 유배되자 노릉사라 개칭하였으며 그후 태백산 보덕사라 함.","A","","","보덕사",
"28","전통사찰","03_07_11_P","6530000","4271000-002","1988-05-28","","01","영업/정상","BBBB","","","","","","0333749177","","","강원특별자치도 영월군 무릉도원면 법흥리 422번지1호","","","법흥사","2015-02-10 20:41:29","I","2023-06-13 00:00:00","","311599.623471093","430852.149319346","8","1000","643","신라의 자장율사가 당나라에 들어가 유학하던중 청량산에서 문수보살을 친견하고 가사, 진신사리,강경 등을 전수받아 귀국하며 석가모니 진신사리 일부를 이곳에 봉안함 (흥년사라 명명)","A","","","법흥사",
"29","전통사찰","03_07_11_P","6530000","4281000-001","1988-05-28","","01","영업/정상","BBBB","","","","","","0333326664","","","강원특별자치도 평창군 진부면 동산리 63번지","","","월정사","2011-11-23 14:23:42","I","2023-06-13 00:00:00","","","","32","12000","643","신라 선덕여왕때 자장율사가 창건.
한국동란으로 거의 소실된 후 현재의 건물은 전란 이후에 세워진 것임.","A","","","월정사",
"30","전통사찰","03_07_11_P","6530000","4281000-002","2007-12-07","","01","영업/정상","BBBB","","","","","","0333322308","","","강원특별자치도 평창군 평창읍 중리 219 - 1","강원특별자치도 평창군 평창읍 노람들길 57","","극락사","2011-11-23 00:00:00","I","2023-06-13 00:00:00","","323984.619272414","430667.052365893","0","0","1943","","A","","","극락사",
"31","전통사찰","03_07_11_P","6530000","4291000-001","2007-12-07","","01","영업/정상","BBBB","","","","","","0335912469","","","강원특별자치도 정선군 고한읍 고한리 산213번지","","","정암사","2011-11-23 14:40:49","I","2023-06-13 00:00:00","","","","4","10000","645","신라 선덕여왕 14년 자장율사가 창건.","A","","","정암사",
"32","전통사찰","03_07_11_P","6530000","4301000-001","2007-12-07","","01","영업/정상","BBBB","","","","","","0334552471","","","강원특별자치도 철원군 동송읍 관우리 450번지","강원특별자치도 철원군 동송읍 도피동길 23","","도피안사","2011-11-23 14:43:11","I","2023-06-13 00:00:00","","219024.103106184","526371.772388488","1","200","865","신라 경문왕 5년 도선국사가 창건.
한국동란으로 완전 소실된 것을 1959년 15사단장 이명재 장군이 장병들과 함께 중건.","A","","","도피안사",
"33","전통사찰","03_07_11_P","6530000","4301000-002","2007-12-07","","01","영업/정상","BBBB","","","","","","0334555882","","","강원특별자치도 철원군 동송읍 상노리 72번지 1호","강원특별자치도 철원군 동송읍 상노1길 58","","심원사","2011-11-23 14:44:44","I","2023-06-13 00:00:00","","221788.367655542","517828.06941144","1","83","647","신라 진덕여왕 1년 영원조사가 창건.
859년 범일구사가 중수 조선 태조 5년(1396) 무학왕사가 중창했는데 예전의 흥림사를 심원사로 개칭함.","A","","","심원사",
"34","전통사찰","03_07_11_P","6530000","4331000-001","2007-12-07","","01","영업/정상","BBBB","","","","","","0334626969","","","강원특별자치도 인제군 북면 용대리 690","강원특별자치도 인제군 북면 백담로 746","","백담사","2011-11-23 14:46:06","I","2023-06-13 00:00:00","","320195.918379103","518746.373463831","3","500","647","자장율사가 한계사를창건, 이후 소실 중건하고 정조 7년 개명함.
676년(진덕여왕원년) 한계리에 한계사로 창건후 1775년(영조51년)까지 운흥사, 심원사, 선구사, 영취사로 사지를 옮기다가 1457년(세조3년)과 
1783년(정조7년)에 백담사라 개칭함.","A","","","백담사",
"35","전통사찰","03_07_11_P","6530000","4331000-002","1988-10-21","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 인제군 북면 용대리 산76","강원특별자치도 인제군 북면 백담로 1700","","봉정암","2011-11-23 14:50:17","I","2023-06-13 00:00:00","","327593.282835802","514682.08789223","3","150","643","신라 선덕여왕 12년에 자장율사가 창건.
당나라 청정산에서 기도중 문수보살을 친견하여 부처님 가사와 사리를 전수받아 해동설산 봉정암에 오층탑을 세웠음.
봉황새의 정수리와 같이 봉정암이라함.","A","","","봉정암",
"36","전통사찰","03_07_11_P","6530000","4331000-003","1988-10-21","","01","영업/정상","BBBB","","","","","","0334628135","","","강원특별자치도 인제군 북면 용대리 산 75","","","오세암","2011-11-23 14:51:25","I","2023-06-13 00:00:00","","","","3","150","647","신라 선덕여왕 13년에 자장율사가 관음암으로 창건.
조선 인조(1643)때 설정대사가 중건, 오세암으로 개칭했는데 설정의 조카 오세동자가 여기서 견성득도한 데서 유래.","A","","","오세암",
"37","전통사찰","03_07_11_P","6530000","4331000-004","2007-12-07","","01","영업/정상","BBBB","","","","","","0334610858","","","강원특별자치도 인제군 인제읍 상동리 산 1-3","강원특별자치도 인제군 인제읍 인제로167번길 365","","백련정사","2011-11-23 14:48:51","I","2023-06-13 00:00:00","","300936.137728581","510497.738743052","1","400","신라(연대미상)","신라때 이곳에 천곡사가 있었으나 한국동란  때 소실 1966년에 중건하여 이후 개명.","A","","","백련정사",
"38","전통사찰","03_07_11_P","6530000","4341000-001","1988-05-28","","01","영업/정상","BBBB","","","","","","0336331525","","","강원특별자치도 고성군 토성면 신평리 476번지","","","화암사","2011-11-24 10:33:59","I","2023-06-13 00:00:00","","","","1","600","769","신라 혜공왕 5년 진표율사가 창건, 조선 영조 6년에 소실 익년도에 재건,고종원년에소실,동년에 재건","A","","","화암사",
"39","전통사찰","03_07_11_P","6530000","4341000-002","1988-05-28","","01","영업/정상","BBBB","","","","","","0336828100","","","강원특별자치도 고성군 거진읍 냉천리 36번지","강원특별자치도 고성군 거진읍 건봉사로 723","","건봉사","2015-02-10 20:42:09","I","2023-06-13 00:00:00","","320308.951092776","545236.850806726","3","250","520","법흥왕7년 아도화상이 건립했다고전함. 
고종때 소실된 후 1892년에 766칸 대사찰 건립. 
한국동란때 전소.","A","","","건봉사",
"40","전통사찰","03_07_11_P","6530000","4341000-003","1988-10-21","","01","영업/정상","BBBB","","","","","","0336812095","","","강원특별자치도 고성군 간성읍 교동리 280번지","강원특별자치도 고성군 간성읍 교동2길 26","","극락암","2011-11-24 10:35:53","I","2023-06-13 00:00:00","","325764.220982077","542936.75254775","4","100","945","고려 혜종2년 묘적동에 창건, 1878년 전소, 1887년 사미봉진이 재건, 한국동란 때 전소 1956년에 현사찰 재건.","A","","","극락암",
"41","전통사찰","03_07_11_P","6530000","4351000-001","1988-05-28","","01","영업/정상","BBBB","","","","","","0336731526","","","강원특별자치도 양양군 현북면 어성전리 488번지","강원특별자치도 양양군 현북면 어성전길 93-31","","명주사","2011-11-24 10:47:40","I","2023-06-13 00:00:00","","346721.773553175","495777.104736333","3","150","1009","고려 목종 12년 창건.한국동란 때 전소된 것을 1963년부터 중수하기 시작.","A","","","명주사",
"42","전통사찰","03_07_11_P","6530000","4351000-002","1988-05-28","","01","영업/정상","BBBB","","","","","","0336710592","","","강원특별자치도 양양군 양양읍 화일리 2리 산323번지","강원특별자치도 양양군 양양읍 불당골길 346","","영혈사","2011-11-24 10:46:19","I","2023-06-13 00:00:00","","335576.411976721","512812.190237494","1","600","689","원효대사의 수도처로서 신라 문무왕9년 원효대사가 창건.조선 숙종 14년. 숙종 16년 사승 취원이 중건.고종 24년 지화.도윤스님이 중수","A","","","영혈사",
"43","전통사찰","03_07_11_P","6530000","4351000-003","1988-10-21","","01","영업/정상","BBBB","","","","","","0336722448","","","강원특별자치도 양양군 강현면 전진리 산5-2","강원특별자치도 양양군 강현면 낙산사로 100","","홍련암","2011-11-24 10:48:43","I","2023-06-13 00:00:00","","342728.237251651","514977.893157342","3","5000","672","신라 문무왕 12년 의상조사 창건

의상이 관음보살의 진실을 친견한 곳인 관음굴 위에 지은 불전으로서 이곳에서 밤낮없이 7일동안 기도를 하자 바다위에서 홍련이 솟아났고,
그 꽃속에서 관음보살이 현신했다하여 홍련암으로 명명한 것으로 전해짐.","A","","","홍련암",
"44","전통사찰","03_07_11_P","6530000","4351000-004","1988-05-28","","01","영업/정상","BBBB","","","","","","0336722448","","","강원특별자치도 양양군 강현면 전진리 55번지","강원특별자치도 양양군 강현면 낙산사로 100","","낙산사","2015-02-10 20:43:06","I","2023-06-13 00:00:00","","342728.237251651","514977.893157342","6","3460","671","신라 문무왕 11년(671) 의상조사가 창건.  헌안왕2년 (858) 범일대사 중건, 1953년 4월 당시1군단장 이형근 장군과 지역인사가 복원.","A","","","낙산사",
"45","전통사찰","03_07_11_P","6530000","4241000-004","1988-05-28","","01","영업/정상","BBBB","","","","","","0335732487","","","강원특별자치도 삼척시 성내동 8번지1호","강원특별자치도 삼척시 죽서루길 61 (성내동)","","삼장사","2011-11-23 14:00:32","I","2023-06-13 00:00:00","","391095.41775993","439933.856431589","1","800","1925","1925년 영우스님이 중창.","A","","","삼장사",
"46","전통사찰","03_07_11_P","6530000","4351000-005","2008-12-19","","01","영업/정상","BBBB","","","","","","0336729999","","","강원특별자치도 양양군 강현면 둔전리 124 - 5","강원특별자치도 양양군 강현면 화채봉길 368","","진전사","2011-11-24 00:00:00","I","2023-06-13 00:00:00","","335438.157010156","514466.579531966","0","0","671","","A","","","진전사",
"47","전통사찰","03_07_11_P","6530000","6530000-001","2025-10-16","","01","영업/정상","BBBB","","","","","","0335732658","","","강원특별자치도 삼척시 정상동 1 - 0 감로사","강원특별자치도 삼척시 영진안길 72-0 (정상동,감로사)","","대한불교조계종 감로사","2025-10-16 00:00:00","I","2025-10-18 00:20:01","","393293.33615124","439872.619010357","1","2000","1960","","","","","대한불교조계종 감로사",
"48","전통사찰","03_07_11_P","4181000","CDFD1001","1988-10-21","","01","영업/정상","05","지정","","","","","033-244-6753","","","강원특별자치도 춘천시 서면 덕두원리 54-3","강원특별자치도 춘천시 서면 박사로 169-47","","상원사","2010-05-07 09:31:19","I","2023-06-13 00:00:00","","258874.10120546","482272.488224663","0","0","","삼악산에 위치한 사찰로 신라때 창건되었다고 전해지나 1858년도(철종 9년) 금강산에서 온 풍계선사가 중건했다고 함","N","","","상원사",
"49","전통사찰","03_07_11_P","4181000","CDFD1003","1988-05-28","","01","영업/정상","05","지정","","","","","033-244-1095","","","강원특별자치도 춘천시 북산면 청평리 674","강원특별자치도 춘천시 북산면 오봉산길 810","","청평사","2009-09-22 15:30:20","I","2023-06-13 00:00:00","","271003.759499395","498496.642544476","0","0","","고려 광종 24년 백암선원으로 창건되어 조선 명종(1557) 청평사로 개명","N","","","청평사",
"50","전통사찰","03_07_11_P","4191000","CDFD1001","1988-05-28","","01","영업/정상","05","지정","","","","","033-742-2598","","","강원특별자치도 원주시 태장동 122-1","강원특별자치도 원주시 치악로 2006-19  (태장동)","","영천사","2009-10-09 13:58:44","I","2023-06-13 00:00:00","","285123.306046539","428916.064774946","0","0","","고려말 나옹화상이 머물렀던 곳으로 나옹화상의 사리탑으로 알려지는 영전사지 보제존자사리탑
(보물 제358호)이 있었으나 1919년 옮겨져 현재 경복궁(국립중앙박물관 뜰)내에 있음","N","","","영천사",
"51","전통사찰","03_07_11_P","4191000","CDFD1002","1988-05-28","","01","영업/정상","05","지정","","","","","033-763-1608","","","강원특별자치도 원주시 신림면 성남리 1060","강원특별자치도 원주시 신림면 성남로 930","","상원사","2009-10-09 13:58:11","I","2023-06-13 00:00:00","","293348.283989","423252.552976482","2","200","","신라 문무왕때 의상대사가 창건하고 경순왕때 무학대사가 중창했다고 전함.","N","","","상원사",
"52","전통사찰","03_07_11_P","4191000","CDFD1003","1988-05-28","","01","영업/정상","05","지정","","","","","033-731-0215","","","강원특별자치도 원주시 소초면 흥양리 산 1784","","","입석사","2009-03-26 13:16:33","I","2023-06-13 00:00:00","","","","1","300","","자세한 창건연대는 알 수 없으나, 신라시대 의상대사가 이곳에 와서 수도(修道) 하였다는  전설이 전해오고 있다. 대웅전을 비롯한 건물은 최근에 신축되었고, 주변에 흩어져 있던 석탑재를 일부 사용하여 복원한 3층 석탑이 있다. 본래 입석사는 입석대(立石臺)로 부터 원주쪽으로 약 1킬로 정도 떨어진 곳에 암자가 있던 것을 뒤에 현재 입석사 옆의 옛터로 옮겼다가 최근에 다시 신축한 것이라고 한다.","N","","","입석사",
"53","전통사찰","03_07_11_P","4191000","CDFD1004","1988-05-28","","01","영업/정상","05","지정","","","","","033-732-4800","","","강원특별자치도 원주시 소초면 학곡리 1029","강원특별자치도 원주시 소초면 구룡사로 500","","구룡사","2009-10-09 13:59:07","I","2023-06-13 00:00:00","","292901.518643279","433596.09078137","15","50000","","신라 문무왕 6년(666년) 의상대사가 창건한 사찰로 대웅전 자리에 9마리의 용이 살고 있는 연못을 메우고 사찰을 창건하여 九龍寺라 하였으나, 조선 중기에 거북바위 설화와 관련하여 현재의 명칭인 구룡사(龜龍寺)로 개칭하였다고 전해진다. 현재는 강희 45년 글자가 새겨진 와당이 출토되어 숙종 32년(1706)에 구룡사가 중건 되었음을 알 수 있다.","N","","","구룡사",
"54","전통사찰","03_07_11_P","4191000","CDFD1005","1988-05-28","","01","영업/정상","05","지정","","","","","033-747-1815","","","강원특별자치도 원주시 행구동 98","강원특별자치도 원주시 고문골길 155 (행구동)","220-160","국형사","2011-10-30 13:42:40","I","2023-06-13 00:00:00","","289746.472267288","426281.50502515","2","200","","신라 경순왕때 무착대사에 의해 창건되어 고문암이라 함. 당시의 유물유적은 남아있지 않다.조선조 태조 때 이 절에 동악단을 쌓아 동악신을 봉안하고 매년 원주,횡성,영월,평창,정선 고을의 수령들이 모여 제향을 올렸다고 한다. 1907년 벽하와 응송이 중창하였으며, 1945년에 자항이, 1974년에는 김용호가 각각 중수하였다고 한다. 봄과 가을에 호국대제를 봉행하는 동악제가 있다.","N","","","국형사",
"55","전통사찰","03_07_11_P","4191000","CDFD1006","1988-05-28","","01","영업/정상","05","지정","","","","","033-762-4783","","","강원특별자치도 원주시 판부면 금대리 1388","강원특별자치도 원주시 판부면 영원산성길 685","","영원사","2009-10-09 13:55:49","I","2023-06-13 00:00:00","","291335.253568379","423112.284943662","2","300","","영원사는 신라 문무왕 16년(676)에 의상대사가 창건하였다고 전해지는 절로서 오랫동안 폐사되었다가 1964년 김병준 주지에 의하여 중건되었다.  경내에는 창건 당시의 유물은 없다.","N","","","영원사",
"56","전통사찰","03_07_11_P","4191000","CDFD1007","1988-05-28","","01","영업/정상","05","지정","","","","","033-747-1525","","","강원특별자치도 원주시 행구동 산 105","","","보문사","2009-10-09 13:59:48","I","2023-06-13 00:00:00","","","","1","200","","신라 경순왕때 무학대사가 창건했다고 전함. 경내에는 고려말-조선초 때의 것으로 보이는 청석
탑이 있어 고찰의 흔적을 엿볼 수 있음","N","","","보문사",
