"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자","관리주체",
"11","병원","01_01_01_P","4181000","PHMA220054180029021200001","2005-05-30","","01","영업/정상","13","영업중","","","","","033)248-7700","","200-939","강원특별자치도 춘천시 우두동 291번지 2호","강원특별자치도 춘천시 충열로142번길 24-16 (우두동)","24227","강원특별자치도재활병원","2023-06-16 09:33:50","U","2023-06-18 02:40:00","병원","265108.905671972","489243.60633558","병원","36","40","148","13421","122 120 102 101","내과, 신경과, 재활의학과, 가정의학과","","","","0","0","","","0","","시군구",
"12","병원","01_01_01_P","4181000","PHMA219944180029021200001","1900-01-01","","01","영업/정상","13","영업중","","","","","033)244-0130","12980","","강원특별자치도 춘천시 신동 546-1","강원특별자치도 춘천시 방고개길 57 (신동)","24207","국군춘천병원","2025-05-15 14:39:12","U","2025-05-17 02:40:00","병원","264348.656892267","493142.100309624","병원","68","26","152","12980","407 406 403 402 125 120 119 116 115 114 113 112 109 106 105 104 103 101","내과, 정신건강의학과, 외과, 정형외과, 신경외과, 마취통증의학과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 진단검사의학과, 재활의학과, 응급의학과, 구강악안면외과, 치과보철과, 치주과, 치과보존과","","","","0","0","","","0","","시도",
"13","병원","01_01_01_P","4181000","PHMA219664180029021200001","1982-07-08","","01","영업/정상","13","영업중","","","","","033-258-2000","75746.3","","강원특별자치도 춘천시 효자3동17-1","강원특별자치도 춘천시 백령로 156 (효자동)","24289","강원대학교병원","2025-09-30 10:39:27","U","2025-10-02 02:40:00","종합병원","265438.256393839","486072.554860519","종합병원","802","176","624","75746.3","405 402 125 123 122 120 119 118 116 115 114 113 112 111 110 109 108 106 105 104 103 102 101","내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 응급의학과, 구강악안면외과, 소아치과","","","","0","0","","","0","","시도",
"14","병원","01_01_01_P","4181000","PHMA220184180029021200001","2018-05-30","","01","영업/정상","13","영업중","","","","","033)253-5000","3762.99","","강원특별자치도 춘천시 석사동 166번지","강원특별자치도 춘천시 영서로 1925-9 (석사동)","24416","토마스요양병원","2024-10-31 17:55:13","U","2024-11-02 02:40:00","요양병원(일반요양병원)","266376.227610157","482956.40574868","요양병원(일반요양병원)","10","34","148","3762.99","308 306 305 304 303 302 301 122 106 105 104 102 101","내과, 신경과, 외과, 정형외과, 신경외과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 침구과","","","","0","0","","","0","","시도",
"15","병원","01_01_01_P","4181000","PHMA220214180029021200001","2021-06-25","","01","영업/정상","13","영업중","","","","","033263-8100","1956.44","","","강원특별자치도 춘천시 남면 박암관천길 821-0","24468","춘천태동요양병원","2025-08-07 11:44:59","U","2025-08-09 02:40:00","요양병원(일반요양병원)","245533.487264355","469239.053751879","요양병원(일반요양병원)","6","25","54","1956.44","308 306 302 301 106 104","외과, 신경외과, 한방내과, 한방부인과, 한방재활의학과, 침구과","","","","0","0","","","0","","시도",
"16","병원","01_01_01_P","4181000","PHMA220214180029021200002","2021-10-27","","01","영업/정상","13","영업중","","","","","033910-0993","","","","강원특별자치도 춘천시 춘천로 188-0, 10층 (효자동)","24329","365다담은한방병원","2023-07-17 11:23:56","U","2023-07-20 02:40:00","한방병원","264625.007546706","486195.45439825","한방병원","0","13","43","1336","","","","","","0","0","","","0","","시도",
"17","병원","01_01_01_P","4181000","PHMA219774180029021200001","1977-11-11","","01","영업/정상","13","영업중","","","","","033)253-3030","","","강원특별자치도 춘천시 낙원동8-1","강원특별자치도 춘천시 금강로 39 (낙원동)","24272","인성병원","2021-09-07 10:14:37","I","2023-06-13 00:00:00","병원","263883.466910628","486768.318767618","병원","38","59","141","4996","116 110 109 106 105 104 101","내과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 영상의학과","","","","0","0","","","0","","시군구",
"18","병원","01_01_01_P","4181000","PHMA219844180029021200001","1984-12-08","","01","영업/정상","13","영업중","","","","","033-240-5000","28462.8","","강원특별자치도 춘천시 교동 153","강원특별자치도 춘천시 삭주로 77 (교동)","24253","한림대학교춘천성심병원","2025-10-02 15:52:11","U","2025-10-05 02:40:00","종합병원","264995.790705309","487048.050495199","종합병원","513","85","375","28462.8","402 125 123 122 120 119 118 117 116 115 114 113 112 111 110 109 108 107 106 105 104 103 102 101","내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 응급의학과, 구강악안면외과","","","","0","0","","","0","","시군구",
"19","병원","01_01_01_P","4181000","PHMA220064180029021200001","2006-08-11","","01","영업/정상","13","영업중","","","","","033)263-8275","2847.02","","강원특별자치도 춘천시 서면 안보리 312","강원특별자치도 춘천시 서면 율장길 328","24463","암스트롱요양병원","2025-10-02 15:54:25","U","2025-10-05 02:40:00","요양병원(일반요양병원)","251297.162611282","485018.162573848","요양병원(일반요양병원)","10","33","60","2847.02","308 307 306 305 304 303 302 301 122 117 106 104 101","내과, 외과, 신경외과, 방사선종양학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","","시군구",
"20","병원","01_01_01_P","4181000","PHMA220084180029021200002","1900-01-01","","01","영업/정상","13","영업중","","","","","033)251-9911","2355.52","200-200","강원특별자치도 춘천시 삼천동 789번지 1호","강원특별자치도 춘천시 옛경춘로 663 (삼천동)","24239","춘천호반요양병원","2024-08-26 10:42:52","U","2024-08-28 02:40:00","요양병원(일반요양병원)","262179.991029736","484053.913065895","요양병원(일반요양병원)","28","32","155","2355.52","122 120 115 104 102 101","내과, 신경과, 외과, 비뇨의학과, 재활의학과, 가정의학과","","","","0","0","","","0","","시도",
"21","병원","01_01_01_P","4181000","PHMA220104180029021200001","2010-01-22","","01","영업/정상","13","영업중","","","","","033)240-7500","","200-852","강원특별자치도 춘천시 동면 만천리 811번지 5호","강원특별자치도 춘천시 동면 세실로 252","24216","춘천시노인전문병원","2022-03-10 09:11:58","I","2023-06-13 00:00:00","요양병원(노인병원)","266472.713057028","486655.634360717","요양병원(노인병원)","24","27","166","4555","308 307 301 122 120 102","신경과, 재활의학과, 가정의학과, 한방내과, 사상체질과, 침구과","","","","0","0","","","0","","시군구",
"22","병원","01_01_01_P","4181000","PHMA220124180029021200002","2012-03-02","","01","영업/정상","13","영업중","","","","","033)260-7200","5855.7","","강원특별자치도 춘천시 동면 장학리 80번지 1호","강원특별자치도 춘천시 동면 춘천로 527-34","24210","춘천요양병원","2024-01-09 14:49:53","U","2024-01-11 02:40:00","요양병원(일반요양병원)","267126.590536997","488627.11291077","요양병원(일반요양병원)","36","47","299","5855.7","308 307 301 122 120 103 101","내과, 정신건강의학과, 재활의학과, 가정의학과, 한방내과, 사상체질과, 침구과","","","","0","0","","","0","","시군구",
"23","병원","01_01_01_P","4181000","PHMA220244181030021200001","2024-12-30","","01","영업/정상","13","영업중","","","","","033-263-5335","2425.5","","강원특별자치도 춘천시 퇴계동 188-6","강원특별자치도 춘천시 김유정로 1874 (퇴계동)","24422","더 오케이 병원","2025-09-01 10:37:24","U","2025-09-03 02:40:00","병원","264732.547697796","483702.804412051","병원","26","22","56","2425.5","120 116 109 106 105 102 101","내과, 신경과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 재활의학과","","","","0","0","","","0","","시도",
"24","병원","01_01_01_P","4191000","PHMA220114190023021200003","2011-08-01","","03","폐업","03","폐업","2018-06-16","","","","033-732-2693","","","강원특별자치도 원주시 단구동 267번지","강원특별자치도 원주시 늘품로 187-58 (단구동, 현대아카데미프라자)","26457","더사랑병원","2018-06-25 17:57:37","I","2023-06-13 00:00:00","병원","285374.856489138","426587.24417121","병원","6","12","66","2215.99","105 101 111 109 106 114 115 113 104 116","내과, 외과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 영상의학과","","","","0","0","","","0","","시군구",
"25","병원","01_01_01_P","4191000","PHMA220114190023021200004","2011-12-30","","03","폐업","03","폐업","2025-09-18","","","","033-748-9999","1760.65","220-100","강원특별자치도 원주시 단계동 883번지 6호","강원특별자치도 원주시 이화6길 7 (단계동)","26382","21세기병원","2025-09-17 16:58:18","U","2025-09-19 02:40:00","병원","282565.224850342","427238.778461897","병원","28","13","42","1760.65","106 105 109 116","정형외과, 신경외과, 마취통증의학과, 영상의학과","","","","0","0","","","0","","시군구",
"26","병원","01_01_01_P","4191000","PHMA220124190023021200002","2012-07-11","","03","폐업","03","폐업","2013-08-02","","","","033-732-0270","","220-120","강원특별자치도 원주시 태장동 1403번지 5호","강원특별자치도 원주시 북원로 2636 (태장동)","220-962","원주민중병원","2018-01-17 16:36:56","I","2023-06-13 00:00:00","병원","283738.821268361","431142.506440562","병원","4","12","80","830","101 105","내과, 정형외과","","","","0","0","","","0","","시군구",
"27","병원","01_01_01_P","4191000","PHMA220124190023021200001","2012-03-26","","03","폐업","03","폐업","2021-02-26","2020-11-30","2021-05-19","","033-731-7766","","220-956","강원특별자치도 원주시 일산동 121번지 2호","강원특별자치도 원주시 일산로36번길 12 (일산동)","26427","원주그린병원","2021-03-01 09:52:38","I","2023-06-13 00:00:00","병원","283851.322636103","427717.612280305","병원","10","21","99","1979.79","122 103","정신건강의학과, 가정의학과","","","","0","0","","","0","","시군구",
"28","병원","01_01_01_P","4191000","PHMA220134190023021200001","2013-01-21","","03","폐업","03","폐업","2018-01-02","","","","033-747-2000","","220-963","강원특별자치도 원주시 학성동 430번지 10호","강원특별자치도 원주시 원일로 218 (학성동)","26415","불로병원","2018-01-08 09:56:15","I","2023-06-13 00:00:00","병원","283597.090706248","428637.719223077","병원","10","20","73","1117.59","101 120 122 301 102","내과, 신경과, 재활의학과, 가정의학과, 한방내과","","","","0","0","","","0","","시군구",
"29","병원","01_01_01_P","4191000","PHMA220134190023021200002","2013-07-09","","03","폐업","03","폐업","2019-10-21","","","","033-741-5050","","220-833","강원특별자치도 원주시 소초면 수암리 797번지 5호","강원특별자치도 원주시 소초면 치악로 2473","26309","원주한마음요양병원","2019-10-21 17:40:30","I","2023-06-13 00:00:00","요양병원(일반요양병원)","287120.448723312","432848.690174154","요양병원(일반요양병원)","14","14","30","290.4","101 102 104 122","내과, 신경과, 외과, 가정의학과","","","","0","0","","","0","","시군구",
"30","병원","01_01_01_P","4191000","PHMA220084190023021200005","2011-05-02","","03","폐업","03","폐업","2020-08-31","2016-06-01","2020-12-31","","033-763-2548","","220-861","강원특별자치도 원주시 신림면 용암리 699번지 1호","강원특별자치도 원주시 신림면 용소막길 20-1","","민중병원","2020-08-31 16:04:32","I","2023-06-13 00:00:00","병원","296522.917048562","413217.195619627","병원","8","15","100","1399","101 103","내과, 정신건강의학과","","","","0","0","","","0","","시군구",
"31","병원","01_01_01_P","4191000","PHMA220084190023021200001","2008-02-04","","03","폐업","03","폐업","2009-09-04","","","","033-733-0015","","220-956","강원특별자치도 원주시 일산동 121번지 2호","","","사랑병원","2009-09-04 14:22:16","I","2023-06-13 00:00:00","병원","283851.322636103","427717.612280305","병원","1","17","59","1251","106 105 116 124 104 101","내과, 외과, 정형외과, 신경외과, 영상의학과, 직업환경의학과","","","","0","0","","","0","","시군구",
"32","병원","01_01_01_P","4191000","PHMA220084190023021200002","2008-02-12","","03","폐업","03","폐업","2018-04-10","","","","033-765-2211","","","강원특별자치도 원주시 단구동 1514번지 3호 세계프라자 7~10층","강원특별자치도 원주시 남원로 528-31 (단구동, 신세계프라자)","26484","세일병원","2019-04-05 11:18:51","I","2023-06-13 00:00:00","병원","284113.35151077","425711.043713192","병원","5","14","71","1859","101 104 111 105 106 110 122 115 308 107","내과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 산부인과, 소아청소년과, 비뇨의학과, 가정의학과, 침구과","","","","0","0","","","0","","시군구",
"33","병원","01_01_01_P","4191000","PHMA220084190023021200003","2008-04-01","","03","폐업","03","폐업","2009-02-27","","","","033-745-7582","","220-000","강원특별자치도 원주시 학성동 311-6번지","","","기독한방병원","2009-03-18 13:23:43","I","2023-06-13 00:00:00","한방병원","","","한방병원","1","17","67","1834.73","301 303 302 304 305 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과","","","","0","0","","","0","","시군구",
"34","병원","01_01_01_P","4191000","PHMA220054190023021200002","2005-02-02","","03","폐업","03","폐업","2011-12-28","","","","033-732-0270","","220-962","강원특별자치도 원주시 태장2동 1403번지 5호","강원특별자치도 원주시 북원로 2636 (태장동)","","원주민중요양병원","2011-12-28 15:22:50","I","2023-06-13 00:00:00","요양병원(일반요양병원)","283738.821268361","431142.506440562","요양병원(일반요양병원)","11","21","80","3194.31","101 120","내과, 재활의학과","","","","0","0","","","0","","시군구",
"35","병원","01_01_01_P","4191000","PHMA220094190023021200001","2009-10-05","","03","폐업","03","폐업","2022-08-27","","","","033-734-2700","","","강원특별자치도 원주시 단계동 865번지 6호 ,7","강원특별자치도 원주시 봉화로 22 (단계동, 더파크타워)","26436","원주클라인치과병원","2022-08-29 16:32:54","I","2023-06-13 00:00:00","치과병원","282224.875445338","427528.358939901","치과병원","3","0","0","398","411 409 408 407 406 405 404 403 402","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과","","","","0","0","","","0","","시군구",
"36","병원","01_01_01_P","4191000","PHMA220104190023021200002","2010-03-16","","03","폐업","03","폐업","2011-07-04","","","","033-765-0810","","220-940","강원특별자치도 원주시 단구동 267번지 현대아카데미프라자 3, 5층","강원특별자치도 원주시 늘품로 187-58 (단구동,현대아카데미프라자 3, 5층)","","삼성병원","2016-07-01 10:05:06","I","2023-06-13 00:00:00","병원","285374.856489138","426587.24417121","병원","6","0","70","1417","101 104 106 105 111 109 114 115 113 116","내과, 외과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 영상의학과","","","","0","0","","","0","","시군구",
"37","병원","01_01_01_P","4191000","PHMA220074190023021200002","2007-09-18","","03","폐업","03","폐업","2016-08-01","","","","033-740-8800","","220-801","강원특별자치도 원주시 문막읍 동화리 514번지","강원특별자치도 원주시 문막읍 원문로 1419","26372","수병원","2016-08-01 10:54:35","I","2023-06-13 00:00:00","병원","274818.689682307","425238.051595747","병원","22","45","265","4993","101 114 105 115 120 104 102","내과, 신경과, 외과, 정형외과, 피부과, 비뇨의학과, 재활의학과","","","","0","0","","","0","","시군구",
"38","병원","01_01_01_P","4191000","PHMA220104190023021200003","2017-01-16","","03","폐업","03","폐업","2025-06-30","","","","033-748-7800","2566.41","","강원특별자치도 원주시 태장동 1375번지 1호 15통 9반","강원특별자치도 원주시 북원상가길 49 (태장동)","26316","신창의료재단 원주에이치병원","2025-07-02 17:59:14","U","2025-07-04 02:40:00","병원","284220.004380598","431725.997258259","병원","12","31","85","2566.41","124 122 120 105 101","내과, 정형외과, 재활의학과, 가정의학과, 직업환경의학과","","","","0","0","","","0","","시군구",
"39","병원","01_01_01_P","4191000","PHMA219944190023021200001","1994-07-27","","01","영업/정상","13","영업중","","","","","033-731-3111","","","강원특별자치도 원주시 문막읍 궁촌리 971번지 1호","강원특별자치도 원주시 문막읍 귀문로 1217","26496","새마음병원","2022-12-29 21:15:22","I","2023-07-14 00:18:59","정신병원","273151.65682314","418490.33126086","정신병원","16","29","145","3912.96","103 102","신경과, 정신건강의학과","","","","0","0","","","0","","시군구",
"40","병원","01_01_01_P","4191000","PHMA220094190023021200002","2009-10-28","","01","영업/정상","13","영업중","","","","","033-733-1199","","220-932","강원특별자치도 원주시 개운동 434번지 9,10","강원특별자치도 원주시 남원로 562-5 (개운동)","26448","내안에병원","2023-06-05 13:08:09","I","2023-07-14 00:18:59","정신병원","284004.108457156","426211.92172411","정신병원","11","48","205","3635.19","103 102 101","내과, 신경과, 정신건강의학과","","","","0","0","","","0","","시군구",
"41","병원","01_01_01_P","4191000","PHMA220244191050021200001","2024-09-06","","01","영업/정상","13","영업중","","","","","033812-2882","1793","","","강원특별자치도 원주시 만대공원길 59-0, 4~6층 (무실동)","26383","서울매일치과병원","2024-09-09 10:40:08","I","2024-09-11 00:12:58","치과병원","","","치과병원","7","0","0","1793","","","","","","0","0","","","0","","시도",
"42","병원","01_01_01_P","4191000","PHMA220014190023021200001","2001-08-21","","01","영업/정상","13","영업중","","","","","033-760-3101","12131.4","220-070","강원특별자치도 원주시 인동 264번지 21호","강원특별자치도 원주시 원일로 22 (인동)","26429","의료법인성지의료재단성지병원","2025-10-03 16:35:01","U","2025-10-05 02:40:00","병원","284484.959261583","427479.800413061","병원","133","95","259","12131.4","403 122 116 109 106 105 104 101","내과, 외과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 가정의학과, 치과보철과","","","","0","0","","","0","","시도",
"43","병원","01_01_01_P","4191000","PHMA220114190023021200006","2011-10-28","","01","영업/정상","13","영업중","","","","","033-747-6701","","","강원특별자치도 원주시 학성동 311번지 6호","강원특별자치도 원주시 원일로 176-1 (학성동)","26415","원주효요양병원","2019-11-25 14:16:54","I","2023-06-13 00:00:00","요양병원(일반요양병원)","283756.782954782","428388.408815569","요양병원(일반요양병원)","7","13","74","1520","308 306 301 122 105 104 101","내과, 외과, 정형외과, 가정의학과, 한방내과, 한방재활의학과, 침구과","","","","0","0","","","0","","시군구",
"44","병원","01_01_01_P","4191000","PHMA220114190023021200005","2011-12-29","","01","영업/정상","13","영업중","","","","","033-732-0270","3068.99","220-121","강원특별자치도 원주시 태장동 1403번지 5호","강원특별자치도 원주시 북원로 2636 (태장동)","26320","원주민중요양병원","2024-04-17 14:34:38","U","2024-04-19 02:40:00","요양병원(일반요양병원)","283738.821268361","431142.506440562","요양병원(일반요양병원)","17","20","57","3068.99","101 120 301","내과, 재활의학과, 한방내과","","","","0","0","","","0","","시군구",
"45","병원","01_01_01_P","4191000","PHMA220144190023021200001","2014-02-20","","01","영업/정상","13","영업중","","","","","033-900-9977","","","강원특별자치도 원주시 단구동 146번지 3호","강원특별자치도 원주시 치악로1604번길 22 (단구동)","26451","현대요양병원","2019-08-16 10:26:34","I","2023-06-13 00:00:00","요양병원(일반요양병원)","285269.145823877","425351.223118513","요양병원(일반요양병원)","23","34","149","3298.9","101 104 122 106 105 120 301","내과, 외과, 정형외과, 신경외과, 재활의학과, 가정의학과, 한방내과","","","","0","0","","","0","","시군구",
"46","병원","01_01_01_P","4191000","PHMA220164190023021200001","2016-08-01","","01","영업/정상","13","영업중","","","","","033-740-8800","5872","","강원특별자치도 원주시 문막읍 동화리 514번지","강원특별자치도 원주시 문막읍 원문로 1419 (연세메디하임병원)","26372","연세메디하임병원","2023-11-28 13:44:35","U","2023-11-30 02:40:00","병원","274818.689682307","425238.051595747","병원","31","45","199","5872","120 102 101","내과, 신경과, 재활의학과","","","","0","0","","","0","","시도",
"47","병원","01_01_01_P","4191000","PHMA220034190023021200001","2003-04-15","","01","영업/정상","13","영업중","","","","","033-743-9801","1868","","강원특별자치도 원주시 우산동 70번지 3호","강원특별자치도 원주시 북원로 2572 (우산동)","26337","원주우리병원","2024-09-05 16:04:20","U","2024-09-07 02:40:00","병원","283509.223349557","430585.872619365","병원","7","15","70","1868","105 101","내과, 정형외과","","","","0","0","","","0","","시군구",
"48","병원","01_01_01_P","4191000","PHMA220174190023021200001","2017-05-12","","01","영업/정상","13","영업중","","","","","033-732-6000","670.54","","","강원특별자치도 원주시 서원대로 188 (단계동)","26382","그랜드치과병원","2024-04-12 17:18:43","U","2024-04-14 02:40:00","치과병원","282529.751898657","427262.864678469","치과병원","3","0","0","670.54","412 411 409 408 407 406 405 404 403 402","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과, 통합치의학과","","","","0","0","","","0","","시도",
"49","병원","01_01_01_P","4191000","PHMA219974190023021200001","1977-05-01","","01","영업/정상","13","영업중","","","","","033741-0114","80044.14","","","강원특별자치도 원주시 일산로 20-0 (일산동, (일산동))","26426","연세대학교 원주세브란스기독병원","2025-07-01 09:53:01","U","2025-07-03 02:40:00","종합병원","283684.602363569","427758.377832632","종합병원","1556","193","823","80044.14","","","","","","0","0","","","0","","시도",
"50","병원","01_01_01_P","4191000","PHMA220174190023021200002","2017-08-16","","01","영업/정상","13","영업중","","","","","1670-2020","","","강원특별자치도 원주시 학성동 439-1","강원특별자치도 원주시 원일로 230, 지하1~지상4층 (학성동)","26413","원주연세병원","2021-11-04 18:36:29","I","2023-06-13 00:00:00","병원","283550.429134371","428716.135471866","병원","26","40","128","5222.15","116 105 101","내과, 정형외과, 영상의학과","","","","0","0","","","0","","시군구",
"51","병원","01_01_01_P","4191000","PHMA220184190023021200001","2018-04-11","","01","영업/정상","13","영업중","","","","","033-747-2000","3828.54","","강원특별자치도 원주시 학성동 430번지 15호","강원특별자치도 원주시 평원로 165 (학성동)","26415","원주불로병원","2024-06-28 09:42:57","U","2024-06-30 02:40:00","병원","283605.62225651","428660.462755121","병원","7","42","144","3828.54","306 120 101","내과, 재활의학과, 한방재활의학과","","","","0","0","","","0","","시도",
