"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조기수","다중이용업소여부",
"11","세탁업","06_20_01_P","4181000","4181000-205-2012-00001","2012-01-18","","01","영업/정상","01","영업","","","","","033 252 8334","22.00","","강원특별자치도 춘천시 퇴계동 916-2 현대@1차상가 204호","강원특별자치도 춘천시 춘주로 162 (퇴계동)","24452","에덴세탁소","2016-04-07 14:42:35","I","2023-06-13 00:00:00","일반세탁업","263811.794747063","484091.143059532","일반세탁업","0","0","2","0","0","0","","","","","1","0","0","1","N",
"12","세탁업","06_20_01_P","4181000","4181000-205-2002-00006","2002-10-28","","01","영업/정상","01","영업","","","","","033 2552352","37.80","","강원특별자치도 춘천시 석사동 866 중앙프라자 101호","강원특별자치도 춘천시 승지골길 53 (석사동)","24413","장원매직크린","2024-08-27 16:22:48","U","2024-08-29 02:40:00","일반세탁업","265015.255730082","483684.782431286","일반세탁업","5","0","0","0","0","0","","","","","1","0","0","1","N",
"13","세탁업","06_20_01_P","4181000","4181000-205-2012-00004","2012-08-24","","01","영업/정상","01","영업","","","","","033 242 7677","297.00","","강원특별자치도 춘천시 퇴계동 1191-1 1층","강원특별자치도 춘천시 우묵길56번길 20 (퇴계동)","24368","크린토피아춘천지사","2025-06-04 16:56:00","U","2025-06-06 02:40:00","일반세탁업","263638.388355931","484934.136556831","일반세탁업","3","0","0","0","1","0","","","","임대","6","0","0","2","N",
"14","세탁업","06_20_01_P","4181000","4181000-205-2006-00002","2006-01-09","","01","영업/정상","01","영업","","","","","033 256 9110","38.40","","강원특별자치도 춘천시 동면 575-8","강원특별자치도 춘천시 동면 만천로143번길 58","24217","베데스다세탁소","2024-08-14 10:10:51","U","2024-08-17 02:40:00","일반세탁업","267067.467441373","486567.384908085","일반세탁업","0","0","0","0","0","0","","","","임대","1","0","0","1","N",
"15","세탁업","06_20_01_P","4181000","4181000-205-2005-00006","2005-07-04","","01","영업/정상","01","영업","","","","","033 262 7389","132.77","","강원특별자치도 춘천시 칠전동 261-3","강원특별자치도 춘천시 옛경춘로 489, 1층 (칠전동)","24239","크린에이드","2025-10-27 15:59:21","U","2025-10-29 02:40:00","일반세탁업","262470.371722265","482663.015764136","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"16","세탁업","06_20_01_P","4181000","4181000-205-2007-00001","2007-02-07","","01","영업/정상","01","영업","","","","","033 2527500","193.50","","강원특별자치도 춘천시 동면 327","강원특별자치도 춘천시 동면 하일길 117","24210","미주산업","2022-12-20 11:14:42","I","2023-06-13 00:00:00","일반세탁업","266518.073108618","490153.310669823","일반세탁업","1","0","1","1","0","0","","","","자가","0","0","0","0","N",
"17","세탁업","06_20_01_P","4181000","4181000-205-2007-00003","2007-03-12","","01","영업/정상","01","영업","","","","","033 2627765","55.12","","강원특별자치도 춘천시 동내면 거두리 952-11 102호","강원특별자치도 춘천시 동내면 거두택지길26번길 30, 102호","24405","원크리너","2024-08-14 10:22:58","U","2024-08-17 02:40:00","일반세탁업","266217.511775594","483518.300572199","일반세탁업","3","0","1","1","0","0","","","","임대","1","0","0","1","N",
"18","세탁업","06_20_01_P","4181000","4181000-205-1990-00012","1990-07-10","","01","영업/정상","01","영업","","","","","033 2517961","37.00","","강원특별자치도 춘천시 효자동 490-2","강원특별자치도 춘천시 금강로 136, 1층 (효자동)","24335","육일세탁소","2020-12-10 15:58:52","I","2023-06-13 00:00:00","일반세탁업","264505.407970787","486032.504935124","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"19","세탁업","06_20_01_P","4181000","4181000-205-1990-00013","1990-08-03","","01","영업/정상","01","영업","","","","","033 2530881","49.90","","강원특별자치도 춘천시 소양로3가 1-1","강원특별자치도 춘천시 소양고개길 22 (소양로3가)","24272","서부세탁소","2011-11-30 14:29:09","I","2023-06-13 00:00:00","일반세탁업","263755.163450818","487053.956652216","일반세탁업","1","0","1","1","0","0","","","","","2","0","0","0","N",
"20","세탁업","06_20_01_P","4181000","4181000-205-1990-00015","1990-11-06","","01","영업/정상","01","영업","","","","","033 2522826","36.42","","강원특별자치도 춘천시 효자동 397-7","강원특별자치도 춘천시 청운길29번길 1 (효자동)","24342","동경세탁소","2020-06-08 14:20:15","I","2023-06-13 00:00:00","일반세탁업","264506.723055864","485315.004824236","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"21","세탁업","06_20_01_P","4181000","4181000-205-1991-00001","1991-02-01","","01","영업/정상","01","영업","","","","","033 2569671","33.32","","강원특별자치도 춘천시 후평동 87 현대3차상가 104호","강원특별자치도 춘천시 후석로326번길 31 (후평동)","24300","현대세탁소","2024-08-27 15:49:02","U","2024-08-29 02:40:00","일반세탁업","266168.496028306","486858.459299495","일반세탁업","0","0","0","0","0","0","","","","","1","0","0","1","N",
"22","세탁업","06_20_01_P","4181000","4181000-205-1991-00004","1991-05-15","","01","영업/정상","01","영업","","","","","033 2616007","26.60","","강원특별자치도 춘천시 효자동 320-10","강원특별자치도 춘천시 공지로 256 (효자동)","24343","은혜세탁소","2020-06-08 14:23:51","I","2023-06-13 00:00:00","일반세탁업","264704.196759083","484951.171446618","일반세탁업","3","0","1","3","0","0","","","","","0","0","0","0","N",
"23","세탁업","06_20_01_P","4181000","4181000-205-1992-00003","1992-04-28","","01","영업/정상","01","영업","","","","","033 2610881","26.10","","강원특별자치도 춘천시 석사동 115-10 극동아파트","강원특별자치도 춘천시 공지로 43, 상가동동 103호 (석사동, 극동아파트)","24397","극동세탁소","2024-08-27 16:02:31","U","2024-08-29 02:40:00","일반세탁업","266120.711392188","483428.133764796","일반세탁업","0","0","0","0","0","0","","","","","1","0","0","1","N",
"24","세탁업","06_20_01_P","4181000","4181000-205-1999-00006","1999-04-13","","01","영업/정상","01","영업","","","","","033 2628805","23.65","","강원특별자치도 춘천시 석사동 813 현대아파트상가 103호","강원특별자치도 춘천시 퇴계로 220-16 (석사동)","24391","현대세탁소","2024-08-27 16:10:22","U","2024-08-29 02:40:00","일반세탁업","265129.011467503","483916.620791369","일반세탁업","1","0","1","0","0","0","","","","","1","1","1","1","N",
"25","세탁업","06_20_01_P","4181000","4181000-205-1999-00008","1999-08-26","","01","영업/정상","01","영업","","","","","033 2633349","47.30","","강원특별자치도 춘천시 퇴계동 983 퇴계주공2차 상가동 202호","강원특별자치도 춘천시 퇴계로 172, 상가동 202호 (퇴계동, 퇴계주공2차아파트)","24378","주공세탁소","2020-06-05 12:11:32","I","2023-06-13 00:00:00","일반세탁업","264739.776172341","484178.717163437","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"26","세탁업","06_20_01_P","4181000","4181000-205-2001-00002","2001-02-09","","01","영업/정상","01","영업","","","","","033 2642331","36.36","","강원특별자치도 춘천시 효자동 279-9","강원특별자치도 춘천시 공지로 218 (효자동)","24343","동보세탁소","2020-06-08 14:06:42","I","2023-06-13 00:00:00","일반세탁업","265000.813595183","484742.316623032","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"27","세탁업","06_20_01_P","4181000","4181000-205-1998-00011","1998-10-30","","01","영업/정상","01","영업","","","","","033 2618242","24.00","","강원특별자치도 춘천시 석사동 722-2 그랜드아파트 상가동 107호","강원특별자치도 춘천시 우석로101번길 20 (석사동)","24319","그랜드세탁소","2024-08-27 16:09:41","U","2024-08-29 02:40:00","일반세탁업","266560.329209555","485150.524863204","일반세탁업","2","0","1","1","0","0","","","","","1","0","0","1","N",
"28","세탁업","06_20_01_P","4181000","4181000-205-2007-00005","2007-06-15","","01","영업/정상","01","영업","","","","","033 9111117","35.91","","강원특별자치도 춘천시 우두동 1083 강변코아루아파트 상가동103호","강원특별자치도 춘천시 새청말길 26 (우두동,강변코아루아파트 상가동103호)","24229","코아루세탁소","2014-07-09 13:42:51","I","2023-06-13 00:00:00","일반세탁업","264718.78716041","488512.328560131","일반세탁업","2","0","1","1","0","0","","","","","2","0","0","0","N",
"29","세탁업","06_20_01_P","4181000","4181000-205-2006-00014","2006-12-28","","01","영업/정상","01","영업","","","","","033 252 1676","0.00","","강원특별자치도 춘천시 동면 972","강원특별자치도 춘천시 동면 만천로143번길 35","24216","한일유앤아이세탁","2024-08-14 10:11:25","U","2024-08-17 02:40:00","일반세탁업","266896.984930633","486702.210579889","일반세탁업","0","0","0","0","0","0","","","","","1","0","0","1","N",
"30","세탁업","06_20_01_P","4181000","4181000-205-2006-00009","2006-06-22","","01","영업/정상","01","영업","","","","","033 255 5922","33.60","","강원특별자치도 춘천시 동내면 939-3 부영a상가a2-104호","강원특별자치도 춘천시 동내면 춘천순환로94번길 12","24403","부영세탁소","2024-08-14 10:12:17","U","2024-08-17 02:40:00","일반세탁업","266237.994558798","483781.509505524","일반세탁업","0","0","0","0","0","0","","","","임대","1","0","0","1","N",
"31","세탁업","06_20_01_P","4181000","4181000-205-2006-00011","2006-09-04","","01","영업/정상","01","영업","","","","","033 2622833","84.17","","강원특별자치도 춘천시 동내면 641-79","강원특별자치도 춘천시 동내면 신촌길 21-21","24407","선진세탁크리닉","2024-08-14 10:13:43","U","2024-08-17 02:40:00","일반세탁업","267605.980425982","483554.632611174","일반세탁업","0","0","1","1","0","0","","","","자가","2","0","0","0","N",
"32","세탁업","06_20_01_P","4181000","4181000-205-2009-00013","2009-12-30","","01","영업/정상","01","영업","","","","","033 262 7376","36.80","","강원특별자치도 춘천시 동내면 거두리 1060","강원특별자치도 춘천시 동내면 외솔길19번길 80-10","24401","베르디움세탁소","2024-08-14 10:25:08","U","2024-08-17 02:40:00","일반세탁업","266684.464415696","484215.685816789","일반세탁업","1","0","0","0","0","0","","","","","1","0","0","1","N",
"33","세탁업","06_20_01_P","4181000","4181000-205-2010-00002","2010-05-14","","01","영업/정상","01","영업","","","","","033 257 5687","75.09","","강원특별자치도 춘천시 퇴계동 187-4","강원특별자치도 춘천시 김유정로 1885, 1층 105호 (퇴계동)","24432","하이츠세탁소","2020-03-10 12:55:37","I","2023-06-13 00:00:00","일반세탁업","264781.460793141","483819.070490427","일반세탁업","1","0","0","0","0","0","","","","","1","0","0","1","N",
"34","세탁업","06_20_01_P","4181000","4181000-205-1989-00004","1989-12-15","","01","영업/정상","01","영업","","","","","033 2412556","18.87","","강원특별자치도 춘천시 효자동 745-1 1통4반","강원특별자치도 춘천시 춘천로213번길 10 (효자동)","24259","광명효자3점 세탁소","2020-06-16 16:39:37","I","2023-06-13 00:00:00","일반세탁업","264809.836696901","486430.145420564","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"35","세탁업","06_20_01_P","4181000","4181000-205-2010-00003","2010-08-12","","01","영업/정상","01","영업","","","","","033 256 9284","21.16","","강원특별자치도 춘천시 후평동 831-11","강원특별자치도 춘천시 후석로 256-1 (후평동)","24312","구두박사","2024-08-27 15:37:17","U","2024-08-29 02:40:00","운동화전문세탁업","266167.056149485","486012.670211134","운동화전문세탁업","3","1","1","1","0","0","","","","임대","1","0","0","0","N",
"36","세탁업","06_20_01_P","4181000","4181000-205-2004-00005","2004-03-03","","01","영업/정상","01","영업","","","","","033 2428757","34.50","","강원특별자치도 춘천시 후평동 689-8","강원특별자치도 춘천시 춘천로296번길 22 (후평동)","24277","포스코세탁","2024-08-27 15:35:54","U","2024-08-29 02:40:00","일반세탁업","265580.242705295","486610.914928894","일반세탁업","1","0","1","0","0","0","","","","","2","0","0","1","N",
"37","세탁업","06_20_01_P","4181000","4181000-205-1987-00007","1987-06-02","","01","영업/정상","01","영업","","","","","033 2579900","0.00","","강원특별자치도 춘천시 근화동 288-18","강원특별자치도 춘천시 근화길15번길 27-1 (근화동)","24360","근화세탁소","2018-05-04 13:40:15","I","2023-06-13 00:00:00","일반세탁업","263127.405199796","485796.645948075","일반세탁업","0","0","0","0","0","0","","","","","2","0","0","0","N",
"38","세탁업","06_20_01_P","4181000","4181000-205-1988-00001","1988-03-21","","01","영업/정상","01","영업","","","","","033 2526615","24.80","","강원특별자치도 춘천시 후평동 481-1 주공6단지아파트 일반점포 1층 2호","강원특별자치도 춘천시 후만로 37, 1층 2호 (후평동, 주공6단지아파트)","24281","다들림세탁소","2024-08-27 15:38:36","U","2024-08-29 02:40:00","일반세탁업","265693.435053007","486212.281346486","일반세탁업","1","0","1","1","0","0","","","","임대","1","0","0","1","N",
"39","세탁업","06_20_01_P","4181000","4181000-205-1987-00015","1987-06-02","","01","영업/정상","01","영업","","","","","033 2411885","18.45","","강원특별자치도 춘천시 후평동 878-8 1층","강원특별자치도 춘천시 세실로192번길 1, 1층 (후평동)","24307","새한크리닝","2024-08-27 15:58:37","U","2024-08-29 02:40:00","일반세탁업","266637.285715298","486038.318613412","일반세탁업","0","0","0","0","0","0","","","","","2","0","0","1","N",
"40","세탁업","06_20_01_P","4181000","4181000-205-1995-00013","1995-10-04","","01","영업/정상","01","영업","","","","","033 2568308","18.40","","강원특별자치도 춘천시 후평동 692-17","강원특별자치도 춘천시 춘천로 306-1 (후평동)","24277","그린크리닝 세탁소","2024-08-27 15:49:30","U","2024-08-29 02:40:00","일반세탁업","265649.656619432","486808.426380806","일반세탁업","0","0","0","0","0","0","","","","","1","0","0","1","N",
"41","세탁업","06_20_01_P","4181000","4181000-205-1995-00015","1995-11-01","","01","영업/정상","01","영업","","","","","033 2536896","21.84","","강원특별자치도 춘천시 퇴계동 430 우성아파트 상가동 108호","강원특별자치도 춘천시 국사봉길 7, 상가동 108호 (퇴계동)","24446","깔끄미세탁소","2020-06-05 10:55:13","I","2023-06-13 00:00:00","일반세탁업","264164.59449899","484281.809863332","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"42","세탁업","06_20_01_P","4181000","4181000-205-1995-00001","1995-01-10","","01","영업/정상","01","영업","","","","","033 2548455","0.00","","강원특별자치도 춘천시 우두동 1068-1 동부아파트상가 206호","강원특별자치도 춘천시 충열로 32, 206호 (우두동, 동부아파트상가)","24230","그린컴퓨터세탁소","2017-06-28 16:01:22","I","2023-06-13 00:00:00","일반세탁업","264352.72118995","488666.419220623","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"43","세탁업","06_20_01_P","4181000","4181000-205-1994-00002","1994-03-03","","01","영업/정상","01","영업","","","","","033 2615460","30.72","","강원특별자치도 춘천시 퇴계동 944 한주아파트 상가동 109호","강원특별자치도 춘천시 안마산로 217, 상가동 109호 (퇴계동, 한주아파트)","24421","화이트세탁소","2020-06-05 09:27:58","I","2023-06-13 00:00:00","일반세탁업","264906.022305039","483375.580147211","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"44","세탁업","06_20_01_P","4181000","4181000-205-2008-00007","2008-07-15","","01","영업/정상","01","영업","","","","","033 257 3234","51.80","","강원특별자치도 춘천시 후평동 906 포스코더샵아파트 상가동 101호","강원특별자치도 춘천시 춘천로296번길 21, 상가동 101호 (후평동, 포스코더샵아파트)","24277","세탁나라","2024-08-27 15:50:19","U","2024-08-29 02:40:00","일반세탁업","265593.671853445","486591.111671682","일반세탁업","1","0","1","1","0","0","","","","임대","1","0","0","1","N",
"45","세탁업","06_20_01_P","4181000","4181000-205-2007-00006","2007-09-19","","01","영업/정상","01","영업","","","","","033 244 4456","61.46","","강원특별자치도 춘천시 퇴계동 895-3","강원특별자치도 춘천시 춘주로195번길 3 (퇴계동)","24443","퇴계세탁","2023-04-13 15:39:35","I","2023-06-13 00:00:00","일반세탁업","263970.845865039","484451.755681456","일반세탁업","0","0","1","1","0","0","","","","","0","0","0","0","N",
"46","세탁업","06_20_01_P","4181000","4181000-205-2003-00014","2003-10-15","","01","영업/정상","01","영업","","","","","033 2568896","18.80","","강원특별자치도 춘천시 퇴계동 1018 퇴계시장형상가 B동 17-18호","강원특별자치도 춘천시 지석로 74-11 (퇴계동)","24420","깔끄미세탁소","2020-06-05 12:43:59","I","2023-06-13 00:00:00","일반세탁업","265346.955057411","483293.365700144","일반세탁업","0","0","1","0","0","0","","","","","1","0","0","0","N",
"47","세탁업","06_20_01_P","4181000","4181000-205-2004-00003","2004-01-12","","01","영업/정상","01","영업","","","","","033 255 5807","26.37","","강원특별자치도 춘천시 석사동 727-6 청구아파트 상가동 105호","강원특별자치도 춘천시 서부대성로 332, 상가동 105호 (석사동, 청구아파트)","24316","다맡겨 크리닝","2024-08-27 16:23:40","U","2024-08-29 02:40:00","일반세탁업","266249.925714812","485461.709956748","일반세탁업","1","1","1","1","0","0","","","","임대","1","0","0","1","N",
"48","세탁업","06_20_01_P","4181000","4181000-205-2009-00009","2009-09-04","","01","영업/정상","01","영업","","","","","033 257 8266","29.70","","강원특별자치도 춘천시 효자동 18-72","강원특별자치도 춘천시 백령로 173 (효자동)","24290","가을운동화빨래터","2014-04-14 13:09:21","I","2023-06-13 00:00:00","운동화전문세탁업","265509.784737487","486221.138603361","운동화전문세탁업","0","0","1","0","0","0","","","","","0","0","0","0","N",
"49","세탁업","06_20_01_P","4181000","4181000-205-2005-00018","2005-11-28","","01","영업/정상","01","영업","","","","","033 262 4687","31.50","","강원특별자치도 춘천시 석사동 654-3","강원특별자치도 춘천시 후석로45번길 15-1 (석사동)","24385","민 세탁소","2024-08-27 16:29:44","U","2024-08-29 02:40:00","일반세탁업","265087.660778763","484348.236767415","일반세탁업","0","0","0","0","0","0","","","","","1","0","0","1","N",
"50","세탁업","06_20_01_P","4181000","4181000-205-2005-00019","2005-12-21","","01","영업/정상","01","영업","","","","","033 255 8070","32.00","","강원특별자치도 춘천시 우두동 1081 롯데아파트상가 110호, 111호","강원특별자치도 춘천시 충열로 27 (우두동)","24225","프리미엄명품세탁소","2024-03-21 17:08:47","U","2024-03-23 02:40:00","일반세탁업","264240.42522878","488859.321117538","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"51","세탁업","06_20_01_P","4181000","4181000-205-2006-00001","2006-01-06","","01","영업/정상","01","영업","","","","","033 252 5110","35.40","","강원특별자치도 춘천시 효자동 701 양우a상가 103호","강원특별자치도 춘천시 공지로317번길 11 (효자동)","24371","양우세탁소","2012-08-21 10:05:59","I","2023-06-13 00:00:00","일반세탁업","264217.658676647","485228.341962662","일반세탁업","0","0","0","0","0","0","","","","자가","0","0","0","0","N",
"52","세탁업","06_20_01_P","4181000","4181000-205-1995-00014","1995-10-11","","01","영업/정상","01","영업","","","","","033 2628352","16.90","","강원특별자치도 춘천시 효자동 301-25","강원특별자치도 춘천시 공지로 247, 1층 (효자동)","24374","맑은샘수선방","2022-09-13 13:53:32","I","2023-06-13 00:00:00","빨래방업","264725.520540401","484857.052442243","빨래방업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"53","세탁업","06_20_01_P","4181000","4181000-205-2019-00005","2019-08-22","","01","영업/정상","01","영업","","","","","033241 8151","40.00","","강원특별자치도 춘천시 사농동 158-1 현대아파트 상가동 201호","강원특별자치도 춘천시 영서로 2918, 현대아파트 상가동 2층 201호 (사농동)","24224","사농그린크리닝세탁소","2025-07-22 10:31:20","U","2025-07-24 02:40:00","일반세탁업","263467.723493815","490227.794403809","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"54","세탁업","06_20_01_P","4181000","4181000-205-2019-00006","2019-12-09","","01","영업/정상","01","영업","","","","","033242 7677","21.60","","강원특별자치도 춘천시 퇴계동 1191-1","강원특별자치도 춘천시 우묵길56번길 20, 2동 1층 (퇴계동)","24368","크린세탁","2020-06-05 10:56:27","I","2023-06-13 00:00:00","일반세탁업","263638.388355931","484934.136556831","일반세탁업","3","0","1","1","0","0","","","","","1","0","0","1","N",
"55","세탁업","06_20_01_P","4181000","4181000-205-2019-00007","2019-12-11","","01","영업/정상","01","영업","","","","","033261 7609","27.40","","강원특별자치도 춘천시 퇴계동 1240","강원특별자치도 춘천시 안마산로 115, A3동 205호 (퇴계동)","24448","한숲세탁소","2020-06-05 11:34:28","I","2023-06-13 00:00:00","일반세탁업","264260.591704341","483777.59503768","일반세탁업","2","0","2","0","0","0","","","","","1","0","0","1","N",
"56","세탁업","06_20_01_P","4181000","4181000-205-1994-00010","1994-08-18","","01","영업/정상","01","영업","","","","","033 2629411","43.68","","강원특별자치도 춘천시 석사동 682-1 석사신우아파트","강원특별자치도 춘천시 공지로 111, 상가동 113~114호 (석사동, 석사신우아파트)","24389","얼룩빼기 명인세탁 전문점","2024-08-27 16:03:06","U","2024-08-29 02:40:00","일반세탁업","265628.056819471","484040.280563305","일반세탁업","0","0","0","0","0","0","","","","","2","0","0","1","N",
"57","세탁업","06_20_01_P","4181000","4181000-205-2004-00002","2004-01-08","","01","영업/정상","01","영업","","","","","033 2539631","43.40","","강원특별자치도 춘천시 약사동 43-99","강원특별자치도 춘천시 약사길 56, 1층 (약사동)","24357","모아그린세탁소","2020-07-06 11:15:57","I","2023-06-13 00:00:00","일반세탁업","263777.69867491","486134.237406772","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"58","세탁업","06_20_01_P","4181000","4181000-205-2021-00002","2021-10-26","","01","영업/정상","01","영업","","","","","","30.00","","강원특별자치도 춘천시 후평동 845-1 세경3차아파트,상가","강원특별자치도 춘천시 삭주로 125, 상가동 1층 202호 (후평동, 세경3차아파트,상가)","24253","보람세탁소","2024-08-27 16:00:47","U","2024-08-29 02:40:00","일반세탁업","265421.865196931","487250.934331144","일반세탁업","0","0","1","0","0","0","","","","","1","0","0","1","N",
"59","세탁업","06_20_01_P","4181000","4181000-205-2022-00002","2022-04-18","","01","영업/정상","01","영업","","","","","","68.09","","강원특별자치도 춘천시 온의동 587-5 춘천강남하이엔드","강원특별자치도 춘천시 춘천로17번길 21, 춘천강남하이엔드 1층 115호 (온의동)","24364","하이엔드세탁","2022-04-18 10:55:59","I","2023-06-13 00:00:00","일반세탁업","263239.631389737","485155.087398776","일반세탁업","8","4","1","1","0","0","","","","","2","0","0","1","N",
