"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","욕실수","발한실여부","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"11","목욕장업","11_44_01_P","4181000","4181000-202-2018-00001","2018-01-22","","01","영업/정상","01","영업","","","","","033 243 9993","762.80","","강원특별자치도 춘천시 퇴계동 1181","강원특별자치도 춘천시 퇴계로 24 (퇴계동)","24368","뉴효신맥반석","2023-11-10 11:38:11","U","2023-11-12 02:40:00","공동탕업","263648.615856392","485029.445786038","공동탕업","6","2","0","0","1","1","2","Y","","","","임대","0","0","N",
"12","목욕장업","11_44_01_P","4181000","4181000-202-2022-00001","2022-02-16","","01","영업/정상","01","영업","","","","","033 255 3662","93.60","","강원특별자치도 춘천시 동면 월곡리 661","강원특별자치도 춘천시 동면 금옥1길 28-22, 2,3동 1층","24211","금옥골숲속작은마을","2023-07-06 14:52:07","U","2023-07-08 02:40:00","찜질시설서비스영업","270611.636812121","490611.466976302","찜질시설서비스영업","1","0","1","1","0","0","0","N","","","","자가","0","0","Y",
"13","목욕장업","11_44_01_P","4181000","4181000-202-2012-00001","2012-08-07","","01","영업/정상","01","영업","","","","","033 253 8007","193.68","","강원특별자치도 춘천시 운교동 182-4","강원특별자치도 춘천시 춘천로 181 (운교동)","24350","항산화도반욕","2024-06-25 14:28:36","U","2024-06-27 02:40:00","찜질시설서비스영업","264534.340707067","486272.66591258","찜질시설서비스영업","5","3","4","0","0","0","0","Y","","","","","0","0","Y",
"14","목욕장업","11_44_01_P","4181000","4181000-202-1994-00002","1994-10-26","","01","영업/정상","01","영업","","","","","033 2616228","530.55","","강원특별자치도 춘천시 퇴계동 79 퇴계타운301호","강원특별자치도 춘천시 안마산로 213","24421","가야옥목욕탕","2025-09-02 10:11:25","U","2025-09-04 02:40:00","공동탕업","264855.838698284","483301.263496797","공동탕업","3","1","0","0","0","0","2","Y","","","","","0","0","N",
"15","목욕장업","11_44_01_P","4181000","4181000-202-2006-00003","2006-07-14","","01","영업/정상","01","영업","","","","","033 2620280","97.12","","강원특별자치도 춘천시 동산면 원창리 742 외1필지 ABCD동","강원특별자치도 춘천시 동산면 가암1길 6-4, A,B,C,D동 1층","24409","귀틀촌","2021-03-22 16:02:31","I","2023-06-13 00:00:00","찜질시설서비스영업","267366.119023105","475477.627184258","찜질시설서비스영업","0","0","0","0","0","0","0","N","","","","","0","0","N",
"16","목욕장업","11_44_01_P","4181000","4181000-202-1985-00001","1985-12-18","","01","영업/정상","01","영업","","","","","033 255 1414","277.62","","강원특별자치도 춘천시 죽림동 11-9","강원특별자치도 춘천시 약사고개길 15-1 (죽림동)","24355","천호목욕탕","2020-07-06 11:43:15","I","2023-06-13 00:00:00","공동탕업","263814.724440574","486305.179917905","공동탕업","3","1","0","0","0","0","2","Y","","","","","0","0","N",
"17","목욕장업","11_44_01_P","4181000","4181000-202-2002-00002","2002-04-25","","01","영업/정상","01","영업","","","","","033 2424011","3112.99","","강원특별자치도 춘천시 온의동 151-2","강원특별자치도 춘천시 영서로 2309 (온의동)","24435","화산스파랜드","2019-01-08 10:15:09","I","2023-06-13 00:00:00","공동탕업+찜질시설서비스영업","263145.477711722","485095.984266514","공동탕업+찜질시설서비스영업","0","0","0","0","0","0","0","Y","","","","","0","0","Y",
"18","목욕장업","11_44_01_P","4181000","4181000-202-1960-00007","1960-10-25","","01","영업/정상","01","영업","","","","","033 2542815","870.00","","강원특별자치도 춘천시 요선동 7-7","강원특별자치도 춘천시 중앙로 26 (요선동)","24271","춘천목욕탕","2022-02-22 15:48:48","I","2023-06-13 00:00:00","공동탕업","264008.222292947","486908.991379866","공동탕업","3","1","0","0","0","0","2","Y","","","","","0","0","Y",
"19","목욕장업","11_44_01_P","4181000","4181000-202-2007-00002","2007-07-11","","01","영업/정상","01","영업","","","","","033 251 3164","242.72","","강원특별자치도 춘천시 효자동 656","강원특별자치도 춘천시 춘천로176번길 9-1 (효자동)","24329","행복한 여자의 공간","2022-02-28 11:50:29","I","2023-06-13 00:00:00","찜질시설서비스영업","264507.583790439","486135.576701816","찜질시설서비스영업","3","0","2","0","0","0","0","N","","","","","0","0","N",
"20","목욕장업","11_44_01_P","4181000","4181000-202-2008-00002","2008-10-14","","01","영업/정상","01","영업","","","","","033 241 9877","494.77","","강원특별자치도 춘천시 삼천동 37-1","강원특별자치도 춘천시 스포츠타운길433번길 10 (삼천동)","24239","나무향기 한증막","2020-06-25 15:47:48","I","2023-06-13 00:00:00","한증막업","262035.783175586","485476.662455598","한증막업","3","0","1","3","0","0","0","N","","","","","0","0","Y",
"21","목욕장업","11_44_01_P","4181000","4181000-202-1999-00001","1999-04-01","","01","영업/정상","01","영업","","","","","033 2448889","3335.32","","강원특별자치도 춘천시 신북읍 산천리 310-13","강원특별자치도 춘천시 신북읍 장본길 35","24203","월드온천24","2020-02-28 15:00:16","I","2023-06-13 00:00:00","공동탕업+찜질시설서비스영업","266194.20550817","494379.173036803","공동탕업+찜질시설서비스영업","3","1","1","3","0","0","2","Y","","","","자가","0","0","Y",
"22","목욕장업","11_44_01_P","4181000","4181000-202-2002-00003","2002-07-06","","01","영업/정상","01","영업","","","","","033 2602381","597.71","","강원특별자치도 춘천시 남산면 백양리 31-4","강원특별자치도 춘천시 남산면 북한강변길 688","24464","엘스위트 강촌콘도사우나","2024-04-25 17:01:27","U","2024-04-27 02:40:00","공동탕업","251614.006688124","480698.392554354","공동탕업","0","0","0","0","0","0","0","Y","","","","","0","0","N",
"23","목욕장업","11_44_01_P","4181000","4181000-202-2024-00002","2024-09-20","","01","영업/정상","01","영업","","","","","","27.00","","강원특별자치도 춘천시 동면 감정리 519-6","강원특별자치도 춘천시 동면 연산골길 121","24212","123찜질하우스","2024-09-20 15:51:53","I","2024-09-22 00:12:49","목욕장업 기타","269477.354481946","488500.105730848","목욕장업 기타","1","0","1","0","0","0","2","N","","","","임대","0","0","N",
"24","목욕장업","11_44_01_P","4181000","4181000-202-2024-00003","2024-11-01","","01","영업/정상","01","영업","","","","","033254 0999","667.65","","강원특별자치도 춘천시 칠전동 495-2","강원특별자치도 춘천시 옛경춘로 549, 2층 (칠전동)","24239","백만암반수사우나","2024-11-01 15:24:25","I","2024-11-03 00:12:13","공동탕업+찜질시설서비스영업","","","공동탕업+찜질시설서비스영업","4","1","2","0","0","0","2","Y","","","","","0","0","N",
"25","목욕장업","11_44_01_P","4181000","4181000-202-2024-00001","2024-07-01","","01","영업/정상","01","영업","","","","","","197.97","","강원특별자치도 춘천시 우두동 742-1 두미르마을","강원특별자치도 춘천시 영서로 2793, 2층 (우두동, 두미르마을)","24236","일신온열찜질카페","2024-07-01 10:57:49","I","2024-07-03 00:14:39","찜질시설서비스영업","263855.784005587","489030.794908325","찜질시설서비스영업","3","1","2","2","0","0","0","N","","","","","0","0","Y",
"26","목욕장업","11_44_01_P","4181000","4181000-202-2025-00001","2025-02-03","","01","영업/정상","01","영업","","","","","","178.65","","강원특별자치도 춘천시 남면 후동리 310","강원특별자치도 춘천시 남면 소주고개로 148, 1층","24468","강촌황토찜질방","2025-02-03 14:42:08","I","2025-02-05 00:10:55","찜질시설서비스영업","254641.484636705","472188.322278017","찜질시설서비스영업","1","0","1","0","0","0","0","N","","","","자가","0","0","N",
"27","목욕장업","11_44_01_P","4191000","4191000-202-2009-00005","2009-11-30","","01","영업/정상","01","영업","","","","","033 769 8205","881.55","","강원특별자치도 원주시 반곡동 1401-10","강원특별자치도 원주시 동부순환로 200 (반곡동)","26460","인터불고 웰니스센터","2024-01-10 13:58:26","U","2024-01-12 02:40:00","공동탕업","286272.710008855","426045.161207519","공동탕업","0","0","2","0","0","0","0","N","","","","자가","0","0","Y",
"28","목욕장업","11_44_01_P","4191000","4191000-202-2022-00002","2022-07-19","","01","영업/정상","01","영업","","","","","033730 3153","1093.90","","강원특별자치도 원주시 지정면 월송리 산 121-53","강원특별자치도 원주시 지정면 월송석화로 431, 1층","26357","성문안CC클럽하우스사우나","2022-10-04 10:06:29","I","2023-06-13 00:00:00","목욕장업 기타","273637.755611219","433018.579166202","목욕장업 기타","2","1","1","0","0","0","6","N","","","","자가","0","0","Y",
"29","목욕장업","11_44_01_P","4191000","4191000-202-2023-00001","2023-04-17","","01","영업/정상","01","영업","","","","","","360.69","","강원특별자치도 원주시 단계동 853-1 이룸레지던스","강원특별자치도 원주시 북원로 2235-12, 이룸레지던스 B101호 (단계동)","26436","이룸대중사우나","2025-03-18 16:48:32","U","2025-03-20 02:40:00","목욕장업 기타","282400.45","427505.14","목욕장업 기타","12","4","0","0","1","1","2","Y","","","","자가","0","0","N",
"30","목욕장업","11_44_01_P","4191000","4191000-202-2022-00001","2022-03-25","","01","영업/정상","01","영업","","","","","","57.72","","강원특별자치도 원주시 반곡동 1812-1 중흥에스클래스","강원특별자치도 원주시 혁신로 405, 2층 206호 (반곡동, 중흥에스클래스)","26460","힐링카페더쉼","2022-05-19 16:57:15","I","2023-06-13 00:00:00","찜질시설서비스영업","286419.633871448","426258.237313798","찜질시설서비스영업","2","0","2","2","0","0","0","Y","","","","임대","0","0","Y",
"31","목욕장업","11_44_01_P","4191000","4191000-202-2000-00004","2000-11-27","","01","영업/정상","01","영업","","","","","033 7481307","603.60","","강원특별자치도 원주시 태장동 1054-4 외 3","강원특별자치도 원주시 현충로314번길 30 (태장동,외 3)","26318","오복옥사우나","2018-05-18 10:15:26","I","2023-06-13 00:00:00","공동탕업","284071.373515225","431385.755375647","공동탕업","2","1","1","2","0","0","0","N","","","","","0","0","Y",
"32","목욕장업","11_44_01_P","4191000","4191000-202-2003-00005","2003-10-22","","01","영업/정상","01","영업","","","","","033 7332399","924.00","","강원특별자치도 원주시 관설동 1713-1","강원특별자치도 원주시 단관초교길 9 (관설동)","26473","청솔금강산사우나","2021-08-30 16:10:28","I","2023-06-13 00:00:00","찜질시설서비스영업","285516.185574864","424374.586469565","찜질시설서비스영업","1","1","0","0","1","1","2","Y","","","","임대","0","0","Y",
"33","목욕장업","11_44_01_P","4191000","4191000-202-1985-00003","1985-01-14","","01","영업/정상","01","영업","","","","","03307610255","331.02","","강원특별자치도 원주시 단구동 1462-1","강원특별자치도 원주시 송림길 52-15 (단구동)","26449","치악찜질사우나","2022-12-26 18:22:23","I","2023-06-13 00:00:00","공동탕업","284363.45884415","425842.179282853","공동탕업","3","0","1","2","0","0","0","N","","","","","0","0","Y",
"34","목욕장업","11_44_01_P","4191000","4191000-202-2003-00003","1996-11-09","","01","영업/정상","01","영업","","","","","033 7426707","151.58","","강원특별자치도 원주시 일산동 184-10","강원특별자치도 원주시 옛시청길 1-9 (일산동)","26417","원주치악산불한증막","2014-07-28 14:56:07","I","2023-06-13 00:00:00","한증막업","283768.568068509","428233.229768506","한증막업","3","0","1","2","0","0","0","N","","","","자가","0","0","Y",
"35","목욕장업","11_44_01_P","4191000","4191000-202-1963-00001","1963-05-23","","01","영업/정상","01","영업","","","","","033 7422077","382.54","","강원특별자치도 원주시 일산동 52-22 ,34","강원특별자치도 원주시 무실로12번길 20 (일산동)","26427","평화목욕탕","2014-01-17 14:07:48","I","2023-06-13 00:00:00","공동탕업","283964.621535918","427918.738257559","공동탕업","5","0","1","2","0","0","0","N","","","","","0","0","Y",
"36","목욕장업","11_44_01_P","4191000","4191000-202-1972-00002","1972-08-26","","01","영업/정상","01","영업","","","","","033 7627292","508.05","","강원특별자치도 원주시 개운동 381-15 .16","강원특별자치도 원주시 개봉교길 3 (개운동,.16)","26443","금풍목욕탕","2014-01-17 14:08:53","I","2023-06-13 00:00:00","공동탕업","284601.465003386","427202.524476471","공동탕업","3","1","1","2","0","0","0","N","","","","","0","0","N",
"37","목욕장업","11_44_01_P","4191000","4191000-202-1992-00002","1992-10-31","","01","영업/정상","01","영업","","","","","033 7624090","367.00","","강원특별자치도 원주시 개운동 403-17 .18","강원특별자치도 원주시 개운로 75 (개운동,.18)","26444","청수목욕탕","2014-01-17 14:11:49","I","2023-06-13 00:00:00","공동탕업","284868.126568591","426790.707419162","공동탕업","0","0","1","2","0","0","4","Y","","","","","0","0","Y",
"38","목욕장업","11_44_01_P","4191000","4191000-202-1975-00005","1975-01-18","","01","영업/정상","01","영업","","","","","033 7665505","646.84","","강원특별자치도 원주시 원동 5-27","강원특별자치도 원주시 감영길 20 (원동)","26431","수정목욕탕","2017-11-14 11:18:39","I","2023-06-13 00:00:00","공동탕업","284179.339530384","427680.101395095","공동탕업","5","0","1","2","0","0","0","N","","","","","0","0","Y",
"39","목욕장업","11_44_01_P","4191000","4191000-202-2004-00004","2004-09-23","","01","영업/정상","01","영업","","","","","033 7448855","2250.79","","강원특별자치도 원주시 태장동 1361 ,-8, -16,-19번지","","","웰빙24시불가마사우나","2014-01-17 14:15:44","I","2023-06-13 00:00:00","찜질시설서비스영업","284150.458965792","432005.884807134","찜질시설서비스영업","3","1","1","3","1","1","2","Y","","","","자가","0","0","Y",
"40","목욕장업","11_44_01_P","4191000","4191000-202-2011-00001","2011-01-21","","01","영업/정상","01","영업","","","","","033 7697700","989.27","","강원특별자치도 원주시 지정면 판대리 577-2 오크밸리","강원특별자치도 원주시 지정면 오크밸리2길 58, 오크밸리","26357","스키빌리지사우나","2024-01-02 11:41:05","U","2024-01-04 02:40:00","공동탕업","272000.036047268","434131.465949678","공동탕업","2","1","2","0","0","0","2","Y","","","","자가","0","0","Y",
"41","목욕장업","11_44_01_P","4191000","4191000-202-2012-00001","2012-10-25","","01","영업/정상","01","영업","","","","","033 731 8464","596.55","","강원특별자치도 원주시 소초면 흥양리 1036-6 외2필지 1~2동 1층","강원특별자치도 원주시 소초면 하황골길 45-19, 1~2동 1층","26310","치악산숯가마","2017-08-28 10:27:43","I","2023-06-13 00:00:00","한증막업","288319.200995549","430006.510451633","한증막업","1","0","1","1","0","0","2","Y","","","","임대","0","0","Y",
"42","목욕장업","11_44_01_P","4191000","4191000-202-2011-00002","2011-11-21","","01","영업/정상","01","영업","","","","","033 748 0100","298.94","","강원특별자치도 원주시 무실동 1724-12","강원특별자치도 원주시 만대로 7-1 (무실동)","26383","호텔비즈인사우나","2019-07-22 09:19:47","I","2023-06-13 00:00:00","공동탕업+찜질시설서비스영업","281793.416968293","426969.611951981","공동탕업+찜질시설서비스영업","7","0","2","0","0","0","0","Y","","","","자가","0","0","N",
"43","목욕장업","11_44_01_P","4191000","4191000-202-1994-00002","1994-09-29","","01","영업/정상","01","영업","","","","","033 7318515","321.67","","강원특별자치도 원주시 단계동 509-13","강원특별자치도 원주시 원문로 178-2 (단계동)","26408","금강사우나","2023-10-05 17:32:40","U","2023-10-07 02:40:00","공동탕업","282324.390475074","428689.626878348","공동탕업","2","1","2","0","0","0","2","Y","","","","","0","0","Y",
"44","목욕장업","11_44_01_P","4191000","4191000-202-2014-00001","2014-08-08","","01","영업/정상","01","영업","","","","","033 742 7055","449.00","","강원특별자치도 원주시 단계동 651-1 외4필지 지하1층","강원특별자치도 원주시 서원대로 106, 지하1층 (단계동, 외4필지)","26381","(주)신우","2019-04-30 14:53:37","I","2023-06-13 00:00:00","목욕장업 기타","281838.569698066","427613.759606355","목욕장업 기타","4","2","0","0","1","1","0","N","","","","임대","0","0","N",
"45","목욕장업","11_44_01_P","4191000","4191000-202-2003-00008","2003-12-23","","01","영업/정상","01","영업","","","","","033 7618877","3062.56","","강원특별자치도 원주시 단구동 192-5 (3, 4층)","강원특별자치도 원주시 강변로 245 (단구동,(3, 4층))","26451","아쿠아랜드24시불가마사우나","2015-03-17 11:46:39","I","2023-06-13 00:00:00","찜질시설서비스영업","285172.86129794","425713.695297587","찜질시설서비스영업","4","1","3","4","0","0","6","Y","","","","자가","0","0","Y",
"46","목욕장업","11_44_01_P","4191000","4191000-202-1985-00004","1985-02-09","","01","영업/정상","01","영업","","","","","033 7442729","588.20","","강원특별자치도 원주시 단계동 794-7","강원특별자치도 원주시 단구로 52 (단계동)","26424","청원목욕탕","2014-01-17 14:10:37","I","2023-06-13 00:00:00","공동탕업","283014.483574534","427312.609685093","공동탕업","4","1","1","2","0","0","0","Y","","","","자가","0","0","Y",
"47","목욕장업","11_44_01_P","4191000","4191000-202-1991-00003","1991-09-16","","01","영업/정상","01","영업","","","","","033 7648808","450.02","","강원특별자치도 원주시 원동 295-26","강원특별자치도 원주시 무실로 121-2 (원동)","26438","원동목욕탕","2014-01-17 14:11:21","I","2023-06-13 00:00:00","공동탕업","283586.08646068","427196.437313058","공동탕업","0","0","0","0","0","0","0","N","","","","","0","0","Y",
"48","목욕장업","11_44_01_P","4191000","4191000-202-2001-00006","2001-12-28","","01","영업/정상","01","영업","","","","","033 7619889","1009.78","","강원특별자치도 원주시 명륜동 833-1 -3,-6","강원특별자치도 원주시 남원로469번길 7 (명륜동,-3,-6)","26482","로얄사우나","2018-05-18 10:17:54","I","2023-06-13 00:00:00","찜질시설서비스영업","283445.570846743","425455.484263598","찜질시설서비스영업","5","1","2","3","0","0","4","Y","","","","","0","0","Y",
"49","목욕장업","11_44_01_P","4191000","4191000-202-1997-00005","1997-12-16","","01","영업/정상","01","영업","","","","","033 7357777","1301.89","","강원특별자치도 원주시 단계동 871","강원특별자치도 원주시 장미공원길 75 (단계동)","26436","천지사우나","2017-03-13 10:49:14","I","2023-06-13 00:00:00","찜질시설서비스영업","282255.475912029","427439.669709274","찜질시설서비스영업","5","1","2","5","0","0","6","Y","","","","자가","0","0","Y",
"50","목욕장업","11_44_01_P","4191000","4191000-202-2015-00001","2015-07-16","","01","영업/정상","01","영업","","","","","","582.50","","강원특별자치도 원주시 단구동 185-8 2층,3층","강원특별자치도 원주시 강변로 231-2 (단구동, 2층,3층)","26451","원주온천","2021-11-25 11:25:16","I","2023-06-13 00:00:00","공동탕업","285187.51465953","425592.23037359","공동탕업","3","0","1","3","0","0","6","Y","","","","자가","0","0","N",
"51","목욕장업","11_44_01_P","4191000","4191000-202-2007-00001","2007-01-17","","01","영업/정상","01","영업","","","","","033 748 2766","888.03","","강원특별자치도 원주시 문막읍 동화리 1288-5","강원특별자치도 원주시 문막읍 왕건로 121","26363","문막황토불한증막","2018-02-27 16:39:43","I","2023-06-13 00:00:00","한증막업","273433.16105584","425687.78895157","한증막업","3","0","1","3","0","0","2","Y","","","","자가","0","0","Y",
"52","목욕장업","11_44_01_P","4191000","4191000-202-2001-00007","2001-02-19","","01","영업/정상","01","영업","","","","","033 7476253","844.45","","강원특별자치도 원주시 행구동 558-2","강원특별자치도 원주시 웃거름터길 8-12, 1,2.지하1층 (행구동)","26455","치악산한증막","2018-06-07 10:37:42","I","2023-06-13 00:00:00","찜질시설서비스영업","288680.051823348","427875.214719676","찜질시설서비스영업","2","1","1","1","1","1","4","Y","","","","자가","0","0","Y",
"53","목욕장업","11_44_01_P","4191000","4191000-202-1988-00003","1988-12-15","","01","영업/정상","01","영업","","","","","033 7438853","429.47","","강원특별자치도 원주시 중앙동 135-1","강원특별자치도 원주시 감영길 53-1 (중앙동)","26428","카카오사우나","2018-08-30 12:52:54","I","2023-06-13 00:00:00","찜질시설서비스영업","284289.845636461","427827.263510077","찜질시설서비스영업","3","1","1","1","1","1","1","Y","","","","자가","0","0","Y",
"54","목욕장업","11_44_01_P","4191000","4191000-202-1981-00001","1981-01-19","","01","영업/정상","01","영업","","","","","033 7438808","243.00","","강원특별자치도 원주시 단계동 128-43","강원특별자치도 원주시 원문로 107-22 (단계동)","26411","원주한증막","2024-01-29 14:05:21","U","2024-01-31 02:40:00","한증막업","282761.172201403","428493.968156329","한증막업","1","0","1","1","0","0","0","N","","","","","0","0","N",
"55","목욕장업","11_44_01_P","4191000","4191000-202-2004-00003","2004-09-23","","01","영업/정상","01","영업","","","","","033 9011114","1351.00","","강원특별자치도 원주시 단구동 997-6","강원특별자치도 원주시 남원로534번길 64 (단구동)","26485","청담사우나헬스","2021-05-14 10:22:53","I","2023-06-13 00:00:00","찜질시설서비스영업","284310.250897042","425529.166771353","찜질시설서비스영업","3","1","2","2","0","0","8","Y","","","","자가","0","0","Y",
"56","목욕장업","11_44_01_P","4191000","4191000-202-2004-00001","2004-02-14","","01","영업/정상","01","영업","","","","","033 7321006","2638.09","","강원특별자치도 원주시 학성동 1061-5","강원특별자치도 원주시 남산로 180 (학성동)","26417","대성사우나","2025-01-17 14:03:37","U","2025-01-19 02:40:00","찜질시설서비스영업","283291.73714663","428198.67238433","찜질시설서비스영업","8","1","2","3","0","0","11","Y","","","","임대","0","0","Y",
"57","목욕장업","11_44_01_P","4191000","4191000-202-2002-00003","2002-03-11","","01","영업/정상","01","영업","","","","","033 7643325","838.96","","강원특별자치도 원주시 명륜동 802","강원특별자치도 원주시 무실로 153 (명륜동)","26438","옥수정숯가마찜질방","2024-09-03 11:35:20","U","2024-09-05 02:40:00","찜질시설서비스영업","283383.087355804","427002.92589923","찜질시설서비스영업","4","0","1","1","1","1","2","Y","","","","임대","0","0","Y",
"58","목욕장업","11_44_01_P","4191000","4191000-202-2024-00004","2024-08-26","","01","영업/정상","01","영업","","","","","","994.83","","강원특별자치도 원주시 지정면 신평리 170-16","강원특별자치도 원주시 지정면 신무로 54-8, A동 1동 1,2층","26348","원주시티호텔사우나","2025-04-11 12:03:26","U","2025-04-13 02:40:00","목욕장업 기타","","","목욕장업 기타","1","4","1","2","0","0","0","N","","","","","0","0","Y",
"59","목욕장업","11_44_01_P","4191000","4191000-202-2024-00001","2024-03-13","","01","영업/정상","01","영업","","","","","","624.57","","강원특별자치도 원주시 중앙동 63","강원특별자치도 원주시 중앙시장길 32, 4층 (중앙동)","26428","원주관광호텔(Hotel)사우나","2024-05-22 14:01:42","U","2024-05-24 02:40:00","목욕장업 기타","284113.555870593","428054.723545349","목욕장업 기타","10","1","4","4","0","0","2","N","","","","임대","0","0","N",
"60","목욕장업","11_44_01_P","4191000","4191000-202-2024-00002","2024-03-19","","01","영업/정상","01","영업","","","","","033730 3029","1108.00","","강원특별자치도 원주시 지정면 월송리 1039 오크밸리","강원특별자치도 원주시 지정면 월송석화로 950, 오크밸리 2층","26357","오크밸리CC클럽하우스사우나","2024-06-21 15:45:58","U","2024-06-23 02:40:00","목욕장업 기타","272180.340244021","437530.697566021","목욕장업 기타","2","0","3","0","1","0","0","N","","","","","0","0","N",
