"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","영업내용",
"30","옥외광고업","04_15_01_P","4181000","2010418011108500001","2016-04-05","","01","영업/정상","20","정상","","","","","033 256 9927","","","강원특별자치도 춘천시 효자동 ***-**","강원특별자치도 춘천시 서부대성로 *** (효자동)","24295","제일인쇄기획","2016-04-07 10:49:34","I","2023-06-13 00:00:00","","265070.949566885","486048.906339602","옥외광고업",
"31","옥외광고업","04_15_01_P","4181000","2010418011108500004","2021-03-30","","01","영업/정상","20","정상","","","","","033 261 6783","","","강원특별자치도 춘천시 동내면 거두리 ***-**","강원특별자치도 춘천시 동내면 금촌로 ***","24399","참조은(주)","2021-03-31 09:12:18","I","2023-06-13 00:00:00","","269440.874826446","484869.986339875","간판및광고물,철구조물",
"32","옥외광고업","04_15_01_P","4181000","2010418011108500005","2010-06-04","","01","영업/정상","20","정상","","","","","033 242 2085","","","강원특별자치도 춘천시 효자동 ***-**","강원특별자치도 춘천시 효명길 ** (효자동)","","디모애드컴","2014-07-08 18:26:35","I","2023-06-13 00:00:00","","263902.154086147","485629.52879085","옥외광고업",
"33","옥외광고업","04_15_01_P","4181000","2010418011108500006","2020-03-13","","01","영업/정상","20","정상","","","","","033 264 1133","","","강원특별자치도 춘천시 옥천동 **-*","강원특별자치도 춘천시 춘천로 *** (효자동, 메가시티***, ***호)","24329","(주)아이비스퀘어","2020-03-16 15:22:33","I","2023-06-13 00:00:00","","264131.250984315","486904.550543568","옥외광고업",
"34","옥외광고업","04_15_01_P","4181000","2020418036008500011","2020-10-12","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 소양강로 **, B&I지식산업센터 ***호 (후평동)","24232","(주)더피움","2024-01-03 13:07:42","U","2024-01-05 02:40:00","","265110.09316187","487896.259846263","광고물 인쇄,제작 설치",
"35","옥외광고업","04_15_01_P","4181000","2021418036008500001","2021-01-14","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 춘천시 효자동 ***-*","강원특별자치도 춘천시 서부대성로 ***, ***호 (효자동)","24293","디자인페스티벌","2021-01-18 09:25:58","I","2023-06-13 00:00:00","","264758.732173488","486226.577662528","옥외광고물 제작 설치 광고대행",
"36","옥외광고업","04_15_01_P","4181000","2021418036008500002","2021-02-18","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 춘천시 동내면 신촌리 ***-*","강원특별자치도 춘천시 동내면 동내로 ***","24407","주식회사 강원브이아이피시스템","2021-02-25 13:20:16","I","2023-06-13 00:00:00","","267462.735587049","483413.193947702","옥외광고물 제작설치 및 전시광고",
"37","옥외광고업","04_15_01_P","4181000","2021418036008500003","2021-03-12","","01","영업/정상","20","정상","","","","","033 269 8700","","","강원특별자치도 춘천시 동내면 신촌리 ***-*","강원특별자치도 춘천시 동내면 동내로 ***, *층","24407","주식회사 금원","2021-03-25 09:56:42","I","2023-06-13 00:00:00","","267462.735587049","483413.193947702","옥외광고물 제작설치 및 전시광고",
"38","옥외광고업","04_15_01_P","4181000","2021418036008500006","2021-06-23","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 춘천시 신북읍 유포리 ***-*","강원특별자치도 춘천시 신북읍 맥국*길 **","24203","디자인통","2021-06-28 10:30:57","I","2023-06-13 00:00:00","","268276.603053782","494470.201540696","옥외광고물등 제작 설치",
"39","옥외광고업","04_15_01_P","4181000","1997418002308200065","1997-07-22","","01","영업/정상","20","정상","","","","","033 251 1005","","","강원특별자치도 춘천시 소양로*가 ***-*","강원특별자치도 춘천시 중앙로 *** (소양로*가)","","종합광고패션","2018-10-17 13:28:32","I","2023-06-13 00:00:00","","263232.017597879","486165.294778411","광고물제작",
"40","옥외광고업","04_15_01_P","4181000","1998418002308200072","2008-04-07","","01","영업/정상","20","정상","","","","","033 263 1203","","","강원특별자치도 춘천시 동내면 학곡리 ***-*","강원특별자치도 춘천시 동내면 학곡서*길 **-**","","한진기획","2014-07-17 17:14:55","I","2023-06-13 00:00:00","","266651.945299455","481731.106802364","간판 및 광고물",
"41","옥외광고업","04_15_01_P","4181000","1998418002308200074","2014-07-16","","01","영업/정상","20","정상","","","","","033 252 6566","","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 공단로 ** (후평동)","200-957","나래디자인","2021-04-05 15:32:12","I","2023-06-13 00:00:00","","265825.369554762","487451.648639114","옥외광고물제작",
"42","옥외광고업","04_15_01_P","4181000","2003418011108200029","2007-10-05","","01","영업/정상","20","정상","","","","","033 242 0520","","","강원특별자치도 춘천시 신북읍 율문리 **-*","강원특별자치도 춘천시 신북읍 신샘밭로 ***","24205","간판가게","2022-07-19 16:08:18","I","2023-06-13 00:00:00","","267138.317770653","492092.85183002","광고물제작 및 설치",
"43","옥외광고업","04_15_01_P","4181000","2010418011108500007","2023-09-20","","01","영업/정상","20","정상","","","","","033 262 0018","","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 퇴계공단*길 ** (퇴계동)","24427","네오뮤즈","2023-09-25 14:53:23","U","2023-09-27 02:40:00","","265027.778655593","482873.963107103","옥외광고업",
"44","옥외광고업","04_15_01_P","4181000","2011418011108500002","2016-02-25","","01","영업/정상","20","정상","","","","","033 256 0108","","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 후석로***번길 ** (후평동)","24232","싸인플러스","2022-10-19 10:29:27","I","2023-06-13 00:00:00","","265406.676727894","487826.15471003","간판업(옥외광고업)",
"45","옥외광고업","04_15_01_P","4181000","2011418011108500004","2016-03-22","","01","영업/정상","20","정상","","","","","033 251 5851","","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 효평길 **-* (후평동)","24277","하나로","2016-03-24 19:22:01","I","2023-06-13 00:00:00","","265490.281298926","486677.699432548","광고물제작,현수막, 도장공사,옥외광고업",
"46","옥외광고업","04_15_01_P","4181000","2011418011108500006","2011-04-07","","01","영업/정상","20","정상","","","","","033 263 5152","","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 후석로***번길 ** (후평동)","","한결","2014-07-10 13:55:24","I","2023-06-13 00:00:00","","265281.136546664","487823.759628427","옥외광고업 및 간판제조",
"47","옥외광고업","04_15_01_P","4181000","2011418011108500010","2025-09-12","","01","영업/정상","20","정상","","","","","033 255 9700","","","강원특별자치도 춘천시 퇴계동 **** 춘천 퇴계 세영리첼 아파트","강원특별자치도 춘천시 김유정로 ****, ***동 ****호 (퇴계동, 춘천 퇴계 세영리첼 아파트)","24422","춘천광고기획","2025-09-15 16:47:51","U","2025-09-17 02:40:00","","264663.753257284","483609.024960168","옥외광고물 디자인(제작 설치 안함)",
"48","옥외광고업","04_15_01_P","4181000","1999418002308200138","1999-10-08","","01","영업/정상","20","정상","","","","","033 264 7995","","","강원특별자치도 춘천시 동내면 거두리 ***-*","강원특별자치도 춘천시 동내면 거두택지길**번길 **","","피아SIGN","2014-07-10 14:29:34","I","2023-06-13 00:00:00","","266331.426798778","483399.20388774","간판제작",
"49","옥외광고업","04_15_01_P","4181000","2000418002308200146","2017-02-08","","01","영업/정상","20","정상","","","","","033 255 4115","","","강원특별자치도 춘천시 석사동 ***-**","강원특별자치도 춘천시 애막골길**번길 ** (석사동)","24326","이미지 월드","2017-02-13 10:41:40","I","2023-06-13 00:00:00","","265854.737562323","484734.669055484","현수막 제조",
"50","옥외광고업","04_15_01_P","4181000","2011418011108500012","2023-01-31","","01","영업/정상","20","정상","","","","","033 242 2629","","","강원특별자치도 춘천시 동내면 거두리 ***-*","강원특별자치도 춘천시 동내면 거두길 *","24400","(주)이루디앤에이","2023-02-03 15:38:00","I","2023-06-13 00:00:00","","266830.620971911","484433.745292729","옥외광고업,",
"51","옥외광고업","04_15_01_P","4181000","2012418024108500001","2021-06-24","","01","영업/정상","20","정상","","","","","033 252 0098","","","강원특별자치도 춘천시 온의동 ***-*","강원특별자치도 춘천시 춘주로**번길 **-*, *층 (온의동)","24438","불개미커뮤니케이션","2021-06-25 09:22:23","I","2023-06-13 00:00:00","","263199.334547494","484361.871652775","옥외광고업",
"52","옥외광고업","04_15_01_P","4181000","2012418024108500002","2012-01-09","","01","영업/정상","20","정상","","","","","033 252 5711","","","강원특별자치도 춘천시 요선동 *-*","강원특별자치도 춘천시 서부대성로**번길 *, *층 ***호 (요선동)","24270","출판기획 형","2022-06-09 15:05:44","I","2023-06-13 00:00:00","","264006.756498433","487046.956734599","옥외광고업",
"53","옥외광고업","04_15_01_P","4181000","2023418041108500004","2023-02-28","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 춘천시 퇴계동 ****-*","강원특별자치도 춘천시 효자로 **, *층 (퇴계동)","24370","주식회사플래그홀딩스","2025-07-28 16:49:07","U","2025-07-30 02:40:00","","263861.157611974","485010.927143492","그래픽 편집 및 디자인/광고대행업",
"54","옥외광고업","04_15_01_P","4181000","2023418041108500005","2023-03-08","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 춘천시 석사동 ***-* 석사대우아파트","강원특별자치도 춘천시 우석로***번길 **, ***동 ***호 (석사동, 석사대우아파트)","24318","광고하는 사람들","2023-03-14 10:21:10","I","2023-06-13 00:00:00","","266544.270644695","485428.661463148","옥외광고 디자인 및 광고대행업",
"55","옥외광고업","04_15_01_P","4181000","2023418041108500006","2023-04-14","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 춘천시 효자동 ***-**","강원특별자치도 춘천시 효자로 **, *층 *호 (효자동)","24337","한솔","2024-05-29 15:11:27","U","2024-05-31 02:40:00","","264146.698341104","485419.171445152","출판,인쇄,광고물 제작",
"56","옥외광고업","04_15_01_P","4181000","1980418002308200002","2010-09-27","","01","영업/정상","20","정상","","","","","033 255 2323","","","강원특별자치도 춘천시 중앙로*가 ***","강원특별자치도 춘천시 낙원길 ** (중앙로*가)","","보영광고사","2014-07-08 18:29:24","I","2023-06-13 00:00:00","","263882.059910129","486680.88065926","간판제작업",
"57","옥외광고업","04_15_01_P","4181000","1980418002308200007","1980-02-21","","01","영업/정상","20","정상","","","","","033 252 4248","","","강원특별자치도 춘천시 중앙로*가 **","강원특별자치도 춘천시 낙원길 **-* (중앙로*가)","","신도사","2014-05-13 14:50:06","I","2023-06-13 00:00:00","","263754.016050878","486505.781526896","간판제작업",
"58","옥외광고업","04_15_01_P","4181000","2001418002308200002","2001-04-10","","01","영업/정상","20","정상","","","","","033 253 9911","","","강원특별자치도 춘천시 동면 장학리 ***-*","강원특별자치도 춘천시 동면 하일길 ***-*","","뉴텍기획","2014-07-10 15:06:58","I","2023-06-13 00:00:00","","266273.323427818","489604.146389673","간판제조",
"59","옥외광고업","04_15_01_P","4181000","2001418002308200003","2001-04-10","","01","영업/정상","20","정상","","","","","033 251 9359","","","강원특별자치도 춘천시 효자동 ***-**","강원특별자치도 춘천시 명주샛길 * (효자동)","","간판하우스","2022-06-08 14:31:24","I","2023-06-13 00:00:00","","264045.473732577","485595.703583718","간판제조",
"60","옥외광고업","04_15_01_P","4181000","2001418002308200004","2001-05-18","","01","영업/정상","20","정상","","","","","033 262 0221","","","강원특별자치도 춘천시 근화동 ***-**","강원특별자치도 춘천시 중앙로 *** (근화동)","24246","예담종합광고","2015-12-14 13:46:43","I","2023-06-13 00:00:00","","262834.065489778","486006.183587395","현수막.간판",
"61","옥외광고업","04_15_01_P","4181000","1997418002308200055","2016-04-22","","01","영업/정상","20","정상","","","","","033 255 0121","","","강원특별자치도 춘천시 효자동 ***-**","강원특별자치도 춘천시 소전길 ** (효자동)","24338","에메랄드기획","2016-04-25 10:49:13","I","2023-06-13 00:00:00","","264372.602192694","485574.182121557","간판제작업",
"62","옥외광고업","04_15_01_P","4181000","1998418002308200104","2008-02-11","","01","영업/정상","20","정상","","","","","033 253 8489","","","강원특별자치도 춘천시 동면 장학리 ***-*","강원특별자치도 춘천시 동면 가래울길 *","","월드 디자인","2014-07-10 18:01:01","I","2023-06-13 00:00:00","","266237.85395387","490417.065162637","간판 및 현수막 제작",
"63","옥외광고업","04_15_01_P","4181000","1998418002308200105","2006-08-30","","01","영업/정상","20","정상","","","","","033 243 2511","","","강원특별자치도 춘천시 효자동 ***-*","강원특별자치도 춘천시 효자로 **-* (효자동)","","백우기획","2014-07-10 11:46:38","I","2023-06-13 00:00:00","","264337.371707171","485574.49423861","간판 및 현수막 제작",
"64","옥외광고업","04_15_01_P","4181000","1999418002308200110","2017-10-19","","01","영업/정상","20","정상","","","","","033 262 9863","","","강원특별자치도 춘천시 동내면 거두리 ***-*","강원특별자치도 춘천시 동내면 거두택지길**번길 **","24405","나눔 자리","2021-06-07 17:25:43","I","2023-06-13 00:00:00","","266243.351538928","483504.622405593","광고 대행업",
"65","옥외광고업","04_15_01_P","4181000","1999418002308200118","2022-06-28","","01","영업/정상","20","정상","","","","","033 255 0702","","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 후석로***번길 *, 춘천하이테크타워 *동 *층 ***호 (후평동)","24232","서정 A&C","2022-06-28 13:37:29","I","2023-06-13 00:00:00","","265474.842593179","487512.552718902","광고물 제작",
"66","옥외광고업","04_15_01_P","4181000","1999418002308200119","1999-03-19","","01","영업/정상","20","정상","","","","2011-11-17","033 261 4704","","","강원특별자치도 춘천시 동내면 학곡리 ***","강원특별자치도 춘천시 동내면 학곡서*길 **-*","","동부아트","2014-07-10 14:30:21","I","2023-06-13 00:00:00","","266671.655709273","481516.108475704","광고물 제작",
"67","옥외광고업","04_15_01_P","4181000","2003418011108200009","2003-04-21","","01","영업/정상","20","정상","","","","","033 255 4387","","","강원특별자치도 춘천시 소양로*가 ***-*","강원특별자치도 춘천시 중앙로 *** (소양로*가)","","중앙광고","2017-09-28 11:13:29","I","2023-06-13 00:00:00","","263373.614138306","486218.319176021","간판제조",
"68","옥외광고업","04_15_01_P","4181000","2003418011108200019","2003-08-18","","01","영업/정상","20","정상","","","","","033 256 0997","","","강원특별자치도 춘천시 효자동 ***-**","강원특별자치도 춘천시 남춘로**번길 *-* (효자동)","","수디자인","2014-05-13 15:21:47","I","2023-06-13 00:00:00","","264326.45867551","485033.51833217","간판제조업",
"69","옥외광고업","04_15_01_P","4181000","2003418011108200028","2008-01-30","","01","영업/정상","20","정상","","","","","033 253 2354","","","강원특별자치도 춘천시 동내면 학곡리 ***-*","강원특별자치도 춘천시 동내면 학곡서*길 **-**","","베스트","2014-05-12 14:31:02","I","2023-06-13 00:00:00","","266651.945299455","481731.106802364","광고물제작",
"70","옥외광고업","04_15_01_P","4181000","1988418002308200015","2020-04-13","","01","영업/정상","20","정상","","","","","033 254 5518","","","강원특별자치도 춘천시 동면 만천리 ***-*","강원특별자치도 춘천시 동면 만천로***번길 **","24216","두리콤","2020-04-14 10:01:30","I","2023-06-13 00:00:00","","266932.186787159","486677.311976093","간판제작업",
"71","옥외광고업","04_15_01_P","4181000","1996418002308200046","2006-12-30","","01","영업/정상","20","정상","","","","","033 254 5422","","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 후석로***번길 ** (후평동)","","예인디자인","2014-07-10 14:25:35","I","2023-06-13 00:00:00","","265479.020321504","487759.824764275","간판제작업",
"72","옥외광고업","04_15_01_P","4181000","1996418002308200049","1996-06-18","","01","영업/정상","20","정상","","","","","033 261 3322","","","강원특별자치도 춘천시 칠전동 ***-**","강원특별자치도 춘천시 칠전동*길 *-* (칠전동)","24456","길하나길두울","2024-08-06 13:22:34","U","2024-08-08 02:40:00","","262880.43","482161.62","간판제작업",
"73","옥외광고업","04_15_01_P","4181000","2001418002308200011","2001-09-20","","01","영업/정상","20","정상","","","","","033 244 8036","","","강원특별자치도 춘천시 효자동 ***-*","강원특별자치도 춘천시 소전길 **-* (효자동)","24338","대신광고","2021-05-31 11:19:58","I","2023-06-13 00:00:00","","264324.372877364","485495.976762346","광고물제작.서비스",
"74","옥외광고업","04_15_01_P","4181000","2001418002308200012","2001-03-18","","01","영업/정상","20","정상","","","","2010-03-18","033 243 8118","","","강원특별자치도 춘천시 근화동 ***-*","강원특별자치도 춘천시 중앙로 *** (근화동)","24276","국제광고","2016-01-24 14:32:32","I","2023-06-13 00:00:00","","262991.532952485","486063.52274174","광고물제작.서비스",
