"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"11","관광사업자","03_07_02_P","6530000","C07002006000004","2006-12-29","","01","영업/정상","1","영업","","","","","0336360500","","","강원특별자치도 속초시 교동 737 - 7 아남프라자 1313","강원특별자치도 속초시 동해대로 4236 (교동,아남프라자 1313)","","엑스포여행사","2006-12-29 12:31:52","I","2023-06-13 00:00:00","","338132.520338395","522766.508207672","여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","350000000","","","","0",
"12","관광사업자","03_07_02_P","6530000","C07002009000001","2002-10-11","","01","영업/정상","1","영업","","","","","0332538888","0","","강원특별자치도 춘천시 중앙로1가 66","강원특별자치도 춘천시 옥천길 17-9 (중앙로1가)","","(주)코리아나투어스","2009-12-01 15:08:55","I","2023-06-13 00:00:00","","264028.548349399","486814.392141802","여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"13","관광사업자","03_07_02_P","6530000","C07002009000002","2009-04-13","","01","영업/정상","1","영업","","","","","0332575533","0","","강원특별자치도 춘천시 조양동 15 - 2","강원특별자치도 춘천시 아침길 10 (조양동)","","(자)한일여행사","2009-12-01 15:08:31","I","2023-06-13 00:00:00","","264173.833925259","486480.851915096","여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","350000000","","","","0",
"14","관광사업자","03_07_02_P","6530000","C07002009000003","2002-12-16","","01","영업/정상","1","영업","","","","","0336465678","0","","강원특별자치도 강릉시 임당동 141 - 1","강원특별자치도 강릉시 경강로 2073 (임당동)","","(합)굿모닝 여행사","2013-12-16 14:12:51","I","2023-06-13 00:00:00","","366874.358216962","474058.528605779","여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","350000000","","","","0",
"15","관광사업자","03_07_02_P","6530000","C07002009000004","2001-06-15","","01","영업/정상","1","영업","","","","","0336488011","0","","강원특별자치도 강릉시 임당동 86 - 2","강원특별자치도 강릉시 경강로 2099 (임당동)","","영동관광(주)","2009-12-01 15:13:46","I","2023-06-13 00:00:00","","367055.315292309","474208.214687315","여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","600000000","","","","0",
"16","관광사업자","03_07_02_P","6530000","C07002009000005","1998-10-24","","01","영업/정상","1","영업","","","","","0336363501","0","","강원특별자치도 속초시 교동 932 - 4 한남빌딩 701호","강원특별자치도 속초시 동해대로 4327, 701호 (교동,한남빌딩)","","(주)뉴코리아여행사","2009-12-01 15:25:13","I","2023-06-13 00:00:00","","337369.171765106","523215.353931719","여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","350000000","","","","0",
"17","관광사업자","03_07_02_P","6530000","C07002009000006","2005-01-11","","01","영업/정상","1","영업","","","","","0336738003","0","","강원특별자치도 양양군 손양면 동호리 545 양양국제공항 200호","강원특별자치도 양양군 손양면 공항로 201, 200호 (양양국제공항)","","아이러브강원(주)","2009-12-01 15:28:55","I","2023-06-13 00:00:00","","345872.519696863","507531.05657781","여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","350000000","","","","0",
"18","관광사업자","03_07_02_P","6530000","C07002011000001","2009-06-30","","01","영업/정상","1","영업","","","","","","0","","강원특별자치도 원주시 태장동 1720 - 19","강원특별자치도 원주시 태장공단길 42-7 (태장동)","","이엘아이비에스(EL.I.B.S)여행사","2011-09-14 14:39:33","I","2023-06-13 00:00:00","","283837.822409253","434153.652399319","여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"19","관광사업자","03_07_02_P","6530000","C01002011000001","2009-04-10","","01","영업/정상","1","영업","","","","","","0","","강원특별자치도 화천군 간동면 간척리 377","강원특별자치도 화천군 간동면 간척리길 377","","관광여행업","2013-12-30 11:50:33","I","2023-06-13 00:00:00","","273116.615876261","503917.548662066","관광객이용시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"20","관광사업자","03_07_02_P","6530000","C01002019000001","2019-04-24","","01","영업/정상","1","영업","","2019-04-05","2019-07-08","","0335393600","290000","","강원특별자치도 동해시 천곡동 806 - 0 1호","강원특별자치도 동해시 천곡로 77-0, 1동 (천곡동,동해시청)","","망상오토캠핑리조트","2019-08-12 14:54:12","I","2023-06-13 00:00:00","","386859.025909753","449055.410717399","관광객이용시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","20190101","20191231","0","20190101","20191231","클럽하우스, 컨벤션센터, 카페테리아, 체육시설, 다목적구장, 공동취사장, 화장실및 샤워실,","0",
"21","관광사업자","03_07_02_P","6530000","C01002019000002","2014-07-14","","01","영업/정상","1","영업","","","","","0335393618","20750","","강원특별자치도 동해시 망상동 393 - 19 망상제2오토캠핑장","강원특별자치도 동해시 동해대로 6270-14 (망상동,망상제2오토캠핑장)","","망상제2오토캠핑장","2019-05-24 10:36:24","I","2023-06-13 00:00:00","","384727.644856489","456424.240621638","관광객이용시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","5560000000","20190101","20191231","","0",
"22","관광사업자","03_07_02_P","6530000","C02002009000001","2009-10-15","","01","영업/정상","1","영업","","","","","0335322833","0","","강원특별자치도 동해시 발한동 34 - 5","강원특별자치도 동해시 발한로 205 (발한동)","","(주)미래관광","2012-09-12 13:40:48","I","2023-06-13 00:00:00","","386273.264725768","451611.416761546","관광객편의시설","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","550000000","","","","0",
"23","관광사업자","03_07_02_P","6530000","C02002009000002","2009-05-26","","01","영업/정상","1","영업","","","","","0336350339","0","","강원특별자치도 속초시 노학동 978","강원특별자치도 속초시 관광로 377 (노학동)","","속초시시설관리공단","2013-12-16 14:11:50","I","2023-06-13 00:00:00","","334655.549834885","522257.987054815","관광객편의시설","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","300000000","","","","0",
"24","관광사업자","03_07_02_P","6530000","C02002010000001","2010-01-15","","01","영업/정상","1","영업","","","","","0336316799","0","217-050","강원특별자치도 속초시 청학동 482 - 279","강원특별자치도 속초시 중앙로 77 (청학동)","","홍콩객잔","2010-01-20 17:36:25","I","2023-06-13 00:00:00","","338723.518214277","523276.718273245","관광객편의시설","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"25","관광사업자","03_07_02_P","6530000","C06002019000001","2019-04-24","","02","휴업","2","휴업","","2019-04-05","2020-12-31","","0335393600","290000","","강원특별자치도 동해시 망상동 393 - 39 망상오토캠핑리조트 1호","강원특별자치도 동해시 동해대로 6370-0, 1동 (망상동,망상오토캠핑리조트)","","망상오토캠핑리조트","2019-04-24 14:56:18","I","2023-06-13 00:00:00","","383499.30979747","457408.646958951","관광숙박업","","","0","","","한국지방재정공제회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20190101","20191231","클럽하우스, 컨벤션센터, 카페테리아, 체육시설, 다목적구장","0",
