"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수","사업자등록번호",
"13","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025200200001","2002-02-25","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 춘천시 서면 신매리 108-7 외11필지","강원특별자치도 춘천시 서면 박사로 1148-38","200-835","우리송어양식장","2024-06-03 11:05:22","U","2024-06-05 02:40:00","","262242.097405453","490226.25302783","기타수질오염원관리","","","","","0","","0","2219034919",
"14","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025199800250","1998-10-15","","01","영업/정상","11","영업","","","","","0332581000","","","강원특별자치도 춘천시 퇴계동 865-3","강원특별자치도 춘천시 퇴계공단길 58 (퇴계동)","24427","(주)강원일보","2019-06-27 11:26:53","I","2023-06-13 00:00:00","","264853.905747517","482591.077663669","기타수질오염원관리","","","","","0","","0","2218100187",
"15","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025201600002","2016-12-22","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 춘천시 동면 지내리 950 외 1(951번지)","","","봉의수산","2016-12-22 17:34:58","I","2023-06-13 00:00:00","","268593.374477075","491422.052109683","기타수질오염원관리","","","","","0","","0","2219018831",
"16","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025201700003","2017-09-04","","01","영업/정상","11","영업","","","","","033-903-5100","","","강원특별자치도 춘천시 온의동 228-17 외 12필지","","","한성자동차(주)","2024-10-17 09:14:06","U","2024-10-19 02:40:00","","263072.80409679","484700.589271317","기타수질오염원관리","","","","","0","","0","1148652489",
"17","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025201700001","2017-06-22","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 춘천시 동내면 학곡리 341-1 외 3필지(335-2, 337-2, 337-3)","","","우진대리점","2017-09-29 11:09:30","I","2023-06-13 00:00:00","","266563.618571834","481823.55889525","기타수질오염원관리","","","","","0","","0","",
"18","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025199500093","1995-09-25","","01","영업/정상","11","영업","","","","","033 255 5757","","","강원특별자치도 춘천시 후평동 184-1","강원특별자치도 춘천시 춘천로 427 (후평동)","","합자회사 공신","2017-07-31 17:58:33","I","2023-06-13 00:00:00","","266111.102495795","487924.185196075","기타수질오염원관리","","","","","0","","0","2218113038",
"19","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025201700004","2017-10-17","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 춘천시 동면 품걸리 4-1 외 3필지(4-2, 5-1, 5-2)","","","박상진씨 양어장","2020-03-06 14:54:57","I","2023-06-13 00:00:00","","283144.77265253","482870.533996802","기타수질오염원관리","","","","","0","","0","",
"20","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025201700006","2017-12-12","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 춘천시 동내면 거두리 464-2","강원특별자치도 춘천시 동내면 거두길 150","24399","두산건기춘천판매 주식회사","2021-07-24 09:40:22","I","2023-06-13 00:00:00","","268031.295728816","484493.582512408","기타수질오염원관리","","","","","0","","0","2218109117",
"21","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025201700005","2017-10-27","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 춘천시 신동면 증리 663-3 외 3필지(666-3, 667, 668-30","","","-","2020-12-11 16:10:42","I","2023-06-13 00:00:00","자동차 종합 수리업","263859.468066586","481024.285744431","기타수질오염원관리","자동차 종합 수리업","","","","0","","0","",
"22","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025201900002","2019-05-02","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 춘천시 신북읍 산천리 1173 외 1필지(1174)","","","무지개양어장","2024-10-11 11:30:09","U","2024-10-13 02:40:00","","265627.228818739","493157.06160423","기타수질오염원관리","","","","","0","","0","",
"23","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025201900001","2019-03-29","","01","영업/정상","11","영업","","","","","033-242-0521","","","강원특별자치도 춘천시 후평동 198-85","강원특별자치도 춘천시 공단로70번길 17 (후평동)","24232","선진정비공업사","2021-07-24 09:37:52","I","2023-06-13 00:00:00","","265969.85516146","488060.378481429","기타수질오염원관리","","","","","0","","0","3063874441",
"24","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025201900004","2019-09-20","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 춘천시 동면 상걸리 601-1 외 1 (507-1)","강원특별자치도 춘천시 동면 길골길 63-5","24212","약수골농원","2025-09-25 11:29:41","U","2025-09-27 02:40:00","","273333.357607086","484936.25815286","기타수질오염원관리","","","","","0","","0","6489901353",
"25","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025201900005","2019-12-11","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 춘천시 신동면 증리 184 , 184-1","","","-","2021-03-11 10:52:07","I","2023-06-13 00:00:00","","262257.926108334","478426.027934088","기타수질오염원관리","","","","","0","","0","",
"26","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025202000001","2020-03-09","","01","영업/정상","11","영업","","","","","033-263-5166","","","강원특별자치도 춘천시 동면 만천리 243","강원특별자치도 춘천시 동면 금촌로 300, 2동","24212","춘천종합건설기계","2020-03-31 10:41:47","I","2023-06-13 00:00:00","","268943.571610132","485499.643288588","기타수질오염원관리","","","","","0","","0","1990901511",
"27","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025202100009","2021-05-25","","01","영업/정상","11","영업","","","","","0332538252","","","강원특별자치도 춘천시 효자동 626-4","강원특별자치도 춘천시 서부대성로 221 (효자동)","24289","오렌즈 강원대점","2021-05-25 09:23:28","I","2023-06-13 00:00:00","","265289.011638312","485932.239096466","기타수질오염원관리","","","","","0","","0","6765700266",
"28","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025202100015","2021-06-11","","01","영업/정상","11","영업","","","","","0332519009","","","강원특별자치도 춘천시 중앙로2가 37-1","강원특별자치도 춘천시 중앙로 71 (중앙로2가)","24354","명동안경","2021-06-11 16:12:38","I","2023-06-13 00:00:00","","263818.989477962","486499.015115582","기타수질오염원관리","","","","","0","","0","2210213014",
"29","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025202100021","2021-06-17","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 춘천시 후평동 692","강원특별자치도 춘천시 춘천로296번길 3 (후평동)","24277","아이데코 춘천후평점","2021-06-17 11:42:15","I","2023-06-13 00:00:00","","265580.230265785","486750.045883114","기타수질오염원관리","","","","","0","","0","2212679633",
"30","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025202100025","2021-06-21","","01","영업/정상","11","영업","","","","","0332645234","","","강원특별자치도 춘천시 석사동 796-8","강원특별자치도 춘천시 퇴계로 199 (석사동)","24390","다비치안경원 퇴계석사점","2025-02-04 09:49:19","U","2025-02-06 02:40:00","","265120.620884326","484091.74714327","기타수질오염원관리","","","","","0","","0","7651302084",
"31","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025200400001","2004-01-07","","01","영업/정상","11","영업","","","","","0332427582","","","강원특별자치도 춘천시 운교동 182-4","강원특별자치도 춘천시 춘천로 181 (운교동)","200-080","효자한림의원","2019-03-12 18:01:20","I","2023-06-13 00:00:00","","264534.340707067","486272.66591258","기타수질오염원관리","","","","","0","","0","3019611209",
"32","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025202100016","2021-06-11","","01","영업/정상","11","영업","","","","","0332414224","","","강원특별자치도 춘천시 퇴계동 890-4","강원특별자치도 춘천시 행촌로 35 (퇴계동)","24441","서울안경원","2021-06-11 16:20:51","I","2023-06-13 00:00:00","","263673.138281614","484384.345181799","기타수질오염원관리","","","","","0","","0","2230215148",
"33","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025199400069","1994-12-21","","01","영업/정상","11","영업","","","","","0332625800","","200-881","강원특별자치도 춘천시 동내면 신촌리 257-1","강원특별자치도 춘천시 동내면 춘천순환로152번길 112","","진성종합정비공장","2010-03-03 16:03:16","I","2023-06-13 00:00:00","자동차 종합 수리업","267737.403791338","483786.586596537","기타수질오염원관리","자동차 종합 수리업","","","","0","","0","2210337861",
"34","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025199500031","1995-02-07","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 춘천시 사농동 377","","","한벽수산","2025-07-04 09:03:52","U","2025-07-06 02:40:00","","263325.85611247","490298.061628452","기타수질오염원관리","","","","","0","","0","3299102265",
"35","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025199500032","1995-01-24","","01","영업/정상","11","영업","","","","","033 2515109","","","강원특별자치도 춘천시 신동 978-1","강원특별자치도 춘천시 영서로 3205 (신동)","","호반수산","2024-10-11 11:30:35","U","2024-10-13 02:40:00","","263002.448792186","492793.821039538","기타수질오염원관리","","","","","0","","0","2219003191",
"36","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025199500035","1995-01-12","","01","영업/정상","11","영업","","","","","033 2422610","","","강원특별자치도 춘천시 신북읍 산천리 946,946-1,-2,-3","","","산천수산","2020-11-10 17:26:24","I","2023-06-13 00:00:00","","","","기타수질오염원관리","","","","","0","","0","2219309390",
"37","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025199500037","1995-01-10","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 춘천시 동면 장학리 749-1,749-5,751,751-13,780","","","반석수산","2021-11-02 14:37:00","I","2023-06-13 00:00:00","","","","기타수질오염원관리","","","","","0","","0","6489500773",
"38","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025199500061","1995-01-16","","01","영업/정상","11","영업","","","","","0332527424","","","강원특별자치도 춘천시 근화동 786-1","강원특별자치도 춘천시 공지로 627 (근화동)","200-931","대우자동차춘천정비(주)","2013-12-20 17:20:59","I","2023-06-13 00:00:00","자동차 종합 수리업","263232.11469675","487657.291473271","기타수질오염원관리","자동차 종합 수리업","","","","0","","0","2218116694",
"39","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025199500063","1995-01-18","","01","영업/정상","11","영업","","","","","033 2546381","","200-130","강원특별자치도 춘천시 근화동 709-4","","","1급소양정비공장","2009-05-18 14:27:20","I","2023-06-13 00:00:00","자동차 종합 수리업","263037.82733974","486032.38775003","기타수질오염원관리","자동차 종합 수리업","","","","0","","0","2212560137",
"40","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025199500064","1995-01-10","","01","영업/정상","11","영업","","","","","0332518628","","","강원특별자치도 춘천시 동면 장학리 786-80 외 10필지","강원특별자치도 춘천시 동면 하일길 215-4","24210","북춘천현대서비스","2024-07-23 09:15:26","U","2024-07-25 02:40:00","","266104.077916101","489242.949844905","기타수질오염원관리","","","","","0","","0","2210339836",
"41","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025201200002","2012-05-04","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 춘천시 서면 신매리 107-2 107-3번지","","","청정양식장","2025-05-12 17:31:08","U","2025-05-14 02:40:00","","262254.830273541","490298.480310986","기타수질오염원관리","","","","","0","","0","2219700155",
"42","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025201200004","2012-06-12","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 춘천시 동면 장학리 42-1","강원특별자치도 춘천시 동면 노루목길 8-16","","신화정비공장","2012-06-20 18:25:13","I","2023-06-13 00:00:00","","267673.258138992","488824.131959165","기타수질오염원관리","","","","","0","","0","2212913078",
"43","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025201200005","2012-06-12","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 춘천시 신북읍 율문리 372","","","다운수산","2023-02-01 10:30:45","I","2023-06-13 00:00:00","","265665.822808986","492489.8831514","기타수질오염원관리","","","","","0","","0","2219091472",
"44","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025201300003","2013-05-03","","01","영업/정상","11","영업","","","","","0332434722","","","강원특별자치도 춘천시 신동 1233","강원특별자치도 춘천시 신샘밭로 178 (신동)","","(주)선진뉴텍","2020-04-14 09:41:34","I","2023-06-13 00:00:00","","264156.858682102","491259.339449232","기타수질오염원관리","","","","","0","","0","2218144832",
"45","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025201300001","2013-01-07","","01","영업/정상","11","영업","","","","","033-257-2757","","","강원특별자치도 춘천시 삼천동 769","강원특별자치도 춘천시 옛경춘로 739 (삼천동)","","㈜한국지엠춘천서비스센터","2016-12-29 20:46:51","I","2023-06-13 00:00:00","","262108.905419308","484776.052696132","기타수질오염원관리","","","","","0","","0","5178800340",
"46","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025201300002","2013-04-15","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 춘천시 동내면 거두리 468","강원특별자치도 춘천시 동내면 거두길 160","","광진자동차정비공장","2014-02-06 16:42:07","I","2023-06-13 00:00:00","","268143.820460638","484500.043915308","기타수질오염원관리","","","","","0","","0","2211277846",
"47","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025201200008","2012-12-10","","01","영업/정상","11","영업","","","","","0332518275","","","강원특별자치도 춘천시 퇴계동 889-3","강원특별자치도 춘천시 행촌로 43-1 (퇴계동)","","제일동물병원","2019-03-12 18:10:57","I","2023-06-13 00:00:00","","263722.526220741","484457.58853338","기타수질오염원관리","","","","","0","","0","2210612162",
"48","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025201300005","2013-12-02","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 춘천시 신동면 증리 1051-4","","","강남일급정비","2014-02-06 17:28:48","I","2023-06-13 00:00:00","","263819.968744925","480960.389225678","기타수질오염원관리","","","","","0","","0","2218145035",
"49","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025199500068","1995-01-19","","01","영업/정상","11","영업","","","","","0332517795","","200-853","강원특별자치도 춘천시 동면 장학리 844-9","강원특별자치도 춘천시 동면 공단로70번길 20-3","","(주)동부자동차공업사","2013-12-20 16:44:29","I","2023-06-13 00:00:00","자동차 수리업","266020.786326818","488094.573683992","기타수질오염원관리","자동차 수리업","","","","0","","0","2218106008",
"50","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025201300006","2013-12-20","","01","영업/정상","11","영업","","","","","0332430044","","","","강원특별자치도 춘천시 춘천로 197-1 (효자동, 벨몽드4층)","","(사)한국학교 보건협회 강원지부 늘좋은의원","2019-03-12 18:11:26","I","2023-06-13 00:00:00","","264685.969062866","486297.611528286","기타수질오염원관리","","","","","0","","0","2218215616",
"51","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025199800110","1998-08-08","","01","영업/정상","11","영업","","","","","033 2443777","","200-240","강원특별자치도 춘천시 신동 934-1","강원특별자치도 춘천시 지내고탄로 9  (신동)","","춘천자동차종합정비공장","2009-05-18 14:49:16","I","2023-06-13 00:00:00","자동차 종합 수리업","263458.840738759","492585.635769529","기타수질오염원관리","자동차 종합 수리업","","","","0","","0","2218111554",
"52","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025202100029","2021-06-25","","01","영업/정상","11","영업","","","","","0332565020","","","강원특별자치도 춘천시 중앙로2가 56","강원특별자치도 춘천시 중앙로 88 (중앙로2가)","24273","중앙안경원","2021-06-25 12:23:25","I","2023-06-13 00:00:00","","263686.70706117","486417.765209507","기타수질오염원관리","","","","","0","","0","4392000394",
"53","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025202100020","2021-06-17","","01","영업/정상","11","영업","","","","","0332640700","","","강원특별자치도 춘천시 석사동 880-5 101호","강원특별자치도 춘천시 지석로 75, 101호 (석사동)","24414","씨앤샵안경원","2021-06-17 10:26:49","I","2023-06-13 00:00:00","","265386.970147087","483454.15352213","기타수질오염원관리","","","","","0","","0","7942900028",
"54","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025202100034","2021-07-01","","01","영업/정상","11","영업","","","","","0332549333","","","강원특별자치도 춘천시 교동 15-3","강원특별자치도 춘천시 삭주로 64 (교동)","24259","안경갤러리","2021-07-01 12:53:06","I","2023-06-13 00:00:00","","264849.295887026","486995.817346474","기타수질오염원관리","","","","","0","","0","2210772624",
"55","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025202100035","2021-07-01","","01","영업/정상","11","영업","","","","","0332532662","","","강원특별자치도 춘천시 효자동 654-9","강원특별자치도 춘천시 춘천로 188 (효자동)","24329","아이플러스안경원","2021-07-01 12:53:08","I","2023-06-13 00:00:00","","264607.739384354","486205.143820709","기타수질오염원관리","","","","","0","","0","1085058761",
"56","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025202100041","2021-07-05","","01","영업/정상","11","영업","","","","","0332626632","","","강원특별자치도 춘천시 퇴계동 164-3 하나로마트(퇴계점)","강원특별자치도 춘천시 지석로 11, 하나로마트(퇴계점) 2층 (퇴계동)","24413","하나로마트 안경원","2021-07-05 13:39:55","I","2023-06-13 00:00:00","","264838.52203719","483744.542704867","기타수질오염원관리","","","","","0","","0","2211231457",
"57","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025202100038","2021-07-02","","01","영업/정상","11","영업","","","","","0332429989","","","강원특별자치도 춘천시 조양동 52 라28","강원특별자치도 춘천시 금강로 지하 65-5, 라28 (조양동)","24352","렌즈미","2021-07-02 14:04:24","I","2023-06-13 00:00:00","","264052.655970156","486567.560712118","기타수질오염원관리","","","","","0","","0","8472900244",
"58","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025199500067","1995-01-10","","01","영업/정상","11","영업","","","","","033 254 2345","","","강원특별자치도 춘천시 동면 장학리 794-1","강원특별자치도 춘천시 동면 공단로 98","","주식회사 춘천시민버스","2020-04-01 10:33:13","I","2023-06-13 00:00:00","","265822.07166185","488294.907344091","기타수질오염원관리","","","","","0","","0","2968101332",
"59","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025199500072","1995-03-09","","01","영업/정상","11","영업","","","","","033 2542446","","200-130","강원특별자치도 춘천시 근화동 730","강원특별자치도 춘천시 공지로494번길 4  (근화동)","","소양기공사","2005-01-06 12:50:34","I","2023-06-13 00:00:00","자동차 종합 수리업","262807.726151694","486222.346073247","기타수질오염원관리","자동차 종합 수리업","","","","0","","0","2212592639",
"60","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025199500073","1995-05-27","","01","영업/정상","11","영업","","","","","0332533147","","","강원특별자치도 춘천시 후평동 185-5","강원특별자치도 춘천시 후석로462번길 91 (후평동)","","(합)동춘천현대서비스","2016-09-30 09:51:02","I","2023-06-13 00:00:00","","266065.511239163","487913.162622979","기타수질오염원관리","","","","","0","","0","2218119221",
"61","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025199500075","1995-06-16","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 춘천시 동내면 학곡리 4-12","강원특별자치도 춘천시 동내면 순환대로 648","","신춘천자동차 정비공장","2018-01-03 13:19:23","I","2023-06-13 00:00:00","","267149.766024601","482258.164011952","기타수질오염원관리","","","","","0","","0","2212598744",
"62","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025200700002","2007-03-09","","01","영업/정상","11","영업","","","","","0332548526","","","강원특별자치도 춘천시 근화동 492-1 493-5,547-6번지","강원특별자치도 춘천시 공지로 549 (근화동)","200-931","대명1급자동차정비공장","2023-06-12 13:19:42","U","2023-06-14 02:40:00","","262845.612087262","486761.884494933","기타수질오염원관리","","","","","0","","0","2210944501",
"63","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025200700003","2007-03-13","","01","영업/정상","11","영업","","","","","0332622843","","","강원특별자치도 춘천시 동면 만천리 278-24","강원특별자치도 춘천시 동면 한솔만천로 34","200-852","진성부란자1급종합정비공장","2015-04-22 17:04:48","I","2023-06-13 00:00:00","","268160.310536947","486187.691275546","기타수질오염원관리","","","","","0","","0","7240300086",
"64","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025200700004","2007-03-23","","01","영업/정상","11","영업","","","","","033 253 8084","","200-130","강원특별자치도 춘천시 근화동 712-2","","","남부자동차공업사","2010-03-03 16:39:48","I","2023-06-13 00:00:00","자동차 수리업","","","기타수질오염원관리","자동차 수리업","","","","0","","0","2210158090",
"65","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025200700006","2007-04-19","","01","영업/정상","11","영업","","","","","0332649885","","","강원특별자치도 춘천시 서면 당림리 167-1","강원특별자치도 춘천시 서면 샛말길 122-11","200-832","의료법인 윤영의료재단(춘천예현병원)","2019-03-12 18:09:20","I","2023-06-13 00:00:00","","254245.483818577","483370.766177782","기타수질오염원관리","","","","","0","","0","2218215386",
"66","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025200700007","2007-07-16","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 춘천시 동면 장학리 753-6","강원특별자치도 춘천시 동면 소양강로 192","200-853","오토자동차정비공업사","2016-10-14 14:49:44","I","2023-06-13 00:00:00","","265966.631576875","489345.741698197","기타수질오염원관리","","","","","0","","0","2210881362",
"67","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025199800220","1998-09-28","","01","영업/정상","11","영업","","","","","0332558515","","","강원특별자치도 춘천시 효자동 312-1","강원특별자치도 춘천시 공지로 270 (효자동)","","봄내병원","2019-06-27 11:44:17","I","2023-06-13 00:00:00","","264636.115691457","485077.929690747","기타수질오염원관리","","","","","0","","0","2219603228",
"68","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025202100054","2021-07-15","","01","영업/정상","11","영업","","","","","0332430486","","","강원특별자치도 춘천시 조양동 34 미도파아파트","강원특별자치도 춘천시 금강로 68-9, 미도파아파트 1층 (조양동)","24353","M(안경원)","2021-07-15 13:41:53","I","2023-06-13 00:00:00","","264033.833068137","486464.959442249","기타수질오염원관리","","","","","0","","0","4214300145",
"69","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025202100048","2021-07-06","","01","영업/정상","11","영업","","","","","0332572008","","","강원특별자치도 춘천시 후평동 67-6","강원특별자치도 춘천시 후석로 314, 1층 (후평동)","24304","글라스팩토리&렌즈베리춘천후평점","2024-09-03 10:35:50","U","2024-09-05 02:40:00","","265986.08669223","486549.601680628","기타수질오염원관리","","","","","0","","0","1662801638",
