"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자본금","거래처",
"11","석유및석유대체연료판매업체","09_28_07_P","6530000","199764200006500001","1997-08-11","","03","폐업","3","폐지","2019-06-03","","","","0514417537","","240-812","강원특별자치도 동해시 천곡동  876번지","강원특별자치도 동해시 한섬로 125 (천곡동)","240-812","동성석유주식회사","2019-06-03 00:00:00","U","2025-07-02 02:40:00","일반대리점","387130.248743324","448732.582691965","100000000","현대",
"12","석유및석유대체연료판매업체","09_28_07_P","6530000","199964200006500001","1999-11-30","","03","폐업","3","폐지","2012-07-23","","","","0332425100","","135-090","서울특별시 강남구 삼성동   78번지 4호 청구아파트 103동 1102호","서울특별시 강남구 영동대로128길 5, 103동 1102호 (삼성동,청구아파트)","","(주)원산","2012-07-23 00:00:00","U","2025-07-02 02:40:00","일반대리점","205089.782281972","446395.391526039","100000000","현대",
"13","석유및석유대체연료판매업체","09_28_07_P","6530000","200164200006500002","2001-08-21","","03","폐업","3","폐지","","","","","0335322786","","240-817","강원특별자치도 동해시 묵호진동  15번지 100호","강원특별자치도 동해시 일출로 92-20 (묵호진동)","240-817","강원에너지주식회사","2012-02-15 00:00:00","U","2025-07-02 02:40:00","일반대리점","386967.407246585","451903.986918908","200000000","기타",
"14","석유및석유대체연료판매업체","09_28_07_P","6530000","200564200006500001","2005-10-25","","03","폐업","3","폐지","2008-10-02","","","","0337345105","","463-839","경기도 성남시분당구 야탑동   518번지 탑마을 801동 606호","경기도 성남시 분당구 매화로 12, 801동 606호 (야탑동,탑마을)","","(주)갈현에너지","2008-10-06 00:00:00","U","2025-07-02 02:40:00","일반대리점","211877.961253799","434077.899945391","150000000","현대",
"15","석유및석유대체연료판매업체","09_28_07_P","6530000","200764200006500001","2007-11-13","","03","폐업","3","폐지","2013-03-13","","","","0336360015","","217-811","강원특별자치도 속초시 조양동  590번지 1호","강원특별자치도 속초시 청대마을길 5 (조양동)","217-811","(주)한화유조","2013-03-13 00:00:00","U","2025-07-02 02:40:00","일반대리점","337825.848716882","521677.060936449","100000000","기타",
"16","석유및석유대체연료판매업체","09_28_07_P","6530000","200964200006500001","2009-08-18","","03","폐업","3","폐지","2014-11-10","","","","0337355182","","220-833","강원특별자치도 원주시 소초면 장양리 923번지 1호","강원특별자치도 원주시 소초면 북원로 3110","220-833","(주)한불에너지","2014-11-11 00:00:00","U","2025-07-02 02:40:00","일반대리점","285199.217156011","435611.821640762","100000000","기타",
"17","석유및석유대체연료판매업체","09_28_07_P","6530000","201264200006500002","2012-05-31","","03","폐업","3","폐지","2014-05-14","","","","0269230081","","245-180","강원특별자치도 삼척시 적노동  산 29번지","강원특별자치도 삼척시 박걸남로 904 (적노동)","245-180","동양네트웍스(주)삼척사무소","2014-05-14 00:00:00","U","2025-07-02 02:40:00","일반대리점","393047.716004385","436870.993656837","3900000000","현대",
"18","석유및석유대체연료판매업체","09_28_07_P","6530000","201264200006500003","2012-10-05","","03","폐업","3","폐지","2014-05-12","","","","","","240-812","강원특별자치도 동해시 천곡동 976번지 11호  301호","강원특별자치도 동해시 감추2길 26, 301호 (천곡동)","240-812","(주)서진에너지","2014-05-13 00:00:00","U","2025-07-02 02:40:00","일반대리점","387411.763193006","448185.911675235","100000000","기타",
"19","석유및석유대체연료판매업체","09_28_07_P","6530000","201264200006500004","2012-11-23","","03","폐업","3","폐지","2015-09-07","","","","0337344906","","220-963","강원특별자치도 원주시 학성동 596번지 1호","강원특별자치도 원주시 정지길 31 (학성동)","220-963","(주)이서에너지","2015-09-07 00:00:00","U","2025-07-02 02:40:00","일반대리점","283813.424148848","429533.842389906","200000000","SK",
"20","석유및석유대체연료판매업체","09_28_07_P","6530000","201364200006500001","2013-03-19","","03","폐업","3","폐지","","","","","0335330040","","25765","강원특별자치도 동해시 천곡동 415번지 주공4차아파트 409동 206호","강원특별자치도 동해시 샘실1길 5, 409동 206호 (천곡동, 주공4차아파트)","25765","부성에너지 주식회사","2020-03-04 00:00:00","U","2025-07-02 02:40:00","일반대리점","385939.979529564","448621.284552183","100000000","기타",
"21","석유및석유대체연료판매업체","09_28_07_P","6530000","201364200006600001","2013-06-26","","03","폐업","3","폐지","","","","","","","220-170","강원특별자치도 원주시 반곡동  266번지 3호","강원특별자치도 원주시 봉대길 101 (반곡동)","220-170","케이피씨주식회사","2023-02-06 00:00:00","U","2025-07-02 02:40:00","용제대리점","288411.553836194","425843.572352908","50000000","기타",
"22","석유및석유대체연료판매업체","09_28_07_P","6530000","201464200006500001","2014-11-20","","03","폐업","3","폐지","2015-09-23","","","","","","463-932","경기도 성남시분당구 야탑동 92번지 매화마을주공1단지아파트 106동 1504호","경기도 성남시 분당구 매화로 92, 106동 15층 1504호 (야탑동)","463-932","주식회사 해밀에너지","2015-09-23 00:00:00","U","2025-07-02 02:40:00","일반대리점","214292.976491723","432959.751786382","100000000","SK",
"23","석유및석유대체연료판매업체","09_28_07_P","6530000","201564200006500001","2015-01-26","","03","폐업","3","폐지","","","","","","","","강원특별자치도 속초시 노학동 1028번지","강원특별자치도 속초시 학사평길 34-20 (노학동)","24867","강토탈주식회사","2020-05-08 00:00:00","U","2025-07-02 02:40:00","일반대리점","333518.225599739","523345.098233702","100000000","SK",
"24","석유및석유대체연료판매업체","09_28_07_P","6530000","201664200006500001","2016-03-08","","03","폐업","3","폐지","2018-10-26","","","","","","","강원특별자치도 원주시 소초면 장양리 923-1번지","강원특별자치도 원주시 소초면 북원로 3104","26308","(주)나라퍼트롤리엄","2018-11-12 00:00:00","U","2025-07-02 02:40:00","일반대리점","285191.541731901","435577.125878434","100000000","S-Oil",
"25","석유및석유대체연료판매업체","09_28_07_P","6530000","201764200006500001","2017-02-27","","03","폐업","3","폐지","","","","","0335733267","","26508","강원특별자치도 원주시 신림면 황둔리 1282-5","강원특별자치도 원주시 신림면 신림황둔로 833, 2층","26508","(주)디에스이앤이","2023-03-02 00:00:00","U","2025-07-02 02:40:00","일반대리점","302391.497041461","416954.672694949","210000000","현대",
"26","석유및석유대체연료판매업체","09_28_07_P","6530000","201764200006500003","2017-08-25","","03","폐업","3","폐지","2019-04-01","","","","0335330040","","","강원특별자치도 동해시 효가동 93번지 2호 세종빌딩 201호","강원특별자치도 동해시 효자로 686-5, 201호 (효가동,세종빌딩)","25806","강원해상급유 주식회사","2019-04-01 00:00:00","U","2025-07-02 02:40:00","일반대리점","386506.310917098","445378.378983191","100000000","기타",
"27","석유및석유대체연료판매업체","09_28_07_P","6530000","201864200006500002","2018-02-27","","03","폐업","3","폐지","","","","","0335353580","","25789","강원특별자치도 동해시 송정동 955-6 한화생명 101호","강원특별자치도 동해시 송정2길 41, 한화생명 101호 (송정동)","25789","해동급유 주식회사","2021-02-03 00:00:00","U","2025-07-02 02:40:00","일반대리점","387736.828052366","445933.369590167","100000000","SK",
"28","석유및석유대체연료판매업체","09_28_07_P","6530000","201864200006500005","2018-09-13","","03","폐업","3","폐지","","","","","","","26308","강원특별자치도 원주시 소초면 장양리 923-11","강원특별자치도 원주시 소초면 북원로 3104","26308","(주)한국오일뱅크","2023-03-09 00:00:00","U","2025-07-02 02:40:00","일반대리점","285191.541731901","435577.125878434","500000000","기타",
"29","석유및석유대체연료판매업체","09_28_07_P","6530000","201864200006500006","2018-11-07","","03","폐업","3","폐지","","","","","0335753309","","25961","강원특별자치도 삼척시 원덕읍 호산리 228-6","강원특별자치도 삼척시 원덕읍 삼척로 437-9","25961","원덕주유소 주식회사","2022-08-24 00:00:00","U","2025-07-02 02:40:00","일반대리점","407345.918102702","410757.639965691","228703381","기타",
"30","석유및석유대체연료판매업체","09_28_07_P","6530000","201964200006500001","2019-01-24","","03","폐업","3","폐지","2019-07-24","","","","0336453351","","25624","강원특별자치도 강릉시 구정면 금광리 800-13","강원특별자치도 강릉시 구정면 범일로 23","25624","웅지에너지(주)","2019-07-24 00:00:00","U","2025-07-02 02:40:00","일반대리점","368620.594327423","469197.376148801","50000000","기타",
"31","석유및석유대체연료판매업체","09_28_07_P","6530000","201964200006500002","2019-03-29","","03","폐업","3","폐지","","","","","","","25719","강원특별자치도 동해시 발한동 27-2","강원특별자치도 동해시 임항로 121 (발한동)","25719","극동유화(주)","2020-10-16 00:00:00","U","2025-07-02 02:40:00","일반대리점","386468.022457929","451667.573443453","1740000000","S-Oil",
"32","석유및석유대체연료판매업체","09_28_07_P","6530000","202465300006500001","2024-10-25","","02","휴업","5","사업휴지","","","","","","","25718","강원특별자치도 동해시 묵호진동 15-100","강원특별자치도 동해시 일출로 92-20, 2층 (묵호진동)","25718","신동해항산업 주식회사","2025-10-22 00:00:00","U","2025-10-24 02:40:00","일반대리점","386967.407246585","451903.986918908","100000000","기타",
"33","석유및석유대체연료판매업체","09_28_07_P","6530000","202365300006500001","2023-06-21","","01","영업/정상","7","영업개시","","","","","0337408680","","25776","강원특별자치도 동해시 용정동 58번지","강원특별자치도 동해시 용정로 171 (용정동)","25776","씨제이대한통운(주) 동해지사","2024-12-19 00:00:00","U","2025-07-02 02:40:00","일반대리점","387943.461920607","446724.085058602","1140617200","기타",
"34","석유및석유대체연료판매업체","09_28_07_P","6530000","202364200006500001","2023-02-17","","01","영업/정상","7","영업개시","","","","","","","25490","강원특별자치도 강릉시 교동 288-20","강원특별자치도 강릉시 화부산로141번안길 6-6(교동)","25490","(주)명도산업","2023-04-06 00:00:00","U","2025-07-02 02:40:00","일반대리점","366911.03725185","475457.043809042","210000000","기타",
"35","석유및석유대체연료판매업체","09_28_07_P","6530000","201164200006500001","2011-07-13","","01","영업/정상","7","영업개시","","","","","0332515189","","200-853","강원특별자치도 춘천시 동면 장학리 704번지 6호","강원특별자치도 춘천시 동면 하일길 146-8","200-853","(유)동성피엔엘","2020-08-21 00:00:00","U","2025-07-02 02:40:00","일반대리점","266325.346605202","489913.008357077","100000000","S-Oil",
"36","석유및석유대체연료판매업체","09_28_07_P","6530000","201564200006500002","2015-05-06","","01","영업/정상","7","영업개시","","","","","","","210-926","강원특별자치도 강릉시 내곡동  210번지 926호","강원특별자치도 강릉시 범일로 475 (내곡동)","210-926","(주)명진에너지","2020-01-07 00:00:00","U","2025-07-02 02:40:00","일반대리점","365538.887946448","471422.401125793","200000000","SK",
"37","석유및석유대체연료판매업체","09_28_07_P","6530000","201764200006500002","2017-07-24","","01","영업/정상","7","영업개시","","","","","0335220202","","","강원특별자치도 동해시 대구동 351번지 4호","강원특별자치도 동해시 동해대로 4683 (대구동)","25822","기업주유소","2017-07-31 00:00:00","U","2025-07-02 02:40:00","일반대리점","388285.303045521","443433.079836928","254000000","SK",
"38","석유및석유대체연료판매업체","09_28_07_P","6530000","201864200006500001","2018-02-27","","01","영업/정상","7","영업개시","","","","","0335755189","","25930","강원특별자치도 삼척시 오분동 126-3 원더플주유소","강원특별자치도 삼척시 동해대로 3852, 원더플주유소 (오분동)","25930","원더플 주식회사","2018-03-21 00:00:00","U","2025-07-02 02:40:00","일반대리점","393139.395550879","438614.455705631","200000000","GS칼텍스",
"39","석유및석유대체연료판매업체","09_28_07_P","6530000","201864200006500004","2018-08-17","","01","영업/정상","7","영업개시","","","","","","","25573","강원특별자치도 강릉시 두산동 19-4","강원특별자치도 강릉시 강변로692번길 6 (두산동)","25573","신정오일(주)","2020-11-23 00:00:00","U","2025-07-02 02:40:00","일반대리점","370443.104092891","475802.606579325","100000000","SK",
"40","석유및석유대체연료판매업체","09_28_07_P","6530000","201864200006500007","2018-11-19","","01","영업/정상","7","영업개시","","","","","","","24770","강원특별자치도 고성군 토성면 용촌리 67번지 용촌주유소","강원특별자치도 고성군 토성면 중앙로 511, 용촌주유소","24770","용촌주유소(주)","2024-05-17 00:00:00","U","2025-07-02 02:40:00","일반대리점","338284.974977363","526490.045462047","400000000","기타",
"41","석유및석유대체연료판매업체","09_28_07_P","6530000","200564200006700001","2005-09-23","","01","영업/정상","7","영업개시","","","","","0334358234","","25156","강원특별자치도 홍천군 화촌면 구성포리 654-16","강원특별자치도 홍천군 화촌면 가락재로 1410","25156","대광에너지","2023-03-28 00:00:00","U","2025-07-02 02:40:00","부생연료판매소","282371.483745446","473983.839965903","","LG화학",
"42","석유및석유대체연료판매업체","09_28_07_P","6530000","202064200006500001","2020-06-29","","01","영업/정상","7","영업개시","","","","","","","26372","강원특별자치도 원주시 문막읍 동화리 342-4","강원특별자치도 원주시 문막읍 원문로 1387","26372","케이토탈(주)","2024-12-05 00:00:00","U","2025-07-02 02:40:00","일반대리점","274975.60360989","425481.042486825","100000000","석유공사",
"43","석유및석유대체연료판매업체","09_28_07_P","6530000","202064200006500002","2020-10-06","","01","영업/정상","7","영업개시","","","","","","","26332","강원특별자치도 원주시 학성동 596-1","강원특별자치도 원주시 정지길 31 (학성동)","26332","(주)오일라인 중부저유소","2024-06-27 00:00:00","U","2025-07-02 02:40:00","일반대리점","283813.424148848","429533.842389906","100000000","GS칼텍스",
"44","석유및석유대체연료판매업체","09_28_07_P","6530000","202064200006500003","2020-11-23","","01","영업/정상","7","영업개시","","","","","","","25776","강원특별자치도 동해시 용정동 450번지","강원특별자치도 동해시 용정로 55, 1층 1호 (용정동)","25776","세경에너지","2021-08-13 00:00:00","U","2025-07-02 02:40:00","일반대리점","387164.018483235","446198.475785976","100000000","SK",
"45","석유및석유대체연료판매업체","09_28_07_P","6530000","202064200006500004","2020-12-16","","01","영업/정상","7","영업개시","","","","","0336333113","","24902","강원특별자치도 속초시 대포동 138-1","강원특별자치도 속초시 방축길 166 (대포동)","24902","강토탈 주식회사","2021-11-29 00:00:00","U","2025-07-02 02:40:00","일반대리점","340088.815493109","519996.903370603","200000000","기타",
"46","석유및석유대체연료판매업체","09_28_07_P","6530000","202164200006500001","2021-08-12","","01","영업/정상","7","영업개시","","","","","","","25718","강원특별자치도 동해시 묵호진동 15-100","강원특별자치도 동해시 일출로 92-20(묵호진동)","25718","태평양해운(주)","2023-10-25 00:00:00","U","2025-07-02 02:40:00","일반대리점","386967.407246585","451903.986918908","100000000","기타",
"47","석유및석유대체연료판매업체","09_28_07_P","6530000","202264200006500001","2022-04-26","","01","영업/정상","7","영업개시","","","","","","","25519","강원특별자치도 강릉시 홍제동 992-1","강원특별자치도 강릉시 하슬라로 27(홍제동)","25519","강원흥업 주식회사","2022-05-12 00:00:00","U","2025-07-02 02:40:00","일반대리점","365503.379656422","474089.056243697","229500000","SK",
"48","석유및석유대체연료판매업체","09_28_07_P","6530000","202264200006700001","2022-07-21","","01","영업/정상","7","영업개시","","","","","0334586000","","24055","강원특별자치도 철원군 김화읍 청양리 70번지","강원특별자치도 철원군 김화읍 청양로 630","24055","덕신에너지","2023-02-28 00:00:00","U","2025-07-02 02:40:00","부생연료판매소","235747.649189237","527372.337288139","","미정",
"49","석유및석유대체연료판매업체","09_28_07_P","6530000","202364200006500002","2023-04-07","","01","영업/정상","7","영업개시","","","","","0337631117","","26508","강원특별자치도 원주시 신림면 황둔리 1282-5","강원특별자치도 원주시 신림면 신림황둔로 833, 2층","26508","(주)에스엠넷","2023-05-17 00:00:00","U","2025-07-02 02:40:00","일반대리점","302391.497041461","416954.672694949","100000000","기타",
"50","석유및석유대체연료판매업체","09_28_07_P","6530000","200665300006700001","2006-02-27","","01","영업/정상","7","영업개시","","","","","0336486691","","25612","강원특별자치도 강릉시 노암동 152-1 크린에너지 1호","강원특별자치도 강릉시 칠성로 646, 크린에너지 1동 (노암동)","25612","크린에너지 주식회사","2024-09-30 00:00:00","U","2025-07-02 02:40:00","부생연료판매소","368165.983476149","472970.383170668","","한화토탈",
