"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명",
"11","관광숙박업","03_11_01_P","4181000","CDFI2260032022000002","2022-06-28","","01","영업/정상","13","영업중","","","","","033-815-2300","","","강원특별자치도 춘천시 중도동 603","강원특별자치도 춘천시 하중도길 128 (중도동)","24240","레고랜드 호텔","2025-10-10 18:31:02","U","2025-10-12 02:40:00","","261196.14804155","486795.908265274","관광숙박업","","","4","","","","","0","0","154","11408","","","0","0","","0","0","","0","11408.49","","0","","","","","","","0","","","","11408","관광호텔업",
"12","관광숙박업","03_11_01_P","4181000","CDFI2260032022000003","2022-08-08","","01","영업/정상","13","영업중","","","","","0507-1347-5970","","","강원특별자치도 춘천시 효자동 692-12","강원특별자치도 춘천시 공지로333번길 8 (효자동)","24365","소락재","2023-10-19 10:46:44","U","2023-10-21 02:40:00","","264047.053811186","485391.626069452","관광숙박업","","상업지역","2","","","","숙박시설","0","0","12","734","","","0","0","","0","0","","0","734.16","","0","","","","","","","0","","","","734","호스텔업",
"13","관광숙박업","03_11_01_P","4181000","CDFI2260032022000004","2022-10-14","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 소양로3가 175-2","강원특별자치도 춘천시 금강로 1 (소양로3가)","24272","도도스테이","2025-04-15 14:31:07","U","2025-04-17 02:40:00","","263543.868355501","486921.511570818","관광숙박업","","","6","","","","","0","0","6","493","","","0","0","","0","0","","0","493.13","","0","","","","","","","0","","","","493","호스텔업",
"14","관광숙박업","03_11_01_P","4181000","CDFI2260031962000001","1962-09-25","","01","영업/정상","13","영업중","","","","","033-252-1191","","200-020","강원특별자치도 춘천시 봉의동 15-3","강원특별자치도 춘천시 봉의산길 31 (봉의동)","","춘천세종관광호텔","2023-10-22 14:34:57","U","2023-10-24 02:40:00","","264259.640056584","487347.859811794","관광숙박업","관광사업","주거지역","4","","","","숙박시설","3","1","63","4879","CHUNCHEON SEJONG TOURIST HOTEL","TOURIST HOTEL","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","관광호텔업",
"15","관광숙박업","03_11_01_P","4181000","CDFI2260031990000001","1990-08-04","","01","영업/정상","13","영업중","","","","","033-245-4300","","200-200","강원특별자치도 춘천시 삼천동 300-3","강원특별자치도 춘천시 스포츠타운길 376 (삼천동)","","춘천베어스관광호텔","2023-11-15 14:57:54","U","2023-11-17 02:40:00","","261426.409291116","485603.420620416","관광숙박업","관광사업","","0","","","","","0","0","78","4878","CHUNCHEON BEARS TOURIST HOTEL","TOURIST HOTEL","0","0","","0","0","","0","13012","","0","","","","","","","0","","","","13012","관광호텔업",
"16","관광숙박업","03_11_01_P","4181000","CDFI2260032025000001","2025-10-22","","01","영업/정상","13","영업중","","","","","033-260-8000","","","강원특별자치도 춘천시 남산면 서천리 392 무와제이드","강원특별자치도 춘천시 남산면 경춘로 212-28, 무와제이드","24464","무와제이드","2025-10-22 18:02:00","I","2025-10-24 00:20:42","","247651.539565651","481772.882792567","관광숙박업","","관리지역","3","기타","","","콘도미니엄","2","1","0","0","","","0","0","","0","0","","0","4131834","","0","","","","","","","888568940000","","","","4131834","휴양콘도미니엄업",
"17","관광숙박업","03_11_01_P","4191000","CDFI2260032012000001","2012-07-25","","02","휴업","02","휴업","","2025-10-01","2026-09-30","","033-734-7315","","220-801","강원특별자치도 원주시 문막읍 건등리 203-10","강원특별자치도 원주시 문막읍 왕건로 9","26368","베니키아문막호텔","2025-08-14 10:37:33","U","2025-08-17 02:40:00","","273591.138205627","424622.31739396","관광숙박업","","근린상업지역","10","","","","호텔","9","1","66","4119","BENIKEA HOTEL MUNMAK","","0","0","","0","0","","0","4118.58","","0","","","","","","","150000000","","","","4119","관광호텔업",
"18","관광숙박업","03_11_01_P","4191000","CDFI2260031982000001","1982-03-22","","03","폐업","03","폐업","2018-10-24","","","","033-743-1241","","220-903","강원특별자치도 원주시 중앙동 63","강원특별자치도 원주시 중앙시장길 32 (중앙동)","26428","원주관광호텔","2018-10-24 17:54:38","I","2023-06-13 00:00:00","","284113.555870593","428054.723545349","관광숙박업","관광사업","상업지역","10","기타","","","호텔","10","1","58","0","","","0","0","","0","0","","0","6533.9","","0","","","","","","","0","","","","6534","관광호텔업",
"19","관광숙박업","03_11_01_P","4191000","CDFI2260032023000001","2023-08-30","","01","영업/정상","13","영업중","","","","","033-743-5553","","","강원특별자치도 원주시 반곡동 1897-5 , 3~6층","강원특별자치도 원주시 양지로 56, 3~6층 (반곡동)","26462","호텔 덕영","2023-09-08 16:29:31","U","2023-09-10 02:40:00","","287184.789489096","425385.218845941","관광숙박업","","일반상업지역","7","학교정화(상대)","","","숙박시설","6","1","37","0","Hotel Deokyeong","Tourist hotel business","0","0","","0","0","","0","2006.56","","0","","","","","","","10000000","","","","2007","관광호텔업",
"20","관광숙박업","03_11_01_P","4191000","CDFI2260031998000001","1998-06-19","","01","영업/정상","13","영업중","","","","","033-730-3153","","","강원특별자치도 원주시 지정면 월송리 1061","강원특별자치도 원주시 지정면 오크밸리1길 66","26357","오크밸리리조트(A,B)","2025-08-29 16:14:35","U","2025-08-31 02:40:00","","272283.460379054","437226.472637545","관광숙박업","관광사업","","9","","","","콘도미니엄","9","2","444","0","","","0","0","","0","0","","0","69230","","0","","","","","","","0","","","","69230","휴양콘도미니엄업",
"21","관광숙박업","03_11_01_P","4191000","CDFI2260031999000001","1999-07-03","","01","영업/정상","13","영업중","","","","","033-730-3153","","","강원특별자치도 원주시 지정면 월송리 1082-5","강원특별자치도 원주시 지정면 월송석화로 994","26357","오크밸리리조트(North)","2025-08-29 16:14:23","U","2025-08-31 02:40:00","","271671.960977236","437939.659871794","관광숙박업","관광사업","","8","","","","콘도미니엄","8","0","103","0","","","0","0","","0","0","","0","17574.96","","0","","","","","","","0","","","","17575","휴양콘도미니엄업",
"22","관광숙박업","03_11_01_P","4191000","CDFI2260032001000001","2001-06-27","","01","영업/정상","13","영업중","","","","","033-730-3501","","","강원특별자치도 원주시 지정면 월송리 1061-21","강원특별자치도 원주시 지정면 오크밸리1길 68","26357","오크밸리리조트(South)","2025-08-29 16:14:13","U","2025-08-31 02:40:00","","272363.393386083","437039.687452135","관광숙박업","관광사업","","8","","","","콘도미니엄","8","1","166","0","Hansol Oak Valley South Condominium","The Resort Condominium","0","0","","0","0","","0","20802.95","","0","","","","","","","0","","","","20803","휴양콘도미니엄업",
"23","관광숙박업","03_11_01_P","4191000","CDFI2260032006000001","2006-11-28","","01","영업/정상","13","영업중","","","","","033-730-3153","","220-824","강원특별자치도 원주시 지정면 판대리 577-1","강원특별자치도 원주시 지정면 오크밸리2길 56","26357","오크밸리리조트(C)","2025-08-29 16:14:02","U","2025-08-31 02:40:00","","271382.556177626","434267.186680372","관광숙박업","관광사업","","15","","","","콘도미니엄","15","0","240","0","","","0","0","","0","0","","0","27057","","0","","","","","","","0","","","","27057","휴양콘도미니엄업",
"24","관광숙박업","03_11_01_P","4191000","CDFI2260032009000001","2009-11-27","","01","영업/정상","13","영업중","","","","","033-730-3153","","","강원특별자치도 원주시 지정면 판대리 577-4","강원특별자치도 원주시 지정면 오크밸리2길 40","26357","오크밸리리조트(D)","2025-08-29 16:13:51","U","2025-08-31 02:40:00","","271451.223493249","434371.373123856","관광숙박업","","관리지역","14","","","","","12","2","145","0","Oak Valley SKi-Golf Resort Condominium D","Resort Condominium","0","0","","0","0","","0","32875.71","","0","","","","","","","950000000","","","","32876","휴양콘도미니엄업",
"25","관광숙박업","03_11_01_P","4191000","CDFI2260032009000002","2009-12-04","","01","영업/정상","13","영업중","","","","","033-769-8114","","","강원특별자치도 원주시 반곡동 1809-1 ㈜호텔인터불고원주컨벤션호텔","강원특별자치도 원주시 동부순환로 200, ㈜호텔인터불고원주컨벤션호텔 (반곡동)","26460","(주)호텔인터불고 원주","2023-03-31 17:55:26","I","2023-06-13 00:00:00","","286272.710008855","426045.161207519","관광숙박업","","일반상업지역","0","","","","호텔","8","2","152","26378","Hotel Inter-Burgo WONJU","Tourist Hotel","0","0","","0","0","","0","26377.55","","0","","","","","","","15119120400","","","","26378","관광호텔업",
"26","관광숙박업","03_11_01_P","4191000","CDFI2260032013000001","2013-03-11","","01","영업/정상","13","영업중","","","","","033-748-0100","","220-150","강원특별자치도 원주시 무실동 1724-12","강원특별자치도 원주시 만대로 7-1 (무실동)","26383","호텔비즈인","2021-03-30 15:28:47","I","2023-06-13 00:00:00","","281793.416968293","426969.611951981","관광숙박업","","일반상업지역","8","기타","","","숙박시설","7","1","65","4580","HOTEL Bizinn","Tourist Accommodation","0","0","","0","0","","0","4579.86","","0","","","","","","","50000000","","","","4580","관광호텔업",
"27","관광숙박업","03_11_01_P","4191000","CDFI2260032019000001","2019-12-09","","01","영업/정상","13","영업중","","","","","033-901-3000","","","강원특별자치도 원주시 단계동 865","강원특별자치도 원주시 봉화로 26 (단계동)","26436","(주)오키드호텔","2022-01-26 15:22:22","I","2023-06-13 00:00:00","","282233.463574272","427593.816653861","관광숙박업","","일반상업지역","13","유흥업소밀집지역","","","호텔","10","3","85","6523","ORCHID HOTEL","Tourist Accommodation","0","0","","0","0","","0","6522.82","","0","","","","","","","550000000","","","","6523","관광호텔업",
"28","관광숙박업","03_11_01_P","4191000","CDFI2260032019000002","2019-12-09","","01","영업/정상","13","영업중","","","","","033-747-1000","","","강원특별자치도 원주시 반곡동 1900-2","강원특별자치도 원주시 건강로 4 (반곡동)","26462","시티호텔","2023-01-23 15:28:24","I","2023-06-13 00:00:00","","287314.330808536","425403.195693943","관광숙박업","","일반상업지역","11","기타","","","호텔","9","2","49","5487","CITI HOTEL","Tourist Accommodation","0","0","","0","0","","0","5486.87","","0","","","","","","","736000000","","","","5487","관광호텔업",
"29","관광숙박업","03_11_01_P","4191000","CDFI2260032025000001","2025-06-11","","01","영업/정상","13","영업중","","","","","033-742-7777","","","강원특별자치도 원주시 지정면 신평리 170-17","강원특별자치도 원주시 지정면 신무로 54-9","26348","원주시티호텔 기업도시점","2025-06-11 18:02:15","I","2025-06-13 00:20:02","","","","관광숙박업","","","0","","","","","0","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","관광호텔업",
"30","관광숙박업","03_11_01_P","4201000","CDFI2260031991000002","1991-01-30","","02","휴업","02","휴업","","2012-07-01","2014-12-31","","","","210-130","강원특별자치도 강릉시 강문동 1-1","강원특별자치도 강릉시 창해로 307  (강문동)","","주식회사대찬산업개발(경포비치리조트)","2012-06-26 16:23:50","I","2023-06-13 00:00:00","","369147.462906176","478267.144158212","관광숙박업","관광사업","","6","","","","콘도미니엄","5","1","0","0","","","0","0","","0","0","","0","4668.24","","0","","","","","","","0","","","","4668","",
"31","관광숙박업","03_11_01_P","4201000","CDFI2260032013000002","2013-10-24","","03","폐업","03","폐업","2023-08-07","","","","033-641-8122","","210-933","강원특별자치도 강릉시 옥천동 273","강원특별자치도 강릉시 옥천로65번길 2-6 (옥천동)","25551","HONG C HOTEL Gangneung Station","2023-08-09 09:20:32","U","2023-08-12 02:40:00","","367181.689699441","474699.995582887","관광숙박업","","일반상업지역","8","","","","숙박시설","8","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","관광호텔업",
"32","관광숙박업","03_11_01_P","4201000","CDFI2260032014000001","2014-06-25","","03","폐업","03","폐업","2024-07-17","","","","","","210-824","강원특별자치도 강릉시 강동면 정동진리 524-25","강원특별자치도 강릉시 강동면 율곡로 1441","25631","하슬라아트월드","2024-07-17 16:50:15","U","2024-07-19 02:40:00","","377177.641251611","469018.308895371","관광숙박업","","관리지역","6","기타","","","호텔","3","3","0","0","","","0","0","","0","0","","0","5866.13","","0","","","","","","","0","","","","5866","소형호텔업",
"33","관광숙박업","03_11_01_P","4201000","CDFI2260032018000001","2018-02-19","","03","폐업","03","폐업","2024-08-12","","","","","","","강원특별자치도 강릉시 교동 191-22","강원특별자치도 강릉시 율곡로 2899-1 (교동)","25503","게스트하우스 시호일","2024-08-12 10:35:36","U","2024-08-14 02:40:00","","366765.785718333","474938.921699166","관광숙박업","","","3","","","","","2","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","호스텔업",
"34","관광숙박업","03_11_01_P","4201000","CDFI2260031971000001","1971-07-23","","03","폐업","03","폐업","2012-04-30","","","","","","210-130","강원특별자치도 강릉시 강문동 274-1","","","호텔현대경포대","2012-05-29 18:38:43","I","2023-06-13 00:00:00","","368547.155962069","478977.195262736","관광숙박업","관광사업","","6","","","","호텔","6","3","0","0","HOTEL HYUNDAI GYEONGPODAE","Tourist Hotel","0","0","","0","0","","0","6795.09","","0","","","","","","","380000010000","","","","6795","",
"35","관광숙박업","03_11_01_P","4201000","CDFI2260031990000001","1990-07-09","","03","폐업","03","폐업","2005-05-11","","","","","","210-943","강원특별자치도 강릉시 포남동 1117","강원특별자치도 강릉시 강릉대로 335  (포남동)","","강릉관광호텔","2005-05-12 08:49:11","I","2023-06-13 00:00:00","","367664.006397338","475433.376817276","관광숙박업","관광사업","","0","","","","호텔","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","",
"36","관광숙박업","03_11_01_P","4201000","CDFI2260031990000002","1990-07-09","","03","폐업","03","폐업","2012-01-31","","","","","","210-806","강원특별자치도 강릉시 주문진읍 주문리 864-8","강원특별자치도 강릉시 주문진읍 주문북로 119-7","","호텔아그니","2012-02-29 10:58:07","I","2023-06-13 00:00:00","","360256.619419576","490462.07481988","관광숙박업","관광사업","","5","","","","호텔","4","1","0","0","HOTEL AGNI","Tourist Hotel","0","0","","0","0","","0","5133.08","","0","","","","","","","0","","","","5133","",
"37","관광숙박업","03_11_01_P","4201000","CDFI2260031991000001","1991-09-04","","03","폐업","03","폐업","2004-02-10","","","","033-644-2277","","210-130","강원특별자치도 강릉시 강문동 303-4","강원특별자치도 강릉시 해안로406번길 17  (강문동)","","더호텔","2004-02-12 16:10:54","I","2023-06-13 00:00:00","","368479.278365543","479102.942658963","관광숙박업","관광사업","","5","","","","호텔","1","4","0","0","","","0","0","","0","0","","0","3972.33","","0","","","","","","","0","","","","3972","",
"38","관광숙박업","03_11_01_P","4201000","CDFI2260031992000002","1992-07-28","","03","폐업","03","폐업","2006-11-09","","","","","","210-130","강원특별자치도 강릉시 강문동 258-4","","","코리아나관광호텔","2006-11-09 18:02:25","I","2023-06-13 00:00:00","","367974.951824714","479654.314242201","관광숙박업","관광사업","","5","기타","","","호텔","4","1","0","0","","","0","0","","0","0","","0","3022.6","","0","","","","","","","0","","","","3023","",
"39","관광숙박업","03_11_01_P","4201000","CDFI2260031999000001","1999-11-24","","03","폐업","03","폐업","2023-05-25","","","","","","210-380","강원특별자치도 강릉시 안현동 50-2","강원특별자치도 강릉시 하남길 345-18 (안현동)","25459","경포산장콘도","2023-05-30 19:03:25","I","2023-06-13 00:00:00","","367249.37915626","480251.337623717","관광숙박업","관광사업","","4","기타","","","콘도미니엄","3","1","0","0","","","0","0","","0","0","","0","2401.72","","0","","","","","","","0","","","","2402","휴양콘도미니엄업",
"40","관광숙박업","03_11_01_P","4201000","CDFI2260032006000001","2006-08-03","","03","폐업","03","폐업","2016-12-19","","","","","","210-380","강원특별자치도 강릉시 안현동 10-5","강원특별자치도 강릉시 해안로 615  (안현동)","","포씨즌비치관광호텔","2016-12-20 11:40:14","I","2023-06-13 00:00:00","","367092.273919264","480525.66821951","관광숙박업","관광사업","","6","기타","","","호텔","4","2","0","0","","","0","0","","0","0","","0","2539.06","","0","","","","","","","1750000","","","","2539","",
"41","관광숙박업","03_11_01_P","4201000","CDFI2260032023000009","2023-08-08","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 사천면 방동리 66-3","강원특별자치도 강릉시 사천면 가둔지길 9","25440","그란데마레","2023-08-08 10:47:09","I","2023-08-10 00:18:35","","365317.967392636","482310.457558829","관광숙박업","","","0","","","","","5","0","0","0","","","0","0","","0","0","","0","589.01","","0","","","","","","","0","","","","589","호스텔업",
"42","관광숙박업","03_11_01_P","4201000","CDFI2260032023000006","2023-08-04","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 주문진읍 주문리 829-21","강원특별자치도 강릉시 주문진읍 해안로 2005","25404","스테이올라","2023-08-31 16:49:16","U","2023-09-02 02:40:00","","360507.485029439","490872.246015999","관광숙박업","","","0","","","","","5","0","0","0","","","0","0","","0","0","","0","504.68","","0","","","","","","","0","","","","505","호스텔업",
"43","관광숙박업","03_11_01_P","4201000","CDFI2260032023000007","2023-08-04","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 주문진읍 주문리 173","강원특별자치도 강릉시 주문진읍 해안로 1867","25411","고즈넉한주문","2023-08-29 11:03:11","U","2023-08-31 02:40:00","","361253.707122239","489989.339829664","관광숙박업","","일반주거지역","0","","","","","5","0","0","0","","","0","0","","0","0","","0","813.11","","0","","","","","","","0","","","","813","호스텔업",
"44","관광숙박업","03_11_01_P","4201000","CDFI2260032023000008","2023-08-04","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 연곡면 영진리 68","강원특별자치도 강릉시 연곡면 영진길 87","25430","오르도","2023-08-04 13:54:22","I","2023-08-06 00:18:39","","362280.144949792","486729.284576689","관광숙박업","","일반주거지역","5","","","","숙박시설","5","1","0","0","","","0","0","","0","0","","0","890.65","","0","","","","","","","0","","","","891","호스텔업",
"45","관광숙박업","03_11_01_P","4201000","CDFI2260032023000005","2023-07-13","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 임당동 4-13","강원특별자치도 강릉시 강릉대로194번길 27 (임당동)","25530","청객","2023-07-13 15:01:16","I","2023-07-15 00:19:09","","366929.63847215","474478.381457066","관광숙박업","","","0","","","","","2","0","0","0","","","0","0","","0","0","","0","86.04","","0","","","","","","","0","","","","86","호스텔업",
"46","관광숙박업","03_11_01_P","4201000","CDFI2260032015000001","2015-06-23","","01","영업/정상","13","영업중","","","","","0336507000","","210-130","강원특별자치도 강릉시 강문동 274-1","강원특별자치도 강릉시 해안로406번길 2 (강문동)","25460","씨마크호텔","2024-04-17 07:59:27","U","2024-04-19 02:40:00","","368547.155962069","478977.195262736","관광숙박업","","관리지역","15","","","","숙박시설","15","4","0","0","","","0","0","","0","0","","0","39406.52","","0","","","","","","","0","","","","39407","관광호텔업",
"47","관광숙박업","03_11_01_P","4201000","CDFI2260032017000001","2017-01-12","","01","영업/정상","13","영업중","","","","","033 645 5668","","","강원특별자치도 강릉시 성내동 15-2","강원특별자치도 강릉시 금성로 62 (성내동, 빈폴타워)","25539","강릉관광호텔","2017-01-12 15:56:56","I","2023-06-13 00:00:00","","366908.710278323","473833.002360425","관광숙박업","","일반상업지역","17","","","","","15","2","0","0","","","0","0","","0","0","","0","5440.5","","0","","","","","","","0","","","","5441","관광호텔업",
"48","관광숙박업","03_11_01_P","4201000","CDFI2260032017000002","2017-12-28","","01","영업/정상","13","영업중","","","","","033 540 4800","","","강원특별자치도 강릉시 옥계면 금진리 92-1","강원특별자치도 강릉시 옥계면 헌화로 455-34","25633","Hotel Tops10","2025-02-26 17:38:48","U","2025-02-28 02:40:00","","381049.225414819","463380.102788036","관광숙박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","관광호텔업",
"49","관광숙박업","03_11_01_P","4201000","CDFI2260032018000002","2018-03-02","","01","영업/정상","13","영업중","","","","","033 641 8011","","","강원특별자치도 강릉시 교동 1879-1","강원특별자치도 강릉시 교동광장로100번길 8 (교동)","25512","THE HONG C HOTEL Gangneung","2018-03-02 17:57:42","I","2023-06-13 00:00:00","","365266.979883937","475312.246911153","관광숙박업","","","0","","","","","10","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","관광호텔업",
"50","관광숙박업","03_11_01_P","4201000","CDFI2260032018000003","2018-09-10","","01","영업/정상","13","영업중","","","","","033 642 3200","","","강원특별자치도 강릉시 교동 1879-2","강원특별자치도 강릉시 교동광장로100번길 8-6 (교동)","25512","호텔이스트나인","2018-09-10 17:07:01","I","2023-06-13 00:00:00","","365290.369693923","475308.356949878","관광숙박업","","일반상업지역","12","","","","","11","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","관광호텔업",
