"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"11","축산가공업","07_22_05_P","6530000","642000000419990001","1999-03-23","","01","영업/정상","0000","정상","","","","","0337328624","4942.28","220-841","강원특별자치도 원주시 문막읍 반계리 2269번지 7호","강원특별자치도 원주시 문막읍 반산1로 14","220-841","(주)데어리젠","2025-08-13 17:11:37","U","2025-08-15 02:40:00","유가공업","","","축산물가공업","유가공업","0","L00","40",
"12","축산가공업","07_22_05_P","6530000","642000000420010007","2009-08-25","","01","영업/정상","0000","정상","","","","","0336448981","3194.7","210-801","강원특별자치도 강릉시 주문진읍 교항리 1207번지 12호","강원특별자치도 강릉시 주문진읍 농공단지길 28-13","210-803","주식회사 디아이","2024-01-25 14:31:37","U","2024-01-27 02:40:00","식육가공업","360697.074536554","486974.805208351","축산물가공업","식육가공업","0","L00","26",
"13","축산가공업","07_22_05_P","6530000","642000000420010008","2001-12-27","","01","영업/정상","0000","정상","","","","","0336469199","98","210-240","강원특별자치도 강릉시 신석동  254번지 4호","강원특별자치도 강릉시 신석길102번길 51 (신석동)","210-240","솔잎구운계란","2018-01-29 14:09:20","I","2023-06-13 00:00:00","알가공업","369257.981830994","471320.845103505","축산물가공업","알가공업","0","000","1",
"14","축산가공업","07_22_05_P","6530000","642000000420190002","2019-04-05","","01","영업/정상","0000","정상","","","","","","328.7","","강원특별자치도 춘천시 퇴계동  860번지 1호 B-1,D동","강원특별자치도 춘천시 퇴계농공로 108, B-1,D동 (퇴계동)","","주식회사 도연에프앤비","2024-08-28 13:35:09","U","2024-08-30 02:40:00","식육가공업","265096.390040921","482681.87094987","축산물가공업","식육가공업","0","L00","10",
"15","축산가공업","07_22_05_P","6530000","642000000420190003","2019-04-08","","01","영업/정상","0000","정상","","","","","0337432031","247.5","","강원특별자치도 원주시 호저면 만종리 217번지 7호","강원특별자치도 원주시 호저면 우무개로 320","","일심축산","2025-10-27 19:23:48","U","2025-10-29 02:40:00","알가공업","280934.365258999","429736.62950616","축산물가공업","알가공업","0","000","1",
"16","축산가공업","07_22_05_P","6530000","642000000420060003","2006-01-16","","01","영업/정상","0000","정상","","","","","0332558200","82.53","200-944","강원특별자치도 춘천시 퇴계동  906번지","강원특별자치도 춘천시 춘주로187번길 13-1 (퇴계동)","200-944","춘천계육유통","2023-03-02 18:52:51","I","2023-06-13 00:00:00","식육가공업","263839.814503264","484439.924160736","축산물가공업","식육가공업","0","000","12",
"17","축산가공업","07_22_05_P","6530000","642000000420060004","2006-01-16","","01","영업/정상","0000","정상","","","","","0333427854","911.55","225-811","강원특별자치도 횡성군 우천면 하대리 49번지 1호","강원특별자치도 횡성군 우천면 하대6길 102","225-811","범산목장","2025-03-24 17:41:10","U","2025-03-26 02:40:00","유가공업","296754.031476635","440153.909375676","축산물가공업","유가공업","0","000","10",
"18","축산가공업","07_22_05_P","6530000","642000000420210002","2021-03-03","","01","영업/정상","0000","정상","","","","","0336336800","853.88","","강원특별자치도 속초시 대포동  946번지 5호","강원특별자치도 속초시 농공단지1길 38-12 (대포동)","","(주) 자연인 에프앤씨","2021-03-03 17:45:41","I","2023-06-13 00:00:00","식육가공업","339743.288600872","520102.799270757","축산물가공업","식육가공업","0","L00","8",
"19","축산가공업","07_22_05_P","6530000","642000000420210003","2021-03-08","","01","영업/정상","0000","정상","","","","","0332553761","291.1","","강원특별자치도 춘천시 동면 감정리 531번지 2호","강원특별자치도 춘천시 동면 연산골길 100","","주식회사 태범프레시","2021-06-22 13:51:47","I","2023-06-13 00:00:00","식육가공업","269296.734731295","488645.032810149","축산물가공업","식육가공업","0","L00","2",
"20","축산가공업","07_22_05_P","6530000","642000000420210006","2021-04-01","","01","영업/정상","0000","정상","","","","","","228.52","","강원특별자치도 강릉시 주문진읍 교항리 8번지 2호 강원도립대학교창업보육센터신관 3307호","강원특별자치도 강릉시 주문진읍 연주로 270, 강원도립대학교창업보육센터신관 3307호","","설젤컴퍼니 주식회사","2023-11-30 09:32:09","U","2023-12-02 02:40:00","유가공업","360884.78782295","487628.414228203","축산물가공업","유가공업","0","L00","2",
"21","축산가공업","07_22_05_P","6530000","642000000420080004","2008-04-28","","01","영업/정상","0000","정상","","","","","0336539277","155.65","","강원특별자치도 강릉시 초당동  73번지 3호","강원특별자치도 강릉시 강릉대로587번길 12 (초당동)","210-120","(주)디알푸드","2019-07-11 10:18:10","I","2023-06-13 00:00:00","식육가공업","368987.372699892","477547.532158107","축산물가공업","식육가공업","0","L00","3",
"22","축산가공업","07_22_05_P","6530000","642000000420080006","2008-06-04","","01","영업/정상","0000","정상","","","","","0332539366","9901.61","200-881","강원특별자치도 춘천시 동내면 거두리 1153번지","강원특별자치도 춘천시 동내면 거두단지2길 60","200-883","일동후디스(주)","2025-07-03 16:58:23","U","2025-07-05 02:40:00","유가공업","268830.238891791","485195.41388557","축산물가공업","유가공업","0","L00","65",
"23","축산가공업","07_22_05_P","6530000","642000000420080009","2008-12-05","","01","영업/정상","0000","정상","","","","","0333459552","33777.97","225-874","강원특별자치도 횡성군 공근면 초원리 662번지 1호","강원특별자치도 횡성군 공근면 아이티밸리길 36","225-874","(주)서울에프엔비 횡성지점","2025-06-16 08:11:35","U","2025-06-18 02:40:00","유가공업","280754.462699214","447950.374522517","축산물가공업","유가공업","0","L00","27",
"24","축산가공업","07_22_05_P","6530000","642000000420090003","2009-01-15","","01","영업/정상","0000","정상","","","","","0332510429","108.8","200-963","강원특별자치도 춘천시 후평동  872번지 5호 1층","강원특별자치도 춘천시 세실로208번길 11-3 (후평동,1층)","200-963","중앙푸드","2020-01-10 10:32:37","I","2023-06-13 00:00:00","식육가공업","266650.678058985","486211.822347969","축산물가공업","식육가공업","0","000","2",
"25","축산가공업","07_22_05_P","6530000","642000000420120005","2012-03-06","","01","영업/정상","0000","정상","","","","","0334633010","1083.75","","강원특별자치도 춘천시 동산면 봉명리 1106번지 2호","강원특별자치도 춘천시 동산면 원무동길 82-9","252-821","(주)에이치티코리아","2025-04-04 17:41:10","U","2025-04-06 02:40:00","식육가공업","268383.500198374","473954.950872862","축산물가공업","식육가공업","0","L00","5",
"26","축산가공업","07_22_05_P","6530000","642000000420190009","2019-05-29","","01","영업/정상","0000","정상","","","","","0336357701","452.34","","강원특별자치도 속초시 대포동  978번지 5호","강원특별자치도 속초시 농공단지2길 26-1 (대포동)","","화이유통","2024-08-28 08:58:37","U","2024-08-30 02:40:00","식육가공업","339995.580640233","520298.915095295","축산물가공업","식육가공업","0","000","12",
"27","축산가공업","07_22_05_P","6530000","642000000420190012","2019-07-07","","01","영업/정상","0000","정상","","","","","0332523450","192","","강원특별자치도 춘천시 신북읍 율문리 328번지 0호","강원특별자치도 춘천시 신북읍 사랑말2길 55-16","","(주)우주푸드빌","2022-12-22 19:11:14","I","2023-06-13 00:00:00","식육가공업","","","축산물가공업","식육가공업","0","L00","1",
"28","축산가공업","07_22_05_P","6530000","642000000420190015","2019-09-24","","01","영업/정상","0000","정상","","","","","0332428813","126.91","","강원특별자치도 춘천시 신북읍 천전리 99번지 5호","강원특별자치도 춘천시 신북읍 신샘밭로 668","","주식회사 토담육가공","2025-10-30 19:44:47","U","2025-11-01 02:40:00","식육가공업","268855.38465653","492170.839097223","축산물가공업","식육가공업","0","L00","2",
"29","축산가공업","07_22_05_P","6530000","642000000420200001","2020-01-10","","01","영업/정상","0000","정상","","","","","0334522731","148.41","","강원특별자치도 철원군 김화읍 청양리 1052번지 2호","강원특별자치도 철원군 김화읍 김화로 217","","비네본","2020-01-10 10:32:06","I","2023-06-13 00:00:00","유가공업","232939.984814881","527597.32801709","축산물가공업","유가공업","0","000","0",
"30","축산가공업","07_22_05_P","6530000","642000000420200002","2020-01-10","","01","영업/정상","0000","정상","","","","","0336522937","115","","강원특별자치도 강릉시 월호평동  224번지 1호","강원특별자치도 강릉시 월호평길76번길 36-12 (월호평동)","","주식회사 아라솔","2023-05-07 10:58:55","I","2023-06-13 00:00:00","알가공업","371000.689239794","472986.122397868","축산물가공업","알가공업","0","L00","0",
"31","축산가공업","07_22_05_P","6530000","642000000420200004","2020-01-31","","01","영업/정상","0000","정상","","","","","0333459550","21864.1","","강원특별자치도 원주시 지정면 신평리 1053번지 0호","강원특별자치도 원주시 지정면 기업도시로 145","","(주)서울에프엔비","2025-01-24 09:10:52","U","2025-01-26 02:40:00","유가공업","277944.236032172","430253.750529103","축산물가공업","유가공업","0","L00","18",
"32","축산가공업","07_22_05_P","6530000","642000000420210012","2021-07-05","","01","영업/정상","0000","정상","","","","","0332642282","252.75","","강원특별자치도 춘천시 동내면 신촌리 391번지 1호 3동","강원특별자치도 춘천시 동내면 동내로 96, 3동","","(주)더프레시 에프앤비","2025-09-11 08:22:00","U","2025-09-13 02:40:00","식육가공업","267109.569561068","483146.053062366","축산물가공업","식육가공업","0","L00","5",
"33","축산가공업","07_22_05_P","6530000","642000000420210015","2021-10-07","","01","영업/정상","0000","정상","","","","","0334360666","261.2","","강원특별자치도 홍천군 남면 화전리 1684번지 0호","강원특별자치도 홍천군 남면 흥성길 107","","주식회사 다원에프앤비","2024-01-03 10:22:28","U","2024-01-05 02:40:00","식육가공업","265916.947899991","456870.890715769","축산물가공업","식육가공업","0","L00","3",
"34","축산가공업","07_22_05_P","6530000","642000000420210017","2021-10-09","","01","영업/정상","0000","정상","","","","","0334639011","1339.03","","강원특별자치도 인제군 북면 원통리 793번지 8호","강원특별자치도 인제군 북면 원통로128번길 25","","농업회사법인 린디미방(주)","2021-10-09 15:04:00","I","2023-06-13 00:00:00","식육가공업","","","축산물가공업","식육가공업","0","L00","5",
"35","축산가공업","07_22_05_P","6530000","642000000420210018","2021-10-27","","01","영업/정상","0000","정상","","","","","","580.03","","강원특별자치도 원주시 우산동  333번지 6호","강원특별자치도 원주시 우산공단길 26(우산동)","","주식회사 상호맘","2022-05-23 10:58:12","I","2023-06-13 00:00:00","식육가공업","283176.928792573","430752.279316552","축산물가공업","식육가공업","0","L00","15",
"36","축산가공업","07_22_05_P","6530000","642000000420210019","2021-12-29","","01","영업/정상","0000","정상","","","","","","218.4","","강원특별자치도 횡성군 우천면 상하가리 552번지 0호","강원특별자치도 횡성군 우천면 우천산업단지로 95","","제일축산&푸드","2021-12-29 09:57:00","I","2023-06-13 00:00:00","식육가공업","293486.528289853","443355.420811429","축산물가공업","식육가공업","0","000","4",
"37","축산가공업","07_22_05_P","6530000","642000000420220001","2022-02-11","","01","영업/정상","0000","정상","","","","","","189","","강원특별자치도 홍천군 홍천읍 신장대리 22번지 7호","강원특별자치도 홍천군 홍천읍 홍천로 389","","(강원축산)하림홍천대리점","2022-02-11 15:01:19","I","2023-06-13 00:00:00","식육가공업","278294.882768437","465671.071581906","축산물가공업","식육가공업","0","000","5",
"38","축산가공업","07_22_05_P","6530000","642000000420220002","2022-02-28","","01","영업/정상","0000","정상","","","","","","70.56","","강원특별자치도 평창군 봉평면 무이리 1041번지 20호","강원특별자치도 평창군 봉평면 안흥동2길 18-30","","반가원","2025-05-22 10:06:45","U","2025-05-24 02:40:00","식육가공업","316070.154680474","455332.271294324","축산물가공업","식육가공업","0","000","2",
"39","축산가공업","07_22_05_P","6530000","642000000420110015","2011-08-02","","01","영업/정상","0000","정상","","","","","0332554872","107","200-852","강원특별자치도 춘천시 동면 만천리 330번지 34호","강원특별자치도 춘천시 동면 만천양지길 147","200-852","(주)현진","2022-01-10 16:34:53","I","2023-06-13 00:00:00","식육가공업","267506.839305568","487860.183234382","축산물가공업","식육가공업","0","L00","15",
"40","축산가공업","07_22_05_P","6530000","642000000420120011","2012-04-30","","01","영업/정상","0000","정상","","","","","0332626465","140.4","","강원특별자치도 춘천시 동내면 고은리 351번지 36호","강원특별자치도 춘천시 동내면 고은길 60","200-953","(주)일심식품","2024-05-17 17:15:13","U","2024-05-19 02:40:00","식육가공업","268131.366901733","482545.103083648","축산물가공업","식육가공업","0","L00","5",
"41","축산가공업","07_22_05_P","6530000","642000000420120015","2012-05-15","","01","영업/정상","0000","정상","","","","","0332559144","141.9","","강원특별자치도 춘천시 후평동  688번지 2호","강원특별자치도 춘천시 효평길 94-1 (후평동)","200-969","장터축산","2024-05-20 14:13:42","U","2024-05-22 02:40:00","식육가공업","265553.842185042","486688.59040408","축산물가공업","식육가공업","0","000","2",
"42","축산가공업","07_22_05_P","6530000","642000000420120018","2012-06-12","","01","영업/정상","0000","정상","","","","","0332428303","110.85","","강원특별자치도 춘천시 우두동  144번지 11호","강원특별자치도 춘천시 우두상리4길 16(우두동)","200-938","협동조합 참닭갈비","2022-05-18 16:42:25","I","2023-06-13 00:00:00","식육가공업","265089.209480341","490264.122684699","축산물가공업","식육가공업","0","L00","3",
"43","축산가공업","07_22_05_P","6530000","642000000420120020","2012-06-26","","01","영업/정상","0000","정상","","","","","0333785700","1902.9","","강원특별자치도 정선군 신동읍 예미리 248번지 16호","강원특별자치도 정선군 신동읍 예미2길 26-49","233-822","(주)일양웰푸드","2022-10-14 12:08:57","I","2023-06-13 00:00:00","식육가공업","346471.135801036","413835.011379109","축산물가공업","식육가공업","0","L00","30",
"44","축산가공업","07_22_05_P","6530000","642000000420120023","2012-07-27","","01","영업/정상","0000","정상","","","","","0332645506","300","","강원특별자치도 춘천시 후평동  623번지 42호 3동 3호","강원특별자치도 춘천시 후석로462번길 21, 3동 3호 (후평동)","200-957","상호 주식회사","2019-10-02 14:04:51","I","2023-06-13 00:00:00","식육가공업","265337.030473427","487891.43582197","축산물가공업","식육가공업","0","L00","10",
"45","축산가공업","07_22_05_P","6530000","642000000420100015","2010-10-06","","01","영업/정상","0000","정상","","","","","0332519917","309.5","200-936","강원특별자치도 춘천시 동면 장학리 183번지","강원특별자치도 춘천시 동면 건일길 61","200-936","주식회사 광덕식품","2019-06-07 13:00:55","I","2023-06-13 00:00:00","식육가공업","266746.326217052","487665.915332825","축산물가공업","식육가공업","0","L00","3",
"46","축산가공업","07_22_05_P","6530000","642000000420100017","2010-11-01","","01","영업/정상","0000","정상","","","","","0332555321","655.91","200-959","강원특별자치도 춘천시 퇴계동  864번지 5호","강원특별자치도 춘천시 퇴계공단길 30 (퇴계동)","200-944","춘천그린식품","2015-04-24 10:14:53","I","2023-06-13 00:00:00","식육가공업","264612.29913038","482772.362651788","축산물가공업","식육가공업","0","000","2",
"47","축산가공업","07_22_05_P","6530000","642000000420110002","2011-03-29","","01","영업/정상","0000","정상","","","","","0332435754","495.8","200-853","강원특별자치도 춘천시 신북읍 천전리 117번지 1호","강원특별자치도 춘천시 신북읍 배후령길 5","200-853","순우리푸드","2020-08-26 15:43:15","I","2023-06-13 00:00:00","식육가공업","268616.357985981","492243.960481105","축산물가공업","식육가공업","0","000","3",
"48","축산가공업","07_22_05_P","6530000","642000000420110006","2011-05-06","","01","영업/정상","0000","정상","","","","","0339118486","232","200-112","강원특별자치도 춘천시 신북읍 천전리 111번지 5호","강원특별자치도 춘천시 신북읍 배후령길 16","200-112","주식회사 마들","2022-06-28 16:08:36","I","2023-06-13 00:00:00","식육가공업","268712.618753927","492315.854830254","축산물가공업","식육가공업","0","L00","2",
"49","축산가공업","07_22_05_P","6530000","642000000420110010","2011-06-28","","01","영업/정상","0000","정상","","","","","0332539593","534.28","200-957","강원특별자치도 춘천시 남산면 광판리 126번지 2호","강원특별자치도 춘천시 남산면 종자리로 17","200-957","주식회사 금보에프앤비","2025-04-11 17:48:07","U","2025-04-13 02:40:00","식육가공업","262649.492222512","471590.438616585","축산물가공업","식육가공업","0","L00","5",
"50","축산가공업","07_22_05_P","6530000","642000000420110011","2011-07-11","","01","영업/정상","0000","정상","","","","","0339114800","129","200-936","강원특별자치도 춘천시 신동면 증리 950번지 6호 외1필지","강원특별자치도 춘천시 신동면 김유정로 1395","200-936","청년푸줏간","2020-11-12 09:06:59","I","2023-06-13 00:00:00","식육가공업","262812.708227807","479592.899405515","축산물가공업","식육가공업","0","000","3",
"51","축산가공업","07_22_05_P","6530000","642000000420110012","2011-07-14","","01","영업/정상","0000","정상","","","","","0336454253","249.62","210-935","강원특별자치도 강릉시 포남동  445번지 2호","강원특별자치도 강릉시 강릉대로469번길 39 (포남동)","210-957","강릉축산","2020-02-17 20:00:20","I","2023-06-13 00:00:00","식육가공업","368233.505956906","476650.438042884","축산물가공업","식육가공업","0","000","8",
"52","축산가공업","07_22_05_P","6530000","642000000420140018","2014-06-30","","01","영업/정상","0000","정상","","","","","0333427686","4028.75","","강원특별자치도 횡성군 우천면 법주리 737번지","강원특별자치도 횡성군 우천면 우천제2농공단지로 65-77","225-811","횡성축협육가공장(제1공장)","2017-09-19 09:18:04","I","2023-06-13 00:00:00","식육가공업","294104.513840035","438977.632475177","축산물가공업","식육가공업","0","L00","29",
"53","축산가공업","07_22_05_P","6530000","642000000420140020","2014-07-17","","01","영업/정상","0000","정상","","","","","0332565284","113.82","","강원특별자치도 춘천시 우두동  153번지 6호","강원특별자치도 춘천시 우두상리2길 26 (우두동)","200-939","보윤식품","2023-06-29 13:51:21","U","2023-07-01 02:40:00","식육가공업","","","축산물가공업","식육가공업","0","000","3",
"54","축산가공업","07_22_05_P","6530000","642000000420140021","2014-09-04","","01","영업/정상","0000","정상","","","","","0332424862","331.1","","강원특별자치도 춘천시 근화동  750번지 4호","강원특별자치도 춘천시 중앙로194번길 18(근화동)","200-931","두루푸드","2022-09-30 09:35:21","I","2023-06-13 00:00:00","식육가공업","262716.170426409","486119.51662968","축산물가공업","식육가공업","0","000","0",
"55","축산가공업","07_22_05_P","6530000","642000000420140022","2014-09-26","","01","영업/정상","0000","정상","","","","","03318006550","8402.74","","강원특별자치도 횡성군 우천면 법주리 743번지 0호","강원특별자치도 횡성군 우천면 우천제2농공단지로 65-50","225-811","(주)케이프라이드","2024-03-06 10:17:31","U","2024-03-08 02:40:00","식육가공업","294278.377424337","438991.957314583","축산물가공업","식육가공업","0","L00","90",
"56","축산가공업","07_22_05_P","6530000","642000000420140027","2014-10-30","","01","영업/정상","0000","정상","","","","","0336433628","660","","","강원특별자치도 강릉시 모산로169번길 20 (담산동)","210-190","(주)성원푸드","2020-07-22 09:28:34","I","2023-06-13 00:00:00","식육가공업","367467.159781208","471005.803310674","축산물가공업","식육가공업","0","L00","13",
"57","축산가공업","07_22_05_P","6530000","642000000419830001","1983-01-11","","01","영업/정상","0000","정상","","","","","0332523211","1100.7","200-160","강원특별자치도 춘천시 후평동  244번지 34호","강원특별자치도 춘천시 후석로440번길 10 (후평동)","","춘천철원화천양구축산업협동조합","2021-10-15 10:52:47","I","2023-06-13 00:00:00","유가공업","265400.35106042","487577.815703786","축산물가공업","유가공업","0","L00","8",
"58","축산가공업","07_22_05_P","6530000","642000000419860001","1986-11-18","","01","영업/정상","0000","정상","","","","","0333406522","40499","225-823","강원특별자치도 횡성군 안흥면 소사리 1334번지","강원특별자치도 횡성군 안흥면 봉화로 790","225-823","롯데웰푸드(주)파스퇴르공장","2023-04-28 15:36:07","I","2023-06-13 00:00:00","유가공업","300709.700909535","440517.716466947","축산물가공업","유가공업","0","L00","345",
"59","축산가공업","07_22_05_P","6530000","642000000419940003","1994-11-14","","01","영업/정상","0000","정상","","","","","0332575639","1080","200-957","강원특별자치도 춘천시 후평동  257번지 9호","강원특별자치도 춘천시 후석로462번길 34 (후평동)","200-957","(주)중앙식품","2021-02-01 15:22:35","I","2023-06-13 00:00:00","식육가공업","265479.020321504","487759.824764275","축산물가공업","식육가공업","0","L00","7",
"60","축산가공업","07_22_05_P","6530000","642000000420180002","2018-02-23","","01","영업/정상","0000","정상","","","","","0336370546","1358.27","","강원특별자치도 속초시 대포동  947번지 4호","강원특별자치도 속초시 농공단지1길 38-19 (대포동)","","(주)정이푸드빌","2021-06-01 14:53:32","I","2023-06-13 00:00:00","식육가공업","339686.4909378","520058.426074055","축산물가공업","식육가공업","0","L00","25",
"61","축산가공업","07_22_05_P","6530000","642000000420180003","2018-03-21","","01","영업/정상","0000","정상","","","","","0333752341","1556.96","","강원특별자치도 영월군 주천면 신일리 281번지 0호","강원특별자치도 영월군 주천면 솔치로 724","","비제이푸드 유한회사 농업회사법인","2023-06-15 13:27:23","U","2023-06-17 02:40:00","식육가공업","311515.651944105","418956.961830692","축산물가공업","식육가공업","0","L00","30",
"62","축산가공업","07_22_05_P","6530000","642000000420180006","2018-04-12","","01","영업/정상","0000","정상","","","","","0337645635","639.39","","강원특별자치도 원주시 봉산동  546번지 9호","강원특별자치도 원주시 동부순환로 389-5, 2층 (봉산동)","","농업회사법인 주식회사 서신 원주지점","2020-05-14 16:27:35","I","2023-06-13 00:00:00","알가공업","286365.657858753","427991.686804586","축산물가공업","알가공업","0","L00","2",
"63","축산가공업","07_22_05_P","6530000","642000000420180007","2018-04-20","","01","영업/정상","0000","정상","","","","","0337355335","548","","강원특별자치도 원주시 소초면 수암리 1362번지 1호","강원특별자치도 원주시 소초면 장수1로 302","","(주)와이엑스에프앤비(강원)","2025-02-03 15:00:18","U","2025-02-05 02:40:00","식육가공업","286484.474469305","432281.055202582","축산물가공업","식육가공업","0","L00","2",
"64","축산가공업","07_22_05_P","6530000","642000000420180008","2018-04-23","","01","영업/정상","0000","정상","","","","","","941.8","","강원특별자치도 횡성군 청일면 속실리 439번지 12호","강원특별자치도 횡성군 청일면 청정로 1708","","농업회사법인 강원선식품 주식회사","2025-10-27 07:50:33","U","2025-10-29 02:40:00","알가공업","302258.646557907","461053.912818084","축산물가공업","알가공업","0","L00","6",
"65","축산가공업","07_22_05_P","6530000","642000000420180010","2018-05-23","","01","영업/정상","0000","정상","","","","","","434.88","","강원특별자치도 횡성군 횡성읍 조곡리 355번지 1호","강원특별자치도 횡성군 횡성읍 한우로 588, 4동","","(주)횡성케이씨","2022-09-21 14:41:23","I","2023-06-13 00:00:00","식육가공업","289845.351895997","443768.825458786","축산물가공업","식육가공업","0","L00","5",
"66","축산가공업","07_22_05_P","6530000","642000000420010010","2001-06-05","","01","영업/정상","0000","정상","","","","","0332645555","836","200-944","강원특별자치도 춘천시 퇴계동  861번지 13호","강원특별자치도 춘천시 퇴계공단1길 56-15 (퇴계동)","200-944","(주)오도푸드서비스","2020-04-16 09:05:58","I","2023-06-13 00:00:00","식육가공업","264983.24211394","482661.235181373","축산물가공업","식육가공업","0","L00","19",
"67","축산가공업","07_22_05_P","6530000","642000000420020008","2002-01-05","","01","영업/정상","0000","정상","","","","","0332624137","1933.5","200-944","강원특별자치도 춘천시 퇴계동  865번지 6호","강원특별자치도 춘천시 퇴계공단길 50 (퇴계동)","200-944","(주)우농식품","2012-11-14 08:30:34","I","2023-06-13 00:00:00","식육가공업","264778.37103211","482630.809306412","축산물가공업","식육가공업","0","L00","22",
