"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","설계감리업종류명","소속국가명","실질자본금",
"29","전력기술감리업체","09_28_12_P","6530000","201964200008600011","2019-10-29","","01","영업/정상","1","인허가","","","","","0333739090","","26236","강원특별자치도 영월군 영월읍 영흥리 902-5","강원특별자치도 영월군 영월읍 중앙로 88-1","26236","주식회사 서강","2019-10-29 10:34:08","I","2023-06-13 00:00:00","","330787.52192648","410067.880503461","감리업","전문감리업","","50000000",
"30","전력기술감리업체","09_28_12_P","6530000","201964200008600012","2019-12-30","","01","영업/정상","1","인허가","","","","","0336523526","","25477","강원특별자치도 강릉시 포남동 1090-17","강원특별자치도 강릉시 가작로 275 (포남동)","25477","윤주이엔지","2019-12-30 14:49:27","I","2023-06-13 00:00:00","","367804.200328505","475953.093958432","감리업","전문감리업","","50000000",
"31","전력기술감리업체","09_28_12_P","6530000","202064200008600003","2020-04-28","","01","영업/정상","1","인허가","","","","","0335225988","","25799","강원특별자치도 동해시 구호동 236-16","강원특별자치도 동해시 공단2로 78 (구호동)","25799","세원전설(주)","2020-04-28 09:36:27","I","2023-06-13 00:00:00","","388974.831938261","443707.480416829","감리업","전문감리업","","50000000",
"32","전력기술감리업체","09_28_12_P","6530000","202064200008600004","2020-05-18","","01","영업/정상","1","인허가","","","","","0332639936","","24327","강원특별자치도 춘천시 석사동 760-6","강원특별자치도 춘천시 우석로38번길 75 (석사동)","24327","신우전기","2020-05-18 16:08:14","I","2023-06-13 00:00:00","","266236.05371616","484596.144668486","감리업","전문감리업","","0",
"33","전력기술감리업체","09_28_12_P","6530000","202064200008600005","2020-08-10","","01","영업/정상","1","인허가","","","","","0333448816","","25013","강원특별자치도 양양군 양양읍 정손리 54-11","강원특별자치도 양양군 양양읍 정손길 75-4","25013","(주)양양엔지니어링","2020-08-10 14:16:08","I","2023-06-13 00:00:00","","342103.159314018","511689.343073209","감리업","전문감리업","","0",
"34","전력기술감리업체","09_28_12_P","6530000","202064200008600007","2020-11-24","","01","영업/정상","1","인허가","","","","","0335623525","","26126","강원특별자치도 정선군 정선읍 봉양리 48-34","강원특별자치도 정선군 정선읍 녹송3길 15","26126","(주)청솔엔지니어링","2020-11-24 09:53:00","I","2023-06-13 00:00:00","","347934.934049386","432538.503723749","감리업","전문감리업","","0",
"35","전력기술감리업체","09_28_12_P","6530000","202064200008600008","2020-12-14","","01","영업/정상","1","인허가","","","","","0332640770","","24412","강원특별자치도 춘천시 신동면 증리 635-38","강원특별자치도 춘천시 신동면 김유정로 1512-42, 1층 1호","24412","주식회사 영의","2021-12-14 13:44:51","I","2023-06-13 00:00:00","","263919.584935766","480396.850361208","감리업","전문감리업","","50000000",
"36","전력기술감리업체","09_28_12_P","6530000","201464200008600001","2014-11-04","","01","영업/정상","1","인허가","","","","","0335755546","","25771","강원특별자치도 동해시 천곡동 1038-15 동해소방","강원특별자치도 동해시 동굴3길 19-6, 동해소방 (천곡동)","25771","한일이엔지 주식회사","2025-06-17 09:13:37","U","2025-06-19 02:40:00","","386681.803358242","448432.021861377","감리업","종합감리업","","75921848",
"37","전력기술감리업체","09_28_12_P","6530000","201464200008600002","2014-11-27","","01","영업/정상","1","인허가","","","","","0336428601","","25473","강원특별자치도 강릉시 교동 457-1","강원특별자치도 강릉시 수리골길 67, 5층(교동)","25473","주식회사 삼주이앤텍","2023-03-16 14:46:38","I","2023-06-13 00:00:00","","367053.458303678","476510.397600118","감리업","전문감리업","","0",
"38","전력기술감리업체","09_28_12_P","6530000","200464200008600003","2004-10-26","","01","영업/정상","1","인허가","","","","","0332542991","","24407","강원특별자치도 춘천시 동내면 신촌리 366-9","강원특별자치도 춘천시 동내면 장안길 23-9","24407","주식회사 사조기술단","2022-08-03 16:04:24","I","2023-06-13 00:00:00","","267004.126906942","482999.436296518","감리업","전문감리업","대한민국","0",
"39","전력기술감리업체","09_28_12_P","6530000","201564200008600001","2015-01-07","","01","영업/정상","1","인허가","","","","","","","24232","강원특별자치도 춘천시 후평동 558-1 춘천하이테크타워 706,707호","강원특별자치도 춘천시 후석로420번길 7, 춘천하이테크타워 7층 706호,707호(후평동)","24232","주식회사 다올이엔지","2022-11-15 16:19:22","I","2023-06-13 00:00:00","","265474.842593179","487512.552718902","감리업","전문감리업","","50208000",
"40","전력기술감리업체","09_28_12_P","6530000","202164200008600001","2021-02-09","","01","영업/정상","1","인허가","","","","","0337461239","","26307","강원특별자치도 원주시 소초면 평장리 1301-3","강원특별자치도 원주시 소초면 섬배로 165","26307","(주)세명기술단","2025-01-23 10:01:08","U","2025-01-25 02:40:00","","286786.981631195","435749.376633004","감리업","전문감리업","","50000000",
"41","전력기술감리업체","09_28_12_P","6530000","202164200008600002","2021-03-03","","01","영업/정상","1","인허가","","","","","0336734869","","25021","강원특별자치도 양양군 양양읍 연창리 358번지 양우내안애","강원특별자치도 양양군 양양읍 미륵길 40, (양우내안애)","25021","주식회사 영화엔지니어링","2021-03-03 10:07:59","I","2023-06-13 00:00:00","","342277.032364732","509890.312156769","감리업","전문감리업","","200000000",
"42","전력기술감리업체","09_28_12_P","6530000","201964200008600004","2019-01-21","","01","영업/정상","1","인허가","","","","","0336511276","","25478","강원특별자치도 강릉시 포남동 1077-11","강원특별자치도 강릉시 보래미길 31, 2층 (포남동)","25478","주식회사 다보테크","2019-01-21 16:05:50","I","2023-06-13 00:00:00","","368147.038669189","476184.776758945","감리업","전문감리업","","50000000",
"43","전력기술감리업체","09_28_12_P","6530000","202164200008600003","2021-03-03","","01","영업/정상","1","인허가","","","","","0337453365","","26460","강원특별자치도 원주시 반곡동 1809-11 엔터비즈타워","강원특별자치도 원주시 입춘로 45, 엔터비즈타워 6층 (반곡동)","26460","주식회사 한성테크","2023-10-31 16:42:50","U","2023-11-02 02:40:00","","286650.196160256","425529.258545694","감리업","종합감리업","","57208600",
"44","전력기술감리업체","09_28_12_P","6530000","200264200008600001","2002-01-30","","01","영업/정상","1","인허가","","","","","0336511276","","25478","강원특별자치도 강릉시 포남동 1077-11","강원특별자치도 강릉시 보래미길 31 (포남동)","25478","다보이엔지 주식회사","2018-04-30 09:24:01","I","2023-06-13 00:00:00","","368147.038669189","476184.776758945","감리업","종합감리업","대한민국","0",
"45","전력기술감리업체","09_28_12_P","6530000","201564200008600002","2015-02-23","","01","영업/정상","1","인허가","","","","","07049006056","","24854","강원특별자치도 속초시 교동 1022-15","강원특별자치도 속초시 엑스포로2길 18, 4층 (교동)","24854","풀이음이엔지","2023-04-13 14:22:09","I","2023-06-13 00:00:00","","","","감리업","전문감리업","","52433320",
"46","전력기술감리업체","09_28_12_P","6530000","201564200008600003","2015-04-28","","01","영업/정상","1","인허가","","","","","0337427798","","","강원특별자치도 원주시 단구동 1550번지 1호 백림빌딩 302호","강원특별자치도 원주시 천매봉길 36-22, 3층 302호 (단구동,백림빌딩)","26483","주식회사 일신이앤씨","2023-04-06 13:36:51","I","2023-06-13 00:00:00","","283550.019671907","425070.26290751","감리업","전문감리업","","0",
"47","전력기술감리업체","09_28_12_P","6530000","201564200008600004","2015-07-03","","01","영업/정상","1","인허가","","","","","0337354745","","","강원특별자치도 원주시 단계동 1116번지 3호 모닝프라자2 501호","강원특별자치도 원주시 천사로 24, 501호 (단계동,모닝프라자2)","26437","(주)서광건설엔지니어링","2016-01-18 18:15:55","I","2023-06-13 00:00:00","","282157.709732191","427714.288179997","감리업","전문감리업","","50515400",
"48","전력기술감리업체","09_28_12_P","6530000","201564200008600005","2015-11-17","","01","영업/정상","1","인허가","","","","","0335330075","","25777","강원특별자치도 동해시 천곡동 961-1 태영빌딩","강원특별자치도 동해시 감추4길 42, 태영빌딩 2층 (천곡동)","25777","주식회사 건축사사무소건일종합기술","2025-01-03 08:59:12","U","2025-01-05 02:40:00","","387197.3198861","448340.446367078","감리업","종합감리업","","100000000",
"49","전력기술감리업체","09_28_12_P","6530000","200364200008600001","2003-01-22","","01","영업/정상","1","인허가","","","","","0332544144","","","","강원특별자치도 춘천시 신동면 모오리길 62","24411","(주)기술사사무소고려기술단","2017-01-23 10:05:40","I","2023-06-13 00:00:00","","261893.814056943","480433.805813828","감리업","종합감리업","대한민국","0",
"50","전력기술감리업체","09_28_12_P","6530000","200364200008600002","2003-02-20","","01","영업/정상","1","인허가","","","","","0336510236","","25546","강원특별자치도 강릉시 포남동 1150-13","강원특별자치도 강릉시 경강로2267번길 14, 2층(포남동)","25546","주식회사 세종","2022-06-27 11:14:54","I","2023-06-13 00:00:00","","368116.161056622","475509.382311338","감리업","종합감리업","대한민국","0",
"51","전력기술감리업체","09_28_12_P","6530000","200364200008600003","2003-03-18","","01","영업/정상","1","인허가","","","","","0335728544","","","","강원특별자치도 삼척시 봉황로 9-22 (남양동)","245-938","(주)한일엔지니어링","2014-03-19 10:55:12","I","2023-06-13 00:00:00","","391901.935668829","439774.228416779","감리업","종합감리업","대한민국","0",
"52","전력기술감리업체","09_28_12_P","6530000","200464200008600001","1994-04-03","","01","영업/정상","1","인허가","","","","","0336437841","","","강원특별자치도 강릉시 포남동 1160번지 3호","강원특별자치도 강릉시 남구길30번길 16-1 (포남동)","25545","제일엔지니어링(주)","2018-11-26 11:43:24","I","2023-06-13 00:00:00","","367892.369862881","475477.287652162","감리업","전문감리업","대한민국","300000000",
"53","전력기술감리업체","09_28_12_P","6530000","200464200008600002","2004-10-13","","01","영업/정상","1","인허가","","","","","0332632097","","","","강원특별자치도 춘천시 칠전동길 33 (칠전동)","200-220","전기기술사사무소강원기술단","2013-07-17 15:07:11","I","2023-06-13 00:00:00","","262908.022548256","482303.558730394","감리업","전문감리업","대한민국","0",
"54","전력기술감리업체","09_28_12_P","6530000","200564200008600003","2005-03-23","","01","영업/정상","1","인허가","","","","2012-03-15","0336511277","","25480","강원특별자치도 강릉시 포남동 1228-1","강원특별자치도 강릉시 보래미하길 81 (포남동)","25480","금양테크 주식회사","2020-08-28 13:10:39","I","2023-06-13 00:00:00","","368557.944613059","476558.941525803","감리업","종합감리업","대한민국","0",
"55","전력기술감리업체","09_28_12_P","6530000","200564200008600004","2005-04-25","","01","영업/정상","1","인허가","","","","","0337308843","","","","강원특별자치도 원주시 소초면 섬배로 109-10","220-833","(주)경원엔지니어링건축사사무소","2025-01-21 09:15:09","U","2025-01-23 02:40:00","","286264.502525824","435876.543068714","감리업","종합감리업","대한민국","0",
"56","전력기술감리업체","09_28_12_P","6530000","200564200008600001","2005-06-21","","01","영업/정상","1","인허가","","","","","0336523526","","210-954","강원특별자치도 강릉시 포남2동  1090번지 17호","강원특별자치도 강릉시 가작로 275 (포남동)","","주식회사 대주기술","2014-03-19 10:57:51","I","2023-06-13 00:00:00","","367804.200328505","475953.093958432","감리업","종합감리업","대한민국","0",
"57","전력기술감리업체","09_28_12_P","6530000","200664200008600001","2006-05-17","","01","영업/정상","1","인허가","","","","","0336518039","","","","강원특별자치도 강릉시 강릉대로359번길 12-12 (포남동)","210-954","(주)원엔지니어링","2019-01-03 16:40:59","I","2023-06-13 00:00:00","","367867.526479094","475712.610339824","감리업","종합감리업","대한민국","0",
"58","전력기술감리업체","09_28_12_P","6530000","200664200008600002","2006-02-10","","01","영업/정상","1","인허가","","","","","0337441239","","26307","강원특별자치도 원주시 소초면 평장리 1301-3","강원특별자치도 원주시 소초면 섬배로 165","26307","(주)세명엔지니어링","2025-01-23 10:04:14","U","2025-01-25 02:40:00","","286786.981631195","435749.376633004","감리업","종합감리업","대한민국","0",
"59","전력기술감리업체","09_28_12_P","6530000","200664200008600006","2006-07-19","","01","영업/정상","1","인허가","","","","","0332553254","","","","강원특별자치도 춘천시 동면 금베이길 54","24212","전기기술사사무소 예강ENG","2024-05-09 11:43:10","U","2024-05-11 02:40:00","","268938.320218955","486168.794036901","감리업","종합감리업","대한민국","0",
"60","전력기술감리업체","09_28_12_P","6530000","199764200008600001","1997-05-22","","01","영업/정상","1","인허가","","","","","0332432994","","","","강원특별자치도 춘천시 중앙로134번길 12 (소양로4가)","200-114","(주)산이앤씨건축사사무소","2024-07-08 16:47:16","U","2024-07-10 02:40:00","","263294.503947687","486276.860309866","감리업","종합감리업","대한민국","0",
"61","전력기술감리업체","09_28_12_P","6530000","200664200008600008","2006-04-07","","01","영업/정상","1","인허가","","","","","0337633194","","26469","강원특별자치도 원주시 관설동 1765-3","강원특별자치도 원주시 치악고교길 19 (관설동)","26469","(주)한길이엔지","2018-07-30 18:08:36","I","2023-06-13 00:00:00","","285002.988247575","424204.340528183","감리업","종합감리업","","0",
"62","전력기술감리업체","09_28_12_P","6530000","200764200008600001","2007-08-13","","01","영업/정상","1","인허가","","","","","0337642813","","26379","강원특별자치도 원주시 단계동 1191-5","강원특별자치도 원주시 바우골길 8, 4층 403호 (단계동)","26379","(주)신화엔지니어링","2018-11-26 11:15:05","I","2023-06-13 00:00:00","","281253.308629373","428537.263268759","감리업","전문감리업","","0",
"63","전력기술감리업체","09_28_12_P","6530000","200764200008600002","2007-12-10","","01","영업/정상","1","인허가","","","","","0332639936","","","","강원특별자치도 춘천시 우석로38번길 75 (석사동)","200-936","삼성새전기","2014-03-19 10:52:18","I","2023-06-13 00:00:00","","266236.05371616","484596.144668486","감리업","종합감리업","대한미국","100022000",
"64","전력기술감리업체","09_28_12_P","6530000","200864200008600002","2008-05-23","","01","영업/정상","1","인허가","","","","","025581997","","","","강원특별자치도 춘천시 춘천로 334 (후평동)","200-956","(주)진화기술공사","2018-06-26 10:05:11","I","2023-06-13 00:00:00","","265824.045528549","487019.167362156","감리업","전문감리업","대한민국","0",
"65","전력기술감리업체","09_28_12_P","6530000","200964200008600004","2009-04-17","","01","영업/정상","1","인허가","","","","2019-11-28","0337495204","","","","강원특별자치도 원주시 혁신로 2 (반곡동)","26466","한국도로교통공단","2024-12-15 13:16:38","U","2024-12-17 02:40:00","","286366.823592193","425148.906223354","감리업","전문감리업","대한민국","0",
"66","전력기술감리업체","09_28_12_P","6530000","201664200008600001","2016-02-03","","01","영업/정상","1","인허가","","","","","0318384525","","","강원특별자치도 춘천시 사북면 신포리 246번지 1호","강원특별자치도 춘천시 사북면 토둔길 16-20","24200","(주)타우기술단","2019-05-30 15:34:17","I","2023-06-13 00:00:00","","256202.202782779","502180.504986257","감리업","전문감리업","","50000000",
"67","전력기술감리업체","09_28_12_P","6530000","201664200008600003","2016-04-06","","01","영업/정상","1","인허가","","","","","0336519660","","25473","강원특별자치도 강릉시 교동 613-2","강원특별자치도 강릉시 율곡로 3060 (교동)","25473","(주)대명전력","2018-02-21 10:15:04","I","2023-06-13 00:00:00","","366338.043536181","476420.188886527","감리업","종합감리업","","119184000",
"68","전력기술감리업체","09_28_12_P","6530000","201664200008600004","2016-04-22","","01","영업/정상","1","인허가","","","","","0332443947","","","강원특별자치도 춘천시 중앙로2가 75번지","강원특별자치도 춘천시 중앙로 74-1 (중앙로2가)","24273","(주)삼경","2017-08-25 13:57:52","I","2023-06-13 00:00:00","","263770.690206088","486513.062789083","감리업","전문감리업","대한민국","400000000",
"69","전력기술감리업체","09_28_12_P","6530000","201764200008600001","2017-07-07","","01","영업/정상","1","인허가","","","","","0336425956","","","","강원특별자치도 강릉시 강릉대로 123 (교동)","25506","신호ENG","2017-07-07 16:10:44","I","2023-06-13 00:00:00","","365968.225975759","474305.646798131","감리업","전문감리업","","50000000",
"70","전력기술감리업체","09_28_12_P","6530000","201864200008600001","2018-05-16","","01","영업/정상","1","인허가","","","","","0332610204","","24408","강원특별자치도 춘천시 동내면 학곡리 265-3","강원특별자치도 춘천시 동내면 학곡서길 10","24408","주식회사 오성이엔씨","2025-09-29 17:32:04","U","2025-10-01 02:40:00","","266868.883852143","481464.181782804","감리업","전문감리업","","100000000",
"71","전력기술감리업체","09_28_12_P","6530000","201864200008600002","2018-07-31","","01","영업/정상","1","인허가","","","","","0334631537","","24632","강원특별자치도 인제군 인제읍 상동리 295-3","강원특별자치도 인제군 인제읍 비봉로 10-2, 2층","24632","(주)정원엔지니어링","2021-10-06 10:27:01","I","2023-06-13 00:00:00","","302811.057917138","507908.423334437","감리업","전문감리업","","200000000",
