"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"15","사료제조업","02_04_05_P","6530000","653000050220230011","2023-07-21","","01","영업/정상","0000","정상","","","","","0332553189","","","강원특별자치도 춘천시 후평동  873번지 5호","강원특별자치도 춘천시 후만로126번길 16, 1층 (후평동)","","펫푸드온 주식회사","2023-07-21 11:20:12","I","2023-07-23 00:19:03","사료제조업(단미)","266680.210378259","486224.177370323","사료제조업","","0","000","0",
"16","사료제조업","02_04_05_P","6530000","653000050220230003","2023-06-29","","01","영업/정상","0000","정상","","","","","0332563329","","","강원특별자치도 춘천시 신북읍 율문리 941번지 0호","강원특별자치도 춘천시 신북읍 신북로 61-20","","주식회사 플러스","2023-06-29 14:51:42","I","2023-07-01 00:19:10","사료제조업(수입)","265842.779304505","492208.753483169","사료제조업","","0","000","0",
"17","사료제조업","02_04_05_P","6530000","653000050220230002","2023-06-20","","01","영업/정상","0000","정상","","","","","0332614907","","","강원특별자치도 춘천시 동내면 거두리 1144번지 0호","강원특별자치도 춘천시 동내면 거두단지1길 39","24398","(주)애드바이오텍","2023-06-20 15:56:47","I","2023-06-22 00:19:51","사료제조업(수입)","268610.125364766","485398.610453281","사료제조업","","0","000","0",
"18","사료제조업","02_04_05_P","6530000","642000050220190007","2019-01-30","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 춘천시 동내면 고은리 304번지 1호","강원특별자치도 춘천시 동내면 고은길 148","24399","강아지스푼","2019-01-30 17:14:41","I","2023-06-13 00:00:00","사료제조업(단미)","268741.346449955","482071.514883526","사료제조업","","0","000","0",
"19","사료제조업","02_04_05_P","6530000","642000050220210051","2021-07-01","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 철원군 동송읍 이평리 568번지 51호","강원특별자치도 철원군 동송읍 금학로106번길 2","24021","동신미곡처리장","2021-07-01 16:48:02","I","2023-06-13 00:00:00","사료제조업(단미)","219538.289010425","521796.040223683","사료제조업","","0","000","0",
"20","사료제조업","02_04_05_P","6530000","642000050220210052","2021-07-12","","01","영업/정상","0000","정상","","","","","07044142020","0","","강원특별자치도 강릉시 대전동  921번지 2호","강원특별자치도 강릉시 사임당로 641-22(대전동)","","주식회사 신성바이오팜","2023-05-16 17:55:20","I","2023-06-13 00:00:00","사료제조업(배합)","363310.7119042","478706.976023585","사료제조업","","0","000","0",
"21","사료제조업","02_04_05_P","6530000","642000050220210053","2021-07-22","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 춘천시 효자동  192번지 1호 친환경농업연구센터 207호","강원특별자치도 춘천시 강원대학길 1, 친환경농업연구센터 2층(효자동)","24341","(주)에코드림농업회사법인","2021-07-22 16:44:09","I","2023-06-13 00:00:00","사료제조업(보조)","265481.557982219","485420.871953344","사료제조업","","0","000","0",
"22","사료제조업","02_04_05_P","6530000","642000050220210055","2021-08-02","","01","영업/정상","0000","정상","","","","","0332586400","","","강원특별자치도 춘천시 후평동  198번지 60호","강원특별자치도 춘천시 소양강로 56(후평동)","24232","(주)에코비즈넷","2021-08-02 13:19:53","I","2023-06-13 00:00:00","사료제조업(보조)","265531.579503655","488113.88506095","사료제조업","","0","000","0",
"23","사료제조업","02_04_05_P","6530000","642000050220210056","2021-08-02","","01","영업/정상","0000","정상","","","","","0332586325","","","강원특별자치도 춘천시 후평동  623번지 42호 4동 5호","강원특별자치도 춘천시 후석로462번길 21, 4동 5호(후평동)","24232","(주)에스티알바이오텍","2021-08-02 13:20:26","I","2023-06-13 00:00:00","사료제조업(보조)","265337.030473427","487891.43582197","사료제조업","","0","000","0",
"24","사료제조업","02_04_05_P","6530000","642000050220210057","2021-08-02","","01","영업/정상","0000","정상","","","","","0337358117","0","","강원특별자치도 원주시 지정면 안창리 589번지 0호","강원특별자치도 원주시 지정면 지정로 882","","선바이오연구소(주)","2022-12-26 10:41:02","I","2023-06-13 00:00:00","사료제조업(배합)","270791.961526359","428462.924671997","사료제조업","","0","000","0",
"25","사료제조업","02_04_05_P","6530000","642000050220210058","2021-08-02","","01","영업/정상","0000","정상","","","","","0337358117","","","강원특별자치도 원주시 지정면 안창리 589번지 0호","강원특별자치도 원주시 지정면 지정로 882","26359","선바이오연구소(주)","2021-08-02 13:22:10","I","2023-06-13 00:00:00","사료제조업(단미)","270791.961526359","428462.924671997","사료제조업","","0","000","0",
"26","사료제조업","02_04_05_P","6530000","642000050220210059","2021-08-02","","01","영업/정상","0000","정상","","","","","0337358117","0","","강원특별자치도 원주시 지정면 안창리 589번지 0호","강원특별자치도 원주시 지정면 지정로 882","","선바이오연구소(주)","2022-12-26 10:39:46","I","2023-06-13 00:00:00","사료제조업(단미)","270791.961526359","428462.924671997","사료제조업","","0","000","0",
"27","사료제조업","02_04_05_P","6530000","642000050220210060","2021-08-12","","01","영업/정상","0000","정상","","","","","0336352351","","","강원특별자치도 속초시 대포동  932번지 0호","강원특별자치도 속초시 농공단지길 118(대포동)","24899","(주)청호씨푸드","2021-08-12 10:02:29","I","2023-06-13 00:00:00","사료제조업(단미)","339768.608068942","520393.684230785","사료제조업","","0","000","0",
"28","사료제조업","02_04_05_P","6530000","642000050220210061","2021-08-12","","01","영업/정상","0000","정상","","","","","0337315920","","","강원특별자치도 원주시 호저면 산현리 298번지 2호","강원특별자치도 원주시 호저면 칠봉로 331-44","26300","원주농협 양곡유통센터","2021-08-12 17:27:13","I","2023-06-13 00:00:00","사료제조업(단미)","278702.327656393","435997.052692542","사료제조업","","0","000","0",
"29","사료제조업","02_04_05_P","6530000","642000050220140014","2014-10-21","","01","영업/정상","0000","정상","","","","","0336722350","0","","강원특별자치도 양양군 강현면 물치리 223번지 1호","강원특별자치도 양양군 물치천로 41","","맘마미아","2021-08-03 09:00:13","I","2023-06-13 00:00:00","사료제조업(단미)","340501.586879868","517855.140086529","사료제조업","","0","000","0",
"30","사료제조업","02_04_05_P","6530000","642000050220220001","2022-01-06","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 강릉시 대전동  921번지 1호","강원특별자치도 강릉시 사임당로 641-28(대전동)","25451","에코텍","2022-01-06 12:27:08","I","2023-06-13 00:00:00","사료제조업(단미)","363215.057592796","478790.288759702","사료제조업","","0","000","0",
"31","사료제조업","02_04_05_P","6530000","642000050220220002","2022-01-17","","01","영업/정상","0000","정상","","","","","0337644689","","","강원특별자치도 원주시 신림면 신림리 574번지 6호","강원특별자치도 원주시 신림면 신림골안길 52-11","26506","다원","2022-01-17 15:34:11","I","2023-06-13 00:00:00","사료제조업(보조)","296377.786766461","414635.67102459","사료제조업","","0","000","0",
"32","사료제조업","02_04_05_P","6530000","642000050220220003","2022-01-24","","01","영업/정상","0000","정상","","","","","0332646337","","","강원특별자치도 춘천시 동내면 거두리 1155번지 0호","강원특별자치도 춘천시 동내면 거두단지2길 50","24398","(주)팜크로스","2022-01-24 10:12:59","I","2023-06-13 00:00:00","사료제조업(배합)","268897.693487821","485080.757238187","사료제조업","","0","000","0",
"33","사료제조업","02_04_05_P","6530000","642000050220220004","2022-01-24","","01","영업/정상","0000","정상","","","","","0337644689","","","강원특별자치도 원주시 신림면 신림리 574번지 6호","강원특별자치도 원주시 신림면 신림골안길 52-11","26506","다원","2022-01-24 10:13:32","I","2023-06-13 00:00:00","사료제조업(보조)","296377.786766461","414635.67102459","사료제조업","","0","000","0",
"34","사료제조업","02_04_05_P","6530000","642000050220220006","2022-02-07","","01","영업/정상","0000","정상","","","","","0337332490","","","강원특별자치도 원주시 문막읍 동화리 1642번지 5호","강원특별자치도 원주시 문막읍 동화공단로 130-2","26365","네오메디코리아","2022-02-07 09:06:32","I","2023-06-13 00:00:00","사료제조업(배합)","274136.538031774","426337.490886497","사료제조업","","0","000","0",
"35","사료제조업","02_04_05_P","6530000","642000050220220008","2022-02-28","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 원주시 반곡동  1932번지 4호 102호","강원특별자치도 원주시 세계로 57, 102호(반곡동)","","멍플랙스","2024-04-22 14:28:21","U","2024-04-24 02:40:00","사료제조업(단미)","287685.453411748","425587.863222158","사료제조업","","0","000","0",
"36","사료제조업","02_04_05_P","6530000","642000050220220009","2022-03-16","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 철원군 갈말읍 정연리 1308번지 2호","강원특별자치도 철원군 갈말읍 정연길 76","","호연농축산","2022-03-16 15:21:16","I","2023-06-13 00:00:00","사료제조업(수입)","229518.509333333","532594.527","사료제조업","","0","000","0",
"37","사료제조업","02_04_05_P","6530000","642000050220060001","2006-02-21","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 양구군 양구읍 도사리 241번지","강원특별자치도 양구군 양구읍 도사리길185번길 16-18","","(주)양구광업","2024-08-20 13:02:01","U","2024-08-22 02:40:00","사료제조업(보조)","288119.69912207","519100.572475157","사료제조업","","0","L00","0",
"38","사료제조업","02_04_05_P","6530000","642000050220060002","2006-02-21","","01","영업/정상","0000","정상","","","","","0222784808","0","200-161","강원특별자치도 춘천시 후평동  198번지 53호","강원특별자치도 춘천시 소양강로 40 (후평동)","24232","(주)BROAD BIO","2013-12-20 09:26:41","I","2023-06-13 00:00:00","사료제조업(보조)","265331.3469315","487999.802568208","사료제조업","","0","000","0",
"39","사료제조업","02_04_05_P","6530000","642000050220060004","2006-03-20","","01","영업/정상","0000","정상","","","","","0334308306","0","250-711","강원특별자치도 홍천군 북방면 하화계리 936번지","강원특별자치도 홍천군 북방면 도둔길 49","25115","하이트진로(주) 강원공장","2013-02-07 19:31:24","I","2023-06-13 00:00:00","사료제조업(단미)","274091.131503479","465814.991902042","사료제조업","","0","000","0",
"40","사료제조업","02_04_05_P","6530000","642000050220060008","2006-07-12","","01","영업/정상","0000","정상","","","","","0332614907","","200-883","강원특별자치도 춘천시 동내면 거두리 1144번지","강원특별자치도 춘천시 동내면 거두단지1길 39","24398","(주)애드바이오텍","2015-07-02 14:23:31","I","2023-06-13 00:00:00","사료제조업(수입)","268610.125364766","485398.610453281","사료제조업","","0","L00","0",
"41","사료제조업","02_04_05_P","6530000","642000050220060009","2006-07-18","","01","영업/정상","0000","정상","","","","","0332614907","0","","강원특별자치도 춘천시 동내면 거두리 1144번지","강원특별자치도 춘천시 동내면 거두단지1길 39","","(주)애드바이오텍","2018-09-04 10:41:09","I","2023-06-13 00:00:00","사료제조업(보조)","268610.125364766","485398.610453281","사료제조업","","0","L00","0",
"42","사료제조업","02_04_05_P","6530000","642000050220060012","2006-08-18","","01","영업/정상","0000","정상","","","","","0332614907","0","200-883","강원특별자치도 춘천시 동내면 거두리 1144번지","강원특별자치도 춘천시 동내면 거두단지1길 39","24398","(주)애드바이오텍","2013-02-22 17:03:33","I","2023-06-13 00:00:00","사료제조업(단미)","268610.125364766","485398.610453281","사료제조업","","0","L00","0",
"43","사료제조업","02_04_05_P","6530000","642000050220060013","2006-08-18","","01","영업/정상","0000","정상","","","","","0332614907","0","","강원특별자치도 춘천시 동내면 거두리 1144번지","강원특별자치도 춘천시 동내면 거두단지1길 39","","(주)애드바이오텍","2024-04-30 15:03:41","U","2024-05-02 02:40:00","사료제조업(보조)","268610.125364766","485398.610453281","사료제조업","","0","000","0",
"44","사료제조업","02_04_05_P","6530000","642000050220060014","2006-09-05","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 철원군 갈말읍 신철원리 1000번지","강원특별자치도 철원군 갈말읍 호국로 4552","","주식회사 대원","2025-04-24 09:16:44","U","2025-04-26 02:40:00","사료제조업(단미)","226466.290924329","514328.924185038","사료제조업","","0","000","0",
"45","사료제조업","02_04_05_P","6530000","642000050220060015","2006-11-30","","01","영업/정상","0000","정상","","","","","0334358728","0","250-803","강원특별자치도 홍천군 홍천읍 장전평리 365번지","강원특별자치도 홍천군 홍천읍 영서로 1929","25119","강원사료","2015-06-18 15:46:08","I","2023-06-13 00:00:00","사료제조업(배합)","278481.637330921","461116.174937296","사료제조업","","0","000","0",
"46","사료제조업","02_04_05_P","6530000","642000050220090001","2009-02-26","","01","영업/정상","0000","정상","","","","","0336446611","","210-821","강원특별자치도 강릉시 강동면 모전리 15번지 2호","강원특별자치도 강릉시 강동면 임곡로 316-8","25627","현대특수사료(주)","2015-06-18 14:58:32","I","2023-06-13 00:00:00","사료제조업(단미)","375113.784889346","469054.52074079","사료제조업","","0","000","0",
"47","사료제조업","02_04_05_P","6530000","642000050220220014","2022-03-24","","01","영업/정상","0000","정상","","","","","0333301341","0","","강원특별자치도 평창군 평창읍 여만리 357번지 6호","강원특별자치도 평창군 평창읍 여만길 46","","평창군농업기술센터(유용미생물배양센터 본소)","2025-02-26 10:27:24","U","2025-02-28 02:40:00","사료제조업(보조)","323556.538540196","431567.723783832","사료제조업","","0","000","0",
"48","사료제조업","02_04_05_P","6530000","642000050220220016","2022-03-28","","01","영업/정상","0000","정상","","","","","0336429635","","","강원특별자치도 강릉시 대전동  916번지 3호","강원특별자치도 강릉시 과학단지로 24-20(대전동)","","(주)바이오피이드","2024-02-27 11:39:50","U","2024-02-29 02:40:00","사료제조업(단미)","363170.302881958","478582.818720932","사료제조업","","0","000","0",
"49","사료제조업","02_04_05_P","6530000","642000050220220017","2022-03-31","","01","영업/정상","0000","정상","","","","","0332614907","","","강원특별자치도 춘천시 동내면 거두리 1144번지 0호","강원특별자치도 춘천시 동내면 거두단지1길 39","24398","(주)애드바이오텍","2022-03-31 09:37:02","I","2023-06-13 00:00:00","사료제조업(배합)","268610.125364766","485398.610453281","사료제조업","","0","000","0",
"50","사료제조업","02_04_05_P","6530000","642000050220220018","2022-03-31","","01","영업/정상","0000","정상","","","","","0332614907","","","강원특별자치도 춘천시 동내면 거두리 1144번지 0호","강원특별자치도 춘천시 동내면 거두단지1길 39","24398","(주)애드바이오텍","2022-03-31 09:37:35","I","2023-06-13 00:00:00","사료제조업(배합)","268610.125364766","485398.610453281","사료제조업","","0","000","0",
"51","사료제조업","02_04_05_P","6530000","642000050220220040","2022-09-15","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 횡성군 우천면 오원리 814번지 0호","강원특별자치도 횡성군 우천면 전재로130번길 29-8","25250","(주)뉴트리케어","2022-09-15 15:08:16","I","2023-06-13 00:00:00","사료제조업(보조)","295931.600091226","438139.840581364","사료제조업","","0","000","0",
"52","사료제조업","02_04_05_P","6530000","642000050220220041","2022-09-15","","01","영업/정상","0000","정상","","","","","0334604722","","","강원특별자치도 인제군 인제읍 덕산리 1008번지 1호","강원특별자치도 인제군 인제읍 덕산로192번길 66-8","24627","인제군농업기술센터","2022-09-15 15:08:50","I","2023-06-13 00:00:00","사료제조업(보조)","303947.260359209","511025.953877332","사료제조업","","0","000","0",
"53","사료제조업","02_04_05_P","6530000","642000050220220042","2022-09-15","","01","영업/정상","0000","정상","","","","","0333441841","","","강원특별자치도 횡성군 우천면 오원리 814번지 0호","강원특별자치도 횡성군 우천면 전재로130번길 29-8","25250","(주)뉴트리케어","2022-09-15 15:11:54","I","2023-06-13 00:00:00","사료제조업(보조)","295931.600091226","438139.840581364","사료제조업","","0","000","0",
"54","사료제조업","02_04_05_P","6530000","642000050220220043","2022-09-15","","01","영업/정상","0000","정상","","","","","0333441841","","","강원특별자치도 횡성군 우천면 오원리 814번지 0호","강원특별자치도 횡성군 우천면 전재로130번길 29-8","25250","(주)뉴트리케어","2022-09-15 15:12:40","I","2023-06-13 00:00:00","사료제조업(보조)","295931.600091226","438139.840581364","사료제조업","","0","000","0",
"55","사료제조업","02_04_05_P","6530000","642000050220220044","2022-09-15","","01","영업/정상","0000","정상","","","","","0333441841","","","강원특별자치도 횡성군 우천면 오원리 814번지 0호","강원특별자치도 횡성군 우천면 전재로130번길 29-8","25250","(주)뉴트리케어","2022-09-15 15:13:27","I","2023-06-13 00:00:00","사료제조업(보조)","295931.600091226","438139.840581364","사료제조업","","0","000","0",
"56","사료제조업","02_04_05_P","6530000","642000050220220045","2022-09-15","","01","영업/정상","0000","정상","","","","","0333441841","","","강원특별자치도 횡성군 우천면 오원리 814번지 0호","강원특별자치도 횡성군 우천면 전재로130번길 29-8","25250","(주)뉴트리케어","2022-09-15 15:14:14","I","2023-06-13 00:00:00","사료제조업(보조)","295931.600091226","438139.840581364","사료제조업","","0","000","0",
"57","사료제조업","02_04_05_P","6530000","642000050220220047","2022-09-22","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 강릉시 포남동  1115번지 12호","강원특별자치도 강릉시 강릉대로 359, 2층 2호(포남동)","25492","Pet snack(펫스낵)","2022-09-22 13:48:27","I","2023-06-13 00:00:00","사료제조업(단미)","367850.842766758","475579.670871783","사료제조업","","0","000","0",
"58","사료제조업","02_04_05_P","6530000","642000050220220048","2022-09-22","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 강릉시 포남동  1115번지 12호","강원특별자치도 강릉시 강릉대로 359, 2층 2호(포남동)","25492","Pet snack(펫스낵)","2022-09-22 14:18:19","I","2023-06-13 00:00:00","사료제조업(단미)","367850.842766758","475579.670871783","사료제조업","","0","000","0",
"59","사료제조업","02_04_05_P","6530000","642000050220220049","2022-09-29","","01","영업/정상","0000","정상","","","","","07046599820","","","강원특별자치도 영월군 북면 마차리 797번지 0호","강원특별자치도 영월군 북면 밤재로 425","","(주)대웅생명과학","2023-04-20 17:05:36","I","2023-06-13 00:00:00","사료제조업(배합)","330598.306616748","419384.541766203","사료제조업","","0","000","0",
"60","사료제조업","02_04_05_P","6530000","642000050220220051","2022-10-13","","01","영업/정상","0000","정상","","","","","0333441841","","","강원특별자치도 횡성군 우천면 오원리 814번지 0호","강원특별자치도 횡성군 우천면 전재로130번길 29-8","25250","(주)뉴트리케어","2022-10-13 18:11:30","I","2023-06-13 00:00:00","사료제조업(단미)","295931.600091226","438139.840581364","사료제조업","","0","000","0",
"61","사료제조업","02_04_05_P","6530000","642000050220220052","2022-10-13","","01","영업/정상","0000","정상","","","","","0333441841","","","강원특별자치도 횡성군 우천면 오원리 814번지 0호","강원특별자치도 횡성군 우천면 전재로130번길 29-8","","(주)뉴트리케어","2022-10-13 18:13:30","I","2023-06-13 00:00:00","사료제조업(배합)","295931.600091226","438139.840581364","사료제조업","","0","000","0",
"62","사료제조업","02_04_05_P","6530000","642000050220220054","2022-12-02","","01","영업/정상","0000","정상","","","","","0333420949","","","강원특별자치도 횡성군 우천면 하궁리 123번지 0호 강원숯공장","강원특별자치도 횡성군 우천면 경강로 3855, 강원숯공장","25245","연희목재화학공업사","2022-12-02 14:29:54","I","2023-06-13 00:00:00","사료제조업(보조)","301480.34163989","444367.678108676","사료제조업","","0","000","0",
"63","사료제조업","02_04_05_P","6530000","642000050220220055","2022-12-02","","01","영업/정상","0000","정상","","","","","0333420949","","","강원특별자치도 횡성군 우천면 하궁리 123번지 0호 강원숯공장","강원특별자치도 횡성군 우천면 경강로 3855, 강원숯공장","25245","연희목재화학공업사","2022-12-02 14:30:13","I","2023-06-13 00:00:00","사료제조업(보조)","301480.34163989","444367.678108676","사료제조업","","0","000","0",
"64","사료제조업","02_04_05_P","6530000","642000050220070002","2007-01-23","","01","영업/정상","0000","정상","","","","","0337660087","0","","강원특별자치도 원주시 가현동  488번지 1호","강원특별자치도 원주시 저금어지길 402 (가현동)","26333","다우바이오","2018-08-20 08:33:49","I","2023-06-13 00:00:00","사료제조업(보조)","282349.237415868","432331.993161581","사료제조업","","0","000","0",
"65","사료제조업","02_04_05_P","6530000","642000050220200023","2020-08-21","","01","영업/정상","0000","정상","","","","","0334613980","","","강원특별자치도 인제군 북면 원통리 1708번지 2호","강원특별자치도 인제군 북면 원통로74번길 44","","(주)아이제이푸드","2022-02-07 13:04:40","I","2023-06-13 00:00:00","사료제조업(배합)","305344.433644226","513381.141972394","사료제조업","","0","000","0",
"66","사료제조업","02_04_05_P","6530000","642000050220200024","2020-08-21","","01","영업/정상","0000","정상","","","","","0334402983","0","","강원특별자치도 화천군 하남면 원천리 1146번지 11호","강원특별자치도 화천군 하남면 공단길 80-40","","화천군농업기술센터","2020-12-02 11:22:40","I","2023-06-13 00:00:00","사료제조업(보조)","258038.864067582","505874.828650614","사료제조업","","0","P00","0",
"67","사료제조업","02_04_05_P","6530000","642000050220200025","2020-07-21","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 강릉시 포남동  1300번지 3호","강원특별자치도 강릉시 하평4길 37 (포남동)","25565","룰루네 식탁","2020-08-27 10:03:58","I","2023-06-13 00:00:00","사료제조업(단미)","368684.556843283","476181.405749859","사료제조업","","0","000","0",
"68","사료제조업","02_04_05_P","6530000","642000050220200028","2020-09-18","","01","영업/정상","0000","정상","","","","","0334617725","","","강원특별자치도 인제군 북면 원통리 1716번지 0호 용대황태연합단","강원특별자치도 인제군 북면 원통로74번길 10-30, 용대황태연합단","24621","용대황태연합단 대륭영농조합법인","2021-01-20 15:17:30","I","2023-06-13 00:00:00","사료제조업(단미)","305353.884277691","513243.161331804","사료제조업","","0","000","0",
"69","사료제조업","02_04_05_P","6530000","642000050220200029","2020-09-18","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 홍천군 북방면 역전평리 188번지 0호","강원특별자치도 홍천군 북방면 팔봉산로 2154-18","25111","창대사료","2020-09-18 17:30:20","I","2023-06-13 00:00:00","사료제조업(단미)","269261.085708008","469948.125366039","사료제조업","","0","000","0",
