"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","설계감리업종류명","소속국가명","실질자본금",
"11","전력기술설계업체","09_28_13_P","6530000","201864200008500005","2018-08-31","","01","영업/정상","1","인허가","","","","","0332615055","","24387","강원특별자치도 춘천시 석사동 664번지","강원특별자치도 춘천시 후석로 44, 3층(석사동)","24387","주식회사 동서엔지니어링","2023-02-22 14:50:27","I","2023-06-13 00:00:00","","265225.168616533","484221.188490755","설계업","전문설계업1종","대한민국","350000000",
"12","전력기술설계업체","09_28_13_P","6530000","201864200008500006","2018-11-08","","01","영업/정상","1","인허가","","","","","0337418000","","26452","강원특별자치도 원주시 단구동 92-7","강원특별자치도 원주시 단구초교길 17 (단구동)","26452","(주)미래기술단","2018-11-08 11:01:58","I","2023-06-13 00:00:00","","285484.408473496","424920.677814291","설계업","전문설계업2종","","800000000",
"13","전력기술설계업체","09_28_13_P","6530000","201064200008500004","2010-01-29","","01","영업/정상","1","인허가","","","","","07078449713","","26465","강원특별자치도 원주시 반곡동 1886-1 701-1호","강원특별자치도 원주시 혁신로 53, 701-1호 (반곡동)","26465","주식회사 성우엔지니어링종합건축사사무소","2023-02-06 14:46:28","I","2023-06-13 00:00:00","","286792.280579079","425060.061384448","설계업","전문설계업2종","","50000000",
"14","전력기술설계업체","09_28_13_P","6530000","202064200008500001","2020-02-28","","01","영업/정상","1","인허가","","","","","0332611198","","24402","강원특별자치도 춘천시 동내면 거두리 1102-1 202호","강원특별자치도 춘천시 동내면 거두택지길 93-16, 2층 202호","24402","주식회사 동해","2022-05-27 14:51:54","I","2023-06-13 00:00:00","","266603.696507272","484015.651729039","설계업","전문설계업2종","","0",
"15","전력기술설계업체","09_28_13_P","6530000","202064200008500002","2020-04-01","","01","영업/정상","1","인허가","","","","","0337642850","","26460","강원특별자치도 원주시 반곡동 1809-11 엔터비즈타워 C동 807,808호","강원특별자치도 원주시 입춘로 45, 엔터비즈타워 C동 8층 807,808호 (반곡동)","26460","차인호 공간조명연구소","2024-02-26 10:46:51","U","2024-02-28 02:40:00","","286650.196160256","425529.258545694","설계업","전문설계업2종","","10000000",
"16","전력기술설계업체","09_28_13_P","6530000","202064200008500003","2020-05-14","","01","영업/정상","1","인허가","","","","","0336523532","","25477","강원특별자치도 강릉시 포남동 1090-17","강원특별자치도 강릉시 가작로 275 (포남동)","25477","윤주이엔지","2020-05-14 16:51:50","I","2023-06-13 00:00:00","","367804.200328505","475953.093958432","설계업","전문설계업2종","","0",
"17","전력기술설계업체","09_28_13_P","6530000","202164200008500001","2021-02-09","","01","영업/정상","1","인허가","","","","","0337461239","","26307","강원특별자치도 원주시 소초면 평장리 1301-3","강원특별자치도 원주시 소초면 섬배로 165","26307","(주)세명기술단","2025-01-23 10:01:47","U","2025-01-25 02:40:00","","286786.981631195","435749.376633004","설계업","전문설계업2종","","50000000",
"18","전력기술설계업체","09_28_13_P","6530000","202164200008500002","2021-03-02","","01","영업/정상","1","인허가","","","","","0338132777","","26464","강원특별자치도 원주시 반곡동 1913-12 강원혁신지식산업센터 402호,403호","강원특별자치도 원주시 세계로 9, 강원혁신지식산업센터 4층 402호,403호(반곡동)","26464","주식회사 에이원","2022-10-11 13:37:20","I","2023-06-13 00:00:00","","287584.773088221","425231.004067759","설계업","전문설계업1종","","30075300",
"19","전력기술설계업체","09_28_13_P","6530000","202164200008500004","2021-06-10","","01","영업/정상","1","인허가","","","","","0336512128","","25567","강원특별자치도 강릉시 포남동 1293-2 청송아파트 상가동 302,303호","강원특별자치도 강릉시 하평2길 6, 청송아파트 상가동 302,303호 (포남동)","25567","주식회사 이엘이엔지","2021-06-10 14:22:33","I","2023-06-13 00:00:00","","368520.022146793","476017.703927829","설계업","전문설계업1종","","50000000",
"20","전력기술설계업체","09_28_13_P","6530000","202164200008500005","2021-07-02","","01","영업/정상","1","인허가","","","","","0336443525","","25547","강원특별자치도 강릉시 포남동 1005-353 203호","강원특별자치도 강릉시 성덕포남로153번길 15, 203호(포남동)","25547","이원방재시스템","2021-07-02 14:08:34","I","2023-06-13 00:00:00","","368229.338039719","475325.023255059","설계업","전문설계업2종","","10000000",
"21","전력기술설계업체","09_28_13_P","6530000","202164200008500006","2021-07-14","","01","영업/정상","1","인허가","","","","","0339427172","","25549","강원특별자치도 강릉시 옥천동 369-4","강원특별자치도 강릉시 경강로 2193, 2층(옥천동)","25549","주식회사 윤이엔지","2021-07-14 17:50:47","I","2023-06-13 00:00:00","","367731.116868349","474864.747099951","설계업","전문설계업1종","","50000000",
"22","전력기술설계업체","09_28_13_P","6530000","202164200008500007","2021-12-22","","01","영업/정상","1","인허가","","","","","07077086066","","24758","강원특별자치도 고성군 토성면 청간리 44-11","강원특별자치도 고성군 토성면 아야진해변길 12","24758","주식회사 에스씨전력기술","2022-03-31 15:52:24","I","2023-06-13 00:00:00","","336072.929856062","530531.561392803","설계업","전문설계업2종","","50000000",
"23","전력기술설계업체","09_28_13_P","6530000","202264200008500001","2022-01-26","","01","영업/정상","1","인허가","","","","","0338007008","","24729","강원특별자치도 고성군 간성읍 하리 21-15 이화슈퍼","강원특별자치도 고성군 간성읍 간성로 69-1, 이화슈퍼 2층","24729","주식회사 한국엔지니어링","2025-09-08 16:51:00","U","2025-09-10 02:40:00","","328136.647455502","542816.424728519","설계업","전문설계업1종","","0",
"24","전력기술설계업체","09_28_13_P","6530000","202264200008500002","2022-02-23","","01","영업/정상","1","인허가","","","","","07050666360","","24632","강원특별자치도 인제군 인제읍 상동리 347-2","강원특별자치도 인제군 인제읍 인제로188번길 4, 2층","24632","주식회사 고려엔지니어링","2025-09-08 16:51:41","U","2025-09-10 02:40:00","","302735.359724817","507932.764721681","설계업","전문설계업1종","","50000000",
"25","전력기술설계업체","09_28_13_P","6530000","202264200008500004","2022-05-23","","01","영업/정상","1","인허가","","","","","0332449105","","25512","강원특별자치도 강릉시 교동 1875-2","강원특별자치도 강릉시 교동광장로100번길 17-3, 301호 (교동)","25512","주식회사 지케이엔지니어링건축사사무소","2025-09-10 09:18:24","U","2025-09-12 02:40:00","","365203.220988727","475417.863520365","설계업","전문설계업1종","","30000000",
"26","전력기술설계업체","09_28_13_P","6530000","202264200008500005","2022-06-24","","01","영업/정상","1","인허가","","","","","0334428798","","24140","강원특별자치도 화천군 하남면 용암리 1125-5 102호","강원특별자치도 화천군 하남면 춘화로 3268-2, 102호","24140","주식회사 에스에이치","2022-06-24 14:02:14","I","2023-06-13 00:00:00","","261272.379121373","510191.132044905","설계업","전문설계업2종","","10000000",
"27","전력기술설계업체","09_28_13_P","6530000","202264200008500006","2022-10-19","","01","영업/정상","1","인허가","","","","","0336528831","","25492","강원특별자치도 강릉시 포남동 1112-1","강원특별자치도 강릉시 강릉대로 369-9(포남동)","25492","주식회사 삼원전기","2022-10-19 13:28:36","I","2023-06-13 00:00:00","","367883.430496259","475697.681410634","설계업","전문설계업2종","","10000000",
"28","전력기술설계업체","09_28_13_P","6530000","202264200008500007","2022-10-19","","01","영업/정상","1","인허가","","","","","0336512128","","26023","강원특별자치도 태백시 황지동 215-7 2층","강원특별자치도 태백시 고원로 55 (황지동)","26023","주식회사 태백이엔지","2025-09-17 16:39:34","U","2025-09-19 02:40:00","","376523.073192718","408332.421012738","설계업","전문설계업2종","","50000000",
"29","전력기술설계업체","09_28_13_P","6530000","200564200008500004","2005-08-26","","01","영업/정상","1","인허가","","","","","","","24411","강원특별자치도 춘천시 신동면 팔미리 194-1","강원특별자치도 춘천시 신동면 모오리길 62","24411","주식회사 고려이엔씨","2025-09-08 11:01:48","U","2025-09-10 02:40:00","","261893.814056943","480433.805813828","설계업","전문설계업1종","","10000000",
"30","전력기술설계업체","09_28_13_P","6530000","202364200008500001","2023-03-17","","01","영업/정상","1","인허가","","","","","0335760102","","25926","강원특별자치도 삼척시 정상동 462-10 서울명문학원","강원특별자치도 삼척시 정상안1길 8-6, 서울명문학원 1층(정상동)","25926","주식회사 문엔지니어링","2024-01-25 09:22:08","U","2024-01-27 02:40:00","","392645.078450243","440342.331286241","설계업","전문설계업1종","","50000000",
"31","전력기술설계업체","09_28_13_P","6530000","200664200008500007","2006-07-25","","01","영업/정상","1","인허가","","","","","0337646982","","26431","강원특별자치도 원주시 원동 15-1","강원특별자치도 원주시 감영길 4(원동)","26431","주식회사 한성기술단","2022-12-08 18:37:21","I","2023-06-13 00:00:00","","284097.699830703","427636.282463587","설계업","전문설계업1종","대한민국","0",
"32","전력기술설계업체","09_28_13_P","6530000","200864200008500002","2008-05-23","","01","영업/정상","1","인허가","","","","","0332551997","","","","강원특별자치도 춘천시 춘천로 334 (후평동)","200-956","(주)진화기술공사","2018-06-26 10:04:53","I","2023-06-13 00:00:00","","265824.045528549","487019.167362156","설계업","전문설계업1종","대한민국","0",
"33","전력기술설계업체","09_28_13_P","6530000","200964200008500002","2009-02-24","","01","영업/정상","1","인허가","","","","","0337308810","","","","강원특별자치도 원주시 소초면 섬배로 109-10","220-833","(주)경원엔지니어링건축사사무소","2025-01-21 09:14:45","U","2025-01-23 02:40:00","","286264.502525824","435876.543068714","설계업","전문설계업1종","대한민국","0",
"34","전력기술설계업체","09_28_13_P","6530000","200164200008500001","2001-02-28","","01","영업/정상","1","인허가","","","","","0332639936","","","","강원특별자치도 춘천시 우석로38번길 75 (석사동)","200-936","삼성새전기","2013-07-15 15:42:53","I","2023-06-13 00:00:00","","266236.05371616","484596.144668486","설계업","전문설계업2종","대한민국","0",
"35","전력기술설계업체","09_28_13_P","6530000","201364200008500004","2013-11-05","","01","영업/정상","1","인허가","","","","","0336512010","","25480","강원특별자치도 강릉시 포남동 1228-1","강원특별자치도 강릉시 보래미하길 81 (포남동)","25480","금양테크 주식회사","2020-08-28 13:08:28","I","2023-06-13 00:00:00","","368557.944613059","476558.941525803","설계업","전문설계업1종","","50000000",
"36","전력기술설계업체","09_28_13_P","6530000","200364200008500002","2003-06-18","","01","영업/정상","1","인허가","","","","","0336253526","","210-954","강원특별자치도 강릉시 포남2동  1090번지 17호","강원특별자치도 강릉시 가작로 275 (포남동)","","주식회사 대주기술","2013-11-21 11:43:55","I","2023-06-13 00:00:00","","367804.200328505","475953.093958432","설계업","전문설계업1종","대한민국","0",
"37","전력기술설계업체","09_28_13_P","6530000","200664200008500009","2006-04-07","","01","영업/정상","1","인허가","","","","","0337633194","","26469","강원특별자치도 원주시 관설동 1765-3","강원특별자치도 원주시 치악고교길 19 (관설동)","26469","(주)한길이엔지","2018-07-30 18:08:17","I","2023-06-13 00:00:00","","285002.988247575","424204.340528183","설계업","전문설계업1종","","100000000",
"38","전력기술설계업체","09_28_13_P","6530000","201464200008500001","2014-11-27","","01","영업/정상","1","인허가","","","","","0336428601","","25473","강원특별자치도 강릉시 교동 457-1","강원특별자치도 강릉시 수리골길 67, 5층(교동)","25473","주식회사 삼주이앤텍","2023-03-16 14:33:51","I","2023-06-13 00:00:00","","367053.458303678","476510.397600118","설계업","전문설계업2종","","0",
"39","전력기술설계업체","09_28_13_P","6530000","200764200008500002","2007-06-11","","01","영업/정상","1","인허가","","","","","0337444267","","220-934","강원특별자치도 원주시 관설동   1740번지 3호","강원특별자치도 원주시 관설안길 3-18 (관설동)","","(주)도우엔지니어즈","2011-07-15 14:21:45","I","2023-06-13 00:00:00","","285236.346383166","424445.866334661","설계업","전문설계업2종","대한민국","0",
"40","전력기술설계업체","09_28_13_P","6530000","199764200008500001","1997-12-27","","01","영업/정상","1","인허가","","","","","0336477400","","","","강원특별자치도 강릉시 남구길 16-1 (포남동)","210-955","제일엔지니어링(주)","2013-07-16 11:38:30","I","2023-06-13 00:00:00","","","","설계업","전문설계업2종","대한민국","0",
"41","전력기술설계업체","09_28_13_P","6530000","199864200008500001","1998-03-14","","01","영업/정상","1","인허가","","","","","0335356080","","","","강원특별자치도 동해시 감추6길 33 (천곡동)","240-812","광운설계감리(주)","2014-08-22 14:45:02","I","2023-06-13 00:00:00","","387470.730530138","448398.408903926","설계업","전문설계업1종","대한민국","0",
"42","전력기술설계업체","09_28_13_P","6530000","199964200008500002","1999-02-06","","01","영업/정상","1","인허가","","","","","0335728544","","245-943","강원특별자치도 삼척시 원당동 184번지 1호","강원특별자치도 삼척시 원당로 7-16 (원당동)","245-943","(주)한일엔지니어링","2014-01-07 14:59:52","I","2023-06-13 00:00:00","","390616.134234061","439741.758027806","설계업","전문설계업1종","대한민국","0",
"43","전력기술설계업체","09_28_13_P","6530000","200064200008500002","2000-01-18","","01","영업/정상","1","인허가","","","","","0337441239","","26307","강원특별자치도 원주시 소초면 평장리 1301-3","강원특별자치도 원주시 소초면 섬배로 165","26307","(주)세명엔지니어링","2025-01-23 10:03:50","U","2025-01-25 02:40:00","","286786.981631195","435749.376633004","설계업","전문설계업1종","대한민국","0",
"44","전력기술설계업체","09_28_13_P","6530000","200064200008500001","2000-09-22","","01","영업/정상","1","인허가","","","","","0337440022","","","강원특별자치도 원주시 학성동 1057번지 14호","강원특별자치도 원주시 동진골1길 9-2 (학성동)","26417","선인엔지니어링","2015-10-01 10:50:04","I","2023-06-13 00:00:00","","283329.532451335","428164.772768333","설계업","전문설계업1종","대한민국","0",
"45","전력기술설계업체","09_28_13_P","6530000","200264200008500002","2002-04-22","","01","영업/정상","1","인허가","","","","","0332544144","","","","강원특별자치도 춘천시 신동면 모오리길 62","24411","(주)기술사사무소고려기술단","2017-01-23 10:05:01","I","2023-06-13 00:00:00","","261893.814056943","480433.805813828","설계업","전문설계업1종","대한민국","0",
"46","전력기술설계업체","09_28_13_P","6530000","200364200008500003","2003-09-29","","01","영업/정상","1","인허가","","","","","0337642813","","26379","강원특별자치도 원주시 단계동 1191-5","강원특별자치도 원주시 바우골길 8, 4층 404호 (단계동)","26379","(주)신화엔지니어링","2018-11-26 11:15:24","I","2023-06-13 00:00:00","","281253.308629373","428537.263268759","설계업","전문설계업1종","대한민국","0",
"47","전력기술설계업체","09_28_13_P","6530000","200464200008500003","2004-02-12","","01","영업/정상","1","인허가","","","","","0336511276","","25478","강원특별자치도 강릉시 포남동 1077-11","강원특별자치도 강릉시 보래미길 31 (포남동)","25478","다보이엔지 주식회사","2018-04-30 09:24:36","I","2023-06-13 00:00:00","","368147.038669189","476184.776758945","설계업","전문설계업2종","대한민국","0",
"48","전력기술설계업체","09_28_13_P","6530000","200464200008500001","2004-10-13","","01","영업/정상","1","인허가","","","","","0332632097","","","","강원특별자치도 춘천시 칠전동길 33 (칠전동)","200-220","전기기술사사무소 강원기술단","2013-07-15 15:09:26","I","2023-06-13 00:00:00","","262908.022548256","482303.558730394","설계업","전문설계업1종","대한민국","0",
"49","전력기술설계업체","09_28_13_P","6530000","200464200008500004","2004-10-16","","01","영업/정상","1","인허가","","","","","0332432994","","","","강원특별자치도 춘천시 중앙로134번길 12 (소양로4가)","200-114","(주)산이앤씨건축사사무소","2024-07-08 16:46:35","U","2024-07-10 02:40:00","","263294.503947687","486276.860309866","설계업","전문설계업2종","대한민국","10000000",
"50","전력기술설계업체","09_28_13_P","6530000","200464200008500002","2004-10-28","","01","영업/정상","1","인허가","","","","","0332542991","","","","강원특별자치도 춘천시 동내면 장안길 23-9","24407","주식회사 사조기술단","2017-08-08 13:38:47","I","2023-06-13 00:00:00","","267004.126906942","482999.436296518","설계업","전문설계업1종","대한민국","0",
"51","전력기술설계업체","09_28_13_P","6530000","200564200008500003","2005-04-21","","01","영업/정상","1","인허가","","","","","0337666337","","","","강원특별자치도 원주시 늘품로 158-1 (단구동)","220-942","주식회사 극동","2025-07-25 10:15:48","U","2025-07-27 02:40:00","","284968.616492258","425909.825102051","설계업","전문설계업1종","대한민국","0",
"52","전력기술설계업체","09_28_13_P","6530000","200664200008500001","2006-07-19","","01","영업/정상","1","인허가","","","","","0332553254","","","","강원특별자치도 춘천시 동면 금베이길 54","24212","전기기술사사무소 예강ENG","2017-02-09 14:02:15","I","2023-06-13 00:00:00","","268938.320218955","486168.794036901","설계업","전문설계업1종","대한민국","0",
"53","전력기술설계업체","09_28_13_P","6530000","201064200008500002","2010-08-16","","01","영업/정상","1","인허가","","","","","0332615303","","24211","","강원특별자치도 춘천시 동면 가산로 58-27","24211","가람이엔지(주)","2019-09-03 13:45:50","I","2023-06-13 00:00:00","","268922.47990333","489894.283675122","설계업","전문설계업1종","","51048000",
"54","전력기술설계업체","09_28_13_P","6530000","201164200008500001","2011-03-15","","01","영업/정상","1","인허가","","","","","0336437065","","","","강원특별자치도 강릉시 하슬라로 32 (홍제동)","210-949","(주)화신엔지니어링","2024-12-15 13:15:25","U","2024-12-17 02:40:00","","365452.863644426","474186.417082478","설계업","전문설계업1종","대한민국","500000000",
"55","전력기술설계업체","09_28_13_P","6530000","201164200008500002","2011-03-17","","01","영업/정상","1","인허가","","","","","0317300414","","217-810","강원특별자치도 속초시 동명동   466번지 42호 설악센트리움 712호","강원특별자치도 속초시 중앙로 190 (동명동,설악센트리움 712호)","","(주)정엔지니어링","2013-07-16 10:47:51","I","2023-06-13 00:00:00","","339470.15928513","523908.757554044","설계업","전문설계업1종","대한민국","150000000",
"56","전력기술설계업체","09_28_13_P","6530000","201164200008500005","2011-09-06","","01","영업/정상","1","인허가","","","","","0336519960","","25473","강원특별자치도 강릉시 교동 613-2","강원특별자치도 강릉시 율곡로 3060 (교동)","25473","(주)원엔지니어링","2017-12-20 14:28:55","I","2023-06-13 00:00:00","","366338.043536181","476420.188886527","설계업","전문설계업2종","","283211456",
"57","전력기술설계업체","09_28_13_P","6530000","201264200008500001","2012-05-30","","01","영업/정상","1","인허가","","","","","0332630489","","","","강원특별자치도 춘천시 공지로 178 (석사동)","200-934","(주)광장","2024-03-21 15:23:46","U","2024-03-23 02:40:00","","265406.386596906","484552.628667499","설계업","전문설계업1종","","0",
"58","전력기술설계업체","09_28_13_P","6530000","201364200008500001","2013-01-17","","01","영업/정상","1","인허가","","","","","07041514010","","210-920","강원특별자치도 강릉시 교2동  162번지 195호","강원특별자치도 강릉시 임영로 198 (교동)","210-920","선이엔지","2019-07-11 17:06:54","I","2023-06-13 00:00:00","","366669.450586933","474599.254533125","설계업","전문설계업2종","","10000000",
"59","전력기술설계업체","09_28_13_P","6530000","202465300008500005","2024-09-09","","01","영업/정상","1","인허가","","","","","0332519701","","24370","강원특별자치도 춘천시 퇴계동 343-64","강원특별자치도 춘천시 퇴계로77번길 14, 202호 (퇴계동)","24370","주식회사 디엠이엔씨","2025-06-12 14:12:14","U","2025-06-15 02:40:00","","264193.072027596","484839.539377084","설계업","전문설계업2종","","0",
"60","전력기술설계업체","09_28_13_P","6530000","202465300008500004","2024-06-07","","01","영업/정상","1","인허가","","","","","0336512780","","25480","강원특별자치도 강릉시 포남동 1059-9","강원특별자치도 강릉시 보래미하길 59 (포남동)","25480","주식회사 강일엔지니어링","2024-06-07 17:37:44","I","2024-06-09 00:14:18","","368432.822959854","476389.757090361","설계업","전문설계업2종","","10000000",
"61","전력기술설계업체","09_28_13_P","6530000","202465300008500002","2024-04-05","","01","영업/정상","1","인허가","","","","","03364344479","","25453","강원특별자치도 강릉시 대전동 435-1 비동","강원특별자치도 강릉시 사임당로 536, 비동 (대전동)","25453","디에스인 주식회사","2024-04-05 13:38:02","I","2024-04-07 00:15:21","","363014.950669853","477604.528737191","설계업","전문설계업2종","","10000000",
"62","전력기술설계업체","09_28_13_P","6530000","202465300008500001","2024-03-06","","01","영업/정상","1","인허가","","","","","","","24211","강원특별자치도 춘천시 동면 지내리 133-17","강원특별자치도 춘천시 동면 가산로 35","24211","이티에스 이엔지","2024-03-06 13:47:12","I","2024-03-08 00:15:56","","268660.226518239","489691.870419477","설계업","전문설계업1종","","0",
"63","전력기술설계업체","09_28_13_P","6530000","202565300008500006","2025-06-10","","01","영업/정상","1","인허가","","","","","0333459939","","25223","강원특별자치도 횡성군 횡성읍 북천리 115-56","강원특별자치도 횡성군 횡성읍 화성로 34, 2층","25223","주식회사 제이에스엔지니어링 건축사사무소","2025-07-03 14:58:43","U","2025-07-05 02:40:00","","287467.453545258","443941.235264624","설계업","전문설계업1종","","10000000",
"64","전력기술설계업체","09_28_13_P","6530000","202565300008500005","2025-05-21","","01","영업/정상","1","인허가","","","","","0337644922","","26393","강원특별자치도 원주시 무실동 1822-1","강원특별자치도 원주시 시청로 160-1, 303호 (무실동)","26393","주식회사 수인이앤씨","2025-05-21 09:47:12","I","2025-05-23 00:20:43","","282659.50914439","425930.884233817","설계업","전문설계업1종","","30000000",
"65","전력기술설계업체","09_28_13_P","6530000","202565300008500003","2025-03-10","","01","영업/정상","1","인허가","","","","","0333739090","","26236","강원특별자치도 영월군 영월읍 영흥리 902-5","강원특별자치도 영월군 영월읍 중앙로 88-1","26236","주식회사 서강","2025-03-10 13:17:18","I","2025-03-12 00:10:35","","330787.52192648","410067.880503461","설계업","전문설계업1종","","410000000",
"66","전력기술설계업체","09_28_13_P","6530000","202565300008500004","2025-04-16","","01","영업/정상","1","인허가","","","","","","","26472","강원특별자치도 원주시 관설동 1743-17","강원특별자치도 원주시 관설안길 3-17, 102호 (관설동)","26472","주식회사 성안이엔지","2025-04-16 10:55:54","I","2025-04-18 00:10:33","","285255.402005201","424460.070595367","설계업","전문설계업1종","","30000000",
"67","전력기술설계업체","09_28_13_P","6530000","202365300008500001","2023-12-12","","01","영업/정상","1","인허가","","","","","0337661933","","26490","강원특별자치도 원주시 단구동 1662-5","강원특별자치도 원주시 단관길 101, 201호 (단구동)","26490","주식회사 동강이앤씨","2025-03-11 11:27:46","U","2025-03-13 02:40:00","","284841.503699941","424758.509686163","설계업","전문설계업2종","","10000000",
"68","전력기술설계업체","09_28_13_P","6530000","202565300008500001","2025-01-20","","01","영업/정상","1","인허가","","","","","0337327554","","26460","강원특별자치도 원주시 반곡동 1809-11 엔터비즈타워 C동 1116호","강원특별자치도 원주시 입춘로 45, 엔터비즈타워 C동 11층 1116호 (반곡동)","26460","(주)이시에스컴","2025-04-22 15:34:39","U","2025-04-24 02:40:00","","286650.196160256","425529.258545694","설계업","전문설계업1종","","30000000",
"69","전력기술설계업체","09_28_13_P","6530000","201564200008500004","2015-11-17","","03","폐업","3","폐업","2018-06-01","","","","07045670350","","","강원특별자치도 원주시 무실동 1720번지 3호 금정타워 604호","강원특별자치도 원주시 시청로 10, 6층 604호 (무실동,금정타워)","26387","주식회사 건일종합기술","2018-06-01 09:35:02","I","2023-06-13 00:00:00","","281587.310311839","426905.813380922","설계업","전문설계업1종","","100000000",
"70","전력기술설계업체","09_28_13_P","6530000","201664200008500001","2016-01-12","","03","폐업","3","폐업","2018-10-31","","","","0338132777","","26392","강원특별자치도 원주시 무실동 1852-2","강원특별자치도 원주시 능라동길 75, 무실동 504호 (무실동)","26392","주식회사 에이원","2018-10-31 14:29:14","I","2023-06-13 00:00:00","","282345.463563421","426053.001948438","설계업","전문설계업1종","대한민국","36771144",
