"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","자본금의규모","사업자등록번호",
"11","후원방문판매업체","08_26_05_P","6530000","20136530000301000002","2013-08-12","","01","영업/정상","2","영업","","","","","0336383370","","24854","강원특별자치도 속초시 교동  ****번지 *호 서정빌딩*층 -호","강원특별자치도 속초시 청초호반로 ***, 서정빌딩 *층 (교동)","","아모레퍼시픽 속초점","2025-01-14 00:00:00","U","2025-01-16 02:40:00","","","","후원방문판매업","0","2270548642",
"12","후원방문판매업체","08_26_05_P","6530000","20156530000301000007","2015-07-10","","01","영업/정상","2","영업","","","","","0333742378","","","강원특별자치도 영월군 영월읍 하송리 ***번지 *호","강원특별자치도 영월군 영월읍 하송로 **, *층","","아모레 영월특약점","2025-01-14 00:00:00","U","2025-01-16 02:40:00","","329746.770079669","409684.212831459","후원방문판매업","0","7992100110",
"13","후원방문판매업체","08_26_05_P","6530000","20216530000301000022","2021-07-21","","01","영업/정상","2","영업","","","","","","","25769","강원특별자치도 동해시 천곡동  ***번지 *호 빈폴","강원특별자치도 동해시 중앙로 ***, 빈폴 *층 (천곡동)","","케이지씨라이프앤진 동해대리점","2025-02-18 00:00:00","U","2025-02-20 02:40:00","","","","후원방문판매업","0","7527700286",
"14","후원방문판매업체","08_26_05_P","6530000","20216530000301000025","2021-09-14","","01","영업/정상","2","영업","","","","","0337319370","","26450","강원특별자치도 원주시 단구동  ***번지 *호","강원특별자치도 원주시 치악로 ****, *층 (단구동)","","한국화장품 원주지사","2025-05-09 00:00:00","U","2025-05-11 02:40:00","","285076.68780838","425257.556312852","후원방문판매업","0","1685300597",
"15","후원방문판매업체","08_26_05_P","6530000","20236530000301000023","2023-03-23","","01","영업/정상","2","영업","","","","","","","25771","강원특별자치도 동해시 천곡동  ****번지 *호 ***호","강원특별자치도 동해시 동굴*길 **, ***호(천곡동)","","아모레퍼시픽 신동해점","2025-01-14 00:00:00","U","2025-01-16 02:40:00","","386818.908197527","448541.943639349","후원방문판매업","0","2162217845",
"16","후원방문판매업체","08_26_05_P","6530000","20136530000301000112","2013-08-20","","01","영업/정상","2","영업","","","","","0332519791","","200-080","강원특별자치도 춘천시 운교동  ***번지 **호 *층","강원특별자치도 춘천시 춘천로 ***, *층 (운교동)","","유니베라 춘천명동대리점","2022-06-16 00:00:00","I","2023-06-16 00:19:48","","264247.362489907","486209.622796805","후원방문판매업","0","2210990024",
"17","후원방문판매업체","08_26_05_P","6530000","20136530000301000113","2013-08-20","","01","영업/정상","2","영업","","","","","0332441550","","24440","강원특별자치도 춘천시 퇴계동  ***번지 *호","강원특별자치도 춘천시 영서로 ****, *층(퇴계동)","","유니베라 춘천대리점","2022-10-06 00:00:00","I","2023-06-16 00:19:48","","263546.219540296","484833.369695126","후원방문판매업","0","2211226217",
"18","후원방문판매업체","08_26_05_P","6530000","20136530000301000032","2013-08-20","","01","영업/정상","2","영업","","","","","0337426778","","26465","강원특별자치도 원주시 반곡동  ****번지 *호 S타워 ***호","강원특별자치도 원주시 혁신로 **, S타워 *층 ***호 (반곡동)","","(주)오휘화장품 원주지사","2024-05-22 00:00:00","U","2024-05-24 02:40:00","","286626.632274928","425144.763012916","후원방문판매업","0","2248150105",
"19","후원방문판매업체","08_26_05_P","6530000","20166530000301000005","2016-04-28","","01","영업/정상","2","영업","","","","","0332514800","","","강원특별자치도 춘천시 후평동  ***번지 *호","강원특별자치도 춘천시 삭주로 ***, *층 (후평동)","","유니베라 강원대리점","2022-06-16 00:00:00","I","2023-06-16 00:19:48","","265557.592468212","487250.721504236","후원방문판매업","0","2560800292",
"20","후원방문판매업체","08_26_05_P","6530000","20166530000301000009","2016-07-22","","01","영업/정상","2","영업","","","","","0332553306","","","강원특별자치도 춘천시 우두동  ***번지 *호 H빌딩","강원특별자치도 춘천시 충열로 *-**, *층 (우두동,H빌딩)","","(주)오휘화장품 춘천강북지사","2024-05-22 00:00:00","U","2024-05-24 02:40:00","","264145.821264696","489033.417169245","후원방문판매업","0","5398600384",
"21","후원방문판매업체","08_26_05_P","6530000","20166530000301000012","2016-10-25","","01","영업/정상","2","영업","","","","","0334355115","","","강원특별자치도 홍천군 홍천읍 진리 ***번지 *호","강원특별자치도 홍천군 홍천읍 꽃뫼로 ***, *층","","유니베라 홍천대리점","2022-06-16 00:00:00","I","2023-06-16 00:19:48","","278328.749617815","465865.812339164","후원방문판매업","0","3473300284",
"22","후원방문판매업체","08_26_05_P","6530000","20136530000301000186","2013-07-03","","01","영업/정상","2","영업","","","","","0336334917","","24872","강원특별자치도 속초시 조양동  ****번지 *호 신협빌딩*층","강원특별자치도 속초시 동해대로 ****, 신협빌딩 *층 (조양동)","","한국화장품속초상사","2025-05-12 00:00:00","U","2025-05-14 02:40:00","","339169.722060404","521964.120724557","후원방문판매업","0","2270123570",
"23","후원방문판매업체","08_26_05_P","6530000","20136530000301000188","2013-07-03","","01","영업/정상","2","영업","","","","","0335336013","","","강원특별자치도 동해시 천곡동  ****번지 삼익빌딩","강원특별자치도 동해시 중앙로 ***, *층 (천곡동,삼익빌딩)","","한국화장품 동해지사","2025-05-15 00:00:00","U","2025-05-17 02:40:00","","386828.62469421","448667.612774727","후원방문판매업","0","2220954152",
"24","후원방문판매업체","08_26_05_P","6530000","20176530000301000001","2017-03-30","","01","영업/정상","2","영업","","","","","0335739161","","","강원특별자치도 삼척시 남양동  ***번지 **호","강원특별자치도 삼척시 척주로 **, *층 (남양동)","","아모레퍼시픽 삼척특약점","2025-01-14 00:00:00","U","2025-01-16 02:40:00","","391648.158191861","440169.62447331","후원방문판매업","0","7611800468",
"25","후원방문판매업체","08_26_05_P","6530000","20206530000301000010","2020-03-26","","01","영업/정상","2","영업","","","","","0336389900","","24747","강원특별자치도 고성군 죽왕면 오호리 ***번지 **호 (주)강원심층수","강원특별자치도 고성군 죽왕면 심층수길 ***-**, (주)강원심층수","","주식회사강원심층수","2021-04-26 00:00:00","I","2023-06-16 00:19:48","","332984.870610822","537900.47336818","후원방문판매업","0","2278113069",
"26","후원방문판매업체","08_26_05_P","6530000","20206530000301000011","2020-04-01","","01","영업/정상","2","영업","","","","","","","26035","강원특별자치도 태백시 황지동  ***번지 **호","강원특별자치도 태백시 서학*길 ***-* (황지동)","","아모레퍼시픽 태백특약점","2025-01-14 00:00:00","U","2025-01-16 02:40:00","","376324.382947278","407788.544917884","후원방문판매업","0","5412001250",
"27","후원방문판매업체","08_26_05_P","6530000","20206530000301000012","2020-04-01","","01","영업/정상","2","영업","","","","","","","26448","강원특별자치도 원주시 개운동  ***번지 *호","강원특별자치도 원주시 단구로 ***, *층(개운동)","","아모레퍼시픽 원주특약점","2025-01-14 00:00:00","U","2025-01-16 02:40:00","","","","후원방문판매업","0","3731101219",
"28","후원방문판매업체","08_26_05_P","6530000","20206530000301000022","2020-06-24","","01","영업/정상","2","영업","","","","","0337442100","","26356","강원특별자치도 원주시 지정면 보통리 ***번지 *호","강원특별자치도 원주시 지정면 작압길 **-**","","(주)뉴랜드올네이처","2025-02-28 00:00:00","U","2025-03-02 02:40:00","","277002.465528668","427554.305783757","후원방문판매업","0","1298617617",
"29","후원방문판매업체","08_26_05_P","6530000","20206530000301000023","2020-07-14","","01","영업/정상","2","영업","","","","","0337425255","","26464","강원특별자치도 원주시 반곡동  ****번지 *호 *동 ***호","강원특별자치도 원주시 세계로 *, *동 ***호 (반곡동)","","럭셔리뷰티세계로점","2025-09-03 00:00:00","U","2025-09-05 02:40:00","","287539.742001693","425190.667312458","후원방문판매업","0","4050426066",
"30","후원방문판매업체","08_26_05_P","6530000","20136530000301000086","2013-08-20","","01","영업/정상","2","영업","","","","","0335331198","","25761","강원특별자치도 동해시 천곡동  ****번지 *호 동해빌딩*층","강원특별자치도 동해시 천곡로 **, 동해빌딩 *층 (천곡동)","","아모레퍼시픽 동해특약점","2025-01-14 00:00:00","U","2025-01-16 02:40:00","","386566.886550599","448915.044762052","후원방문판매업","0","8841100189",
"31","후원방문판매업체","08_26_05_P","6530000","20176530000301000011","2017-09-04","","01","영업/정상","2","영업","","","","","0336310609","","24842","강원특별자치도 속초시 청학동  ***번지 *호","강원특별자치도 속초시 번영로 ** (청학동)","","주식회사 오휘속초지사","2025-03-04 00:00:00","U","2025-03-06 02:40:00","","338721.714202415","523723.679468588","후원방문판매업","0","5538800744",
"32","후원방문판매업체","08_26_05_P","6530000","20176530000301000012","2017-09-19","","01","영업/정상","2","영업","","","","","","","24315","강원특별자치도 춘천시 석사동  **번지 *호","강원특별자치도 춘천시 세실로 ***-**, *층(석사동)","","유니베라춘천","2022-06-16 00:00:00","I","2023-06-16 00:19:48","","","","후원방문판매업","0","2210451929",
"33","후원방문판매업체","08_26_05_P","6530000","20206530000301000024","2020-08-03","","01","영업/정상","2","영업","","","","","","","26006","강원특별자치도 태백시 황지동  ***번지 **호","강원특별자치도 태백시 황지로 ***-* (황지동)","","오휘 태백지사","2024-08-14 00:00:00","U","2024-08-17 02:40:00","","","","후원방문판매업","0","5853400715",
"34","후원방문판매업체","08_26_05_P","6530000","20236530000301000031","2023-05-31","","01","영업/정상","2","영업","","","","","","","25924","강원특별자치도 삼척시 교동  ***번지 *호 신동아아파트 상가동 ***호","강원특별자치도 삼척시 정상로 **, 상가동 ***호 (교동, 신동아아파트)","","채움","2025-08-05 00:00:00","U","2025-08-07 02:40:00","","392461.531922764","440836.291924589","후원방문판매업","0","4083091245",
"35","후원방문판매업체","08_26_05_P","6530000","20226530000301000021","2022-03-18","","01","영업/정상","2","영업","","","","","0336330553","","24858","강원특별자치도 속초시 교동  ***번지 *호","강원특별자치도 속초시 수복로 **, *층(교동)","","럭셔리뷰티 속초중앙지사","2024-09-26 00:00:00","U","2024-09-28 02:40:00","","337903.873699954","522565.936668988","후원방문판매업","0","4050426066",
"36","후원방문판매업체","08_26_05_P","6530000","20136530000301000033","2013-08-20","","01","영업/정상","2","영업","","","","","0337667952","","26469","강원특별자치도 원주시 관설동  ****번지 *호","강원특별자치도 원주시 치악고교길 **, *층(관설동)","","엘지오휘 서원주점","2024-05-22 00:00:00","U","2024-05-24 02:40:00","","285019.586723012","424198.053231936","후원방문판매업","0","3040885362",
"37","후원방문판매업체","08_26_05_P","6530000","20226530000301000088","2022-12-27","","01","영업/정상","2","영업","","","","","0336335662","","24835","강원특별자치도 속초시 교동  ***번지 **호","강원특별자치도 속초시 교동로 *, *층(교동)","","아모레설악특약점","2025-01-14 00:00:00","U","2025-01-16 02:40:00","","338365.562855839","523060.173160863","후원방문판매업","0","2530402876",
"38","후원방문판매업체","08_26_05_P","6530000","20226530000301000089","2022-12-27","","01","영업/정상","2","영업","","","","","0336482508","","25492","강원특별자치도 강릉시 포남동  ****번지 **호 *반 한국레져타운 *호","강원특별자치도 강릉시 강릉대로 ***, 한국레져타운 *동 *층 *호 (포남동)","","아모레퍼시픽 신강릉","2025-01-14 00:00:00","U","2025-01-16 02:40:00","","","","후원방문판매업","0","1623801178",
"39","후원방문판매업체","08_26_05_P","6530000","20136530000301000038","2013-08-20","","01","영업/정상","2","영업","","","","","0335338010","","25775","강원특별자치도 동해시 천곡동  ****번지 *호","강원특별자치도 동해시 중앙로 ***, *층(천곡동)","","오휘화장품 동해지사","2024-05-22 00:00:00","U","2024-05-24 02:40:00","","387024.230912444","448260.715447722","후원방문판매업","0","2220944708",
"40","후원방문판매업체","08_26_05_P","6530000","20246530000301000023","2024-06-28","","01","영업/정상","2","영업","","","","","0336467240","","25471","강원특별자치도 강릉시 포남동  ***번지 *호","강원특별자치도 강릉시 수리골길 *-* (포남동)","","라비다샵 강릉","2025-01-31 00:00:00","U","2025-02-02 02:40:00","","367459.145793251","475994.315527276","후원방문판매업","0","8982901727",
"41","후원방문판매업체","08_26_05_P","6530000","20246530000301000015","2024-04-25","","01","영업/정상","2","영업","","","","","","","","강원특별자치도 원주시 판부면 서곡리 ****번지 *호 ***호","강원특별자치도 원주시 판부면 매봉길 **, ***호","","주식회사 오휘 동원주","2025-01-07 00:00:00","U","2025-01-09 02:40:00","","283459.057537266","424794.927184805","후원방문판매업","0","3848703212",
"42","후원방문판매업체","08_26_05_P","6530000","20256530000301000001","2025-04-09","","01","영업/정상","2","영업","","","","","","","26235","강원특별자치도 영월군 영월읍 하송리 ***번지 *호 ***-*호","강원특별자치도 영월군 영월읍 하송로 **, *층 ***-*호","","라비다샵 영월","2025-10-29 00:00:00","U","2025-10-31 02:40:00","","329798.202817649","409910.085548965","후원방문판매업","0","1880203432",
"43","후원방문판매업체","08_26_05_P","6530000","20236530000301000049","2023-10-19","","01","영업/정상","2","영업","","","","","","","26246","강원특별자치도 영월군 김삿갓면 와석리 ***번지 *호","강원특별자치도 영월군 김삿갓면 들모랭이길 ***","","럭셔리뷰티 영월점","2024-10-28 00:00:00","U","2024-10-30 02:40:00","","342398.156364702","403515.031722651","후원방문판매업","0","6206823734",
"44","후원방문판매업체","08_26_05_P","6530000","20246530000301000031","2024-12-19","","01","영업/정상","2","영업","","","","","","","25568","강원특별자치도 강릉시 포남동  ****번지 *호","강원특별자치도 강릉시 하평길 **, *층 (포남동)","","아모레퍼시픽강릉_신동해점","2025-07-02 00:00:00","U","2025-07-04 02:40:00","","368638.300706203","475860.454003571","후원방문판매업","0","2162217845",
"45","후원방문판매업체","08_26_05_P","6530000","20236530000301000045","2023-09-11","","03","폐업","4","폐업","2024-04-05","","","","","","25522","강원특별자치도 강릉시 홍제동  ****번지 *호 LH미디어촌*단지아파트 ***동 ****호","강원특별자치도 강릉시 선수촌로 **, ***동 ****호 (홍제동, LH미디어촌*단지아파트)","","미라클 인셀덤","2024-04-11 00:00:00","U","2024-04-13 02:40:00","","364511.120807502","473904.65492808","후원방문판매업","0","3952701637",
"46","후원방문판매업체","08_26_05_P","6530000","20236530000301000046","2023-09-11","","03","폐업","4","폐업","2025-01-06","","","","","","26331","강원특별자치도 원주시 봉산동  ****번지 *호 삼익아파트 ***동 ****호","강원특별자치도 원주시 행구로 **, ***동 ****호 (봉산동, 삼익아파트)","","아그데 아그데 인셀덤","2025-01-06 00:00:00","U","2025-01-08 02:40:00","","285549.818303034","427007.34995277","후원방문판매업","0","6461501963",
"47","후원방문판매업체","08_26_05_P","6530000","20236530000301000047","2023-09-11","","03","폐업","4","폐업","2025-01-06","","","","","","25737","강원특별자치도 동해시 평릉동  ***번지 *호 동해해안사랑으로부영 ***동 ****호","강원특별자치도 동해시 평원로 ***, ***동 ****호 (평릉동, 동해해안사랑으로부영)","","인셀덤 코리아","2025-01-06 00:00:00","U","2025-01-08 02:40:00","","386778.668029596","449993.232711718","후원방문판매업","0","6347900454",
"48","후원방문판매업체","08_26_05_P","6530000","20236530000301000048","2023-09-11","","03","폐업","4","폐업","2024-05-21","","","","","","25814","강원특별자치도 동해시 북평동  ***번지 *호 e편한세상동해 ***동 ***호","강원특별자치도 동해시 단봉길 **, ***동 ***호 (북평동, e편한세상 동해)","","인셀덤 코리아","2024-05-23 00:00:00","U","2024-05-25 02:40:00","","387641.262500153","443993.690106734","후원방문판매업","0","5953101383",
"49","후원방문판매업체","08_26_05_P","6530000","20236530000301000036","2023-07-17","","03","폐업","4","폐업","2025-01-06","","","","","","26352","강원특별자치도 원주시 지정면 가곡리 ****번지 *호 원주기업도시라온프라이빗 ***동 ****호","강원특별자치도 원주시 지정면 가곡로 ***, ***동 ****호 (원주기업도시 라온프라이빗)","","인셀덤 기배점","2025-01-06 00:00:00","U","2025-01-08 02:40:00","","277379.389310467","431624.383212252","후원방문판매업","0","5674800882",
"50","후원방문판매업체","08_26_05_P","6530000","20236530000301000037","2023-07-17","","03","폐업","4","폐업","2025-01-06","","","","","","26494","강원특별자치도 원주시 흥업면 흥업리 ****번지 *호 남원주두산위브 ***동 ****호","강원특별자치도 원주시 흥업면 북원로 ****, ***동 ****호 (남원주 두산위브)","","인셀덤 셀라대리점","2025-01-06 00:00:00","U","2025-01-08 02:40:00","","281326.952035437","421413.356698446","후원방문판매업","0","5835000835",
"51","후원방문판매업체","08_26_05_P","6530000","20236530000301000038","2023-07-17","","03","폐업","4","폐업","2023-12-07","","","","","","24343","강원특별자치도 춘천시 효자동  ***번지 **호 ***호","강원특별자치도 춘천시 공지로***번길 *-*, ***호 (효자동)","","인셀덤 럭키클로버","2023-12-07 00:00:00","U","2023-12-09 02:40:00","","265078.397885343","484734.52807525","후원방문판매업","0","2587200421",
"52","후원방문판매업체","08_26_05_P","6530000","20236530000301000039","2023-07-17","","03","폐업","4","폐업","2025-01-06","","","","","","26456","강원특별자치도 원주시 행구동  ****번지 *호 원주행구동골드클래스 ***동 ****호","강원특별자치도 원주시 영랑길 **, ***동 ****호 (행구동, 원주 행구동 골드클래스)","","에스쥐엠(SGM) the k-young","2025-01-06 00:00:00","U","2025-01-08 02:40:00","","","","후원방문판매업","0","3235200824",
"53","후원방문판매업체","08_26_05_P","6530000","20236530000301000040","2023-07-21","","03","폐업","4","폐업","2024-08-05","","","","","","25814","강원특별자치도 동해시 단봉동  **번지 *호 ELYSIUM ***동 ***호","강원특별자치도 동해시 구미택지*길 **, ***동 ***호 (단봉동, ELYSIUM)","","파이진동해박숙미대리점","2024-08-19 00:00:00","U","2024-08-21 02:40:00","","388017.203134617","443812.014769028","후원방문판매업","0","8210602504",
"54","후원방문판매업체","08_26_05_P","6530000","20236530000301000041","2023-07-21","","03","폐업","4","폐업","2024-08-12","","","","","","24765","강원특별자치도 고성군 토성면 봉포리 ***번지 *호 스위트엠상가 ***호","강원특별자치도 고성군 토성면 광포*길 *, 스위트엠상가 ***동 *층 ***호","","더(The) 예쁨","2024-08-19 00:00:00","U","2024-08-21 02:40:00","","336958.427900624","528399.701228777","후원방문판매업","0","5095700025",
"55","후원방문판매업체","08_26_05_P","6530000","20236530000301000042","2023-07-21","","03","폐업","4","폐업","2024-08-05","","","","","","25723","강원특별자치도 동해시 발한동  ***번지 *호 발한삼성아파트 ***동 ***호","강원특별자치도 동해시 해안로 ***, ***동 ***호 (발한동, 발한삼성아파트)","","파이진손현주대리점","2024-08-13 00:00:00","U","2024-08-15 02:40:00","","385785.180272701","452230.679107929","후원방문판매업","0","4421502225",
"56","후원방문판매업체","08_26_05_P","6530000","20236530000301000043","2023-07-21","","03","폐업","4","폐업","2024-08-09","","","","","","","강원특별자치도 속초시 교동  ***번지 **호","강원특별자치도 속초시 동해대로 ****-*, *층 (교동)","","립앤아이","2024-08-19 00:00:00","U","2024-08-21 02:40:00","","337616.551779271","522986.098277513","후원방문판매업","0","8154200305",
"57","후원방문판매업체","08_26_05_P","6530000","20136530000301000049","2013-08-20","","03","폐업","4","폐업","","","","","0000000000","","245-080","강원특별자치도 삼척시 교동  ***번지 *호","강원특별자치도 삼척시 청석로 *-** (교동)","","뉴랜드알로에 삼척본부","2017-06-08 00:00:00","I","2023-06-16 00:19:48","","392051.119971492","440765.787383513","후원방문판매업","0","",
"58","후원방문판매업체","08_26_05_P","6530000","20136530000301000051","2013-08-20","","03","폐업","4","폐업","","","","","0000000000","","200-957","강원특별자치도 춘천시 후평동  ***번지 *호 ***호","강원특별자치도 춘천시 공단로 **, ***호 (후평동)","","김정문알로에 춘천지사","2017-06-07 00:00:00","I","2023-06-16 00:19:48","","265901.189684597","487462.910139265","후원방문판매업","0","",
"59","후원방문판매업체","08_26_05_P","6530000","20136530000301000052","2013-08-20","","03","폐업","4","폐업","","","","","0000000000","","200-945","강원특별자치도 춘천시 퇴계동  ***번지 *호","강원특별자치도 춘천시 남춘로**번길 ** (퇴계동)","","김정문알로에 춘천남부지부","2017-06-07 00:00:00","I","2023-06-16 00:19:48","","264770.630202539","484484.651327749","후원방문판매업","0","",
"60","후원방문판매업체","08_26_05_P","6530000","20136530000301000053","2013-08-20","","03","폐업","4","폐업","","","","","0000000000","","200-950","강원특별자치도 춘천시 효자동  ***번지 **호","강원특별자치도 춘천시 춘천로 ***-* (효자동)","","김정문알로에 동부지사","2017-06-07 00:00:00","I","2023-06-16 00:19:48","","265180.276300152","486528.606721984","후원방문판매업","0","",
"61","후원방문판매업체","08_26_05_P","6530000","20136530000301000054","2013-08-20","","03","폐업","4","폐업","","","","","0337616711","","220-090","강원특별자치도 원주시 단구동  ****번지 *호","강원특별자치도 원주시 늘품로 *, ***호 (단구동)","","김정문알로에 원주제일지사","2017-06-07 00:00:00","I","2023-06-16 00:19:48","","284070.986939007","424757.402235404","후원방문판매업","0","2240863271",
"62","후원방문판매업체","08_26_05_P","6530000","20136530000301000055","2013-08-20","","03","폐업","4","폐업","","","","","0000000000","","220-938","강원특별자치도 원주시 단계동  ***번지","강원특별자치도 원주시 평원초교길 * (단계동)","","김정문알로에 신원주지사","2017-06-07 00:00:00","I","2023-06-16 00:19:48","","282279.685370983","427985.321989713","후원방문판매업","0","",
"63","후원방문판매업체","08_26_05_P","6530000","20136530000301000056","2013-08-20","","03","폐업","4","폐업","","","","","0000000000","","220-931","강원특별자치도 원주시 개운동  ***번지 *호","강원특별자치도 원주시 치악로 **** (개운동)","","김정문알로에 남부지사","2017-06-07 00:00:00","I","2023-06-16 00:19:48","","284573.519911132","427243.433291277","후원방문판매업","0","",
"64","후원방문판매업체","08_26_05_P","6530000","20136530000301000057","2013-08-20","","03","폐업","4","폐업","","","","","0000000000","","220-761","강원특별자치도 원주시 명륜동  ***번지","강원특별자치도 원주시 무실로 *** (명륜동)","","김정문알로에 나래지점","2017-06-07 00:00:00","I","2023-06-16 00:19:48","","283383.087355804","427002.92589923","후원방문판매업","0","",
"65","후원방문판매업체","08_26_05_P","6530000","20136530000301000058","2013-08-20","","03","폐업","4","폐업","2018-11-30","","","","0330000000","","25568","강원특별자치도 강릉시 포남동  ****번지 *호","강원특별자치도 강릉시 경강로****번길 ** (포남동)","","김정문알로에 참빛지사","2018-12-10 00:00:00","I","2023-06-16 00:19:48","","368336.685631333","475886.085241445","후원방문판매업","0","2261117661",
"66","후원방문판매업체","08_26_05_P","6530000","20136530000301000059","2013-08-20","","03","폐업","4","폐업","2023-04-10","","","","","","24399","강원특별자치도 춘천시 동내면 거두리 ***번지 **호","강원특별자치도 춘천시 동내면 금촌로 ***-*","","뉴랜드알로에 후평지사","2023-04-10 00:00:00","I","2023-06-16 00:19:48","","","","후원방문판매업","0","2221461787",
"67","후원방문판매업체","08_26_05_P","6530000","20136530000301000167","2013-08-20","","03","폐업","4","폐업","","","","","0000000000","","233-804","강원특별자치도 정선군 정선읍 봉양리 ***번지 *호","강원특별자치도 정선군 정선읍 봉양*길 **","","마임 정선지사","2017-06-08 00:00:00","I","2023-06-16 00:19:48","","347268.429478164","432289.056618965","후원방문판매업","0","",
"68","후원방문판매업체","08_26_05_P","6530000","20136530000301000168","2013-08-20","","03","폐업","4","폐업","","","","","0000000000","","232-912","강원특별자치도 평창군 대화면 대화리 ***번지 *호","강원특별자치도 평창군 대화면 대화중앙로 **","","마임 평창대화지사","2017-06-08 00:00:00","I","2023-06-16 00:19:48","","328764.030958333","444547.268484765","후원방문판매업","0","",
