"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"15","국제회의기획업","03_08_01_P","4181000","CDFI2263102025000001","2025-04-21","","01","영업/정상","13","영업중","","","","","033-255-0920","","","강원특별자치도 춘천시 중앙로1가 53 강원일보사","강원특별자치도 춘천시 중앙로 23, 강원일보사 1층 (중앙로1가)","24346","주식회사 윈클루","2025-04-21 15:47:25","I","2025-04-23 00:10:38","","264059.690517466","486908.838008865","국제회의기획업","","일반상업지역","0","","","","사무실","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","250000000","","","","0",
"16","국제회의기획업","03_08_01_P","4181000","CDFI2263102024000002","2024-11-20","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 후평동 558-1","강원특별자치도 춘천시 후석로420번길 7, 춘천하이테크타워 4층 431,432호 (후평동)","24232","주식회사 위드이노베이션","2025-06-09 14:05:54","U","2025-06-12 02:40:00","","265474.842593179","487512.552718902","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","150000000","","","","0",
"17","국제회의기획업","03_08_01_P","4191000","CDFI2263102013000001","2013-04-24","","03","폐업","03","폐업","2021-01-15","","","","033-731-3649","","220-962","강원특별자치도 원주시 태장동 1720-19","강원특별자치도 원주시 태장공단길 42-7 (태장동)","26311","(주)엠디마노","2021-01-19 08:58:38","I","2023-06-13 00:00:00","","283837.822409253","434153.652399319","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","330","","0","","","","","","","454555072","","","","330",
"18","국제회의기획업","03_08_01_P","4191000","CDFI2263102013000002","2013-04-24","","03","폐업","03","폐업","2018-06-30","","","","033-734-6066","","220-702","강원특별자치도 원주시 우산동 660 상지대학교 창업보육센터 502호","강원특별자치도 원주시 상지대길 83, 502호 (우산동, 창업보육센터)","26339","주식회사 녹색성장","2020-12-31 15:59:12","I","2023-06-13 00:00:00","","282151.822954944","430257.366976729","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","99.17","","0","","","","","","","305257632","","","","99",
"19","국제회의기획업","03_08_01_P","4191000","CDFI2263102020000001","2020-08-19","","01","영업/정상","13","영업중","","","","","033-766-9948","","","강원특별자치도 원주시 소초면 흥양리 904-1","강원특별자치도 원주시 소초면 황골로 220-12","26310","T.K엔터테인먼트","2023-03-08 12:19:38","I","2023-06-13 00:00:00","","288012.338972627","431253.320405359","국제회의기획업","","","0","","","","","0","0","0","0","T.K Entertainment","International Conference Planning Business","0","0","","0","0","","0","0","","0","","","","","","","100000000","","","","0",
"20","국제회의기획업","03_08_01_P","4191000","CDFI2263102017000001","2017-07-18","","01","영업/정상","13","영업중","","","","","033-766-0728","","","강원특별자치도 원주시 흥업면 사제리 산 155","강원특별자치도 원주시 흥업면 광터길 139, 가동","26356","(주)제넥스","2021-12-07 10:36:26","I","2023-06-13 00:00:00","","","","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","165051584","","","","0",
"21","국제회의기획업","03_08_01_P","4191000","CDFI2263102017000002","2017-07-18","","01","영업/정상","13","영업중","","","","","033-766-0762","","","강원특별자치도 원주시 반곡동 1913-12 강원혁신지식산업센터 705호","강원특별자치도 원주시 세계로 9, 강원혁신지식산업센터 705호 (반곡동)","26464","픽스미디어","2022-01-03 16:13:34","I","2023-06-13 00:00:00","","287584.773088221","425231.004067759","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"22","국제회의기획업","03_08_01_P","4191000","CDFI2263102017000003","2017-11-07","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 무실동 1846-1","강원특별자치도 원주시 능라동길 26, 메인스퀘어 201호 (무실동)","26392","노아투어컴퍼니 유한회사","2022-02-10 17:44:07","I","2023-06-13 00:00:00","","282194.991220526","426057.504419949","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","","","","0",
"23","국제회의기획업","03_08_01_P","4191000","CDFI2263102018000001","2018-01-02","","01","영업/정상","13","영업중","","","","","033-765-3250","","","강원특별자치도 원주시 반곡동 1140-2","강원특별자치도 원주시 동부순환로 31 (반곡동)","26459","주식회사 케이에스씨","2018-03-23 16:05:01","I","2023-06-13 00:00:00","","285991.071753162","424609.97265128","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"24","국제회의기획업","03_08_01_P","4191000","CDFI2263102018000002","2018-11-26","","01","영업/정상","13","영업중","","","","","003307344888","","","강원특별자치도 원주시 행구동 153-3","강원특별자치도 원주시 고문골길 42 (행구동)","26455","주식회사 제이엠컴퍼니","2018-11-26 09:23:23","I","2023-06-13 00:00:00","","289012.71544967","427036.999726336","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","","","","0",
"25","국제회의기획업","03_08_01_P","4191000","CDFI2263102019000001","2019-05-28","","01","영업/정상","13","영업중","","","","","033-911-6633","","","강원특별자치도 원주시 단구동 1599-4 원주프리미엄아울렛 F304호","강원특별자치도 원주시 서원대로 500, 원주프리미엄아울렛 F304호 (단구동)","26487","주식회사 아토즈플래닝","2022-06-15 16:21:25","I","2023-06-13 00:00:00","","284818.874360771","425225.032426821","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","","","","0",
"26","국제회의기획업","03_08_01_P","4191000","CDFI2263102025000001","2025-04-03","","01","영업/정상","13","영업중","","","","","033-766-0763","","","강원특별자치도 원주시 반곡동 1913-12 강원혁신지식산업센터","강원특별자치도 원주시 세계로 9, 강원혁신지식산업센터 703호 (반곡동)","26464","주식회사 미드온씨앤엠","2025-04-03 10:31:30","I","2025-04-05 00:10:22","","287584.773088221","425231.004067759","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","","","","0",
"27","국제회의기획업","03_08_01_P","4191000","CDFI2263102023000001","2023-12-18","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 행구동 1473","강원특별자치도 원주시 오리현길 176 (행구동)","26456","주식회사 제이쓰리컴퍼니","2025-10-16 13:34:44","U","2025-10-18 02:40:00","","287240.862521295","426560.179174586","국제회의기획업","","준주거지역","15","","","","기타","15","0","0","0","J3COMPANY Inc.","International conference planning business","0","0","","0","0","","0","305.91","","0","","","","","","","105000000","","","","306",
"28","국제회의기획업","03_08_01_P","4201000","CDFI2263102019000001","2015-07-20","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 명주동 53-2 2층","강원특별자치도 강릉시 경강로 2023, 2층 (명주동)","25535","주식회사 마케팅그룹티엔씨","2019-09-26 17:34:38","I","2023-06-13 00:00:00","","366559.223990372","473627.061206311","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","150000000","","","","0",
"29","국제회의기획업","03_08_01_P","4201000","CDFI2263102022000001","2022-04-27","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 포남동 1179-17","강원특별자치도 강릉시 성덕포남로162번길 13, 1층 (포남동)","25571","씨에스타투어 주식회사","2025-03-24 18:26:06","U","2025-03-26 02:40:00","","368379.134943245","475618.453424966","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"30","국제회의기획업","03_08_01_P","4201000","CDFI2263102023000001","2023-10-11","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 임당동 85-8","강원특별자치도 강릉시 경강로 2091, 3층 (임당동)","25532","주식회사 지씨티기획","2023-10-11 07:58:19","I","2023-10-13 00:17:42","","366992.227673177","474157.258595455","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","","","","0",
"31","국제회의기획업","03_08_01_P","4221000","CDFI2263102025000001","2025-04-03","","01","영업/정상","13","영업중","","","","","033-554-0620","","","강원특별자치도 태백시 황지동 61-3","강원특별자치도 태백시 황지로 93, 2층 (황지동)","26015","주식회사 이지영디자인","2025-04-09 13:16:50","U","2025-04-11 02:40:00","","376828.916226645","409108.376675818","국제회의기획업","","","0","","","SGI서울보증","","0","0","0","0","Easy-Young Design Inc.","International conference planning business","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"32","국제회의기획업","03_08_01_P","4261000","CDFI2263102024000001","2024-02-23","","01","영업/정상","13","영업중","","","","","033-345-9201","","","강원특별자치도 횡성군 횡성읍 읍상리 649-6","강원특별자치도 횡성군 횡성읍 향교서로 4-1","25227","주식회사 코끼리","2024-02-23 10:58:00","I","2024-02-25 00:15:57","","287666.133226852","443213.99406198","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","200000000","","","","0",
"33","국제회의기획업","03_08_01_P","4281000","CDFI2263102020000001","2017-05-17","","03","폐업","03","폐업","2023-06-20","","","","","","","강원특별자치도 평창군 봉평면 창동리 287-1","강원특별자치도 평창군 봉평면 기풍2길 9","25303","주식회사 위앤라이","2023-06-22 17:59:33","U","2023-06-24 02:40:00","","321707.011563735","457896.397867451","국제회의기획업","","","0","","","","","0","0","0","0","The New Horizon Co.,Ltd.","International Conference Planning Service","0","0","","0","0","","0","0","","0","","","","","","","300000000","","","","0",
"34","국제회의기획업","03_08_01_P","4281000","CDFI2263102014000001","2014-05-23","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 평창군 대관령면 용산리 425 알펜시아 리조트","강원특별자치도 평창군 대관령면 솔봉로 325, 알펜시아 리조트 201동 1층 106호","25351","주식회사 엠피씨","2020-02-19 10:53:56","I","2023-06-13 00:00:00","","345786.815844836","462590.554819645","국제회의기획업","","","1","","","","근린생활시설","0","0","0","0","","","0","0","","0","0","","0","100.92","","0","","","","","","","423477440","","","","101",
"35","국제회의기획업","03_08_01_P","4281000","CDFI2263102019000001","2019-06-05","","01","영업/정상","13","영업중","","","","","033-350-2018","","","강원특별자치도 평창군 대관령면 횡계리 364-1 2018 평창 동계올림픽 조직위원회","강원특별자치도 평창군 대관령면 올림픽로 108-27, 2018 평창 동계올림픽 조직위원회 1층","25347","재단법인 2018평창 기념재단","2019-06-05 10:03:50","I","2023-06-13 00:00:00","","350192.502933508","464491.694787984","국제회의기획업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","38282760000","","","","0",
