"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","점포구분명",
"11","대규모점포","08_25_01_P","4181000","2005418016607500001","2005-11-03","","01","영업/정상","1","정상영업","","","","","033 240 1052","9722.01","200-938","강원특별자치도 춘천시 온의동 511번지","강원특별자치도 춘천시 경춘로 2353 (온의동)","200-938","(주)이마트 춘천점","2024-04-16 18:10:47","U","2024-04-18 02:40:00","대형마트","263141.943193102","484821.289677657","대규모점포",
"12","대규모점포","08_25_01_P","4181000","2011418018507500001","2011-02-25","","01","영업/정상","1","정상영업","","","","","242-5004","8086","200-112","강원특별자치도 춘천시 소양로2가 172번지 1호","강원특별자치도 춘천시 서부대성로 12 (소양로2가, 서부시장)","200-112","춘천서부시장","2019-10-15 15:09:47","I","2023-06-13 00:00:00","그 밖의 대규모점포","263675.833817836","487157.336209289","대규모점포",
"13","대규모점포","08_25_01_P","4181000","2012418022907500001","2012-03-26","","01","영업/정상","1","정상영업","","","","","033-252-6900","314.05","200-969","강원특별자치도 춘천시 후평2동 692번지 6호","강원특별자치도 춘천시 춘천로 306-5 (후평동)","200-969","GS수퍼마켓 춘천후평점","2012-07-26 11:53:23","I","2023-06-13 00:00:00","그 밖의 대규모점포","265652.823236414","486777.473538161","준대규모점포",
"14","대규모점포","08_25_01_P","4181000","2013418022907500001","2008-12-17","","01","영업/정상","1","정상영업","","","","","033-264-3802","6447.28","","","강원특별자치도 춘천시 지석로 11 (퇴계동)","200-943","춘천철원화천양구축산농협 하나로마트(퇴계점)","2020-06-17 16:05:20","I","2023-06-13 00:00:00","대형마트","264838.52203719","483744.542704867","대규모점포",
"15","대규모점포","08_25_01_P","4181000","2014418027707500001","2004-08-31","","01","영업/정상","1","정상영업","","","","","033-243-8106","413.57","","","강원특별자치도 춘천시 경춘로 2342 (온의동)","200-938","춘천철원화천양구축산농협 하나로마트 (강남점)","2020-06-17 17:07:20","I","2023-06-13 00:00:00","구분없음","263244.686473259","484697.696269724","준대규모점포",
"16","대규모점포","08_25_01_P","4181000","2015418027707500001","1960-08-16","","01","영업/정상","1","정상영업","","","","","033-254-2558","9014","","강원특별자치도 춘천시 중앙로2가 42-68","강원특별자치도 춘천시 중앙로77번길 4-4 (중앙로2가)","24354","춘천중앙시장 (주)","2025-04-23 15:59:37","U","2025-04-25 02:40:00","복합쇼핑몰","263778.629199641","486455.739323481","대규모점포",
"17","대규모점포","08_25_01_P","4181000","2016418027707500001","2016-03-14","","01","영업/정상","1","정상영업","","","","","0332519352","3820.61","200-853","강원특별자치도 춘천시 동면 장학리 산 35번지 2호","강원특별자치도 춘천시 건일길 79","200-853","엠에스리테일","2017-06-21 17:08:42","I","2023-06-13 00:00:00","대형마트","266666.985605448","487881.87763029","대규모점포",
"18","대규모점포","08_25_01_P","4181000","2020418034907500001","2020-03-05","","01","영업/정상","1","정상영업","","","","","033-252-3000","3493.65","","강원특별자치도 춘천시 퇴계동 381번지 1호 롯데슈퍼","강원특별자치도 춘천시 영서로 2195, 롯데슈퍼 (퇴계동)","24445","롯데슈퍼 춘천점","2024-11-12 13:14:19","U","2024-11-14 02:40:00","구분없음","264048.38885859","484444.290618198","준대규모점포",
"19","대규모점포","08_25_01_P","4181000","2022418034907500001","2022-08-31","","01","영업/정상","1","정상영업","","","","","033-269-0100","25063.95","","강원특별자치도 춘천시 온의동 575 춘천 센트럴타워 푸르지오","강원특별자치도 춘천시 방송길 77(온의동, 춘천 센트럴타워 푸르지오)","24363","춘천 센트럴타워 푸르지오 프리미엄몰","2024-05-08 10:13:07","U","2024-05-10 02:40:00","그 밖의 대규모점포","263345.431242431","485397.525389929","대규모점포",
"20","대규모점포","08_25_01_P","4181000","2023418039207500001","2023-03-02","","01","영업/정상","1","정상영업","","","","","02-2006-2747","253.62","","강원특별자치도 춘천시 온의동 593","강원특별자치도 춘천시 스포츠타운길 459, 춘천센트럴파크플라자 (온의동)","24428","GS THE FRESH 춘천온의점","2025-04-18 13:53:14","U","2025-04-20 02:40:00","구분없음","262227.458407332","485293.745684132","준대규모점포",
"21","대규모점포","08_25_01_P","4181000","2014418027707500002","2004-08-31","","03","폐업","3","폐업처리","2024-04-05","","","","033-252-3211","429","","","강원특별자치도 춘천시 후석로 436 (후평동)","200-959","춘천철원화천양구축산농협 하나로마트 (공단점)","2024-04-05 16:09:16","U","2024-04-07 02:40:00","구분없음","265333.764226926","487564.100535317","준대규모점포",
"22","대규모점포","08_25_01_P","4181000","2019418034907500001","2019-08-20","","03","폐업","3","폐업처리","2023-01-03","","","","033258-8121","282","","강원특별자치도 춘천시 중앙로3가 61번지 농협중앙회강원지역본부","강원특별자치도 춘천시 중앙로 105, 농협중앙회강원지역본부 (중앙로3가)","24358","하나로마트 강원지역본부점","2023-01-17 17:50:22","I","2023-06-13 00:00:00","구분없음","263591.901797558","486256.984750418","준대규모점포",
"23","대규모점포","08_25_01_P","4181000","2019418034907500002","2019-08-20","","01","영업/정상","5","영업개시전","","","","","033)258-8114","212","","강원특별자치도 춘천시 중앙로3가 61번지 농협중앙회강원지역본부","강원특별자치도 춘천시 중앙로 105, 농협중앙회강원지역본부 (중앙로3가)","24358","하나로마트 강원지역본부점","2023-01-17 17:51:48","I","2023-06-13 00:00:00","구분없음","263591.901797558","486256.984750418","준대규모점포",
"24","대규모점포","08_25_01_P","4181000","2025418108107500001","2025-08-11","","01","영업/정상","5","영업개시전","","","","","033-252-3211","786.84","","강원특별자치도 춘천시 후평동 244-34","강원특별자치도 춘천시 후석로440번길 10 (후평동)","24232","춘천철원화천양구축산농협 하나로마트(후평점)","2025-08-11 15:10:21","I","2025-08-13 00:20:02","구분없음","265400.35106042","487577.815703786","준대규모점포",
"25","대규모점포","08_25_01_P","4191000","1991419007907500003","1991-03-26","","01","영업/정상","1","정상영업","","","","","033-762-4030","8120.83","","강원특별자치도 원주시 명륜동 408호","강원특별자치도 원주시 예술관길 10 (명륜동)","220-948","도영쇼핑센타","2011-12-22 14:57:20","I","2023-06-13 00:00:00","그 밖의 대규모점포","283499.859175004","426218.270035789","준대규모점포",
"26","대규모점포","08_25_01_P","4191000","1997419007907500002","1997-08-29","","01","영업/정상","1","정상영업","","","","","033-749-1205","8136.9","220-150","강원특별자치도 원주시 무실동 1062번지 1호 외3필지","강원특별자치도 원주시 북원로 1928 (무실동)","220-150","(주)이마트원주점","2024-05-08 11:10:13","U","2024-05-10 02:40:00","대형마트","281366.703634706","424684.582635502","대규모점포",
"27","대규모점포","08_25_01_P","4191000","2001419000007500001","2001-06-27","","01","영업/정상","1","정상영업","","","","","033-749-8888","3495.91","","강원특별자치도 원주시 단계동 803번지 2호 원주원예농협하나로클럽","강원특별자치도 원주시 무실로 182, 원주원예농협하나로클럽 (단계동)","26434","원주원예농협하나로클럽","2019-08-23 09:23:10","I","2023-06-13 00:00:00","쇼핑센터","283125.943357781","426975.404734288","대규모점포",
"28","대규모점포","08_25_01_P","4191000","2003419011507500001","2003-09-05","","01","영업/정상","1","정상영업","","","","","033-761-7902","5669","","강원특별자치도 원주시 단구동 1599-1호","강원특별자치도 원주시 서원대로 500 (단구동)","220-965","원주 프리미엄 아울렛","2011-12-22 14:50:13","I","2023-06-13 00:00:00","전문점","284818.874360771","425225.032426821","대규모점포",
"29","대규모점포","08_25_01_P","4191000","2004419020307500001","2004-03-16","","01","영업/정상","1","정상영업","","","","","033 764 1262","1877.2","220-930","강원특별자치도 원주시 개운동 118번지 2호 외1","강원특별자치도 원주시 치악로 1781 (개운동,외1)","","롯데쇼핑(주)롯데슈퍼원주점","2025-05-20 15:54:49","U","2025-05-22 02:40:00","복합쇼핑몰","284548.772950682","427027.162385187","준대규모점포",
"30","대규모점포","08_25_01_P","4191000","2006419015307500001","2006-02-08","","01","영업/정상","1","정상영업","","","","","033-732-6501","2809.46","220-903","강원특별자치도 원주시 중앙동 42번지 3호","강원특별자치도 원주시 자유시장길 28 (중앙동)","220-903","중앙시민전통시장","2021-03-12 16:40:13","I","2023-06-13 00:00:00","시장","284072.32267231","428160.288733114","대규모점포",
"31","대규모점포","08_25_01_P","4191000","2011419020307500001","2011-12-27","","01","영업/정상","1","정상영업","","","","","033-749-2500","12044.4","220-100","강원특별자치도 원주시 단계동 1123번지","강원특별자치도 원주시 봉화로 1 (단계동)","220-100","롯데쇼핑(주)롯데마트 원주점","2025-05-21 16:38:00","U","2025-05-23 02:40:00","대형마트","282120.73395865","427477.545400161","대규모점포",
"32","대규모점포","08_25_01_P","4191000","2012419020307500001","2012-04-06","","01","영업/정상","1","정상영업","","","","","03381150000","27718.69","220-100","강원특별자치도 원주시 단계동 1123번지 원주시티쇼핑몰","강원특별자치도 원주시 봉화로 1 (단계동,원주시티쇼핑몰)","","에이케이플라자(주) 원주점","2024-12-30 15:03:59","U","2025-01-01 02:40:00","쇼핑센터","282120.73395865","427477.545400161","대규모점포",
"33","대규모점포","08_25_01_P","4191000","2012419020307500002","2012-07-06","","01","영업/정상","1","정상영업","","","","","033-649-8027","18737.35","220-934","강원특별자치도 원주시 관설동 1453번지","강원특별자치도 원주시 치악로 1489 (관설동)","","홈플러스 원주점","2024-03-06 16:26:41","U","2024-03-08 02:40:00","대형마트","285677.402683418","424408.068770392","대규모점포",
"34","대규모점포","08_25_01_P","4191000","2018419024107500001","2018-05-21","","01","영업/정상","1","정상영업","","","","","02-549-6693","3300.29","","강원특별자치도 원주시 무실동 630번지 3호 외 1","강원특별자치도 원주시 북원로 2054 (무실동)","26394","원주 무실동 판매시설(CROSS AVENUE WONJU)","2021-04-30 13:34:28","I","2023-06-13 00:00:00","전문점","281918.041268589","425757.187016122","대규모점포",
"35","대규모점포","08_25_01_P","4191000","1965419007907500004","1965-03-03","","01","영업/정상","1","정상영업","","","","","033-743-2570","7092","","강원특별자치도 원주시 중앙동 62번지 55호 중앙시장 2층 다동 19호","강원특별자치도 중앙시장길 6 (중앙시장)","220-903","중앙시장","2019-04-02 16:11:57","I","2023-06-13 00:00:00","시장","284121.214130228","427959.859428438","대규모점포",
"36","대규모점포","08_25_01_P","4191000","1965419007907500005","1965-03-03","","01","영업/정상","1","정상영업","","","","","033-746-5037","5408","","강원특별자치도 원주시 중앙동 57번지","강원특별자치도 원주시 자유시장길 12 (중앙동)","220-903","자유시장","2023-09-26 17:59:45","U","2023-09-28 02:40:00","시장","284005.234706843","428073.8236109","대규모점포",
"37","대규모점포","08_25_01_P","4191000","1965419007907500006","1965-03-03","","01","영업/정상","1","정상영업","","","","","033-764-0607","4122.62","","강원특별자치도 원주시 명륜동 26번지 남부시장 2층","강원특별자치도 원주시 치악로 1803 (명륜동)","220-945","남부시장","2011-12-22 15:01:02","I","2023-06-13 00:00:00","시장","284505.128476342","427202.926014401","대규모점포",
"38","대규모점포","08_25_01_P","4191000","1991419007907500001","1992-12-31","","01","영업/정상","1","정상영업","","","","","033-731-3491","2075.47","","강원특별자치도 원주시 태장동 1379-23호","강원특별자치도 원주시 북원상가길 13 (태장동)","220-962","북원상가시장","2021-03-12 16:40:34","I","2023-06-13 00:00:00","시장","283930.336891135","431834.400099925","대규모점포",
"39","대규모점포","08_25_01_P","4191000","2004419011507500001","2004-12-22","","02","휴업","2","휴업처리","","","","","033 749 8832","4627.34","","강원특별자치도 원주시 단계동 803-2호","","","원주원예농협하나로클럽","2007-07-21 10:32:58","I","2023-06-13 00:00:00","대형마트","","","",
"40","대규모점포","08_25_01_P","4191000","2004419011507500002","2004-12-22","","02","휴업","2","휴업처리","","","","","033 749 8832","3466.43","","강원특별자치도 원주시 단계동 803-2호","","","원주원예농협하나로클럽","2007-07-21 10:32:58","I","2023-06-13 00:00:00","대형마트","","","",
"41","대규모점포","08_25_01_P","4191000","2004419011507500003","2004-12-22","","02","휴업","2","휴업처리","","","","","033 749 8832","3466.43","","강원특별자치도 원주시 단계동 803-2호","","","원주원예농협하나로클럽","2007-07-21 10:32:58","I","2023-06-13 00:00:00","대형마트","","","",
"42","대규모점포","08_25_01_P","4191000","1991419007907500002","1991-09-30","","03","폐업","3","폐업처리","2003-05-16","","","","033 7425953","1305.07","","강원특별자치도 원주시 우산동 234-2호","","","우산시장","2007-09-20 11:28:34","I","2023-06-13 00:00:00","시장","","","",
"43","대규모점포","08_25_01_P","4191000","1980419007907500001","1980-11-25","2005-02-28","04","취소/말소/만료/정지/중지","4","직권취소","","","","","033 7427339","380.43","","강원특별자치도 원주시 일산동 50번지 0   호","","","지하상가","2021-09-12 16:51:46","I","2023-06-13 00:00:00","그 밖의 대규모점포","","","대규모점포",
"44","대규모점포","08_25_01_P","4191000","2024419100607500001","2024-03-20","","01","영업/정상","5","영업개시전","","","","","033-738-9000","41870.41","","강원특별자치도 원주시 단계동 877-1","강원특별자치도 원주시 서원대로 171 (단계동)","26436","더블유시티","2024-03-20 13:53:05","I","2024-03-22 00:15:24","쇼핑센터","282420.45355925","427386.499314318","대규모점포",
"45","대규모점포","08_25_01_P","4201000","1977420008507500001","1977-10-08","","01","영업/정상","1","정상영업","","","","","033 6489136","","","강원특별자치도 강릉시 용강동 29호","강원특별자치도 강릉시 임영로155번길 6 (용강동)","","강릉서부시장","2011-11-21 09:55:09","I","2023-06-13 00:00:00","그 밖의 대규모점포","366564.34266928","474192.135182166","",
"46","대규모점포","08_25_01_P","4201000","2000420000007500001","1977-06-15","","01","영업/정상","1","정상영업","","","","","033 6485976","","","강원특별자치도 강릉시 옥천동 223호","강원특별자치도 강릉시 옥천로 48 (옥천동)","","사) 동부시장","2007-07-14 11:05:40","I","2023-06-13 00:00:00","그 밖의 대규모점포","367443.601105971","474756.310270998","",
"47","대규모점포","08_25_01_P","4201000","2000420001907500001","1977-06-15","","01","영업/정상","1","정상영업","","","","","033 6485976","","","강원특별자치도 강릉시 옥천동 223호","강원특별자치도 강릉시 옥천로 48 (옥천동)","","사) 동부시장","2007-07-14 11:05:40","I","2023-06-13 00:00:00","그 밖의 대규모점포","367443.601105971","474756.310270998","",
"48","대규모점포","08_25_01_P","4201000","2000420001907500002","1977-10-08","","01","영업/정상","1","정상영업","","","","","033 6489136","5462","","강원특별자치도 강릉시 용강동 29호","강원특별자치도 강릉시 임영로155번길 6 (용강동)","","(사)강릉서부시장번영회","2022-06-27 17:56:11","I","2023-06-13 00:00:00","시장","366564.34266928","474192.135182166","대규모점포",
"49","대규모점포","08_25_01_P","4201000","2000420001907500003","1980-01-18","","01","영업/정상","1","정상영업","","","","","033 6482285","7449","","강원특별자치도 강릉시 성남동 50호","강원특별자치도 강릉시 금성로 21 (성남동)","","사단법인 강릉중앙시장번영회","2024-03-13 13:31:28","U","2024-03-16 02:40:00","시장","367255.878725242","474087.754397503","대규모점포",
"50","대규모점포","08_25_01_P","4201000","2000420001907500004","1986-07-03","","01","영업/정상","1","정상영업","","","","","033 6628011","","","강원특별자치도 강릉시 주문진읍 주문리 312-91호","","","주) 주문진시장","2007-07-14 11:05:40","I","2023-06-13 00:00:00","그 밖의 대규모점포","","","",
"51","대규모점포","08_25_01_P","4201000","2000420001907500005","1987-06-25","","01","영업/정상","1","정상영업","","","","","033 6475285","","","강원특별자치도 강릉시 주문진읍 주문리 312-91호","","","주) 포남시장","2007-07-14 11:05:40","I","2023-06-13 00:00:00","그 밖의 대규모점포","","","",
"52","대규모점포","08_25_01_P","4201000","2000420001907500006","1995-03-25","","01","영업/정상","1","정상영업","","","","","033 6519622","","","강원특별자치도 강릉시 포남동 1293 - 2호","","","사)청송상가시장","2007-07-14 11:05:40","I","2023-06-13 00:00:00","그 밖의 대규모점포","368582.995749496","476191.948640647","",
"53","대규모점포","08_25_01_P","4201000","2000420001907500008","1994-12-30","","01","영업/정상","1","정상영업","","","","","033 6476707","","","강원특별자치도 강릉시 노암동 390호","","","사)노암한라시장","2007-07-14 11:05:40","I","2023-06-13 00:00:00","그 밖의 대규모점포","367565.639850681","473063.933064057","",
"54","대규모점포","08_25_01_P","4201000","2009420011507500002","2009-09-24","","01","영업/정상","1","정상영업","","","","","033-649-8000","16617","210-933","강원특별자치도 강릉시 옥천동 189번지","강원특별자치도 강릉시 경강로 2120 (옥천동)","","강릉 씨네몰","2024-03-13 13:29:34","U","2024-03-16 02:40:00","복합쇼핑몰","367257.089561415","474274.357968797","대규모점포",
"55","대규모점포","08_25_01_P","4201000","2010420011507500001","2002-12-13","","01","영업/정상","1","정상영업","","","","2002-12-13","033-649-1052","8263.39","210-140","강원특별자치도 강릉시 송정동 1008번지 7호","강원특별자치도 강릉시 경강로 2398-10 (송정동)","","(주)이마트강릉점","2024-04-22 16:13:29","U","2024-04-24 02:40:00","대형마트","369334.629080122","475954.381315576","대규모점포",
"56","대규모점포","08_25_01_P","4201000","2005420008507500001","2005-12-19","","02","휴업","2","휴업처리","","","","","033 648 9136","5462","","강원특별자치도 강릉시 용강동 29호","강원특별자치도 강릉시 임영로155번길 6 (용강동)","","강릉서부시장","2007-07-14 11:05:40","I","2023-06-13 00:00:00","그 밖의 대규모점포","366564.34266928","474192.135182166","",
"57","대규모점포","08_25_01_P","4201000","2005420008507500002","2005-12-19","","02","휴업","2","휴업처리","","","","","033 648 9136","5462","","강원특별자치도 강릉시 용강동 29호","강원특별자치도 강릉시 임영로155번길 6 (용강동)","","강릉서부시장","2007-07-14 11:05:40","I","2023-06-13 00:00:00","그 밖의 대규모점포","366564.34266928","474192.135182166","",
"58","대규모점포","08_25_01_P","4201000","2020420032207500002","2020-04-30","","03","폐업","3","폐업처리","2025-03-18","","","","02-380-9461","261.84","","강원특별자치도 강릉시 주문진읍 주문리 312번지 91호 주문진수산시장","강원특별자치도 강릉시 주문진읍 시장길 38, 주문진수산시장","25413","노브랜드 주문진수산시장점","2025-03-20 17:31:34","U","2025-03-22 02:40:00","그 밖의 대규모점포","360718.233934395","489191.326440786","준대규모점포",
"59","대규모점포","08_25_01_P","4201000","2012420011507500001","2012-01-09","","03","폐업","3","폐업처리","2021-07-14","","","","033-642-6262","388","","","강원특별자치도 강릉시 율곡로2692번길 56 (입암동)","210-250","롯데슈퍼 강릉입암점","2021-07-15 09:05:06","I","2023-06-13 00:00:00","그 밖의 대규모점포","368411.478854135","473875.192732668","준대규모점포",
"60","대규모점포","08_25_01_P","4201000","2012420011507500002","2012-01-10","","03","폐업","3","폐업처리","2021-07-14","","","","033-642-6262","388","","","강원특별자치도 강릉시 율곡로2692번길 56 (입암동)","210-250","롯데슈퍼강릉입암점","2021-07-14 16:14:21","I","2023-06-13 00:00:00","구분없음","368411.478854135","473875.192732668","준대규모점포",
"61","대규모점포","08_25_01_P","4201000","2000420001907500007","1995-06-19","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","033 6515608","0","","강원특별자치도 강릉시 포남동 1292 - 1호","","","(주)삼우주택 이태수","2012-05-24 10:07:28","I","2023-06-13 00:00:00","그 밖의 대규모점포","368408.132156805","475968.018406903","대규모점포",
"62","대규모점포","08_25_01_P","4201000","2020420032207500001","2020-04-08","","01","영업/정상","5","영업개시전","","","","","02-380-9461","261.84","","강원특별자치도 강릉시 주문진읍 주문리 312번지 91호 주문진수산시장","강원특별자치도 강릉시 주문진읍 시장길 38, 주문진수산시장 1층","25413","노브랜드 주문진수산시장점","2020-04-10 08:50:21","I","2023-06-13 00:00:00","그 밖의 대규모점포","360718.233934395","489191.326440786","준대규모점포",
"63","대규모점포","08_25_01_P","4211000","1997421000007500003","1997-03-17","","01","영업/정상","1","정상영업","","2009-07-23","2010-07-22","","033-521-9323","3705.05","","강원특별자치도 동해시 효가동 153번지 1호","강원특별자치도 동해시 효자로 691 (효가동)","240-160","동성프라자","2020-08-24 09:54:38","I","2023-06-13 00:00:00","그 밖의 대규모점포","386514.829007717","445508.119238943","대규모점포",
"64","대규모점포","08_25_01_P","4211000","2003421009307500001","2003-12-24","","01","영업/정상","1","정상영업","","","","","033-539-7051","6585.16","","강원특별자치도 동해시 천곡동 831호","강원특별자치도 동해시 천곡로 100 (천곡동)","240-010","(주)이마트 동해점","2024-04-22 14:31:35","U","2024-04-24 02:40:00","대형마트","387085.790410418","448958.829445114","대규모점포",
"65","대규모점포","08_25_01_P","4211000","1987421000007500001","1987-11-24","","03","폐업","3","폐업처리","2006-06-14","","","","003305334133","5008.96","","강원특별자치도 동해시 발한동 219번지 5호","강원특별자치도 동해시 발한로 176 (발한동)","240-041","동해프라자","2013-12-18 13:32:50","I","2023-06-13 00:00:00","그 밖의 대규모점포","386041.551458151","451448.893618302","대규모점포",
"66","대규모점포","08_25_01_P","4211000","1994421000007500002","1994-08-17","","03","폐업","3","폐업처리","2018-01-01","","","","033-533-8303","7517.59","","강원특별자치도 동해시 천곡동 941호","강원특별자치도 동해시 동굴로 147 (천곡동)","","(주)중앙시장동해유통타운","2020-08-24 09:54:15","I","2023-06-13 00:00:00","그 밖의 대규모점포","387316.573717286","448511.524472683","대규모점포",
"67","대규모점포","08_25_01_P","4211000","1999421000007500004","1999-07-07","","03","폐업","3","폐업처리","2018-03-28","","","","033-533-3997","5173.85","","강원특별자치도 동해시 천곡동 942호","강원특별자치도 동해시 동굴로 149 (천곡동)","","신동해프라자","2020-08-24 09:55:46","I","2023-06-13 00:00:00","그 밖의 대규모점포","387364.862935738","448530.798942451","대규모점포",
"68","대규모점포","08_25_01_P","4211000","2019421021507500001","2019-07-11","","01","영업/정상","5","영업개시전","","","","","033-522-0630","258","","강원특별자치도 동해시 동회동 442번지 대동,현대아파트","강원특별자치도 동해시 청운1길 29 (동회동, 대동,현대아파트)","25807","노브랜드 동해남부재래시장점","2019-07-11 12:09:37","I","2023-06-13 00:00:00","구분없음","386177.814049483","444870.370953969","준대규모점포",
"69","대규모점포","08_25_01_P","4221000","2000422001007500076","1965-09-09","","01","영업/정상","1","정상영업","","","","","033 5829025","","","강원특별자치도 태백시 철암동 278-1호","","","사단법인철암시장","2007-07-14 10:33:54","I","2023-06-13 00:00:00","그 밖의 대규모점포","","","",
"70","대규모점포","08_25_01_P","4221000","2000422001007502008","1971-04-14","","01","영업/정상","1","정상영업","","","","","033 5522634","","","강원특별자치도 태백시 황지동 38호","","","사단법인황지자유시장","2007-07-14 10:33:54","I","2023-06-13 00:00:00","그 밖의 대규모점포","","","",
"71","대규모점포","08_25_01_P","4221000","2000422001007502017","1980-03-05","","01","영업/정상","1","정상영업","","","","","033 5816521","","","강원특별자치도 태백시 장성동 159-2호","","","합명회사장성중앙시장","2007-07-14 10:33:54","I","2023-06-13 00:00:00","그 밖의 대규모점포","","","",
"72","대규모점포","08_25_01_P","4221000","2006422001007500001","2006-10-30","","01","영업/정상","1","정상영업","","","","","033 554 0672","3123","","강원특별자치도 태백시 화전동 113호","강원특별자치도 태백시 굴거랑길 4 (화전동)","","(주)이마트","2024-04-15 14:05:58","U","2024-04-17 02:40:00","그 밖의 대규모점포","374110.235734391","412725.109444359","대규모점포",
"73","대규모점포","08_25_01_P","4221000","2019422105407500001","2019-07-12","","01","영업/정상","1","정상영업","","","","","033-554-9495","1320","","강원특별자치도 태백시 황지동 200-26","강원특별자치도 태백시 번영로 144, 1층 (황지동)","26038","롯데슈퍼 태백점","2025-03-07 11:22:43","I","2025-03-09 00:10:36","구분없음","376460.158282674","407946.301990225","준대규모점포",
