"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","사용목적","사용방법","월사용량","수용정원수","시설사용여부",
"21","특정고압가스업","09_28_14_P","4191000","2013419019812200002","2013-12-12","","01","영업/정상","BBBB","","","","","","","","","","강원특별자치도 원주시 고문골길 54 (행구동)","","원주공업고등학교","2013-12-12 14:50:32","I","2023-06-13 00:00:00","","289154.571040325","426840.290329633","용접","산소와 병행 사용(용접)","12.6","10","",
"22","특정고압가스업","09_28_14_P","4191000","2014419024512200001","2014-09-03","","01","영업/정상","BBBB","","","","","","","","","","강원특별자치도 원주시 흥업면 연세대길 1","","연세대학교  원주캠퍼스","2014-09-03 16:18:32","I","2023-06-13 00:00:00","","279802.842138498","420075.310262165","연구실험용","연구실험용","20","1000","",
"23","특정고압가스업","09_28_14_P","4191000","2017419024512200001","2017-10-25","","01","영업/정상","BBBB","","","","","","","","","","강원특별자치도 원주시 원일로 22 (인동)","","성지의료재단 성지병원","2017-10-25 11:20:02","I","2023-06-13 00:00:00","","284484.959261583","427479.800413061","수술후 회복 보조용","수술후 회복 보조용","0","0","",
"24","특정고압가스업","09_28_14_P","4191000","2017419024512200002","2017-12-21","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 원주시 지정면 가곡리 1302","강원특별자치도 원주시 지정면 기업도시로 227-51","26355","(주)씨앤디","2017-12-21 14:32:00","I","2023-06-13 00:00:00","","276786.035924823","429803.181936055","열처리용","열처리용","150","20","",
"25","특정고압가스업","09_28_14_P","4191000","2018419024512200004","2018-10-24","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 원주시 판부면 금대리 1130 바른요양병원","강원특별자치도 원주시 판부면 치악로 1139, 바른요양병원","26504","의료법인서현재단 바른요양병원","2018-10-24 15:46:26","I","2023-06-13 00:00:00","","287769.044644282","421689.925766276","환자 및 수술후 회복 보조용","용기 및 배관","1.5","200","",
"26","특정고압가스업","09_28_14_P","4191000","2019419024512200001","2019-02-21","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 원주시 흥업면 사제리 산 171-1","","","원주추모공원","2019-02-21 09:07:41","I","2023-06-13 00:00:00","","277177.031700536","426139.094779534","화장로 질소산화물(NOX) 제거","화장로 안으로 분사","200","200","",
"27","특정고압가스업","09_28_14_P","4191000","2020419024512200003","2020-10-13","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 원주시 문막읍 반계리 5-12 토다이수주식회사","강원특별자치도 원주시 문막읍 문막공단길 236, 토다이수주식회사","26362","토다이수(주)","2023-03-09 11:31:19","I","2023-06-13 00:00:00","","271582.284846753","422083.178386107","Metal Powder 환원용(연소방식)","Metal Powder 환원용(연소방식)","600","0","",
"28","특정고압가스업","09_28_14_P","4191000","2020419024512200004","2020-10-13","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 원주시 태장동 2417","강원특별자치도 원주시 태장공단길 32 (태장동)","26311","원레이저","2020-10-13 16:26:08","I","2023-06-13 00:00:00","","283969.711492491","433870.461633227","금속가공","금속가공","200","3","",
"29","특정고압가스업","09_28_14_P","4191000","2020419024512200005","2020-11-23","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 원주시 문막읍 반계리 2239 ㈜ KCC문막공장","강원특별자치도 원주시 문막읍 문막공단길 106, ㈜ KCC문막공장","26362","(주)케이씨씨 문막공장","2020-11-23 17:16:33","I","2023-06-13 00:00:00","","271042.401673491","421276.614809788","공정 유지/보수용","이동용","400","65","",
"30","특정고압가스업","09_28_14_P","4191000","2021419024512200003","2021-10-27","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 원주시 부론면 법천리 1473-6","강원특별자치도 원주시 부론면 법후로 52","26498","(주)디에스테크노","2021-10-27 14:40:52","I","2023-06-13 00:00:00","","267013.622454513","412530.083139377","제품생산에 사용","집합대 저장","1000","10","",
"31","특정고압가스업","09_28_14_P","4191000","2022419024512200001","2022-02-28","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 원주시 소초면 의관리 474","강원특별자치도 원주시 소초면 북원로 3190","26304","삼영ENG","2022-02-28 16:34:46","I","2023-06-13 00:00:00","","285806.161213552","436446.911950855","철근가스압접공사","철근가스압접공사","200","20","",
"32","특정고압가스업","09_28_14_P","4191000","1994419007902700001","1994-12-26","","01","영업/정상","BBBB","","","","","","033 7625062","","","강원특별자치도 원주시 흥업면 매지리 514","강원특별자치도 원주시 흥업면 세동길 71-20","","흥업매지상수도","1994-12-26 00:00:00","I","2023-06-13 00:00:00","","280742.758953663","419770.801737026","상수도정수용","","0","0","",
"33","특정고압가스업","09_28_14_P","4191000","1994419007902700003","1994-06-09","","01","영업/정상","BBBB","","","","","","033 7469311","","","강원특별자치도 원주시 우산동 390","강원특별자치도 원주시 우산로 177  (우산동)","","(주)삼양식품","1994-06-09 00:00:00","I","2023-06-13 00:00:00","","282952.964980929","431133.811000084","공업용","","0","0","",
"34","특정고압가스업","09_28_14_P","4191000","1994419007902700004","1994-10-11","","01","영업/정상","BBBB","","","","","","033 7414613","","","강원특별자치도 원주시 소초면 장양리 1310","강원특별자치도 원주시 소초면 북원로 2955","","한국담배인삼공사원주제조창","1994-10-11 00:00:00","I","2023-06-13 00:00:00","","284192.855174726","434485.025068688","","","0","0","",
"35","특정고압가스업","09_28_14_P","4191000","2024419101212200001","2024-01-25","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 원주시 문막읍 반계리 2255-7","강원특별자치도 원주시 문막읍 반산2로 98","26362","(주)에프엠","2024-01-25 16:28:29","I","2024-01-27 00:16:14","","270570.798884651","422009.494847697","분말합성","분말합성","1561","27","",
"36","특정고압가스업","09_28_14_P","4191000","2025419112212200005","2025-04-24","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 원주시 호저면 만종리 57","","","육군제7639부대","2025-04-24 13:37:50","I","2025-04-26 00:10:03","","281061.144932841","430003.656060017","저장","저장","0","0","",
"37","특정고압가스업","09_28_14_P","4191000","2025419112212200004","2025-04-10","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 원주시 무실동 2023","","","진올건설(주)","2025-04-10 13:57:59","I","2025-04-12 00:10:01","","","","공사","공사","72","0","",
"38","특정고압가스업","09_28_14_P","4191000","2025419112212200002","2025-03-05","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 원주시 무실동 2023","","","진올건설(주)","2025-03-05 14:54:40","I","2025-03-07 00:10:36","","","","공사","공사","280","0","",
"39","특정고압가스업","09_28_14_P","4191000","2025419112212200001","2025-02-25","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 원주시 일산동 162-33 원주세브란스기독병원","강원특별자치도 원주시 일산로 20, 원주세브란스기독병원 (일산동)","26426","연세대학교원주세브란스기독병원","2025-02-25 15:06:20","I","2025-02-27 00:10:36","","283684.602363569","427758.377832632","의료용","의료용","0","1000","",
"40","특정고압가스업","09_28_14_P","4191000","2023419101212200001","2023-09-15","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 원주시 명륜동 120-1","강원특별자치도 원주시 남원로 631 (명륜동)","26441","연세요양병원","2023-09-15 14:06:48","I","2023-09-17 00:18:04","","284281.344123131","426855.575022067","의료용","의료용","200","500","",
"41","특정고압가스업","09_28_14_P","4201000","2019420032612200002","2019-11-08","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 강릉시 연곡면 영진리 146","","","아쿠아씨드텍","2019-11-08 17:02:56","I","2023-06-13 00:00:00","","362340.091074923","486238.406552811","어류양식 공정에 사용","어류양식 공정에 액화산소를 기화기를 통과해 기화된 가스를 조정기를 거쳐 사용하고자 함","1000","3","",
"42","특정고압가스업","09_28_14_P","4201000","2020420032612200001","2020-11-10","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 강릉시 주문진읍 교항리 1251-2","강원특별자치도 강릉시 주문진읍 동해대로 4371-34","25422","국군강릉병원","2020-11-10 17:59:58","I","2023-06-13 00:00:00","","361039.91656288","486701.720836213","의료용산소","의료용산소","700","350","",
"43","특정고압가스업","09_28_14_P","4201000","2021420032612200001","2021-03-26","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 강릉시 지변동 123 강릉원주대학교","강원특별자치도 강릉시 죽헌길 7, 강릉원주대학교 (지변동)","25457","강릉원주대학교치과병원","2021-03-26 13:53:45","I","2023-06-13 00:00:00","","364627.278082023","475810.449226925","환자 흡입용","의료용 산소","1000","150","",
"44","특정고압가스업","09_28_14_P","4201000","2021420032612200002","2021-03-26","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 강릉시 입암동 21-43","강원특별자치도 강릉시 강변로534번길 11 (입암동)","25573","강원대우자동차(주)","2021-03-26 15:53:01","I","2023-06-13 00:00:00","","369098.610367606","475309.764618102","산소용접기 사용 절단","산소용접기 사용 절단","200","10","",
"45","특정고압가스업","09_28_14_P","4201000","2021420032612200003","2021-09-24","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 강릉시 사천면 방동리 807-1 강원지방기상청","강원특별자치도 강릉시 사천면 과학단지로 130, 강원지방기상청","25440","기상청","2021-09-24 15:21:55","I","2023-06-13 00:00:00","","363276.721764949","479643.392722081","기상관측","기상관측 풍선 주입","253.8","14","",
"46","특정고압가스업","09_28_14_P","4201000","2021420032612200006","2021-11-24","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 강릉시 강동면 안인리 200","강원특별자치도 강릉시 강동면 염전길 99","25620","한국남동발전(주) 영동에코발전본부","2021-11-24 17:35:07","I","2023-06-13 00:00:00","","374465.213559881","472563.120995745","용접","용접","30","5","",
"47","특정고압가스업","09_28_14_P","4201000","2022420032612200001","2022-01-13","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 강릉시 강동면 안인리 134-10","강원특별자치도 강릉시 강동면 대동길 123","25620","강릉에코파워(주)","2022-01-13 10:15:52","I","2023-06-13 00:00:00","","374165.518850006","472473.336250173","1호기 발전기 회전자의 냉각","1호기 발전기 회전자의 냉각","940","2","",
"48","특정고압가스업","09_28_14_P","4201000","2022420032612200003","2022-05-02","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 강릉시 대전동 899-1","강원특별자치도 강릉시 과학단지로 106-14 (대전동)","25440","(주)보부하이테크","2022-05-02 14:08:54","I","2023-06-13 00:00:00","","363438.234939537","479452.202673487","반도체 제품생산","반도체 제품생산","140","30","",
"49","특정고압가스업","09_28_14_P","4201000","2022420032612200004","2022-05-02","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 강릉시 대전동 899-1","강원특별자치도 강릉시 과학단지로 106-14 (대전동)","25440","(주)보부하이테크","2022-05-02 14:09:03","I","2023-06-13 00:00:00","","363438.234939537","479452.202673487","반도체 제품생산","반도체 제품생산","280","30","",
"50","특정고압가스업","09_28_14_P","4201000","2022420032612200005","2022-08-29","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 강릉시 강동면 안인리 134-10","강원특별자치도 강릉시 강동면 대동길 123","25620","강릉에코파워(주)","2022-08-29 16:58:45","I","2023-06-13 00:00:00","","374165.518850006","472473.336250173","2호기 발전기 회전자의 냉각","수소가스 저장 및 사용","472","2","",
"51","특정고압가스업","09_28_14_P","4201000","1998420001902700005","1998-06-12","","01","영업/정상","BBBB","","","","","","033 6611650","","","강원특별자치도 강릉시 연곡면 송림리 177-52","","","주문진정수장","1998-06-12 00:00:00","I","2023-06-13 00:00:00","","","","","","0","0","",
"52","특정고압가스업","09_28_14_P","4201000","1998420001902700006","1998-06-12","","01","영업/정상","BBBB","","","","","","033 6106152","","","강원특별자치도 강릉시 노암동 779","강원특별자치도 강릉시 남산초교길 121  (노암동)","","강릉직업전문학교","1998-06-12 00:00:00","I","2023-06-13 00:00:00","","366541.855123208","472210.503754541","","","0","0","",
"53","특정고압가스업","09_28_14_P","4201000","1998420001902700007","1998-06-12","","01","영업/정상","BBBB","","","","","","033 6403206","","","강원특별자치도 강릉시 강동면 안인리 200","강원특별자치도 강릉시 강동면 염전길 99","","한전영동화력발전소","2011-10-30 13:46:47","I","2023-06-13 00:00:00","","374465.213559881","472563.120995745","-","-","0","0","",
"54","특정고압가스업","09_28_14_P","4201000","1998420001902700008","1998-06-12","","01","영업/정상","BBBB","","","","","","033 6627802","","","강원특별자치도 강릉시 주문진읍 교항리 산 36","","","국군강릉병원","1998-06-12 00:00:00","I","2023-06-13 00:00:00","","","","","","0","0","",
"55","특정고압가스업","09_28_14_P","4201000","2006420008502700001","2006-10-17","","01","영업/정상","BBBB","","","","","","033 6496204","","","강원특별자치도 강릉시 담산동 사서함83-2호","","","제7185부대","2006-10-17 00:00:00","I","2023-06-13 00:00:00","","","","용접용","용접","0","0","",
"56","특정고압가스업","09_28_14_P","4201000","2008420011512200001","2008-06-24","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 강릉시 강동면 안인진리 53","강원특별자치도 강릉시 강동면 갯목길 69","","해림원","2009-03-13 15:48:40","I","2023-06-13 00:00:00","","374906.927158081","472406.18453179","어류 산소공급","액화산소를 기화하여 공급","3000","2","",
"57","특정고압가스업","09_28_14_P","4201000","2013420020712200001","2013-12-19","","01","영업/정상","BBBB","","","","","","","","","","강원특별자치도 강릉시 남산초교길 121 (노암동)","","한국폴리텍대학 강릉캠퍼스","2013-12-19 17:46:53","I","2023-06-13 00:00:00","","366541.855123208","472210.503754541","교육훈련용","용접실습","300","30","",
"58","특정고압가스업","09_28_14_P","4201000","2015420020712200001","2015-03-24","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 강릉시 사천면 석교리 774-1","","","청솔공원 강릉화장시설","2015-03-24 18:39:49","I","2023-06-13 00:00:00","","359813.825018239","482269.402586702","화장로 NOx(녹스)제거","화장로 내에서 분사","250","200","",
"59","특정고압가스업","09_28_14_P","4201000","2016420027012200001","2016-01-25","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 강릉시 옥천동 284-5","강원특별자치도 강릉시 옥가로 30 (옥천동)","","(의)의산의료재단(강릉고려병원)","2016-01-25 14:55:16","I","2023-06-13 00:00:00","","367368.56277504","474639.570237022","의료용","의료용","3000","50","",
"60","특정고압가스업","09_28_14_P","4201000","2017420027012200001","2017-08-14","","01","영업/정상","BBBB","","","","","","","","","","강원특별자치도 강릉시 옥계면 북동용소길 389-7","","보성수산","2017-08-14 10:37:43","I","2023-06-13 00:00:00","","372438.865914185","458527.202092668","어류산소공급","산소를 초저온 탱크에 저장하여 기화기를 통해 산소 공급","10000","0","",
"61","특정고압가스업","09_28_14_P","4201000","2018420030112200001","2018-10-22","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 강릉시 옥계면 현내리 311-2","강원특별자치도 강릉시 옥계면 현내시장길 34","25634","의료법인 라파의료재단 예수요양병원","2018-10-22 09:02:17","I","2023-06-13 00:00:00","","379855.07783425","458585.750044979","의료용","용기","500","97","",
"62","특정고압가스업","09_28_14_P","4201000","2018420030112200002","2018-10-22","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 강릉시 지변동 123 강릉원주대학교","강원특별자치도 강릉시 죽헌길 7, 강릉원주대학교 (지변동)","25457","강릉원주대학교치과병원","2018-10-22 09:05:06","I","2023-06-13 00:00:00","","364627.278082023","475810.449226925","의료용","용기","245","10","",
"63","특정고압가스업","09_28_14_P","4201000","2019420032612200001","2019-09-09","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 강릉시 대전동 899-1","강원특별자치도 강릉시 과학단지로 106-14 (대전동)","25440","(주)보부하이테크(지점)","2019-09-09 17:58:45","I","2023-06-13 00:00:00","","363438.234939537","479452.202673487","분위기가스로 수소 사용","기체가스를 공급받아 가스배관을 통해 사용","500","5","",
"64","특정고압가스업","09_28_14_P","4201000","2024420101612200002","2024-09-06","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 강릉시 안현동 275","강원특별자치도 강릉시 해안로 689-21 (안현동)","25459","금산","2024-09-07 15:21:23","I","2024-09-09 00:13:52","","366493.352814435","480896.022642671","양식장 해수 고수온 대비","기화기로 연결 사용","240","3","",
"65","특정고압가스업","09_28_14_P","4201000","2024420101612200001","2024-08-14","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 강릉시 포남동 1153-2","강원특별자치도 강릉시 남구길10번길 5 (포남동)","25546","(주)유탑건설","2024-08-14 16:18:16","I","2024-08-17 00:13:21","","367944.516748595","475295.878486117","용접용","용접용","278.24","25","",
"66","특정고압가스업","09_28_14_P","4211000","2004421009302700002","2004-07-23","","01","영업/정상","BBBB","","","","","","5303223","","","강원특별자치도 동해시 평릉동 190 산재의료관리원동해병원","강원특별자치도 동해시 하평로 11  (평릉동,산재의료관리원동해병원)","","산재의료관리원 동해병원","2007-07-31 14:36:39","I","2023-06-13 00:00:00","","386254.528257327","449765.816314041","의료용","해당없음","4686","0","",
"67","특정고압가스업","09_28_14_P","4211000","2016421018112200002","2016-06-27","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 동해시 구호동 246","강원특별자치도 동해시 공단4로 36 (구호동)","","(주)지에스동해전력","2016-06-27 11:12:44","I","2023-06-13 00:00:00","","389879.389447498","443866.815521936","발전기 냉각용","발전기 냉각용","570","0","",
"68","특정고압가스업","09_28_14_P","4211000","2022421021512200002","2022-02-10","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 동해시 단봉동 453-12 동해시 하늘정원","강원특별자치도 동해시 강원남부로 4589, 동해시 하늘정원 (단봉동)","25820","동해삼척 공동화장시설","2022-02-10 11:00:27","I","2023-06-13 00:00:00","","387015.273539118","441840.876564522","승화원용","분사","100","100","",
"69","특정고압가스업","09_28_14_P","4241000","1995424001002700003","1995-01-01","","01","영업/정상","BBBB","","","","","","5726016","","","강원특별자치도 삼척시 원덕읍 산양리 1통","","","옥원정수장","1995-01-01 00:00:00","I","2023-06-13 00:00:00","","","","","","0","0","",
"70","특정고압가스업","09_28_14_P","4241000","1995424001002700004","1995-01-01","","01","영업/정상","BBBB","","","","","","5723738","","","강원특별자치도 삼척시 근덕면 교가리 308 1통2반","","","오리상수도","1995-01-01 00:00:00","I","2023-06-13 00:00:00","","","","","","0","0","",
"71","특정고압가스업","09_28_14_P","4241000","1995424001002700006","1995-01-01","","01","영업/정상","BBBB","","","","","","5730932","","","강원특별자치도 삼척시 원덕읍 임원리 913","강원특별자치도 삼척시 원덕읍 임원안1길 112-38","","임원정수장","1995-01-01 00:00:00","I","2023-06-13 00:00:00","","407099.284776587","417797.747950861","","","0","0","",
"72","특정고압가스업","09_28_14_P","4241000","2002424001002700001","2002-03-18","","01","영업/정상","BBBB","","","","","","033 5717246","","","강원특별자치도 삼척시 사직동 114","강원특별자치도 삼척시 동양길 20  (사직동)","","동양시멘트(주)","2002-03-18 00:00:00","I","2023-06-13 00:00:00","","392606.428518564","438473.157192767","기계 보수용","","1000","1","",
"73","특정고압가스업","09_28_14_P","4241000","2009424011312207060","2009-07-06","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 삼척시 도계읍 전두리 60","강원특별자치도 삼척시 도계읍 도계로 225","","대한석탄공사 도계광업소","2012-05-08 15:24:14","I","2023-06-13 00:00:00","","381287.32931714","416232.324368595","용접","용접","1","10","",
"74","특정고압가스업","09_28_14_P","4241000","2015424016512200001","2015-11-12","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 삼척시 원덕읍 호산리","강원특별자치도 삼척시 원덕읍 삼척로 734","","한국남부발전(주)삼척그린파워건설본부","2015-11-12 16:09:20","I","2023-06-13 00:00:00","","407602.129757552","412379.695341186","발전기 회전자 냉각용","회전자 냉각시 수소가스 사용","1200","0","",
"75","특정고압가스업","09_28_14_P","4241000","2015424016512200002","2015-11-12","","01","영업/정상","BBBB","","","","","","","","","","강원특별자치도 삼척시 원덕읍 삼척로 734","","한국남부발전(주)삼척그린파워건설본부","2015-11-12 16:14:59","I","2023-06-13 00:00:00","","407602.129757552","412379.695341186","발전기 회전자 냉각용","회전자 냉각시 수소가스 사용","1200","0","",
