"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","시력표수","표본렌즈수","측정의자수","동공거리측정기수","정점굴절계기수","조제용연마기수","렌즈절단기수","가열기수","안경세척기수","총면적",
"11","안경업","01_02_01_P","4181000","PHMB220164180029082200002","2016-02-29","","03","폐업","03","폐업","2018-04-10","","","","033-253-8252","","","","강원특별자치도 춘천시 서부대성로 221 (효자동)","24289","오렌즈 강원대점","2018-04-10 17:47:06","I","2023-06-13 00:00:00","","265289.011638312","485932.239096466","1","1","1","1","1","1","1","1","1","90.13",
"12","안경업","01_02_01_P","4181000","PHMB220124180029082200001","2012-09-28","","03","폐업","03","폐업","2022-11-28","","","","033-269-7337","","200-965","강원특별자치도 춘천시 퇴계동 1017번지 125~127호","강원특별자치도 춘천시 지석로 80 (퇴계동)","24420","안경스토리(story)","2023-08-09 13:31:22","U","2023-08-11 02:40:00","","265386.634330563","483368.251535269","1","1","1","1","1","1","1","2","2","58",
"13","안경업","01_02_01_P","4181000","PHMB220144180029082200001","2014-04-28","","03","폐업","03","폐업","2016-05-26","","","","033-261-6411","","200-766","강원특별자치도 춘천시 석사동","강원특별자치도 춘천시 춘천순환로 70, 1층 (석사동, 만호빌딩 )","200-766","드림안경원","2016-05-26 17:02:56","I","2023-06-13 00:00:00","","266079.306539143","483901.979099313","1","1","1","1","1","1","1","1","1","0",
"14","안경업","01_02_01_P","4181000","PHMB220154180029082200003","2015-09-21","","03","폐업","03","폐업","2017-03-13","","","","033-256-5020","","","강원특별자치도 춘천시 중앙로2가 56번지","강원특별자치도 춘천시 중앙로 88 (중앙로2가)","24273","샤넬안경원","2017-03-13 15:13:34","I","2023-06-13 00:00:00","","263686.70706117","486417.765209507","1","1","1","1","1","1","1","1","1","28",
"15","안경업","01_02_01_P","4181000","PHMB220014180029082200001","2001-03-09","","03","폐업","03","폐업","2009-05-25","","","","","","","춘천시 퇴계동 916-1 현진@ 상가","강원특별자치도 춘천시 춘주로 150 (퇴계동)","200-946","안경뱅크","2013-12-17 15:11:42","I","2023-06-13 00:00:00","","263713.174233589","484187.309012648","0","0","0","0","0","0","0","0","0","0",
"16","안경업","01_02_01_P","4181000","PHMB220014180029082200002","2001-05-06","","03","폐업","03","폐업","2018-11-19","","","","033)256-9779","","","춘천시 효자3동 604-2","강원특별자치도 춘천시 서부대성로 167 (효자동)","24294","아이월드안경원","2018-12-19 10:31:22","I","2023-06-13 00:00:00","","264821.957063974","486196.85952772","0","0","0","0","0","0","0","0","0","0",
"17","안경업","01_02_01_P","4181000","PHMB220014180029082200003","2001-05-29","","03","폐업","03","폐업","2012-03-19","","","","033)264-9006","","200-111","강원특별자치도 춘천시 소양로1가","","","이태리안경원","2012-03-19 09:57:34","I","2023-06-13 00:00:00","","","","0","0","0","0","0","0","0","0","0","27.59",
"18","안경업","01_02_01_P","4181000","PHMB220044180029082200002","2004-06-30","","03","폐업","03","폐업","2008-12-12","","","","","","","춘천시 퇴계동 1010-1번지","강원특별자치도 춘천시 승지골길 5 (퇴계동)","200-965","하버드안경원","2013-12-17 15:03:37","I","2023-06-13 00:00:00","","265037.952748206","483239.865677322","0","0","0","0","0","0","0","0","0","0",
"19","안경업","01_02_01_P","4181000","PHMB220044180029082200004","2004-07-12","","03","폐업","03","폐업","2011-11-25","","","","","","472-845","경기도 남양주시 화도읍 마석우리 349번지 58통 8반 중흥S-클래스 103동 1305호","","","1001안경원","2011-11-25 13:34:59","I","2023-06-13 00:00:00","","226682.994126088","461811.825452533","0","0","0","0","0","0","0","0","0","0",
"20","안경업","01_02_01_P","4181000","PHMB220044180029082200009","2004-12-24","","03","폐업","03","폐업","2010-03-15","","","","033)253-1010","","200-939","강원특별자치도 춘천시 우두동 707번지 35호   B동 118호","강원특별자치도 춘천시 충열로 39 (우두동)","200-939","매니아안경콘텍트","2011-12-20 17:57:34","I","2023-06-13 00:00:00","","264363.436931186","488796.109066363","0","0","0","0","0","0","0","0","0","0",
"21","안경업","01_02_01_P","4181000","PHMB220054180029082200001","2005-05-16","","03","폐업","03","폐업","2011-07-28","","","","033)255-0808","","","춘천시 교동 156-16","강원특별자치도 춘천시 삭주로 78-1 (교동)","200-060","성심안경원","2013-12-17 14:58:45","I","2023-06-13 00:00:00","","264991.77016016","487010.46317937","0","0","0","0","0","0","0","0","0","0",
"22","안경업","01_02_01_P","4181000","PHMB220064180029082200002","2006-05-22","","03","폐업","03","폐업","2018-12-06","","","","033)251-2514","","200-959","강원특별자치도 춘천시 후평1동 704번지 22호","강원특별자치도 춘천시 후석로 355 (후평동)","24256","하나안경","2018-12-06 16:19:03","I","2023-06-13 00:00:00","","265715.434621755","486913.700483201","0","0","0","0","0","0","0","0","0","0",
"23","안경업","01_02_01_P","4181000","PHMB220064180029082200003","2006-09-28","","03","폐업","03","폐업","2012-02-29","","","","","","200-936","강원특별자치도 춘천시 석사동 818번지 5호 스카이빌딩1층","강원특별자치도 춘천시 퇴계로 229 (석사동)","200-936","노블안경원","2012-03-08 13:25:41","I","2023-06-13 00:00:00","","265393.064862255","483997.38601415","0","0","0","0","0","0","0","0","0","0",
"24","안경업","01_02_01_P","4181000","PHMB220064180029082200004","2006-11-28","","03","폐업","03","폐업","2009-05-04","","","","","","200-965","강원특별자치도 춘천시 퇴계동 1029번지 투탑시티1층","강원특별자치도 춘천시 지석로 88 (퇴계동)","200-965","포아이즈안경원","2011-12-20 17:39:07","I","2023-06-13 00:00:00","","265484.323107091","483357.389326855","0","0","0","0","0","0","0","0","0","0",
"25","안경업","01_02_01_P","4181000","PHMB219764180029082200002","1976-02-17","","03","폐업","03","폐업","2013-08-30","","","","","","","춘천시 중앙로2가 100번지","강원특별자치도 춘천시 낙원길 50 (중앙로2가)","200-042","동양당안경원","2013-12-17 15:44:24","I","2023-06-13 00:00:00","","263878.756042331","486670.977286673","0","0","0","0","0","0","0","0","0","23.8",
"26","안경업","01_02_01_P","4181000","PHMB219864180029082200002","1986-04-21","","03","폐업","03","폐업","2013-10-14","","","","033)254-3481","","","춘천시 옥천동(한림대학 내)","","","그린안경","2013-10-14 14:27:41","I","2023-06-13 00:00:00","","","","0","0","0","0","0","0","0","0","0","21.6",
"27","안경업","01_02_01_P","4181000","PHMB219904180029082200001","1990-10-12","","03","폐업","03","폐업","2012-09-12","","","","033)263-1001","","","춘천시 석사동 493-2","강원특별자치도 춘천시 후석로 58 (석사동)","200-934","시공간안경콘텍트","2013-12-17 15:34:54","I","2023-06-13 00:00:00","","265316.559579583","484330.815166864","0","0","0","0","0","0","0","0","0","28",
"28","안경업","01_02_01_P","4181000","PHMB219934180029082200001","1993-07-01","","03","폐업","03","폐업","2012-06-26","","","","033)241-8338","","200-972","강원특별자치도 춘천시 석사동 888번지 3호","강원특별자치도 춘천시 퇴계농공로 19 (석사동)","200-972","안경나라","2012-06-26 14:41:49","I","2023-06-13 00:00:00","","265491.672679322","483465.568460441","0","0","0","0","0","0","0","0","0","0",
"29","안경업","01_02_01_P","4181000","PHMB219944180029082200001","1994-04-01","","03","폐업","03","폐업","2013-10-14","","","","","","","춘천시 효자2동 305-6","강원특별자치도 춘천시 공지로 261 (효자동)","200-953","비엔나안경원","2013-12-17 15:28:29","I","2023-06-13 00:00:00","","264627.986562178","484967.23778891","0","0","0","0","0","0","0","0","0","0",
"30","안경업","01_02_01_P","4181000","PHMB219954180029082200001","1995-01-12","","03","폐업","03","폐업","2007-02-22","","","","033)242-5624","","","춘천시 낙원동 30-8","강원특별자치도 춘천시 낙원길 37 (낙원동)","200-100","알프스안경","2013-12-17 15:26:09","I","2023-06-13 00:00:00","","263800.717402969","486587.92092839","0","0","0","0","0","0","0","0","0","0",
"31","안경업","01_02_01_P","4181000","PHMB220104180029082200002","2010-02-10","","03","폐업","03","폐업","2014-10-27","","","","264-5234","","200-936","강원특별자치도 춘천시 석사동 796번지 8호","강원특별자치도 춘천시 퇴계로 199 (석사동)","200-936","안경만들기","2014-10-27 14:44:32","I","2023-06-13 00:00:00","","265120.620884326","484091.74714327","1","1","1","1","1","1","1","1","1","0",
"32","안경업","01_02_01_P","4181000","PHMB220234181030082200002","2023-08-09","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 동내면 거두리 917-3","강원특별자치도 춘천시 동내면 춘천순환로 77","24400","루미의 아이톡 안경원","2023-08-09 14:42:37","I","2023-08-11 00:18:47","","266126.09747907","483992.535849328","1","0","0","1","1","0","0","0","0","0",
"33","안경업","01_02_01_P","4181000","PHMB220234181030082200001","2023-06-15","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 우두동 1094","강원특별자치도 춘천시 우두1길 17, 1층 104호 (우두동)","24221","미소안경","2023-06-15 17:45:36","I","2023-06-17 00:19:22","","264878.212987629","490112.860860164","1","0","0","1","1","0","0","0","0","101.72",
"34","안경업","01_02_01_P","4181000","PHMB220174180029082200001","2017-03-13","","01","영업/정상","13","영업중","","","","","033-256-5020","","","강원특별자치도 춘천시 중앙로2가 56번지","강원특별자치도 춘천시 중앙로 88 (중앙로2가)","24273","중앙 안경원","2020-02-04 10:39:41","I","2023-06-13 00:00:00","","263686.70706117","486417.765209507","1","1","1","1","1","1","1","1","1","0",
"35","안경업","01_02_01_P","4181000","PHMB219914180029082200001","1991-04-13","","01","영업/정상","13","영업중","","","","","033-252-5415","","","춘천시 후평2동 692-24","강원특별자치도 춘천시 춘천로296번길 3 (후평동)","24277","아이데코 춘천후평점","2019-08-08 15:29:25","I","2023-06-13 00:00:00","","265580.230265785","486750.045883114","0","0","0","0","0","0","0","0","0","29.82",
"36","안경업","01_02_01_P","4181000","PHMB220074180029082200002","2007-03-20","","01","영업/정상","13","영업중","","","","","033-244-4200","","200-943","강원특별자치도 춘천시 퇴계동 381번지 1호","강원특별자치도 춘천시 영서로 2195 (퇴계동)","24445","성광안경콘택트","2018-01-22 14:34:16","I","2023-06-13 00:00:00","","264048.38885859","484444.290618198","1","1","1","1","1","1","1","1","1","0",
"37","안경업","01_02_01_P","4181000","PHMB220074180029082200003","2007-04-04","","01","영업/정상","13","영업중","","","","","033-244-1991","","200-944","강원특별자치도 춘천시 퇴계동 888번지 3호","강원특별자치도 춘천시 행촌로 51 (퇴계동)","24441","안경크리닉","2018-01-22 14:33:14","I","2023-06-13 00:00:00","","263758.725506063","484511.059684252","0","0","0","0","0","0","0","0","0","0",
"38","안경업","01_02_01_P","4181000","PHMB220104180029082200006","2010-10-15","","01","영업/정상","13","영업중","","","","","033-262-1005","","200-883","강원특별자치도 춘천시 동내면 거두리 926번지 1호 메디피아빌딩 106호","강원특별자치도 춘천시 동내면 춘천순환로 58","24404","아카데미안경원","2018-01-22 14:27:39","I","2023-06-13 00:00:00","","265967.686619859","483875.640969007","1","1","1","1","1","1","1","1","1","0",
"39","안경업","01_02_01_P","4181000","PHMB220094180029082200002","2009-09-07","","01","영업/정상","13","영업중","","","","","033-253-2662","","","강원특별자치도 춘천시 효자동 654번지 9호","강원특별자치도 춘천시 춘천로 188 (효자동)","24329","아이플러스안경원","2016-10-26 13:48:48","I","2023-06-13 00:00:00","","264607.739384354","486205.143820709","1","1","1","1","1","1","1","1","1","0",
"40","안경업","01_02_01_P","4181000","PHMB220004180029082200001","2000-02-03","","01","영업/정상","13","영업중","","","","","033)252-9341","","","춘천시 중앙로2가 68","강원특별자치도 춘천시 중앙로 80 (중앙로2가)","24273","서독안경원","2013-12-17 15:15:08","I","2023-06-13 00:00:00","","263737.600473622","486469.735245039","0","0","0","0","0","0","0","0","0","28.2",
"41","안경업","01_02_01_P","4181000","PHMB220134180029082200005","2013-12-06","","01","영업/정상","13","영업중","","","","","033-251-3003","","","강원특별자치도 춘천시 석사동 799-1","강원특별자치도 춘천시 퇴계로 184, 1층 (석사동)","24378","이노티 안경 퇴계석사점","2024-06-24 17:01:46","U","2024-06-26 02:40:00","","264973.305700463","484113.291018839","1","1","1","1","1","1","2","1","1","0",
"42","안경업","01_02_01_P","4181000","PHMB220154180029082200001","2015-03-19","","01","영업/정상","13","영업중","","","","","033-264-0700","","200-972","강원특별자치도 춘천시 석사동 880번지 5호 프라임존1층 101호","강원특별자치도 춘천시 지석로 75 (석사동)","24414","씨앤샵안경원","2015-04-14 16:24:40","I","2023-06-13 00:00:00","","265386.970147087","483454.15352213","1","1","1","1","1","1","1","2","2","0",
"43","안경업","01_02_01_P","4181000","PHMB220004180029082200003","2000-08-16","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 석사동 980","강원특별자치도 춘천시 후석로 120, 1층 108호 (석사동)","24326","일공공일 안경콘택트","2022-06-29 16:42:09","I","2023-06-13 00:00:00","","265760.750878195","484782.142992886","1","0","0","1","1","0","0","0","0","0",
"44","안경업","01_02_01_P","4181000","PHMB220164180029082200006","2016-08-12","","01","영업/정상","13","영업중","","","","","033-242-9989","","","강원특별자치도 춘천시 중앙로1가 91번지","강원특별자치도 춘천시 중앙로 지하 33, 라열 27호 (중앙로1가)","24271","렌즈미","2016-08-24 10:41:54","I","2023-06-13 00:00:00","","264063.07608168","486899.162452165","1","1","1","11","1","0","1","0","1","20.16",
"45","안경업","01_02_01_P","4181000","PHMB220194180029082200001","2019-06-14","","01","영업/정상","13","영업중","","","","","033-243-1900","","","강원특별자치도 춘천시 우두동 1068번지 1호 동부아파트","강원특별자치도 춘천시 충열로 32, 제상가동 1층 106호 (우두동, 동부아파트)","24230","더봄안경원","2019-06-14 10:15:36","I","2023-06-13 00:00:00","","264352.72118995","488666.419220623","0","0","0","0","0","0","0","0","0","48.69",
"46","안경업","01_02_01_P","4181000","PHMB220134180029082200002","2013-05-03","","01","영업/정상","13","영업중","","","","","033)243-5500","","200-941","강원특별자치도 춘천시 조양동 34번지","강원특별자치도 춘천시 금강로 68-3, 1층 (조양동)","24353","글라스닥터 안경.콘택트 춘천명동점","2018-06-28 11:47:09","I","2023-06-13 00:00:00","","264033.833068137","486464.959442249","2","2","2","1","1","1","3","1","2","100",
"47","안경업","01_02_01_P","4181000","PHMB220144180029082200005","2014-10-27","","01","영업/정상","13","영업중","","","","","033)264-5234","","200-936","강원특별자치도 춘천시 석사동 796번지 8호","강원특별자치도 춘천시 퇴계로 199 (석사동)","24390","다비치안경원 퇴계석사점","2025-01-24 16:26:38","U","2025-01-26 02:40:00","","265120.620884326","484091.74714327","1","1","1","1","1","1","1","2","2","0",
"48","안경업","01_02_01_P","4181000","PHMB220164180029082200005","2016-07-11","","01","영업/정상","13","영업중","","","","","033-262-9800","","","강원특별자치도 춘천시 석사동 291번지 10호 105호,106호","강원특별자치도 춘천시 공지로 102 (석사동)","24327","글라스 봄 안경원","2016-07-11 16:51:31","I","2023-06-13 00:00:00","","265843.040498113","483974.444829173","1","1","1","1","1","1","2","1","2","88.92",
"49","안경업","01_02_01_P","4181000","PHMB220104180029082200001","2010-02-03","","01","영업/정상","13","영업중","","","","","033-257-2011","","200-937","강원특별자치도 춘천시 온의동 6번지 25호","강원특별자치도 춘천시 방송길 84 (온의동)","24364","파리글라스","2023-02-13 10:32:45","I","2023-06-13 00:00:00","","263109.175778889","485355.40305733","1","1","1","1","1","1","1","1","1","0",
"50","안경업","01_02_01_P","4181000","PHMB220114180029082200004","2011-10-24","","01","영업/정상","13","영업중","","","","","033-251-3661","","","강원특별자치도 춘천시 퇴계동 445","강원특별자치도 춘천시 안마산로 109-1, 104호 (퇴계동)","24455","편안할안경","2024-08-29 13:19:39","U","2024-08-31 02:40:00","","264053.179626205","483956.402004001","1","1","2","1","2","1","1","1","1","0",
"51","안경업","01_02_01_P","4181000","PHMB220114180029082200003","2011-06-28","","01","영업/정상","13","영업중","","","","","033-255-0722","","200-042","강원특별자치도 춘천시 중앙로2가 92번지  (1층)","강원특별자치도 춘천시 중앙로 60, 1층 (중앙로2가)","24273","데이트안경원(Optical DATE)","2025-10-16 19:08:34","U","2025-10-18 02:40:00","","263873.707947101","486616.65778953","1","1","1","1","2","1","1","2","3","96.33",
"52","안경업","01_02_01_P","4181000","PHMB220144180029082200004","2014-08-13","","01","영업/정상","13","영업중","","","","","033-241-7345","","200-853","강원특별자치도 춘천시 동면 장학리 1003번지 3호","강원특별자치도 춘천시 동면 춘천로449번길 10","24209","봄(BOM)안경원","2018-01-22 14:20:15","I","2023-06-13 00:00:00","","266293.048748051","488117.242526088","1","1","1","1","1","1","2","1","1","0",
"53","안경업","01_02_01_P","4181000","PHMB220164180029082200003","2016-03-10","","01","영업/정상","13","영업중","","","","","033-263-2187","","","강원특별자치도 춘천시 석사동 725번지 11호 1층","강원특별자치도 춘천시 후석로186번길 30-5 (석사동)","24320","세화안경","2016-03-10 10:15:38","I","2023-06-13 00:00:00","","266427.359835227","485222.801514949","1","1","1","1","1","1","1","1","1","51",
"54","안경업","01_02_01_P","4181000","PHMB220164180029082200001","2016-02-23","","01","영업/정상","13","영업중","","","","","033-264-5332","","","강원특별자치도 춘천시 퇴계동 87번지","강원특별자치도 춘천시 안마산로 199 (퇴계동)","24421","안경공간","2016-02-23 14:38:30","I","2023-06-13 00:00:00","","264748.442342906","483368.951022331","1","1","1","1","1","1","1","1","1","44.1",
"55","안경업","01_02_01_P","4181000","PHMB220174180029082200002","2017-07-13","","01","영업/정상","13","영업중","","","","","033-257-2008","","","강원특별자치도 춘천시 후평동 67번지 6호","강원특별자치도 춘천시 후석로 314 (후평동)","24304","글라스팩토리&렌즈베리춘천후평점","2025-10-16 19:10:23","U","2025-10-18 02:40:00","","265986.08669223","486549.601680628","0","0","0","0","0","0","0","0","0","0",
"56","안경업","01_02_01_P","4181000","PHMB220094180029082200001","2009-04-10","","01","영업/정상","13","영업중","","","","","033-256-7372","","200-042","강원특별자치도 춘천시 중앙로2가 83번지","강원특별자치도 춘천시 중앙로 66, 1층 (중앙로2가)","24273","일공공일.안경.콘텍트 중앙점","2020-05-21 17:47:38","I","2023-06-13 00:00:00","","263824.874233124","486568.912759489","1","1","1","1","1","1","1","1","1","196",
"57","안경업","01_02_01_P","4181000","PHMB220114180029082200002","2011-05-04","","01","영업/정상","13","영업중","","","","","033-255-0328","","200-941","강원특별자치도 춘천시 조양동 51번지 1호","강원특별자치도 춘천시 명동길 9 (조양동)","24353","오렌즈 춘천점","2023-09-11 10:16:37","U","2023-09-13 02:40:00","","263941.411251686","486567.565500837","1","1","1","1","1","1","1","1","1","38",
"58","안경업","01_02_01_P","4181000","PHMB220114180029082200001","2011-02-23","","01","영업/정상","13","영업중","","","","","033-255-0109","","200-163","강원특별자치도 춘천시 후평3동 702번지 (1층)","강원특별자치도 춘천시 후석로 342 (후평동)","24299","굿아이안경원","2018-01-22 14:26:37","I","2023-06-13 00:00:00","","265837.191690782","486794.57456865","1","1","1","1","2","1","1","2","2","37",
"59","안경업","01_02_01_P","4181000","PHMB220144180029082200002","2014-05-28","","01","영업/정상","13","영업중","","","","","033-251-1061","","200-947","강원특별자치도 춘천시 효자동 628번지 10호","강원특별자치도 춘천시 서부대성로 239 (효자동)","24289","글라스 나인","2024-03-25 10:00:00","U","2024-03-27 02:40:00","","265440.305171299","485850.266746593","1","1","1","1","1","1","2","2","2","116",
"60","안경업","01_02_01_P","4181000","PHMB219964180029082200002","1996-10-15","","01","영업/정상","13","영업중","","","","","033)251-8842","","","춘천시 후평2동 832-5","강원특별자치도 춘천시 후석로 257 (후평동)","24283","파파라기안경원","2024-11-18 11:02:17","U","2024-11-20 02:40:00","","266121.106527411","486024.406479005","0","0","0","0","0","0","0","0","0","0",
"61","안경업","01_02_01_P","4181000","PHMB219984180029082200001","1998-12-15","","01","영업/정상","13","영업중","","","","","033)241-4224","","","춘천시 퇴계동 890-4","강원특별자치도 춘천시 행촌로 35 (퇴계동)","24441","서울안경원","2013-12-17 15:18:21","I","2023-06-13 00:00:00","","263673.138281614","484384.345181799","0","0","0","0","0","0","0","0","0","32.7",
"62","안경업","01_02_01_P","4181000","PHMB219994180029082200001","1999-06-25","","01","영업/정상","13","영업중","","","","","033)244-5808","","","강원특별자치도 춘천시 요선동 19번지","강원특별자치도 춘천시 중앙로 지하 48-1 (요선동)","24272","남대문안경원","2016-02-26 12:34:49","I","2023-06-13 00:00:00","","263980.766282969","486926.143643124","0","0","0","0","0","0","0","0","0","70",
"63","안경업","01_02_01_P","4181000","PHMB219994180029082200002","1999-12-13","","01","영업/정상","13","영업중","","","","","263-8488","","","강원특별자치도 춘천시 석사동 722번지 2호 그랜드아파트 상가동 109.110호","강원특별자치도 춘천시 우석로101번길 20, 상가동 109.110호 (석사동, 그랜드아파트)","24319","밝은세상안경원","2016-10-26 14:07:27","I","2023-06-13 00:00:00","","266560.329209555","485150.524863204","1","1","1","1","1","1","1","1","1","51",
"64","안경업","01_02_01_P","4181000","PHMB220004180029082200002","2000-02-17","","01","영업/정상","13","영업중","","","","","033)242-8224","","200-050","강원특별자치도 춘천시 죽림동 159번지 4호","강원특별자치도 춘천시 명동길 47 (죽림동)","24357","베드로안경원","2012-03-19 09:52:05","I","2023-06-13 00:00:00","","263674.142357694","486285.845226975","1","1","1","1","1","1","1","1","1","18.2",
"65","안경업","01_02_01_P","4181000","PHMB220044180029082200001","2004-02-20","","01","영업/정상","13","영업중","","","","","033)261-8819","","","춘천시 석사동 880-4번지","강원특별자치도 춘천시 퇴계농공로 22 (석사동)","24414","피카소안경퇴계점","2016-05-24 13:26:13","I","2023-06-13 00:00:00","","265419.195718634","483446.822404389","0","0","0","0","0","0","0","0","0","0",
"66","안경업","01_02_01_P","4181000","PHMB220044180029082200003","2004-07-01","","01","영업/정상","13","영업중","","","","","033)254-9333","","","강원특별자치도 춘천시 교동 15-3","강원특별자치도 춘천시 삭주로 64(교동)","24259","안경갤러리한림대점","2022-11-01 10:50:26","I","2023-06-13 00:00:00","","264849.295887026","486995.817346474","0","0","0","0","0","0","0","0","0","0",
"67","안경업","01_02_01_P","4181000","PHMB220044180029082200005","2004-10-22","","01","영업/정상","13","영업중","","","","","033-264-2044","","","춘천시 석사동 678-1번지","강원특별자치도 춘천시 공지로 143 (석사동)","24388","글라스 아이 유","2020-08-21 11:11:58","I","2023-06-13 00:00:00","","265544.179675026","484254.915947262","1","1","1","5","1","1","1","2","1","0",
"68","안경업","01_02_01_P","4181000","PHMB220044180029082200007","2004-10-27","","01","영업/정상","13","영업중","","","","","033)244-1001","","","강원특별자치도 춘천시 동면 장학리 234번지","강원특별자치도 춘천시 동면 춘천순환로 600, (MS마트내)","24213","앰에스안경원","2019-08-07 15:45:18","I","2023-06-13 00:00:00","","266540.279685759","488014.164781552","0","0","0","0","0","0","0","0","0","56",
