"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","사업자등록번호",
"24","종합여행업","03_12_03_P","4181000","CDFI2260042010000001","2010-08-06","","01","영업/정상","13","영업중","","","","","033-244-1155","","","강원특별자치도 춘천시 소양로1가 106-10","강원특별자치도 춘천시 후석로 577 (소양로1가)","24248","(주)도울","2025-08-06 15:07:00","U","2025-08-08 02:40:00","","264102.266540324","488147.912937522","종합여행업","","","0","","","서울보증보험","","0","0","0","0","DOWOOL CORPORATION","GENERAL TRAVEL AGENCY","0","0","","0","0","","0","142.56","","0","","","","","","","200000000","20250805","20260804","","143","",
"25","종합여행업","03_12_03_P","4181000","CDFI2260042011000001","2011-04-12","","01","영업/정상","13","영업중","","","","","033-253-4567","","","강원특별자치도 춘천시 동내면 거두리 440-2","강원특별자치도 춘천시 동내면 순환대로 940, 1층","24399","(주)매일관광","2025-04-14 11:25:22","U","2025-04-16 02:40:00","","268350.366313008","484813.435623108","종합여행업","","","0","","","서울보증보험","","0","0","0","0","MAEIL TRAVEL CO, LTD","GENERAL TRAVEL AGENCY","0","0","","0","0","","0","324.18","","0","","","","","","","670000000","20250412","20260412","","324","",
"26","종합여행업","03_12_03_P","4181000","CDFI2260042011000002","2011-05-09","","01","영업/정상","13","영업중","","","","","","","200-954","강원특별자치도 춘천시 효자동 674-10","강원특별자치도 춘천시 공지로 366 (효자동)","24337","(주)브랜드관광연구소","2025-09-17 17:15:28","U","2025-09-19 02:40:00","","263824.001958141","485613.069205279","종합여행업","","자연녹지지역","1","기타","","서울보증보험","사무실","1","0","0","0","BRAND TOURISM RESEARCH CENTER CO, LTD","GENERAL TRAVEL AGENCY","0","0","","0","0","","0","92.64","","0","","","","","","","200000000","20250810","20260809","","93","",
"27","종합여행업","03_12_03_P","4181000","CDFI2260042022000001","2022-04-15","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 소양로2가 172-1 신동아아파트 82호","강원특별자치도 춘천시 서부대성로 12, 82호 (소양로2가, 신동아아파트)","24272","(주)세원","2025-04-21 16:25:51","U","2025-04-23 02:40:00","","263675.833817836","487157.336209289","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","12.21","","0","","","","","","","300000000","20250414","20260414","","12","",
"28","종합여행업","03_12_03_P","4181000","CDFI2260042022000003","2022-11-07","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 퇴계동 141 홈플러스","강원특별자치도 춘천시 김유정로 1840, 홈플러스 지하 1층 (퇴계동)","24423","브리즈투어","2025-01-22 16:03:34","U","2025-01-25 02:40:00","","264597.191878957","483368.29049207","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20241101","20251031","","0","",
"29","종합여행업","03_12_03_P","4181000","CDFI2260042023000001","2023-01-10","","01","영업/정상","13","영업중","","","","","1533-2830","","","강원특별자치도 춘천시 석사동 679","강원특별자치도 춘천시 후석로66번길 23, 2층 (석사동)","24388","주식회사 야무진파크골프","2025-02-12 15:29:22","U","2025-02-15 02:40:00","","265511.435130324","484253.790786062","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20250110","20260109","","0","",
"30","종합여행업","03_12_03_P","4181000","CDFI2260042023000002","2023-02-13","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 퇴계동 416-4","강원특별자치도 춘천시 영서로2151번길 12, 3층 (퇴계동)","24448","시크릿투어","2025-03-10 17:34:33","U","2025-03-12 02:40:00","","264511.02452176","484128.548234202","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20250213","20260212","","0","",
"31","종합여행업","03_12_03_P","4181000","CDFI2260042023000004","2023-02-14","","01","영업/정상","13","영업중","","","","","033-255-2233","","","강원특별자치도 춘천시 조양동 6-113","강원특별자치도 춘천시 시청길 28, 201호 (조양동)","24348","(주)예약센터","2025-02-12 15:28:38","U","2025-02-15 02:40:00","","264223.700066808","486715.25416599","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20250214","20260213","","0","",
"32","종합여행업","03_12_03_P","4181000","CDFI2260042023000005","2023-02-20","","01","영업/정상","13","영업중","","","","","033-251-0080","","","강원특별자치도 춘천시 근화동 159","강원특별자치도 춘천시 공지로 619 (근화동)","24244","(주)모두관광여행사","2025-10-15 14:33:27","U","2025-10-17 02:40:00","","263152.018525454","487359.165022147","종합여행업","","","0","","","한국관광협회중앙회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","250000000","20250220","20260220","","0","",
"33","종합여행업","03_12_03_P","4181000","CDFI2260042023000007","2023-03-07","","01","영업/정상","13","영업중","","","","","033-255-0920","","","강원특별자치도 춘천시 중앙로1가 53 강원일보사","강원특별자치도 춘천시 중앙로 23, 강원일보사 (중앙로1가)","24346","(주)윈클루","2025-04-16 11:33:34","U","2025-04-18 02:40:00","","264059.690517466","486908.838008865","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","250000000","20250308","20260307","","0","",
"34","종합여행업","03_12_03_P","4181000","CDFI2260042023000010","2023-05-12","","01","영업/정상","13","영업중","","","","","033-264-1365","","","강원특별자치도 춘천시 중앙로1가 78","강원특별자치도 춘천시 중앙로 41-1, 3층 (중앙로1가)","24346","(주)비알씨","2025-05-21 15:03:17","U","2025-05-23 02:40:00","","264003.14406181","486753.060546439","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","70000000","20250518","20260517","","0","",
"35","종합여행업","03_12_03_P","4181000","CDFI2260042023000011","2022-11-07","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 퇴계동 1160-8","강원특별자치도 춘천시 춘천로 34-1, 503호 (퇴계동)","24367","(주)위시트래블","2025-09-17 17:15:00","U","2025-09-19 02:40:00","","263547.394560428","485244.988547348","종합여행업","","","0","","","한국관광협회","","0","0","0","0","WISH TRAVEL Co., Ltd","General travel agency","0","0","","0","0","","0","93.8","","0","","","","","","","100000000","20250714","20260714","","94","",
"36","종합여행업","03_12_03_P","4181000","CDFI2260042023000012","2023-05-26","","01","영업/정상","13","영업중","","","","","033-257-5928","","","강원특별자치도 춘천시 중앙로2가 42-69","강원특별자치도 춘천시 중앙로 79, 2층 (중앙로2가)","24354","(주)고려항공여행사","2025-06-27 10:59:39","U","2025-06-29 02:40:00","","263774.431481972","486457.913701443","종합여행업","","","0","","","한국관광협회중앙회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","150000000","20250526","20260526","","0","",
"37","종합여행업","03_12_03_P","4181000","CDFI2260042013000001","2013-07-04","","01","영업/정상","13","영업중","","","","","033-244-7400","","","강원특별자치도 춘천시 요선동 9-2","강원특별자치도 춘천시 중앙로 30, 1층 (요선동)","24271","(합)앤투어","2025-10-16 09:27:59","U","2025-10-18 02:40:00","","264005.622086396","486882.449767053","종합여행업","","","0","","","한국관광협회중앙회","","0","0","0","0","NTOURS","General Travel Business","0","0","","0","0","","0","0","","0","","","","","","","200000000","20250920","20260920","","0","",
"38","종합여행업","03_12_03_P","4181000","CDFI2260042014000001","2014-01-27","","01","영업/정상","13","영업중","","","","","033-253-4000","","","강원특별자치도 춘천시 동내면 거두리 440-2","강원특별자치도 춘천시 동내면 순환대로 940, 1층","24399","뉴매일관광(주)","2025-02-12 15:30:55","U","2025-02-15 02:40:00","","268350.366313008","484813.435623108","종합여행업","","일반상업지역","0","","","서울보증보험","근린생활시설","2","0","0","0","NEWMAEIL TRAVEL.CO.LTD","GENERAL TRANEL AGENCY","0","0","","0","0","","0","0","","0","","","","","","","200000000","20250201","20260131","","0","",
"39","종합여행업","03_12_03_P","4181000","CDFI2260042014000002","2014-05-19","","01","영업/정상","13","영업중","","","","","033-253-8802~3","","","강원특별자치도 춘천시 동내면 신촌리 158-2","강원특별자치도 춘천시 동내면 금촌로 48","24399","주식회사 강원여행사","2025-06-27 11:14:10","U","2025-06-29 02:40:00","","268630.460710383","483751.708964728","종합여행업","","자연녹지지역","0","","","서울보증보험주식회사","사무실","0","0","0","0","","","0","0","","0","0","","0","44","","0","","","","","","","300000000","20250522","20260521","","44","",
"40","종합여행업","03_12_03_P","4181000","CDFI2260042014000003","2014-05-19","","01","영업/정상","13","영업중","","","","","031-580-8119","","200-914","강원특별자치도 춘천시 남산면 방하리 198","강원특별자치도 춘천시 남산면 남이섬길 1","24464","주식회사 남이섬","2025-05-21 15:02:19","U","2025-05-23 02:40:00","","246222.531678854","476683.992337235","종합여행업","","","0","","","서울보증보험주식회사","근린생활시설","2","0","0","0","","","0","0","","0","0","","0","54","","0","","","","","","","47501009000","20250519","20260518","","54","",
"41","종합여행업","03_12_03_P","4181000","CDFI2260042015000001","2015-01-05","","01","영업/정상","13","영업중","","","","","033-262-0026","","200-966","강원특별자치도 춘천시 퇴계동 1076","강원특별자치도 춘천시 퇴계로93번길 3, 102호 (퇴계동, 아이시티빌딩)","24376","(주)우리항공 여행사","2025-01-22 15:39:14","U","2025-01-25 02:40:00","","264235.13316664","484678.052744345","종합여행업","","근린상업지역","1","기타","","서울보증보험","근린생활시설","1","0","0","0","","","0","0","","0","0","","0","45.98","","0","","","","","","","0","20250107","20260106","","46","",
"42","종합여행업","03_12_03_P","4181000","CDFI2260042017000003","2017-02-28","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 서면 금산리 1013","강원특별자치도 춘천시 서면 박사로 882","24461","주식회사 블루나래","2025-02-19 09:52:46","U","2025-02-21 02:40:00","","260819.739664112","488267.312140011","종합여행업","","","0","","","","근린생활시설","1","0","0","0","","","0","0","","0","0","","0","84.68","","0","","","","","","","100000000","20180228","20190227","","85","",
"43","종합여행업","03_12_03_P","4181000","CDFI2260042017000004","2017-12-05","","01","영업/정상","13","영업중","","","","","1522-0159","","","강원특별자치도 춘천시 서면 덕두원리 251-4","강원특별자치도 춘천시 서면 덕두원길 108-27","24462","(주)알플레이","2025-01-22 15:45:53","U","2025-01-25 02:40:00","","258091.590828189","483915.940984145","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","287.69","","0","","","","","20241205","20251204","108179720","20241205","20251204","","288","",
"44","종합여행업","03_12_03_P","4181000","CDFI2260042018000004","2018-07-05","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 동면 장학리 1007-6","강원특별자치도 춘천시 동면 춘천순환로 609, 서유빌딩 7층","24209","주식회사 임팩시스","2025-09-17 17:14:23","U","2025-09-19 02:40:00","","266398.262051517","488106.261157729","종합여행업","","","0","","","서울보증보험","사무실","0","0","0","0","IMPACSYS CO., LTD.","GENERAL TRAVEL AGENCY","0","0","","0","0","","0","117.23","","0","","","","","","","284990592","20250705","20260704","","117","",
"45","종합여행업","03_12_03_P","4181000","CDFI2260042019000003","2019-03-26","","01","영업/정상","13","영업중","","","","","033-263-7000","","","강원특별자치도 춘천시 석사동 850-5 2층","강원특별자치도 춘천시 새롬공원길4번길 5, 2층 (석사동)","24394","해피투어","2025-04-02 16:35:48","U","2025-04-04 02:40:00","","265711.250521463","483615.954237304","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20250401","20260331","","0","",
"46","종합여행업","03_12_03_P","4181000","CDFI2260042019000004","2019-04-09","","01","영업/정상","13","영업중","","","","","033-256-5011","","","강원특별자치도 춘천시 석사동 351-8 4층","강원특별자치도 춘천시 공지로 154, 4층 (석사동)","24327","주식회사 인터포스","2025-06-27 11:00:47","U","2025-06-29 02:40:00","","265516.91889812","484371.628354909","종합여행업","","","0","","","한국관광협회중앙회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20250521","20260521","","0","",
"47","종합여행업","03_12_03_P","4181000","CDFI2260042019000005","2019-04-15","","01","영업/정상","13","영업중","","","","","033-263-7000","","","강원특별자치도 춘천시 석사동 850-5","강원특별자치도 춘천시 새롬공원길4번길 5 (석사동)","24394","오늘밤엔","2025-06-27 10:51:05","U","2025-06-29 02:40:00","","265711.250521463","483615.954237304","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20250614","20260613","","0","",
"48","종합여행업","03_12_03_P","4181000","CDFI2260042019000006","2019-09-23","","01","영업/정상","13","영업중","","","","","033-255-2636","","","강원특별자치도 춘천시 운교동 175","강원특별자치도 춘천시 운천길 26-1, 2층 (운교동)","24335","㈜강원항공 헬기투어여행사","2025-09-17 17:16:34","U","2025-09-19 02:40:00","","264291.142890191","486114.531529325","종합여행업","","","0","","","서울보증보험주식회사","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20250820","20260819","","0","",
"49","종합여행업","03_12_03_P","4181000","CDFI2260042021000001","2021-03-15","","01","영업/정상","13","영업중","","","","","033-253-7166","","","강원특별자치도 춘천시 신동면 증리 901","강원특별자치도 춘천시 신동면 풍류1길 34, 2층","24412","(주) 좋은여행도모","2025-03-17 11:30:31","U","2025-03-19 02:40:00","","263303.561372561","479735.155951467","종합여행업","","","2","","","서울보증보험주식회사","","0","0","0","0","","","0","0","","0","0","","0","12","","0","","","","","","","11400000","20250315","20260314","","12","",
"50","종합여행업","03_12_03_P","4181000","CDFI2260042021000003","2021-10-19","","01","영업/정상","13","영업중","","","","","033-252-3352","","","강원특별자치도 춘천시 석사동 311-5","강원특별자치도 춘천시 공지로 133 (석사동)","24389","(주)티앤비여행사","2025-03-24 17:15:03","U","2025-03-26 02:40:00","","265599.154602506","484186.366387599","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","20241018","20251017","","0","",
"51","종합여행업","03_12_03_P","4181000","CDFI2260042024000009","2024-08-14","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 후평동 623-4","강원특별자치도 춘천시 소양강로 10, 619호 (후평동)","24232","(주)지니안","2025-09-17 17:16:04","U","2025-09-19 02:40:00","","265110.09316187","487896.259846263","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20250814","20260813","","0","",
