"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","취급제품명","담배공급업체명",
"39","담배도매업","11_43_01_P","4201000","2000420011515500001","2000-09-25","","03","폐업","3","폐업처리","2008-08-14","","","","641-1367","","210-080","강원특별자치도 강릉시 임당동 168번지 4호","강원특별자치도 강릉시 임영로 162 (임당동)","","드림유통","2008-08-14 14:31:01","I","2023-06-13 00:00:00","","366649.919695874","474257.464229656","포인트,오마샤리프마일드,오마샤리프박스,소브라닉클래식,소브라닉클래식라이트,프레지던트,아쏘스슬림,아쏘스라이트","(주)태원인터내셔널,경인담배상사(주),(주)엔티씨타바코,아남인터내쇼날",
"40","담배도매업","11_43_01_P","4201000","2005420011515500001","2005-12-19","","03","폐업","3","폐업처리","2008-03-21","","","","641-4846","","210-101","강원특별자치도 강릉시 교동 1730번지 3호 1층","강원특별자치도 강릉시 원대로 35 (교동,1층)","","이프라이프","2008-03-28 16:15:23","I","2023-06-13 00:00:00","","365737.383512348","474494.392775711","이프","(주)이프라이프",
"41","담배도매업","11_43_01_P","4201000","2009420011515500001","2009-04-01","","03","폐업","3","폐업처리","2011-10-26","","","","033-920-1776","","210-101","강원특별자치도 강릉시 교1동 1006번지 11호 3층","강원특별자치도 강릉시 강릉대로 186 (교동,3층)","","에바코","2011-10-26 16:09:32","I","2023-06-13 00:00:00","","366573.057585171","474451.478023384","루옌전자담배","(주)에바코",
"42","담배도매업","11_43_01_P","4211000","2008421010615500001","2008-03-24","","03","폐업","3","폐업처리","2010-05-04","","","","","","240-010","강원특별자치도 동해시 천곡동 994번지 3호","강원특별자치도 동해시 감추로 14 (천곡동)","","우리담배","2011-03-15 09:13:12","I","2023-06-13 00:00:00","","387432.497518101","447951.864294897","우리담배(위고, 스윙 등)","우리담배판매(주)",
"43","담배도매업","11_43_01_P","4211000","2011421013315500001","2011-01-06","","03","폐업","3","폐업처리","2012-07-16","","","","0335226004","","240-010","강원특별자치도 동해시 천곡동 1000번지 12호","강원특별자치도 동해시 중앙로 165 (천곡동)","","한국전자담배","2012-07-16 16:49:49","I","2023-06-13 00:00:00","","387150.947415113","448073.986058208","전자담배","(주)한국전자담배",
"44","담배도매업","11_43_01_P","4221000","2008422001015500001","2008-04-11","","03","폐업","3","폐업처리","2009-06-04","","","","","","235-010","강원특별자치도 태백시 황지동 273번지 5호","강원특별자치도 태백시 황지로 251-1 (황지동)","235-270","우리담배 태백대리점","2011-10-30 13:23:17","I","2023-06-13 00:00:00","","376146.445975115","410346.049839082","위고,스윙","우리담배판매(주)",
"45","담배도매업","11_43_01_P","4231000","2013423006415500001","2013-08-19","","01","영업/정상","1","정상영업","","","","","","","","","강원특별자치도 속초시 수복로 82 (교동)","217-803","스누스코리아 속초","2014-12-04 17:54:50","I","2023-06-13 00:00:00","","338213.32415305","523010.710127573","무연담배","스누스코리아",
"46","담배도매업","11_43_01_P","4231000","2009423005115500001","2009-09-10","","03","폐업","3","폐업처리","2011-03-09","","","","033-637-6581","","217-060","강원특별자치도 속초시 교동 737번지 7호 아남프라자 1층 114호","강원특별자치도 속초시 동해대로 4236 (교동,아남프라자 1층 114호)","","가비엠","2011-03-14 14:07:57","I","2023-06-13 00:00:00","","338132.520338395","522766.508207672","전자담배","가비엠",
"47","담배도매업","11_43_01_P","4231000","2010423006415500001","2010-12-15","","03","폐업","3","폐업처리","2018-03-26","","","","","","217-050","강원특별자치도 속초시 청학동 638번지 7호","강원특별자치도 속초시 청학로 65 (청학동)","217-050","한국전자담배","2018-03-27 14:29:13","I","2023-06-13 00:00:00","","338550.346763943","523429.698684087","전자담배","(주)한국전자담배",
"48","담배도매업","11_43_01_P","4251000","2008425007715500001","2008-04-02","","03","폐업","3","폐업처리","2011-01-24","","","","","","250-932","강원특별자치도 홍천군 홍천읍 연봉리 291번지 6호","강원특별자치도 홍천군 홍천읍 무궁화로4길 6","","우리담배홍천대리점","2011-10-30 17:26:46","I","2023-06-13 00:00:00","","276913.666855469","464925.649124077","우리담배 제품(위고원, 위고블루, 위고와인, 스윙1mg, 스윙4.5mg)","우리담배판매 주식회사",
"49","담배도매업","11_43_01_P","4271000","2008427005915500001","2008-09-16","","03","폐업","3","폐업처리","2008-11-24","","","","372-8939","","230-801","강원특별자치도 영월군 영월읍 영흥리 969번지 1호 4통 1반","강원특별자치도 영월군 영월읍 관풍헌길 85-7","","우리담배판매대리점","2008-12-19 13:08:33","I","2023-06-13 00:00:00","","330436.141406897","410288.820374128","위고원 외 4종","우리담배판매(주)",
"50","담배도매업","11_43_01_P","4271000","2008427005915500002","2008-11-28","","03","폐업","3","폐업처리","2014-01-24","","","","033-373-8939","","230-805","강원특별자치도 영월군 영월읍 969번지 1호 4통 1반","","","우리담배 영월대리점","2014-01-25 14:09:47","I","2023-06-13 00:00:00","","","","위고 원(1mg), 위고 블루(3mg), 위고 와인(5.5mg), 스윙(1mg), 스윙(4.5mg)","우리담배",
"51","담배도매업","11_43_01_P","4291000","2007429004015500001","2007-12-26","","01","영업/정상","1","정상영업","","","","","0335633388","","233-804","강원특별자치도 정선군 정선읍 봉양리 46번지 16호","강원특별자치도 정선군 정선읍 녹송로 91","","우리담배정선평창대리점","2008-10-09 17:17:43","I","2023-06-13 00:00:00","","347895.352317982","432749.036176424","제조담배(위고, 스윙)","우리담배(주)",
"52","담배도매업","11_43_01_P","4291000","2011429007215500001","2011-11-14","","01","영업/정상","1","정상영업","","","","","0335919083","","233-835","강원특별자치도 정선군 남면 문곡리 104번지 5호","강원특별자치도 정선군 남면 칠현로 76","233-830","KTI강원","2011-11-14 17:27:37","I","2023-06-13 00:00:00","","354297.116392162","419915.100486699","TREASURER BLACK,  TREASURER GOLD,  TREASURER관련제품","(주)한국담배인터내셔널",
"53","담배도매업","11_43_01_P","4291000","2018429007215500001","2018-09-05","","01","영업/정상","1","정상영업","","","","","","","","강원특별자치도 정선군 사북읍 사북리 356번지 178호","강원특별자치도 정선군 사북읍 사북1길 25","26152","이프담배 강원총판","2018-09-05 09:28:20","I","2023-06-13 00:00:00","","360775.992255988","415492.348350645","이프 수퍼슬림, 이프킹","주식회사 에스마크",
"54","담배도매업","11_43_01_P","4301000","2008430006915500002","2008-08-26","","01","영업/정상","1","정상영업","","","","","033-452-7070","","269-802","강원특별자치도 철원군 갈말읍 군탄리 481번지 9호","강원특별자치도 철원군 갈말읍 명성로 296","","주몽담배 철원/화천 대리점","2008-08-26 13:03:25","I","2023-06-13 00:00:00","","227137.879996104","517239.448512017","니드 주몽","주몽담배(주)",
"55","담배도매업","11_43_01_P","4301000","2008430006915500001","2008-04-17","","03","폐업","3","폐업처리","2009-03-09","","","","","","269-802","강원특별자치도 철원군 갈말읍 지포리 168번지","강원특별자치도 철원군 갈말읍 명성로 115","269-802","우리담배철원대리점","2014-01-01 20:01:17","I","2023-06-13 00:00:00","","226818.199546852","515518.412509301","위고 원(1mg), 위고 블루(3mg), 위고 와인(5.5mg),  스윙(1mg), 스윙(4.5mg)","우리담배판매(주)",
"56","담배도매업","11_43_01_P","4321000","2008432003915500001","2008-03-11","","03","폐업","3","폐업처리","2013-01-16","","","","481-9845","","255-804","강원특별자치도 양구군 양구읍 상리 132번지 3호","","","우리담배양구대리점","2013-01-16 13:11:44","I","2023-06-13 00:00:00","","287261.185608636","510741.694549906","우리담배(위고)","우리담배(주)",
"57","담배도매업","11_43_01_P","4331000","2009433004115500001","2009-07-10","","03","폐업","3","폐업처리","2011-06-07","","","","461-1222","","252-805","강원특별자치도 인제군 인제읍 남북리 386번지 11호","강원특별자치도 인제군 인제읍 인제로112번길 36-30","","한국전자담배인제지사","2011-12-27 09:47:27","I","2023-06-13 00:00:00","","302260.418692645","507158.227126678","전자담배류","(주)한국전자담배",
"58","담배도매업","11_43_01_P","4341000","2008434003315500001","2008-07-18","","01","영업/정상","1","정상영업","","","","","033-681-7077","","219-801","강원특별자치도 고성군 간성읍 하리 15-6","강원특별자치도 고성군 간성읍 간성로 80-1","219-801","우리담배(주)고성대리점","2011-10-30 16:23:57","I","2023-06-13 00:00:00","","328037.410947031","542861.863893526","담배완제품(위고, 스윙)","우리담배(주)",
"59","담배도매업","11_43_01_P","4351000","2007435004415500001","2007-12-14","","03","폐업","3","폐업처리","2020-02-03","","","","672-7741","","215-807","강원특별자치도 양양군 양양읍 월리 241번지 1호","","","명담유통","2020-04-14 11:01:42","I","2023-06-13 00:00:00","","342694.616909011","508800.948796131","담배완제품(위고,스윙)","우리담배",
"60","담배도매업","11_43_01_P","4351000","2008435004415500001","2008-03-11","","03","폐업","3","폐업처리","2020-02-03","","","","033-672-0455","","215-804","강원특별자치도 양양군 양양읍 남문리 3번지 99호","","","우리담배속초대리점","2020-04-14 11:01:34","I","2023-06-13 00:00:00","","342534.185515972","509477.367295845","위고, 스윙","우리담배판매(주)",
