"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"11","음반물제작업","03_14_05_P","6530000","M01012019000002","2019-05-17","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 횡성군 횡성읍 읍상리 ***번지 *호","강원특별자치도 횡성군 횡성읍 읍상서로 **-*, *층","","플레이팩토리","2019-05-17 09:39:32","I","2023-06-13 00:00:00","","287303.34512562","443584.02247225","음반물제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","음원 제작","","",
"12","음반물제작업","03_14_05_P","6530000","M01012019000003","2019-05-27","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 홍천군 홍천읍 갈마곡리 **번지 *호 미소타운","강원특별자치도 홍천군 홍천읍 갈마로*길 *-*, ***호 (미소타운)","","남경","2019-05-27 13:57:24","I","2023-06-13 00:00:00","","279569.150528388","466129.395515364","음반물제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","음반,음악영상물제작","","",
"13","음반물제작업","03_14_05_P","6530000","M01012019000005","2019-05-27","","01","영업/정상","1","영업","","","","","0332591215","","","강원특별자치도 춘천시 삼천동 ***번지 *호 MBC춘천문화방송","강원특별자치도 춘천시 수변공원길 **-* (삼천동,MBC춘천문화방송)","","춘천문화방송(주)","2019-05-27 14:40:22","I","2023-06-13 00:00:00","","261823.333742905","486063.952881273","음반물제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","음반, 음악영상물, 다큐, 방송제작물 외","","",
"14","음반물제작업","03_14_05_P","6530000","M01012019000007","2019-06-10","","01","영업/정상","1","영업","","","","","0337653250","","","강원특별자치도 원주시 반곡동 ****번지 *호  ***호","강원특별자치도 원주시 동부순환로 **-*, *층 ***호 (반곡동)","","주식회사 케이에스씨","2019-06-10 18:23:43","I","2023-06-13 00:00:00","","285991.071753162","424609.97265128","음반물제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","음반, 음악영상물","","",
"15","음반물제작업","03_14_05_P","6530000","M01012019000008","2019-06-24","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 퇴계동 ****번지 *호 투탑시티 *층동 ***호","강원특별자치도 춘천시 지석로 **-*, *층 ***호 (퇴계동,투탑시티)","","케이팝 코인노래 뮤비방","2019-06-24 13:41:00","I","2023-06-13 00:00:00","","265386.634330563","483368.251535269","음반물제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","음반.음악영상물 제작업","","",
"16","음반물제작업","03_14_05_P","6530000","M01012019000009","2019-08-05","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 동해시 삼화동 ***번지 **호 청춘카페 제*호","강원특별자치도 동해시 삼화로 ***-*, *,*층 제*호 (삼화동,청춘카페)","","케이팝코인노래뮤비방","2019-08-05 15:33:27","I","2023-06-13 00:00:00","","378850.157655292","442102.611444246","음반물제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","음반.음악영상물제작업","","",
"17","음반물제작업","03_14_05_P","6530000","M01012020000001","2020-05-11","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 춘천시 춘주로 **-*, *동 *층 ***호 (온의동,트리플타워)","","주식회사 아츠","2020-10-21 17:32:30","I","2023-06-13 00:00:00","","263277.754058361","484647.309880067","음반물제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","음반음악영상물 제작","","",
"18","음반물제작업","03_14_05_P","6530000","M01012020000002","2020-07-21","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 춘천시 효석로**번길 **-*, *층 (석사동)","","비더칸 레코즈","2020-07-21 11:37:43","I","2023-06-13 00:00:00","","265188.790777073","484542.764640787","음반물제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","뮤직비디오","","",
"19","음반물제작업","03_14_05_P","6530000","M01012020000003","2020-09-11","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 동내면 거두리 ***번지 *호","강원특별자치도 춘천시 동내면 공지로 **-**, *층","","케이팝 뮤직비디오","2020-09-11 17:27:42","I","2023-06-13 00:00:00","","266053.123232477","483837.490977581","음반물제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","음반, 영상, 유튜브","","",
"20","음반물제작업","03_14_05_P","6530000","M01012020000004","2020-12-28","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 소양로*가 *번지 *호 소양로현대아파트 ***동 ***호","강원특별자치도 춘천시 모수물길 **-*, ***동 ***호 (소양로*가,소양로현대아파트)","","악어픽쳐스","2020-12-28 09:52:36","I","2023-06-13 00:00:00","","263896.122997652","487632.740458328","음반물제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","뮤직비디오, 라이브클립 영상 제작","","",
"21","음반물제작업","03_14_05_P","6530000","M01012006000001","2006-06-22","","01","영업/정상","1","영업","","","","","0332507742","","","강원특별자치도 춘천시 효자동 ***번지 *호","강원특별자치도 춘천시 강원대학길 * (효자동)","","강원대학교 BR 미디어 프로덕션","2011-10-30 15:18:30","I","2023-06-13 00:00:00","","265481.557982219","485420.871953344","음반물제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","음반제작업","","",
"22","음반물제작업","03_14_05_P","6530000","M01012009000001","2009-06-10","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 태백시 황지동 ***번지 강원관광대학창업보육센터","강원특별자치도 태백시 대학길 ** (황지동)","","태백문화재단","2011-10-30 14:36:19","I","2023-06-13 00:00:00","","375366.896553026","408426.548493144","음반물제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","음반물","","",
"23","음반물제작업","03_14_05_P","6530000","M01012009000002","2009-08-13","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 횡성군 공근면 초원리 ***번지 *호","강원특별자치도 횡성군 공근면 아이티밸리길 ***","","득영미디어(주)","2011-10-30 15:23:20","I","2023-06-13 00:00:00","","280103.724155027","447656.31788424","음반물제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","음반물","","",
"24","음반물제작업","03_14_05_P","6530000","M01012009000003","2009-12-01","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 후평동 ***번지 **호","강원특별자치도 춘천시 춘천로 *** (후평동)","","프리셔스레이블","2011-10-30 15:00:09","I","2023-06-13 00:00:00","","265392.996199068","486702.227859639","음반물제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","음반물","","",
"25","음반물제작업","03_14_05_P","6530000","M01012012000001","2012-06-11","","01","영업/정상","1","영업","","","","","0332512282","","","강원특별자치도 춘천시 운교동 ***번지 **호","강원특별자치도 춘천시 금강로 ** (운교동)","","Will music company","2012-06-11 10:55:01","I","2023-06-13 00:00:00","","264207.997553259","486280.078954088","음반물제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","CD, DVD,디지털음원,뮤직비디오,공연영상물","","",
"26","음반물제작업","03_14_05_P","6530000","M01012019000001","2019-05-17","","03","폐업","3","폐업","2020-03-25","","","","0332632312","","","강원특별자치도 춘천시 석사동 ***번지 *호","강원특별자치도 춘천시 벌말길 **-*, *층 (석사동)","","주식회사 자인이엔엠(zain E&M)","2020-04-14 15:34:35","I","2023-06-13 00:00:00","","265359.897779393","484472.741961012","음반물제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","음반제작, 음반영상물 제작","","",
"27","음반물제작업","03_14_05_P","6530000","M01012019000004","2019-05-27","","03","폐업","3","폐업","2020-02-28","","","","","","","강원특별자치도 태백시 황지동 ***번지 **호","강원특별자치도 태백시 감천로 **-*, *층 (황지동)","","쟁반노래마당 영상","2020-03-04 16:57:27","I","2023-06-13 00:00:00","","376540.427089064","408197.275612278","음반물제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","음악영상물, 음악영상파일, USB","","",
