"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","지정일자","민원종류명",
"25","담배소매업","11_43_02_P","4181000","2013418022905600082","2013-09-24","","01","영업/정상","0","정상영업","","","","","254-7095","","200-240","강원특별자치도 춘천시 신동 산 10번지 1호","","","춘천병원마트(쌍용마트 4호점)","2013-09-24 18:14:07","I","2023-06-13 00:00:00","","","","20130924","2009년11월법개정전자료",
"26","담배소매업","11_43_02_P","4181000","2013418022905600083","2013-09-24","","01","영업/정상","0","정상영업","","","","","254-7095","","200-829","강원특별자치도 춘천시 동내면 학곡리 산 50번지 사서함","","","52탄약마트(황소마트 2호점)","2013-09-24 18:16:46","I","2023-06-13 00:00:00","","","","20130924","2009년11월법개정전자료",
"27","담배소매업","11_43_02_P","4181000","2013418022905600084","2013-09-24","","01","영업/정상","0","정상영업","","","","","254-7095","","200-829","강원특별자치도 춘천시 신동면 증리 816번지 사서함","","","82정비대대(황소마트 3호점)","2013-09-24 18:19:04","I","2023-06-13 00:00:00","","262875.843407006","480626.750146819","20130924","2009년11월법개정전자료",
"28","담배소매업","11_43_02_P","4181000","2013418022905600086","2013-09-24","","01","영업/정상","0","정상영업","","","","","254-7095","","200-240","강원특별자치도 춘천시 신동 1050번지 1호","강원특별자치도 춘천시 되내길 37 (신동)","200-240","2급양대(쌍용공병마트 2-1)","2014-02-25 18:45:01","I","2023-06-13 00:00:00","","263129.353553786","493346.166724192","20130924","2009년11월법개정전자료",
"29","담배소매업","11_43_02_P","4181000","2013418022905600087","2013-09-24","","01","영업/정상","0","정상영업","","","","","254-7095","","200-823","강원특별자치도 춘천시 신북읍 용산리 사서함","강원특별자치도 춘천시 신북읍 영서로 3252","200-823","110공병마트(쌍용공병마트 2호점)","2014-02-25 18:27:27","I","2023-06-13 00:00:00","","262793.049970336","493348.76716891","20130924","2009년11월법개정전자료",
"30","담배소매업","11_43_02_P","4181000","1998418001605600119","1998-06-01","","01","영업/정상","0","정상영업","","","","","033 2625458","","","강원특별자치도 춘천시 신동 5-21호","","","강변마트","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","","","","",
"31","담배소매업","11_43_02_P","4181000","1998418001605600122","1998-06-15","","01","영업/정상","0","정상영업","","","","","033 2618977","","","강원특별자치도 춘천시 석사동 433-2호","","","도남철물","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","","","","",
"32","담배소매업","11_43_02_P","4181000","1998418001605600123","1998-06-15","","01","영업/정상","0","정상영업","","","","","033 2431472","","","강원특별자치도 춘천시 동면 만천리 340-29호","강원특별자치도 춘천시 동면 순환대로 1154-65","200-852","더해븐","2013-12-30 17:34:37","I","2023-06-13 00:00:00","","","","19980615","2009년11월법개정전자료",
"33","담배소매업","11_43_02_P","4181000","1998418001605600134","1998-07-15","","01","영업/정상","0","정상영업","","","","","033 2436689","","","강원특별자치도 춘천시 서면 금산리 399-1호","강원특별자치도 춘천시 서면 박사로 939","200-831","5형제마트","2013-12-30 17:35:51","I","2023-06-13 00:00:00","","261005.763644401","488751.176522096","19980715","2009년11월법개정전자료",
"34","담배소매업","11_43_02_P","4181000","1998418001605600155","1998-08-26","","01","영업/정상","0","정상영업","","","","","033 2436573","","","강원특별자치도 춘천시 죽림동 호 (죽림동 46)","","","한아름화장품","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","","","","",
"35","담배소매업","11_43_02_P","4181000","1999418001605600351","1999-09-30","","01","영업/정상","0","정상영업","","","","","033 2541517","","","강원특별자치도 춘천시 교동 141호","강원특별자치도 춘천시 교동길10번길 11 (교동)","","청원상회","2015-07-08 14:33:36","I","2023-06-13 00:00:00","","264613.641298118","486616.24130525","19990930","2009년11월법개정전자료",
"36","담배소매업","11_43_02_P","4181000","1999418001605600357","1999-10-08","","01","영업/정상","0","정상영업","","","","","033 2526282","","","강원특별자치도 춘천시 근화동 742-1호","강원특별자치도 춘천시 중앙로190번길 79 (근화동)","200-931","청와마트","2018-01-08 13:57:03","I","2023-06-13 00:00:00","","262711.170791478","486653.186659756","19991008","2009년11월법개정전자료",
"37","담배소매업","11_43_02_P","4181000","2011418016605600057","2011-05-17","","01","영업/정상","0","정상영업","","","","","033-244-1083","","200-862","강원특별자치도 춘천시 사북면 고탄리 132번지 1호","강원특별자치도 춘천시 사북면 춘화로 526","","신북농협 고탄지소","2011-05-23 10:45:29","I","2023-06-13 00:00:00","","262226.193243392","498601.145377642","20110517","제7조의3제2항에따른경우",
"38","담배소매업","11_43_02_P","4181000","2011418016605600059","2011-05-23","","01","영업/정상","0","정상영업","","","","","033-240-1052","","200-190","강원특별자치도 춘천시 온의동 511번지 1,2층","강원특별자치도 춘천시 경춘로 2353, 1,2층층 (온의동)","200-938","(주)이마트 춘천점","2013-12-30 10:36:16","I","2023-06-13 00:00:00","","263141.943193102","484821.289677657","20110523","제7조의3제3항에따른경우",
"39","담배소매업","11_43_02_P","4181000","2011418016605600066","2011-05-31","","01","영업/정상","0","정상영업","","","","","033-252-9550","","200-140","강원특별자치도 춘천시 사농동 99번지 21호","강원특별자치도 춘천시 사우로 31-6 (사농동)","","더널리종합상사","2011-12-19 09:48:46","I","2023-06-13 00:00:00","","263969.989099378","489658.022645627","20110531","제7조의3제2항에따른경우",
"40","담배소매업","11_43_02_P","4181000","1993418001605600005","1993-01-06","","01","영업/정상","0","정상영업","","","","","033 2537750","","","강원특별자치도 춘천시 우두동 1066-1호","강원특별자치도 춘천시 충열로 14 (우두동)","200-940","우두슈퍼","2013-12-30 16:46:47","I","2023-06-13 00:00:00","","264102.781670921","488873.098351129","19930106","2009년11월법개정전자료",
"41","담배소매업","11_43_02_P","4181000","1993418001605600076","1993-04-22","","01","영업/정상","0","정상영업","","","","","033 2544491","","","강원특별자치도 춘천시 중앙로1가 73호","강원특별자치도 춘천시 중앙로 37 (중앙로1가)","","농협중앙회춘천시지부","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","264024.879079158","486785.570880539","","",
"42","담배소매업","11_43_02_P","4181000","1998418001605600227","1998-09-28","","01","영업/정상","0","정상영업","","","","","033 2532421","","","강원특별자치도 춘천시 우두동 684-17호","","","매일슈퍼","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","","","","",
"43","담배소매업","11_43_02_P","4181000","1998418001605600238","1998-11-26","","01","영업/정상","0","정상영업","","","","","033 2577034","","","강원특별자치도 춘천시 효자동 682-17호 (효자1동)","강원특별자치도 춘천시 춘천로67번길 9-1 (효자동)","200-954","번영상회","2013-12-30 17:41:21","I","2023-06-13 00:00:00","","263616.114824119","485616.915747649","19981126","2009년11월법개정전자료",
"44","담배소매업","11_43_02_P","4181000","1998418001605600239","1998-11-26","","01","영업/정상","0","정상영업","","","","","033 2433076","","","강원특별자치도 춘천시 교동 98-6호","강원특별자치도 춘천시 교동길 24 (교동)","200-060","미래문구","2013-12-30 17:42:11","I","2023-06-13 00:00:00","","264724.426188215","486632.152801728","19981126","2009년11월법개정전자료",
"45","담배소매업","11_43_02_P","4181000","2009418016605600078","2009-07-23","","01","영업/정상","0","정상영업","","","","","","","200-939","강원특별자치도 춘천시 우두동 42번지 5호 15통 1반","강원특별자치도 춘천시 충열로 296-2 (우두동)","","금정슈퍼","2009-07-23 15:33:28","I","2023-06-13 00:00:00","","264952.425289324","490993.910874107","20090723","2009년11월법개정전자료",
"46","담배소매업","11_43_02_P","4181000","2011418016605600093","2011-08-09","","01","영업/정상","0","정상영업","","","","","033-256-0103","","200-160","강원특별자치도 춘천시 후평동 297번지   101호","강원특별자치도 춘천시 춘천로 381-2, 101호 (후평동)","","S.M","2011-08-09 13:22:48","I","2023-06-13 00:00:00","","265959.445019711","487489.394223707","20110809","제7조의3제2항에따른경우",
"47","담배소매업","11_43_02_P","4181000","2011418016605600101","2011-08-31","","01","영업/정상","0","정상영업","","","","","","","200-180","강원특별자치도 춘천시 석사동 725번지 6호","강원특별자치도 춘천시 애막골길3번길 67 (석사동)","","세븐일레븐 춘천그랜드점","2011-08-31 11:21:10","I","2023-06-13 00:00:00","","266444.006758358","485174.823445765","20110831","제7조의3제2항에따른경우",
"48","담배소매업","11_43_02_P","4181000","2011418016605600103","2011-09-06","","01","영업/정상","0","정상영업","","","","","033-254-7095","","200-882","강원특별자치도 춘천시 동내면 학곡리 7번지 2호","강원특별자치도 춘천시 동내면 학곡동2길 46","","대룡영외마트(대룡마트)","2013-09-24 16:41:02","I","2023-06-13 00:00:00","","267142.019500497","482054.499836508","20110906","제7조의3제3항에따른경우",
"49","담배소매업","11_43_02_P","4181000","2011418016605600104","2011-09-07","","01","영업/정상","0","정상영업","","","","","","","200-170","강원특별자치도 춘천시 퇴계동 739번지 5호 구내매점","","","KBS 구내매점","2011-09-07 10:02:38","I","2023-06-13 00:00:00","","","","20110907","제7조의3제3항에따른경우",
"50","담배소매업","11_43_02_P","4181000","1994418001605600113","1997-08-17","","01","영업/정상","0","정상영업","","","","","033 2514849","","","강원특별자치도 춘천시 효자동 669-8호 (효자2동)","강원특별자치도 춘천시 소전길 13 (효자동)","200-952","성실계육유통","2013-12-30 17:08:35","I","2023-06-13 00:00:00","","264335.373518265","485531.081355953","19970817","2009년11월법개정전자료",
"51","담배소매업","11_43_02_P","4181000","1994418001605600114","1994-08-19","","01","영업/정상","0","정상영업","","","","","033 2532909","","","강원특별자치도 춘천시 퇴계동 907-7호","강원특별자치도 춘천시 춘주로147번길 22-13 (퇴계동)","200-944","늘푸른슈퍼","2013-12-30 17:09:32","I","2023-06-13 00:00:00","","263882.442591689","484394.735849355","19940819","2009년11월법개정전자료",
"52","담배소매업","11_43_02_P","4181000","1994418001605600121","1994-09-02","","01","영업/정상","0","정상영업","","","","","033 2510650","","","강원특별자치도 춘천시 온의동 530-4호","강원특별자치도 춘천시 충혼길 36 (온의동)","200-938","한솔문구","2013-12-30 17:12:07","I","2023-06-13 00:00:00","","263394.401097081","484549.988947319","19940902","2009년11월법개정전자료",
"53","담배소매업","11_43_02_P","4181000","2000418001605600080","2000-04-28","","01","영업/정상","0","정상영업","","","","","033 2534077","","","강원특별자치도 춘천시 삼천동 792호","강원특별자치도 춘천시 스포츠타운길 317 (삼천동)","","생수가든","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","260973.682494517","485795.52502275","","",
"54","담배소매업","11_43_02_P","4181000","2007418016605653688","2007-08-01","","01","영업/정상","0","정상영업","","","","","252-8777","","200-941","강원특별자치도 춘천시 조양동 6-164번지","강원특별자치도 춘천시 시청길 24 (조양동)","200-941","마고도돈가스","2013-12-30 20:31:42","I","2023-06-13 00:00:00","","264185.81121934","486695.604780884","20070801","2009년11월법개정전자료",
"55","담배소매업","11_43_02_P","4181000","2007418016605653696","2007-07-30","","01","영업/정상","0","정상영업","","","","","257-0326","","200-080","강원특별자치도 춘천시 운교동 130-1번지","강원특별자치도 춘천시 춘천로 165-2 (운교동)","200-080","대흥전업사","2013-12-30 20:34:05","I","2023-06-13 00:00:00","","264390.350466027","486244.790709752","20070730","2009년11월법개정전자료",
"56","담배소매업","11_43_02_P","4181000","2009418016605600101","2009-09-07","","01","영업/정상","0","정상영업","","","","","","","","강원특별자치도 춘천시 옥천동 1번지","강원특별자치도 춘천시 봉의산길22번길 29, 1층 (옥천동)","24265","(주)아워홈 한림대학교 학생식당","2025-06-12 15:11:58","U","2025-06-15 02:40:00","","264548.443504906","487261.17884438","20090907","제7조의3제3항에따른경우",
"57","담배소매업","11_43_02_P","4181000","2009418016605600102","2009-09-08","","01","영업/정상","0","정상영업","","","","","033-241-0799","","200-150","강원특별자치도 춘천시 우두동 1055번지","강원특별자치도 춘천시 영서로2753번길 36 (우두동)","","훼미리마트 춘천우두점","2009-09-08 15:55:01","I","2023-06-13 00:00:00","","263888.725794802","488927.07621943","20090908","2009년11월법개정전자료",
"58","담배소매업","11_43_02_P","4181000","2021418034905600001","2021-01-18","","01","영업/정상","0","정상영업","","","","","","","","강원특별자치도 춘천시 소양로2가 174-5","강원특별자치도 춘천시 소양로 174 (소양로2가)","24268","경희장식","2021-01-18 11:48:37","I","2023-06-13 00:00:00","","263711.510546633","487578.404428564","20210118","제7조의3제2항에따른경우",
"59","담배소매업","11_43_02_P","4181000","2021418034905600002","2021-01-20","","01","영업/정상","0","정상영업","","","","","","","","강원특별자치도 춘천시 석사동 885-2","강원특별자치도 춘천시 영서로 2025, 탑클리닉빌딩 1층 (석사동)","24415","지에스25춘천대로점","2025-07-11 13:28:57","U","2025-07-13 02:40:00","","265562.220370801","483586.548460211","20210120","제7조의3제2항에따른경우",
"60","담배소매업","11_43_02_P","4181000","2021418034905600003","2021-01-20","","01","영업/정상","0","정상영업","","","","","","","","강원특별자치도 춘천시 후평동 704-22","강원특별자치도 춘천시 후석로 355 (후평동)","24256","세븐일레븐 춘천후평사거리점","2024-04-09 16:21:24","U","2024-04-11 02:40:00","","265715.434621755","486913.700483201","20210120","제7조의3제2항에따른경우",
"61","담배소매업","11_43_02_P","4181000","2021418034905600004","2021-01-21","","01","영업/정상","0","정상영업","","","","","","","","강원특별자치도 춘천시 효자동 656-2","강원특별자치도 춘천시 춘천로170번길 17, 1층 (효자동)","24329","이마트24 호텔벤트리점","2021-01-21 17:56:03","I","2023-06-13 00:00:00","","264536.272983228","486112.750750485","20210121","제7조의3제2항에따른경우",
"62","담배소매업","11_43_02_P","4181000","2021418034905600005","2021-01-26","","01","영업/정상","0","정상영업","","","","","","","","강원특별자치도 춘천시 퇴계동 1161-4","강원특별자치도 춘천시 퇴계로 21 (퇴계동)","24367","세븐일레븐 춘천본점","2021-01-26 11:53:08","I","2023-06-13 00:00:00","","263635.900989965","485110.34614109","20210126","제7조의3제2항에따른경우",
"63","담배소매업","11_43_02_P","4181000","2021418034905600008","2021-02-03","","01","영업/정상","0","정상영업","","","","","","","","강원특별자치도 춘천시 근화동 743-1","강원특별자치도 춘천시 영서로 2478-1 (근화동)","24245","세븐일레븐 춘천근화대로점","2021-02-03 14:02:04","I","2023-06-13 00:00:00","","262645.445","486565.645","20210203","제7조의3제2항에따른경우",
"64","담배소매업","11_43_02_P","4181000","2007418016605653706","2007-12-02","","01","영업/정상","0","정상영업","","","","","252-1031","","200-090","강원특별자치도 춘천시 효자동 684번지 11호 남부시장 1호외 12개호","강원특별자치도 춘천시 공지로 367 (효자동,남부시장 1호외 12개호)","","럭키할인마트","2007-12-02 18:07:52","I","2023-06-13 00:00:00","","263776.104141899","485573.469431416","20071202","2009년11월법개정전자료",
"65","담배소매업","11_43_02_P","4181000","2007418016605653710","2007-09-05","","01","영업/정상","0","정상영업","","","","","250-7411","","","강원특별자치도 춘천시 효자동 192번지 1호 강원대학교","강원특별자치도 춘천시 강원대학길 1, 강원대학교 천지관 (효자동)","24341","씨유 강원대 천지관점","2025-06-16 16:37:58","U","2025-06-18 02:40:00","","265481.557982219","485420.871953344","20070905","제7조의3제3항에따른경우",
"66","담배소매업","11_43_02_P","4181000","2007418016605653712","2007-12-02","","01","영업/정상","0","정상영업","","","","","264-1262","","200-933","강원특별자치도 춘천시 석사동 316번지 10호","강원특별자치도 춘천시 공지로 108 (석사동)","","F3040","2007-12-02 18:10:53","I","2023-06-13 00:00:00","","265807.156364038","484009.681772245","20071202","2009년11월법개정전자료",
"67","담배소매업","11_43_02_P","4181000","2007418016605653714","2007-08-29","","01","영업/정상","0","정상영업","","","","","263-0308","","200-220","강원특별자치도 춘천시 칠전동 590번지 7호","강원특별자치도 춘천시 칠전서길 28-1 (칠전동)","","뉴월드투자금융","2007-12-02 18:12:15","I","2023-06-13 00:00:00","","262680.317626698","482360.321654958","20070829","2009년11월법개정전자료",
"68","담배소매업","11_43_02_P","4181000","2007418016605653719","2007-07-24","","01","영업/정상","0","정상영업","","","","","243-0482","","200-042","강원특별자치도 춘천시 중앙로2가 25번지","강원특별자치도 춘천시 중앙로 63-1 (중앙로2가)","","씨유춘천명동점","2012-07-30 17:31:01","I","2023-06-13 00:00:00","","263872.154340307","486553.599538962","20070724","2009년11월법개정전자료",
"69","담배소매업","11_43_02_P","4181000","2007418016605653721","2007-12-02","","01","영업/정상","0","정상영업","","","","","253-9682","","200-160","강원특별자치도 춘천시 후평동 720번지 10호","강원특별자치도 춘천시 삭주로 160 (후평동)","","카라24시 헬스하우스","2007-12-02 18:15:42","I","2023-06-13 00:00:00","","265728.726567472","487274.625657429","20071202","2009년11월법개정전자료",
"70","담배소매업","11_43_02_P","4181000","2018418027705600015","2018-03-05","","01","영업/정상","0","정상영업","","","","","","","","강원특별자치도 춘천시 후평동 727번지 3호","강원특별자치도 춘천시 춘천로 326 (후평동)","24297","봉의산마트","2018-03-05 17:10:48","I","2023-06-13 00:00:00","","265796.895917756","486928.910532781","20180305","제7조의3제2항에따른경우",
"71","담배소매업","11_43_02_P","4181000","2018418027705600016","2018-03-05","","01","영업/정상","0","정상영업","","","","","033-249-3800","","","강원특별자치도 춘천시 봉의동 15번지 강원도청","강원특별자치도 춘천시 중앙로 1, 강원도청 휴게매점 (봉의동)","24266","강원특별자치도청공무원노동조합","2023-12-20 10:25:31","U","2023-12-23 02:40:00","","264161.625099424","487252.702443066","20180305","제7조의3제3항에따른경우",
"72","담배소매업","11_43_02_P","4181000","2018418027705600021","2018-03-19","","01","영업/정상","0","정상영업","","","","","","","","강원특별자치도 춘천시 후평동 67번지 55호","강원특별자치도 춘천시 백령로 190, 1층 103,104호 (후평동)","24280","세븐일레븐 트루엘더퍼스트점","2022-09-14 14:20:57","I","2023-06-13 00:00:00","","265667.366092507","486262.331286984","20180319","제7조의3제2항에따른경우",
"73","담배소매업","11_43_02_P","4181000","2018418027705600022","2018-03-19","","01","영업/정상","0","정상영업","","","","","","","","강원특별자치도 춘천시 후평동 867번지 대우아파트","강원특별자치도 춘천시 후만로126번길 31, 상가동 1층 104,105,106호 (후평동, 대우아파트)","24308","씨유춘천후평대우점","2018-03-19 15:19:04","I","2023-06-13 00:00:00","","266743.003648696","486217.237897675","20180319","제7조의3제2항에따른경우",
