"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수",
"11","분뇨수집운반업","09_30_10_P","4181000","418100053199800005","1998-06-23","","03","폐업","2","폐업","2016-03-14","","","","033 257 6079","","200-140","강원특별자치도 춘천시 사농동 365","강원특별자치도 춘천시 영서로 2938  (사농동)","","(합)효성정화조","2017-05-01 14:10:01","I","2023-06-13 00:00:00","","263448.811965433","490382.097710504","분뇨등관련영업관리","","","","","0","","0",
"12","분뇨수집운반업","09_30_10_P","4181000","418100053199800006","1998-06-25","","03","폐업","2","폐업","2017-01-20","","","","033 241 3546","","200-140","강원특별자치도 춘천시 사농동 365","강원특별자치도 춘천시 영서로 2938  (사농동)","","늘푸른정화조","2017-05-01 14:12:53","I","2023-06-13 00:00:00","","263448.811965433","490382.097710504","분뇨등관련영업관리","","","","","0","","0",
"13","분뇨수집운반업","09_30_10_P","4181000","418100053199800010","1998-12-23","","03","폐업","2","폐업","2017-01-20","","","","033 256 3500","","200-140","강원특별자치도 춘천시 사농동 365","강원특별자치도 춘천시 영서로 2938  (사농동)","","새마을정화조","2017-05-01 14:15:14","I","2023-06-13 00:00:00","","263448.811965433","490382.097710504","분뇨등관련영업관리","","","","","0","","0",
"14","분뇨수집운반업","09_30_10_P","4181000","418100053199800011","1998-02-12","","03","폐업","2","폐업","2006-11-09","","","","","","200-850","강원특별자치도 춘천시 동면 장학리 466-1","","","강원산업공사","2000-09-29 14:12:46","I","2023-06-13 00:00:00","분뇨 처리업","","","분뇨등관련영업관리","분뇨 처리업","","","","0","","0",
"15","분뇨수집운반업","09_30_10_P","4181000","418100053199800012","1998-05-02","","03","폐업","2","폐업","2017-01-20","","","","033 251 3078","","200-112","강원특별자치도 춘천시 소양로2가 176-1","강원특별자치도 춘천시 소양로163번길 36  (소양로2가)","","시민분뇨정화","2017-01-23 09:45:47","I","2023-06-13 00:00:00","","263638.310017837","487720.194405249","분뇨등관련영업관리","","","","","0","","0",
"16","분뇨수집운반업","09_30_10_P","4181000","418100053199800013","1998-08-03","","03","폐업","2","폐업","2017-01-20","","","","033 264 6277","","200-112","강원특별자치도 춘천시 소양로2가 176-1","강원특별자치도 춘천시 소양로163번길 36  (소양로2가)","","합동환경","2017-05-18 17:01:12","I","2023-06-13 00:00:00","","263638.310017837","487720.194405249","분뇨등관련영업관리","","","","","0","","0",
"17","분뇨수집운반업","09_30_10_P","4181000","418100053199900001","1999-11-13","","03","폐업","2","폐업","2017-01-20","","","","033 254 6277","","200-140","강원특별자치도 춘천시 사농동 365","강원특별자치도 춘천시 영서로 2938  (사농동)","","춘천정화기업","2017-05-01 14:05:51","I","2023-06-13 00:00:00","","263448.811965433","490382.097710504","분뇨등관련영업관리","","","","","0","","0",
"18","분뇨수집운반업","09_30_10_P","4181000","418100053199900002","1999-11-13","","03","폐업","2","폐업","2007-04-16","","","","","","200-850","강원특별자치도 춘천시 동면 장학리 466-1","","","한국위생공사","2017-05-22 10:02:44","I","2023-06-13 00:00:00","","","","분뇨등관련영업관리","","","","","0","","0",
"19","분뇨수집운반업","09_30_10_P","4181000","418100053199900003","1999-11-13","","03","폐업","2","폐업","2004-12-23","","","","033 264 6277","","200-112","강원특별자치도 춘천시 소양로2가 176-1","강원특별자치도 춘천시 소양로163번길 36 (소양로2가)","","호반정화조","2017-05-18 14:29:36","I","2023-06-13 00:00:00","","263638.310017837","487720.194405249","분뇨등관련영업관리","","","","","0","","0",
"20","분뇨수집운반업","09_30_10_P","4181000","418100053199900004","1999-08-16","","03","폐업","2","폐업","2017-01-20","","","","033 251 3077","","200-140","강원특별자치도 춘천시 사농동 365","강원특별자치도 춘천시 영서로 2938  (사농동)","","주민정화조","2017-05-01 14:17:22","I","2023-06-13 00:00:00","","263448.811965433","490382.097710504","분뇨등관련영업관리","","","","","0","","0",
"21","분뇨수집운반업","09_30_10_P","4181000","418100053199900005","1999-10-08","","03","폐업","2","폐업","2017-01-20","","","","033 244 1116","","200-140","강원특별자치도 춘천시 사농동 365","강원특별자치도 춘천시 영서로 2938  (사농동)","","신망애정화조","2017-05-01 14:18:41","I","2023-06-13 00:00:00","","263448.811965433","490382.097710504","분뇨등관련영업관리","","","","","0","","0",
"22","분뇨수집운반업","09_30_10_P","4181000","418100053200100001","2001-02-09","","03","폐업","2","폐업","2017-01-20","","","","","","200-140","강원특별자치도 춘천시 사농동 365","강원특별자치도 춘천시 영서로 2938  (사농동)","","환경정화조","2017-05-01 14:19:57","I","2023-06-13 00:00:00","","263448.811965433","490382.097710504","분뇨등관련영업관리","","","","","0","","0",
"23","분뇨수집운반업","09_30_10_P","4181000","418100053200100003","2001-04-06","","03","폐업","2","폐업","2001-09-21","","","","","","200-881","강원특별자치도 춘천시 동내면 거두리 846-2","","","동내분뇨","2017-05-01 15:12:55","I","2023-06-13 00:00:00","분뇨 및 축산폐기물 처리업","","","분뇨등관련영업관리","분뇨 및 축산폐기물 처리업","","","","0","","0",
"24","분뇨수집운반업","09_30_10_P","4181000","418100053200100006","2001-05-18","","03","폐업","2","폐업","2017-01-20","","","","033 255 7782","","200-140","강원특별자치도 춘천시 사농동 365","강원특별자치도 춘천시 영서로 2938  (사농동)","","OK정화조","2017-05-01 14:21:20","I","2023-06-13 00:00:00","","263448.811965433","490382.097710504","분뇨등관련영업관리","","","","","0","","0",
"25","분뇨수집운반업","09_30_10_P","4181000","418100053199600001","1996-10-25","","03","폐업","2","폐업","2004-12-31","","","","","","200-850","강원특별자치도 춘천시 동면 장학리 466-1","","","선영정화조","2017-05-01 15:27:31","I","2023-06-13 00:00:00","분뇨 처리업","","","분뇨등관련영업관리","분뇨 처리업","","","","0","","0",
"26","분뇨수집운반업","09_30_10_P","4181000","418100053199800007","1998-08-03","","01","영업/정상","3","재개업","","","","2015-08-01","033-241-4561","","","강원특별자치도 춘천시 신동면 증리 938-2","강원특별자치도 춘천시 신동면 김유정로 1417, A동 2층 202호","24412","합동정화조","2024-11-04 11:40:40","U","2024-11-06 02:40:00","","262916.479743035","479728.705273747","분뇨등관련영업관리","","","","","0","","0",
"27","분뇨수집운반업","09_30_10_P","4181000","418100053199800008","1998-10-16","","01","영업/정상","3","재개업","","","","2015-08-01","033-257-6079","","","강원특별자치도 춘천시 신동면 증리 938-2","강원특별자치도 춘천시 신동면 김유정로 1417, A동 2층 202호","24412","우리정화조","2024-11-04 11:40:39","U","2024-11-06 02:40:00","분뇨 처리업","262916.479743035","479728.705273747","분뇨등관련영업관리","분뇨 처리업","","","","0","","0",
"28","분뇨수집운반업","09_30_10_P","4181000","418100053199800009","1998-12-18","","01","영업/정상","3","재개업","","","","2015-08-01","033-255-7782","","","강원특별자치도 춘천시 신동면 증리 938-2","강원특별자치도 춘천시 신동면 김유정로 1417, A동 2층 202호","24412","일류환경","2024-11-04 11:40:40","U","2024-11-06 02:40:00","","262916.479743035","479728.705273747","분뇨등관련영업관리","","","","","0","","0",
"29","분뇨수집운반업","09_30_10_P","4181000","418100053199800014","1998-10-16","","01","영업/정상","3","재개업","","","","2014-10-01","033-244-3337","","","강원특별자치도 춘천시 신동면 팔미리 548-4","강원특별자치도 춘천시 신동면 한치로 877","24411","우리환경","2023-04-13 11:19:51","I","2023-06-13 00:00:00","","261323.076300915","479114.859938069","분뇨등관련영업관리","","","","","0","","0",
"30","분뇨수집운반업","09_30_10_P","4181000","418100053199900006","1999-11-13","","01","영업/정상","3","재개업","","","","2014-10-01","033-262-5753","","","강원특별자치도 춘천시 동내면 거두리 457-7","강원특별자치도 춘천시 동내면 거두길 191","24399","(자)대한환경건설","2024-02-20 09:15:45","U","2024-02-22 02:40:00","","268451.112943277","484494.881436759","분뇨등관련영업관리","","","","","0","","0",
"31","분뇨수집운반업","09_30_10_P","4181000","418100053199900008","1999-08-16","","01","영업/정상","3","재개업","","","","2022-09-29","033-254-8600","","","강원특별자치도 춘천시 동면 장학리 222-6","강원특별자치도 춘천시 동면 춘천로 510","24213","호반환경","2024-01-18 11:08:17","U","2024-01-20 02:40:00","","266878.191875436","488272.677173919","분뇨등관련영업관리","","","","","0","","0",
"32","분뇨수집운반업","09_30_10_P","4181000","418100053199900016","1999-10-08","","01","영업/정상","3","재개업","","","","2014-10-01","033-264-6277","","","강원특별자치도 춘천시 동내면 신촌리 322-1","강원특별자치도 춘천시 동내면 신촌길 15","24407","명성환경","2022-04-05 17:49:28","I","2023-06-13 00:00:00","","267757.27726712","483484.700912071","분뇨등관련영업관리","","","","","0","","0",
"33","분뇨수집운반업","09_30_10_P","4181000","418100053200100002","2001-04-06","","01","영업/정상","3","재개업","","","","2015-08-01","033-254-6277","","","강원특별자치도 춘천시 신동면 증리 938-2","강원특별자치도 춘천시 신동면 김유정로 1417, A동 2층 202호","24412","동내정화조","2024-11-04 11:39:36","U","2024-11-06 02:40:00","","262916.479743035","479728.705273747","분뇨등관련영업관리","","","","","0","","0",
"34","분뇨수집운반업","09_30_10_P","4181000","418100053199900009","1999-10-08","","04","취소/말소/만료/정지/중지","4","폐쇄","","","","","033 244 1116","","200-140","강원특별자치도 춘천시 사농동 365","강원특별자치도 춘천시 영서로 2938  (사농동)","","신망애환경","2012-09-26 15:58:47","I","2023-06-13 00:00:00","","263448.811965433","490382.097710504","분뇨등관련영업관리","","","","","0","","0",
"35","분뇨수집운반업","09_30_10_P","4181000","418100053201700001","2017-08-01","","04","취소/말소/만료/정지/중지","4","폐쇄","","","","","033-264-6277","","","강원특별자치도 춘천시 동내면 신촌리 322-1","강원특별자치도 춘천시 동내면 신촌길 15","24407","명성환경","2022-03-28 10:22:42","I","2023-06-13 00:00:00","","267757.27726712","483484.700912071","분뇨등관련영업관리","","","","","0","","0",
"36","분뇨수집운반업","09_30_10_P","4191000","419100053008900006","1994-02-21","","01","영업/정상","11","영업","","","","","033-763-5979","","","강원특별자치도 원주시 우산동 213-4","강원특별자치도 원주시 우무개2길 2 (우산동)","26345","강원위생공사","2022-11-22 16:40:49","I","2023-06-13 00:00:00","","282520.007497851","429652.87479877","분뇨등관련영업관리","","","","","0","","0",
"37","분뇨수집운반업","09_30_10_P","4191000","419100053008900008","2000-05-27","","01","영업/정상","11","영업","","","","","033-747-0087","","220-836","강원특별자치도 원주시 소초면 흥양리 1169","강원특별자치도 원주시 소초면 송황유사길 119","220-836","(합)동화위생공사","2023-01-11 09:47:36","I","2023-06-13 00:00:00","","287199.4078436","431015.138585105","분뇨등관련영업관리","","","","","0","","0",
"38","분뇨수집운반업","09_30_10_P","4191000","419100053008900004","1999-03-11","","01","영업/정상","11","영업","","","","","033-745-2231","","","강원특별자치도 원주시 소초면 흥양리 1450-1 나동 3호","강원특별자치도 원주시 소초면 치악로 2454, 나동 3호","26310","(합)문막원성위생공사","2025-02-05 17:25:40","U","2025-02-07 02:40:00","분뇨 및 축산분뇨 처리업","287030.573463692","432666.679400134","분뇨등관련영업관리","분뇨 및 축산분뇨 처리업","","","","0","","0",
"39","분뇨수집운반업","09_30_10_P","4191000","419100053008900009","2000-09-21","","01","영업/정상","11","영업","","","","","033-766-5432","","220-842","강원특별자치도 원주시 흥업면 매지리 655-1","강원특별자치도 원주시 흥업면 매지회촌길 105-14","220-842","(합)치악위생공사","2024-01-23 12:20:50","U","2024-01-25 02:40:00","","280848.445198399","417266.842411625","분뇨등관련영업관리","","","","","0","","0",
"40","분뇨수집운반업","09_30_10_P","4191000","419100053008900003","1989-12-02","","01","영업/정상","11","영업","","","","","033-742-0009","","","강원특별자치도 원주시 소초면 흥양리 1450-1 나동 2호","강원특별자치도 원주시 소초면 치악로 2454, 나동 2호","26310","(합)환경위생공사","2025-07-10 10:59:53","U","2025-07-12 02:40:00","","287030.573463692","432666.679400134","분뇨등관련영업관리","","","","","0","","0",
"41","분뇨수집운반업","09_30_10_P","4191000","419100053008900001","1989-06-30","","01","영업/정상","11","영업","","","","","033-742-7332","","","강원특별자치도 원주시 소초면 흥양리 1450-1 나동 4호","강원특별자치도 원주시 소초면 치악로 2454, 나동 4호","26310","(합)원주위생공사","2025-02-05 15:10:28","U","2025-02-07 02:40:00","","287030.573463692","432666.679400134","분뇨등관련영업관리","","","","","0","","0",
"42","분뇨수집운반업","09_30_10_P","4191000","419100053008900007","1996-03-06","","01","영업/정상","11","영업","","","","","033-747-3721","","","강원특별자치도 원주시 소초면 흥양리 1450-1 나동 1호","강원특별자치도 원주시 소초면 치악로 2454, 나동 1호","26310","(주)그린위생공사","2025-07-09 14:43:05","U","2025-07-11 02:40:00","","287030.573463692","432666.679400134","분뇨등관련영업관리","","","","","0","","0",
"43","분뇨수집운반업","09_30_10_P","4191000","419100053008900005","1993-05-15","","03","폐업","2","폐업","2017-02-28","","","","033-747-0965","","220-924","강원특별자치도 원주시 호저면 만종리 593-12","강원특별자치도 원주시 호저면 원문로 537-3, 다동 6호","220-924","(합)시민위생공사","2017-02-28 22:10:26","I","2023-06-13 00:00:00","","280044.573850214","428875.995890428","분뇨등관련영업관리","","","","","0","","0",
"44","분뇨수집운반업","09_30_10_P","4191000","419100053198900002","1989-06-09","","03","폐업","2","폐업","2011-12-19","","","","","","220-122","강원특별자치도 원주시 태장동 1360","","","(합)현대위생공사-분뇨","2014-02-22 14:52:54","I","2023-06-13 00:00:00","","284205.73186269","431989.110811112","분뇨등관련영업관리","","","","","0","","0",
"45","분뇨수집운반업","09_30_10_P","4191000","419100053199600005","1996-02-16","","03","폐업","2","폐업","2011-12-19","","","","","","220-120","강원특별자치도 원주시 태장동 1842","강원특별자치도 원주시 태장공단길 15  (태장동)","","(합)시민위생공사-분뇨","2014-02-22 14:51:56","I","2023-06-13 00:00:00","","284106.272231777","433681.738596856","분뇨등관련영업관리","","","","","0","","0",
"46","분뇨수집운반업","09_30_10_P","4191000","419100053200200001","2002-10-02","","03","폐업","2","폐업","2011-12-19","","","","","","220-835","강원특별자치도 원주시 소초면 평장리 547","강원특별자치도 원주시 소초면 도도리길 41","","(주)강원","2014-02-22 14:50:59","I","2023-06-13 00:00:00","하수, 분뇨 및 축산폐기물 처리업","288520.957740531","434728.948988632","분뇨등관련영업관리","하수, 분뇨 및 축산폐기물 처리업","","","","0","","0",
"47","분뇨수집운반업","09_30_10_P","4191000","419100053201400002","2014-11-19","","03","폐업","2","폐업","2014-12-03","","","","033-763-5979","","220-955","강원특별자치도 원주시 우산동 158-10","강원특별자치도 원주시 북원로2425번길 53 (우산동)","220-955","강원위생공사","2014-12-03 09:43:02","I","2023-06-13 00:00:00","","282954.227794373","429414.136771147","분뇨등관련영업관리","","","","","0","","0",
"48","분뇨수집운반업","09_30_10_P","4191000","419100053008900002","1989-06-09","","03","폐업","2","폐업","2017-02-28","","","","033-744-7979","","220-937","강원특별자치도 원주시 단계동 789-2","강원특별자치도 원주시 단구로 29 (단계동)","220-937","(합)현대위생공사","2017-02-28 22:10:36","I","2023-06-13 00:00:00","","282944.034022162","427481.122474522","분뇨등관련영업관리","","","","","0","","0",
"49","분뇨수집운반업","09_30_10_P","4191000","419100053198900001","1989-06-30","","03","폐업","2","폐업","2011-12-19","","","","033743 3530","","220-122","강원특별자치도 원주시 태장동 1842","강원특별자치도 원주시 태장공단길 15  (태장동)","","(합)원주위생공사-분뇨","2014-02-22 14:52:21","I","2023-06-13 00:00:00","","284106.272231777","433681.738596856","분뇨등관련영업관리","","","","","0","","0",
"50","분뇨수집운반업","09_30_10_P","4201000","420100053199800007","1998-05-18","","02","휴업","1","휴업","","2003-04-02","2004-04-03","","","","210-100","강원특별자치도 강릉시 교동 723-7","강원특별자치도 강릉시 율곡로 2982-6  (교동)","","(주)우리위생","2007-07-13 12:49:25","I","2023-06-13 00:00:00","하수처리, 폐기물처리 및 청소관련 서비스업","366678.684068832","475654.262415356","분뇨등관련영업관리","하수처리, 폐기물처리 및 청소관련 서비스업","","","","0","","0",
"51","분뇨수집운반업","09_30_10_P","4201000","420100053201900001","2019-03-08","","01","영업/정상","11","영업","","","","","033-652-2110","","","강원특별자치도 강릉시 두산동 19-5","강원특별자치도 강릉시 강변로692번길 10 (두산동)","","강북환경","2025-01-02 11:20:27","U","2025-01-04 02:40:00","하수, 폐수 및 분뇨 처리업","370389.717569644","475760.349664911","분뇨등관련영업관리","하수, 폐수 및 분뇨 처리업","","","","0","","0",
"52","분뇨수집운반업","09_30_10_P","4201000","420100053201500001","2015-10-27","","01","영업/정상","11","영업","","","","","0336522110","","","강원특별자치도 강릉시 두산동 19-5","강원특별자치도 강릉시 강변로692번길 10 (두산동)","","솔향환경","2021-09-02 11:17:24","I","2023-06-13 00:00:00","","370389.717569644","475760.349664911","분뇨등관련영업관리","","","","","0","","0",
"53","분뇨수집운반업","09_30_10_P","4201000","420100053199800011","1998-12-14","","01","영업/정상","11","영업","","","","","0336469898","","","강원특별자치도 강릉시 두산동 19-5","강원특별자치도 강릉시 강변로692번길 10 (두산동)","25573","미래환경","2024-11-25 18:00:03","U","2024-11-27 02:40:00","","370389.717569644","475760.349664911","분뇨등관련영업관리","","","","","0","","0",
"54","분뇨수집운반업","09_30_10_P","4201000","420100053199900003","1999-03-10","","01","영업/정상","11","영업","","","","","0336510777","","","강원특별자치도 강릉시 두산동 19-5","강원특별자치도 강릉시 강변로692번길 10 (두산동)","25573","미소환경","2024-05-24 12:32:26","U","2024-05-26 02:40:00","","370389.717569644","475760.349664911","분뇨등관련영업관리","","","","","0","","0",
"55","분뇨수집운반업","09_30_10_P","4201000","420100053199800005","1998-05-18","","01","영업/정상","11","영업","","","","","0336469801","","","강원특별자치도 강릉시 두산동 19-5","강원특별자치도 강릉시 강변로692번길 10 (두산동)","25573","하슬라산업","2025-03-24 13:38:33","U","2025-03-26 02:40:00","","370389.717569644","475760.349664911","분뇨등관련영업관리","","","","","0","","0",
"56","분뇨수집운반업","09_30_10_P","4201000","420100053199800008","1998-05-18","","01","영업/정상","11","영업","","","","","0336528744","","","강원특별자치도 강릉시 두산동 19-5","강원특별자치도 강릉시 강변로692번길 10 (두산동)","25573","우리위생","2024-05-20 15:13:15","U","2024-05-22 02:40:00","","370389.717569644","475760.349664911","분뇨등관련영업관리","","","","","0","","0",
"57","분뇨수집운반업","09_30_10_P","4201000","420100053201900002","2019-08-05","","01","영업/정상","11","영업","","","","","033-661-7474","","210-862","강원특별자치도 강릉시 연곡면 방내리 3-1","강원특별자치도 강릉시 연곡면 연주로 167","210-862","(합)동서환경","2019-08-05 16:09:08","I","2023-06-13 00:00:00","","361521.978416587","486891.471359513","분뇨등관련영업관리","","","","","0","","0",
"58","분뇨수집운반업","09_30_10_P","4201000","420100053201500002","2015-10-27","","01","영업/정상","11","영업","","","","","0336469801","","","강원특별자치도 강릉시 두산동 19-5","강원특별자치도 강릉시 강변로692번길 10 (두산동)","25573","하슬라산업","2015-10-27 17:36:19","I","2023-06-13 00:00:00","","370389.717569644","475760.349664911","분뇨등관련영업관리","","","","","0","","0",
"59","분뇨수집운반업","09_30_10_P","4201000","420100053199800004","1998-05-11","","01","영업/정상","11","영업","","","","","0336522110","","","강원특별자치도 강릉시 두산동 19-5","강원특별자치도 강릉시 강변로692번길 10 (두산동)","","솔향환경","2024-11-25 17:47:35","U","2024-11-27 02:40:00","","370389.717569644","475760.349664911","분뇨등관련영업관리","","","","","0","","0",
"60","분뇨수집운반업","09_30_10_P","4201000","420100053199800001","1998-05-11","","01","영업/정상","11","영업","","","","","0336617474","","210-862","강원특별자치도 강릉시 연곡면 방내리 3-1","강원특별자치도 강릉시 연곡면 연주로 167","210-862","(합)동서환경","2018-11-19 17:55:57","I","2023-06-13 00:00:00","","361521.978416587","486891.471359513","분뇨등관련영업관리","","","","","0","","0",
"61","분뇨수집운반업","09_30_10_P","4201000","420100053199500001","1995-02-02","","03","폐업","2","폐업","2007-10-31","","","","6627478","","210-800","강원특별자치도 강릉시 주문진읍 교항리 48-29","강원특별자치도 강릉시 주문진읍 연주로 304","","(합)강원환경","2007-10-31 17:18:51","I","2023-06-13 00:00:00","","360669.023451899","487902.972771702","분뇨등관련영업관리","","","","","0","","0",
"62","분뇨수집운반업","09_30_10_P","4201000","420100053199500002","1995-02-02","","03","폐업","2","폐업","2008-02-27","","","","","","210-801","강원특별자치도 강릉시 주문진읍 교항리 71-6","","","(합)강원환경","2009-01-30 17:56:13","I","2023-06-13 00:00:00","","360711.207247026","488057.660065941","분뇨등관련영업관리","","","","","0","","0",
"63","분뇨수집운반업","09_30_10_P","4201000","420100053199600001","1996-01-22","","03","폐업","2","폐업","2007-08-24","","","","","","210-270","강원특별자치도 강릉시 두산동 19-5","강원특별자치도 강릉시 강변로692번길 10  (두산동)","","(주)강릉환경","2007-08-24 11:33:13","I","2023-06-13 00:00:00","","370389.717569644","475760.349664911","분뇨등관련영업관리","","","","","0","","0",
"64","분뇨수집운반업","09_30_10_P","4201000","420100053199600002","1996-01-02","","03","폐업","2","폐업","2014-12-30","","","","0336522381","","210-270","강원특별자치도 강릉시 두산동 19-5","강원특별자치도 강릉시 강변로692번길 10 (두산동)","210-270","강릉환경","2014-12-30 15:15:27","I","2023-06-13 00:00:00","","370389.717569644","475760.349664911","분뇨등관련영업관리","","","","","0","","0",
"65","분뇨수집운반업","09_30_10_P","4201000","420100053199800010","1998-09-30","","03","폐업","2","폐업","2014-12-30","","","","0336452728","","210-270","강원특별자치도 강릉시 두산동 19-5번지","강원특별자치도 강릉시 강변로692번길 10 (두산동)","210-270","대관령산업","2014-12-30 15:17:12","I","2023-06-13 00:00:00","","370389.717569644","475760.349664911","분뇨등관련영업관리","","","","","0","","0",
"66","분뇨수집운반업","09_30_10_P","4201000","420100053199900001","1999-01-20","","03","폐업","2","폐업","2007-08-24","","","","","","210-100","강원특별자치도 강릉시 교동 1741","강원특별자치도 강릉시 원대로 15  (교동)","","강릉산업","2007-08-24 11:34:27","I","2023-06-13 00:00:00","하수처리, 폐기물처리 및 청소관련 서비스업","365731.027953666","474281.228303643","분뇨등관련영업관리","하수처리, 폐기물처리 및 청소관련 서비스업","","","","0","","0",
"67","분뇨수집운반업","09_30_10_P","4201000","420100053199900002","1999-01-20","","03","폐업","2","폐업","2014-12-30","","","","0336533774","","210-270","강원특별자치도 강릉시 두산동 19-5번지","강원특별자치도 강릉시 강변로692번길 10 (두산동)","210-270","강릉산업","2014-12-30 15:18:59","I","2023-06-13 00:00:00","","370389.717569644","475760.349664911","분뇨등관련영업관리","","","","","0","","0",
"68","분뇨수집운반업","09_30_10_P","4201000","420100053199800003","1998-05-11","","03","폐업","2","폐업","2007-08-24","","","","","","210-270","강원특별자치도 강릉시 두산동 19-5","","","시민환경","2007-08-24 11:33:55","I","2023-06-13 00:00:00","하수처리, 폐기물처리 및 청소관련 서비스업","370389.717569644","475760.349664911","분뇨등관련영업관리","하수처리, 폐기물처리 및 청소관련 서비스업","","","","0","","0",
"69","분뇨수집운반업","09_30_10_P","4201000","420100053199800002","1998-05-11","","04","취소/말소/만료/정지/중지","4","폐쇄","","","","","","","210-800","강원특별자치도 강릉시 주문진읍 주문리 48-4","강원특별자치도 강릉시 주문진읍 주문북로 36","","(합)동서환경","2014-02-26 13:30:18","I","2023-06-13 00:00:00","","360928.076783237","489955.509221307","분뇨등관련영업관리","","","","","0","","0",
