"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"15","수영장업","10_35_01_P","4191000","CDFH3301011994000001","1994-08-10","","03","폐업","03","폐업","2003-07-24","","","","033-732-3700","","220-821","강원특별자치도 원주시 지정면 월송리 산 2-2","강원특별자치도 원주시 지정면 신평석화로 236","","동서울레스피아","2003-10-24 13:48:56","I","2023-06-13 00:00:00","","","","수영장업","사립","1","1","0","451.44","0","","",
"16","수영장업","10_35_01_P","4191000","CDFH3301011998000001","1998-07-11","","03","폐업","03","폐업","2021-04-28","","","","730-3535","","220-821","강원특별자치도 원주시 지정면 월송리 1061-16","강원특별자치도 원주시 지정면 오크밸리1길 70","26357","골프빌리지수영장","2021-04-28 18:02:15","I","2023-06-13 00:00:00","","272459.646983562","437204.631213169","수영장업","사립","Y","0","0","15176.57","0","","",
"17","수영장업","10_35_01_P","4191000","CDFH3301011998000002","1998-07-11","","03","폐업","03","폐업","2018-04-23","","","","730-3535","","220-821","강원특별자치도 원주시 지정면 월송리 1061-16","강원특별자치도 원주시 지정면 오크밸리1길 70","26357","오크밸리수영장(실외)","2018-04-23 15:34:08","I","2023-06-13 00:00:00","","272459.646983562","437204.631213169","수영장업","사립","Y","0","0","1151.92","0","","",
"18","수영장업","10_35_01_P","4191000","CDFH3301011999000001","1999-10-14","","03","폐업","03","폐업","2008-08-24","","","","033-744-6114","","220-952","강원특별자치도 원주시 우산동 411-10","강원특별자치도 원주시 우산공단길 24  (우산동)","","원주웨스포센타수영장","2009-03-30 18:06:04","I","2023-06-13 00:00:00","","283274.345339703","430747.493954183","수영장업","사립","1","0","0","1314","0","","",
"19","수영장업","10_35_01_P","4191000","CDFH3301012001000001","2001-11-27","","03","폐업","03","폐업","2018-08-01","","","","033-735-0282","","220-801","강원특별자치도 원주시 문막읍 건등리 1697","강원특별자치도 원주시 문막읍 건등로 21","","원주농민문화체육센타","2018-08-01 09:58:13","I","2023-06-13 00:00:00","","272459.65966812","423787.258018867","수영장업","사립","1","1","0","0","0","","",
"20","수영장업","10_35_01_P","4191000","CDFH3301012003000001","2003-08-26","","03","폐업","03","폐업","2017-09-14","","","","760-5132","","220-842","강원특별자치도 원주시 흥업면 매지리 234","강원특별자치도 원주시 흥업면 무수막1길 44","26494","연세스포츠센터수영장","2017-09-14 13:35:24","I","2023-06-13 00:00:00","","281105.693982309","420333.536040056","수영장업","사립","","0","0","0","0","","",
"21","수영장업","10_35_01_P","4191000","CDFH3301012006000001","2006-10-04","","03","폐업","03","폐업","2018-08-01","","","","741-2548","","220-041","강원특별자치도 원주시 명륜동 555","강원특별자치도 원주시 남원로 551 (명륜동)","26447","원주국민체육센터","2018-08-01 10:00:57","I","2023-06-13 00:00:00","","283823.712095709","426194.461385448","수영장업","사립","","0","0","1366","0","","",
"22","수영장업","10_35_01_P","4191000","CDFH3301012007000002","2007-05-15","","01","영업/정상","13","영업중","","","","","033-742-0051","","","강원특별자치도 원주시 단구동 1682-1 현진에버빌5차","강원특별자치도 원주시 단구로 413 (단구동, 현진에버빌5차)","26491","현진에버빌수영장","2023-08-01 16:39:05","U","2023-08-03 02:40:00","","284655.589772235","424606.118340073","수영장업","사립","Y","0","0","1541.28","0","","",
"23","수영장업","10_35_01_P","4191000","CDFH3301012009000002","2009-11-25","","01","영업/정상","13","영업중","","","","","033-769-7535","","220-824","강원특별자치도 원주시 지정면 판대리 577-4","강원특별자치도 원주시 지정면 오크밸리2길 40","26357","스키빌리지수영장","2019-09-26 11:13:57","I","2023-06-13 00:00:00","","271451.223493249","434371.373123856","수영장업","사립","Y","1","1","33609.76","0","","",
"24","수영장업","10_35_01_P","4191000","CDFH3301012016000001","2016-07-21","","01","영업/정상","13","영업중","","","","","033-746-4040","","","강원특별자치도 원주시 무실동 1722-1","강원특별자치도 원주시 시청로 27 (무실동)","26383","마리누스 어린이 수영장","2022-12-14 11:29:42","I","2023-06-13 00:00:00","","281762.788951161","426862.411332513","수영장업","사립","","0","1","0","0","","",
"25","수영장업","10_35_01_P","4191000","CDFH3301012016000002","2016-12-28","","01","영업/정상","13","영업중","","","","","033-763-9383","","","강원특별자치도 원주시 관설동 1774-3 단관청솔5차아파트","강원특별자치도 원주시 시청로 524-2, 단관청솔5차아파트 (관설동)","26469","YS 스윔키즈","2023-05-31 10:54:45","I","2023-06-13 00:00:00","","285373.172880629","424065.748294676","수영장업","사립","","0","0","2225.25","0","","",
"26","수영장업","10_35_01_P","4191000","CDFH3301012017000001","2017-04-20","","01","영업/정상","13","영업중","","","","","735-7970","","","강원특별자치도 원주시 단계동 1216","강원특별자치도 원주시 백간길 25 (단계동)","26409","슈퍼키즈스윔","2023-05-31 14:31:08","I","2023-06-13 00:00:00","","281978.751654311","428182.524236323","수영장업","사립","","0","0","7322.16","0","","",
"27","수영장업","10_35_01_P","4191000","CDFH3301012020000001","2020-04-03","","01","영업/정상","13","영업중","","","","","033-901-8888","","","강원특별자치도 원주시 반곡동 1779","강원특별자치도 원주시 늘품로 213 (반곡동)","26457","그랑블루 어린이수영장","2020-04-23 12:39:49","I","2023-06-13 00:00:00","","285461.301154298","426116.03563845","수영장업","사립","Y","2","0","665","0","","",
"28","수영장업","10_35_01_P","4191000","CDFH3301012024000001","2024-08-08","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 봉산동 536","강원특별자치도 원주시 동부순환로 371 (봉산동)","26454","타잔B&G  어린이수영장","2024-08-08 11:19:12","I","2024-08-10 00:13:25","","286391.795200014","427847.464989107","수영장업","사립","Y","3","0","536","0","","",
"29","수영장업","10_35_01_P","4191000","CDFH3301012015000001","2015-07-17","2016-01-04","04","취소/말소/만료/정지/중지","30","허가취소","","","","","","","","","강원특별자치도 원주시 소초면 구룡사로 47","26304","(주)드림랜드야외수영장","2016-01-04 13:16:35","I","2023-06-13 00:00:00","","293994.091982093","437166.819596727","수영장업","사립","","0","0","0","0","","",
"30","수영장업","10_35_01_P","4191000","CDFH3301011996000001","1996-06-19","2014-10-20","04","취소/말소/만료/정지/중지","32","신고취소","","","","","033-732-5800","","220-831","강원특별자치도 원주시 소초면 학곡리 223-3","강원특별자치도 원주시 소초면 구룡사로 47","","드림랜드수영장","2014-10-20 16:09:04","I","2023-06-13 00:00:00","","293994.091982093","437166.819596727","수영장업","사립","Y","0","0","1664.06","0","","",
"31","수영장업","10_35_01_P","4191000","CDFH3301012009000001","2009-03-31","","04","취소/말소/만료/정지/중지","35","직권말소","2021-09-08","","","","737-4672","","220-130","강원특별자치도 원주시 우산동 411-10 지하2층","강원특별자치도 원주시 우산공단길 24 (우산동,지하2층)","","원주시근로자종합복지관수영장","2021-09-08 14:07:44","I","2023-06-13 00:00:00","","283274.345339703","430747.493954183","수영장업","사립","Y","4","1","7617.74","0","","",
"32","수영장업","10_35_01_P","4201000","CDFH3301012022000001","2022-07-01","","02","휴업","02","휴업","","2025-01-20","2025-05-31","","033-920-0296","","","강원특별자치도 강릉시 사천면 사천진리 86-81","강원특별자치도 강릉시 사천면 진리항구2길 5","25435","컨피네스 오션스위트 인피니티 풀","2025-02-12 17:37:48","U","2025-02-14 02:40:00","","364956.617705235","483211.601501235","수영장업","사립","","1","1","37134.59","0","","",
"33","수영장업","10_35_01_P","4201000","CDFH3301011994000001","1994-12-09","","03","폐업","03","폐업","2010-11-04","","","","652-2881","","210-130","강원특별자치도 강릉시 강문동 1-1","강원특별자치도 강릉시 창해로 307 (강문동)","210-130","효산스포츠타운","2011-10-30 14:20:46","I","2023-06-13 00:00:00","","369147.462906176","478267.144158212","수영장업","사립","","0","0","0","0","","",
"34","수영장업","10_35_01_P","4201000","CDFH3301011998000001","1998-06-22","","03","폐업","03","폐업","2003-12-23","","","","646-9923","","210-948","강원특별자치도 강릉시 홍제동 38","강원특별자치도 강릉시 토성로 103 (홍제동)","210-948","강릉학생수영장","2013-12-18 13:53:54","I","2023-06-13 00:00:00","","366337.971759854","474005.829206267","수영장업","사립","","0","0","0","0","","",
"35","수영장업","10_35_01_P","4201000","CDFH3301012016000001","2016-02-29","","03","폐업","03","폐업","2024-08-06","","","","650-7099","","","강원특별자치도 강릉시 강문동 274-1 씨마크호텔","강원특별자치도 강릉시 해안로406번길 2, 씨마크호텔 (강문동)","25460","에이치디한국조선해양 (주)씨마크호텔","2024-08-07 09:19:45","U","2024-08-09 02:40:00","","368547.155962069","478977.195262736","수영장업","사립","","1","0","31490.75","0","","",
"36","수영장업","10_35_01_P","4201000","CDFH3301012000000001","2000-03-21","","03","폐업","03","폐업","2016-12-31","","","","651-0008","","210-943","강원특별자치도 강릉시 포남동 1167-5","강원특별자치도 강릉시 성덕포남로188번길 2 (포남동)","25572","강남스포츠센터","2017-02-23 11:00:52","I","2023-06-13 00:00:00","","368124.629079307","475705.625571286","수영장업","사립","","0","0","0","0","","",
"37","수영장업","10_35_01_P","4201000","CDFH3301012023000002","2023-06-29","","01","영업/정상","13","영업중","","","","","033-820-7325","","","강원특별자치도 강릉시 안현동 89-87 라카이샌드파인","강원특별자치도 강릉시 해안로 536, 라카이샌드파인 (안현동)","25460","더 라니 풀 ＆ 사우나","2025-06-11 10:12:42","U","2025-06-13 02:40:00","","367621.813148505","479943.433565044","수영장업","사립","","0","7","13610.79","0","","",
"38","수영장업","10_35_01_P","4201000","CDFH3301012024000001","2024-10-01","","01","영업/정상","13","영업중","","","","","033-655-6564","","","강원특별자치도 강릉시 박월동 448-1","강원특별자치도 강릉시 칠성로 491 (박월동)","25608","강릉어린이수영교실","2024-10-31 10:03:19","U","2024-11-02 02:40:00","","368617.649542767","471539.440735073","수영장업","사립","","1","1","1461.02","0","","",
"39","수영장업","10_35_01_P","4201000","CDFH3301012007000001","2007-10-12","","01","영업/정상","13","영업중","","","","","033-655-6565","","210-200","강원특별자치도 강릉시 박월동 448-1","강원특별자치도 강릉시 칠성로 491 (박월동)","25608","강릉수영장","2024-09-05 10:27:19","U","2024-09-07 02:40:00","","368617.649542767","471539.440735073","수영장업","사립","","0","1","1429.82","0","","",
"40","수영장업","10_35_01_P","4201000","CDFH3301012009000001","2009-07-08","","01","영업/정상","13","영업중","","","","","033-640-4550","","210-922","강원특별자치도 강릉시 교동 458-1","강원특별자치도 강릉시 수리골길 76 (교동)","25472","강릉국민체육센터","2023-10-17 11:15:29","U","2023-10-19 02:40:00","","367074.90501734","476610.96547547","수영장업","사립","Y","6","1","2497","0","","",
"41","수영장업","10_35_01_P","4201000","CDFH3301012018000001","2018-01-17","","01","영업/정상","13","영업중","","","","","033-923-2040","","","강원특별자치도 강릉시 강문동 258-4","강원특별자치도 강릉시 해안로 476 (강문동)","25460","스카이베이경포호텔 수영장","2024-07-05 10:30:20","U","2024-07-07 02:40:00","","367974.951824714","479654.314242201","수영장업","사립","Y","1","0","43894.83","0","","",
"42","수영장업","10_35_01_P","4201000","CDFH3301012018000002","2018-06-08","","01","영업/정상","13","영업중","","","","","033-660-9000","","","강원특별자치도 강릉시 강문동 1-1 세인트존스 호텔","강원특별자치도 강릉시 창해로 307, 세인트존스 호텔 16층 (강문동)","25467","세인트존스호텔 인피니티풀","2018-06-08 08:57:02","I","2023-06-13 00:00:00","","369147.462906176","478267.144158212","수영장업","사립","Y","1","3","83343.4","0","","",
"43","수영장업","10_35_01_P","4201000","CDFH3301012020000001","2020-02-17","","01","영업/정상","13","영업중","","","","","033-646-7999","","","강원특별자치도 강릉시 홍제동 637-10","강원특별자치도 강릉시 사임당로 133, 유천 메타폴리스2 2동 지하2층 201호 (홍제동)","25520","키즈 스플래쉬","2020-11-04 13:57:13","I","2023-06-13 00:00:00","","364303.565986948","474340.628143827","수영장업","사립","","1","0","1584.13","0","","",
"44","수영장업","10_35_01_P","4201000","CDFH3301012020000002","2020-06-12","","01","영업/정상","13","영업중","","","","","033-655-7955","","","강원특별자치도 강릉시 홍제동 189-4","강원특별자치도 강릉시 홍제로 76 (홍제동)","25527","위밍 by 노블스위밍 랩","2020-06-12 09:25:22","I","2023-06-13 00:00:00","","365986.168166118","474125.937897022","수영장업","사립","","1","0","2680.64","0","","",
"45","수영장업","10_35_01_P","4201000","CDFH3301012021000001","2021-12-14","","01","영업/정상","13","영업중","","","","","033-655-7955","","","강원특별자치도 강릉시 홍제동 189-4 DS빌딩","강원특별자치도 강릉시 홍제로 76, DS빌딩 (홍제동)","25527","디에스 빌딩","2024-10-31 16:30:54","U","2024-11-02 02:40:00","","365986.168166118","474125.937897022","수영장업","사립","","0","0","2680.64","0","","",
"46","수영장업","10_35_01_P","4201000","CDFH3301012022000002","2022-10-17","","01","영업/정상","13","영업중","","","","","033-662-0972","","","강원특별자치도 강릉시 주문진읍 교항리 48-160","강원특별자치도 강릉시 주문진읍 연주로 272","25425","북부 수영장","2022-10-17 15:20:03","I","2023-06-13 00:00:00","","361194.329232083","487596.286623192","수영장업","사립","","1","0","1647.16","0","","",
"47","수영장업","10_35_01_P","4201000","CDFH3301012023000001","2023-05-18","","01","영업/정상","13","영업중","","","","","033-651-4551","","","강원특별자치도 강릉시 포남동 산 90-1 강릉아레나","강원특별자치도 강릉시 수리골길 102, 강릉아레나 (포남동)","25472","아레나 수영장","2023-05-18 16:38:26","I","2023-06-13 00:00:00","","","","수영장업","사립","","2","1","32780.75","0","","",
"48","수영장업","10_35_01_P","4201000","CDFH3301012025000001","2025-07-31","","01","영업/정상","13","영업중","","","","","033-820-0100","","","강원특별자치도 강릉시 송정동 352 관광숙박시설","강원특별자치도 강릉시 해안로 186, 관광숙박시설 3층 (송정동)","25556","신라모노그램 강릉(호텔)","2025-07-31 10:38:02","I","2025-08-02 00:20:02","","369837.860897463","477692.077047582","수영장업","사립","Y","2","1","39262.64","0","","",
"49","수영장업","10_35_01_P","4201000","CDFH3301012025000002","2025-07-31","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 송정동 259 부대시설 스파존","강원특별자치도 강릉시 해안로 210, 부대시설 스파존 (송정동)","25556","무브 강릉 레지던스 수영장","2025-07-31 10:37:03","I","2025-08-02 00:20:02","","369790.634001432","477652.308865978","수영장업","사립","Y","2","1","109547.38","0","","",
"50","수영장업","10_35_01_P","4211000","CDFH3301011998000001","1998-11-09","","03","폐업","03","폐업","2019-12-31","","","","533-9060","","240-816","강원특별자치도 동해시 묵호진동 2-2","강원특별자치도 동해시 일출로 151 (묵호진동)","","삼양비치실내수영장","2020-03-13 14:32:51","I","2023-06-13 00:00:00","","387323.883986963","452587.831165536","수영장업","사립","","0","0","0","0","","",
"51","수영장업","10_35_01_P","4211000","CDFH3301012005000001","2005-06-30","","03","폐업","03","폐업","2019-12-31","","","","","","240-816","강원특별자치도 동해시 묵호진동 2-2","강원특별자치도 동해시 일출로 151 (묵호진동)","","삼양비치 해수수영장","2020-03-13 14:34:15","I","2023-06-13 00:00:00","","387323.883986963","452587.831165536","수영장업","사립","","0","0","0","0","","",
"52","수영장업","10_35_01_P","4211000","CDFH3301011999000001","1999-11-01","","01","영업/정상","13","영업중","","","","","","","240-807","강원특별자치도 동해시 천곡동 1005-12","강원특별자치도 동해시 동굴로 2 (천곡동)","","동해시근로자 종합복지회관","2024-01-15 09:51:21","U","2024-01-17 02:40:00","","386057.560488399","447952.176066942","수영장업","사립","Y","2","0","0","0","","",
"53","수영장업","10_35_01_P","4211000","CDFH3301012009000001","2009-11-20","","01","영업/정상","13","영업중","","","","","033-530-0708","","240-080","강원특별자치도 동해시 망상동 396-18","강원특별자치도 동해시 동해대로 6285 (망상동)","25701","(주)동해보양온천컨벤션호텔 수영장","2025-07-04 09:27:28","U","2025-07-06 02:40:00","","384244.340894126","456511.330745685","수영장업","사립","Y","2","0","26447.51","0","","",
"54","수영장업","10_35_01_P","4211000","CDFH3301012020000001","2020-12-31","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 동해시 쇄운동 82-3","강원특별자치도 동해시 청운로 71, 지1층 (쇄운동)","25805","동해어린이수영센터","2024-11-12 16:04:12","U","2024-11-14 02:40:00","","385899.743681933","444766.374375863","수영장업","사립","Y","1","1","1353.3","0","","",
"55","수영장업","10_35_01_P","4211000","CDFH3301012022000001","2022-05-31","","01","영업/정상","13","영업중","","","","","033-522-4337","","","강원특별자치도 동해시 송정동 1572","강원특별자치도 동해시 용정로 67 (송정동)","25776","(주)씨에스씨스포츠센터","2025-09-05 10:50:55","U","2025-09-07 02:40:00","","387279.819374071","446142.630906477","수영장업","사립","Y","1","1","980.26","0","","",
"56","수영장업","10_35_01_P","4211000","CDFH3301012023000001","2023-06-09","","01","영업/정상","13","영업중","","","","","033-539-3750","","","강원특별자치도 동해시 구미동 2","강원특별자치도 동해시 갯목길 114-5, 해오름스포츠센터 1층 (구미동)","25790","해오름스포츠센터 수영장","2024-11-12 16:05:04","U","2024-11-14 02:40:00","","389387.606698168","445125.855354284","수영장업","사립","Y","0","0","0","0","","",
"57","수영장업","10_35_01_P","4221000","CDFH3301012001000001","2001-01-12","","03","폐업","03","폐업","2014-01-14","","","","","","235-801","강원특별자치도 태백시 황지동 274-13 황지여자중학교","강원특별자치도 태백시 연지로33번길 26 (황지동, 황지여자중학교)","235-801","태백학생수영장","2014-01-14 10:17:57","I","2023-06-13 00:00:00","","376597.049851188","410306.960648556","수영장업","사립","","0","0","748","0","","",
"58","수영장업","10_35_01_P","4221000","CDFH3301012011000001","2011-07-07","","01","영업/정상","13","영업중","","","","","","","235-010","강원특별자치도 태백시 황지동 산 176-28 오투리조트","강원특별자치도 태백시 서학로 861 (황지동, 오투리조트)","26010","하늘수영장","2024-05-29 09:49:28","U","2024-05-31 02:40:00","","","","수영장업","사립","","0","0","0","0","","",
"59","수영장업","10_35_01_P","4231000","CDFH3301012002000001","2002-11-07","","02","휴업","02","휴업","","2020-05-29","2020-12-31","","033-635-5800","","217-070","강원특별자치도 속초시 노학동 746-96","강원특별자치도 속초시 관광로408번길 14 (노학동)","24859","설악파인콘도미니엄수영장","2024-06-14 11:41:17","U","2024-06-16 02:40:00","","334748.677009013","522552.478010903","수영장업","사립","Y","0","0","18296.93","0","","",
"60","수영장업","10_35_01_P","4231000","CDFH3301012006000001","2006-07-26","","02","휴업","02","휴업","","2023-06-22","2025-06-20","","638-8400","","217-100","강원특별자치도 속초시 대포동 245-5","강원특별자치도 속초시 동해대로 3705 (대포동)","24902","호텔마레몬스 옥외수영장","2023-06-21 13:06:55","U","2023-06-23 02:40:00","","340676.644410418","519441.621379438","수영장업","사립","Y","0","1","17442.04","0","","",
"61","수영장업","10_35_01_P","4231000","CDFH3301012001000001","2001-03-02","","03","폐업","03","폐업","2012-04-04","","","","635-8040","","217-070","강원특별자치도 속초시 노학동 746-68","강원특별자치도 속초시 관광로408번길 23  (노학동)","","코레스코수영장","2012-04-04 18:21:25","I","2023-06-13 00:00:00","","334849.939955388","522595.537979852","수영장업","사립","1","0","0","0","0","","",
"62","수영장업","10_35_01_P","4231000","CDFH3301012003000001","2003-01-08","","01","영업/정상","13","영업중","","","","","033-630-5637","","217-130","강원특별자치도 속초시 장사동 24-1","강원특별자치도 속초시 미시령로2983번길 111 (장사동)","24801","설악워터피아실외수영장","2016-03-09 16:51:38","I","2023-06-13 00:00:00","","333788.794285736","524104.959379777","수영장업","사립","Y","0","0","0","0","","",
"63","수영장업","10_35_01_P","4231000","CDFH3301012010000001","2010-01-18","","01","영업/정상","13","영업중","","","","","630-5500","","217-130","강원특별자치도 속초시 장사동 24-1","강원특별자치도 속초시 미시령로2983번길 111 (장사동)","24801","설악워터피아옥외수영장","2015-08-03 17:25:59","I","2023-06-13 00:00:00","","333788.794285736","524104.959379777","수영장업","사립","Y","0","0","0","0","","",
"64","수영장업","10_35_01_P","4231000","CDFH3301012014000001","2014-11-21","","01","영업/정상","13","영업중","","","","","","","217-811","강원특별자치도 속초시 조양동 1082-1","강원특별자치도 속초시 조양로 89 (조양동)","24897","속초국민체육센터(수영장)","2025-09-03 11:00:10","U","2025-09-05 02:40:00","","339303.735624205","521599.36284337","수영장업","사립","Y","2","1","2965.63","0","","",
"65","수영장업","10_35_01_P","4231000","CDFH3301012017000001","2017-07-14","","01","영업/정상","13","영업중","","","","","033-634-1000","","","강원특별자치도 속초시 대포동 908-1 롯데리조트속초","강원특별자치도 속초시 대포항길 186, 롯데리조트속초 (대포동)","24900","롯데리조트 옥외수영장","2021-06-16 19:52:33","I","2023-06-13 00:00:00","","341368.867554951","521043.560941235","수영장업","사립","","0","0","0","0","","",
"66","수영장업","10_35_01_P","4231000","CDFH3301012020000001","2020-06-19","","01","영업/정상","13","영업중","","","","","033-637-6600","","","강원특별자치도 속초시 조양동 1558-2","강원특별자치도 속초시 청초호반로 28, 마리나베이 속초 1층 (조양동)","24885","어반아쿠아풀","2020-06-19 15:41:36","I","2023-06-13 00:00:00","","339423.489883316","522055.908114092","수영장업","사립","Y","0","1","18905.62","0","","",
"67","수영장업","10_35_01_P","4231000","CDFH3301012020000002","2020-07-15","","01","영업/정상","13","영업중","","","","","033-633-8444","","","강원특별자치도 속초시 조양동 1493-7","강원특별자치도 속초시 동해대로 3920, 더블루테라 29층 (조양동)","24888","더블루테라","2023-07-04 17:17:37","U","2023-07-06 02:40:00","","340239.963068503","521419.360232933","수영장업","사립","Y","1","0","28130.53","50","","",
