"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","관리업구분명","자본금","자산","보수범위","유지관리책임인력수","실무기술인력수","설계책임기술인력수","제조책임기술인력수","임원수","총직원수","기술직직원수","기능직직원수","사무직직원수","기타직원수","회사구분명","사업자등록번호",
"20","승강기유지관리업체","11_48_01_P","6530000","642000000015","1998-11-12","","01","영업/정상","1","인허가","","","","","0337428398","","26454","강원특별자치도 원주시 행구동 1534-5","강원특별자치도 원주시 행구로 267-11 (행구동)","26454","(주)영서엘리베이터","2025-08-29 00:00:00","U","2025-08-31 02:40:00","","","","유지관리","고속승강기,중저속승강기","105000000","","500","1","0","","","","","","","","","본점","2248124475",
"21","승강기유지관리업체","11_48_01_P","6530000","423000000004","2014-07-14","","01","영업/정상","1","인허가","","","","","0336318829","","24867","강원특별자치도 속초시 노학동 1029번지 4호","강원특별자치도 속초시 학사평길 44-8 (노학동)","24867","승창엘리베이터(주)","2025-06-10 00:00:00","U","2025-06-12 02:40:00","","","","유지관리","고속승강기,중저속승강기","100000000","","1000","1","0","","","","","","","","","본점","5698800570",
"22","승강기유지관리업체","11_48_01_P","6530000","642000000024","2005-01-05","","01","영업/정상","1","인허가","","","","","0336368827","","","강원특별자치도 속초시 도문동 1233번지","강원특별자치도 속초시 떡밭재로 73 (도문동)","24904","설악엘리베이터","2018-04-30 10:30:49","I","2023-06-13 00:00:00","","338749.567231586","519732.442988708","유지관리","중저속승강기","110000000","","800","1","0","","","","9","7","","","","본점","2270441642",
"23","승강기유지관리업체","11_48_01_P","6530000","420100000001","2024-01-04","","01","영업/정상","1","인허가","","","","","0336526675","","25440","강원특별자치도 강릉시 사천면 방동리 804-5","강원특별자치도 강릉시 사천면 과학단지로 158-17","25440","동양이앤아이주식회사 외곽지점","2025-09-03 00:00:00","U","2025-09-05 02:40:00","","","","유지관리","고속승강기,중저속승강기","0","","600","1","","","","","","","","","","지점","7598502387",
"24","승강기유지관리업체","11_48_01_P","6530000","422100000001","2024-12-19","","01","영업/정상","1","인허가","","","","","","","26023","강원특별자치도 태백시 황지동 220 황지동유진아트빌","강원특별자치도 태백시 고원로 61, 상가동 7호 (황지동, 황지동유진아트빌)","26023","동아엘리베이터 주식회사","2025-07-03 00:00:00","U","2025-07-05 02:40:00","","","","유지관리","중저속승강기","100","","380","1","","","","","","","","","","본점","4098803269",
"25","승강기유지관리업체","11_48_01_P","6530000","642000000027","2006-11-24","","03","폐업","2","폐지","2019-02-28","","","","0337351664","","220-939","강원특별자치도 원주시 단계동  897번지","강원특별자치도 원주시 이화6길 70 (단계동)","220-939","(주)원영엘리베이터","2019-02-28 00:00:00","U","2025-04-11 02:40:00","","","","유지관리","고속승강기","116379842","","1,000","2","0","","","","","","","","","본점","6068700420",
"26","승강기유지관리업체","11_48_01_P","6530000","642000000030","2008-09-09","","03","폐업","2","폐지","","","","","0336518182","","210-946","강원특별자치도 강릉시 포남1동  1278번지 80호","강원특별자치도 강릉시 경강로2334번길 4 (포남동)","210-946","삼성엘리베이터","2011-12-10 14:54:39","I","2023-06-13 00:00:00","","368792.002499063","475730.858792503","유지관리","없음","100000000","","100","2","3","","","","5","","","","","","",
"27","승강기유지관리업체","11_48_01_P","6530000","642000000031","2010-03-25","","03","폐업","2","폐지","","","","","07086703382","","220-150","강원특별자치도 원주시 무실동   1246번지 1호","","","태원엘리베이터(주)","2011-05-20 13:42:29","I","2023-06-13 00:00:00","","281358.319070221","426108.158551963","유지관리","없음","200000000","","200","5","2","","","","7","","","","","","",
"28","승강기유지관리업체","11_48_01_P","6530000","642000000034","2013-04-09","","03","폐업","2","폐지","","","","","0332619434","","200-883","강원특별자치도 춘천시 동내면 1090번지 3호","강원특별자치도 춘천시 동내면 거두택지길 39","200-883","(주)호반엘리베이터","2013-06-12 17:29:15","I","2023-06-13 00:00:00","","266422.975998126","483807.519605644","유지관리","없음","100000000","","500","1","3","","","","8","","","","","","2218142912",
"29","승강기유지관리업체","11_48_01_P","6530000","642000000040","2016-02-05","","03","폐업","2","폐지","2020-04-16","","","","0335352708","","25778","강원특별자치도 동해시 천곡동 959번지 17호","강원특별자치도 동해시 감추1길 35 (천곡동)","25778","제일엘리베이터(주)","2020-04-16 00:00:00","U","2025-04-11 02:40:00","","","","유지관리","중저속승강기","100000000","","900","1","0","","","","","","","","","본점","4468800368",
"30","승강기유지관리업체","11_48_01_P","6530000","642000000025","2005-04-26","","03","폐업","2","폐지","2019-03-01","","","","0337614877","","220-930","강원특별자치도 원주시 개운동  53번지 5호","강원특별자치도 원주시 개운4길 1-5 (개운동)","220-930","삼양엘리베이터(주)","2019-03-01 00:00:00","U","2025-04-11 02:40:00","","","","유지관리","고속승강기,중저속승강기","100000000","","1,200","2","0","","","","","","","","","본점","2248133765",
"31","승강기유지관리업체","11_48_01_P","6530000","423000000002","2015-10-13","","03","폐업","2","폐지","2019-03-27","","","","0336368937","","","강원특별자치도 속초시 청호동 1344번지 11호","강원특별자치도 속초시 설악금강대교로 52, 2층 (청호동)","","(주)세종엘리베이터","2019-03-27 00:00:00","U","2025-04-11 02:40:00","","","","유지관리","고속승강기","100000000","","800","1","","","","","","","","","","본점","4588600260",
"32","승강기유지관리업체","11_48_01_P","6530000","423000000001","2005-01-05","","03","폐업","2","폐지","2021-05-31","","","","0336368827","","24868","강원특별자치도 속초시 노학동 513번지 1호","강원특별자치도 속초시 응골길 59 (노학동)","24868","설악엘리베이터","2021-05-31 00:00:00","U","2025-04-11 02:40:00","","","","유지관리","고속승강기,중저속승강기","110000000","","700","1","0","","","","","","","","","본점","2270441642",
"33","승강기유지관리업체","11_48_01_P","6530000","642000000013","1998-10-27","","03","폐업","2","폐지","2021-06-01","","","","0336523083","","210-952","강원특별자치도 강릉시 포남2동  1058번지 14호","강원특별자치도 강릉시 보래미하길 69 (포남동)","210-952","(주)강원엘리베이터","2021-06-01 00:00:00","U","2025-04-11 02:40:00","","","","유지관리","고속승강기,중저속승강기","102000000","","1000","2","0","","","","","","","","","본점","8668101091",
"34","승강기유지관리업체","11_48_01_P","6530000","423000000006","2022-06-20","","03","폐업","2","폐지","2024-01-01","","","","0336384585","","24899","강원특별자치도 속초시 대포동 976-3","강원특별자치도 속초시 농공단지2길 14, (주)금강엔지니어링 (대포동)","24899","(주)금강엔지니어링 강릉지점","2024-01-01 00:00:00","U","2025-04-11 02:40:00","","","","유지관리","중저속승강기","800","","600","1","","","","","","","","","","지점","3698502188",
"35","승강기유지관리업체","11_48_01_P","6530000","642000000020","2000-04-03","","03","폐업","2","폐지","2019-03-01","","","","0336472603","","210-924","강원특별자치도 강릉시 교1동 1802번지 15호","강원특별자치도 강릉시 하슬라로232번길 7-9 (교동)","210-924","(주)관동엘리베이터","2019-03-01 00:00:00","U","2025-04-11 02:40:00","","","","유지관리","고속승강기","110000000","","1,000","1","0","","","","13","10","","","3","본점","2268124563",
"36","승강기유지관리업체","11_48_01_P","6530000","642000000003","1993-03-16","","03","폐업","2","폐지","","","","","0336517005","","210-939","강원특별자치도 강릉시 포남2동   55번지 13호","","","동양산전","2014-07-11 13:13:05","I","2023-06-13 00:00:00","","368389.920530778","476915.444334046","유지관리","중저속승강기","115000000","","1,600","20","0","","","","20","20","","","","본점","2260873789",
"37","승강기유지관리업체","11_48_01_P","6530000","642000000017","1999-04-07","","03","폐업","2","폐지","","","","","0332575782","","200-952","강원특별자치도 춘천시 효자2동  820번지 상가동 202","강원특별자치도 춘천시 백령로75번길 7, 상가동동 202호 (효자동)","200-952","현대승강기(주)","2011-11-03 16:35:56","I","2023-06-13 00:00:00","","264814.967149259","485519.430702843","유지관리","없음","100000000","","700","9","2","","","","11","10","","","","","2218116919",
"38","승강기유지관리업체","11_48_01_P","6530000","642000000023","2003-10-09","","03","폐업","2","폐지","","","","","0332638175","","200-943","강원특별자치도 춘천시 퇴계동   395번지 35호 1층좌","","","동양승강기","2010-05-27 09:29:20","I","2023-06-13 00:00:00","","264453.392361189","484776.516056433","유지관리","없음","185000000","","200","5","2","","","","7","4","4","","","","2210654027",
"39","승강기유지관리업체","11_48_01_P","6530000","642000000026","2005-05-12","","03","폐업","2","폐지","2015-04-02","","","","0336372284","","217-020","강원특별자치도 속초시 동명동  559번지 5호","강원특별자치도 속초시 장안로2길 2 (동명동)","217-020","(주)세운기전","2015-04-02 00:00:00","U","2025-04-11 02:40:00","","339147.864062036","524362.896102458","유지관리","중저속승강기","300000000","","200","1","3","","","","8","7","","","","본점","2278105254",
"40","승강기유지관리업체","11_48_01_P","6530000","642000000019","1999-12-18","","02","휴업","3","휴지","","","","","0336441123","","210-100","강원특별자치도 강릉시 교동  2번지 1호","강원특별자치도 강릉시 수리골길 94-12 (교동)","210-100","태림엘리베이터(주)","2013-12-31 13:33:00","I","2023-06-13 00:00:00","","","","유지관리","없음","110000000","","100","2","3","","","","","","","","","본점","",
"41","승강기유지관리업체","11_48_01_P","6530000","642000000011","1997-12-24","","02","휴업","3","휴지","","","","","0332441234","","200-170","강원특별자치도 춘천시 퇴계동  7번지 23호","강원특별자치도 춘천시 안마산로 203 (퇴계동)","200-170","원일엘리베이터(주)","2013-12-31 13:43:15","I","2023-06-13 00:00:00","","264780.983206945","483338.579098158","유지관리","없음","150000000","","100","2","3","","","","","2","3","","","본점","",
"42","승강기유지관리업체","11_48_01_P","6530000","419000000003","2023-03-16","","02","휴업","3","휴지","","2023-10-27","2025-10-23","","","","26356","강원특별자치도 원주시 흥업면 사제리 566-1","강원특별자치도 원주시 흥업면 삼성길 10, 2동, 3동","26356","㈜나우이엔씨","2023-10-27 00:00:00","U","2025-04-11 02:40:00","","","","유지관리","중저속승강기","10","","630","2","","","","","","","","","","본점","8948702189",
"43","승강기유지관리업체","11_48_01_P","6530000","429000000001","2020-03-06","","04","취소/말소/만료/정지/중지","5","등록취소","","","","","033  5929398","","26154","강원특별자치도 정선군 사북읍 사북리 424번지 강원랜드","강원특별자치도 정선군 사북읍 하이원길 265, 강원랜드","26154","하이원파트너스","2025-10-09 00:00:00","U","2025-10-11 02:40:00","","","","유지관리","중저속승강기","569","","800","1","","","","","","","","","","본점","8888701550",
"44","승강기유지관리업체","11_48_01_P","6530000","642000000032","2012-02-10","","04","취소/말소/만료/정지/중지","5","등록취소","2019-02-28","","","","0332566110","","24214","강원특별자치도 춘천시 동면 장학리 176-1번지","강원특별자치도 춘천시 동면 삭주로","24214","신영엘리베이터(주)","2020-03-27 00:00:00","I","2023-06-13 00:00:00","","","","유지관리","고속승강기,중저속승강기","100000000","","1100","2","0","","","","","","","","","본점","2218139998",
"45","승강기유지관리업체","11_48_01_P","6530000","642000000008","1996-07-26","","04","취소/말소/만료/정지/중지","5","등록취소","","","","","0335352708","","240-807","강원특별자치도 동해시 천곡동  1002번지 1호","강원특별자치도 동해시 동굴로 98 (천곡동)","240-807","(주)제일엘리베이터","2016-04-18 09:43:32","I","2023-06-13 00:00:00","","386905.025487716","448242.475062139","유지관리","없음","100000000","","700","1","3","","","","8","7","","","","본점","4468800368",
