"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","의자수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","침대수","다중이용업소여부",
"11","미용업","05_18_01_P","4191000","4191000-212-2023-00026","2023-09-08","","01","영업/정상","01","영업","","","","","","47.98","","강원특별자치도 원주시 지정면 가곡리 1345-6","강원특별자치도 원주시 지정면 무릉로 35-1, 4층 405호","26353","타토아비욘드기업도시점","2023-09-20 10:59:01","U","2023-09-23 02:40:00","피부미용업","277575.413647863","430719.642327459","피부미용업","7","2","4","4","0","0","0","","","","임대","0","0","2","N",
"12","미용업","05_18_01_P","4201000","4201000-212-2023-00009","2023-08-16","","01","영업/정상","01","영업","","","","","","16.30","","강원특별자치도 강릉시 교동 1828-15","강원특별자치도 강릉시 율곡초교길11번길 8, 1층 (교동)","25510","민성세라피","2023-08-16 11:32:13","I","2023-08-18 00:18:28","피부미용업","365539.674357185","475589.914137918","피부미용업","3","0","1","0","0","0","0","","","","","0","0","1","N",
"13","미용업","05_18_01_P","4231000","4231000-211-2023-00010","2023-08-16","","01","영업/정상","01","영업","","","","","","223.62","","강원특별자치도 속초시 금호동 482-206","강원특별자치도 속초시 중앙로 107, 2층 (금호동)","24835","행복미용실","2023-08-16 15:53:34","I","2023-08-18 00:18:28","일반미용업","339002.8225953","523326.612416465","일반미용업","5","1","2","2","0","0","10","","","","","0","0","0","N",
"14","미용업","05_18_01_P","4181000","4181000-211-2023-00039","2023-08-21","","01","영업/정상","01","영업","","","","","","19.83","","강원특별자치도 춘천시 온의동 587-5 춘천강남하이엔드","강원특별자치도 춘천시 춘천로17번길 21, 춘천강남하이엔드 2층 202(우측)호 (온의동)","24364","춘천염색방","2023-08-21 14:10:19","I","2023-08-23 00:18:32","일반미용업","263239.631389737","485155.087398776","일반미용업","8","4","2","2","0","0","2","","","","임대","0","0","0","N",
"15","미용업","05_18_01_P","4181000","4181000-211-2023-00040","2023-08-21","","01","영업/정상","01","영업","","","","","","129.40","","강원특별자치도 춘천시 동면 장학리 859","강원특별자치도 춘천시 동면 만천로 261, 2층 201호","24296","키라의머리공방","2023-08-21 14:45:44","I","2023-08-23 00:18:32","일반미용업","266258.343926198","487963.42956518","일반미용업","3","0","2","2","0","0","3","","","","임대","0","0","0","N",
"16","미용업","05_18_01_P","4181000","4181000-212-2023-00015","2023-08-08","","01","영업/정상","01","영업","","","","","","39.02","","강원특별자치도 춘천시 중앙로2가 57-1","강원특별자치도 춘천시 낙원길 20-2, 2층 (중앙로2가)","24273","이룸스킨공간","2023-08-08 14:35:41","I","2023-08-10 00:18:35","피부미용업","263697.725863878","486446.08813622","피부미용업","2","0","2","2","0","0","1","","","","임대","0","0","1","N",
"17","미용업","05_18_01_P","4211000","4211000-211-2023-00007","2023-08-08","","01","영업/정상","01","영업","","","","","033 5336625","22.80","","강원특별자치도 동해시 천곡동 856 이주민상가","강원특별자치도 동해시 중앙로 234, 이주민상가 2층 2호 (천곡동)","25769","박가가머리하는집","2023-08-08 15:51:13","I","2023-08-10 00:18:35","일반미용업","386927.673523156","448667.134954151","일반미용업","0","0","0","0","0","0","2","","","","임대","0","0","0","N",
"18","미용업","05_18_01_P","4191000","4191000-215-2023-00023","2023-08-07","","01","영업/정상","01","영업","","","","","","28.16","","강원특별자치도 원주시 명륜동 817-9","강원특별자치도 원주시 황소마을길 6, 1층 (명륜동)","26481","네일오퓰","2023-09-14 19:36:44","U","2023-09-16 02:40:00","네일아트업","283694.33590663","425763.236841868","네일미용업","4","0","1","0","0","0","3","","","","임대","0","0","0","N",
"19","미용업","05_18_01_P","4201000","4201000-213-2014-00003","2014-06-17","","01","영업/정상","01","영업","","","","","033 645 5675","41.00","","강원특별자치도 강릉시 임당동 103-15","강원특별자치도 강릉시 경강로2115번길 3, 2층 (임당동)","25531","뷰티플러스샵","2023-08-21 16:03:41","I","2023-08-23 00:18:32","일반미용업","367168.287129504","474314.578306107","종합미용업","2","0","2","2","0","0","3","","","","","0","0","0","N",
"20","미용업","05_18_01_P","4191000","4191000-219-2023-00010","2023-08-28","","01","영업/정상","01","영업","","","","","","29.46","","강원특별자치도 원주시 지정면 가곡리 1473 이지더원 어반포레","강원특별자치도 원주시 지정면 조엄로 391, 142동 2층 A201호 (이지더원 어반포레)","26346","헤이제이브로우(HEY J BROW)","2025-06-20 10:28:08","U","2025-06-22 02:40:00","메이크업업","276670.200162963","430626.634042737","화장ㆍ분장 미용업","2","1","1","1","0","0","0","","","","임대","0","0","1","N",
"21","미용업","05_18_01_P","4331000","4331000-217-2023-00001","2023-08-07","","01","영업/정상","01","영업","","","","","","14.88","","강원특별자치도 인제군 북면 원통리 645-48","강원특별자치도 인제군 북면 원통로 177","24612","헤어 177","2023-08-28 20:36:10","U","2023-08-30 02:40:00","일반미용업","305475.072427865","514024.389005539","일반미용업, 네일미용업","0","0","0","0","0","0","2","","","","임대","0","0","0","N",
"22","미용업","05_18_01_P","4191000","4191000-212-2023-00023","2023-08-21","","01","영업/정상","01","영업","","","","","","11.70","","강원특별자치도 원주시 무실동 1672-1","강원특별자치도 원주시 섬밭들1길 26-9, 1층 (무실동)","26385","다르짐","2025-02-27 20:39:44","U","2025-03-01 02:40:00","피부미용업","281656.394564444","426058.443708275","피부미용업","3","0","1","1","0","0","0","","","","임대","0","1","1","N",
"23","미용업","05_18_01_P","4191000","4191000-213-2023-00028","2023-08-21","","01","영업/정상","01","영업","","","","","","31.95","","강원특별자치도 원주시 일산동 247-162 일산국제아파트","강원특별자치도 원주시 남산로 141, 305호 (일산동, 일산국제아파트)","26418","수나미용실","2023-09-21 11:30:10","U","2023-09-23 02:40:00","일반미용업","283106.667143336","427882.318806568","종합미용업","4","1","0","0","0","0","1","","","","","0","0","0","N",
"24","미용업","05_18_01_P","4191000","4191000-215-2023-00026","2023-08-21","","01","영업/정상","01","영업","","","","","","48.99","","강원특별자치도 원주시 반곡동 1903-5","강원특별자치도 원주시 황금로 6, 127호 (반곡동)","26462","뿌르유네일","2025-02-04 17:47:23","U","2025-02-06 02:40:00","네일아트업","287415.373149972","425510.922173714","네일미용업","10","0","1","1","0","0","3","","","","","0","0","0","N",
"25","미용업","05_18_01_P","4201000","4201000-213-2017-00003","2017-09-15","","01","영업/정상","01","영업","","","","","070 46066432","144.94","","강원특별자치도 강릉시 내곡동 416-10","강원특별자치도 강릉시 남부로17번길 12, 2층 (내곡동)","25604","뽀샵뷰티","2023-07-04 14:46:36","I","2023-07-06 00:19:23","피부미용업","365840.873675437","472600.847568635","종합미용업","0","0","0","0","0","0","1","","","","","0","0","1","N",
"26","미용업","05_18_01_P","4181000","4181000-215-2023-00012","2023-08-09","","01","영업/정상","01","영업","","","","","","10.00","","강원특별자치도 춘천시 중앙로2가 86","강원특별자치도 춘천시 중앙로 64-1, 3층 (중앙로2가)","24273","리안네일","2023-09-22 16:42:28","U","2023-09-24 02:40:00","네일아트업","263843.050252377","486580.781738383","네일미용업","3","0","3","3","0","0","1","","","","임대","0","0","0","N",
"27","미용업","05_18_01_P","4181000","4181000-212-2023-00017","2023-08-17","","01","영업/정상","01","영업","","","","","","58.80","","강원특별자치도 춘천시 온의동 601 춘천 센트럴타워 푸르지오","강원특별자치도 춘천시 방송길 77, 2층 2112호 (온의동, 춘천 센트럴타워 푸르지오)","24363","더맑은스킨춘천점","2023-08-17 11:22:04","I","2023-08-19 00:19:05","피부미용업","263345.431242431","485397.525389929","피부미용업","49","7","2","2","0","0","0","","","","자가","0","0","2","N",
"28","미용업","05_18_01_P","4181000","4181000-219-2023-00010","2023-08-17","","01","영업/정상","01","영업","","","","","","39.15","","강원특별자치도 춘천시 효자동 491-335 낙원아파트","강원특별자치도 춘천시 춘천로138번길 16, 상가동 1층 103호 (효자동, 낙원아파트)","24335","올리다뷰티","2023-08-17 15:59:22","I","2023-08-19 00:19:05","메이크업업","264291.048450495","485902.477352711","화장ㆍ분장 미용업","1","1","1","1","0","0","0","","","","","0","0","2","N",
"29","미용업","05_18_01_P","4181000","4181000-211-2023-00037","2023-08-04","","01","영업/정상","01","영업","","","","","","56.00","","강원특별자치도 춘천시 퇴계동 446","강원특별자치도 춘천시 안마산로 109, 1층 (퇴계동)","24455","오엔조","2023-08-04 14:20:15","I","2023-08-06 00:18:39","일반미용업","264046.674182256","483919.758259887","일반미용업","4","0","1","1","0","0","3","","","","","0","0","0","N",
"30","미용업","05_18_01_P","4201000","4201000-225-2023-00006","2023-08-17","","01","영업/정상","01","영업","","","","","","77.93","","강원특별자치도 강릉시 임당동 178-1","강원특별자치도 강릉시 임영로164번길 7, 101호 (임당동)","25529","머리헤어","2023-08-17 16:05:47","I","2023-08-19 00:19:05","일반미용업","366719.764190921","474300.299468779","일반미용업, 네일미용업, 화장ㆍ분장 미용업","4","1","1","0","0","0","3","","","","","0","0","0","N",
"31","미용업","05_18_01_P","4191000","4191000-211-2023-00019","2023-08-01","","01","영업/정상","01","영업","","","","","","38.00","","강원특별자치도 원주시 명륜동 857 더샵 원주센트럴파크 3단지 상가동","강원특별자치도 원주시 한지공원길 25-6, 더샵 원주센트럴파크 3단지 상가동 1층 112호 (명륜동)","26482","나다운헤어","2023-09-10 12:49:25","U","2023-09-12 02:40:00","일반미용업","283418.310735458","425631.159927302","일반미용업","1","0","1","0","0","0","0","","","","임대","0","0","0","N",
"32","미용업","05_18_01_P","4311000","4311000-212-2023-00001","2023-08-29","","01","영업/정상","01","영업","","","","","","47.00","","강원특별자치도 화천군 화천읍 하리 43-40 2층","강원특별자치도 화천군 화천읍 상승로 42-5, 2층","24130","리타임 뷰티","2023-08-29 16:40:31","I","2023-08-31 00:18:26","피부미용업","261706.382518624","511546.143456522","피부미용업","3","0","2","2","0","0","0","","","","임대","1","0","3","N",
"33","미용업","05_18_01_P","4191000","4191000-213-2014-00003","2014-01-13","","01","영업/정상","01","영업","","","","","","39.00","","강원특별자치도 원주시 반곡동 1822-11 제일풍경채 센텀포레아파트","강원특별자치도 원주시 배울로 154, 1층 106호 (반곡동, 제일풍경채 센텀포레아파트)","26461","다인헤어","2025-08-21 10:25:33","U","2025-08-23 02:40:00","일반미용업","286992.580149446","425902.196053836","종합미용업","2","1","1","1","0","0","3","","","","임대","0","0","0","N",
"34","미용업","05_18_01_P","4181000","4181000-211-2023-00038","2023-08-11","","01","영업/정상","01","영업","","","","","","119.55","","강원특별자치도 춘천시 석사동 756-8","강원특별자치도 춘천시 우석로 49-1, 1층 (석사동)","24326","헤요살롱","2023-08-11 15:09:26","I","2023-08-13 00:18:33","일반미용업","266005.643397453","484824.23976334","일반미용업","3","0","1","1","0","0","4","","","","임대","0","0","0","N",
"35","미용업","05_18_01_P","4181000","4181000-211-2023-00034","2023-08-01","","01","영업/정상","01","영업","","","","","","67.17","","강원특별자치도 춘천시 석사동 351-8","강원특별자치도 춘천시 공지로 154, 1층 (석사동)","24327","큐티헤어(교대점)","2023-08-01 10:17:37","I","2023-08-03 00:18:51","일반미용업","265516.91889812","484371.628354909","일반미용업","4","0","1","1","0","0","4","","","","임대","0","0","0","N",
"36","미용업","05_18_01_P","4181000","4181000-211-2023-00035","2023-08-01","","01","영업/정상","01","영업","","","","","","25.20","","강원특별자치도 춘천시 후평동 866 금호빌리지","강원특별자치도 춘천시 후만로 119, 1층 107호 (후평동, 금호빌리지)","24301","태림헤어","2023-08-01 14:47:55","I","2023-08-03 00:18:51","일반미용업","266533.315377313","486448.910650528","일반미용업","2","1","1","1","0","0","2","","","","임대","0","0","0","N",
"37","미용업","05_18_01_P","4181000","4181000-219-2023-00008","2023-08-01","","01","영업/정상","01","영업","","","","","","56.63","","강원특별자치도 춘천시 중앙로3가 78-3","강원특별자치도 춘천시 방송길7번길 6, 1층 (중앙로3가)","24358","로므","2025-05-29 16:49:34","U","2025-05-31 02:40:00","메이크업업","263343.150244054","486086.792618207","화장ㆍ분장 미용업","4","0","1","1","0","0","2","","","","임대","0","0","2","N",
"38","미용업","05_18_01_P","4351000","4351000-211-2023-00001","2023-08-04","","01","영업/정상","01","영업","","","","","","50.64","","강원특별자치도 양양군 양양읍 남문리 18-5","강원특별자치도 양양군 양양읍 양양로 61, 1층","25030","바이민헤어","2023-08-04 17:38:40","I","2023-08-06 00:18:39","일반미용업","342300.434266406","509299.829733096","일반미용업","4","1","1","0","0","0","9","","","","임대","0","0","0","N",
"39","미용업","05_18_01_P","4251000","4251000-212-2023-00002","2023-07-06","","01","영업/정상","01","영업","","","","","","67.32","","강원특별자치도 홍천군 홍천읍 연봉리 282-9","강원특별자치도 홍천군 홍천읍 무궁화로5길 13-4, 2층","25141","뷰티온정","2023-07-20 10:16:02","U","2023-07-22 02:40:00","피부미용업","276919.836018261","465071.536547317","피부미용업","2","0","2","2","0","0","3","","","","","0","0","3","N",
"40","미용업","05_18_01_P","4231000","4231000-215-2023-00006","2023-07-11","","01","영업/정상","01","영업","","","","","","30.81","","강원특별자치도 속초시 조양동 1217-3 조양주공1단지아파트","강원특별자치도 속초시 온정로 8, 조양주공1단지아파트 상가동 203호 (조양동)","24896","네일보라","2023-07-11 14:07:16","I","2023-07-13 00:19:21","네일아트업","339499.375187383","521409.332960738","네일미용업","0","0","2","2","0","0","2","","","","","1","0","0","N",
"41","미용업","05_18_01_P","4231000","4231000-211-2023-00007","2023-07-18","","01","영업/정상","01","영업","","","","","","53.04","","강원특별자치도 속초시 조양동 1551-1","강원특별자치도 속초시 엑스포로 29, 2층 (조양동)","24872","박샘헤어","2023-07-18 11:51:15","I","2023-07-20 00:18:54","일반미용업","339052.504585477","522091.991113563","일반미용업","0","0","0","0","0","0","3","","","","","0","0","0","N",
"42","미용업","05_18_01_P","4201000","4201000-218-2019-00001","2019-12-12","","01","영업/정상","01","영업","","","","","","40.45","","강원특별자치도 강릉시 포남동 1117","강원특별자치도 강릉시 강릉대로 337-5, 1동 104호 (포남동)","25492","오아에스테틱","2024-03-11 15:13:34","U","2024-03-13 02:40:00","네일아트업","367664.006397338","475433.376817276","피부미용업, 네일미용업","0","0","1","1","0","0","1","","","","","0","0","0","N",
"43","미용업","05_18_01_P","4181000","4181000-211-2023-00031","2023-07-06","","01","영업/정상","01","영업","","","","","033252 2816","59.00","","강원특별자치도 춘천시 우두동 1066","강원특별자치도 춘천시 충열로 10-3, 1층 102호 (우두동)","24231","머리해","2023-07-06 11:36:42","I","2023-07-08 00:19:04","일반미용업","264102.781670921","488873.098351129","일반미용업","3","1","1","1","0","0","3","","","","임대","0","0","0","N",
"44","미용업","05_18_01_P","4261000","4261000-212-2023-00002","2023-06-30","","01","영업/정상","01","영업","","","","","","0.00","","강원특별자치도 횡성군 횡성읍 읍하리 134-32","강원특별자치도 횡성군 횡성읍 문정로 10-1, 1층","25233","라인뷰티","2023-06-30 10:03:57","I","2023-07-02 00:19:39","피부미용업","287006.763140385","443563.362679725","피부미용업","0","0","0","0","0","0","0","","","","","0","0","0","N",
"45","미용업","05_18_01_P","4191000","4191000-213-2023-00022","2023-07-18","","01","영업/정상","01","영업","","","","","033 735 1911","11.00","","강원특별자치도 원주시 단구동 997-6","강원특별자치도 원주시 남원로534번길 64, 1층 일부호 (단구동)","26485","두피메카","2023-08-23 09:55:48","U","2023-08-25 02:40:00","피부미용업","284310.250897042","425529.166771353","종합미용업","3","1","1","1","0","0","3","","","","","0","0","0","N",
"46","미용업","05_18_01_P","4191000","4191000-213-2023-00023","2023-07-18","","01","영업/정상","01","영업","","","","","","82.50","","강원특별자치도 원주시 단구동 1512-2 광장빌딩","강원특별자치도 원주시 서원대로 408, 광장빌딩 6층 601호, 602 일부호 (단구동)","26484","네일밸류","2025-09-22 15:14:09","U","2025-09-24 02:40:00","네일아트업","284124.423574889","425753.203190806","종합미용업","6","1","6","6","0","0","8","","","","","0","0","0","N",
"47","미용업","05_18_01_P","4281000","4281000-226-2020-00001","2020-11-13","","01","영업/정상","01","영업","","","","","050714624250","15.86","","강원특별자치도 평창군 대관령면 횡계리 331-16","강원특별자치도 평창군 대관령면 눈마을길 49, 1층","25344","엘뷰티(eLL beauty)","2023-07-07 11:18:43","I","2023-07-08 00:19:04","네일아트업","350762.723002706","464740.308533907","피부미용업, 네일미용업, 화장ㆍ분장 미용업","3","0","1","1","0","0","4","","","","","0","0","0","N",
"48","미용업","05_18_01_P","4191000","4191000-213-2023-00020","2023-07-06","","01","영업/정상","01","영업","","","","","","13.68","","강원특별자치도 원주시 단계동 876-6","강원특별자치도 원주시 서원대로 161, 2층 (단계동)","26436","뷰리에뷰티","2024-09-30 17:34:13","U","2024-10-02 02:40:00","피부미용업","282300.252717519","427347.351049095","종합미용업","4","0","1","1","0","0","2","","","","임대","0","0","2","N",
"49","미용업","05_18_01_P","4181000","4181000-212-2023-00016","2023-08-14","","01","영업/정상","01","영업","","","","","","37.78","","강원특별자치도 춘천시 퇴계동 1102","강원특별자치도 춘천시 퇴계로 129-15, 1층 101호 (퇴계동)","24380","더맑은스킨춘천퇴계점","2025-05-16 10:22:46","U","2025-05-18 02:40:00","피부미용업","264605.523936959","484569.487860838","피부미용업","3","0","1","1","0","0","0","","","","임대","0","0","2","N",
"50","미용업","05_18_01_P","4211000","4211000-220-2019-00003","2019-01-21","","01","영업/정상","01","영업","","","","","","52.89","","강원특별자치도 동해시 천곡동 1077-5","강원특별자치도 동해시 한섬로 61-1, 1층 105호 (천곡동, 삼양타워1차)","25761","지오뷰티헤어","2023-07-10 17:00:12","I","2023-07-13 00:19:21","일반미용업","386543.49729853","448573.800520608","일반미용업, 화장ㆍ분장 미용업","0","0","0","0","0","0","3","","","","","0","0","0","N",
"51","미용업","05_18_01_P","4201000","4201000-212-2023-00007","2023-07-11","","01","영업/정상","01","영업","","","","","","49.56","","강원특별자치도 강릉시 교동 1828-10","강원특별자치도 강릉시 율곡초교길11번길 12 (교동)","25510","수진뷰티","2023-07-11 16:49:37","I","2023-07-13 00:19:21","피부미용업","365529.417426076","475530.781536188","피부미용업","3","1","1","0","0","0","0","","","","","0","0","2","N",
"52","미용업","05_18_01_P","4301000","4301000-211-2023-00002","2023-08-14","","01","영업/정상","01","영업","","","","","033 4556711","109.50","","강원특별자치도 철원군 서면 와수리 561-8","강원특별자치도 철원군 서면 약수로 2","24057","La belle hair(라벨르헤어)","2023-08-14 10:11:35","I","2023-08-17 00:18:30","일반미용업","237417.552575933","526934.877483064","일반미용업","1","0","1","1","0","0","0","","","","","1","0","0","N",
"53","미용업","05_18_01_P","4191000","4191000-213-2023-00026","2023-08-14","","01","영업/정상","01","영업","","","","","","38.44","","강원특별자치도 원주시 단구동 837-27","강원특별자치도 원주시 우러리길 25, 1층 (단구동)","26400","원에스테틱","2025-08-11 10:12:57","U","2025-08-13 02:40:00","피부미용업","","","종합미용업","4","0","1","1","0","0","0","","","","","0","0","2","N",
"54","미용업","05_18_01_P","4331000","4331000-211-2023-00002","2023-08-24","","01","영업/정상","01","영업","","","","","","27.88","","강원특별자치도 인제군 인제읍 상동리 362-10","강원특별자치도 인제군 인제읍 인제로205번길 3","24631","유림헤어","2023-09-14 19:22:51","U","2023-09-16 02:40:00","일반미용업","302834.201147955","508076.546380137","일반미용업","0","0","0","0","0","0","3","","","","임대","1","0","0","N",
"55","미용업","05_18_01_P","4181000","4181000-211-2023-00033","2023-07-18","","01","영업/정상","01","영업","","","","","","52.65","","강원특별자치도 춘천시 교동 160","강원특별자치도 춘천시 삭주로80번길 14-5, 1층 좌측상가호 (교동)","24258","밤부","2023-07-18 10:28:48","I","2023-07-20 00:18:54","일반미용업","265008.461093793","486876.348492826","일반미용업","2","0","1","1","0","0","2","","","","임대","0","0","0","N",
"56","미용업","05_18_01_P","4191000","4191000-213-2023-00024","2023-07-27","","01","영업/정상","01","영업","","","","","033743 9412","21.96","","강원특별자치도 원주시 우산동 228-9","강원특별자치도 원주시 우산초교길 42-2, 1층 (우산동)","26342","큐라온헤어","2023-08-22 10:01:07","U","2023-08-24 02:40:00","일반미용업","282951.384095812","429955.279026235","종합미용업","0","0","0","0","0","0","0","","","","","0","0","0","N",
"57","미용업","05_18_01_P","4201000","4201000-211-2023-00004","2023-07-25","","01","영업/정상","01","영업","","","","","","51.18","","강원특별자치도 강릉시 성남동 100-9","강원특별자치도 강릉시 곶감전길 11, 1층 (성남동)","25543","퀸즈유헤어","2023-07-25 13:30:51","I","2023-07-27 00:18:54","일반미용업","367143.819867854","473888.711452822","일반미용업","4","1","1","0","0","0","4","","","","","0","0","0","N",
"58","미용업","05_18_01_P","4231000","4231000-211-2023-00009","2023-07-25","","01","영업/정상","01","영업","","","","","","43.60","","강원특별자치도 속초시 교동 654-134","강원특별자치도 속초시 교동로 20, 1층 (교동)","24829","지우헤어","2023-07-25 11:01:29","I","2023-07-27 00:18:54","일반미용업","338316.758009444","523191.771006254","일반미용업","0","0","0","0","0","0","2","","","","","0","0","0","N",
"59","미용업","05_18_01_P","4201000","4201000-216-2017-00004","2017-05-08","","01","영업/정상","01","영업","","","","","","35.97","","강원특별자치도 강릉시 임당동 19-27","강원특별자치도 강릉시 토성로 176, 1층 (임당동)","25532","Chae-i hair","2023-07-24 13:21:13","I","2023-07-26 00:18:54","일반미용업","366964.471303256","474356.664947657","일반미용업, 피부미용업","0","0","0","0","0","0","2","","","","","0","0","0","N",
"60","미용업","05_18_01_P","4201000","4201000-221-2023-00002","2023-07-24","","01","영업/정상","01","영업","","","","","","38.79","","강원특별자치도 강릉시 내곡동 443-4","강원특별자치도 강릉시 범일로 684, 1층 (내곡동)","25585","예뿌오","2023-07-24 10:29:35","I","2023-07-26 00:18:54","메이크업업","366221.703546823","473174.123029902","피부미용업, 화장ㆍ분장 미용업","2","0","1","0","0","0","0","","","","","0","0","2","N",
"61","미용업","05_18_01_P","4181000","4181000-211-2023-00041","2023-09-06","","01","영업/정상","01","영업","","","","","","41.99","","강원특별자치도 춘천시 후평동 740-9","강원특별자치도 춘천시 삭주로205번길 2, 1층 가운데상가호 (후평동)","24296","소라헤어샵","2023-09-06 09:25:29","I","2023-09-08 00:18:18","일반미용업","266177.870401248","487437.525289109","일반미용업","2","0","1","1","0","0","3","","","","임대","1","0","0","N",
