"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"26","숙박업","03_11_03_P","4181000","4181000-201-1982-00020","1982-09-16","","01","영업/정상","01","영업","","","","","033 2415590","731.25","","강원특별자치도 춘천시 효자동 657-1","강원특별자치도 춘천시 춘천로186번길 9 (효자동)","24329","넘버25호텔춘천시청점","2025-09-11 09:51:15","U","2025-09-13 02:40:00","여관업","264588.718690744","486160.682484639","여관업","0","0","0","0","0","0","0","20","","","","","0","0","N",
"27","숙박업","03_11_03_P","4181000","4181000-201-1996-00015","1996-03-28","","01","영업/정상","01","영업","","","","","033 2576161","1281.40","","강원특별자치도 춘천시 후평동 703-13 703-14","강원특별자치도 춘천시 보안길 91 (후평동)","24297","지퍼모텔","2024-01-11 13:00:26","U","2024-01-13 02:40:00","여관업","265817.066495037","486880.952166343","여관업","6","0","0","0","0","0","18","30","","","","","0","0","N",
"28","숙박업","03_11_03_P","4181000","4181000-201-2004-00012","2004-07-22","","01","영업/정상","01","영업","","","","","033 2412599","721.90","","강원특별자치도 춘천시 동면 지내리 349-1","강원특별자치도 춘천시 동면 가산로 157-7","24211","제이드모텔","2020-07-03 16:14:22","I","2023-06-13 00:00:00","여관업","268621.016400367","490895.376255425","여관업","4","0","2","4","0","0","2","20","","","","","0","0","N",
"29","숙박업","03_11_03_P","4181000","4181000-201-2007-00006","2007-10-24","","01","영업/정상","01","영업","","","","","033 242 3006","771.91","","강원특별자치도 춘천시 우두동 558-5","강원특별자치도 춘천시 충열로 260 (우두동)","24220","화이트모텔","2024-12-09 15:26:55","U","2024-12-11 02:40:00","여관업","264969.532985262","490647.714355209","여관업","5","0","1","5","0","0","15","11","","","","자가","0","0","N",
"30","숙박업","03_11_03_P","4181000","4181000-201-1998-00016","1998-07-07","","01","영업/정상","01","영업","","","","","033 2422154","1055.26","","강원특별자치도 춘천시 퇴계동 1188-2","강원특별자치도 춘천시 우묵길 51 (퇴계동)","24368","이프모텔","2024-09-10 10:28:43","U","2024-09-12 02:40:00","여관업","263459.6944196","485045.402210865","여관업","0","0","0","0","0","0","6","28","","","","","0","0","N",
"31","숙박업","03_11_03_P","4181000","4181000-201-2004-00001","2004-01-02","","01","영업/정상","01","영업","","","","","033 2562450","994.25","","강원특별자치도 춘천시 퇴계동 1187-2","강원특별자치도 춘천시 우묵길 59 (퇴계동)","24368","하몽모텔","2018-12-03 14:58:35","I","2023-06-13 00:00:00","여관업","263492.908947114","485102.1382502","여관업","6","0","2","6","0","0","0","33","","","","자가","0","0","N",
"32","숙박업","03_11_03_P","4181000","4181000-201-1996-00014","1996-01-25","","01","영업/정상","01","영업","","","","","033 2529455","703.20","","강원특별자치도 춘천시 삼천동 145","강원특별자치도 춘천시 구마니길 36 (삼천동)","24239","뜨라네모텔","2021-01-29 10:14:14","I","2023-06-13 00:00:00","여관업","261532.075791859","485356.454273003","여관업","0","0","0","0","0","0","25","0","","","","자가","0","0","N",
"33","숙박업","03_11_03_P","4181000","4181000-201-2010-00004","2010-11-11","","01","영업/정상","01","영업","","","","","033 261 1291","508.00","","강원특별자치도 춘천시 남산면 방곡리 392","강원특별자치도 춘천시 남산면 강촌로 186-3","24465","숲속의강촌","2021-08-03 19:23:22","I","2023-06-13 00:00:00","여관업","255962.684618722","478021.709189309","여관업","3","1","1","3","1","0","2","9","","","","","0","0","N",
"34","숙박업","03_11_03_P","4181000","4181000-201-2010-00005","2010-11-11","","01","영업/정상","01","영업","","","","","033 256 7071","328.90","","강원특별자치도 춘천시 요선동 15-24","강원특별자치도 춘천시 서부대성로48번길 15 (요선동)","24272","Mu모텔","2024-02-23 17:11:12","U","2024-02-25 02:40:00","여관업","263960.813505006","486824.28445188","여관업","2","1","0","0","0","0","0","6","","","","","0","0","N",
"35","숙박업","03_11_03_P","4181000","4181000-201-1995-00015","1995-10-17","","01","영업/정상","01","영업","","","","","033 2628852","564.46","","강원특별자치도 춘천시 남산면 방곡리 391","강원특별자치도 춘천시 남산면 강촌로 182","24465","별빛스테이","2024-09-03 15:09:08","U","2024-09-05 02:40:00","여관업","256055.804959807","478072.781137599","여관업","4","0","0","0","0","0","0","24","","","","자가","0","0","N",
"36","숙박업","03_11_03_P","4181000","4181000-201-2011-00001","2011-04-14","","01","영업/정상","01","영업","","","","","","2422.00","","강원특별자치도 춘천시 근화동 727","강원특별자치도 춘천시 공지로 480 (근화동)","24275","저스트슬립호텔춘천역점","2025-08-28 10:45:17","U","2025-08-30 02:40:00","여관업","262860.33018889","486122.292717079","여관업","4","1","4","1","0","0","7","47","","","","자가","0","0","N",
"37","숙박업","03_11_03_P","4181000","4181000-201-2004-00023","2004-12-20","","01","영업/정상","01","영업","","","","","033 2420116","1254.00","","강원특별자치도 춘천시 요선동 5-10 외 2필지","강원특별자치도 춘천시 서부대성로43번길 4 (요선동)","24270","호텔오띠모","2023-06-30 15:22:05","U","2023-07-02 02:40:00","여관업","263975.799658999","487012.808131664","여관업","7","1","2","7","0","0","0","40","","","","자가","0","0","N",
"38","숙박업","03_11_03_P","4181000","4181000-201-1997-00012","1997-08-21","","01","영업/정상","01","영업","","","","","033 2415954","491.71","","강원특별자치도 춘천시 동면 감정리 392 ,392-1","강원특별자치도 춘천시 동면 가락재로 93","24211","골든텔모텔","2025-10-20 16:03:17","U","2025-10-23 02:40:00","여관업","268730.624981978","489398.00569212","여관업","4","0","0","0","0","0","4","15","","","","","0","0","N",
"39","숙박업","03_11_03_P","4181000","4181000-201-1996-00016","1996-05-10","","01","영업/정상","01","영업","","","","","033 2575700","839.40","","강원특별자치도 춘천시 동면 장학리 90-3","강원특별자치도 춘천시 동면 춘천로 558","24213","레오모텔","2025-02-04 13:38:57","U","2025-02-06 02:40:00","여관업","267206.918863678","488558.28883251","여관업","4","1","2","4","0","0","4","29","","","","","0","0","N",
"40","숙박업","03_11_03_P","4181000","4181000-201-2014-00001","2014-05-01","","01","영업/정상","01","영업","","","","","033 818 4200","2691.00","","강원특별자치도 춘천시 삼천동 217","강원특별자치도 춘천시 스포츠타운길399번길 22 (삼천동)","24239","케이티엔지상상마당춘천스테이","2021-07-27 10:18:08","I","2023-06-13 00:00:00","일반호텔","261744.96164932","485806.719462738","일반호텔","4","1","2","4","0","0","4","54","","","","자가","0","0","N",
"41","숙박업","03_11_03_P","4181000","4181000-201-2000-00005","2000-01-31","","01","영업/정상","01","영업","","","","","033 2511161","993.20","","강원특별자치도 춘천시 효자동 685-5","강원특별자치도 춘천시 춘천로68번길 21 (효자동)","24365","호텔몽","2020-06-16 14:04:47","I","2023-06-13 00:00:00","여관업","263892.736246244","485476.874004165","여관업","0","0","0","0","0","0","1","31","","","","","0","0","N",
"42","숙박업","03_11_03_P","4181000","4181000-201-2016-00002","2016-10-27","","01","영업/정상","01","영업","","","","","033256 2421","352.59","","강원특별자치도 춘천시 근화동 719","강원특별자치도 춘천시 중앙로166번길 6 (근화동)","24276","대성장모텔","2020-06-18 16:59:19","I","2023-06-13 00:00:00","여관업","263007.838983948","486104.136526925","여관업","3","1","1","3","0","0","16","2","","","","임대","0","0","N",
"43","숙박업","03_11_03_P","4181000","4181000-201-2004-00002","2004-01-15","","01","영업/정상","01","영업","","","","","033 2548001","1496.35","","강원특별자치도 춘천시 중앙로1가 62-3","강원특별자치도 춘천시 옥천길 11 (중앙로1가)","24346","월드호텔","2022-07-11 11:25:50","I","2023-06-13 00:00:00","여관업","264063.96910332","486782.197293287","여관업","6","1","2","6","0","0","4","31","","","","임대","0","0","N",
"44","숙박업","03_11_03_P","4181000","4181000-214-2008-00001","2008-09-29","","01","영업/정상","01","영업","","","","","033 261 9786","469.86","","강원특별자치도 춘천시 남산면 방곡리 418-5","강원특별자치도 춘천시 남산면 강촌로 174-8","24465","아띠펜션","2023-11-20 09:56:33","U","2023-11-22 02:40:00","숙박업(생활)","255970.018660263","478132.223255333","숙박업(생활)","3","0","1","2","0","0","3","12","","","","자가","0","0","N",
"45","숙박업","03_11_03_P","4181000","4181000-201-1994-00011","1994-11-30","","01","영업/정상","01","영업","","","","","033 254 4241","486.40","","강원특별자치도 춘천시 효자동 656-13","강원특별자치도 춘천시 춘천로176번길 9 (효자동)","24329","썸 모텔","2025-08-08 13:30:01","U","2025-08-10 02:40:00","여관업","264516.315437382","486149.189603996","여관업","0","0","0","0","0","0","0","19","","","","","0","0","N",
"46","숙박업","03_11_03_P","4181000","4181000-201-1994-00022","1994-10-05","","01","영업/정상","01","영업","","","","","033 2544458","609.30","","강원특별자치도 춘천시 요선동 9-11 외 3필지","강원특별자치도 춘천시 서부대성로48번길 9-1 (요선동)","24271","이튼호텔","2021-10-14 16:32:16","I","2023-06-13 00:00:00","여관업","263979.234367238","486879.660806182","여관업","0","0","0","0","0","0","0","22","","","","","0","0","N",
"47","숙박업","03_11_03_P","4181000","4181000-201-1982-00015","1982-07-19","","01","영업/정상","01","영업","","","","","033 241 8599","473.55","","강원특별자치도 춘천시 요선동 8-5","강원특별자치도 춘천시 서부대성로44번길 3 (요선동)","24271","황토모텔","2020-06-15 16:49:59","I","2023-06-13 00:00:00","여관업","263961.562295287","486960.065257741","여관업","0","0","0","0","0","0","0","12","","","","","0","0","N",
"48","숙박업","03_11_03_P","4181000","4181000-201-2002-00013","2002-08-19","","01","영업/정상","01","영업","","","","","033 254 5727","544.00","","강원특별자치도 춘천시 퇴계동 1175-4","강원특별자치도 춘천시 남춘로5번길 9-3 (퇴계동)","24369","5IN(파이브인)","2024-11-14 10:20:50","U","2024-11-16 02:40:00","여관업","264048.415063139","484644.4574285","여관업","0","0","0","0","0","0","2","16","","","","","0","0","N",
"49","숙박업","03_11_03_P","4181000","4181000-201-1999-00011","1999-03-18","","01","영업/정상","01","영업","","","","","","368.60","","강원특별자치도 춘천시 퇴계동 343-11","강원특별자치도 춘천시 남춘로 33-1 (퇴계동)","24370","춘천 게스트하우스 청춘봄봄","2022-03-18 11:38:07","I","2023-06-13 00:00:00","여인숙업","264267.998811824","484885.831113554","여인숙업","0","0","0","0","0","0","0","13","","","","","0","0","N",
"50","숙박업","03_11_03_P","4181000","4181000-201-1998-00011","1998-01-09","","01","영업/정상","01","영업","","","","","033262 0123","634.30","","강원특별자치도 춘천시 남산면 방곡리 279-6","강원특별자치도 춘천시 남산면 강촌로 246","24465","삼일","2020-07-03 16:11:01","I","2023-06-13 00:00:00","여관업","256250.909741564","477453.933798333","여관업","0","0","0","0","0","0","3","26","","","","자가","0","0","N",
"51","숙박업","03_11_03_P","4181000","4181000-201-1988-00006","1988-02-15","","01","영업/정상","01","영업","","","","","033 2547392","494.25","","강원특별자치도 춘천시 삼천동 산 71-18","강원특별자치도 춘천시 스포츠타운길 342-1 (삼천동)","24239","계림산장","2021-02-25 17:07:05","I","2023-06-13 00:00:00","여관업","261194.52168074","485617.762613942","여관업","4","0","0","0","0","0","9","5","","","","자가","0","0","N",
"52","숙박업","03_11_03_P","4181000","4181000-201-2007-00004","2007-08-01","","01","영업/정상","01","영업","","","","","033 241 7728","992.20","","강원특별자치도 춘천시 요선동 10-9 외 1필지","강원특별자치도 춘천시 서부대성로44번길 11 (요선동)","24271","OST호텔","2025-10-30 11:05:32","U","2025-11-01 02:40:00","여관업","263939.668856863","486886.261036755","여관업","5","1","2","5","0","0","2","28","","","","임대","0","0","N",
"53","숙박업","03_11_03_P","4181000","4181000-201-2003-00014","2003-08-20","","01","영업/정상","01","영업","","","","","033 2442389","1032.17","","강원특별자치도 춘천시 퇴계동 1135-2","강원특별자치도 춘천시 우묵길 81 (퇴계동)","24367","어베인호텔","2020-09-15 15:22:46","I","2023-06-13 00:00:00","여관업","263609.611525457","485301.201214698","여관업","6","0","1","6","0","0","3","32","","","","자가","0","0","N",
"54","숙박업","03_11_03_P","4181000","4181000-201-1988-00016","1988-12-30","","01","영업/정상","01","영업","","","","","033 2543131","610.10","","강원특별자치도 춘천시 효자동 659","강원특별자치도 춘천시 춘천로170번길 14 (효자동)","24329","코리아모텔","2023-07-07 10:11:04","U","2023-07-09 02:40:00","여관업","264497.93636779","486116.392489323","여관업","0","0","0","0","0","0","0","20","","","","","0","0","N",
"55","숙박업","03_11_03_P","4181000","4181000-201-1993-00007","1993-10-07","","01","영업/정상","01","영업","","","","","033 256 4202","743.40","","강원특별자치도 춘천시 후평동 728-11","강원특별자치도 춘천시 보안길 109 (후평동)","24297","GM모텔","2018-12-11 16:03:14","I","2023-06-13 00:00:00","여관업","265874.452066888","487073.702286369","여관업","0","0","0","0","0","0","10","13","","","","","0","0","N",
"56","숙박업","03_11_03_P","4181000","4181000-201-2015-00001","2015-01-09","","01","영업/정상","01","영업","","","","","033 241 5689","1440.30","","강원특별자치도 춘천시 효자동 659-1","강원특별자치도 춘천시 춘천로176번길 13 (효자동)","24329","호텔명작","2025-10-29 09:21:08","U","2025-10-31 02:40:00","일반호텔","264488.929639982","486115.924470875","일반호텔","7","1","2","7","0","0","0","36","","","","자가","0","0","N",
"57","숙박업","03_11_03_P","4181000","4181000-201-1997-00019","1997-01-31","","01","영업/정상","01","영업","","","","","033 2422242","1183.60","","강원특별자치도 춘천시 신북읍 천전리 212-46","강원특별자치도 춘천시 신북읍 신샘밭로 749","24204","모텔가향","2020-06-15 15:58:37","I","2023-06-13 00:00:00","여관업","269552.055852747","492489.01499938","여관업","5","0","0","0","0","0","7","23","","","","","0","0","N",
"58","숙박업","03_11_03_P","4181000","4181000-201-2000-00009","2000-11-03","","01","영업/정상","01","영업","","","","","033 2434720","999.63","","강원특별자치도 춘천시 퇴계동 1188-4","강원특별자치도 춘천시 우묵길 47 (퇴계동)","24368","카리브모텔","2020-06-05 10:50:10","I","2023-06-13 00:00:00","여관업","263438.518705209","485008.938085741","여관업","6","0","1","5","0","0","0","33","","","","임대","0","0","N",
"59","숙박업","03_11_03_P","4181000","4181000-201-1997-00020","1997-01-31","","01","영업/정상","01","영업","","","","","033 2521122","1056.90","","강원특별자치도 춘천시 삼천동 147","강원특별자치도 춘천시 구마니길 35 (삼천동)","24239","낭만스테이","2025-06-30 16:25:12","U","2025-07-02 02:40:00","여관업","261577.020338051","485373.912688114","여관업","0","0","0","0","0","0","13","25","","","","자가","0","0","N",
"60","숙박업","03_11_03_P","4181000","4181000-201-1989-00002","1989-06-12","","01","영업/정상","01","영업","","","","","033255 6414","484.80","","강원특별자치도 춘천시 근화동 283-10","강원특별자치도 춘천시 공지로451번길 12-1 (근화동)","24360","메이모텔","2020-06-18 16:04:27","I","2023-06-13 00:00:00","여관업","263000.993346227","485853.619720939","여관업","3","0","0","0","0","0","3","14","","","","자가","0","0","N",
"61","숙박업","03_11_03_P","4181000","4181000-201-2018-00001","2018-01-11","","01","영업/정상","01","영업","","","","","033 254 5800","995.61","","강원특별자치도 춘천시 삼천동 180-5","강원특별자치도 춘천시 구마니길 18 (삼천동)","24239","호텔봄내A","2021-08-06 15:06:01","I","2023-06-13 00:00:00","여관업","261505.517008165","485552.08702558","여관업","2","1","1","2","1","1","0","16","","","","자가","0","0","N",
"62","숙박업","03_11_03_P","4181000","4181000-201-2008-00003","2008-09-11","","01","영업/정상","01","영업","","","","","033 254 5013","218.67","","강원특별자치도 춘천시 근화동 264-12","강원특별자치도 춘천시 중앙로 176 (근화동)","24276","월드여관","2021-04-28 17:34:44","I","2023-06-13 00:00:00","여인숙업","262906.898136704","486034.230859133","여인숙업","2","0","0","0","0","0","9","1","","","","임대","0","0","N",
"63","숙박업","03_11_03_P","4181000","4181000-201-2004-00024","2004-12-24","","01","영업/정상","01","영업","","","","","033 2570700","1084.50","","강원특별자치도 춘천시 효자동 685-22 외 1필지","강원특별자치도 춘천시 공지로347번길 6 (효자동)","24365","아이호텔","2023-09-12 16:35:08","U","2023-09-14 02:40:00","여관업","263932.774927774","485472.180128927","여관업","0","0","0","0","0","0","3","28","","","","","0","0","N",
