"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","사무소전화번호","사업장전화번호",
"11","계량기수리업","09_28_01_P","4191000","2019419024106500004","2019-10-17","","01","영업/정상","01","영업중","","","","","","","","","강원특별자치도 원주시 오리현길 267 (행구동)","26456","청백이엔지","2019-10-17 13:01:04","I","2023-06-13 00:00:00","","288120.080804864","426444.458612451","","",
"12","계량기수리업","09_28_01_P","4191000","2019419024106500003","2019-09-20","","01","영업/정상","01","영업중","","","","","0337345161","","","","강원특별자치도 원주시 소초면 현촌길 43","26305","(주) 한불케미칼","2020-05-04 10:53:43","I","2023-06-13 00:00:00","","288278.542351879","435941.712424328","","0337345161",
"13","계량기수리업","09_28_01_P","4191000","2015419024106500002","2015-07-14","","01","영업/정상","01","영업중","","","","","033 731 3115","","","","강원특별자치도 원주시 호저면 마근거리길 91-7","220-923","우리시스템","2016-05-02 13:29:45","I","2023-06-13 00:00:00","","","","","033 731 3115",
"14","계량기수리업","09_28_01_P","4191000","2015419024106500001","1998-08-19","","01","영업/정상","01","영업중","","","","","033 761 4620","","","","강원특별자치도 원주시 판부면 치악로 1163-6","220-913","이호건설","2016-05-02 13:30:41","I","2023-06-13 00:00:00","","287643.337366741","421949.416608938","","033 761 4620",
"15","계량기수리업","09_28_01_P","4191000","2025419100606500003","2025-09-30","","01","영업/정상","01","영업중","","","","","","","","강원특별자치도 원주시 지정면 신평리 915-10 1동 1호","강원특별자치도 원주시 지정면 신평석화로 129, 1동 1호","26348","아진전자저울","2025-10-01 15:02:06","I","2025-10-03 00:20:34","","278004.982752886","432593.731224835","","010 63824275",
"16","계량기수리업","09_28_01_P","4191000","2007419015306500001","1998-08-19","","03","폐업","03","폐업","","","","","033 761 4620","","220-913","강원특별자치도 원주시 판부면 금대리 1113번지 11호","강원특별자치도 원주시 판부면 치악로 1163-6","220-913","이호계량공사","2016-05-02 13:36:06","I","2023-06-13 00:00:00","","287643.337366741","421949.416608938","","033 761 4620",
"17","계량기수리업","09_28_01_P","4191000","1991419019006500001","1991-01-07","","03","폐업","03","폐업","2011-02-16","","","","0337310101","","220-180","강원특별자치도 원주시 관설동 7355번지","","","강원계기공사","2011-02-23 15:52:32","I","2023-06-13 00:00:00","","","","","0337310101",
"18","계량기수리업","09_28_01_P","4191000","2016419024106500007","2016-11-11","","03","폐업","03","폐업","2019-10-10","","","","0708624 6893","","","강원특별자치도 원주시 행구동","강원특별자치도 원주시 오리현길 267 (행구동)","26456","청백계량공사","2019-10-15 12:43:31","I","2023-06-13 00:00:00","","288120.080804864","426444.458612451","","0708624 6893",
"19","계량기수리업","09_28_01_P","4191000","2014419024106500002","2014-09-23","","03","폐업","03","폐업","2019-10-10","","","","07086246893","","","강원특별자치도 원주시 행구동 977번지 2호","강원특별자치도 원주시 오리현길 267 (행구동)","26456","청백계량공사","2019-10-15 10:45:45","I","2023-06-13 00:00:00","","288120.080804864","426444.458612451","","07086246893",
"20","계량기수리업","09_28_01_P","4191000","2010419019006500003","2010-12-08","","03","폐업","03","폐업","2025-09-12","","","","033 735 0273","","220-832","강원특별자치도 원주시 소초면 둔둔리 1097번지 2호","강원특별자치도 원주시 소초면 횡성로 13","220-832","이젠메탈","2025-09-16 15:05:10","I","2025-09-18 00:20:02","","286410.409005155","439931.063561305","","033 735 0273",
"21","계량기수리업","09_28_01_P","4201000","2014420020706500001","2014-04-04","","01","영업/정상","01","영업중","","","","","","","210-952","강원특별자치도 강릉시 포남동 1061번지 7호","강원특별자치도 강릉시  보래미길  75 (포남동)","210-952","태성계량","2014-04-04 17:30:41","I","2023-06-13 00:00:00","","368422.532831597","476512.788753379","","011 -368-0308",
"22","계량기수리업","09_28_01_P","4201000","2012420011506500001","2012-03-27","","01","영업/정상","01","영업중","","","","","033 644 8943","","210-270","강원특별자치도 강릉시 두산동 28번지 20호","강원특별자치도 강릉시 강변로670번길 14 (두산동)","210-270","영동산업계기","2015-07-15 14:41:30","I","2023-06-13 00:00:00","","370232.97526682","475729.751762322","","033 644 8943",
"23","계량기수리업","09_28_01_P","4201000","1998420011506500001","1998-03-10","","01","영업/정상","01","영업중","","","","","003306453061","","210-933","강원특별자치도 강릉시 옥천동 144번지 7호","강원특별자치도 강릉시 옥가로7번길 19 (옥천동)","","현신계량공사","2008-09-26 12:40:50","I","2023-06-13 00:00:00","","367122.34672998","474577.524969021","","003306453061",
"24","계량기수리업","09_28_01_P","4201000","1996420011506500001","1996-03-29","","01","영업/정상","01","영업중","","","","","0336446661","","210-821","강원특별자치도 강릉시 강동면 모전리 433번지","강원특별자치도 강릉시 강동면 임곡로 234","210-824","(주)오름","2018-11-09 11:03:58","I","2023-06-13 00:00:00","","372780.629366916","470367.67799485","","0336446661",
"25","계량기수리업","09_28_01_P","4211000","2002421014006500001","2002-06-25","","01","영업/정상","01","영업중","","","","","033 521 7827","","","강원특별자치도 동해시 효가동 246번지 16호 동해계량공사","강원특별자치도 동해시 효가로 8-1, 동해계량공사 (효가동)","25801","동해계량공사","2018-04-19 17:47:20","I","2023-06-13 00:00:00","","386490.01844566","445824.014314025","","033 521 7827",
"26","계량기수리업","09_28_01_P","4211000","1998421014006500001","1998-12-07","","01","영업/정상","01","영업중","","","","","033 5211408","","240-290","강원특별자치도 동해시 이도동 158번지 1호","강원특별자치도 동해시 동해대로 4852 (이도동)","240-290","신성상사","2021-06-28 15:53:39","I","2023-06-13 00:00:00","","386867.932607834","443965.778610881","","033 5211408",
"27","계량기수리업","09_28_01_P","4291000","2012429007206500001","2012-01-31","","03","폐업","03","폐업","2018-04-02","","","","033 562 4841","","233-802","강원특별자치도 정선군 정선읍 광하리 554번지 2호","강원특별자치도 정선군 정선읍 정선로 417-2","","그린자원","2018-04-09 14:41:54","I","2023-06-13 00:00:00","","341907.773542012","430176.629695709","","033 562 4841",
