"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자산규모","부채총액","자본금","판매방식명",
"25","방문판매업","08_26_02_P","4181000","2019418031923200003","2019-02-25","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 춘천시 소양로*가 ***번지 *호 KT춘천지사","강원특별자치도 춘천시 금강로 **, KT춘천지사 *층 (소양로*가)","24272","비즈(Biz)나라","2019-02-26 08:59:49","I","2023-06-13 00:00:00","","263605.961099524","486906.492426088","0","0","0","",
"26","방문판매업","08_26_02_P","4181000","1998418015523200005","1998-11-20","","01","영업/정상","01","정상영업","","","","","033 263 2811","","","강원특별자치도 춘천시 석사동 ***번지 *호","강원특별자치도 춘천시 우석로*번길 ** (석사동)","24327","현대춘천강남판매대리점","2019-03-23 15:11:56","I","2023-06-13 00:00:00","","265503.552348735","484517.733762174","0","0","0","",
"27","방문판매업","08_26_02_P","4181000","1999418015523200006","1999-07-28","","01","영업/정상","01","정상영업","","","","","033-241-9912","","","강원특별자치도 춘천시 동면 만천리 ***번지 *호","강원특별자치도 춘천시 동면 서부대성로 ***","24315","현대호반판매대리점","2018-11-27 19:42:06","I","2023-06-13 00:00:00","","267273.985260311","485895.449695835","0","0","0","",
"28","방문판매업","08_26_02_P","4181000","2000418015523200011","2000-11-07","","01","영업/정상","01","정상영업","","","","","033 263 8245","","200-170","강원특별자치도 춘천시 퇴계동 ***번지 *호","강원특별자치도 춘천시 김유정로 **** (퇴계동)","","기아자동차 연합대리점","2018-12-04 20:34:01","I","2023-06-13 00:00:00","","264817.590025097","483852.74084021","0","0","0","",
"29","방문판매업","08_26_02_P","4181000","2019418031923200004","2019-03-21","","01","영업/정상","01","정상영업","","","","","033-242-7730","","","강원특별자치도 춘천시 동면 지내리 ***번지 *호","강원특별자치도 춘천시 동면 가산로 **","24211","춘천강동농업협동조합","2019-03-22 09:03:42","I","2023-06-13 00:00:00","","268699.177947553","490021.097240959","178253054000","166598590000","11654452200","",
"30","방문판매업","08_26_02_P","4181000","2019418031923200007","2019-04-26","","01","영업/정상","01","정상영업","","","","","033-262-0966","","","강원특별자치도 춘천시 효자동 ***번지 **호","강원특별자치도 춘천시 공지로***번길 **, ***호 (효자동)","24343","주식회사 라엘에너지","2019-04-29 09:07:14","I","2023-06-13 00:00:00","","264868.994959402","485016.434447666","203810496","54000000","153000000","",
"31","방문판매업","08_26_02_P","4181000","2022418034923200007","2022-07-28","","01","영업/정상","01","정상영업","","","","","033-269-7777","","","강원특별자치도 춘천시 퇴계동 ****-*","강원특별자치도 춘천시 춘천로 *, *층 (퇴계동)","24368","빌러벡","2024-05-21 17:17:13","U","2024-05-23 02:40:00","","263422.196873755","485030.83421667","0","0","0","",
"32","방문판매업","08_26_02_P","4181000","2022418034923200008","2022-08-29","","01","영업/정상","01","정상영업","","","","","033-251-9209","","","강원특별자치도 춘천시 퇴계동 ****-*","강원특별자치도 춘천시 춘천로 **-*, *층 (퇴계동)","24367","리엔케이 춘천온의","2022-08-29 18:04:36","I","2023-06-13 00:00:00","","263547.394560428","485244.988547348","0","0","0","",
"33","방문판매업","08_26_02_P","4181000","2022418034923200009","2022-08-30","","01","영업/정상","01","정상영업","","","","","033-244-9788","","","강원특별자치도 춘천시 온의동 *** 춘천 센트럴타워 푸르지오","강원특별자치도 춘천시 방송길 **, *층 ****호 (온의동, 춘천 센트럴타워 푸르지오)","24363","코웨이프랜드대리점","2022-08-30 17:47:30","I","2023-06-13 00:00:00","","263345.431242431","485397.525389929","0","0","0","",
"34","방문판매업","08_26_02_P","4181000","2007418016623235622","2007-05-25","","01","영업/정상","01","정상영업","","","","","264-4545","","200-180","강원특별자치도 춘천시 석사동 ***번지 *호 남춘천전화국 *층","강원특별자치도 춘천시 공지로 **-** (석사동,남춘천전화국 *층)","","두진통신산업주식회사","2008-07-15 15:46:32","I","2023-06-13 00:00:00","","266027.910955951","483485.142338829","0","0","0","",
"35","방문판매업","08_26_02_P","4181000","2007418016623236504","2007-05-29","","01","영업/정상","01","정상영업","","","","","263-0404","","200-180","강원특별자치도 춘천시 석사동 ***번지 **호","강원특별자치도 춘천시 우석로 ** (석사동)","","춘천종합통신","2008-07-15 15:48:47","I","2023-06-13 00:00:00","","265728.294901271","484671.49061214","0","0","0","",
"36","방문판매업","08_26_02_P","4181000","2007418016623243981","2007-06-27","","01","영업/정상","01","정상영업","","","","","033-241-2214","","","강원특별자치도 춘천시 후평동 ***번지 **호","강원특별자치도 춘천시 소양강로 **, *동 ***호 (후평동)","24232","삼성생약주식회사 농업회사법인","2018-11-01 11:36:28","I","2023-06-13 00:00:00","","265331.3469315","487999.802568208","439705120","222838416","300000000","",
"37","방문판매업","08_26_02_P","4181000","2012418022923200021","2011-12-21","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 춘천시 석사동 **","강원특별자치도 춘천시 세실로 ***-**, *층 (석사동)","24315","유니베라 춘천","2021-10-12 15:14:21","I","2023-06-13 00:00:00","","266752.417280968","485104.103457286","0","0","0","",
"38","방문판매업","08_26_02_P","4181000","2022418034923200010","2016-10-05","","01","영업/정상","01","정상영업","","","","","033-253-9040","","","강원특별자치도 춘천시 온의동 ***-* 강남병원","강원특별자치도 춘천시 경춘로 ****, *층 (온의동)","24436","해피아울렛","2022-09-20 09:16:13","I","2023-06-13 00:00:00","","263363.74960516","484877.145433762","0","0","0","",
"39","방문판매업","08_26_02_P","4181000","2022418039223200001","2022-07-06","","01","영업/정상","01","정상영업","","","","","02-566-9967","","","강원특별자치도 춘천시 소양로*가 ***-**","강원특별자치도 춘천시 소양로***번길 **, *층 (소양로*가)","24241","뉴바이오 주식회사","2022-11-21 14:52:06","I","2023-06-13 00:00:00","","263621.660613995","487619.127715211","10000000","0","10000000","",
"40","방문판매업","08_26_02_P","4181000","2022418039223200002","2022-12-26","","01","영업/정상","01","정상영업","","","","","033-243-6644","","","강원특별자치도 춘천시 퇴계동 ****","강원특별자치도 춘천시 퇴계공단*길 ** (퇴계동)","24427","주식회사 지아이티","2023-08-21 08:54:04","U","2023-08-23 02:40:00","","264850.77591401","482514.073803259","3701525500","1823268860","160520000","",
"41","방문판매업","08_26_02_P","4181000","2022418039223200003","2022-12-26","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 후석로 ***(후평동)","24234","기아 만천 대리점","2022-12-26 17:00:46","I","2023-06-13 00:00:00","","265711.886666842","487089.001656734","0","0","0","",
"42","방문판매업","08_26_02_P","4181000","2023418039223200004","2023-03-08","","01","영업/정상","01","정상영업","","","","","033-261-7387","","","강원특별자치도 춘천시 퇴계동 *** 퇴계금호타운아파트","강원특별자치도 춘천시 안마산로 ***, 상가동 *층 **호 (퇴계동, 퇴계금호타운아파트)","24424","프라자국제웨드","2023-03-13 16:50:04","I","2023-06-13 00:00:00","","264821.013871032","483196.394695827","0","0","0","",
"43","방문판매업","08_26_02_P","4181000","2023418039223200006","2023-03-31","","01","영업/정상","01","정상영업","","","","","033-255-6667","","","강원특별자치도 춘천시 후평동 ***","강원특별자치도 춘천시 춘천로 *** (후평동)","24291","뉴랜드올레이처남부본부","2023-03-31 12:02:49","I","2023-06-13 00:00:00","","265347.161424125","486616.688921028","0","0","0","",
"44","방문판매업","08_26_02_P","4181000","2023418039223200007","2023-04-07","","01","영업/정상","01","정상영업","","","","","033-262-8828","","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 퇴계로 *** (석사동)","24386","뉴랜드알로에 춘천중부지사","2023-04-07 15:09:41","I","2023-06-13 00:00:00","","265015.004575747","484149.723458304","0","0","0","",
"45","방문판매업","08_26_02_P","4181000","2023418039223200008","2023-04-07","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 춘천시 온의동 ***-*","강원특별자치도 춘천시 충혼길**번길 *-* (온의동)","24436","뉴랜드올레이처 춘천서부본부","2023-04-07 15:21:04","I","2023-06-13 00:00:00","","263421.348275492","484735.724652317","0","0","0","",
"46","방문판매업","08_26_02_P","4181000","2023418039223200009","2023-04-04","","01","영업/정상","01","정상영업","","","","","033-264-2900","","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 퇴계로 *** (석사동)","24386","뉴랜드알로에 호반본부","2023-04-07 17:50:10","I","2023-06-13 00:00:00","","265015.004575747","484149.723458304","0","0","0","",
"47","방문판매업","08_26_02_P","4181000","2023418039223200010","2023-04-05","","01","영업/정상","01","정상영업","","","","","033-251-5545","","","강원특별자치도 춘천시 동내면 거두리 ***-**","강원특별자치도 춘천시 동내면 금촌로 ***-*","24399","뉴랜드알로에춘천후평지사","2023-04-07 17:50:26","I","2023-06-13 00:00:00","","269502.289825682","484966.016270089","0","0","0","",
"48","방문판매업","08_26_02_P","4181000","2023418039223200011","2023-05-03","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 삭주로 ***, *층 ***호 (후평동)","24297","힐스템","2023-05-03 09:40:18","I","2023-06-13 00:00:00","","266168.37","487398.03","0","0","0","",
"49","방문판매업","08_26_02_P","4181000","2014418027723200015","2014-12-15","","01","영업/정상","01","정상영업","","","","","033-244-0141","","","","강원특별자치도 춘천시 경춘로 **** (온의동)","200-937","새론정보통신","2014-12-15 11:35:32","I","2023-06-13 00:00:00","","262861.445285683","484068.199879268","0","0","0","",
"50","방문판매업","08_26_02_P","4181000","2015418027723200005","2015-03-06","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 춘주로 ***, *층 (퇴계동)","24442","이든네이처춘천퇴계지사","2025-07-14 14:15:05","U","2025-07-16 02:40:00","","263673.243897799","484299.437462422","0","0","0","",
"51","방문판매업","08_26_02_P","4181000","2012418022923200009","2012-06-20","","01","영업/정상","01","정상영업","","","","","252-7816","","","","강원특별자치도 춘천시 약사길**번길 **-* (약사동)","200-120","도시크","2012-06-20 14:14:08","I","2023-06-13 00:00:00","","263596.357587881","485952.820678775","0","0","0","",
"52","방문판매업","08_26_02_P","4181000","2014418022923200017","2014-05-12","","01","영업/정상","01","정상영업","","","","","","","200-709","강원특별자치도 춘천시 소양로*가 ***번지 *호 KT춘천빌딩*층","강원특별자치도 춘천시 금강로 **, *층 (소양로*가, KT춘천빌딩*층)","200-709","오렌지넥트웍스","2015-02-26 10:00:01","I","2023-06-13 00:00:00","","263605.961099524","486906.492426088","0","0","0","",
"53","방문판매업","08_26_02_P","4181000","2014418027723200006","2014-10-15","","01","영업/정상","01","정상영업","","","","","033-252-2233","","","","강원특별자치도 춘천시 우석로**번길 *, *층 (석사동)","24326","유니원정보통신 (KIS)","2016-12-03 12:14:39","I","2023-06-13 00:00:00","","265844.698540704","484770.592821311","0","0","0","",
"54","방문판매업","08_26_02_P","4181000","2015418027723200013","2015-06-19","","01","영업/정상","01","정상영업","","","","","033-252-8223","","","","강원특별자치도 춘천시 금강로 **, *층 (소양로*가, KT춘천빌딩)","200-709","알파커뮤니케이션","2015-07-07 10:14:38","I","2023-06-13 00:00:00","","263605.961099524","486906.492426088","0","0","0","",
"55","방문판매업","08_26_02_P","4181000","2018418027723200003","2018-02-07","","01","영업/정상","01","정상영업","","","","","033-264-5000","","","강원특별자치도 춘천시 동내면 거두리 ***번지","강원특별자치도 춘천시 동내면 춘천순환로 ***","24400","쌍용자동차춘천호반대리점","2019-12-12 15:47:36","I","2023-06-13 00:00:00","","267030.033976591","484305.040649889","0","0","0","",
"56","방문판매업","08_26_02_P","4181000","2018418027723200005","2018-02-26","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 춘천시 효자동 ***번지 *호","강원특별자치도 춘천시 춘천로**번길 ** (효자동)","24365","건국우유춘천대리점","2018-02-26 16:45:15","I","2023-06-13 00:00:00","","263918.172932798","485461.917442299","0","0","0","",
"57","방문판매업","08_26_02_P","4181000","2017418027723200011","2017-06-28","","01","영업/정상","01","정상영업","","","","","033-263-5668","","","강원특별자치도 춘천시 석사동 ***번지 **호","강원특별자치도 춘천시 효석로**번길 *-** (석사동)","24382","매일우유신춘천가정대리점","2017-12-29 09:32:04","I","2023-06-13 00:00:00","","264897.202232737","484542.824649046","0","0","0","",
"58","방문판매업","08_26_02_P","4181000","2017418027723200015","2017-08-02","","01","영업/정상","01","정상영업","","","","","033-253-8103","","","강원특별자치도 춘천시 신동면 정족리 ***-*","강원특별자치도 춘천시 신동면 정족길 ***-**","24412","연세대학우유북부대리점","2021-09-27 12:29:17","I","2023-06-13 00:00:00","","264555.803102294","482457.519073474","0","0","0","",
"59","방문판매업","08_26_02_P","4181000","2001418016623200005","2001-04-30","","01","영업/정상","01","정상영업","","","","","033-257-9800","","200-120","강원특별자치도 춘천시 약사동 ***번지 *호","강원특별자치도 춘천시 공지로 *** (약사동)","200-120","쉐보레자동차 남춘천대리점","2019-12-11 16:48:20","I","2023-06-13 00:00:00","","263610.635787849","485691.04299066","0","0","0","",
"60","방문판매업","08_26_02_P","4181000","2002418015523200010","2002-03-20","","01","영업/정상","01","정상영업","","","","","033 255 2566","","","강원특별자치도 춘천시 후평동 ***번지 **호","강원특별자치도 춘천시 후만로 ** (후평동)","24282","다판다 춘천지점","2015-11-19 18:04:17","I","2023-06-13 00:00:00","","266046.709198552","486187.480697985","0","0","0","",
"61","방문판매업","08_26_02_P","4181000","2018418027723200006","2018-02-26","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 춘천시 효자동 ***번지 *호","강원특별자치도 춘천시 춘천로**번길 ** (효자동)","24365","덴마크우유 춘천대리점","2018-02-26 16:46:42","I","2023-06-13 00:00:00","","263918.172932798","485461.917442299","0","0","0","",
"62","방문판매업","08_26_02_P","4181000","2018418027723200009","2018-04-18","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 춘천시 온의동 ***번지 *호","강원특별자치도 춘천시 춘주로**번길 *-* (온의동)","24437","엠에쓰 유통","2018-04-18 10:35:28","I","2023-06-13 00:00:00","","263272.040357459","484518.930161337","0","0","0","",
"63","방문판매업","08_26_02_P","4181000","2018418027723200010","2018-06-27","","01","영업/정상","01","정상영업","","","","","033-253-8000","","","강원특별자치도 춘천시 소양로*가 ***번지 *호 춘천농협,하나로마트","강원특별자치도 춘천시 소양로 ***, 춘천농협,하나로마트 (소양로*가)","24272","춘천농업협동조합","2018-08-17 13:50:29","I","2023-06-13 00:00:00","","263597.187815591","487019.948940286","647879980000","597438760000","50441249000","",
"64","방문판매업","08_26_02_P","4181000","2018418031923200001","2018-10-24","","01","영업/정상","01","정상영업","","","","","033-262-7327","","","강원특별자치도 춘천시 석사동 ***번지 *호","강원특별자치도 춘천시 석사길 **, *층 (석사동)","24388","연세우유 춘천동부대리점","2018-10-30 09:06:40","I","2023-06-13 00:00:00","","265494.586911023","484200.794381156","0","0","0","",
"65","방문판매업","08_26_02_P","4181000","2021418034923200015","2021-07-19","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 춘천시 퇴계동 **** 춘천 퇴계 세영리첼 아파트","강원특별자치도 춘천시 김유정로 ****, ***동 ***호 (퇴계동, 춘천 퇴계 세영리첼 아파트)","24422","오케이(OK)120","2021-07-20 17:01:51","I","2023-06-13 00:00:00","","264663.753257284","483609.024960168","0","0","0","",
"66","방문판매업","08_26_02_P","4181000","2021418034923200016","2021-07-21","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 춘천시 동내면 거두리 **** 호반베르디움에코","강원특별자치도 춘천시 동내면 거두택지길 **, ***동 ***호 (호반베르디움에코)","24399","티샾(T SHOP) 후평7호점","2021-07-21 18:06:35","I","2023-06-13 00:00:00","","266851.114656672","483869.883213591","0","0","0","",
"67","방문판매업","08_26_02_P","4181000","2010418016623200005","2010-02-16","","01","영업/정상","01","정상영업","","","","","241-0066","","","강원특별자치도 춘천시 후평동 ***번지 **호","강원특별자치도 춘천시 삭주로 ***, *층 (후평동)","24297","현성시스템","2018-11-27 20:09:58","I","2023-06-13 00:00:00","","266156.842150626","487388.799399717","0","0","0","",
"68","방문판매업","08_26_02_P","4181000","2010418016623200015","2010-05-31","","01","영업/정상","01","정상영업","","","","","244-2822","","200-930","강원특별자치도 춘천시 근화동 ***번지 *호","강원특별자치도 춘천시 중앙로***번길 ** (근화동)","","세명엠씨씨(주)","2014-12-02 16:41:49","I","2023-06-13 00:00:00","","262617.402340322","486302.49449807","184759968","155123392","29636578","",
"69","방문판매업","08_26_02_P","4181000","2017418027723200023","2017-11-17","","01","영업/정상","01","정상영업","","2020-06-24","2020-12-31","","033-243-8011","","","강원특별자치도 춘천시 서면 금산리 ***번지 *호 서춘천농협","강원특별자치도 춘천시 서면 박사로 ***","24461","서춘천농업협동조합","2020-06-25 09:17:08","I","2023-06-13 00:00:00","","260907.014275641","488470.489036545","90277110000","83708150000","6568963600","",
"70","방문판매업","08_26_02_P","4181000","2017418027723200025","2017-11-22","","01","영업/정상","01","정상영업","","","","","033-260-8706","","","강원특별자치도 춘천시 남산면 창촌리 **번지 *호 남산농협","강원특별자치도 춘천시 남산면 한치로 **","24465","남산농업협동조합","2019-04-10 15:12:49","I","2023-06-13 00:00:00","","256938.634088397","476605.382211712","108710814000","99949937000","8760877100","",
"71","방문판매업","08_26_02_P","4181000","2017418027723200026","2017-11-22","","01","영업/정상","01","정상영업","","","","","033-262-8900","","","강원특별자치도 춘천시 동내면 신촌리 ***번지 *호 동춘천농협","강원특별자치도 춘천시 동내면 동내로 **","24407","동춘천농업협동조합","2017-11-22 17:43:43","I","2023-06-13 00:00:00","","266925.661206712","483142.81349398","368994812000","342343090000","26651519000","",
"72","방문판매업","08_26_02_P","4181000","2017418027723200028","2017-11-23","","01","영업/정상","01","정상영업","","","","","033-243-9700","","","강원특별자치도 춘천시 신북읍 율문리 ***번지 *호 신북농협","강원특별자치도 춘천시 신북읍 율문길 **","24206","신북농업협동조합","2017-11-23 16:34:17","I","2023-06-13 00:00:00","","265486.324533957","491723.428032791","223909659000","209100030000","14809624600","",
"73","방문판매업","08_26_02_P","4181000","2017418027723200030","2013-05-27","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 춘천시 삼천동 **-** 춘천파크자이","강원특별자치도 춘천시 스포츠타운길 ***, ***동 ****호 (삼천동, 춘천파크자이)","24472","예스런피카소교육","2020-12-28 16:25:10","I","2023-06-13 00:00:00","","262236.027353812","485157.316438971","0","0","0","",
