"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","의자수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","침대수","다중이용업소여부",
"11","이용업","05_19_01_P","4181000","4181000-203-1992-00005","1992-06-25","","01","영업/정상","01","영업","","","","","033 2613429","18.39","","강원특별자치도 춘천시 석사동 650-11","강원특별자치도 춘천시 효석로89번길 24 (석사동)","24384","상훈이용소","2021-08-04 14:21:03","I","2023-06-13 00:00:00","일반이용업","265144.15353247","484449.906679668","일반이용업","0","0","1","0","0","0","3","","","","자가","0","0","0","N",
"12","이용업","05_19_01_P","4181000","4181000-203-1992-00008","1992-11-04","","01","영업/정상","01","영업","","","","","033 2623043","57.66","","강원특별자치도 춘천시 석사동 705 19통2반","강원특별자치도 춘천시 벌말길 111 (석사동)","24383","미미이용소","2025-08-11 14:49:24","U","2025-08-13 02:40:00","일반이용업","265006.527733538","484654.279627469","일반이용업","0","0","2","0","0","0","4","","","","임대","0","0","0","N",
"13","이용업","05_19_01_P","4181000","4181000-203-1960-00003","1960-10-25","","01","영업/정상","01","영업","","","","","033 2533324","16.50","","강원특별자치도 춘천시 후평동 692-15","강원특별자치도 춘천시 춘천로 308 (후평동)","24277","상신이용소","2019-02-21 16:53:55","I","2023-06-13 00:00:00","일반이용업","265665.873522151","486806.791033455","일반이용업","0","0","1","0","0","0","1","","","","","0","0","0","N",
"14","이용업","05_19_01_P","4181000","4181000-203-1963-00002","1963-07-09","","01","영업/정상","01","영업","","","","","033 2537155","18.00","","강원특별자치도 춘천시 운교동 183 동부시장 1층 18호","강원특별자치도 춘천시 동부시장길 8, 1층 18호 (운교동, 동부시장)","24350","단골이용소","2019-04-12 11:12:22","I","2023-06-13 00:00:00","일반이용업","264518.245047485","486328.376714699","일반이용업","0","0","0","0","0","0","0","","","","","0","0","0","N",
"15","이용업","05_19_01_P","4181000","4181000-203-1970-00001","1970-03-11","","01","영업/정상","01","영업","","","","","033 2576946","17.00","","강원특별자치도 춘천시 퇴계동 618-9","강원특별자치도 춘천시 남춘로5번길 28-2 (퇴계동)","24369","동해이용소","2021-08-11 17:12:10","I","2023-06-13 00:00:00","일반이용업","263920.862177406","484781.062128146","일반이용업","0","0","1","0","0","0","3","","","","자가","0","0","0","N",
"16","이용업","05_19_01_P","4181000","4181000-203-1970-00003","1970-05-23","","01","영업/정상","01","영업","","","","","033 2547404","46.20","","강원특별자치도 춘천시 요선동 7-6 7-7","강원특별자치도 춘천시 중앙로 26 (요선동)","24271","백금이용소","2013-07-23 16:27:30","I","2023-06-13 00:00:00","일반이용업","264012.727962247","486922.81724872","일반이용업","0","0","1","0","0","0","10","","","","","0","0","0","N",
"17","이용업","05_19_01_P","4181000","4181000-203-1971-00002","1971-07-23","","01","영업/정상","01","영업","","","","","033 2551404","26.40","","강원특별자치도 춘천시 효자동 700-20","강원특별자치도 춘천시 효자로 62-1, 1층 (효자동)","24338","대일이용소","2023-04-18 09:16:12","I","2023-06-13 00:00:00","일반이용업","264200.207432662","485423.013438642","일반이용업","0","0","1","0","0","0","3","","","","","0","0","0","N",
"18","이용업","05_19_01_P","4181000","4181000-203-1992-00010","1992-11-12","","01","영업/정상","01","영업","","","","","033 2547448","20.33","","강원특별자치도 춘천시 후평동 810-13","강원특별자치도 춘천시 후석로258번길 27 (후평동)","24312","새우리이용소","2013-07-29 16:46:47","I","2023-06-13 00:00:00","일반이용업","266419.805348826","486054.076471634","일반이용업","0","0","1","0","0","0","2","","","","","0","0","0","N",
"19","이용업","05_19_01_P","4181000","4181000-203-2000-00006","2000-12-04","","01","영업/정상","01","영업","","","","","033 2532127","24.80","","강원특별자치도 춘천시 퇴계동 898-13","강원특별자치도 춘천시 춘주로187번길 20-12 (퇴계동)","24443","남성헤어타운","2021-08-11 17:08:53","I","2023-06-13 00:00:00","일반이용업","263845.294496781","484517.133045871","일반이용업","0","0","1","0","0","0","3","","","","자가","0","0","0","N",
"20","이용업","05_19_01_P","4181000","4181000-203-1992-00012","1992-11-23","","01","영업/정상","01","영업","","","","","033 2579531","38.00","","강원특별자치도 춘천시 퇴계동 917 한진,한성아파트 상가동 202호","강원특별자치도 춘천시 행촌로 11, 상가동 2층 202호 (퇴계동, 한진,한성아파트)","24454","미로이용소","2021-08-11 17:01:03","I","2023-06-13 00:00:00","일반이용업","263499.773507302","484251.367449733","일반이용업","0","0","21","0","0","0","3","","","","임대","0","0","0","N",
"21","이용업","05_19_01_P","4181000","4181000-203-1993-00001","1993-03-12","","01","영업/정상","01","영업","","","","","033 2512493","43.53","","강원특별자치도 춘천시 소양로1가 96-18","강원특별자치도 춘천시 소양로183번길 8 (소양로1가)","24241","지성이용소","2020-04-21 10:26:10","I","2023-06-13 00:00:00","일반이용업","263667.944409361","487730.962066786","일반이용업","0","0","0","0","0","0","3","","","","","0","0","0","N",
"22","이용업","05_19_01_P","4181000","4181000-203-1993-00006","1993-10-08","","01","영업/정상","01","영업","","","","","033 2564874","15.04","","강원특별자치도 춘천시 후평동 869-14","강원특별자치도 춘천시 세실로 220, 후평동 (후평동)","24307","금호이발관","2018-11-02 16:45:00","I","2023-06-13 00:00:00","일반이용업","266533.443701937","486286.702525669","일반이용업","0","0","0","0","0","0","3","","","","","0","0","0","N",
"23","이용업","05_19_01_P","4181000","4181000-203-1994-00004","1994-10-22","","01","영업/정상","01","영업","","","","","033 2568695","24.09","","강원특별자치도 춘천시 퇴계동 916-2 퇴계현대1차아파트","강원특별자치도 춘천시 춘주로 162, 상가동 209호 (퇴계동, 퇴계현대1차아파트)","24452","모아이용소","2021-11-18 16:50:27","I","2023-06-13 00:00:00","일반이용업","263811.794747063","484091.143059532","일반이용업","0","0","2","0","0","0","3","","","","","0","0","0","N",
"24","이용업","05_19_01_P","4181000","4181000-203-1994-00005","1994-12-27","","01","영업/정상","01","영업","","","","","","17.98","","강원특별자치도 춘천시 효자동 434-10","강원특별자치도 춘천시 효자로 67-1 (효자동)","24336","봉의구내이용소","2021-07-14 16:36:58","I","2023-06-13 00:00:00","일반이용업","264202.047458521","485480.755805949","일반이용업","0","0","1","1","0","0","2","","","","임대","0","0","0","N",
"25","이용업","05_19_01_P","4181000","4181000-203-1995-00001","1995-01-17","","01","영업/정상","01","영업","","","","","033 2415581","19.78","","강원특별자치도 춘천시 우두동 1067-4","강원특별자치도 춘천시 충열로 10-6 (우두동)","24231","태양이용소","2021-08-17 17:32:52","I","2023-06-13 00:00:00","일반이용업","264079.840396232","488895.750440159","일반이용업","0","0","1","0","0","0","3","","","","","0","0","0","N",
"26","이용업","05_19_01_P","4181000","4181000-203-1997-00001","1997-06-17","","01","영업/정상","01","영업","","","","","033 2613329","29.00","","강원특별자치도 춘천시 퇴계동 79 춘천퇴계타운 218호","강원특별자치도 춘천시 안마산로 213, 218호 (퇴계동, 춘천퇴계타운)","24421","정든이용원","2015-06-10 15:45:37","I","2023-06-13 00:00:00","일반이용업","264855.838698284","483301.263496797","일반이용업","0","0","2","0","0","0","2","","","","자가","0","0","0","N",
"27","이용업","05_19_01_P","4181000","4181000-203-1997-00002","1997-07-01","","01","영업/정상","01","영업","","","","","033 2553178","76.38","","강원특별자치도 춘천시 운교동 167-1 지하1층","강원특별자치도 춘천시 금강로 85 (운교동, 지하1층)","24352","육림이용원","2015-06-26 11:09:50","I","2023-06-13 00:00:00","일반이용업","264169.996161053","486407.37854079","일반이용업","0","0","0","0","0","0","8","","","","","0","0","0","N",
"28","이용업","05_19_01_P","4181000","4181000-203-1998-00005","1998-10-20","","01","영업/정상","01","영업","","","","","033 2613485","24.64","","강원특별자치도 춘천시 석사동 725-7","강원특별자치도 춘천시 애막골길3번길 65 (석사동)","24320","그랜드이용원","2025-05-29 09:44:58","U","2025-05-31 02:40:00","일반이용업","266427.94329784","485174.697404927","일반이용업","0","0","0","0","0","0","3","","","","임대","0","0","0","N",
"29","이용업","05_19_01_P","4181000","4181000-203-1998-00002","1998-05-26","","01","영업/정상","01","영업","","","","","033 2524078","33.00","","강원특별자치도 춘천시 근화동 710-10","강원특별자치도 춘천시 공지로 442 (근화동)","24359","근화이용소","2021-08-17 17:35:27","I","2023-06-13 00:00:00","일반이용업","263161.857288675","485943.610341716","일반이용업","0","0","1","0","0","0","4","","","","","0","0","0","N",
"30","이용업","05_19_01_P","4181000","4181000-203-2001-00003","2001-06-05","","01","영업/정상","01","영업","","","","","033 2634611","18.86","","강원특별자치도 춘천시 칠전동 543-4","강원특별자치도 춘천시 칠전서길 48 (칠전동)","24457","대우이용소","2021-08-11 16:52:41","I","2023-06-13 00:00:00","일반이용업","262665.545","482539.685","일반이용업","0","0","1","0","0","0","3","","","","임대","0","0","0","N",
"31","이용업","05_19_01_P","4181000","4181000-203-1999-00010","1999-05-08","","01","영업/정상","01","영업","","","","","033 2625087","26.60","","강원특별자치도 춘천시 석사동 283-15 삼익1차아파트 상가동 101호","강원특별자치도 춘천시 춘천순환로 42, 상가동 101호 (석사동, 삼익1차아파트)","24395","쌍다리이용소","2021-08-04 14:26:26","I","2023-06-13 00:00:00","일반이용업","265828.997649087","483804.141424814","일반이용업","0","0","1","0","0","0","2","","","","자가","0","0","0","N",
"32","이용업","05_19_01_P","4181000","4181000-203-1971-00007","1971-10-11","","01","영업/정상","01","영업","","","","","033 2621752","16.00","","강원특별자치도 춘천시 석사동 311-6","강원특별자치도 춘천시 공지로 127 (석사동)","24389","오고파이용소","2021-08-18 20:52:07","I","2023-06-13 00:00:00","일반이용업","265637.033928166","484145.600328854","일반이용업","1","0","1","1","0","0","2","","","","임대","0","0","0","N",
"33","이용업","05_19_01_P","4181000","4181000-203-2003-00006","2003-03-24","","01","영업/정상","01","영업","","","","","033 2512063","32.70","","강원특별자치도 춘천시 온의동 65-10 금호1차아파트, 2층 상가동 1호","강원특별자치도 춘천시 스포츠타운길 535 (온의동, 금호1차아파트)","24429","금호컷트전문헤어샆","2021-08-11 16:54:38","I","2023-06-13 00:00:00","일반이용업","262796.847730253","485510.154731301","일반이용업","0","0","0","0","0","0","2","","","","자가","0","0","0","N",
"34","이용업","05_19_01_P","4181000","4181000-203-1973-00005","1973-09-30","","01","영업/정상","01","영업","","","","","033 2557730","0.00","","강원특별자치도 춘천시 효자동 657-12 1층","강원특별자치도 춘천시 효자로 147, 1층 (효자동)","24329","동부이용소","2019-06-25 09:15:57","I","2023-06-13 00:00:00","일반이용업","264608.519953334","486155.998537505","일반이용업","0","0","1","0","0","0","3","","","","","0","0","0","N",
"35","이용업","05_19_01_P","4181000","4181000-203-1973-00007","1973-12-20","","01","영업/정상","01","영업","","","","","033 2579729","23.10","","강원특별자치도 춘천시 후평동 704-11","강원특별자치도 춘천시 후석로369번길 1 (후평동)","24256","후평이발관","2021-08-19 15:39:36","I","2023-06-13 00:00:00","일반이용업","265686.00686993","487018.140287987","일반이용업","0","0","1","0","0","0","3","","","","","0","0","0","N",
"36","이용업","05_19_01_P","4181000","4181000-203-1974-00001","1974-10-01","","01","영업/정상","01","영업","","","","","033 2518458","16.50","","강원특별자치도 춘천시 효자동 684-11 남부시장","강원특별자치도 춘천시 공지로 367, 남부시장 지하1층 23호 (효자동)","24365","대원이발관","2021-11-19 10:00:43","I","2023-06-13 00:00:00","일반이용업","263776.104141899","485573.469431416","일반이용업","0","0","1","0","0","0","2","","","","","0","0","0","N",
"37","이용업","05_19_01_P","4181000","4181000-203-1980-00004","1980-12-04","","01","영업/정상","01","영업","","","","","033 2550344","28.00","","강원특별자치도 춘천시 교동 160-7","강원특별자치도 춘천시 성심로 23-2 (교동)","24258","해양이용소","2021-08-18 20:49:00","I","2023-06-13 00:00:00","일반이용업","265040.885116881","486801.022581464","일반이용업","0","0","0","0","0","0","2","","","","","0","0","0","N",
"38","이용업","05_19_01_P","4181000","4181000-203-1981-00004","1981-08-24","","01","영업/정상","01","영업","","","","","033 2528077","19.80","","강원특별자치도 춘천시 후평동 245-11","강원특별자치도 춘천시 공단로 52 (후평동)","24233","동하이용소","2021-08-19 15:38:38","I","2023-06-13 00:00:00","일반이용업","265847.90820664","487824.574778293","일반이용업","0","0","1","0","0","0","4","","","","","0","0","0","N",
"39","이용업","05_19_01_P","4181000","4181000-203-2005-00005","2005-07-27","","01","영업/정상","01","영업","","","","","033 261 1706","56.10","","강원특별자치도 춘천시 동면 장학리 859 1층","강원특별자치도 춘천시 동면 만천로 261, 1층","24296","MR.헤어클럽","2021-09-03 09:30:14","I","2023-06-13 00:00:00","일반이용업","266258.343926198","487963.42956518","일반이용업","3","0","1","1","0","0","2","","","","임대","0","0","0","N",
"40","이용업","05_19_01_P","4181000","4181000-203-2002-00007","2002-10-01","","01","영업/정상","01","영업","","","","","033 2532506","64.72","","강원특별자치도 춘천시 퇴계동 385-3 2층","강원특별자치도 춘천시 영서로 2185 (퇴계동)","24445","동원이용원","2013-10-23 11:04:01","I","2023-06-13 00:00:00","일반이용업","264176.37444098","484401.632545309","일반이용업","2","0","0","0","0","0","4","","","","임대","2","1","0","N",
"41","이용업","05_19_01_P","4181000","4181000-203-2004-00001","2004-01-29","","01","영업/정상","01","영업","","","","","033 2439360","34.20","","강원특별자치도 춘천시 후평동 67-53","강원특별자치도 춘천시 백령로 186 (후평동)","24280","이발하기좋은날","2013-07-22 11:04:39","I","2023-06-13 00:00:00","일반이용업","265633.816342591","486244.311015493","일반이용업","2","0","1","0","0","0","3","","","","임대","0","1","0","N",
"42","이용업","05_19_01_P","4181000","4181000-203-2016-00001","2016-03-14","","01","영업/정상","01","영업","","","","","","35.10","","강원특별자치도 춘천시 퇴계동 979-4","강원특별자치도 춘천시 퇴계로146번길 12-1 (퇴계동)","24377","부부헤어","2021-08-11 17:00:14","I","2023-06-13 00:00:00","일반이용업","264582.779572786","484252.039086214","일반이용업","3","0","1","0","0","0","3","","","","임대","0","1","0","N",
"43","이용업","05_19_01_P","4181000","4181000-203-1993-00002","1993-05-12","","01","영업/정상","01","영업","","","","","","23.04","","강원특별자치도 춘천시 퇴계동 1155","강원특별자치도 춘천시 우묵들길 24 (퇴계동)","24367","대한스포렉스 이발","2020-01-08 16:45:14","I","2023-06-13 00:00:00","일반이용업","263708.146153108","485107.143480244","일반이용업","0","0","1","0","0","0","1","","","","","0","0","0","N",
"44","이용업","05_19_01_P","4181000","4181000-203-2016-00002","2016-04-22","","01","영업/정상","01","영업","","","","","","7.70","","강원특별자치도 춘천시 퇴계동 1181 효신사우나내 지1층","강원특별자치도 춘천시 퇴계로 24, 효신사우나내 지1층 (퇴계동)","24368","효신사우나이용원","2018-03-08 15:01:19","I","2023-06-13 00:00:00","일반이용업","263648.615856392","485029.445786038","일반이용업","2","0","2","2","0","0","2","","","","임대","0","0","0","N",
"45","이용업","05_19_01_P","4181000","4181000-203-2018-00001","2018-03-13","","01","영업/정상","01","영업","","","","","","12.30","","강원특별자치도 춘천시 효자동 740-6 1층","강원특별자치도 춘천시 춘천로213번길 9, 1층 (효자동)","24261","바위이발소","2025-05-29 09:45:34","U","2025-05-31 02:40:00","일반이용업","264777.033299891","486429.36443569","일반이용업","2","1","1","1","0","0","2","","","","임대","0","0","0","N",
"46","이용업","05_19_01_P","4181000","4181000-203-2018-00003","2018-05-28","","01","영업/정상","01","영업","","","","","033 256 5046","21.84","","강원특별자치도 춘천시 석사동 682-1 석사신우아파트 상가동 121호","강원특별자치도 춘천시 공지로 111, 상가동 121호 (석사동, 석사신우아파트)","24389","스마일남성헤어","2018-05-28 10:00:57","I","2023-06-13 00:00:00","일반이용업","265628.056819471","484040.280563305","일반이용업","1","1","1","1","0","0","2","","","","임대","0","0","0","N",
"47","이용업","05_19_01_P","4181000","4181000-203-1970-00005","1970-12-30","","01","영업/정상","01","영업","","","","","033 2412828","29.70","","강원특별자치도 춘천시 효자동 710-1 1층","강원특별자치도 춘천시 공지로297번길 9, 1층 (효자동)","24372","공지로이용소","2021-07-14 16:31:41","I","2023-06-13 00:00:00","일반이용업","264347.271624823","485137.517339876","일반이용업","3","0","1","1","0","0","2","","","","자가","0","0","0","N",
"48","이용업","05_19_01_P","4181000","4181000-203-2016-00004","2016-04-20","","01","영업/정상","01","영업","","","","","","34.40","","강원특별자치도 춘천시 효자동 153-40 1층 1호","강원특별자치도 춘천시 백령로75번길 42, 1층 1호 (효자동)","24339","효자이발관","2017-09-19 16:32:33","I","2023-06-13 00:00:00","일반이용업","264561.284193356","485711.574530265","일반이용업","2","0","1","1","0","0","3","","","","임대","0","1","0","N",
"49","이용업","05_19_01_P","4181000","4181000-203-2007-00005","2007-11-06","","01","영업/정상","01","영업","","","","","033 241 2774","38.00","","강원특별자치도 춘천시 효자동 744-2","강원특별자치도 춘천시 춘천로213번길 4 (효자동)","24259","신세계이용원","2021-07-14 16:34:03","I","2023-06-13 00:00:00","일반이용업","264831.740115939","486387.865181029","일반이용업","0","0","0","0","0","0","2","","","","임대","0","0","0","N",
"50","이용업","05_19_01_P","4181000","4181000-203-2008-00006","2008-07-03","","01","영업/정상","01","영업","","","","","","16.00","","강원특별자치도 춘천시 석사동 667-6","강원특별자치도 춘천시 후석로46번길 27 (석사동)","24388","뉴욕이발","2018-03-14 17:49:46","I","2023-06-13 00:00:00","일반이용업","265449.520076664","484153.034992138","일반이용업","1","0","1","1","0","0","3","","","","임대","0","0","0","N",
"51","이용업","05_19_01_P","4181000","4181000-203-2009-00002","2009-05-06","","01","영업/정상","01","영업","","","","","033 253 1634","30.00","","강원특별자치도 춘천시 죽림동 159-2","강원특별자치도 춘천시 명동길 51 (죽림동)","24357","반도이용소","2019-02-27 15:33:40","I","2023-06-13 00:00:00","일반이용업","263648.007135242","486271.351966581","일반이용업","1","0","1","0","0","0","3","","","","임대","0","0","0","N",
"52","이용업","05_19_01_P","4181000","4181000-203-2009-00003","2009-05-08","","01","영업/정상","01","영업","","","","","033 263 1230","30.00","","강원특별자치도 춘천시 석사동 666-8","강원특별자치도 춘천시 효석로135번길 9 (석사동)","24387","석사이발관","2013-10-22 09:42:03","I","2023-06-13 00:00:00","일반이용업","265353.622744848","484184.396126439","일반이용업","1","0","3","0","0","0","2","","","","자가","0","0","0","N",
"53","이용업","05_19_01_P","4181000","4181000-203-2003-00012","2003-08-19","","01","영업/정상","01","영업","","","","","033 256 3917","22.20","","강원특별자치도 춘천시 효자동 612-2","강원특별자치도 춘천시 서부대성로 185 (효자동)","24294","헤어스튜디오","2020-07-03 16:05:27","I","2023-06-13 00:00:00","일반이용업","264978.808991842","486102.776783812","일반이용업","0","0","0","0","0","0","2","","","","임대","0","0","0","N",
"54","이용업","05_19_01_P","4181000","4181000-203-1985-00002","1985-01-09","","01","영업/정상","01","영업","","","","","033 2513115","29.70","","강원특별자치도 춘천시 약사동 77-6","강원특별자치도 춘천시 춘천로81번길 30-2 (약사동)","24357","신성이용원","2021-08-04 14:24:57","I","2023-06-13 00:00:00","일반이용업","263547.874770508","485854.19526412","일반이용업","0","0","1","0","0","0","5","","","","임대","0","0","0","N",
"55","이용업","05_19_01_P","4181000","4181000-203-1989-00003","1989-07-22","","01","영업/정상","01","영업","","","","","033 2558297","30.40","","강원특별자치도 춘천시 후평동 838-11","강원특별자치도 춘천시 후석로 263 (후평동)","24283","최씨바버샵","2020-07-03 16:05:47","I","2023-06-13 00:00:00","일반이용업","266119.514844805","486079.996002205","일반이용업","3","1","1","0","0","0","2","","","","","0","0","0","N",
"56","이용업","05_19_01_P","4181000","4181000-203-2020-00001","2020-03-27","","01","영업/정상","01","영업","","","","","","30.60","","강원특별자치도 춘천시 석사동 726-8","강원특별자치도 춘천시 우석로85번길 20-3, 1층 (석사동)","24320","맥코이 바버샵","2021-08-04 14:17:57","I","2023-06-13 00:00:00","일반이용업","266329.660016176","485216.717574188","일반이용업","3","1","1","2","0","0","3","","","","임대","0","0","0","N",
"57","이용업","05_19_01_P","4181000","4181000-203-2019-00001","2019-03-06","","01","영업/정상","01","영업","","","","","","49.46","","강원특별자치도 춘천시 봉의동 22-2","강원특별자치도 춘천시 서부대성로43번길 21, 1층 (봉의동)","24269","노벨바버샵(nobell barbershop)","2024-05-16 11:36:23","U","2024-05-18 02:40:00","일반이용업","263995.089881965","487204.838325874","일반이용업","3","0","1","1","0","0","2","","","","임대","0","0","0","N",
"58","이용업","05_19_01_P","4181000","4181000-203-2022-00003","2022-09-28","","01","영업/정상","01","영업","","","","","","36.00","","강원특별자치도 춘천시 퇴계동 1180","강원특별자치도 춘천시 퇴계로 34, 가동 1층 (퇴계동)","24368","노벨바버샵 남춘천역점","2022-09-28 15:54:13","I","2023-06-13 00:00:00","일반이용업","263727.864177962","484955.696730972","일반이용업","1","0","1","1","0","0","2","","","","","0","0","0","N",
"59","이용업","05_19_01_P","4181000","4181000-203-2021-00003","2021-08-18","","01","영업/정상","01","영업","","","","","","3.30","","강원특별자치도 춘천시 석사동 116-67","강원특별자치도 춘천시 공지로 57-7, 1층 (석사동)","24397","유지스헤어","2025-05-29 17:55:06","U","2025-05-31 02:40:00","일반이용업","266040.711070021","483537.321881741","일반이용업","1","1","1","1","0","0","0","","","","","0","0","0","N",
"60","이용업","05_19_01_P","4181000","4181000-203-2018-00002","2018-04-20","","01","영업/정상","01","영업","","","","","","10.80","","강원특별자치도 춘천시 동면 만천리 638-20","강원특별자치도 춘천시 동면 만천로 80-5, 1층","24215","암반수사우나구내이용소","2023-12-13 13:06:54","U","2023-12-15 02:40:00","일반이용업","267285.861163414","486662.884180013","일반이용업","4","1","0","0","1","1","2","","","","임대","0","0","0","N",
"61","이용업","05_19_01_P","4181000","4181000-203-2000-00008","2000-01-12","","01","영업/정상","01","영업","","","","","033 4423669","25.20","","강원특별자치도 춘천시 동내면 신촌리 389-18","강원특별자치도 춘천시 동내면 향군길 4, 1층","24407","신촌리화천이용소","2022-06-10 11:44:08","I","2023-06-13 00:00:00","일반이용업","267017.714896642","483085.836495728","일반이용업","1","0","1","1","0","0","3","","","","","0","0","0","N",
"62","이용업","05_19_01_P","4181000","4181000-203-2022-00002","2022-08-01","","01","영업/정상","01","영업","","","","","","56.10","","강원특별자치도 춘천시 온의동 518-7","강원특별자치도 춘천시 춘주로91번길 18 (온의동)","24436","비데이바버샵","2022-08-01 13:51:33","I","2023-06-13 00:00:00","일반이용업","263374.900518535","484751.581508453","일반이용업","0","0","0","0","0","0","0","","","","","0","0","0","N",
