"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업소구분명","소재지","지정일자","신청일자","항목값1",
"27","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199600267","1996-07-01","","01","영업/정상","11","영업","","","","","2422259","","200-821","강원특별자치도 춘천시 신북읍 율문리","","","신일상회","2008-11-03 12:11:50","I","2023-06-13 00:00:00","","","","지정","강원특별자치도 춘천시 신북읍 율문리","19960701","19960701","관급봉투",
"28","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700191","1997-06-26","","01","영업/정상","11","영업","","","","","033 253 0285","","200-860","강원특별자치도 춘천시 사북면 고성리 523","","","고성1리 마을회관","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","","","지정","춘천자활용사촌 복지공장 부근","","20000926","관급봉투",
"29","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700192","1997-06-26","","01","영업/정상","11","영업","","","","","033 243 3379","","200-860","강원특별자치도 춘천시 사북면 오탄리","","","오탄3리 이장댁","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","","","지정","사북면 오탄3리 1반 이장댁","","20000926","관급봉투",
"30","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700193","1997-06-08","","01","영업/정상","11","영업","","","","","033 255 6763","","200-161","강원특별자치도 춘천시 후평동 114-2 15 통1  반","강원특별자치도 춘천시 세실로317번길 13  (후평동)","","만천미니슈퍼","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","266217.619633363","487238.248547977","지정","후평1동 114-2","","20000926","관급봉투",
"31","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700194","1997-06-11","","01","영업/정상","11","영업","","","","","033 254 0737","","200-162","강원특별자치도 춘천시 후평동 25","강원특별자치도 춘천시 후석로 247  (후평동)","","힐코아유통","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","266120.470828552","485927.629589119","지정","힐코아빌딩 지하 1층","","20000926","관급봉투",
"32","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700195","1997-06-11","","01","영업/정상","11","영업","","","","","033 243 9918","","200-140","강원특별자치도 춘천시 사농동 1067","","","대림유통","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","","","지정","새마을금고 뒤편","","20000926","관급봉투",
"33","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700196","1997-05-24","","01","영업/정상","11","영업","","","","","033 252 1778","","200-112","강원특별자치도 춘천시 소양로2가 153-2","","","코사마트 삼보점","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","263656.760406976","487129.198217134","지정","소양로2가 153-2","","20000926","관급봉투",
"34","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700197","1997-05-24","","01","영업/정상","11","영업","","","","","033 25250521","","200-112","강원특별자치도 춘천시 소양로2가 83-1","강원특별자치도 춘천시 기와집길9번길 25  (소양로2가)","","봉의산슈퍼","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","263885.747564986","487508.031424647","지정","소양로2가 83-1","","20000926","관급봉투",
"35","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700198","1997-05-21","","01","영업/정상","11","영업","","","","","033 2423235","","200-170","강원특별자치도 춘천시 퇴계동 890-3","강원특별자치도 춘천시 행촌로 37  (퇴계동)","","에스마트 춘천점","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","263680.582821475","484395.393462708","지정","퇴계동 890-3","","20000926","관급봉투",
"36","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700199","1997-05-15","","01","영업/정상","11","영업","","","","","033 251 7106","","200-200","강원특별자치도 춘천시 삼천동 25-7","","","행운마트","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","","","지정","공지천 부근","","20000926","관급봉투",
"37","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700200","1997-04-29","","01","영업/정상","11","영업","","","","","033251 0987","","200-190","강원특별자치도 춘천시 온의동 590","","","보배부식슈퍼","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","263147.153512908","485489.588263733","지정","보배아파트 상가 내","","20000926","관급봉투",
"38","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700201","1997-04-24","","01","영업/정상","11","영업","","","","","","","200-163","강원특별자치도 춘천시 후평동 870","강원특별자치도 춘천시 후만로116번길 14  (후평동)","","한결쇼핑","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","266582.407466342","486188.330988454","지정","후평3동 870","","20000926","관급봉투",
"39","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700202","1997-04-07","","01","영업/정상","11","영업","","","","","033241 0034","","200-170","강원특별자치도 춘천시 퇴계동 917","강원특별자치도 춘천시 행촌로 11  (퇴계동)","","우영프라자","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","263499.773507302","484251.367449733","지정","한성한진아파트 상가 내","","20000926","관급봉투",
"40","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199800155","1998-02-09","","01","영업/정상","11","영업","","","","","033 242 7764","","200-170","강원특별자치도 춘천시 퇴계동 380-7","강원특별자치도 춘천시 춘주로 192  (퇴계동)","","할렐루야5호점","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","263994.716713157","484402.474406279","지정","퇴계동 380-7","","20000925","관급봉투",
"41","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199800156","1998-01-08","","01","영업/정상","11","영업","","","","","033 243 1127","","200-860","강원특별자치도 춘천시 사북면 지암리 346-4","강원특별자치도 춘천시 사북면 화악지암2길 43-23","","지암리마을회관","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","253414.017368207","498099.395729482","지정","지암리 마을회관 집하장","","20000925","관급봉투",
"42","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199800157","1998-01-08","","01","영업/정상","11","영업","","","","","033 243 6820","","200-860","강원특별자치도 춘천시 사북면 원평리 377-3","강원특별자치도 춘천시 사북면 원평길 36-64","","세월낚시터","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","256434.353245433","500226.784749142","지정","춘천댐부근","","20000925","관급봉투",
"43","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199800158","1998-12-24","","01","영업/정상","11","영업","","","","","033241 9255","","200-162","강원특별자치도 춘천시 후평동 25","강원특별자치도 춘천시 후석로 247  (후평동)","","영아마트","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","266120.470828552","485927.629589119","지정","힐코아빌딩내","","20000925","관급봉투",
"44","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199800159","1998-12-16","","01","영업/정상","11","영업","","","","","033257 4940","","200-162","강원특별자치도 춘천시 후평동 692-2","강원특별자치도 춘천시 춘천로 300  (후평동)","","우영유통9호점","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","265595.555467962","486760.924808177","지정","후평농협 옆","","20000925","관급봉투",
"45","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199800160","1998-12-17","","01","영업/정상","11","영업","","","","","033241 9191","","200-163","강원특별자치도 춘천시 후평동 석사3지구내 상가 105호","","","조아부식","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","","","지정","석사3차아파트 상가 105호","","20000925","관급봉투",
"46","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199800162","1998-12-10","","01","영업/정상","11","영업","","","","","033 255 3500","","200-112","강원특별자치도 춘천시 소양로2가","","","봉의산유통","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","","","지정","현대아파트 상가 내","","20000925","관급봉투",
"47","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700203","1997-04-07","","01","영업/정상","11","영업","","","","","033242 7379","","200-170","강원특별자치도 춘천시 퇴계동 897-10","강원특별자치도 춘천시 춘주로187번길 16  (퇴계동)","","LG슈퍼","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","263856.638110068","484464.968769345","지정","퇴계동 897-10","","20000926","관급봉투",
"48","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700204","1997-04-07","","01","영업/정상","11","영업","","","","","033256 2949","","200-170","강원특별자치도 춘천시 퇴계동 9블럭 1롯트 일성아파트 상가내","","","일성2차 마트","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","","","지정","일성아파트 상가 내","","20000926","관급봉투",
"49","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700205","1997-04-07","","01","영업/정상","11","영업","","","","","033255 6878","","200-170","강원특별자치도 춘천시 퇴계동 916 삼익코오롱 상가1-105","강원특별자치도 춘천시 행촌로 14  (퇴계동,삼익코오롱 상가1-105)","","팔도식품","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","263621.120421684","484144.713945217","지정","삼익코오롱 상가 1-105","","20000926","관급봉투",
"50","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700206","1997-03-15","","01","영업/정상","11","영업","","","","","033 262 0246","","200-910","강원특별자치도 춘천시 남산면 강촌리 337-16","강원특별자치도 춘천시 남산면 강촌구곡길 5","","삼성유통 강촌점","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","255945.841068381","478661.665922918","지정","창촌중학교 부근","","20000926","관급봉투",
"51","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700207","1997-03-11","","01","영업/정상","11","영업","","","","","033 241 2568","","200-092","강원특별자치도 춘천시 효자동 150-15","강원특별자치도 춘천시 효제길 11  (효자동)","","에스마트 효자점","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","264584.090320946","485778.380277539","지정","팔호광장 부근","","20000926","관급봉투",
"52","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700208","1997-03-11","","01","영업/정상","11","영업","","","","","033 241 4178","","200-092","강원특별자치도 춘천시 효자동 669-3","강원특별자치도 춘천시 효자로 74-1  (효자동)","","신세기유통","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","264286.556982733","485519.255279392","지정","신동아아파트 맞은편","","20000926","관급봉투",
"53","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700209","1997-03-05","","01","영업/정상","11","영업","","","","","033252 9994","","200-093","강원특별자치도 춘천시 효자동 179-1","강원특별자치도 춘천시 미려골길 23  (효자동)","","새시대체인","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","264712.110272309","485604.191381465","지정","효자동사무소 부근","","20000926","관급봉투",
"54","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700210","1997-02-14","","01","영업/정상","11","영업","","","","","033 255 8807","","200-162","강원특별자치도 춘천시 후평동 현대5차 상가내103호","","","지산마트","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","","","지정","현대5차아파트 상가 내 103호","","20000926","관급봉투",
"55","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700211","1997-02-06","","01","영업/정상","11","영업","","","","","033261 9885","","200-910","강원특별자치도 춘천시 남산면 강촌리 253-2","강원특별자치도 춘천시 남산면 강촌로 86","","강촌이티캠프민박","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","255841.389399294","478960.088994815","지정","강촌상가지구 옆","","20000926","관급봉투",
"56","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700212","1997-02-03","","01","영업/정상","11","영업","","","","","033 241 7555","","200-093","강원특별자치도 춘천시 효자동 623-11 7  통3  반","강원특별자치도 춘천시 백령로151번길 1  (효자동)","","플러스 마트","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","265317.891906614","486110.731555652","지정","효자3동 623-11   7/3","","20000926","관급봉투",
"57","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700213","1997-01-03","","01","영업/정상","11","영업","","","","","033 255 0395","","200-130","강원특별자치도 춘천시 근화동 711-3","강원특별자치도 춘천시 공지로 450  (근화동)","","편의슈퍼","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","263064.716448104","485973.958182642","지정","근화동 711-3","","20000926","관급봉투",
"58","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700214","1997-12-24","","01","영업/정상","11","영업","","","","","033252 2287","","200-093","강원특별자치도 춘천시 효자동 632-1","강원특별자치도 춘천시 서부대성로 241  (효자동)","","동양마트강대점","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","265465.06562911","485841.329646172","지정","효자3동 632-1","","20000926","관급봉투",
"59","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014200000001","2000-09-05","","01","영업/정상","11","영업","","","","","0332579810","","200-113","강원특별자치도 춘천시 소양로3가 175-6","","","한국통신구판장","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","","","지정","춘천시 소양로3가 175-6","","","관급봉투",
"60","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700215","1997-11-28","","01","영업/정상","11","영업","","","","","033 252 2221","","200-162","강원특별자치도 춘천시 후평동 67-8","","","우영유통 7호점","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","266038.764453269","486467.679997235","지정","후평2동 67-8","","20000926","관급봉투",
"61","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700216","1997-11-21","","01","영업/정상","11","영업","","","","","033252 3215","","200-161","강원특별자치도 춘천시 후평동 559-10","강원특별자치도 춘천시 후석로 436  (후평동)","","춘천축협종합판매장","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","265333.764226926","487564.100535317","지정","후평소방서 옆","","20000926","관급봉투",
"62","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700217","1997-10-09","","01","영업/정상","11","영업","","","","","033261 1566","","200-810","강원특별자치도 춘천시 신동면 증리 916-1","강원특별자치도 춘천시 신동면 김유정로 1430","","마을슈퍼","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","263014.889567713","479794.739929358","지정","신남산장 2층","","20000926","관급봉투",
"63","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700218","1997-10-09","","01","영업/정상","11","영업","","","","","033251 3959","","200-100","강원특별자치도 춘천시 낙원동 116-10","강원특별자치도 춘천시 중앙로106번길 16  (낙원동)","","춘흥상회","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","263475.685477081","486403.817814268","지정","코카콜라 건너편","","20000926","관급봉투",
"64","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700219","1997-09-25","","01","영업/정상","11","영업","","","","","033 251 4112","","200-093","강원특별자치도 춘천시 효자동 622-4","강원특별자치도 춘천시 백령로 153  (효자동)","","인정마트","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","265328.220040744","486127.969107428","지정","효자3동 622-4","","20000926","관급봉투",
"65","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700220","1997-09-26","","01","영업/정상","11","영업","","","","","033 257 6885","","200-190","강원특별자치도 춘천시 온의동 510 럭키상가 지하 8,9층","강원특별자치도 춘천시 영서로 2317  (온의동,럭키상가 지하 8,9층)","","럭키부식","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","263030.653293619","485050.328015576","지정","럭키상가 지하 8,9층","","20000926","관급봉투",
"66","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700221","1997-09-26","","01","영업/정상","11","영업","","","","","033 242 3917","","200-190","강원특별자치도 춘천시 온의동 541-7","강원특별자치도 춘천시 충혼길52번길 4  (온의동)","","오복슈퍼","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","263303.88660299","484421.154530724","지정","온의동 541-7","","20000926","관급봉투",
"67","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700222","1997-09-10","","01","영업/정상","11","영업","","","","","033256 7577","","200-042","강원특별자치도 춘천시 중앙로2가 78-1","강원특별자치도 춘천시 중앙로 72  (중앙로2가)","","아진유통","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","263796.162508801","486531.116221761","지정","김병렬내과 지하","","20000926","관급봉투",
"68","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700223","1997-09-10","","01","영업/정상","11","영업","","","","","033 2535434","","200-042","강원특별자치도 춘천시 중앙로2가 41-1","강원특별자치도 춘천시 중앙로77번길 4-1  (중앙로2가)","","신우청과","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","263792.558594576","486459.293270349","지정","신협 앞","","20000926","관급봉투",
"69","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700224","1997-09-10","","01","영업/정상","11","영업","","","","","033 251 6914","","200-091","강원특별자치도 춘천시 효자동 692-1","강원특별자치도 춘천시 공지로 345  (효자동)","","수협중앙회수산물 백화점","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","263982.973022046","485445.541011372","지정","효자1동 692-1","","20000926","관급봉투",
"70","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700225","1997-08-29","","01","영업/정상","11","영업","","","","","033242 9222","","200-060","강원특별자치도 춘천시 교동 10-22 11 통1  반","","","동내슈퍼","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","264876.292729738","486938.618690001","지정","교동 다가구주택 앞","","20000926","관급봉투",
"71","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199700226","1997-08-29","","01","영업/정상","11","영업","","","","","033 252 1633","","200-120","강원특별자치도 춘천시 약사동 43-11","강원특별자치도 춘천시 약사길 58  (약사동)","","풍물건어물","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","263778.990154379","486117.409775822","지정","풍물시장 129호","","20000926","관급봉투",
