"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분","건축물명","건축물연면적","건축물상태명","청소대상시작일자","청소대상종료일자","휴업폐지사유","업무구분명",
"16","저수조청소업","09_30_14_P","4181000","418100031202100002","2021-09-07","","01","영업/정상","11","정상","","","","","033-241-4455","","","강원특별자치도 춘천시 동내면 거두리 ***-* 독도빌딩","강원특별자치도 춘천시 동내면 동내로 *, 독도빌딩","24405","나라산업","2022-07-15 14:14:39","I","2023-06-13 00:00:00","","266326.478609943","483332.946455402","31","","0","","","","","저수조청소업",
"17","저수조청소업","09_30_14_P","4181000","418100031200000001","2007-03-06","","01","영업/정상","11","정상","","","","","264-8846","","","강원특별자치도 춘천시 신동면 증리 ***-*","강원특별자치도 춘천시 신동면 김유정로 ****-**","24412","한빛환경","2024-09-02 11:00:49","U","2024-09-04 02:40:00","","264088.540031621","481676.340341332","31","","0","","","","","저수조청소업",
"18","저수조청소업","09_30_14_P","4181000","418100031200200001","2007-01-24","","01","영업/정상","11","정상","","","","","241-7285","","","강원특별자치도 춘천시 소양로*가 ***-*","강원특별자치도 춘천시 후석로 *** (소양로*가)","24248","세원환경개발","2024-09-02 11:03:42","U","2024-09-04 02:40:00","","263931.71956689","488116.708605615","31","","0","","","","","저수조청소업",
"19","저수조청소업","09_30_14_P","4181000","418100031200600003","2016-08-22","","01","영업/정상","11","정상","","","","","244-5724","","","강원특별자치도 춘천시 근화동 ***-**","강원특별자치도 춘천시 소양로***번길 **-** (근화동)","24241","(주)백두종합관리","2024-10-22 15:38:23","U","2024-10-24 02:40:00","","263663.22991758","487976.505520612","31","","0","","","","","저수조청소업",
"20","저수조청소업","09_30_14_P","4181000","418100031200700001","2007-05-14","","01","영업/정상","11","정상","","","","","256-7987","","","강원특별자치도 춘천시 온의동 ***-**","강원특별자치도 춘천시 춘주로**번길 ** (온의동)","24437","대한종합관리(합)","2024-09-03 17:54:03","U","2024-09-05 02:40:00","","263232.697979973","484513.801266749","31","","0","","","","","저수조청소업",
"21","저수조청소업","09_30_14_P","4181000","418100031200800001","2008-07-22","","01","영업/정상","11","정상","","","","","255-1335","","","강원특별자치도 춘천시 근화동 ***-*","강원특별자치도 춘천시 공지로 ***-** (근화동)","24359","제일환경개발","2024-09-03 17:53:11","U","2024-09-05 02:40:00","","263116.994835258","486014.347371561","31","","0","","","","","저수조청소업",
"22","저수조청소업","09_30_14_P","4181000","418100031199600001","2025-09-29","","01","영업/정상","11","정상","","","","","263-0623","","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 후만로***번길 ** (후평동)","24307","호반방역청소용역(주)","2025-09-29 17:49:09","U","2025-10-01 02:40:00","","266714.040864621","486143.431207098","31","","0","","","","","저수조청소업",
"23","저수조청소업","09_30_14_P","4181000","418100031201800001","2025-01-16","","01","영업/정상","11","정상","","","","","0332643666","","","강원특별자치도 춘천시 신동면 정족리 ***-*","강원특별자치도 춘천시 신동면 정족*길 **-**, *층 ***호","24412","성도방역","2025-01-16 10:52:47","U","2025-01-18 02:40:00","","264499.77325629","480768.263539498","31","","0","","","","","저수조청소업",
"24","저수조청소업","09_30_14_P","4181000","418100031201800002","2018-11-15","","01","영업/정상","11","정상","","","","","0332532559","","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 후석로**번길 **, *층 (석사동)","24388","(주)H&B종합관리","2018-11-15 14:20:39","I","2023-06-13 00:00:00","","265523.522575749","484234.002559846","31","","0","","","","","저수조청소업",
"25","저수조청소업","09_30_14_P","4181000","418100031202400003","2024-08-20","","01","영업/정상","11","정상","","","","","033-241-4455","","","강원특별자치도 춘천시 동면 만천리 ***-*","강원특별자치도 춘천시 동면 소당골길 **","24213","두양산업","2024-08-20 10:40:51","I","2024-08-22 00:13:25","","267586.568043363","486782.871924377","31","","0","","","","","저수조청소업",
"26","저수조청소업","09_30_14_P","4181000","418100031202400002","2024-06-10","","01","영업/정상","11","정상","","","","","033-255-7119","","","강원특별자치도 춘천시 후평동 *** 상가, 지하 *층","강원특별자치도 춘천시 후만로**번길 ** (후평동, 현대*차아파트)","24285","이영기획","2024-06-10 08:58:45","I","2024-06-12 00:14:15","","265909.529064168","485946.054273108","31","","0","","","","","저수조청소업",
"27","저수조청소업","09_30_14_P","4181000","418100031202400001","2024-02-06","","01","영업/정상","11","정상","","","","","","","","강원특별자치도 춘천시 신북읍 천전리 ***-*","강원특별자치도 춘천시 신북읍 배후령길 **-**, ***호","24204","주식회사 풍국","2024-02-06 14:04:31","I","2024-02-08 00:16:10","","268751.556711634","493328.976712412","31","","0","","","","","저수조청소업",
"28","저수조청소업","09_30_14_P","4181000","418100031202500003","2025-02-25","","01","영업/정상","11","정상","","","","","070-8798-6547","","","강원특별자치도 춘천시 요선동 **-*","강원특별자치도 춘천시 소양고개길 **, ****호 (요선동)","24272","(주)아인","2025-09-30 10:52:03","U","2025-10-02 02:40:00","","263885.897682568","486855.695116577","31","","0","","","","","저수조청소업",
"29","저수조청소업","09_30_14_P","4181000","418100031202300002","2023-09-13","","01","영업/정상","11","정상","","","","","033-257-5413","","","강원특별자치도 춘천시 후평동 ***-* 에리트아파트 상가 ***호","강원특별자치도 춘천시 삭주로 **-*, 에리트아파트 상가 ***호 (후평동)","24253","태원방역앤클린","2023-09-13 16:39:21","I","2023-09-15 00:18:04","","265169.602985857","487195.395357005","31","","0","","","","","저수조청소업",
"30","저수조청소업","09_30_14_P","4181000","418100031202500001","2025-01-10","","01","영업/정상","11","정상","","","","","","","","강원특별자치도 춘천시 신동면 정족리 ***-*","강원특별자치도 춘천시 신동면 정족*길 **-**, *층 ***호","24412","깨끗도깨비","2025-01-13 09:20:23","I","2025-01-15 00:11:12","","264499.77325629","480768.263539498","31","","0","","","","","저수조청소업",
"31","저수조청소업","09_30_14_P","4181000","418100031201800007","2018-11-15","","03","폐업","2","폐업","2020-02-28","","","","033-252-4067","","","강원특별자치도 춘천시 칠전동 ***-*","강원특별자치도 춘천시 칠전서길 **, 효도빌딩 *층 (칠전동)","24457","효도복지방역공사","2020-03-02 15:21:06","I","2023-06-13 00:00:00","","262679.083168578","482405.861377569","31","","0","","","","자진폐업","저수조청소업",
"32","저수조청소업","09_30_14_P","4181000","418100031200100001","2001-05-08","","03","폐업","2","폐업","2018-12-14","","","","256-0064","","","강원특별자치도 춘천시 효자동 ***-**","","","(합)한마음기업","2018-12-14 11:19:28","I","2023-06-13 00:00:00","","264462.606802644","485857.410622419","31","","0","","","","일제조사 결과 폐업","저수조청소업",
"33","저수조청소업","09_30_14_P","4181000","418100031200100002","2001-09-21","","03","폐업","2","폐업","2018-12-14","","","","244-5724","","","강원특별자치도 춘천시 근화동 ***-**","","","하나로시스템","2018-12-14 11:26:16","I","2023-06-13 00:00:00","","263663.22991758","487976.505520612","31","","0","","","","일제조사 결과 폐업","저수조청소업",
"34","저수조청소업","09_30_14_P","4181000","418100031200600001","2006-05-11","","03","폐업","2","폐업","2014-03-24","","","","","","","강원특별자치도 춘천시 효자동 ***-**","","","부강환경","2018-11-15 14:32:07","I","2023-06-13 00:00:00","","265041.926014802","486494.952881439","31","","0","","","","","저수조청소업",
"35","저수조청소업","09_30_14_P","4181000","418100031200600002","2006-08-08","","03","폐업","2","폐업","2018-12-14","","","","033-254-1890","","","강원특별자치도 춘천시 석사동 ***-*","","","봄내환경","2018-12-14 11:27:30","I","2023-06-13 00:00:00","","265988.055","484869.855","31","","0","","","","일제조사 결과 폐업","저수조청소업",
"36","저수조청소업","09_30_14_P","4181000","418100031200600005","2006-10-20","","03","폐업","2","폐업","2016-09-26","","","","252-2040","","","강원특별자치도 춘천시 교동 ***-*","","","남석환경","2018-11-15 14:36:32","I","2023-06-13 00:00:00","","264629.33822982","486874.788902687","31","","0","","","","","저수조청소업",
"37","저수조청소업","09_30_14_P","4181000","418100031199500001","2008-01-04","","03","폐업","2","폐업","2016-09-22","","","","262-2901","","","강원특별자치도 춘천시 온의동 ***-*","강원특별자치도 춘천시 춘주로**번길 * (온의동)","","중앙방역","2018-11-15 14:33:24","I","2023-06-13 00:00:00","","263286.050384934","484503.622623451","31","","0","","","","","저수조청소업",
"38","저수조청소업","09_30_14_P","4181000","418100031199500002","1995-03-11","","03","폐업","2","폐업","2014-06-25","","","","241-5293","","","강원특별자치도 춘천시 후평동 ***-**","","","강원용역","2018-11-15 14:28:19","I","2023-06-13 00:00:00","","265927.607128101","486846.456319702","31","","0","","","","","저수조청소업",
"39","저수조청소업","09_30_14_P","4181000","418100031199500003","2005-09-14","","03","폐업","2","폐업","2018-12-14","","","","253-2559","","","강원특별자치도 춘천시 후평동 *** 한신상가 *층","","","(주)H&B 종합관리","2018-12-14 11:51:58","I","2023-06-13 00:00:00","","266022.138692276","485853.561417576","31","","0","","","","일제조사 결과 2중등록으로 폐업","저수조청소업",
"40","저수조청소업","09_30_14_P","4181000","418100031199600002","1996-07-09","","03","폐업","2","폐업","2018-12-14","","","","262-2026","","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 후석로**번길 ** (석사동)","","대기기업","2018-12-14 11:08:15","I","2023-06-13 00:00:00","","265138.98788167","484565.44095568","31","","0","","","","확인결과 폐업","저수조청소업",
"41","저수조청소업","09_30_14_P","4181000","418100031199600003","1996-08-23","","03","폐업","2","폐업","2018-12-14","","","","255-7373","","","강원특별자치도 춘천시 옥천동 **-*","","","동준환경","2018-12-14 11:13:58","I","2023-06-13 00:00:00","","264186.287167498","486893.3992715","31","","0","","","","확인결과 폐업","저수조청소업",
"42","저수조청소업","09_30_14_P","4181000","418100031199800001","1998-04-27","","03","폐업","2","폐업","2018-12-14","","","","251-1393","","","강원특별자치도 춘천시 우두동 ***-*","","","용성개발","2018-12-14 11:14:47","I","2023-06-13 00:00:00","","264919.65193755","489574.486923261","31","","0","","","","일제조사 결과 폐업","저수조청소업",
"43","저수조청소업","09_30_14_P","4181000","418100031199800002","1998-03-23","","03","폐업","2","폐업","2018-12-14","","","","252-8849","","","강원특별자치도 춘천시 퇴계동 ***-*","","","(주)환경21","2018-12-14 11:53:53","I","2023-06-13 00:00:00","","263456.361524998","484777.524949379","31","","0","","","","일제조사결과 2중등재 (중복등재 및 대표변경)","저수조청소업",
"44","저수조청소업","09_30_14_P","4181000","418100031199900001","1999-04-02","","03","폐업","2","폐업","2018-12-14","","","","256-4555","","","강원특별자치도 춘천시 운교동 ***-*","","","G & C 산업","2018-12-14 11:15:35","I","2023-06-13 00:00:00","","264570.475093178","486329.701361873","31","","0","","","","일제조사 결과 페업","저수조청소업",
"45","저수조청소업","09_30_14_P","4181000","418100031199900002","1999-04-27","","03","폐업","2","폐업","2018-11-15","","","","263-0050","","","강원특별자치도 춘천시 퇴계동 ***-**","","","CC엔지니어링","2018-11-15 14:30:36","I","2023-06-13 00:00:00","","264230.836617553","484828.252245132","31","","0","","","","정보수정(2018.11.15)","저수조청소업",
"46","저수조청소업","09_30_14_P","4181000","418100031199900003","1999-09-14","","03","폐업","2","폐업","2018-12-14","","","","255-0227","","","강원특별자치도 춘천시 근화동 ***-**","","","미래관리시스템","2018-12-14 11:17:57","I","2023-06-13 00:00:00","","263663.22991758","487976.505520612","31","","0","","","","일제조사 결과 폐업","저수조청소업",
"47","저수조청소업","09_30_14_P","4191000","419100031201200001","2015-12-23","","02","휴업","1","휴업","","2015-12-23","2050-12-22","","732-1125","","","강원특별자치도 원주시 명륜동 ***-* *층 ***호","강원특별자치도 원주시 소방서길 **-* (명륜동)","","(합)하나산업","2025-10-17 11:10:29","U","2025-10-19 02:40:00","","283510.214017857","425611.034312499","31","","0","","","","필요인력 미충족 및 영업부진","저수조청소업",
"48","저수조청소업","09_30_14_P","4191000","419100031201400001","2014-01-20","","02","휴업","1","휴업","","2025-10-29","2027-10-28","","766-2114","","","강원특별자치도 원주시 판부면 서곡리 ****-* *층","강원특별자치도 원주시 판부면 오성마을길 **, *층","26400","(주)아쿠아에어닥터","2025-10-31 16:30:56","U","2025-11-02 02:40:00","","284196.117355129","424545.653192144","31","","0","","","","직원 교체로 인한 인력부족","저수조청소업",
"49","저수조청소업","09_30_14_P","4191000","419100031200600002","2007-12-10","","01","영업/정상","11","정상","","","","","744-4230","","","강원특별자치도 원주시 봉산동 ****-*","강원특별자치도 원주시 삼광*길 ** (봉산동)","","미래상사(개발)","2015-01-05 21:13:17","I","2023-06-13 00:00:00","","285344.741221319","427288.515566551","31","","0","","","","","저수조청소업",
"50","저수조청소업","09_30_14_P","4191000","419100031201100002","2011-05-17","","01","영업/정상","11","정상","","","","","033-766-1534","","","강원특별자치도 원주시 단구동 ***-**","강원특별자치도 원주시 개운*길 ** (단구동)","26444","(주)거성","2023-11-14 16:25:16","U","2023-11-16 02:40:00","","285152.187618187","426454.208728707","31","","0","","","","","저수조청소업",
"51","저수조청소업","09_30_14_P","4191000","419100031199500001","2015-06-18","","01","영업/정상","11","정상","","","","","033)766-3660","","","강원특별자치도 원주시 개운동 *** 개운현대상가 *층 ***호","강원특별자치도 원주시 남원로***번길 * (개운동, 개운현대상가 *층(***호))","","경인종합환경","2023-11-14 16:38:57","U","2023-11-16 02:40:00","","284286.60791058","426503.885165892","31","","0","","","","","저수조청소업",
"52","저수조청소업","09_30_14_P","4191000","419100031201400003","2015-07-09","","01","영업/정상","11","정상","","","","","765-1949","","","강원특별자치도 원주시 무실동 ***-*","강원특별자치도 원주시 만대로 ***-**, ***호 (무실동)","26385","(주)일드림","2023-04-24 10:00:31","I","2023-06-13 00:00:00","","281804.811406974","425845.799313995","31","","0","","","","","저수조청소업",
"53","저수조청소업","09_30_14_P","4191000","419100031200900006","2009-09-14","","01","영업/정상","11","정상","","","","","033-762-7009","","","강원특별자치도 원주시 단구동 ***-** *층","강원특별자치도 원주시 치악로 ****, *층 (단구동)","26452","이로운환경주식회사","2023-11-14 16:20:27","U","2023-11-16 02:40:00","","285296.038993161","424944.52909719","31","","0","","","","","저수조청소업",
"54","저수조청소업","09_30_14_P","4191000","419100031200900007","2009-09-14","","01","영업/정상","11","정상","","","","","745-1101","","","강원특별자치도 원주시 봉산동 ****-*","강원특별자치도 원주시 삼광*길 ** (봉산동)","","태성환경","2015-01-05 21:13:17","I","2023-06-13 00:00:00","","285484.860250736","427201.195399791","31","","0","","","","","저수조청소업",
"55","저수조청소업","09_30_14_P","4191000","419100031200900008","2012-09-25","","01","영업/정상","11","정상","","","","","764-3703","","","강원특별자치도 원주시 판부면 서곡리 ***-*","강원특별자치도 원주시 판부면 남원로 ***-*","26401","(합)깨끗한환경산업","2023-11-14 16:28:17","U","2023-11-16 02:40:00","","282706.634896989","423836.96245529","31","","0","","","","","저수조청소업",
"56","저수조청소업","09_30_14_P","4191000","419100031201000001","2016-01-12","","01","영업/정상","11","정상","","","","","033-900-9922","","","강원특별자치도 원주시 단계동 ***-*","강원특별자치도 원주시 이화*길 **-** (단계동)","26474","(주)청소반장","2025-10-28 16:20:39","U","2025-10-30 02:40:00","","282585.39234686","426740.32367384","31","","0","","","","","저수조청소업",
"57","저수조청소업","09_30_14_P","4191000","419100031201000003","2010-09-01","","01","영업/정상","11","정상","","","","","033)766-9895","","","강원특별자치도 원주시 신림면 구학리 **-* *반","강원특별자치도 원주시 신림면 구학산로 ****","","(합)대복환경산업","2022-01-30 10:16:57","I","2023-06-13 00:00:00","","294772.406939384","412469.26471284","31","","0","","","","","저수조청소업",
"58","저수조청소업","09_30_14_P","4191000","419100031201000005","2010-12-13","","01","영업/정상","11","정상","","","","","734-0173","","","강원특별자치도 원주시 우산동 ***-*","강원특별자치도 원주시 상지대길 ** (우산동)","","부흥환경","2023-08-01 09:44:00","U","2023-08-03 02:40:00","","283030.762834374","430103.914237057","31","","0","","","","","저수조청소업",
"59","저수조청소업","09_30_14_P","4191000","419100031201200002","2012-01-13","","01","영업/정상","11","정상","","","","","033-766-2121","","","강원특별자치도 원주시 단구동 ***-*","강원특별자치도 원주시 홍판서길 ** (단구동)","","(합)강원환경","2023-08-21 15:33:11","U","2023-08-23 02:40:00","","285245.180594786","425346.313193954","31","","0","","","","","저수조청소업",
"60","저수조청소업","09_30_14_P","4191000","419100031201200003","2012-03-20","","01","영업/정상","11","정상","","","","","","","","강원특별자치도 원주시 단구동 **** 대흥아파트","강원특별자치도 원주시 단구초교길 **, 상가동 지하 *층 (단구동, 대흥아파트)","26452","(합)미래공사","2021-02-04 14:14:59","I","2023-06-13 00:00:00","","285423.892658947","424988.781750881","31","","0","","","","","저수조청소업",
"61","저수조청소업","09_30_14_P","4191000","419100031201200004","2020-03-11","","01","영업/정상","11","정상","","","","","763-2121","","","강원특별자치도 원주시 명륜동 ***","강원특별자치도 원주시 단구로 *** (명륜동)","26441","(주)밝은환경","2023-03-03 13:30:06","I","2023-06-13 00:00:00","","283946.974642696","426484.235765056","31","","0","","","","","저수조청소업",
"62","저수조청소업","09_30_14_P","4191000","419100031201300001","2013-02-22","","01","영업/정상","11","정상","","","","","033-745-0972","","","강원특별자치도 원주시 호저면 만종리 ***","강원특별자치도 원주시 호저면 원문로 ***-**","26375","남원방역&종합환경","2023-07-27 09:16:19","U","2023-07-29 02:40:00","","280246.219846139","429008.554997804","31","","0","","","","","저수조청소업",
"63","저수조청소업","09_30_14_P","4191000","419100031201300002","2015-03-16","","01","영업/정상","11","정상","","","","","033-766-3307","","","강원특별자치도 원주시 호저면 대덕리 ***","강원특별자치도 원주시 호저면 한터길 **","26302","주식회사 산수","2023-06-16 09:45:34","U","2023-06-18 02:40:00","","282838.657093475","435963.606151046","31","","0","","","","","저수조청소업",
"64","저수조청소업","09_30_14_P","4191000","419100031199800001","2014-05-28","","01","영업/정상","11","정상","","","","","033-765-0701","","","강원특별자치도 원주시 행구동 ****-*","강원특별자치도 원주시 봉대길 **-* (행구동)","26456","(주)크린이엔지","2023-11-14 16:26:54","U","2023-11-16 02:40:00","","287875.762243927","426302.989017602","31","","0","","","","","저수조청소업",
"65","저수조청소업","09_30_14_P","4191000","419100031199900001","2007-02-23","","01","영업/정상","11","정상","","","","","766-4433","","","강원특별자치도 원주시 소초면 장양리 ***-*","강원특별자치도 원주시 소초면 북원로 ****","26306","(주)성오","2023-08-21 15:53:44","U","2023-08-23 02:40:00","","285026.721686927","435055.744007887","31","","0","","","","","저수조청소업",
"66","저수조청소업","09_30_14_P","4191000","419100031199900002","2009-08-27","","01","영업/정상","11","정상","","","","","742-1677","","","강원특별자치도 원주시 단계동 ***","강원특별자치도 원주시 원문로 ***, ***호 (단계동)","26378","신세계방역&종합환경","2024-10-28 10:35:58","U","2024-10-30 02:40:00","","281301.294422979","429027.208388737","31","","0","","","","dl","저수조청소업",
"67","저수조청소업","09_30_14_P","4191000","419100031199900003","1999-04-13","","01","영업/정상","11","정상","","","","","766-5615","","","강원특별자치도 원주시 개운동 ***-**","강원특별자치도 원주시 개운*길 **, *층 (개운동)","26444","주식회사 그린종합개발","2023-11-14 16:05:33","U","2023-11-16 02:40:00","","284856.114464186","426636.194944368","31","","0","","","","","저수조청소업",
"68","저수조청소업","09_30_14_P","4191000","419100031200100001","2018-11-21","","01","영업/정상","11","정상","","","","","033-762-4842","","","강원특별자치도 원주시 반곡동 ****-**","강원특별자치도 원주시 반곡길 ***-*, ***호 (반곡동)","26457","(주)청우환경","2023-07-25 11:16:31","U","2023-07-27 02:40:00","","285746.917518438","426054.136160507","31","","0","","","","","저수조청소업",
"69","저수조청소업","09_30_14_P","4191000","419100031200200002","2007-12-26","","01","영업/정상","11","정상","","","","","744-8582","","","강원특별자치도 원주시 단계동 ****","강원특별자치도 원주시 모래내길 * (단계동)","","세화종합환경","2025-01-08 13:52:13","U","2025-01-10 02:40:00","","282706.464936001","428452.388856844","31","","0","","","","","저수조청소업",
"70","저수조청소업","09_30_14_P","4191000","419100031200300002","2016-06-14","","01","영업/정상","11","정상","","","","","731-0015","","","강원특별자치도 원주시 단계동 ***-*","강원특별자치도 원주시 장미공원길 **-*, ***호 (단계동)","","(합) 국토개발","2023-06-01 13:49:57","I","2023-06-13 00:00:00","","282299.444117785","427499.942711321","31","","0","","","","","저수조청소업",
"71","저수조청소업","09_30_14_P","4191000","419100031200400002","2007-12-21","","01","영업/정상","11","정상","","","","","743-2361","","","강원특별자치도 원주시 무실동 ****-* *층","강원특별자치도 원주시 행가리*길 **, *층 (무실동)","26396","한국환경","2025-10-31 11:00:44","U","2025-11-02 02:40:00","","281001.086170799","424327.908793349","31","","0","","","","","저수조청소업",
"72","저수조청소업","09_30_14_P","4191000","419100031200500001","2015-05-07","","01","영업/정상","11","정상","","","","","033)765-7474","","","강원특별자치도 원주시 지정면 신평리 ***-*","강원특별자치도 원주시 지정면 신무로 **-*","26348","(주)청코리아","2024-11-20 15:02:36","U","2024-11-22 02:40:00","","279567.331726795","428985.050326803","31","","0","","","","","저수조청소업",
"73","저수조청소업","09_30_14_P","4191000","419100031200600003","2014-07-09","","01","영업/정상","11","정상","","","","","033)761-1005","","","강원특별자치도 원주시 단구동 ****-**","강원특별자치도 원주시 천매봉길 ** (단구동)","","(주)명진이엔지","2023-11-14 16:44:28","U","2023-11-16 02:40:00","","283464.898261386","425192.898460845","31","","0","","","","","저수조청소업",
