"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"11","동물미용업","02_03_11_P","4181000","418000004920180052","2018-10-30","","01","영업/정상","0000","정상","","","","","2632689","0","","강원특별자치도 춘천시 칠전동 ***-**","강원특별자치도 춘천시 칠전서길 **-*, *층 (칠전동)","24457","해피멍","2022-04-28 18:08:57","I","2023-06-13 00:00:00","","262667.421049655","482481.266247572","동물미용업","동물미용업(일반)","000","0",
"12","동물미용업","02_03_11_P","4181000","418000004920180053","2018-11-01","","01","영업/정상","0000","정상","","","","","2627516","0","","강원특별자치도 춘천시 동내면 거두리 ****-*","강원특별자치도 춘천시 동내면 외솔길**번길 **-**, *층 *호","24401","개설렘","2025-03-26 17:56:12","U","2025-03-28 02:40:00","","266704.433312583","484186.812481562","동물미용업","동물미용업(일반)","000","0",
"13","동물미용업","02_03_11_P","4181000","418000004920180057","2018-12-26","","01","영업/정상","0000","정상","","","","","033-818-0975","0","","강원특별자치도 춘천시 퇴계동 ***-**","강원특별자치도 춘천시 안마산로 *** (퇴계동)","24422","고려동물병원","2024-01-18 13:36:01","U","2024-01-20 02:40:00","","264639.498608464","483424.123688559","동물미용업","동물미용업(일반)","000","0",
"14","동물미용업","02_03_11_P","4181000","418000004920190003","2019-03-14","","01","영업/정상","0000","정상","","","","","033-256-0454","0","","강원특별자치도 춘천시 효자동 ***-*","강원특별자치도 춘천시 효자로 **-* (효자동)","24336","뚜뚜애견","2022-04-28 18:08:57","I","2023-06-13 00:00:00","","264388.452115642","485689.406763123","동물미용업","동물미용업(일반)","000","0",
"15","동물미용업","02_03_11_P","4181000","418000004920190005","2019-03-18","","01","영업/정상","0000","정상","","","","","033-243-7511","0","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 춘천로 ***-* (후평동)","24256","하나동물병원","2022-04-28 18:08:57","I","2023-06-13 00:00:00","","265474.317006275","486750.493543715","동물미용업","동물미용업(일반)","000","0",
"16","동물미용업","02_03_11_P","4181000","418000004920190008","2019-05-17","","01","영업/정상","0000","정상","","","","","033-257-7533","0","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 공지로 ***(석사동)","24387","미래종합동물병원","2022-04-28 18:08:57","I","2023-06-13 00:00:00","","265448.34244046","484406.584828884","동물미용업","동물미용업(일반)","000","0",
"17","동물미용업","02_03_11_P","4181000","418000004920190009","2019-07-05","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 퇴계동 ****","강원특별자치도 춘천시 지석로 **-**, A동 *층 **호 (퇴계동)","24420","프리티 도그","2022-04-28 18:08:57","I","2023-06-13 00:00:00","","265346.955057411","483293.365700144","동물미용업","동물미용업(일반)","000","0",
"18","동물미용업","02_03_11_P","4181000","418000004920180011","2018-04-10","","01","영업/정상","0000","정상","","","","","033-253-3523","0","","강원특별자치도 춘천시 조양동 ***-*","강원특별자치도 춘천시 중앙로**번길 *, *층 (조양동)","24353","히포코코","2022-04-28 18:08:56","I","2023-06-13 00:00:00","","263907.525093906","486490.624417762","동물미용업","동물미용업(일반)","000","0",
"19","동물미용업","02_03_11_P","4181000","418000004920180019","2018-04-24","","01","영업/정상","0000","정상","","","","","033-256-2744","0","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 춘천로 *** (후평동)","24257","현대애견사료","2022-04-28 18:08:56","I","2023-06-13 00:00:00","","265284.969468858","486645.369481824","동물미용업","동물미용업(일반)","000","0",
"20","동물미용업","02_03_11_P","4181000","418000004920180020","2018-04-30","","01","영업/정상","0000","정상","","","","2025-01-01","033-263-0513","0","","강원특별자치도 춘천시 석사동 ***-**","강원특별자치도 춘천시 우석로 **, *층 (석사동)","24326","강남종합동물병원 미용실","2025-01-11 16:16:00","U","2025-01-13 02:40:00","","265926.691030073","484746.655438816","동물미용업","동물미용업(일반)","000","0",
"21","동물미용업","02_03_11_P","4181000","418000004920180033","2018-09-05","","01","영업/정상","0000","정상","","","","","0332415896","0","","강원특별자치도 춘천시 효자동 ***-**","강원특별자치도 춘천시 춘천로 ***-* (효자동)","24292","멍군애견","2022-04-28 18:08:56","I","2023-06-13 00:00:00","","265180.276300152","486528.606721984","동물미용업","동물미용업(일반)","000","0",
"22","동물미용업","02_03_11_P","4181000","418000004920180034","2018-09-10","","01","영업/정상","0000","정상","","","","","033-262-9070","0","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 퇴계로 *** (석사동)","24390","봄내동물병원","2022-04-28 18:08:56","I","2023-06-13 00:00:00","","265328.029153914","484018.373448398","동물미용업","동물미용업(일반)","000","0",
"23","동물미용업","02_03_11_P","4181000","418000004920180035","2018-09-20","","01","영업/정상","0000","정상","","","","","912-0033","0","","강원특별자치도 춘천시 퇴계동 ***-**","강원특별자치도 춘천시 행촌로 **-* (퇴계동)","24442","더 독","2022-04-28 18:08:56","I","2023-06-13 00:00:00","","263750.157864317","484435.973237924","동물미용업","동물미용업(일반)","000","0",
"24","동물미용업","02_03_11_P","4181000","418000004920180036","2018-09-20","","01","영업/정상","0000","정상","","","","","255-7582","0","","강원특별자치도 춘천시 우두동 ****-**","강원특별자치도 춘천시 영서로 ****-* (우두동)","24237","땡큐동물병원","2022-04-28 18:08:56","I","2023-06-13 00:00:00","","263967.108460534","488778.950352363","동물미용업","동물미용업(일반)","000","0",
"25","동물미용업","02_03_11_P","4181000","418000004920180039","2018-09-20","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 온의동 ***-**","강원특별자치도 춘천시 영서로 ****, *층 (온의동)","24435","소망애견미용실","2022-04-28 18:08:57","I","2023-06-13 00:00:00","","263289.853576607","485005.955439961","동물미용업","동물미용업(일반)","000","0",
"26","동물미용업","02_03_11_P","4181000","418000004920180040","2018-09-20","","01","영업/정상","0000","정상","","","","","261-9119","0","","강원특별자치도 춘천시 칠전동 ***-*","강원특별자치도 춘천시 칠전서길 **-** (칠전동)","24457","충무로애견","2022-04-28 18:08:57","I","2023-06-13 00:00:00","","262703.645","482414.78","동물미용업","동물미용업(일반)","000","0",
"27","동물미용업","02_03_11_P","4181000","418000004920180043","2018-09-27","","01","영업/정상","0000","정상","","","","","2418233","0","","강원특별자치도 춘천시 후평동 ***","강원특별자치도 춘천시 후석로***번길 **-*, *층 (후평동)","24233","엔젤펫","2022-04-28 18:08:57","I","2023-06-13 00:00:00","","266073.76701225","487858.789352542","동물미용업","동물미용업(일반)","000","0",
"28","동물미용업","02_03_11_P","4181000","418000004920180044","2018-09-27","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 동면 장학리 ***-**","강원특별자치도 춘천시 동면 뒷들길 *-*, *층","24233","트리밍101","2024-12-17 13:15:43","U","2024-12-19 02:40:00","","266222.442183744","488027.479880089","동물미용업","동물미용업(일반)","000","0",
"29","동물미용업","02_03_11_P","4181000","418000004920210018","2021-10-21","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 퇴계동 **** e편한세상 춘천 한숲시티","강원특별자치도 춘천시 안마산로 ***, e편한세상 춘천 한숲시티 상가 B동 *층 ***호 (퇴계동)","24448","멍블리 펫살롱","2022-04-28 18:08:59","I","2023-06-13 00:00:00","","264260.591704341","483777.59503768","동물미용업","동물미용업(일반)","000","0",
"30","동물미용업","02_03_11_P","4181000","418000004920210025","2021-12-09","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 퇴계동 ***-**","강원특별자치도 춘천시 행촌로 **, *층 (퇴계동)","24443","헤이! 멍","2022-04-28 18:08:59","I","2023-06-13 00:00:00","","263838.601799303","484567.074889405","동물미용업","동물미용업(일반)","000","0",
"31","동물미용업","02_03_11_P","4181000","418000004920220001","2022-01-19","","01","영업/정상","0000","정상","","","","","033-252-7543","0","","강원특별자치도 춘천시 우두동 ****-* 동부아파트 상가동 ***호","강원특별자치도 춘천시 충열로 **, 상가동 *층 ***호 (우두동, 동부아파트)","24230","루루펫살롱","2022-04-28 18:08:59","I","2023-06-13 00:00:00","","264352.72118995","488666.419220623","동물미용업","동물미용업(일반)","000","0",
"32","동물미용업","02_03_11_P","4181000","418000004920220006","2022-02-28","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 근화동 ***-*","강원특별자치도 춘천시 당간지주길 **(근화동)","24241","몽구리DOG","2022-04-28 18:08:59","I","2023-06-13 00:00:00","","263585.371336082","487980.714652331","동물미용업","동물미용업(일반)","000","0",
"33","동물미용업","02_03_11_P","4181000","418000004920220008","2022-04-27","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 퇴계동 **** ***호","강원특별자치도 춘천시 퇴계로 ***-**, ***호 (퇴계동)","24380","몽실","2024-10-30 16:12:14","U","2024-11-01 02:40:00","","264595.943422725","484556.049442758","동물미용업","동물미용업(일반)","000","0",
"34","동물미용업","02_03_11_P","4181000","418000004920220009","2022-05-09","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 퇴계동 *** 홈플러스 *층","강원특별자치도 춘천시 김유정로 ****, 홈플러스 *층 (퇴계동)","24423","몽스파","2022-05-09 09:45:49","I","2023-06-13 00:00:00","","264597.191878957","483368.29049207","동물미용업","동물미용업(일반)","000","0",
"35","동물미용업","02_03_11_P","4181000","418000004920220010","2022-06-17","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 동면 만천리 ***-* , *층","강원특별자치도 춘천시 동면 만천로***번길 *, *층","24216","멍장원","2023-06-26 09:32:20","U","2023-06-28 02:40:00","","266674.154019643","486896.170908384","동물미용업","동물미용업(일반)","000","0",
"36","동물미용업","02_03_11_P","4181000","418000004920220011","2022-09-23","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 스무숲*길 **(석사동)","24416","이코그루밍","2022-09-23 17:04:12","I","2023-06-13 00:00:00","","266148.71924173","483101.608668165","동물미용업","동물미용업(일반)","000","0",
"37","동물미용업","02_03_11_P","4181000","418000004920220012","2022-10-06","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 우두동 ****","강원특별자치도 춘천시 우두*길 **, ***호 (우두동)","24221","루비반지 PET SHOP 우두점","2022-10-06 13:01:22","I","2023-06-13 00:00:00","","264798.07590442","489729.908453491","동물미용업","동물미용업(일반)","000","0",
"38","동물미용업","02_03_11_P","4181000","418000004920220013","2022-10-27","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 퇴계동 ***-**","강원특별자치도 춘천시 국사봉길 **, ***호 (퇴계동)","24445","댕바이미","2022-10-27 12:54:04","I","2023-06-13 00:00:00","","264068.685660822","484318.869231943","동물미용업","동물미용업(일반)","000","0",
"39","동물미용업","02_03_11_P","4181000","418000004920220014","2022-11-02","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 석사동 ***-**","강원특별자치도 춘천시 우석로 **(석사동)","24320","개중목욕탕","2022-11-02 15:53:59","I","2023-06-13 00:00:00","","266261.559951467","485011.842064183","동물미용업","동물미용업(일반)","000","0",
"40","동물미용업","02_03_11_P","4181000","418000004920190015","2019-10-17","","01","영업/정상","0000","정상","","","","","033-256-6374","0","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 퇴계로 *** (퇴계동)","24377","멍개구름","2022-04-28 18:08:58","I","2023-06-13 00:00:00","","264616.881715034","484347.844707114","동물미용업","동물미용업(일반)","000","0",
"41","동물미용업","02_03_11_P","4181000","418000004920190018","2019-12-23","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 퇴계동 ****","강원특별자치도 춘천시 김유정로 ****, 세형리첼상가 *층 ***호 (퇴계동)","24422","시시푸","2022-04-28 18:08:58","I","2023-06-13 00:00:00","","264663.753257284","483609.024960168","동물미용업","동물미용업(일반)","000","0",
"42","동물미용업","02_03_11_P","4181000","418000004920190020","2019-12-30","","01","영업/정상","0000","정상","","","","","033-242-8833","0","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 춘천로 ***, *층 (후평동)","24256","고Dog","2022-04-28 18:08:58","I","2023-06-13 00:00:00","","265547.820653329","486793.557820482","동물미용업","동물미용업(일반)","000","0",
"43","동물미용업","02_03_11_P","4181000","418000004920190021","2019-12-30","","01","영업/정상","0000","정상","","","","","033-263-9209","0","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 춘천로 ***, *층 (후평동)","24292","송원애견의집","2024-11-26 11:11:43","U","2024-11-28 02:40:00","","265286.473206589","486587.432015705","동물미용업","동물미용업(일반)","000","0",
"44","동물미용업","02_03_11_P","4181000","418000004920200012","2020-08-21","","01","영업/정상","0000","정상","","","","","033-242-3636","0","","강원특별자치도 춘천시 동면 만천리 ***-*","강원특별자치도 춘천시 동면 만천로 ***","24216","독스앤휴먼","2022-04-28 18:08:58","I","2023-06-13 00:00:00","","266413.284572076","487188.607000607","동물미용업","동물미용업(일반)","000","0",
"45","동물미용업","02_03_11_P","4181000","418000004920200014","2020-09-25","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 후석로 ***, *층 (후평동)","24312","애견아롬샵","2022-04-28 18:08:58","I","2023-06-13 00:00:00","","266167.438275898","485999.679579667","동물미용업","동물미용업(일반)","000","0",
"46","동물미용업","02_03_11_P","4181000","418000004920220015","2022-12-14","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 남춘로**번길 **-*, *층 (퇴계동)","24380","멍데이","2022-12-14 10:18:16","I","2023-06-13 00:00:00","","264653.06494486","484540.377775643","동물미용업","동물미용업(일반)","000","0",
"47","동물미용업","02_03_11_P","4181000","418000004920220016","2022-12-29","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 동면 장학리 ***-**","강원특별자치도 춘천시 동면 춘천순환로 ***-*","24210","멍사무소","2022-12-29 17:03:56","I","2023-06-13 00:00:00","","265909.900597532","490651.555485185","동물미용업","동물미용업(일반)","000","0",
"48","동물미용업","02_03_11_P","4181000","418000004920230001","2023-04-18","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 우석로***번길 **, *층 (석사동)","24320","멍뭉이발소","2023-04-18 09:09:21","I","2023-06-13 00:00:00","","266443.17576386","485234.879872199","동물미용업","동물미용업(일반)","000","0",
"49","동물미용업","02_03_11_P","4181000","418000004920230002","2023-06-02","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 효자동 ***-** 윤일아파트","강원특별자치도 춘천시 효석로*번길 *, *층 점포*호 (효자동, 윤일아파트)","24374","멍포유","2023-06-02 12:46:59","I","2023-06-13 00:00:00","","264480.184827731","484904.506950679","동물미용업","동물미용업(일반)","000","0",
"50","동물미용업","02_03_11_P","4181000","418100004920240007","2024-08-22","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 후만로 ** (후평동)","24283","아담펫","2024-08-22 11:17:58","I","2024-08-24 00:13:14","","266033.022699793","486149.724174877","동물미용업","동물미용업(일반)","000","0",
"51","동물미용업","02_03_11_P","4181000","418100004920240008","2024-09-13","","01","영업/정상","0000","정상","","","","","0332522577","0","","강원특별자치도 춘천시 우두동 ****-* ***호","강원특별자치도 춘천시 우두*길 **, ***호 (우두동)","24221","펫러버 그루밍","2024-09-13 15:06:05","I","2024-09-15 00:12:55","","264855.803550041","489812.23872431","동물미용업","동물미용업(일반)","000","0",
"52","동물미용업","02_03_11_P","4181000","418100004920240006","2024-06-12","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 온의동 *** 춘천 센트럴타워 푸르지오","강원특별자치도 춘천시 방송길 **, 춘천 센트럴타워 푸르지오 *층 ****호 (온의동, 춘천 센트럴타워 푸르지오)","24363","멍집사","2024-06-12 17:35:23","I","2024-06-14 00:14:14","","263345.431242431","485397.525389929","동물미용업","동물미용업(일반)","000","0",
"53","동물미용업","02_03_11_P","4181000","418100004920240004","2024-05-24","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 후만로***번길 **-*, *층 (후평동)","24307","다원하개","2024-05-24 12:56:49","I","2024-05-26 00:14:47","","266579.85950682","486213.382062095","동물미용업","동물미용업(일반)","000","0",
"54","동물미용업","02_03_11_P","4181000","418100004920240005","2024-05-29","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 후평동 **-**","강원특별자치도 춘천시 서부대성로***번길 **-*, *층 (후평동)","24280","후평펫살롱","2024-05-29 09:51:52","I","2024-05-31 00:14:47","","265682.851917752","486238.014716027","동물미용업","동물미용업(일반)","000","0",
"55","동물미용업","02_03_11_P","4181000","418100004920240001","2024-01-17","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 퇴계동 **** 유승한내들아파트","강원특별자치도 춘천시 퇴계로 ***, 유승한내들아파트 ***호 (퇴계동)","24377","뭉치, 그루밍","2024-01-17 10:12:51","I","2024-01-20 00:16:22","","264346.973383921","484543.585206646","동물미용업","동물미용업(일반)","000","0",
"56","동물미용업","02_03_11_P","4181000","418100004920240002","2024-01-26","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 삼천동 *** 춘천파크자이(자이상가) ***호","강원특별자치도 춘천시 스포츠타운길 ***, 춘천파크자이(자이상가) *층 ***호 (삼천동)","24472","댕댕하개","2024-01-26 09:30:02","I","2024-01-28 00:16:10","","262236.027353812","485157.316438971","동물미용업","동물미용업(일반)","000","0",
"57","동물미용업","02_03_11_P","4181000","418100004920240003","2024-03-19","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 춘천로 ***-*, *층 (후평동)","24257","다듬","2024-03-19 10:57:10","I","2024-03-21 00:15:26","","265229.569184325","486606.869728906","동물미용업","동물미용업(일반)","000","0",
"58","동물미용업","02_03_11_P","4181000","418100004920250007","2025-08-14","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 퇴계로 ***, *층 (퇴계동)","24380","뽀독뽀독 : 반려견미용실","2025-08-14 09:02:25","I","2025-08-17 00:20:12","","264642.39","484378.805","동물미용업","동물미용업(일반)","000","0",
"59","동물미용업","02_03_11_P","4181000","418100004920250008","2025-09-17","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 스무숲*길 **, *층 (석사동)","24416","몽슈펫","2025-09-17 08:40:51","I","2025-09-20 00:20:02","","265865.59","483335.38","동물미용업","동물미용업(일반)","000","0",
"60","동물미용업","02_03_11_P","4181000","418100004920250006","2025-07-30","","01","영업/정상","0000","정상","","","","","033-255-7583","0","","강원특별자치도 춘천시 온의동 **-* ***호","강원특별자치도 춘천시 스포츠타운길 ***, ***호 (온의동)","24431","햇살동물병원","2025-07-30 10:58:57","I","2025-08-01 00:20:35","","262522.322991753","485110.762832986","동물미용업","동물미용업(일반)","000","0",
"61","동물미용업","02_03_11_P","4181000","418100004920250005","2025-06-13","","01","영업/정상","0000","정상","","","","","033-244-5906","0","","강원특별자치도 춘천시 퇴계동 *** 현대*차아파트","강원특별자치도 춘천시 행촌로 **, 상가동 ***호 (퇴계동, 현대*차아파트)","24453","슈나애견미용","2025-06-13 16:57:10","I","2025-06-15 00:20:02","","263621.120421684","484144.713945217","동물미용업","동물미용업(일반)","000","0",
"62","동물미용업","02_03_11_P","4181000","418100004920250003","2025-03-07","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 온의동 *** 금호*차아파트 상가***호","강원특별자치도 춘천시 영서로 ****, 상가 ***호 (온의동, 금호*차아파트)","24433","몽글몽글","2025-03-07 14:24:12","I","2025-03-09 00:10:36","","262967.157010899","485135.263203915","동물미용업","동물미용업(일반)","000","0",
"63","동물미용업","02_03_11_P","4181000","418100004920250002","2025-02-25","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 석사동 ***-* ***호","강원특별자치도 춘천시 안마산로 ***, ***호 (석사동)","24417","솜뭉치","2025-02-25 11:07:25","I","2025-02-27 00:10:36","","265740.865735978","483228.632420712","동물미용업","동물미용업(일반)","000","0",
"64","동물미용업","02_03_11_P","4181000","418100004920250004","2025-04-11","","01","영업/정상","0000","정상","","","","","033-244-0343","0","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 후만로 **, *층 (후평동)","24304","흰그루밍","2025-04-11 11:32:48","I","2025-04-13 00:10:20","","266346.044832277","486261.196257565","동물미용업","동물미용업(일반)","000","0",
"65","동물미용업","02_03_11_P","4181000","418100004920250001","2025-01-16","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 석사동 ***-** ***호","강원특별자치도 춘천시 퇴계로 ***, ***호 (석사동)","24390","포댕포댕","2025-01-16 15:42:20","I","2025-01-18 00:11:10","","265515.939196104","483956.545420775","동물미용업","동물미용업(일반)","000","0",
"66","동물미용업","02_03_11_P","4181000","418000004920210005","2021-05-21","","03","폐업","0002","폐업","2024-01-03","","","","","0","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 춘천로 *** (후평동)","24291","동그리펫","2024-11-13 16:33:02","U","2024-11-15 02:40:00","","265406.4555219","486652.45895514","동물미용업","동물미용업(일반)","000","0",
"67","동물미용업","02_03_11_P","4181000","418000004920190004","2019-03-18","","03","폐업","0002","폐업","2023-09-11","","","","","0","","강원특별자치도 춘천시 퇴계동 ***-* 그린타운아파트","강원특별자치도 춘천시 춘주로 ***, 상가동 *층 ***호 (퇴계동, 그린타운아파트)","24450","MR. Park Pet Shop","2023-09-25 13:21:37","U","2023-09-27 02:40:00","","263969.689717852","484117.82646055","동물미용업","동물미용업(일반)","000","0",
"68","동물미용업","02_03_11_P","4181000","418000004920180015","2018-04-11","","03","폐업","0002","폐업","","","","","033-251-4446","0","","강원특별자치도 춘천시 동면 장학리 ***-*","강원특별자치도 춘천시 동면 춘천로 ***","24213","개네집","2022-04-28 18:08:56","I","2023-06-13 00:00:00","","266859.107975486","488253.798895921","동물미용업","동물미용업(일반)","000","0",
"69","동물미용업","02_03_11_P","4181000","418000004920180021","2018-04-30","","03","폐업","0002","폐업","2024-09-20","","","","033-261-8787","0","","강원특별자치도 춘천시 근화동 ***-*","강원특별자치도 춘천시 영서로****번길 *, *층 (근화동)","24246","애지중지","2024-12-27 14:57:15","U","2024-12-29 02:40:00","","262636.966483916","486205.508946356","동물미용업","동물미용업(일반)","000","0",
