"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"11","의원","01_01_02_P","4181000","PHMA119984180029041100011","1998-12-15","","03","폐업","03","폐업","2023-01-20","","","","033-244-7589","","","","강원특별자치도 춘천시 춘천로 313 (후평동)","24256","강원한의원","2023-01-20 11:34:16","I","2023-06-13 00:00:00","한의원","265675.765108433","486865.047513948","한의원","2","0","0","150","308 307 306 305 304 303 302 301","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"12","의원","01_01_02_P","4181000","PHMA119994180029041100003","1999-03-10","","03","폐업","03","폐업","2024-03-01","","","","033-253-5566","","","","강원특별자치도 춘천시 충열로79번길 37 (우두동)","24226","하나한의원","2024-03-12 13:06:51","U","2024-03-14 02:40:00","한의원","264386.876770642","488839.474051973","한의원","1","0","0","89","301 302 303 304 305 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과","","","","0","0","","","0","",
"13","의원","01_01_02_P","4181000","PHMA120004180029041100012","2000-06-17","","03","폐업","03","폐업","2024-07-30","","","","033-242-2870","","","강원특별자치도 춘천시 효자3동756-6(4층)","강원특별자치도 춘천시 춘천로 249 (효자동)","24257","열린치과의원","2024-07-26 09:05:47","U","2024-07-28 02:40:00","치과의원","265143.333605298","486556.518369289","치과의원","1","0","0","141.8","401","치과","","","","0","0","","","0","",
"14","의원","01_01_02_P","4181000","PHMA120004180029041100017","2000-10-13","","03","폐업","03","폐업","2010-02-21","","","","","","","강원특별자치도 춘천시 석사동807-3","강원특별자치도 춘천시 후석로 16 (석사동)","200-936","김경희소아과의원","2013-12-17 11:08:50","I","2023-06-13 00:00:00","의원","265045.953329588","484018.19504272","의원","1","0","0","71.68","111 101 113","내과, 소아청소년과, 이비인후과","","","","0","0","","","0","",
"15","의원","01_01_02_P","4181000","PHMA120004180029041100018","2000-10-17","","03","폐업","03","폐업","2018-09-17","","","","033)256-5688","","","강원특별자치도 춘천시 중앙로2가 95번지","강원특별자치도 춘천시 중앙로 60, 1층 (중앙로2가)","24273","영인의원","2018-09-13 20:09:42","I","2023-06-13 00:00:00","의원","263880.346242301","486625.49210852","의원","1","0","0","165.3","111 101 114","내과, 소아청소년과, 피부과","","","","0","0","","","0","",
"16","의원","01_01_02_P","4181000","PHMA119974180029041100010","1997-12-27","","03","폐업","03","폐업","2012-06-01","","","","033)255-8132","","","강원특별자치도 춘천시 중앙로2가43-7","","","늘하얀치과의원","2012-06-04 11:11:09","I","2023-06-13 00:00:00","치과의원","","","치과의원","1","0","0","75.5","401","치과","","","","0","0","","","0","",
"17","의원","01_01_02_P","4181000","PHMA119984180029041100002","1998-02-04","","03","폐업","03","폐업","2011-04-25","","","","","","","강원특별자치도 춘천시 신동 10-1","","","국군춘천한의원","2011-04-29 11:35:23","I","2023-06-13 00:00:00","한의원","","","한의원","1","0","0","25.8","301 303 308","한방내과, 한방소아과, 침구과","","","","0","0","","","0","",
"18","의원","01_01_02_P","4181000","PHMA120164180029041100002","2016-01-18","","03","폐업","03","폐업","2016-12-17","","","","033-256-4450","","","강원특별자치도 춘천시 중앙로3가 60번지 9호","강원특별자치도 춘천시 중앙로 97 (중앙로3가)","24357","예은통증의학과의원","2016-12-26 11:46:34","I","2023-06-13 00:00:00","의원","263636.749681579","486317.7348526","의원","1","0","0","151","109","마취통증의학과","","","","0","0","","","0","",
"19","의원","01_01_02_P","4181000","PHMA120164180029041100003","2016-02-03","","03","폐업","03","폐업","2021-07-22","","","","033-253-7575","","","강원특별자치도 춘천시 온의동 589번지 2호","강원특별자치도 춘천시 방송길 104 (온의동, 스카이빌딩 5층)","24364","박영준이비인후과의원","2021-11-29 14:22:56","I","2023-06-13 00:00:00","의원","263367.468807365","485228.657869581","의원","3","0","0","211","113","이비인후과","","","","0","0","","","0","",
"20","의원","01_01_02_P","4181000","PHMA119994180029041100004","1999-03-19","","03","폐업","03","폐업","2012-03-01","","","","033)260-7201","","","강원특별자치도 춘천시 석사동166","강원특별자치도 춘천시 영서로 1925-9 (석사동)","200-933","춘천의원","2012-02-29 11:28:43","I","2023-06-13 00:00:00","의원","266376.227610157","482956.40574868","의원","1","0","0","251.19","104 122 124 101 105","내과, 외과, 정형외과, 가정의학과, 직업환경의학과","","","","0","0","","","0","",
"21","의원","01_01_02_P","4181000","PHMA119994180029041100005","1999-04-20","","03","폐업","03","폐업","2020-08-25","","","","033-259-8105","","","","강원특별자치도 춘천시 금강로 39 (낙원동)","","한국종합의원","2020-08-25 14:41:56","I","2023-06-13 00:00:00","의원","","","의원","5","0","0","360.93","101","내과","","","","0","0","","","0","",
"22","의원","01_01_02_P","4181000","PHMA119994180029041100008","1999-05-01","","03","폐업","03","폐업","2025-06-02","","","","033-242-4020","","","강원특별자치도 춘천시 조양동49-11","강원특별자치도 춘천시 금강로 72 (조양동)","24353","이봉휘내과의원","2025-09-08 11:39:25","U","2025-09-10 02:40:00","의원","264058.930640693","486500.930218043","의원","1","0","0","126.48","101 111","내과, 소아청소년과","","","","0","0","","","0","",
"23","의원","01_01_02_P","4181000","PHMA119994180029041100009","1999-05-10","","03","폐업","03","폐업","2012-11-26","","","","033)248-7500","","","강원특별자치도 춘천시 후평동 704-22(2.4,5층)","강원특별자치도 춘천시 후석로 355 (후평동)","200-959","하나산부인과의원","2013-02-25 14:58:15","I","2023-06-13 00:00:00","의원","265715.434621755","486913.700483201","의원","2","7","10","401","110 114","산부인과, 피부과","","","","0","0","","","0","",
"24","의원","01_01_02_P","4181000","PHMA119994180029041100012","1999-06-02","","03","폐업","03","폐업","2013-06-05","","","","033)241-7788","","","강원특별자치도 춘천시 조양동49-11외","강원특별자치도 춘천시 금강로 72 (조양동)","200-941","남동우성형외과의원","2013-07-05 16:47:39","I","2023-06-13 00:00:00","의원","264058.930640693","486500.930218043","의원","1","0","0","72.44","108","성형외과","","","","0","0","","","0","",
"25","의원","01_01_02_P","4181000","PHMA119994180029041100013","1999-07-06","","03","폐업","03","폐업","2013-07-23","","","","033)262-0428","","","강원특별자치도 춘천시 석사동696-5","강원특별자치도 춘천시 벌말길 94 (석사동)","200-936","석사치과의원","2013-07-23 14:08:00","I","2023-06-13 00:00:00","치과의원","265185.75058145","484600.636538686","치과의원","1","0","0","68.3","401","치과","","","","0","0","","","0","",
"26","의원","01_01_02_P","4181000","PHMA120004180029041100001","2000-01-03","","03","폐업","03","폐업","2013-02-01","","","","033)255-1177","","","강원특별자치도 춘천시 운교동191-1","강원특별자치도 춘천시 서부대성로 127 (운교동)","200-080","한림정형외과의원","2013-02-01 10:33:45","I","2023-06-13 00:00:00","의원","264542.09379899","486465.934886601","의원","1","6","23","540.62","105 106 104","외과, 정형외과, 신경외과","","","","0","0","","","0","",
"27","의원","01_01_02_P","4181000","PHMA120164180029041100007","2016-06-21","","03","폐업","03","폐업","2021-06-04","","","","033)251-9479","","","강원특별자치도 춘천시 퇴계동 255번지 6호","강원특별자치도 춘천시 영서로2141번길 13 (퇴계동)","24432","굿모닝의원","2021-06-03 17:55:17","I","2023-06-13 00:00:00","의원","264611.71073691","484061.148299041","의원","1","8","28","801.95","105 101","내과, 정형외과","","","","0","0","","","0","",
"28","의원","01_01_02_P","4181000","PHMA120174180029041100012","2017-11-20","","03","폐업","03","폐업","2020-10-28","","","","03)263-3375","","","강원특별자치도 춘천시 퇴계동 72번지 6호 1층","강원특별자치도 춘천시 안마산로 222, 1층 (퇴계동)","24424","오렌지한의원","2020-10-28 14:19:49","I","2023-06-13 00:00:00","한의원","264915.542874967","483213.748075801","한의원","1","0","0","177","308 307 306 305 304 303 302 301","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"29","의원","01_01_02_P","4181000","PHMA120174180029041100013","2017-12-08","","03","폐업","03","폐업","2020-01-01","","","","033)261-7400","","","강원특별자치도 춘천시 퇴계동 1012번지 2층","강원특별자치도 춘천시 안마산로 219, 2층 (퇴계동)","24421","라파스가정의학과의원","2019-12-26 17:50:53","I","2023-06-13 00:00:00","의원","264924.580579172","483260.162297667","의원","1","0","0","60","122","가정의학과","","","","0","0","","","0","",
"30","의원","01_01_02_P","4181000","PHMA120184180029041100008","2018-06-14","","03","폐업","03","폐업","2019-07-02","","","","033)263-7217","","","강원특별자치도 춘천시 동내면 거두리 929번지 3호 2층","강원특별자치도 춘천시 동내면 공지로 76, 2층","24404","SC알통가정의학과의원","2019-06-26 10:55:14","I","2023-06-13 00:00:00","의원","266028.169105689","483770.66058789","의원","2","0","0","148.8","122 115 114 113 111 102 101","내과, 신경과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 가정의학과","","","","0","0","","","0","",
"31","의원","01_01_02_P","4181000","PHMA120184180029041100005","2018-04-11","","03","폐업","03","폐업","2018-10-19","","","","033)263-5454","","","강원특별자치도 춘천시 동산면 원창리 213번지 36호 1층","강원특별자치도 춘천시 동산면 영서로 1428, 1층","24409","춘천사랑의원","2018-10-20 11:13:54","I","2023-06-13 00:00:00","의원","267656.746866989","479323.716386517","의원","1","6","10","499","122","가정의학과","","","","0","0","","","0","",
"32","의원","01_01_02_P","4181000","PHMA120184180029041100011","2005-03-30","","03","폐업","03","폐업","2019-01-18","","","","033-253-8150","","","강원특별자치도 춘천시 중앙로2가 5번지 1호","강원특별자치도 춘천시 중앙로 55 (중앙로2가)","24353","경희소망한의원","2019-01-21 09:01:35","I","2023-06-13 00:00:00","한의원","263947.317176957","486634.615565503","한의원","1","0","0","100.1","308 307 306 305 304 303 302 301","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"33","의원","01_01_02_P","4181000","PHMA120074180029041100004","2007-05-02","","03","폐업","03","폐업","2014-03-31","","","","033-264-3337","","","강원특별자치도 춘천시 동내면거두리912-4(3층)","강원특별자치도 춘천시 동내면 춘천순환로 67","200-883","키사랑한의원","2014-03-31 16:35:46","I","2023-06-13 00:00:00","한의원","266058.845084049","483979.379427934","한의원","1","0","0","297","301 303 308 302 307","한방내과, 한방부인과, 한방소아과, 사상체질과, 침구과","","","","0","0","","","0","",
"34","의원","01_01_02_P","4181000","PHMA120074180029041100006","2007-11-13","","03","폐업","03","폐업","2008-09-30","","","","","","","강원특별자치도 춘천시 중앙로3가 66.66-1","강원특별자치도 춘천시 중앙로 127 (중앙로3가)","200-043","춘천동양의원","2013-12-17 10:57:47","I","2023-06-13 00:00:00","의원","263369.536645376","486169.445024671","의원","1","0","0","112.8","101 104 105","내과, 외과, 정형외과","","","","0","0","","","0","",
"35","의원","01_01_02_P","4181000","PHMA120074180029041100008","2007-12-17","","03","폐업","03","폐업","2016-12-15","","","","033)241-1075","","200-043","강원특별자치도 춘천시 중앙로3가 60번지 11호","강원특별자치도 춘천시 망대길 5 (중앙로3가)","24357","감초한의원","2016-12-15 10:25:45","I","2023-06-13 00:00:00","한의원","263621.218693214","486283.691832178","한의원","1","0","0","186","301 303 308","한방내과, 한방소아과, 침구과","","","","0","0","","","0","",
"36","의원","01_01_02_P","4181000","PHMA120084180029041100006","2008-05-21","","03","폐업","03","폐업","2020-02-27","","","","033)241-0094","","","강원특별자치도 춘천시 조양동 49-5","강원특별자치도 춘천시 금강로 68-2 (조양동)","24353","피부사랑피부과의원","2020-02-27 14:46:06","I","2023-06-13 00:00:00","의원","264032.128601882","486539.801803821","의원","1","0","0","125","114 101","내과, 피부과","","","","0","0","","","0","",
"37","의원","01_01_02_P","4181000","PHMA120164180029041100011","2016-11-08","","03","폐업","03","폐업","2017-04-13","2017-05-01","2017-06-07","","033)255-9772","","","강원특별자치도 춘천시 온의동 65번지 24호","강원특별자치도 춘천시 스포츠타운길 529-1 (온의동)","24429","제중한의원","2017-04-13 16:58:48","I","2023-06-13 00:00:00","한의원","262786.384052405","485377.207378144","한의원","1","0","0","123","301 302 303 304 305 306 307 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"38","의원","01_01_02_P","4181000","PHMA120174180029041100003","2017-03-02","","03","폐업","03","폐업","2021-03-29","","","","033-244-1075","","","","강원특별자치도 춘천시 망대길 5 (중앙로3가)","24357","새봄한의원","2021-03-29 14:10:25","I","2023-06-13 00:00:00","한의원","263621.218693214","486283.691832178","한의원","1","0","0","110","301 302 303 304 305 306 307 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"39","의원","01_01_02_P","4181000","PHMA120174180029041100001","2017-01-05","","03","폐업","03","폐업","2017-03-31","","","","033)263-8575","","","강원특별자치도 춘천시 석사동 888번지 1호 스타플러스빌딩 4층","강원특별자치도 춘천시 퇴계농공로 11 (석사동)","24415","영한의원","2017-04-03 08:48:13","I","2023-06-13 00:00:00","한의원","265505.402588364","483523.913934339","한의원","1","0","0","117","308 307 306 305 304 303 302 301","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"40","의원","01_01_02_P","4181000","PHMA120144180029041100007","2014-04-30","","03","폐업","03","폐업","2017-06-17","","","","033)261-7400","","200-965","강원특별자치도 춘천시 퇴계동 1012번지","강원특별자치도 춘천시 안마산로 219 (퇴계동)","24421","김태균자연의원","2017-06-09 14:54:54","I","2023-06-13 00:00:00","의원","264924.580579172","483260.162297667","의원","1","0","0","150","122","가정의학과","","","","0","0","","","0","",
"41","의원","01_01_02_P","4181000","PHMA120144180029041100008","2014-04-30","","03","폐업","03","폐업","2020-05-10","","","","033)911-3355","","200-941","강원특별자치도 춘천시 조양동 26번지 1호","강원특별자치도 춘천시 시청길10번길 4-2, 2층 (조양동, 성림빌딩)","24352","BE 우리안과의원","2020-05-13 14:34:57","I","2023-06-13 00:00:00","의원","264023.873302893","486653.462466489","의원","6","0","0","300","112","안과","","","","0","0","","","0","",
"42","의원","01_01_02_P","4181000","PHMA120144180029041100005","2014-04-09","","03","폐업","03","폐업","2021-03-23","","","","033)252-2288","","","강원특별자치도 춘천시 동면 장학리 996번지 1호 2층","강원특별자치도 춘천시 동면 춘천로449번길 30, 2층","24209","투명치과의원","2021-06-21 11:38:12","I","2023-06-13 00:00:00","치과의원","266234.217405744","488288.568779746","치과의원","1","0","0","198","401","치과","","","","0","0","","","0","",
"43","의원","01_01_02_P","4181000","PHMA120144180029041100003","2014-03-04","","03","폐업","03","폐업","2025-06-30","","","","033-244-5755","","200-091","강원특별자치도 춘천시 효자동 692번지 12호","강원특별자치도 춘천시 공지로333번길 8 (효자동)","24365","세중힐링의원","2025-07-09 13:53:51","U","2025-07-12 02:40:00","의원","264047.053811186","485391.626069452","의원","1","0","0","94.08","122 114 101","내과, 피부과, 가정의학과","","","","0","0","","","0","",
"44","의원","01_01_02_P","4181000","PHMA120024180029041100004","2002-05-18","","03","폐업","03","폐업","2011-07-08","","","","","","","강원특별자치도 춘천시 우두동1052-32","강원특별자치도 춘천시 영서로 2763 (우두동)","200-940","삼성치과의원","2013-12-17 11:07:52","I","2023-06-13 00:00:00","치과의원","263980.960337547","488847.254955483","치과의원","1","0","0","58","401","치과","","","","0","0","","","0","",
"45","의원","01_01_02_P","4181000","PHMA120024180029041100006","2002-09-02","","03","폐업","03","폐업","2018-09-29","","","","033-262-7007","","","강원특별자치도 춘천시 석사동807-1","강원특별자치도 춘천시 후석로 22 (석사동)","24391","희망한의원","2018-10-01 15:42:06","I","2023-06-13 00:00:00","한의원","265076.189101837","484051.796456034","한의원","2","0","0","127.3","301 303 308 302 304 306","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방재활의학과, 침구과","","","","0","0","","","0","",
"46","의원","01_01_02_P","4181000","PHMA120024180029041100007","2002-09-06","","03","폐업","03","폐업","2015-08-21","","","","033-252-2190","","200-161","강원특별자치도 춘천시 후평1동 704번지 22호","강원특별자치도 춘천시 후석로 355 (후평동)","24256","후평하나소아과의원","2015-08-21 10:19:17","I","2023-06-13 00:00:00","의원","265715.434621755","486913.700483201","의원","1","0","0","43","101 111 104 105 113 114 115","내과, 외과, 정형외과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과","","","","0","0","","","0","",
"47","의원","01_01_02_P","4181000","PHMA120024180029041100008","2002-09-30","","03","폐업","03","폐업","2025-10-25","","","","033-262-1992","","","","강원특별자치도 춘천시 후석로 22 (석사동)","24391","예당치과의원","2025-10-24 16:57:05","U","2025-10-26 02:40:00","치과의원","265076.189101837","484051.796456034","치과의원","1","0","0","88","402 403 404 405 406 407 408 409 410 411 412","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"48","의원","01_01_02_P","4181000","PHMA120024180029041100009","2002-10-14","","03","폐업","03","폐업","2019-02-26","","","","033-262-4072","","","","강원특별자치도 춘천시 후석로 10 (석사동)","24391","태광한의원","2019-02-25 13:46:12","I","2023-06-13 00:00:00","한의원","264999.610634467","483966.088831635","한의원","1","0","0","118.3","301 302 303 304 305 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과","","","","0","0","","","0","",
"49","의원","01_01_02_P","4181000","PHMA120084180029041100011","2008-08-19","","03","폐업","03","폐업","2014-11-01","","","","033)256-4450","","","강원특별자치도 춘천시 중앙로 3가 60-9","강원특별자치도 춘천시 중앙로 97 (중앙로3가)","200-043","예은통증의학과의원","2014-11-03 10:36:50","I","2023-06-13 00:00:00","의원","263636.749681579","486317.7348526","의원","1","0","0","120","109","마취통증의학과","","","","0","0","","","0","",
"50","의원","01_01_02_P","4181000","PHMA119704180029041100001","1970-03-02","","03","폐업","03","폐업","2015-03-31","","","","033)254-5779","","","강원특별자치도 춘천시 운교동 181","강원특별자치도 춘천시 춘천로 174 (운교동)","200-080","이치과의원","2015-04-02 15:42:01","I","2023-06-13 00:00:00","치과의원","264456.250063118","486208.763233083","치과의원","1","0","0","128","401","치과","","","","0","0","","","0","",
"51","의원","01_01_02_P","4181000","PHMA119714180029041100002","1971-07-22","","03","폐업","03","폐업","2016-05-24","","","","033)252-5277","","","강원특별자치도 춘천시 중앙로 1가 87","강원특별자치도 춘천시 시청길 7 (중앙로1가)","24346","최치과의원","2016-05-25 09:09:17","I","2023-06-13 00:00:00","치과의원","264020.509309509","486688.510281119","치과의원","1","0","0","112.2","401","치과","","","","0","0","","","0","",
"52","의원","01_01_02_P","4181000","PHMA119764180029041100001","1976-04-08","","03","폐업","03","폐업","2020-02-01","","","","033)252-5248","","","강원특별자치도 춘천시 중앙로2가78-1","강원특별자치도 춘천시 중앙로 72 (중앙로2가)","24273","김병렬내과의원","2020-01-31 13:41:23","I","2023-06-13 00:00:00","의원","263796.162508801","486531.116221761","의원","2","0","0","191.4","115 101","내과, 비뇨의학과","","","","0","0","","","0","",
"53","의원","01_01_02_P","4181000","PHMA119784180029041100001","1978-03-03","","03","폐업","03","폐업","2014-08-01","","","","033)253-3029","","200-041","강원특별자치도 춘천시 중앙로1가 83번지 2층","강원특별자치도 춘천시 시청길 3 (중앙로1가,2층)","","비피메디컬의원","2014-08-01 17:01:02","I","2023-06-13 00:00:00","의원","264005.1526427","486692.047317743","의원","1","0","0","165","115 114","피부과, 비뇨의학과","","","","0","0","","","0","",
"54","의원","01_01_02_P","4181000","PHMA119784180029041100002","1978-05-04","","03","폐업","03","폐업","2025-09-25","","","","033-252-3662","","","","강원특별자치도 춘천시 중앙로 76 (중앙로2가)","24273","유영호치과의원","2025-09-25 17:48:46","U","2025-09-27 02:40:00","치과의원","263763.602222147","486491.877212787","치과의원","1","0","0","138","402 403 406 407 411","구강악안면외과, 치과보철과, 치주과, 치과보존과, 예방치과","","","","0","0","","","0","",
"55","의원","01_01_02_P","4181000","PHMA119784180029041100003","1978-07-15","","03","폐업","03","폐업","2011-05-02","","","","","","","강원특별자치도 춘천시 중앙로2가87-2","강원특별자치도 춘천시 중앙로 64 (중앙로2가)","200-042","김이비인후과의원","2013-12-17 11:14:32","I","2023-06-13 00:00:00","의원","263852.131869105","486590.884440476","의원","1","0","0","89.1","113","이비인후과","","","","0","0","","","0","",
"56","의원","01_01_02_P","4181000","PHMA119814180029041100001","1981-04-06","","03","폐업","03","폐업","2013-05-30","","","","033)257-8957","","","강원특별자치도 춘천시 조양동 49-2","강원특별자치도 춘천시 금강로 64-1 (조양동)","200-941","중앙치과의원","2013-05-29 16:19:15","I","2023-06-13 00:00:00","치과의원","264015.679388338","486561.441166153","치과의원","1","0","0","88.5","401","치과","","","","0","0","","","0","",
"57","의원","01_01_02_P","4181000","PHMA119824180029041100001","1982-05-31","","03","폐업","03","폐업","2018-12-31","","","","033)257-8171","","","강원특별자치도 춘천시 중앙로 2가 15-1","강원특별자치도 춘천시 명동길 8 (중앙로2가)","24353","서울치과의원","2018-12-31 10:01:42","I","2023-06-13 00:00:00","치과의원","263928.366550461","486583.460473395","치과의원","1","0","0","89.5","401","치과","","","","0","0","","","0","",
