"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","사무소전화번호","사업장전화번호",
"13","계량기증명업","09_28_04_P","4181000","2000418001606500005","1987-04-01","","03","폐업","03","폐업","2013-12-27","","","","033253 4048","","","강원특별자치도 춘천시 효자동 684-7번지","","","강원계량","2013-12-27 15:31:19","I","2023-06-13 00:00:00","","","","033253 4048","",
"14","계량기증명업","09_28_04_P","4181000","2009418016606500001","2009-08-28","","03","폐업","03","폐업","2020-04-28","","","","2523211","","200-161","강원특별자치도 춘천시 후평1동 623번지 39호","강원특별자치도 춘천시 후석로462번길 11 (후평동)","200-957","춘천철원축협바이오사료공장","2020-05-22 15:48:43","I","2023-06-13 00:00:00","","265202.32588348","487913.418974024","2523211","",
"15","계량기증명업","09_28_04_P","4181000","2018418027706500001","2018-06-05","","03","폐업","03","폐업","2018-09-07","","","","0332425677","","200-130","강원특별자치도 춘천시 근화동 790번지 6호","강원특별자치도 춘천시 영서로 2622 (근화동)","200-130","가나공인계량소","2018-09-10 11:04:00","I","2023-06-13 00:00:00","","263274.107635603","487846.091437692","0332425677","",
"16","계량기증명업","09_28_04_P","4191000","2023419100606500003","2023-09-03","","01","영업/정상","01","영업중","","","","","000337452304","","","강원특별자치도 원주시 태장동 374-10","강원특별자치도 원주시 흥양로 138 (태장동)","26318","철거재활용환경","2023-09-04 16:41:53","I","2023-09-06 00:18:13","","285179.204609078","431687.70806859","000337452304","",
"17","계량기증명업","09_28_04_P","4191000","1980419011506500001","1980-05-15","","01","영업/정상","01","영업중","","","","","033 7430654","","","강원특별자치도 원주시 학성동 361번지 22  호","","","영일계기사","1980-05-15 00:00:00","I","2023-06-13 00:00:00","","","","033 7430654","",
"18","계량기증명업","09_28_04_P","4191000","2020419024106500002","2020-06-08","","01","영업/정상","01","영업중","","","","","0337347511","","","강원특별자치도 원주시 태장동 2169번지","강원특별자치도 원주시 북원로 2807 (태장동)","26311","강원공인계량소 레카","2020-06-08 13:13:33","I","2023-06-13 00:00:00","","284067.205854506","432877.070051975","0337347511","",
"19","계량기증명업","09_28_04_P","4191000","2021419031706500001","2021-01-20","","01","영업/정상","01","영업중","","","","","033 7345182","","","","강원특별자치도 원주시 문막읍 원문로 2075","26362","문막농협 공단 클린주유소","2023-04-26 10:49:25","I","2023-06-13 00:00:00","","271065.384183199","422403.057025097","033 7345182","",
"20","계량기증명업","09_28_04_P","4191000","2021419031706500002","2021-06-10","","01","영업/정상","01","영업중","","","","","","","","강원특별자치도 원주시 문막읍 취병리 22-5","","","동우산업","2021-06-10 18:21:18","I","2023-06-13 00:00:00","","271499.385791139","422509.954843839","","",
"21","계량기증명업","09_28_04_P","4191000","1989419011506500002","1989-01-12","","01","영업/정상","01","영업중","","","","","033 7427830","","","강원특별자치도 원주시 우산동 127번지 70  호","강원특별자치도 원주시 북원로2425번길 3 (우산동)","220-952","영서계기사","2011-12-22 14:14:11","I","2023-06-13 00:00:00","","283148.531775201","429188.451149426","033 7427830","",
"22","계량기증명업","09_28_04_P","4191000","1991419004506500006","1991-11-09","","01","영업/정상","01","영업중","","","2017-12-27","2017-11-29","033 747 2672","","","강원특별자치도 원주시 호저면 만종리 605번지 6호","강원특별자치도 원주시 호저면 원문로 625","26377","만종계량증명업소","2017-11-29 10:43:44","I","2023-06-13 00:00:00","","279684.498104319","428360.634890466","033 747 2672","",
"23","계량기증명업","09_28_04_P","4191000","1992419004506500004","1992-09-26","","01","영업/정상","01","영업중","","","","","0337441493","","","강원특별자치도 원주시 우산동 69번지 1호","강원특별자치도 원주시 북원로 2573 (우산동)","26337","안동계량증명업소","2018-06-25 11:20:46","I","2023-06-13 00:00:00","","283442.150389607","430630.020158863","0337441493","",
"24","계량기증명업","09_28_04_P","4191000","1996419004506500007","1996-05-30","","01","영업/정상","01","영업중","","","","","0337321147","","220-805","강원특별자치도 원주시 문막읍 반계리 1번지 2호","","","문막계량증명업소","2008-11-03 14:46:14","I","2023-06-13 00:00:00","","","","0337321147","",
"25","계량기증명업","09_28_04_P","4191000","2004419011506500001","2004-01-14","","01","영업/정상","01","영업중","","","","","033 735 8787","","","강원특별자치도 원주시 문막읍 취병리 924번지 3호","강원특별자치도 원주시 문막읍 원문로 2035","220-807","국민공인계량소","2011-12-22 13:41:55","I","2023-06-13 00:00:00","","271292.62615448","422578.88423503","033 735 8787","",
"26","계량기증명업","09_28_04_P","4191000","2010419019006500003","2010-12-08","","01","영업/정상","01","영업중","","","","","033 735 0273","","220-832","강원특별자치도 원주시 소초면 둔둔리 1097번지 2호","강원특별자치도 원주시 소초면 횡성로 13","220-832","이젠메탈","2021-03-29 13:19:40","I","2023-06-13 00:00:00","","286410.409005155","439931.063561305","033 735 0273","",
"27","계량기증명업","09_28_04_P","4191000","2012419020306500002","2012-12-18","","01","영업/정상","01","영업중","","","","","03307310011","","220-805","강원특별자치도 원주시 문막읍 반계리 83번지 3호","강원특별자치도 원주시 문막읍 작백동길 71","26361","현대공인계량소","2018-06-15 11:47:10","I","2023-06-13 00:00:00","","270766.400095131","422313.075197398","03307310011","",
"28","계량기증명업","09_28_04_P","4191000","2016419024106500002","2016-01-12","","01","영업/정상","01","영업중","","","","","033  7315871","","","","강원특별자치도 원주시 귀래면 방아실길 51","26496","(주)경기개발","2016-01-14 09:05:25","I","2023-06-13 00:00:00","","275435.404669551","414123.043906552","033  7315871","",
"29","계량기증명업","09_28_04_P","4191000","2018419024106500001","2018-08-16","","01","영업/정상","01","영업중","","","","","0337480027","","","강원특별자치도 원주시 문막읍 동화리 371번지 10호","강원특별자치도 원주시 문막읍 원문로 1320","26365","진운계량증명업소","2018-08-16 16:28:04","I","2023-06-13 00:00:00","","275285.835360018","425851.762907573","0337480027","",
"30","계량기증명업","09_28_04_P","4191000","2019419024106500001","2019-04-16","","01","영업/정상","01","영업중","","","","","033 766 5300","","","","강원특별자치도 원주시 귀래면 귀운길 117","26500","(주)엘케이스톤","2021-07-12 11:03:18","I","2023-06-13 00:00:00","","278141.825228576","413598.530374012","033 766 5300","",
"31","계량기증명업","09_28_04_P","4191000","2020419024106500001","2020-03-22","","01","영업/정상","01","영업중","","","","","0337666660","","","강원특별자치도 원주시 귀래면 귀래리 산 48번지","강원특별자치도 원주시 귀래면 고청길 102-74","26500","주식회사 듀네스","2023-04-17 12:28:47","I","2023-06-13 00:00:00","","277616.387334629","414328.548791051","0337666660","",
"32","계량기증명업","09_28_04_P","4191000","2025419100606500001","2025-05-14","","01","영업/정상","01","영업중","","","","","","","","강원특별자치도 원주시 문막읍 반계리 84-1","강원특별자치도 원주시 문막읍 원문로 2130","26361","문막공인계량소","2025-05-16 10:16:27","I","2025-05-18 00:20:43","","270655.044565305","422254.212198229","","",
"33","계량기증명업","09_28_04_P","4191000","1977419004506500001","1977-01-05","","03","폐업","03","폐업","","","","","0337430354","","","강원특별자치도 원주시 우산동 75번지 2 호","강원특별자치도 원주시 북원로 2535 (우산동)","220-952","동국계량소","2011-12-22 14:20:08","I","2023-06-13 00:00:00","","283281.334269986","430267.774367078","0337430354","",
"34","계량기증명업","09_28_04_P","4191000","1985419004506500002","1985-02-28","","03","폐업","03","폐업","","","","","0337422671","","","강원특별자치도 원주시 태장동 1402번지","강원특별자치도 원주시 북원로 2650 (태장동)","220-962","원주계량소","2011-12-22 14:16:49","I","2023-06-13 00:00:00","","283794.750281978","431297.316409432","0337422671","",
"35","계량기증명업","09_28_04_P","4191000","1987419004506500003","1987-11-27","","03","폐업","03","폐업","2010-09-02","","","","0337463781","","220-963","강원특별자치도 원주시 학성동 357번지","강원특별자치도 원주시 평원로 158 (학성동)","220-963","대한통운(주)원주지점","2018-06-25 11:12:00","I","2023-06-13 00:00:00","","283612.564155004","428851.98122388","0337463781","",
"36","계량기증명업","09_28_04_P","4191000","1994419004506500005","1994-05-16","","03","폐업","03","폐업","2017-10-30","","","","0337459185","","220-121","강원특별자치도 원주시 태장동 796번지","강원특별자치도 원주시 현충로 27 (태장동)","220-966","행운계량증명업","2017-11-10 16:37:16","I","2023-06-13 00:00:00","","284439.212575948","428871.749993301","0337459185","",
"37","계량기증명업","09_28_04_P","4191000","1996419004506500008","1996-08-26","","03","폐업","03","폐업","2020-05-26","","","","0337347511","","220-962","강원특별자치도 원주시 태장동 1898번지","강원특별자치도 원주시 북원로 2870 (태장동)","220-962","현대계량증명업소","2020-05-26 16:25:51","I","2023-06-13 00:00:00","","284314.360601328","433449.084384771","0337347511","",
"38","계량기증명업","09_28_04_P","4191000","1998419004506500009","1998-08-24","","03","폐업","03","폐업","","","","","0337478590","","220-822","강원특별자치도 원주시 지정면 보통리 18번지 1호","강원특별자치도 원주시 지정면 보통로 559","220-822","광터계량소","2011-12-22 14:09:25","I","2023-06-13 00:00:00","","278514.510263276","427616.254783522","0337478590","",
"39","계량기증명업","09_28_04_P","4191000","2001419007906500001","2001-06-19","","03","폐업","03","폐업","2008-09-12","","","","7455106","","220-130","강원특별자치도 원주시 우산동 450번지 15호","강원특별자치도 원주시 우산공단길 158 (우산동)","220-952","우리우리계량증명업소","2011-12-22 13:43:17","I","2023-06-13 00:00:00","","283004.900895768","431389.651636433","7455106","",
"40","계량기증명업","09_28_04_P","4191000","2008419015306500001","2008-01-15","","03","폐업","03","폐업","2018-06-26","","","","033 732 1300","","220-140","강원특별자치도 원주시 가현동 438번지 3호","강원특별자치도 원주시 저금어지길 456 (가현동)","220-140","(주)강원LPC공인계량증명업소","2018-06-27 09:38:38","I","2023-06-13 00:00:00","","282692.257451099","432485.622622449","033 732 1300","",
"41","계량기증명업","09_28_04_P","4191000","2010419019006500002","2010-05-28","","03","폐업","03","폐업","2019-01-24","","","","0337340670","","220-805","강원특별자치도 원주시 문막읍 반계리 84번지 1호","강원특별자치도 원주시 문막읍 원문로 2130","220-805","동아산업","2019-03-14 16:55:14","I","2023-06-13 00:00:00","","270655.044565305","422254.212198229","0337340670","",
"42","계량기증명업","09_28_04_P","4191000","2011419019006500001","2011-01-12","","03","폐업","03","폐업","2018-06-26","","","","7344141","","220-843","강원특별자치도 원주시 흥업면 사제리 908번지","강원특별자치도 원주시 흥업면 승안동길 106, 1층","220-840","(유)다자원","2018-06-27 09:56:57","I","2023-06-13 00:00:00","","278625.943048453","423999.854508315","7344141","",
"43","계량기증명업","09_28_04_P","4191000","2012419020306500001","2012-08-24","","03","폐업","03","폐업","2018-06-26","","","","7459185","","220-966","강원특별자치도 원주시 태장동 796번지 6호","강원특별자치도 원주시 현충로 23 (태장동)","220-121","경북자원","2018-06-27 09:39:07","I","2023-06-13 00:00:00","","284453.842050136","428844.003178111","7459185","",
"44","계량기증명업","09_28_04_P","4191000","2013419020306500001","2013-08-20","","03","폐업","03","폐업","2020-03-03","","","","033-766-8661","","220-851","강원특별자치도 원주시 귀래면 귀래리 산 48번지","","","(주)두원석재","2020-03-03 16:15:17","I","2023-06-13 00:00:00","","277616.387334629","414328.548791051","033-766-8661","",
"45","계량기증명업","09_28_04_P","4201000","1996420000006500001","1996-02-06","","01","영업/정상","01","영업중","","","","","033 642 7104","","","강원특별자치도 강릉시 청량동 536-2번지","강원특별자치도 강릉시 율곡로 2607 (청량동)","210-260","강릉계량소","2012-03-22 11:22:44","I","2023-06-13 00:00:00","","368824.190575089","472930.196273103","033 642 7104","",
"46","계량기증명업","09_28_04_P","4201000","2003420008506500001","1995-09-11","","01","영업/정상","01","영업중","","","","","033 6621587","","","강원특별자치도 강릉시 연곡면 영진리 288번지","강원특별자치도 강릉시 연곡면 연주로 79","210-861","태양계량증명업소","2018-06-20 11:05:14","I","2023-06-13 00:00:00","","361563.155715949","486147.681510558","033 6621587","",
"47","계량기증명업","09_28_04_P","4201000","2004420008506500001","2004-08-25","","01","영업/정상","01","영업중","","","","","033653 6688","","","강원특별자치도 강릉시 두산동 228번지 8   호","강원특별자치도 강릉시 강변로 636-15 (두산동)","210-270","공단계량소","2012-03-22 11:19:24","I","2023-06-13 00:00:00","","370003.44963538","475699.725392359","033653 6688","",
"48","계량기증명업","09_28_04_P","4201000","2008420011506500001","2008-10-10","","01","영업/정상","01","영업중","","","","","","","210-260","강원특별자치도 강릉시 청량동 556번지 5호","강원특별자치도 강릉시 율곡로 2598 (청량동)","210-260","강릉미소공인계량증명사업소","2013-11-20 11:07:38","I","2023-06-13 00:00:00","","368960.254781582","472891.879189288","","",
"49","계량기증명업","09_28_04_P","4201000","2009420032606500001","2009-09-29","","01","영업/정상","01","영업중","","","","","033 6431122","","","강원특별자치도 강릉시 구정면 학산리 49번지 10호","강원특별자치도 강릉시 구정면 칠성로 187","25623","대성공인계량증명사업소","2019-04-01 17:24:32","I","2023-06-13 00:00:00","","367860.075156118","468895.189676581","033 6431122","",
"50","계량기증명업","09_28_04_P","4201000","2012420011506500003","2012-05-21","","01","영업/정상","01","영업중","","","","","033 645 7111","","210-842","강원특별자치도 강릉시 성산면 위촌리 133번지 2호","강원특별자치도 강릉시 성산면 소목길 173","","강원샘물,샘물자원","2012-05-23 08:55:51","I","2023-06-13 00:00:00","","362847.678620958","473660.893628988","033 645 7111","",
"51","계량기증명업","09_28_04_P","4201000","2014420020706500002","2014-08-14","","01","영업/정상","01","영업중","","","","","033 652 2182","","","","강원특별자치도 강릉시 공항길 122-34 (남항진동)","210-300","(주)두산산업개발","2014-10-21 10:40:55","I","2023-06-13 00:00:00","","371660.473728526","474934.912804117","033 652 2182","",
"52","계량기증명업","09_28_04_P","4201000","2022420032606500001","2022-06-07","","01","영업/정상","01","영업중","","","","","","","","","강원특별자치도 강릉시 주문진읍 금용길 2-19","25421","대흥스틸산업","2022-06-07 17:14:51","I","2023-06-13 00:00:00","","360124.32164471","487806.073862105","","",
"53","계량기증명업","09_28_04_P","4201000","2011420011506500001","2011-01-04","","01","영업/정상","01","영업중","","","","","033  6459400","","210-949","강원특별자치도 강릉시 홍제동 462번지","강원특별자치도 강릉시 경강로 1878 (홍제동)","","홍제계량증명소","2022-01-27 09:35:39","I","2023-06-13 00:00:00","","365225.586234198","473191.107405924","033  6459400","",
"54","계량기증명업","09_28_04_P","4201000","1987420000006500001","1987-08-28","","03","폐업","03","폐업","2008-09-26","","","","033662 4470","","","충청북도 충주시 주덕읍 신양리 713번지","","","연곡계량증명소","2008-09-26 12:14:24","I","2023-06-13 00:00:00","","271751.900399807","386178.215608215","033662 4470","",
"55","계량기증명업","09_28_04_P","4201000","1995420000006500001","1995-09-11","","03","폐업","03","폐업","2008-09-26","","","","033662 2214","","","강원특별자치도 강릉시 연곡면 영진리 288번지","강원특별자치도 강릉시 연곡면 연주로 79","","태양계량증명소","2008-09-26 12:21:18","I","2023-06-13 00:00:00","","361563.155715949","486147.681510558","033662 2214","",
"56","계량기증명업","09_28_04_P","4201000","1995420000006500002","1995-12-28","","03","폐업","03","폐업","2008-05-26","","","","033645 3658","","","강원특별자치도 강릉시 포남동 1162-8번지","강원특별자치도 강릉시 남구길30번길 9 (포남동)","210-955","대일계량증명소","2013-12-16 18:34:55","I","2023-06-13 00:00:00","","367809.535478688","475463.608158164","033645 3658","",
"57","계량기증명업","09_28_04_P","4201000","1998420000006500001","1998-11-26","","03","폐업","03","폐업","2008-09-26","","","","033644 5750","","","강원특별자치도 강릉시 강동면 산성우리 270-5번지","","","강유자원계량증명소","2008-09-26 12:15:12","I","2023-06-13 00:00:00","","","","033644 5750","",
"58","계량기증명업","09_28_04_P","4201000","2004420008506500002","2004-08-25","","03","폐업","03","폐업","2008-09-26","","","","033653 6688","","","강원특별자치도 강릉시 두산동 228번지 8호","강원특별자치도 강릉시 강변로 636-15 (두산동)","","공단계량소","2008-09-26 11:30:28","I","2023-06-13 00:00:00","","370003.44963538","475699.725392359","033653 6688","",
"59","계량기증명업","09_28_04_P","4201000","2005420008506500001","2005-07-20","","03","폐업","03","폐업","2008-05-26","","","","033648 0850","","","강원특별자치도 강릉시 유산동 81번지 3호","강원특별자치도 강릉시 신석길 34 (유산동)","210-220","대일자원 계량증명소","2013-12-16 18:09:41","I","2023-06-13 00:00:00","","369306.325461627","472316.582787595","033648 0850","",
"60","계량기증명업","09_28_04_P","4211000","1999421014006500001","1999-03-19","","01","영업/정상","01","영업중","","","","","033  5211408","","240-290","강원특별자치도 동해시 이도동 158번지 1호","강원특별자치도 동해시 동해대로 4852 (이도동)","240-290","신성상사","2021-06-28 16:02:12","I","2023-06-13 00:00:00","","386867.932607834","443965.778610881","033  5211408","",
"61","계량기증명업","09_28_04_P","4211000","2004421010606500007","2004-12-29","","01","영업/정상","01","영업중","","","","","033 522 3030","","","강원특별자치도 동해시 단봉동 178번지 1호","강원특별자치도 동해시 동해대로 4708 (단봉동)","25816","주식회사 강원현대금속","2019-05-28 18:04:34","I","2023-06-13 00:00:00","","388077.076696039","443549.567645223","033 522 3030","",
"62","계량기증명업","09_28_04_P","4211000","2012421014006500001","2012-05-23","","01","영업/정상","01","영업중","","","","","033 532 8551","","240-041","강원특별자치도 동해시 발한동 497번지 3호","","","한국비철금속","2012-06-20 14:18:37","I","2023-06-13 00:00:00","","385335.167421446","451704.562374485","033 532 8551","",
"63","계량기증명업","09_28_04_P","4211000","2001421010606500001","2001-05-25","","03","폐업","03","폐업","2008-04-03","","","","033 521 6114","","240-300","강원특별자치도 동해시 귀운동 96번지 3호","","","태진상회","2011-10-28 11:31:02","I","2023-06-13 00:00:00","","","","033 521 6114","",
"64","계량기증명업","09_28_04_P","4211000","2002421010606500001","2002-02-08","","03","폐업","03","폐업","2008-05-27","","","","5218376","","240-270","강원특별자치도 동해시 단봉동 183번지 1호","","","도영자원","2008-05-27 11:52:42","I","2023-06-13 00:00:00","","387973.880142659","443587.054929725","5218376","",
"65","계량기증명업","09_28_04_P","4211000","2004421009306500001","2004-06-01","","03","폐업","03","폐업","2005-12-14","","","","033 521 9005","","","강원특별자치도 동해시 단봉동 178-1","","","강원금속","2008-03-13 14:50:58","I","2023-06-13 00:00:00","","","","033 521 9005","",
"66","계량기증명업","09_28_04_P","4211000","2008421010606500001","2008-05-15","","03","폐업","03","폐업","2012-09-18","","","","033  5224900","","240-230","강원특별자치도 동해시 구호동 243번지 24호","강원특별자치도 동해시 공단2로 16 (구호동)","240-230","천지에너지 주식회사 동해지점","2012-09-18 11:35:58","I","2023-06-13 00:00:00","","389510.899968949","443370.309390592","033  5224900","",
"67","계량기증명업","09_28_04_P","4211000","2008421014006500001","2008-05-16","","03","폐업","03","폐업","","","","","5224920","","240-230","강원특별자치도 동해시 구호동 243번지 24호","강원특별자치도 동해시 공단2로 16 (구호동)","240-230","천지에너지","2011-12-13 13:53:34","I","2023-06-13 00:00:00","","389510.899968949","443370.309390592","5224920","",
"68","계량기증명업","09_28_04_P","4211000","2024421101706500001","2024-01-17","","03","폐업","03","폐업","2025-07-07","","","","033 532 5084","","","강원특별자치도 동해시 발한동 519-4","강원특별자치도 동해시 동해대로 5685 (발한동)","25740","반석실업 주식회사","2025-07-07 16:18:45","U","2025-07-09 02:40:00","","385290.238547891","451546.464955671","033 532 5084","",
"69","계량기증명업","09_28_04_P","4221000","2022422012206500001","2022-04-08","","01","영업/정상","01","영업중","","","","","","","","강원특별자치도 태백시 황지동 115-17","","","태양자원","2022-04-11 09:05:46","I","2023-06-13 00:00:00","","376667.508264313","407104.586528547","","",
"70","계량기증명업","09_28_04_P","4221000","2000422001006500001","1985-06-01","","01","영업/정상","01","영업중","","","","","","","","강원특별자치도 태백시 황지동 127번지 1호","강원특별자치도 태백시 상장남길 90 (황지동)","235-019","대한계량증명업소","2015-04-30 20:03:12","I","2023-06-13 00:00:00","","376867.123860027","407014.360300381","","",
"71","계량기증명업","09_28_04_P","4221000","2014422007206500001","2014-12-30","","01","영업/정상","01","영업중","","","","","0335544900","","","","강원특별자치도 태백시 동태백로 1141 (통동)","235-050","OK에너지(주)","2016-06-20 17:29:48","I","2023-06-13 00:00:00","","380355.553065884","408923.48761082","0335544900","",
"72","계량기증명업","09_28_04_P","4221000","2021422012206500001","2021-05-07","","01","영업/정상","01","영업중","","","","","033  5543820","","","강원특별자치도 태백시 황지동 182-1","강원특별자치도 태백시 서학로 1126 (황지동)","26037","엠스틸","2021-07-30 15:51:36","I","2023-06-13 00:00:00","","376554.849453261","407743.441805393","033  5543820","",
"73","계량기증명업","09_28_04_P","4231000","1996423004306500001","1996-01-09","","01","영업/정상","01","영업중","","","","","6351149","","","강원특별자치도 속초시 대포동 89번지","강원특별자치도 속초시 방축길 6 (대포동)","24899","속초자동차폐차장","2015-12-23 18:14:47","I","2023-06-13 00:00:00","","339801.20534822","520551.871928304","6351149","",
"74","계량기증명업","09_28_04_P","4231000","1999423004306500001","1999-07-14","","03","폐업","03","폐업","2008-03-22","","","","033632 6520","","","강원특별자치도 속초시 조양동 1510번지 7   호","강원특별자치도 속초시 선사로4길 32 (조양동)","217-080","조광재활용수거센타","2011-10-30 15:15:17","I","2023-06-13 00:00:00","","339119.341591125","521844.178612223","033632 6520","",
"75","계량기증명업","09_28_04_P","4241000","2010424011306500001","2010-11-18","","01","영업/정상","01","영업중","","","","","033 572 8330","","245-260","강원특별자치도 삼척시 자원동 64번지","강원특별자치도 삼척시 오십천로 206 (자원동)","245-260","청풍계량증명업소","2018-06-11 16:15:30","I","2023-06-13 00:00:00","","389529.651263802","439622.080458921","033 572 8330","",
"76","계량기증명업","09_28_04_P","4241000","2015424011306500001","2015-07-03","","01","영업/정상","01","영업중","","","","","033 575 0981","","","","강원특별자치도 삼척시 우지1길 31 (우지동)","245-110","건백산업(주)","2018-06-11 16:16:01","I","2023-06-13 00:00:00","","390445.613786641","441846.313360867","033 575 0981","",
"77","계량기증명업","09_28_04_P","4241000","2018424019206500001","2018-08-20","","01","영업/정상","01","영업중","","","","","033 572 6422","","","강원특별자치도 삼척시 갈천동 125번지 1호","강원특별자치도 삼척시 새천년도로 652 (갈천동)","25909","강원철강","2019-04-08 17:08:25","I","2023-06-13 00:00:00","","390950.118308536","442362.078686085","033 572 6422","",
"78","계량기증명업","09_28_04_P","4241000","2019424020206500001","2020-01-13","","01","영업/정상","01","영업중","","","2022-05-27","","033 576 0281","","","강원특별자치도 삼척시 근덕면 상맹방리 229-3","강원특별자치도 삼척시 근덕면 삼척로 4003","25932","삼성","2022-03-07 17:51:10","I","2023-06-13 00:00:00","","395062.03337948","435876.71370806","033 576 0281","",
"79","계량기증명업","09_28_04_P","4241000","1998424001006500001","1998-07-01","","03","폐업","03","폐업","2008-06-26","","","","5741504","","","강원특별자치도 삼척시 자원동 195-4번지","","","삼척 공인 계량소","2011-10-31 15:02:30","I","2023-06-13 00:00:00","","","","5741504","",
"80","계량기증명업","09_28_04_P","4241000","2003424001006500001","2003-01-27","","03","폐업","03","폐업","2008-05-09","","","","033 573 5601","","","강원특별자치도 삼척시 자원동 97번지 1호","","","삼척고물상","2011-10-31 15:03:17","I","2023-06-13 00:00:00","","389440.241226999","439676.754792265","033 573 5601","",
"81","계량기증명업","09_28_04_P","4241000","2009424011306500001","2004-04-01","","03","폐업","03","폐업","2009-05-25","","","","5737900","","245-930","강원특별자치도 삼척시 교동 118번지 8호 6통 1반","강원특별자치도 삼척시 동해대로 4156-6 (교동)","","영진자원상사","2011-10-31 15:04:32","I","2023-06-13 00:00:00","","392710.37830601","441083.861229755","5737900","",
