"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"11","의료법인","01_01_08_P","6530000","200264200001000004","2002-05-06","","01","영업/정상","BBBB","","","","","","0337620100","","","강원특별자치도 원주시 판부면 금대리 1130번지","강원특별자치도 원주시 판부면 치악로 1139","","서현의료재단","2025-09-30 00:00:00","U","2025-10-02 02:40:00","의료법인","287769.044644282","421689.925766276","","0","0","264","0","","","","","","0","0","","","0","",
"12","의료법인","01_01_08_P","6530000","200264200001000005","2002-11-05","","01","영업/정상","BBBB","","","","","","0333457171","","","경기도 성남시 분당구 수내동  35번지","경기도 성남시 분당구 수내로90번길 26 (수내동)","","동민의료재단('07.5.22 설립허가취소)","2013-12-30 00:00:00","I","2023-06-13 00:00:00","","210376.721927728","430518.736700253","","0","0","0","0","","","","","","0","0","","","0","",
"13","의료법인","01_01_08_P","6530000","200364200001000006","2003-04-15","","01","영업/정상","BBBB","","","","","","0335303300","","","강원특별자치도 동해시 천곡동  884번지","강원특별자치도 동해시 중앙로 218 (천곡동)","","의료법인해람의료재단(2013.1.14 설립허가 취소)","2015-09-20 00:00:00","I","2023-06-13 00:00:00","의료법인","386974.192783286","448557.45116627","","0","0","176","0","","","","","","0","0","","","0","",
"14","의료법인","01_01_08_P","6530000","198964200001000002","1989-09-09","","01","영업/정상","BBBB","","","","","","0334823001","","","강원특별자치도 양구군 양구읍 상리 256번지 5호","강원특별자치도 양구군 양구읍 중심로 160","","의료법인 성심의료재단((입력오류, 사용중지)","2020-01-28 00:00:00","I","2023-06-13 00:00:00","의료법인","286866.041727519","511784.781771199","","0","0","0","0","","","","","","0","0","","","0","",
"15","의료법인","01_01_08_P","6530000","200564200001000001","2005-11-04","","01","영업/정상","BBBB","","","","","","0332625002","","","강원특별자치도 홍천군 북방면 본궁리 94번지","강원특별자치도 홍천군 북방면 팔봉산로 2420-58","","의료법인 연호의료재단","2024-11-06 00:00:00","U","2024-11-08 02:40:00","의료법인","271723.032524382","470277.602750368","","0","0","185","0","","","","","","0","0","","","0","",
"16","의료법인","01_01_08_P","6530000","200864200001000001","2008-02-01","","01","영업/정상","BBBB","","","","","","0337320270","","","강원특별자치도 원주시 태장동  1403번지 5호","강원특별자치도 원주시 북원로 2636 (태장동)","","의료법인고색의료재단","2025-07-22 00:00:00","U","2025-07-24 02:40:00","의료법인","283738.821268361","431142.506440562","","0","0","30","0","","","","","","0","0","","","0","",
"17","의료법인","01_01_08_P","6530000","200864200001000002","2008-09-09","","01","영업/정상","BBBB","","","","","","0334309988","","","강원특별자치도 홍천군 홍천읍 희망리 376번지 33호","강원특별자치도 홍천군 홍천읍 홍천로 340-1","","의료법인미성의료재단","2025-08-18 00:00:00","U","2025-08-20 02:40:00","의료법인","277834.571474723","465448.840549748","","0","0","38","0","","","","","","0","0","","","0","",
"18","의료법인","01_01_08_P","6530000","200964200001000001","2009-04-13","","01","영업/정상","BBBB","","","","","","0335544717","","","강원특별자치도 삼척시 도계읍 심포리 197번지 6호","강원특별자치도 삼척시 도계읍 강원남부로 632","","의료법인 도경의료재단","2025-06-10 00:00:00","U","2025-06-12 02:40:00","의료법인","380673.482125389","410583.346035512","","0","0","40","0","","","","","","0","0","","","0","",
"19","의료법인","01_01_08_P","6530000","200964200001000002","2009-04-21","","01","영업/정상","BBBB","","","","","","0337330015","","","강원특별자치도 원주시 소초면 수암리 797번지 5호","강원특별자치도 원주시 소초면 치악로 2473","","의료법인 조양의료재단","2025-05-22 00:00:00","U","2025-05-24 02:40:00","의료법인","287120.448723312","432848.690174154","","0","0","212","0","","","","","","0","0","","","0","",
"20","의료법인","01_01_08_P","6530000","201064200001000001","2010-02-16","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 고성군 간성읍 신안리 146번지 3호","강원특별자치도 고성군 간성읍 수성로 3","","의료법인 무우림의료법인(2013.2.22 설립허가 취소)","2015-09-20 00:00:00","I","2023-06-13 00:00:00","의료법인","328732.954577457","542805.047260639","","0","0","0","0","","","","","","0","0","","","0","",
"21","의료법인","01_01_08_P","6530000","201064200001000002","2010-03-16","","01","영업/정상","BBBB","","","","","","0336398800","","","강원특별자치도 속초시 교동  669번지 1호","강원특별자치도 속초시 중앙로 11 (교동)","","의료법인 보광의료재단","2025-07-16 00:00:00","U","2025-07-18 02:40:00","의료법인","338197.766804118","522865.442373193","","0","0","203","0","","","","","","0","0","","","0","",
"22","의료법인","01_01_08_P","6530000","201064200001000003","2010-07-28","","01","영업/정상","BBBB","","","","","","0334362119","","","강원특별자치도 홍천군 두촌면 역내리 127번지","강원특별자치도 홍천군 두촌면 설악로 3871-4","","의료법인 참소망의료재단","2022-04-25 00:00:00","I","2023-06-13 00:00:00","의료법인","289442.677257112","482557.05236071","","0","0","48","0","","","","","","0","0","","","0","",
"23","의료법인","01_01_08_P","6530000","201064200001000004","2010-10-18","","01","영업/정상","BBBB","","","","","","0332519911","","","강원특별자치도 춘천시 삼천동  789번지 1호","강원특별자치도 춘천시 옛경춘로 663 (삼천동)","","의료법인 호반의료재단","2025-03-24 00:00:00","U","2025-03-26 02:40:00","의료법인","262179.991029736","484053.913065895","","0","0","179","0","","","","","","0","0","","","0","",
"24","의료법인","01_01_08_P","6530000","201064200001000005","2010-10-27","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 속초시 교동  977번지 25호","강원특별자치도 속초시 온천로 291 (교동)","","의료법인 학익의료재단(17.10.13 설립허가 취소)","2017-11-07 00:00:00","I","2023-06-13 00:00:00","의료법인","337836.052479028","522299.520965202","","0","0","134","0","","","","","","0","0","","","0","",
"25","의료법인","01_01_08_P","6530000","201164200001000002","2011-06-27","","01","영업/정상","BBBB","","","","","","0334553131","","","강원특별자치도 철원군 동송읍 이평리 730번지 8호","강원특별자치도 철원군 동송읍 금학로157번길 23-17","","의료법인 하영의료재단","2024-12-24 00:00:00","U","2024-12-27 02:40:00","의료법인","219225.238872663","522044.742484309","","0","0","152","0","","","","","","0","0","","","0","",
"26","의료법인","01_01_08_P","6530000","201164200001000003","2011-07-26","","01","영업/정상","BBBB","","","","","","0337487800","","","강원특별자치도 원주시 태장동  1375번지 1호","강원특별자치도 원주시 북원상가길 49 (태장동)","","의료법인 신창의료재단(2016.12.26 법인 명칭 변경)","2024-11-24 00:00:00","U","2024-11-26 02:40:00","의료법인","284220.004380598","431725.997258259","","0","0","44","0","","","","","","0","0","","","0","",
"27","의료법인","01_01_08_P","6530000","201164200001000001","2011-06-27","","01","영업/정상","BBBB","","","","","","0333747575","","","강원특별자치도 영월군 영월읍 하송리 252번지 2호 푸른사랑병원 0동","강원특별자치도 영월군 영월읍 중앙로 10-0, 0동 푸른사랑병원층 (푸른사랑병원)","","의료법인 금석의료재단","2025-08-28 00:00:00","U","2025-08-30 02:40:00","의료법인","330015.564028515","410050.982404069","","0","0","79","0","","","","","","0","0","","","0","",
"28","의료법인","01_01_08_P","6530000","201264200001000004","2012-10-31","","01","영업/정상","BBBB","","","","","","0335300114","","","강원특별자치도 동해시 천곡동  884번지 0호 동해요양병원 0동 0호","강원특별자치도 동해시 중앙로 218-0, 0동 동해요양병원층 0호 (천곡동,동해요양병원)","","의료법인 기호의료재단","2025-09-30 00:00:00","U","2025-10-02 02:40:00","의료법인","386974.192783286","448557.45116627","","0","0","355","0","","","","","","0","0","","","0","",
"29","의료법인","01_01_08_P","6530000","199164200001000001","1991-05-01","","01","영업/정상","BBBB","","","","","","0332567187","","","강원특별자치도 춘천시 중앙로2가  95번지","강원특별자치도 춘천시 중앙로 60 (중앙로2가)","","의료법인영인의료재단","2025-09-01 00:00:00","U","2025-09-03 02:40:00","의료법인","263880.346242301","486625.49210852","","0","0","44","0","","","","","","0","0","","","0","",
"30","의료법인","01_01_08_P","6530000","201264200001000001","2012-02-14","","01","영업/정상","BBBB","","","","","","0337352992","","","강원특별자치도 원주시 반곡동  1860번지 8호 세인트병원 0동","강원특별자치도 원주시 혁신로 5-0, 0동 세인트병원층 (반곡동,세인트병원)","","의료법인 삼산의료재단","2024-03-14 00:00:00","U","2024-03-16 02:40:00","의료법인","286368.932064117","425375.093838049","","0","0","205","0","","","","","","0","0","","","0","",
"31","의료법인","01_01_08_P","6530000","201264200001000002","2012-09-14","","01","영업/정상","BBBB","","","","","","0333458275","","","강원특별자치도 횡성군 횡성읍 읍하리 484번지 1호","강원특별자치도 횡성군 횡성읍 삼일로81번길 40","","의료법인 늘찬의료재단('18.12.7. 법인설립허가 취소)","2018-12-07 00:00:00","I","2023-06-13 00:00:00","의료법인","286966.897533628","444220.776857603","","0","0","70","0","","","","","","0","0","","","0","",
"32","의료법인","01_01_08_P","6530000","197864200001000002","1978-08-17","","01","영업/정상","BBBB","","","","","","","","","인천광역시 남동구 구월동  1198번지","인천광역시 남동구 남동대로774번길 21 (구월동)","","길의료재단","2012-12-10 00:00:00","I","2023-06-13 00:00:00","의료법인","174200.692948602","438895.603179833","","0","0","131","0","","","","","","0","0","","","0","",
"33","의료법인","01_01_08_P","6530000","201264200001000003","2012-12-28","","01","영업/정상","BBBB","","","","","","0336615665","","","강원특별자치도 강릉시 주문진읍 주문리 329번지 45호","강원특별자치도 강릉시 주문진읍 연주로 450","","의료법인 대한의료재단(2017.3.9 설립허가 취소)","2017-03-22 00:00:00","I","2023-06-13 00:00:00","의료법인","360475.835435398","489305.022208532","","0","0","78","0","","","","","","0","0","","","0","",
"34","의료법인","01_01_08_P","6530000","198164200001000002","1981-08-06","","01","영업/정상","BBBB","","","","","","0336506101","","","강원특별자치도 강릉시 포남동  1065번지 2호","강원특별자치도 강릉시 강릉대로419번길 42 (포남동)","","의료법인 동인의료재단","2019-06-10 00:00:00","I","2023-06-13 00:00:00","의료법인","367961.096222131","476356.517469862","","0","0","598","0","","","","","","0","0","","","0","",
"35","의료법인","01_01_08_P","6530000","201364200001000001","2013-04-26","","01","영업/정상","BBBB","","","","","","0332649885","","","강원특별자치도 춘천시 서면 당림리 167번지 1호","강원특별자치도 춘천시 서면 샛말길 122-11","","의료법인 윤영의료재단","2022-06-13 00:00:00","I","2023-06-13 00:00:00","의료법인","254245.483818577","483370.766177782","","0","0","299","0","","","","","","0","0","","","0","",
"36","의료법인","01_01_08_P","6530000","199264200001000001","1992-12-31","","01","영업/정상","BBBB","","","","","","0336490100","","","강원특별자치도 강릉시 옥천동  286번지 6호","강원특별자치도 강릉시 옥가로 30 (옥천동)","","의산의료재단","2025-07-22 00:00:00","U","2025-07-24 02:40:00","의료법인","367350.283573308","474653.814138023","","0","0","225","0","","","","","","0","0","","","0","",
"37","의료법인","01_01_08_P","6530000","201364200001000002","2013-10-21","","01","영업/정상","BBBB","","","","","","0333441111","","","강원특별자치도 횡성군 강림면 강림리 703번지 0호","강원특별자치도 횡성군 강림면 주천강로강림3길 26-4","","의료법인 청강의료재단","2024-04-17 00:00:00","U","2024-04-19 02:40:00","의료법인","","","","0","0","0","0","","","","","","0","0","","","0","",
"38","의료법인","01_01_08_P","6530000","200464200001000002","2004-03-09","","01","영업/정상","BBBB","","","","","","0334615400","","","강원특별자치도 인제군 북면 원통리 727번지 1호","강원특별자치도 인제군 북면 원통로 138-3","","금강의료재단-'09.12.21 설립허가취소","2013-12-30 00:00:00","I","2023-06-13 00:00:00","","305282.96483062","513628.912261404","","0","0","45","0","","","","","","0","0","","","0","",
"39","의료법인","01_01_08_P","6530000","201464200001000001","2014-05-24","","01","영업/정상","BBBB","","","","","","","","","","강원특별자치도 횡성군 횡성읍 읍상서로 21","","의료법인 효양의료재단(허가취소_2020. 3. 4.)","2020-03-04 00:00:00","I","2023-06-13 00:00:00","의료법인","287262.274150206","443630.578461615","","0","0","0","0","","","","","","0","0","","","0","",
"40","의료법인","01_01_08_P","6530000","201464200001000002","2014-09-16","","01","영업/정상","BBBB","","","","","","0336380991","","","","강원특별자치도 강릉시 사천면 안현로 85-39","","의료법인 수교의료재단","2021-06-30 00:00:00","I","2023-06-13 00:00:00","의료법인","364453.539833439","479746.627374284","","0","0","0","0","","","","","","0","0","","","0","",
"41","의료법인","01_01_08_P","6530000","200664200001000001","2006-11-16","","01","영업/정상","BBBB","","","","","","0337313111","","","강원특별자치도 원주시 문막읍 궁촌리 971번지 1호","강원특별자치도 원주시 문막읍 귀문로 1217","","의료법인명봉의료재단","2025-05-15 00:00:00","U","2025-05-17 02:40:00","의료법인","273151.65682314","418490.33126086","","0","0","185","0","","","","","","0","0","","","0","",
"42","의료법인","01_01_08_P","6530000","201564200001000001","2015-04-09","","01","영업/정상","BBBB","","","","","","","","","","강원특별자치도 평창군 봉평면 기풍로 199","","의료법인 유안의료재단","2025-06-19 00:00:00","U","2025-06-21 02:40:00","의료법인","321414.822893207","458363.631656906","","0","0","0","0","","","","","","0","0","","","0","",
"43","의료법인","01_01_08_P","6530000","200464200001000001","2005-05-30","","01","영업/정상","BBBB","","","","","","0336421100","","","강원특별자치도 강릉시 옥천동  326번지","강원특별자치도 강릉시 용지로 129 (옥천동)","","의료법인아나의료재단","2025-07-22 00:00:00","U","2025-07-24 02:40:00","의료법인","367629.928350308","474812.329131094","","0","0","299","0","","","","","","0","0","","","0","",
"44","의료법인","01_01_08_P","6530000","201764200001000001","2017-11-23","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 속초시 교동  977번지 25호","강원특별자치도 속초시 온천로 291-0 (교동)","","의료법인 신의의료재단","2025-10-28 00:00:00","U","2025-10-30 02:40:00","의료법인","337836.052479028","522299.520965202","","0","0","0","0","","","","","","0","0","","","0","",
"45","의료법인","01_01_08_P","6530000","201864200001000001","2018-11-26","","01","영업/정상","BBBB","","","","","","0338139920","","","강원특별자치도 원주시 문막읍 문막리 304번지 0호","강원특별자치도 원주시 문막읍 문막시장1길 16-0","","의료법인와이의료재단","2025-09-30 00:00:00","U","2025-10-02 02:40:00","의료법인","272365.940089907","423177.951148618","","0","0","189","0","","","","","","0","0","","","0","",
"46","의료법인","01_01_08_P","6530000","201964200001000001","2019-11-19","","01","영업/정상","BBBB","","","","","","0335338275","","","강원특별자치도 동해시 천곡동  888번지 0호 한마음병원","강원특별자치도 동해시 중앙로 210-0, 한마음병원층 (천곡동,한마음병원)","","의료법인 해솔의료재단","2025-09-06 00:00:00","U","2025-09-08 02:40:00","의료법인","386995.199984986","448481.419892167","","0","0","109","0","","","","","","0","0","","","0","",
"47","의료법인","01_01_08_P","6530000","201164200001000004","2011-12-29","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 강릉시 교동  1881번지 6호","강원특별자치도 강릉시 솔올로 35 (교동)","","의료법인 바나의료재단(청산_200904등기폐쇄_201124)","2021-02-08 00:00:00","I","2023-06-13 00:00:00","의료법인","365401.686801998","475287.218473391","","0","0","0","0","","","","","","0","0","","","0","",
"48","의료법인","01_01_08_P","6530000","198164200001000003","1981-08-06","","01","영업/정상","BBBB","","","","","","0336516161","","","강원특별자치도 강릉시 포남동  1085번지 1호 동인병원 0동","강원특별자치도 강릉시 강릉대로419번길 42-0, 0동 동인병원층 (포남동,동인병원)","","의료법인 강릉동인병원","2024-07-18 00:00:00","U","2024-07-20 02:40:00","의료법인","367907.742253301","476277.486798588","","0","0","478","0","","","","","","0","0","","","0","",
"49","의료법인","01_01_08_P","6530000","202164200001000001","2021-03-23","","01","영업/정상","BBBB","","","","","","0332368100","","","강원특별자치도 춘천시 남면 관천리 238번지 3호 1동","강원특별자치도 춘천시 남면 박암관천길 821-0, 1동","","의료법인 태동의료재단(허가일 2021.3.22.)","2022-07-19 00:00:00","I","2023-06-13 00:00:00","의료법인","245533.487264355","469239.053751879","","0","0","0","0","","","","","","0","0","","","0","",
"50","의료법인","01_01_08_P","6530000","201964200001000002","2019-12-23","","01","영업/정상","BBBB","","","","","","0335923121","","","강원특별자치도 정선군 사북읍 사북리 305번지 16호 정선군립병원","강원특별자치도 정선군 사북읍 지장천로 727-0, 정선군립병원층 (정선군립병원)","","재단법인 정선의료재단","2025-08-07 00:00:00","U","2025-08-09 02:40:00","재단법인","362023.877879962","415331.483541067","","0","0","30","0","","","","","","0","0","","","0","",
"51","의료법인","01_01_08_P","6530000","200264200001000002","2002-01-12","","01","영업/정상","BBBB","","","","","","0335342119","","","강원특별자치도 강릉시 옥계면 현내리 311번지 2호","강원특별자치도 강릉시 옥계면 현내시장길 34","","의료법인라파의료재단","2017-09-16 00:00:00","I","2023-06-13 00:00:00","의료법인","379855.07783425","458585.750044979","","0","0","119","0","","","","","","0","0","","","0","",
"52","의료법인","01_01_08_P","6530000","200164200001000001","2001-03-19","","01","영업/정상","BBBB","","","","","","0337326125","","","강원특별자치도 원주시 일산동  107번지","강원특별자치도 원주시 무실로 26 (일산동)","","영서의료재단(2015.11.09 설립허가 취소)","2015-11-09 00:00:00","I","2023-06-13 00:00:00","의료법인","283987.658347762","427742.827675209","","0","0","0","0","","","","","","0","0","","","0","",
"53","의료법인","01_01_08_P","6530000","200364200001000002","2003-12-23","","01","영업/정상","BBBB","","","","","","0332638275","","","강원특별자치도 춘천시 서면 안보리 312번지","강원특별자치도 춘천시 서면 율장길 328","","매그너스의료재단(구 한성)","2025-09-07 00:00:00","U","2025-09-09 02:40:00","의료법인","251297.162611282","485018.162573848","","0","0","59","0","","","","","","0","0","","","0","",
"54","의료법인","01_01_08_P","6530000","200264200001000001","2002-06-20","","01","영업/정상","BBBB","","","","","","0332407421","","","강원특별자치도 춘천시 온의동  513번지 3호 강남병원 0동","강원특별자치도 춘천시 경춘로 2364-0, 0동 강남병원층 (온의동,강남병원)","","강남의료재단","2021-06-07 00:00:00","I","2023-06-13 00:00:00","의료법인","263363.74960516","484877.145433762","","0","0","196","0","","","","","","0","0","","","0","",
"55","의료법인","01_01_08_P","6530000","200164200001000002","2001-11-05","","01","영업/정상","BBBB","","","","","","0313457171","","","경기도 성남시 분당구 수내동  35번지","경기도 성남시 분당구 수내로90번길 26 (수내동)","","동민의료재단('07.5.22 설립허가 취소)","2013-12-30 00:00:00","I","2023-06-13 00:00:00","","210376.721927728","430518.736700253","","0","0","0","0","","","","","","0","0","","","0","",
"56","의료법인","01_01_08_P","6530000","200264200001000003","2002-07-11","","01","영업/정상","BBBB","","","","","","0334630114","","","강원특별자치도 춘천시 중앙로1가  9번지","강원특별자치도 춘천시 중앙로 5 (중앙로1가)","","한국보건의료재단('06.3.15 설립허가취소)","2013-12-30 00:00:00","I","2023-06-13 00:00:00","","264128.086851178","487099.154550421","","0","0","0","0","","","","","","0","0","","","0","",
"57","의료법인","01_01_08_P","6530000","200164200001000003","2001-06-26","","01","영업/정상","BBBB","","","","","","0337642321","","","강원특별자치도 원주시 인동  264번지 21호","강원특별자치도 원주시 원일로 22 (인동)","","성지의료재단","2025-05-13 00:00:00","U","2025-05-15 02:40:00","의료법인","284484.959261583","427479.800413061","","0","0","158","0","","","","","","0","0","","","0","",
"58","의료법인","01_01_08_P","6530000","200164200001000004","2001-10-25","","01","영업/정상","BBBB","","","","","","0334823001","","","강원특별자치도 양구군 양구읍 상리 256번지 9호","강원특별자치도 양구군 양구읍 중심로 160","","성심의료재단","2023-04-11 00:00:00","I","2023-06-13 00:00:00","의료법인","286872.070865377","511751.83541539","","0","0","65","0","","","","","","0","0","","","0","",
"59","의료법인","01_01_08_P","6530000","199664200001000001","1996-11-07","","01","영업/정상","BBBB","","","","","","0335749114","","","강원특별자치도 삼척시 정상동  385번지 3호 삼척병원 0동","강원특별자치도 삼척시 오십천로 506-0, 0동 삼척병원층 (정상동,삼척병원)","","동서의료재단","2025-04-03 00:00:00","U","2025-04-05 02:40:00","의료법인","392228.467832434","439395.210180362","","0","0","123","0","","","","","","0","0","","","0","",
"60","의료법인","01_01_08_P","6530000","200064200001000001","2000-04-04","","01","영업/정상","BBBB","","","","","","0335631911","","","강원특별자치도 정선군 정선읍 봉양리 390번지 11호","강원특별자치도 정선군 정선읍 비봉로 53","","벧엘의료재단","2025-09-30 00:00:00","U","2025-10-02 02:40:00","의료법인","347326.26760385","432331.809061914","","0","0","0","0","","","","","","0","0","","","0","",
"61","의료법인","01_01_08_P","6530000","200364200001000004","2003-04-21","","01","영업/정상","BBBB","","","","","","0334620129","","","강원특별자치도 인제군 기린면 현리 982번지 2호","강원특별자치도 인제군 기린면 내린천로 3760","","지산의료재단","2020-06-08 00:00:00","I","2023-06-13 00:00:00","의료법인","315254.628882192","493133.838730017","","0","0","74","0","","","","","","0","0","","","0","",
"62","의료법인","01_01_08_P","6530000","198964200001000001","1989-09-09","","01","영업/정상","BBBB","","","","","","0338547114","","","강원특별자치도 양구군 양구읍 정림리 188번지 3호","강원특별자치도 양구군 양구읍 양구새싹로 7-7","","희정의료재단","2025-04-04 00:00:00","U","2025-04-06 02:40:00","의료법인","286428.645589124","511504.251536348","","0","0","60","0","","","","","","0","0","","","0","",
"63","의료법인","01_01_08_P","6530000","202465300001000001","2024-06-25","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 횡성군 횡성읍 읍상리 385번지 12호","강원특별자치도 횡성군 횡성읍 읍상서로 21-0","","의료법인 준서의료재단","2024-08-13 00:00:00","U","2024-08-15 02:40:00","의료법인","287262.274150206","443630.578461615","","0","0","0","0","","","","","","0","0","","","0","",
"64","의료법인","01_01_08_P","6530000","202565300001000001","2025-09-06","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 원주시 개운동  434번지 9호","강원특별자치도 원주시 남원로 562-5 (개운동)","","남양의료재단(허가일 9.1.)","2025-09-30 00:00:00","U","2025-10-02 02:40:00","의료법인","284004.108457156","426211.92172411","","0","0","205","0","","","","","","0","0","","","0","",
