"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료유사업종별명","직원수","자격증소유자수","보조직원수","시설관리자수","기타직원수","병상수","욕실면적","총면적",
"20","의료유사업","01_01_10_P","4181000","PHMB420194180029042400002","2019-09-27","","01","영업/정상","13","영업중","","","","","033)256-3522","","","","강원특별자치도 춘천시 전원길 1 (운교동)","24260","광장킹안마원","2019-09-27 17:40:28","I","2023-06-13 00:00:00","안마원","264618.951692154","486352.179620625","안마원","1","0","0","0","0","1","0","53.98",
"21","의료유사업","01_01_10_P","4181000","PHMB420204180029042400001","2020-04-28","","01","영업/정상","13","영업중","","","","","033-261-9675","","","","강원특별자치도 춘천시 공지로 226, 3층 (효자동)","24343","활력안마원","2025-08-14 16:53:29","U","2025-08-17 02:40:00","안마원","264937.757150561","484781.449965863","안마원","0","0","0","0","0","0","0","195.3",
"22","의료유사업","01_01_10_P","4181000","PHMB420204180029042400002","2020-04-27","","01","영업/정상","13","영업중","","","","","033-252-6619","","","","강원특별자치도 춘천시 춘천로 312, 4층 404호호 (후평동)","24278","마음가득안마원","2020-04-28 11:24:52","I","2023-06-13 00:00:00","안마원","265707.479460274","486826.739740724","안마원","1","0","0","0","0","0","0","74.12",
"23","의료유사업","01_01_10_P","4181000","PHMB420214180029042400002","2021-12-01","","01","영업/정상","13","영업중","","","","","033-262-1868","","","강원특별자치도 춘천시 석사동 724-3","강원특별자치도 춘천시 애막골길3번길 61, 1층 (석사동)","24320","수기모아안마원","2021-12-01 17:55:07","I","2023-06-13 00:00:00","안마원","266392.659391078","485176.250305288","안마원","1","0","0","0","0","4","0","106.22",
"24","의료유사업","01_01_10_P","4181000","PHMB420234180029042400001","2023-03-14","","01","영업/정상","13","영업중","","","","","033-241-1420","","","","강원특별자치도 춘천시 춘천로204번길 17(효자동)","24294","진심안마원","2023-03-21 16:42:02","I","2023-06-13 00:00:00","안마원","264893.295849529","486210.54193315","안마원","3","0","0","0","0","0","0","92.47",
"25","의료유사업","01_01_10_P","4181000","PHMB420214180029042400001","2021-03-29","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 죽림동 32 제일백화점","강원특별자치도 춘천시 약사고개길 13, 제일백화점 6,7호 (죽림동)","24355","광명시술원","2025-06-17 13:32:09","U","2025-06-19 02:40:00","안마원","263815.717679964","486351.132414808","안마원","0","0","0","0","0","1","0","56",
"26","의료유사업","01_01_10_P","4181000","PHMB420094180029042400001","2009-01-21","","01","영업/정상","13","영업중","","","","","033)251-9989","","","강원특별자치도 춘천시 칠전동 424번지","강원특별자치도 춘천시 옛경춘로 334 (칠전동)","24459","황용진안마원","2019-12-31 09:15:20","I","2023-06-13 00:00:00","안마원","260894.417938487","482731.278491847","안마원","1","0","0","0","0","1","0","64",
"27","의료유사업","01_01_10_P","4181000","PHMB419754180029042400002","1975-05-01","","01","영업/정상","13","영업중","","","","","033-251-5588","","200-949","강원특별자치도 춘천시 효자동 434번지 13호","강원특별자치도 춘천시 효자로 63 (효자동)","24336","길인배 안마원","2016-11-03 10:16:43","I","2023-06-13 00:00:00","안마원","264192.471672806","485462.389593676","안마원","0","0","0","0","0","1","0","50",
"28","의료유사업","01_01_10_P","4181000","PHMB419854180029042400001","1985-05-07","","01","영업/정상","13","영업중","","","","","033)256-0303","","200-931","강원특별자치도 춘천시 근화동 711번지 10호","강원특별자치도 춘천시 공지로 442-17 (근화동)","","김영삼 시술소","2016-11-03 09:59:36","I","2023-06-13 00:00:00","안마원","263117.634421077","485990.36467123","안마원","0","0","0","0","0","2","0","35.43",
"29","의료유사업","01_01_10_P","4181000","PHMB419944180029042400001","1994-05-12","","01","영업/정상","13","영업중","","","","","033-255-1471","","200-112","강원특별자치도 춘천시 소양로2가 174번지 5호","강원특별자치도 춘천시 소양로 174 (소양로2가)","","호반 안마원","2016-11-03 10:10:45","I","2023-06-13 00:00:00","안마원","263711.510546633","487578.404428564","안마원","0","0","0","0","0","1","0","22.32",
"30","의료유사업","01_01_10_P","4181000","PHMB420024180029042400002","2002-04-10","","01","영업/정상","13","영업중","","","","","033)242-7588","","","강원특별자치도 춘천시 소양로1가 94번지 5호","강원특별자치도 춘천시 번개시장길 5 (소양로1가)","24247","승록안마원","2016-11-03 10:12:09","I","2023-06-13 00:00:00","안마원","263767.871908096","487723.002531026","안마원","1","0","0","0","0","1","0","110.6",
"31","의료유사업","01_01_10_P","4181000","PHMB420034180029042400001","2003-12-12","","01","영업/정상","13","영업중","","2012-03-30","2012-09-30","","033)244-1235","","200-941","강원특별자치도 춘천시 조양동 24번지 1호","강원특별자치도 춘천시 시청길 16-1 (조양동)","24352","중앙안마시술소","2022-06-20 11:46:13","I","2023-06-13 00:00:00","안마시술소","264126.999999641","486655.098310509","안마시술소","2","0","0","0","0","16","0","541.76",
"32","의료유사업","01_01_10_P","4181000","PHMB420084180029042400001","2008-03-24","","01","영업/정상","13","영업중","","","","","033)244-2999","","200-959","강원특별자치도 춘천시 후평1동 684번지 19호","강원특별자치도 춘천시 성심로47번길 32 (후평동)","","바오로안마원","2009-06-15 13:30:29","I","2023-06-13 00:00:00","안마원","265362.67461616","486709.709273983","안마원","1","0","0","0","0","0","0","35",
"33","의료유사업","01_01_10_P","4181000","PHMB420244181030042400001","2024-06-17","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 소양로1가 102-10","강원특별자치도 춘천시 번개시장길 35, 2층 202호 (소양로1가)","24247","바른손안마원","2024-06-20 14:15:49","I","2024-06-22 00:14:07","안마원","263872.563528877","488001.273872574","안마원","0","0","0","0","0","4","0","75.65",
"34","의료유사업","01_01_10_P","4181000","PHMB420254181030042400001","2025-03-14","","01","영업/정상","13","영업중","","","","","033-911-7885","","","강원특별자치도 춘천시 후평동 25","강원특별자치도 춘천시 후석로 247, 5층 502호 (후평동)","24284","정담안마원","2025-03-19 17:43:56","I","2025-03-21 00:10:38","안마원","266120.470828552","485927.629589119","안마원","0","0","0","0","0","5","0","153.13",
"35","의료유사업","01_01_10_P","4181000","PHMB420234181030042400001","2023-12-18","","01","영업/정상","13","영업중","","","","","033-263-7575","","","강원특별자치도 춘천시 석사동 756-4","강원특별자치도 춘천시 우석로 53-1, 1층 (석사동)","24326","학천테라피 안마원","2023-12-19 13:25:53","I","2023-12-21 00:17:03","안마원","266036.189055447","484859.195666361","안마원","1","0","0","0","0","0","0","75.21",
"36","의료유사업","01_01_10_P","4191000","PHMB420034190023042400001","2003-10-30","","03","폐업","03","폐업","2008-11-30","","","","033-744-4445","","220-938","강원특별자치도 원주시 단계동 842번지 5호","강원특별자치도 원주시 장미공원길 24 (단계동)","","골드안마시술소","2008-12-01 13:10:45","I","2023-06-13 00:00:00","안마시술소","282565.003263276","427652.77683484","안마시술소","2","0","0","0","0","5","0","100",
"37","의료유사업","01_01_10_P","4191000","PHMB420134190023042400001","2013-01-24","","03","폐업","03","폐업","2014-04-18","","","","","","220-938","강원특별자치도 원주시 단계동 853번지 6호","강원특별자치도 원주시 북원로 2235-8 (단계동)","220-938","더블유안마","2014-04-18 13:34:27","I","2023-06-13 00:00:00","안마시술소","282447.83","427481.465","안마시술소","2","0","0","0","0","5","0","372.3",
"38","의료유사업","01_01_10_P","4191000","PHMB420134190023042400002","2013-09-16","","03","폐업","03","폐업","2018-01-10","","","","","","220-948","강원특별자치도 원주시 명륜2동 815번지 2호","강원특별자치도 원주시 소방서길 3 (명륜동)","26481","유한물리안마원","2018-01-10 16:24:41","I","2023-06-13 00:00:00","안마원","283747.888718279","425816.908885385","안마원","0","0","0","0","0","0","0","68",
"39","의료유사업","01_01_10_P","4191000","PHMB420144190023042400001","2014-03-03","","03","폐업","03","폐업","2023-11-28","","","","033-900-7899","","220-030","강원특별자치도 원주시 학성동 1061번지 5호 대성빌딩 112호","강원특별자치도 원주시 남산로 180, 1층 112호 (학성동, 대성빌딩)","26417","권성길서울안마원","2023-11-28 17:10:52","U","2023-11-30 02:40:00","안마원","283291.73714663","428198.67238433","안마원","0","0","0","0","0","0","0","50.28",
"40","의료유사업","01_01_10_P","4191000","PHMB420144190023042400003","2014-06-20","","03","폐업","03","폐업","2018-05-16","","","","033-744-7570","","","","강원특별자치도 원주시 원문로 73-1 (학성동)","26412","약손물리안마원","2018-05-28 13:49:11","I","2023-06-13 00:00:00","안마원","283046.463630574","428702.090910442","안마원","0","0","0","0","0","0","0","33",
"41","의료유사업","01_01_10_P","4191000","PHMB420154190023042400001","2015-08-03","","03","폐업","03","폐업","2019-02-27","","","","","","","","강원특별자치도 원주시 장미공원길 24, 3층 (단계동)","220-938","강원안마원","2019-02-27 11:28:35","I","2023-06-13 00:00:00","안마원","282565.003263276","427652.77683484","안마원","0","0","0","0","0","0","0","69.75",
"42","의료유사업","01_01_10_P","4191000","PHMB420164190023042400001","2016-11-03","","03","폐업","03","폐업","2018-11-14","","","","","","","강원특별자치도 원주시 관설동 1713번지 1호","강원특별자치도 원주시 단관초교길 7, 상가동 108호 (관설동, 청솔6차아파트)","26473","행복드림안마원","2018-11-14 11:15:59","I","2023-06-13 00:00:00","안마원","285516.185574864","424374.586469565","안마원","1","0","0","0","0","2","0","40",
"43","의료유사업","01_01_10_P","4191000","PHMB420184190023042400001","2018-11-19","","03","폐업","03","폐업","2019-02-22","","","","","","","강원특별자치도 원주시 단구동 1630번지 11호","강원특별자치도 원주시 단구로 386, 2층 (단구동)","26487","드림안마원","2019-02-22 17:36:10","I","2023-06-13 00:00:00","안마원","284678.476620193","424908.393528748","안마원","0","0","0","0","0","1","0","67.59",
"44","의료유사업","01_01_10_P","4191000","PHMB420084190023042400001","2008-01-24","","03","폐업","03","폐업","2009-01-29","","","","033-764-9551","","220-070","강원특별자치도 원주시 인동 38번지 18호","강원특별자치도 원주시 중앙로 28 (인동)","","에이스안마시술소","2009-01-29 13:42:29","I","2023-06-13 00:00:00","안마시술소","284468.787468416","427578.009730063","안마시술소","2","0","0","0","0","13","0","539.45",
"45","의료유사업","01_01_10_P","4191000","PHMB420024190023042400001","2002-12-30","","03","폐업","03","폐업","2014-04-14","","","","033-743-3341","","220-100","강원특별자치도 원주시 단계동 863번지","강원특별자치도 원주시 장미공원길 47-8 (단계동)","","쿨안마시술소","2014-04-14 16:22:16","I","2023-06-13 00:00:00","안마시술소","282313.096051817","427592.492282067","안마시술소","1","0","0","0","0","4","0","286.56",
"46","의료유사업","01_01_10_P","4191000","PHMB420074190023042400001","2005-02-14","","03","폐업","03","폐업","2024-04-18","","","","033-744-3242","","220-935","강원특별자치도 원주시 단계동 845번지 3호 4층","강원특별자치도 원주시 장미공원길 25-5, 4층 (단계동)","26436","산안마시술소","2024-04-16 17:45:01","U","2024-04-18 02:40:00","안마시술소","282571.595515859","427581.430664675","안마시술소","2","0","0","0","0","15","0","271",
"47","의료유사업","01_01_10_P","4191000","PHMB420074190023042400002","2007-04-20","","03","폐업","03","폐업","2019-02-20","","","","033-746-7557","","","","강원특별자치도 원주시 행구로 8, 2층 (개운동)","26444","예약손안마원","2019-02-20 11:45:20","I","2023-06-13 00:00:00","안마원","284709.925750371","426983.944904552","안마원","0","0","0","0","0","1","0","80.3",
"48","의료유사업","01_01_10_P","4191000","PHMB420074190023042400003","2007-04-27","","03","폐업","03","폐업","2009-02-18","","","","033-763-6385","","220-070","강원특별자치도 원주시 인동 264번지 7호","강원특별자치도 원주시 원일로 14-1 (인동)","","홈런안마시술소","2009-02-18 18:18:18","I","2023-06-13 00:00:00","안마시술소","284496.329517327","427431.928791516","안마시술소","2","0","0","0","0","15","0","458.37",
"49","의료유사업","01_01_10_P","4191000","PHMB420074190023042400004","2004-05-10","","03","폐업","03","폐업","2018-09-28","","","","033-732-0234","","","강원특별자치도 원주시 단계동 853번지 5호 남원주타워 6층, 7층","강원특별자치도 원주시 북원로 2235-6, 6,7층 (단계동, 남원주타워)","26436","타워안마시술소","2018-09-28 11:36:23","I","2023-06-13 00:00:00","안마시술소","282477.150618431","427486.62048978","안마시술소","6","0","0","0","0","9","0","325",
"50","의료유사업","01_01_10_P","4191000","PHMB420034190023042400002","2003-12-31","","03","폐업","03","폐업","2011-02-01","2009-11-27","2010-05-30","","033-746-3400","","220-801","강원특별자치도 원주시 문막읍 건등1리 203번지 10호","강원특별자치도 원주시 문막읍 왕건로 9","","성지안마시술소","2011-02-01 14:32:27","I","2023-06-13 00:00:00","안마시술소","273591.138205627","424622.31739396","안마시술소","2","0","0","0","0","15","0","792",
"51","의료유사업","01_01_10_P","4191000","PHMB420024190023042400002","1997-09-23","","03","폐업","03","폐업","2023-12-04","2023-11-20","2024-11-20","","033-731-5096","","","강원특별자치도 원주시 단계동 861번지 5호","강원특별자치도 원주시 장미공원길 47-1 (단계동)","26436","슈퍼맨안마시술소","2023-12-04 17:28:21","U","2023-12-06 02:40:00","안마시술소","282347.945","427632.65","안마시술소","2","0","0","0","0","24","0","717",
"52","의료유사업","01_01_10_P","4191000","PHMB420094190023042400001","2009-02-18","","03","폐업","03","폐업","2017-01-17","","","","033-761-1926","","220-070","강원특별자치도 원주시 인동 264번지 7호 1층,2층,3층,4층","강원특별자치도 원주시 원일로 14-1 (인동)","26429","홈런안마시술소","2017-01-19 13:16:43","I","2023-06-13 00:00:00","안마시술소","284496.329517327","427431.928791516","안마시술소","2","0","0","0","0","17","0","607.06",
"53","의료유사업","01_01_10_P","4191000","PHMB420074190023042400007","2007-05-09","","03","폐업","03","폐업","2009-02-27","","","","033-901-9754","","220-940","강원특별자치도 원주시 단구동 114번지 14호","강원특별자치도 원주시 치악로1570번길 2 (단구동)","","대로안마원","2009-02-27 16:57:11","I","2023-06-13 00:00:00","안마원","285227.912574244","425040.698217521","안마원","1","0","0","0","0","0","0","70.5",
"54","의료유사업","01_01_10_P","4191000","PHMB420094190023042400002","2009-10-05","","03","폐업","03","폐업","2013-06-28","","","","033-742-2775","","220-100","강원특별자치도 원주시 단계동 842번지 5호","강원특별자치도 원주시 장미공원길 24 (단계동)","","원주클린 안마원","2013-06-28 16:25:07","I","2023-06-13 00:00:00","안마원","282565.003263276","427652.77683484","안마원","1","0","0","0","0","0","0","46.28",
"55","의료유사업","01_01_10_P","4191000","PHMB420104190023042400001","2010-12-08","","03","폐업","03","폐업","2014-07-07","","","","033-763-7993","","220-934","강원특별자치도 원주시 관설동 1732번지 2호  101호","강원특별자치도 원주시 관설안길 23-2 (관설동)","220-934","어깨결림안마원","2014-07-07 13:22:19","I","2023-06-13 00:00:00","안마원","285112.219412761","424333.935475075","안마원","1","0","0","0","0","0","0","58.24",
"56","의료유사업","01_01_10_P","4191000","PHMB420114190023042400001","2011-05-09","","03","폐업","03","폐업","2016-01-27","","","","033-748-6061","","220-937","강원특별자치도 원주시 단계동 794번지 11호","강원특별자치도 원주시 북원로2246번길 49 (단계동)","","성모안마원","2016-06-28 11:39:42","I","2023-06-13 00:00:00","안마원","282960.386279834","427355.705906296","안마원","1","0","0","0","0","0","0","83.42",
"57","의료유사업","01_01_10_P","4191000","PHMB420194190023042400002","2019-02-21","","01","영업/정상","11","양도양수","","","","","","","","강원특별자치도 원주시 관설동 1735번지 10호","강원특별자치도 원주시 관설안길 26 (관설동)","26472","온누리안마원","2024-01-12 13:37:08","U","2024-01-14 02:40:00","안마원","285074.054174231","424344.063065181","안마원","1","0","0","0","0","1","0","120.05",
"58","의료유사업","01_01_10_P","4191000","PHMB420134190023042400003","2013-09-30","","01","영업/정상","13","영업중","","","","","","","220-945","강원특별자치도 원주시 명륜1동 26번지 남부시장 2층","강원특별자치도 원주시 치악로 1803 (명륜동)","26441","강남안마원","2018-11-06 11:06:06","I","2023-06-13 00:00:00","안마원","284505.128476342","427202.926014401","안마원","0","0","0","0","0","0","0","55",
"59","의료유사업","01_01_10_P","4191000","PHMB420144190023042400002","2014-06-12","","01","영업/정상","13","영업중","","","","","033-731-9675","","","","강원특별자치도 원주시 금불4길 32 (단계동)","26423","베데스다 안마원","2017-04-28 11:44:39","I","2023-06-13 00:00:00","안마원","282605.765681989","427920.007415424","안마원","1","0","0","0","0","6","0","112.32",
"60","의료유사업","01_01_10_P","4191000","PHMB420144190023042400004","2014-09-16","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 명륜동 90번지 9호","강원특별자치도 원주시 남원로 659-2, 106호 (명륜동)","26441","평화안마원","2018-12-03 13:22:44","I","2023-06-13 00:00:00","안마원","284450.721284251","427068.856594792","안마원","0","0","0","0","0","0","0","34.4",
"61","의료유사업","01_01_10_P","4191000","PHMB420144190023042400005","2014-10-31","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 단구동 1512-2 광장빌딩","강원특별자치도 원주시 서원대로 408, 광장빌딩 5층 505호 (단구동)","26484","더드림안마원","2021-12-06 16:13:59","I","2023-06-13 00:00:00","안마원","284124.423574889","425753.203190806","안마원","2","0","0","0","0","2","0","109.98",
"62","의료유사업","01_01_10_P","4191000","PHMB420194190023042400001","2019-01-22","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 명륜동 705번지 명륜2단지아파트","강원특별자치도 원주시 예술관길 25, 2층 202호 (명륜동, 명륜2단지아파트)","26481","새봄 안마원","2019-06-24 16:15:08","I","2023-06-13 00:00:00","안마원","283422.748540837","425961.551802728","안마원","0","0","0","0","0","1","0","27.75",
"63","의료유사업","01_01_10_P","4191000","PHMB420194190023042400003","2019-02-21","","01","영업/정상","13","영업중","","","","","033-765-6061","","","강원특별자치도 원주시 원동 88-5","강원특별자치도 원주시 원일로 19, 1층 (원동)","26432","드림안마원","2021-07-29 13:54:36","I","2023-06-13 00:00:00","안마원","284429.826753706","427439.116431941","안마원","3","0","0","0","0","6","0","224",
"64","의료유사업","01_01_10_P","4191000","PHMB419974190023042400001","1997-09-23","","01","영업/정상","13","영업중","","","","","033-764-1211","","220-940","강원특별자치도 원주시 단구동 158번지 4호","강원특별자치도 원주시 강변로 211-3 (단구동)","","에덴지압시술원","2014-12-24 14:22:47","I","2023-06-13 00:00:00","안마원","285263.08093771","425417.286025492","안마원","1","0","0","0","0","1","0","10.1",
"65","의료유사업","01_01_10_P","4191000","PHMB419984190023042400001","1998-06-19","","01","영업/정상","13","영업중","","","","","033-766-0090","","","강원특별자치도 원주시 명륜동 764번지 현대아파트 상가 101, 104호","강원특별자치도 원주시 한지공원길 94-34, 101, 104호 (명륜동, 현대아파트 상가)","26479","건강안마원","2016-02-04 11:49:19","I","2023-06-13 00:00:00","안마원","283293.224844307","426322.024267602","안마원","0","0","0","0","0","1","0","42.75",
"66","의료유사업","01_01_10_P","4191000","PHMB420074190023042400005","2007-11-06","","01","영업/정상","13","영업중","","","","","","","220-903","강원특별자치도 원주시 중앙동 62번지 61호 중앙시장 라동 27호","강원특별자치도 원주시 중앙시장길 6 (중앙동,중앙시장 라동 27호)","26428","새아침안마원","2012-01-05 10:51:42","I","2023-06-13 00:00:00","안마원","284057.698487928","427995.569463459","안마원","1","0","0","0","0","1","0","9.9",
