"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자본금","거래처",
"11","석유판매업","09_28_08_P","4181000","2006418015501500002","2006-10-11","","01","영업/정상","01","신규등록","","","","","033 252 5149","805.8","","강원특별자치도 춘천시 후평동 717-18 32통5반","강원특별자치도 춘천시 후석로 453 (후평동)","","행복한 Self 주유소","2023-10-19 15:50:55","U","2023-10-21 02:40:00","주유소","265179.84582827","487671.923517057","","",
"12","석유판매업","09_28_08_P","4181000","2006418015501500003","2006-11-28","","01","영업/정상","01","신규등록","","","","","033 4337444","1493","","강원특별자치도 춘천시 동내면 학곡리 425-3","강원특별자치도 춘천시 동내면 영서로 1868","","춘천중앙주유소","2013-12-20 16:11:52","I","2023-06-13 00:00:00","주유소","266757.96419762","482581.384246619","","",
"13","석유판매업","09_28_08_P","4181000","2007418016601500001","2007-10-23","","01","영업/정상","01","신규등록","","","","","033 256 8951","1064","","강원특별자치도 춘천시 사농동 685-4","강원특별자치도 춘천시 영서로 2998 (사농동)","","에이치디현대오일뱅크(주)직영 소양강셀프주유소","2025-04-28 13:54:28","U","2025-04-30 02:40:00","주유소","263374.774398873","491030.196982723","","",
"14","석유판매업","09_28_08_P","4181000","2007418016601500002","2007-11-02","","01","영업/정상","01","신규등록","","","","","0332420238","921","","강원특별자치도 춘천시 동면 만천리 822-2 외 2필지","강원특별자치도 춘천시 동면 만천로 139 (외 2필지)","","새만천 주유소","2023-10-19 15:40:32","U","2023-10-21 02:40:00","주유소","266699.301843973","486894.000688468","","",
"15","석유판매업","09_28_08_P","4181000","2008418016601500003","2008-05-21","","01","영업/정상","01","신규등록","","","","","2615600","189","","강원특별자치도 춘천시 동내면 고은리 537-1","강원특별자치도 춘천시 동내면 순환대로 758","","(주)이오젠","2023-10-19 15:15:12","U","2023-10-21 02:40:00","주유소","267840.337229907","483104.702503928","","",
"16","석유판매업","09_28_08_P","4181000","2008418016601500004","2008-05-21","","01","영업/정상","01","신규등록","","","","","2615600","","","강원특별자치도 춘천시 동내면 고은리 537-1","강원특별자치도 춘천시 동내면 순환대로 758","","아이디충전소주유소","2008-05-21 15:28:29","I","2023-06-13 00:00:00","주유소","267840.337229907","483104.702503928","","",
"17","석유판매업","09_28_08_P","4181000","1990418001601500012","1990-04-12","","01","영업/정상","01","신규등록","","","","","033 2564545","1460","","강원특별자치도 춘천시 우두동 47-1","강원특별자치도 춘천시 충열로 314 (우두동)","","대명주유소","2023-10-19 15:27:34","U","2023-10-21 02:40:00","주유소","264972.67958111","491142.717019116","","",
"18","석유판매업","09_28_08_P","4181000","1976418001601500002","1976-05-27","","01","영업/정상","01","신규등록","","","","","033 2513131","794","","강원특별자치도 춘천시 근화동 284-4","강원특별자치도 춘천시 공지로 443 (근화동)","","대성주유소","2023-10-19 15:28:04","U","2023-10-21 02:40:00","주유소","263116.907860535","485915.754084904","","",
"19","석유판매업","09_28_08_P","4181000","1982418001601200006","1982-03-10","","01","영업/정상","01","신규등록","","","","","003302531222","","","강원특별자치도 춘천시 죽림동 4-64","강원특별자치도 춘천시 중앙로 67-22 (중앙로1가)","","육림석유","2013-12-20 15:44:41","I","2023-06-13 00:00:00","일반판매소","","","","",
"20","석유판매업","09_28_08_P","4181000","1985418001601500006","1985-06-07","","01","영업/정상","01","신규등록","","","","","033 252 5455","825.8","","강원특별자치도 춘천시 소양로4가 115-1","강원특별자치도 춘천시 중앙로 146 (소양로4가)","","(주)케이에스에스씨주유소","2025-01-06 14:02:37","U","2025-01-08 02:40:00","주유소","263168.111667235","486140.16826169","","",
"21","석유판매업","09_28_08_P","4181000","1987418001601500008","1987-04-11","","01","영업/정상","01","신규등록","","","","","033 2564437","530","","강원특별자치도 춘천시 운교동 174-2","강원특별자치도 춘천시 춘천로146번길 17-19 (운교동)","","현진주유소","2023-10-19 15:51:18","U","2023-10-21 02:40:00","주유소","264382.018364741","486113.578033322","","",
"22","석유판매업","09_28_08_P","4181000","1991418001601500015","1991-01-18","","01","영업/정상","01","신규등록","","","","","033 262 0051","569","","강원특별자치도 춘천시 효자동 287-1","강원특별자치도 춘천시 공지로 234-1 (효자동)","","춘천주유소","2023-10-19 15:47:51","U","2023-10-21 02:40:00","주유소","264850.592004144","484837.957803838","","",
"23","석유판매업","09_28_08_P","4181000","1991418001601500017","1991-01-30","","01","영업/정상","01","신규등록","","","","","033 2423700","789","","강원특별자치도 춘천시 사농동 372-8 외 3필지","강원특별자치도 춘천시 영서로 2905 (사농동)","","에이치디현대오일뱅크(주)직영 위도현대주유소","2025-04-28 13:54:17","U","2025-04-30 02:40:00","주유소","263421.332719107","490116.941070067","","",
"24","석유판매업","09_28_08_P","4181000","1991418001601500018","1991-03-23","","01","영업/정상","01","신규등록","","","","","033 2622621","536","","강원특별자치도 춘천시 서면 당림리 385-12","강원특별자치도 춘천시 서면 경춘로 969","","당림주유소","2023-10-19 15:26:54","U","2023-10-21 02:40:00","주유소","254278.867180919","480996.201506267","","",
"25","석유판매업","09_28_08_P","4181000","1991418001601500020","1991-09-06","","01","영업/정상","01","신규등록","","","","","033 2435288","1500","","강원특별자치도 춘천시 사북면 지촌리 100-3","강원특별자치도 춘천시 사북면 영서로 4927","","신포주유소","2024-06-12 11:30:37","U","2024-06-14 02:40:00","주유소","256491.499517525","505139.833031887","","",
"26","석유판매업","09_28_08_P","4181000","1992418001601500022","1992-01-20","","01","영업/정상","01","신규등록","","","","","033 2550710","1211","","강원특별자치도 춘천시 우두동 761-29","강원특별자치도 춘천시 사우4길 10-1 (우두동)","24226","춘천농협주유소","2023-10-19 15:46:53","U","2023-10-21 02:40:00","주유소","263878.486077528","489284.456224515","","",
"27","석유판매업","09_28_08_P","4181000","1989418001601500011","1989-02-14","","01","영업/정상","01","신규등록","","","","","033 2612706","2322","","강원특별자치도 춘천시 석사동 116-27","강원특별자치도 춘천시 공지로 49 (석사동)","","석사주유소","2023-10-19 15:14:15","U","2023-10-21 02:40:00","주유소","266078.789791275","483519.632212311","","",
"28","석유판매업","09_28_08_P","4181000","1995418001601500061","1995-02-04","","01","영업/정상","01","신규등록","","","","","033 2428251","588","","강원특별자치도 춘천시 신북읍 천전리 686-7","강원특별자치도 춘천시 신북읍 신샘밭로 586","","소양댐주유소","2023-10-19 15:43:01","U","2023-10-21 02:40:00","주유소","268045.600951942","492204.288892697","","",
"29","석유판매업","09_28_08_P","4181000","1995418001601500066","1995-10-16","","01","영업/정상","01","신규등록","","","","","033 2442011","1390","","강원특별자치도 춘천시 서면 서상리 178","강원특별자치도 춘천시 서면 서상로 387","","고향주유소","2023-10-19 15:23:07","U","2023-10-21 02:40:00","주유소","260871.427289444","494483.053205893","","",
"30","석유판매업","09_28_08_P","4181000","1995418001601500069","1995-12-05","","01","영업/정상","01","신규등록","","","","","033 2632425","982","","강원특별자치도 춘천시 서면 안보리 177-1","강원특별자치도 춘천시 서면 경춘로 629","","경춘제1주유소","2025-10-31 18:43:54","U","2025-11-02 02:40:00","주유소","251036.517096578","481766.050362807","","",
"31","석유판매업","09_28_08_P","4181000","1995418001601500076","1995-12-19","","01","영업/정상","01","신규등록","","","","","033 2615185","695","","강원특별자치도 춘천시 동내면 사암리 1251-1","강원특별자치도 춘천시 동내면 순환대로 660","","에이치디현대오일뱅크(주)직영 대룡산주유소","2025-10-20 13:35:12","U","2025-10-23 02:40:00","주유소","267262.256013805","482316.197224636","","",
"32","석유판매업","09_28_08_P","4181000","1995418001601500080","1995-12-29","","01","영업/정상","01","신규등록","","","","","033 2438288","823","","강원특별자치도 춘천시 온의동 512-1","강원특별자치도 춘천시 경춘로 2365 (온의동)","","에이치디현대오일뱅크(주)직영 고속터미널주유소","2025-04-28 13:54:05","U","2025-04-30 02:40:00","주유소","263290.159598588","484934.971633738","","",
"33","석유판매업","09_28_08_P","4181000","1999418001601500091","1999-07-31","","01","영업/정상","01","신규등록","","","","","033 2583601","825","","강원특별자치도 춘천시 퇴계동 623-2","강원특별자치도 춘천시 영서로 2241 (퇴계동)","","에이치디현대오일뱅크(주)직영 장미셀프주유소","2025-08-12 17:31:56","U","2025-08-14 02:40:00","주유소","263725.89698853","484708.896321734","","",
"34","석유판매업","09_28_08_P","4181000","2001418001601200001","2001-07-23","","01","영업/정상","01","신규등록","","","","","111111111111","","","강원특별자치도 춘천시 후평동 701-3","강원특별자치도 춘천시 후석로 322 (후평동)","","SK네트웍스(주) ok주유소","2013-12-20 14:12:53","I","2023-06-13 00:00:00","일반판매소","265936.475111981","486623.580621555","","",
"35","석유판매업","09_28_08_P","4181000","2001418001601200002","2001-07-18","","01","영업/정상","01","신규등록","","","","","03302558654","","","강원특별자치도 춘천시 교동 11-105 9통3반","강원특별자치도 춘천시 교동길 57-4 (교동)","","삼호","2013-12-20 14:12:05","I","2023-06-13 00:00:00","일반판매소","264762.353030848","486807.270139007","","",
"36","석유판매업","09_28_08_P","4181000","1996418001601500082","1996-02-08","","01","영업/정상","01","신규등록","","","","","033 2415151","821","","강원특별자치도 춘천시 온의동 501-7","강원특별자치도 춘천시 경춘로 2137 (온의동)","","만남의광장주유소","2023-10-19 15:39:48","U","2023-10-21 02:40:00","주유소","262783.432266062","482789.516811151","","",
"37","석유판매업","09_28_08_P","4181000","1996418001601500086","1996-07-03","","01","영업/정상","01","신규등록","","","","","033 241 5185","902.1","","강원특별자치도 춘천시 효자동 653-2","강원특별자치도 춘천시 효자로 150 (효자동)","","광장self 주유소","2023-10-19 15:23:38","U","2023-10-21 02:40:00","주유소","264663.291425122","486177.72617305","","",
"38","석유판매업","09_28_08_P","4181000","1997418001601500089","1997-09-19","","01","영업/정상","01","신규등록","","","","","033 2534591","913","","강원특별자치도 춘천시 후평동 701-3","강원특별자치도 춘천시 후석로 322 (후평동)","","케이케이(주) 춘천중앙2주유소","2025-10-16 16:38:33","U","2025-10-18 02:40:00","주유소","265936.475111981","486623.580621555","","",
"39","석유판매업","09_28_08_P","4181000","1998418001601200007","1998-06-04","","01","영업/정상","01","신규등록","","","","","003302545292","","","강원특별자치도 춘천시 죽림동 150","강원특별자치도 춘천시 망대길 19-2  (죽림동)","","익성사","2000-10-02 00:00:00","I","2023-06-13 00:00:00","일반판매소","263719.629594392","486166.141246832","","",
"40","석유판매업","09_28_08_P","4181000","2008418016601500115","2008-11-27","","01","영업/정상","01","신규등록","","","","","003302439700","756","","강원특별자치도 춘천시 신북읍 율문리 551-1","강원특별자치도 춘천시 신북읍 율문길 71","","신북농업협동조합","2023-10-19 15:43:55","U","2023-10-21 02:40:00","주유소","265486.324533957","491723.428032791","","",
"41","석유판매업","09_28_08_P","4181000","1994418001601500043","1994-02-04","","01","영업/정상","01","신규등록","","","","","033 2568722","860","","강원특별자치도 춘천시 사북면 고탄리 134-3","강원특별자치도 춘천시 사북면 춘화로 536","","길성주유소","2023-10-19 15:25:20","U","2023-10-21 02:40:00","주유소","262303.88476874","498594.901376094","","",
"42","석유판매업","09_28_08_P","4181000","1994418001601500046","1994-02-23","","01","영업/정상","01","신규등록","","","","","033 2418951","536","","강원특별자치도 춘천시 신동 945-1","강원특별자치도 춘천시 영서로 3176 (신동)","","춘천원예농협주유소","2023-10-19 15:47:32","U","2023-10-21 02:40:00","주유소","263274.518707428","492751.581610458","","",
"43","석유판매업","09_28_08_P","4181000","1994418001601500047","1994-03-03","","01","영업/정상","01","신규등록","","","","","033 2424951","568","","강원특별자치도 춘천시 신동 890-6","강원특별자치도 춘천시 영서로 3100 (신동)","","대영주유소","2023-10-19 15:28:40","U","2023-10-21 02:40:00","주유소","263408.638828803","492015.127698354","","",
"44","석유판매업","09_28_08_P","4181000","1994418001601500049","1994-03-30","","01","영업/정상","01","신규등록","","","","","033 2615114","456","","강원특별자치도 춘천시 동면 만천리 303","강원특별자치도 춘천시 동면 순환대로 1077","24213","만천주유소","2023-10-19 15:40:07","U","2023-10-21 02:40:00","주유소","268254.211646791","486227.837367491","","",
"45","석유판매업","09_28_08_P","4181000","1994418001601500051","1994-04-04","","01","영업/정상","01","신규등록","","","","","033 2617363","756","","강원특별자치도 춘천시 남면 발산리 778-1","강원특별자치도 춘천시 남면 충효로 1168","","황골주유소","2023-10-19 15:52:04","U","2023-10-21 02:40:00","주유소","252467.013859085","469915.257178861","","",
"46","석유판매업","09_28_08_P","4181000","1994418001601500053","1994-04-25","","01","영업/정상","01","신규등록","","","","","033 2626226","456","","강원특별자치도 춘천시 신동면 정족리 158-1","","","신동주유소","2024-11-27 12:31:03","U","2024-11-29 02:40:00","주유소","","","","",
"47","석유판매업","09_28_08_P","4181000","1994418001601500054","1994-05-03","","01","영업/정상","01","신규등록","","","","","033 2631651","566","","강원특별자치도 춘천시 신동면 팔미리 146-1","강원특별자치도 춘천시 신동면 경춘로 1936","24411","섬강에너지(주)","2023-10-19 15:42:41","U","2023-10-21 02:40:00","주유소","262465.58986172","480827.515700454","","",
"48","석유판매업","09_28_08_P","4181000","1994418001601500055","1994-05-30","","01","영업/정상","01","신규등록","","","","","033 2411411","986","","강원특별자치도 춘천시 신북읍 율문리 32-1","강원특별자치도 춘천시 신북읍 신샘밭로 485","","쌍둥이주유소","2023-10-19 15:44:33","U","2023-10-21 02:40:00","주유소","267039.886958455","492195.33461805","","",
"49","석유판매업","09_28_08_P","4181000","1994418001601500058","1994-10-06","","01","영업/정상","01","신규등록","","","","","033 2613335","625","","강원특별자치도 춘천시 신동면 팔미리 861-151","강원특별자치도 춘천시 신동면 경춘로 1766","","도성주유소","2023-10-19 15:29:34","U","2023-10-21 02:40:00","주유소","261148.729970744","480180.840199956","","",
"50","석유판매업","09_28_08_P","4181000","2008418016601500116","2008-12-31","","01","영업/정상","01","신규등록","","","","","003302439700","","","강원특별자치도 춘천시 신북읍 율문리 551-1","강원특별자치도 춘천시 신북읍 율문길 71","","신북농업협동조합","2013-12-20 13:59:24","I","2023-06-13 00:00:00","주유소","265486.324533957","491723.428032791","","",
"51","석유판매업","09_28_08_P","4181000","2009418016601500001","2009-01-12","","01","영업/정상","01","신규등록","","","","","033 260 8732","934","","강원특별자치도 춘천시 남산면 광판리 129-4","강원특별자치도 춘천시 남산면 종자리로 28","","남산농협주유소 광판점","2023-10-19 15:26:04","U","2023-10-21 02:40:00","주유소","262807.29418459","471543.874030231","","",
"52","석유판매업","09_28_08_P","4181000","2009418016601500118","2009-07-22","","01","영업/정상","01","신규등록","","","","","263 944","4123","","강원특별자치도 춘천시 동내면 학곡리 425-3","강원특별자치도 춘천시 동내면 영서로 1868","","춘천중앙주유소","2009-07-22 20:40:12","I","2023-06-13 00:00:00","주유소","266757.96419762","482581.384246619","","",
"53","석유판매업","09_28_08_P","4181000","1998418001601200030","1998-10-19","","01","영업/정상","01","신규등록","","","","","003302531616","","","강원특별자치도 춘천시 우두동 442-25","강원특별자치도 춘천시 충열로 139 (우두동)","","강원석유","2013-12-20 14:27:36","I","2023-06-13 00:00:00","일반판매소","264942.966633661","489462.146747763","","",
"54","석유판매업","09_28_08_P","4181000","1995418001601500062","1995-03-14","2013-12-02","04","취소/말소/만료/정지/중지","02","등록취소","","","","","033 2638639","","","강원특별자치도 춘천시 서면 안보리 668-1","강원특별자치도 춘천시 서면 경춘로 542","","강촌그린주유소","2013-12-20 09:42:05","I","2023-06-13 00:00:00","주유소","250222.353271938","482072.085018599","","",
"55","석유판매업","09_28_08_P","4181000","2024418109301500002","2024-01-24","2024-01-24","04","취소/말소/만료/정지/중지","02","등록취소","","","","","033-262-8787","786.23","","강원특별자치도 춘천시 남산면 방곡리 150-2","강원특별자치도 춘천시 남산면 보매기1길 62-25","24465","남산농협주유소","2024-01-24 14:51:41","I","2024-01-26 00:16:29","주유소","256605.84439628","476707.933040523","","",
"56","석유판매업","09_28_08_P","4181000","2010418016601500003","2010-10-08","","03","폐업","03","폐지","2014-08-21","","","","","100","","강원특별자치도 춘천시 동내면 신촌리 510 3통1반","강원특별자치도 춘천시 동내면 신촌양지길 79-6","","범양석유","2014-08-22 10:26:14","I","2023-06-13 00:00:00","용제판매소","267296.944375965","483592.789793273","","",
"57","석유판매업","09_28_08_P","4181000","2013418023101500001","2013-03-27","","03","폐업","03","폐지","2013-07-29","","","","","","","강원특별자치도 춘천시 신북읍 천전리 111-5","강원특별자치도 춘천시 신북읍 배후령길 16","","샘밭 주유소","2013-07-29 18:54:07","I","2023-06-13 00:00:00","주유소","268712.618753927","492315.854830254","","",
"58","석유판매업","09_28_08_P","4181000","2014418027901200001","2014-08-28","","03","폐업","03","폐지","2020-12-04","","","","0332551929","","","","강원특별자치도 춘천시 중앙로166번길 8-1 (근화동)","","범양석유","2020-12-04 11:34:10","I","2023-06-13 00:00:00","일반판매소","262986.455936919","486129.504507748","","",
"59","석유판매업","09_28_08_P","4181000","2015418027901500002","2015-11-23","","03","폐업","03","폐지","2021-05-18","","","","0332613065","1326","","","강원특별자치도 춘천시 서면 경춘로 542","","경춘로주유소","2021-05-20 11:47:19","I","2023-06-13 00:00:00","주유소","250222.353271938","482072.085018599","","",
"60","석유판매업","09_28_08_P","4181000","1992418001601500024","1992-07-27","","03","폐업","03","폐지","2014-12-12","","","","033 2515170","","","강원특별자치도 춘천시 온의동 155-1","강원특별자치도 춘천시 춘천로 7 (온의동)","","강남주유소","2014-12-12 15:53:34","I","2023-06-13 00:00:00","주유소","263362.833176519","485062.156373613","","",
"61","석유판매업","09_28_08_P","4181000","1993418001601200022","1993-08-18","","03","폐업","03","폐지","","","","","003302524268","","","강원특별자치도 춘천시 우두동 115-1","강원특별자치도 춘천시 우두상리길 55 (우두동)","","인성에너지","2013-12-20 11:10:29","I","2023-06-13 00:00:00","일반판매소","265235.944813179","490185.424339504","","",
"62","석유판매업","09_28_08_P","4181000","1993418001601500026","1993-04-24","","03","폐업","03","폐지","2019-04-10","2018-05-23","2019-05-22","","033 2424030","982","","강원특별자치도 춘천시 동면 지내리 209","강원특별자치도 춘천시 동면 가산로 78","","(주)대영상사동명주유소","2019-04-11 12:22:56","I","2023-06-13 00:00:00","주유소","268694.825464091","490100.814063994","","",
"63","석유판매업","09_28_08_P","4181000","1993418001601500034","1993-10-06","","03","폐업","03","폐지","2012-12-06","","","","033 2532251","","","강원특별자치도 춘천시 후평동 340-14","","","춘천원예농협주유소","2013-12-20 10:56:16","I","2023-06-13 00:00:00","주유소","","","","",
"64","석유판매업","09_28_08_P","4181000","1993418001601500035","1993-10-07","","03","폐업","03","폐지","2012-02-20","2010-08-31","2011-02-28","","033 2413377","","","강원특별자치도 춘천시 신북읍 천전리 111-3","강원특별자치도 춘천시 신북읍 배후령길 18","","샘밭주유소","2013-12-20 10:54:55","I","2023-06-13 00:00:00","주유소","268723.963568097","492338.530258436","","",
"65","석유판매업","09_28_08_P","4181000","1993418001601500036","1993-10-15","","03","폐업","03","폐지","2014-04-08","","","","033 2523131","","","강원특별자치도 춘천시 근화동 744-3","강원특별자치도 춘천시 영서로 2460 (근화동)","","공지천 주유소","2014-04-09 11:21:33","I","2023-06-13 00:00:00","주유소","262580.338548197","486397.356729337","","",
"66","석유판매업","09_28_08_P","4181000","1993418001601500038","1993-11-12","","03","폐업","03","폐지","2021-01-19","","","","033 2516209","327","","강원특별자치도 춘천시 온의동 65-31","강원특별자치도 춘천시 영서로 2349 (온의동)","","SK춘천호반주유소","2021-01-19 14:33:17","I","2023-06-13 00:00:00","주유소","262890.02200191","485402.824293781","","",
"67","석유판매업","09_28_08_P","4181000","1993418001601500039","1993-11-23","","03","폐업","03","폐지","2009-01-28","","","","033 2613011","513","","강원특별자치도 춘천시 온의동 506-1","강원특별자치도 춘천시 옛경춘로 516 (온의동)","","의암주유소","2013-12-20 10:34:28","I","2023-06-13 00:00:00","주유소","262719.722339152","482711.019545354","","",
"68","석유판매업","09_28_08_P","4181000","1993418001601500040","1993-12-03","","03","폐업","03","폐지","2014-11-19","2013-11-22","2014-11-21","","033 2420069","","","강원특별자치도 춘천시 동면 장학리 79-1","강원특별자치도 춘천시 동면 춘천로 563","","장학주유소","2014-11-19 17:57:33","I","2023-06-13 00:00:00","주유소","267255.15692592","488639.206826116","","",
"69","석유판매업","09_28_08_P","4181000","1994418001601200023","1994-10-14","","03","폐업","03","폐지","","","","","003302426163","","","강원특별자치도 춘천시 후평동 243-1","","","대명석유","2013-12-20 12:31:09","I","2023-06-13 00:00:00","일반판매소","","","","",
"70","석유판매업","09_28_08_P","4181000","1994418001601200024","1994-10-21","","03","폐업","03","폐지","2007-05-23","","","","003302619797","","","강원특별자치도 춘천시 동내면 학곡리 613-1","강원특별자치도 춘천시 동내면 원창고개길 282-6","","동내석유","2013-12-20 10:28:43","I","2023-06-13 00:00:00","일반판매소","267060.617587456","481458.498315213","","",
"71","석유판매업","09_28_08_P","4181000","2005418001601200002","2005-09-22","","03","폐업","03","폐지","2013-08-12","","","","033  2622706","","","강원특별자치도 춘천시 석사동 727-5 22통1반 진흥아파트 101동 1302호","강원특별자치도 춘천시 후석로186번길 9, 101동 1302호 (석사동,진흥아파트)","","석사석유","2013-08-12 14:24:31","I","2023-06-13 00:00:00","일반판매소","266248.753976684","485330.859552345","","",
"72","석유판매업","09_28_08_P","4181000","2005418001601500005","2005-07-06","","03","폐업","03","폐지","2020-08-21","","","","","554","","강원특별자치도 춘천시 효자동 750","강원특별자치도 춘천시 춘천로 236 (효자동)","","파란주유소","2020-08-24 11:46:26","I","2023-06-13 00:00:00","주유소","265041.591417075","486444.006271069","","",
"73","석유판매업","09_28_08_P","4181000","2008418016601200001","2008-03-18","","03","폐업","03","폐지","2015-05-18","","","","2635900","301","","강원특별자치도 춘천시 신북읍 천전리 82-2","강원특별자치도 춘천시 신북읍 신샘밭로 688-4","","씨모오일(주)","2015-05-18 18:04:57","I","2023-06-13 00:00:00","특수판매소","269040.964091981","492171.327425934","","",
"74","석유판매업","09_28_08_P","4181000","2008418016601200002","2008-05-15","","03","폐업","03","폐지","","","","","0339111222","109","","강원특별자치도 춘천시 동면 만천리 789-14","","","한신에너텍","2013-12-20 12:28:46","I","2023-06-13 00:00:00","특수판매소","266450.345117269","487317.637076687","","",
"75","석유판매업","09_28_08_P","4181000","2008418016601200018","1992-09-30","","03","폐업","03","폐지","2017-02-20","2015-04-06","2016-04-05","","003302514045","151.8","","강원특별자치도 춘천시 효자동 468-4","강원특별자치도 춘천시 효명1길 39-1 (효자동)","","동일석유","2020-08-02 18:25:36","I","2023-06-13 00:00:00","일반판매소","264350.34682062","485685.888846945","","",
"76","석유판매업","09_28_08_P","4181000","1990418001601500013","1990-08-13","","03","폐업","03","폐지","2020-05-11","","","","033 2415188","625","","강원특별자치도 춘천시 동면 상걸리 326","강원특별자치도 춘천시 동면 가락재로 1356","","잼버리주유소","2020-05-14 10:21:57","I","2023-06-13 00:00:00","주유소","274825.496436305","484603.593493607","","",
"77","석유판매업","09_28_08_P","4181000","1990418001601500014","1990-12-01","","03","폐업","03","폐지","2015-02-13","","","","033 2615288","","","강원특별자치도 춘천시 동산면 원창리 287-1","강원특별자치도 춘천시 동산면 영서로 1244","","할렐루야주유소","2015-05-27 11:51:13","I","2023-06-13 00:00:00","주유소","268021.205722643","477203.35235481","","",
"78","석유판매업","09_28_08_P","4181000","1990418035801200001","1990-01-01","","03","폐업","03","폐지","2021-09-09","","","","","","","강원특별자치도 춘천시 소양로4가 104-18","강원특별자치도 춘천시 가연길 11-1 (소양로4가)","24275","소양석유","2021-09-16 14:13:31","I","2023-06-13 00:00:00","일반판매소","263437.794541026","486342.70990958","","",
