"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수",
"11","개인하수처리시설관리업(사업장)","09_30_03_P","4181000","418100053200800002","2008-07-14","","03","폐업","2","폐업","2009-08-01","2009-08-01","","","0332426705","","200-947","강원특별자치도 춘천시 효자동 612-2","강원특별자치도 춘천시 서부대성로 185  (효자동)","","두리환경기술(주)","2013-07-29 15:25:48","I","2023-06-13 00:00:00","하수처리, 폐기물처리 및 청소관련 서비스업","264978.808991842","486102.776783812","분뇨등관련영업관리","하수처리, 폐기물처리 및 청소관련 서비스업","","","","0","","0",
"12","개인하수처리시설관리업(사업장)","09_30_03_P","4181000","418100053201900001","2019-12-18","","03","폐업","2","폐업","2023-10-31","","","","033-262-8620","","","강원특별자치도 춘천시 남산면 창촌리 300-18","강원특별자치도 춘천시 남산면 보매기길 69 ((주)한경이-텍)","24465","(주)한경이-텍","2023-11-13 09:45:36","U","2023-11-15 02:40:00","","256308.37030504","475815.245946418","분뇨등관련영업관리","","","","","0","","0",
"13","개인하수처리시설관리업(사업장)","09_30_03_P","4181000","418100053202100002","2021-05-12","","03","폐업","2","폐업","2022-04-28","","","","033-254-9948","","","강원특별자치도 춘천시 온의동 151-10","강원특별자치도 춘천시 영서로 2301, 2층 (온의동)","24435","한국산업개발 주식회사","2022-04-29 14:53:38","I","2023-06-13 00:00:00","","263223.615698129","485041.146257817","분뇨등관련영업관리","","","","","0","","0",
"14","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053200000004","2000-01-10","","01","영업/정상","11","영업","","","","","0371763 3344","","220-090","강원특별자치도 원주시 단구동 625-4","","","21세기환경(합)","2000-09-02 10:10:40","I","2023-06-13 00:00:00","하수처리, 폐기물처리 및 청소관련 서비스업","","","분뇨등관련영업관리","하수처리, 폐기물처리 및 청소관련 서비스업","","","","0","","0",
"15","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053200000005","2000-01-14","","01","영업/정상","11","영업","","","","","0371761 3375","","220-041","강원특별자치도 원주시 명륜동 311-22","","","(합)정우","2000-09-02 12:58:39","I","2023-06-13 00:00:00","하수처리, 폐기물처리 및 청소관련 서비스업","","","분뇨등관련영업관리","하수처리, 폐기물처리 및 청소관련 서비스업","","","","0","","0",
"16","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053200000007","2000-03-13","","01","영업/정상","11","영업","","","","","","","220-122","강원특별자치도 원주시 태장동 1720-38","","","녹색사람들(주)","2000-09-02 16:35:15","I","2023-06-13 00:00:00","하수처리, 폐기물처리 및 청소관련 서비스업","283509.787598439","433961.096678952","분뇨등관련영업관리","하수처리, 폐기물처리 및 청소관련 서비스업","","","","0","","0",
"17","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053200000006","2000-02-17","","01","영업/정상","11","영업","","","","","","","220-122","강원특별자치도 원주시 태장동 892-4","","","영그린환경(합)","2000-09-02 16:23:58","I","2023-06-13 00:00:00","하수처리, 폐기물처리 및 청소관련 서비스업","","","분뇨등관련영업관리","하수처리, 폐기물처리 및 청소관련 서비스업","","","","0","","0",
"18","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053200000010","2000-04-20","","01","영업/정상","11","영업","","","","","","","220-130","강원특별자치도 원주시 우산동 76-6","","","(주)우주건설","2004-10-08 11:39:47","I","2023-06-13 00:00:00","","","","분뇨등관련영업관리","","","","","0","","0",
"19","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053200000011","2000-07-07","","01","영업/정상","11","영업","","","","","","","220-122","강원특별자치도 원주시 태장동 2695-3","","","(합)동해산업환경개발","2000-09-04 13:35:46","I","2023-06-13 00:00:00","하수처리, 폐기물처리 및 청소관련 서비스업","283513.348176721","431605.638437638","분뇨등관련영업관리","하수처리, 폐기물처리 및 청소관련 서비스업","","","","0","","0",
"20","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053200000002","2000-03-23","","01","영업/정상","11","영업","","","","","","","220-090","강원특별자치도 원주시 단구동 100-13","","","(합)녹색환경","2000-09-04 14:57:08","I","2023-06-13 00:00:00","하수처리, 폐기물처리 및 청소관련 서비스업","","","분뇨등관련영업관리","하수처리, 폐기물처리 및 청소관련 서비스업","","","","0","","0",
"21","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053200000013","2000-09-19","","01","영업/정상","11","영업","","","","","","","220-100","강원특별자치도 원주시 단계동 888-1","","","(주)태성","2000-09-22 15:01:36","I","2023-06-13 00:00:00","하수처리, 폐기물처리 및 청소관련 서비스업","","","분뇨등관련영업관리","하수처리, 폐기물처리 및 청소관련 서비스업","","","","0","","0",
"22","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053200000014","2000-09-28","","01","영업/정상","11","영업","","","","","","","220-952","강원특별자치도 원주시 우산동 696-1","","","클린바이오텍(주)","2001-06-26 10:50:01","I","2023-06-13 00:00:00","그외 기타 화학제품 제조업","","","분뇨등관련영업관리","그외 기타 화학제품 제조업","","","","0","","0",
"23","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053200100001","2003-12-13","","01","영업/정상","11","영업","","","","","033-766-4607","","","강원특별자치도 원주시 반곡동 1380-2","강원특별자치도 원주시 반곡길 168-2, 201호 (반곡동)","26457","(주)녹색","2021-06-21 20:03:20","I","2023-06-13 00:00:00","","286027.189988439","425687.950617617","분뇨등관련영업관리","","","","","0","","0",
"24","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053200100003","2001-12-22","","01","영업/정상","11","영업","","","","","","","220-959","강원특별자치도 원주시 태장동 765-19","","","(주)천맥","2001-12-22 12:22:06","I","2023-06-13 00:00:00","하수, 분뇨 및 축산폐기물 처리업","","","분뇨등관련영업관리","하수, 분뇨 및 축산폐기물 처리업","","","","0","","0",
"25","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053200400002","2004-10-12","","01","영업/정상","11","영업","","","","","","","220-120","강원특별자치도 원주시 태장동 1379-4","","","지구환경이엔지(주)","2004-10-12 11:36:41","I","2023-06-13 00:00:00","","","","분뇨등관련영업관리","","","","","0","","0",
"26","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053007500001","2005-04-18","","01","영업/정상","11","영업","","","","","033-763-8700","","","강원특별자치도 원주시 판부면 서곡리 2011-6","강원특별자치도 원주시 판부면 오성마을길 63-7","220-910","(주)영동환경이앤텍","2025-05-02 09:15:27","U","2025-05-04 02:40:00","","284028.975216268","424549.946849535","분뇨등관련영업관리","","","","","0","","0",
"27","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053200500004","2005-12-27","","01","영업/정상","11","영업","","","","","033-762-3376","","","강원특별자치도 원주시 단구동 1471-3","강원특별자치도 원주시 치악로1534번길 9 (단구동)","26452","(주)정우환경산업","2021-09-30 09:13:34","I","2023-06-13 00:00:00","","285514.960563809","424844.257737973","분뇨등관련영업관리","","","","","0","","0",
"28","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053201300001","2013-04-18","","01","영업/정상","11","영업","","","","","033-731-9428","","220-940","강원특별자치도 원주시 단구동 148-5","강원특별자치도 원주시 홍판서길 70 (단구동)","220-940","(합자)강원환경","2025-01-23 10:56:01","U","2025-01-25 02:40:00","","285245.180594786","425346.313193954","분뇨등관련영업관리","","","","","0","","0",
"29","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053201400003","2014-12-26","","01","영업/정상","11","영업","","","","","070-4113-5672","","","강원특별자치도 원주시 흥업면 사제리 209-7","강원특별자치도 원주시 흥업면 원문로 780","26356","가람환경(주)","2021-06-29 10:27:34","I","2023-06-13 00:00:00","","279023.557377476","427430.940644019","분뇨등관련영업관리","","","","","0","","0",
"30","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053201500001","2015-05-29","","01","영업/정상","11","영업","","","","","766-7307","","","강원특별자치도 원주시 흥업면 매지리 1184-1 411호","강원특별자치도 원주시 흥업면 북원로 1389, 411호","26493","(주)우천환경이엔지","2024-12-10 13:36:44","U","2024-12-12 02:40:00","","280254.288140415","419626.869610252","분뇨등관련영업관리","","","","","0","","0",
"31","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053199900001","1999-12-02","","01","영업/정상","11","영업","","","","","03717454304","","220-100","강원특별자치도 원주시 단계동 870-4","","","(합)동림소재","2000-09-01 20:12:21","I","2023-06-13 00:00:00","하수처리, 폐기물처리 및 청소관련 서비스업","","","분뇨등관련영업관리","하수처리, 폐기물처리 및 청소관련 서비스업","","","","0","","0",
"32","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053200000016","2005-03-07","","01","영업/정상","11","영업","","","","","033-766-0258","","","강원특별자치도 원주시 문막읍 궁촌리 1021","강원특별자치도 원주시 문막읍 만디길 70","26496","주식회사 경천이앤씨","2025-07-09 15:04:56","U","2025-07-11 02:40:00","","273212.662155072","418142.253767625","분뇨등관련영업관리","","","","","0","","0",
"33","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053201200002","2012-04-18","","01","영업/정상","11","영업","","","","","033-743-6431","","","강원특별자치도 원주시 호저면 만종리 217-1","강원특별자치도 원주시 호저면 우무개로 326","26349","(주)동성환경엔지니어링","2025-04-11 17:44:52","U","2025-04-13 02:40:00","","280935.024259656","429774.133074899","분뇨등관련영업관리","","","","","0","","0",
"34","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053201800001","2018-08-22","","01","영업/정상","11","영업","","","","","033-763-2467","","","강원특별자치도 원주시 반곡동 1809-11 엔터비즈타워","강원특별자치도 원주시 입춘로 45, 엔터비즈타워 B동 712호 (반곡동)","26460","(주)지텍이앤씨","2023-09-06 10:33:26","U","2023-09-08 02:40:00","","286650.196160256","425529.258545694","분뇨등관련영업관리","","","","","0","","0",
"35","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053202400003","2024-08-22","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 원주시 호저면 만종리 328-8","강원특별자치도 원주시 호저면 우무개로 349, 2층","26349","(주)우석이엔씨","2025-09-01 11:15:43","U","2025-09-03 02:40:00","","","","분뇨등관련영업관리","","","","","0","","0",
"36","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053199900002","1999-12-23","","03","폐업","2","폐업","2000-02-23","","","","0371761 2462","","220-090","강원특별자치도 원주시 단구동 100-13","","","(합)녹색환경","2000-09-04 14:49:40","I","2023-06-13 00:00:00","하수처리, 폐기물처리 및 청소관련 서비스업","","","분뇨등관련영업관리","하수처리, 폐기물처리 및 청소관련 서비스업","","","","0","","0",
"37","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053200000003","2000-01-05","","03","폐업","2","폐업","2013-01-24","","","","033-744-5301","","220-937","강원특별자치도 원주시 단계동 788-16","강원특별자치도 원주시 단구로37번길 5 (단계동)","220-937","(주)동양기계","2013-01-24 17:09:45","I","2023-06-13 00:00:00","","283011.503004488","427450.053522217","분뇨등관련영업관리","","","","","0","","0",
"38","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053200000008","2000-03-10","","03","폐업","2","폐업","2013-04-08","","","","033-731-9428","","220-940","강원특별자치도 원주시 단구동 148-5","강원특별자치도 원주시 홍판서길 70 (단구동)","220-940","(합자)강원환경","2013-04-08 15:51:37","I","2023-06-13 00:00:00","","285245.180594786","425346.313193954","분뇨등관련영업관리","","","","","0","","0",
"39","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053200000012","2000-09-19","","03","폐업","2","폐업","2012-05-14","","","","742-2071","","220-912","강원특별자치도 원주시 판부면 서곡리 1987-6 (합)국제종합관리","강원특별자치도 원주시 판부면 매봉길 6-8","220-912","(합)국제종합관리","2012-05-15 19:06:09","I","2023-06-13 00:00:00","","283387.189323411","424758.977963884","분뇨등관련영업관리","","","","","0","","0",
"40","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053200100002","2001-04-16","","03","폐업","2","폐업","2007-04-30","2007-04-30","","","","","220-040","강원특별자치도 원주시 명륜동 161-4","","","경원환경(주)","2014-01-02 11:25:49","I","2023-06-13 00:00:00","","","","분뇨등관련영업관리","","","","","0","","0",
"41","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053200300002","2004-01-05","","03","폐업","2","폐업","2009-11-23","","","","","","220-937","강원특별자치도 원주시 단계동 512-20","","","(주)삼성환경엔지니어링","2010-02-19 13:01:27","I","2023-06-13 00:00:00","","","","분뇨등관련영업관리","","","","","0","","0",
"42","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053200500001","2005-10-17","","03","폐업","2","폐업","2018-11-19","","","","033-763-2467","","","강원특별자치도 원주시 반곡동 1897-4 코아루시티 202호","강원특별자치도 원주시 양지로 58, 202호 (반곡동, 코아루시티)","26462","광명천지(주)","2018-11-28 18:44:20","I","2023-06-13 00:00:00","하수 처리업","287204.787804644","425408.708646717","분뇨등관련영업관리","하수 처리업","","","","0","","0",
"43","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053200500003","2005-11-30","","03","폐업","2","폐업","2014-02-14","","","","033-746-4255","","220-962","강원특별자치도 원주시 태장동 1397-27","강원특별자치도 원주시 현충로318번길 19 (태장동)","220-962","(주)웨이스종합환경기술","2014-02-22 14:55:08","I","2023-06-13 00:00:00","","283992.197395528","431494.892289247","분뇨등관련영업관리","","","","","0","","0",
"44","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053200300001","2003-12-24","","03","폐업","2","폐업","2010-02-19","","","","","","220-962","강원특별자치도 원주시 태장동 1357-1","","","한세환경건설","2010-02-19 12:55:56","I","2023-06-13 00:00:00","","284176.552261111","432105.059366919","분뇨등관련영업관리","","","","","0","","0",
"45","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053200300003","2004-05-20","","03","폐업","2","폐업","2014-11-20","","","","033-748-4772","","220-962","강원특별자치도 원주시 태장동 1640-3 (주)한세이엔씨","강원특별자치도 원주시 장수2로 52 (태장동)","220-962","한세이엔씨(주)","2014-11-20 13:00:10","I","2023-06-13 00:00:00","","284808.239748839","433768.304785029","분뇨등관련영업관리","","","","","0","","0",
"46","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053200700001","2007-01-16","","03","폐업","2","폐업","2012-01-09","","","","033-766-4707","","220-150","강원특별자치도 원주시 무실동 721-6","","","(주)청경","2012-01-10 16:35:13","I","2023-06-13 00:00:00","","281613.152300823","424628.779459178","분뇨등관련영업관리","","","","","0","","0",
"47","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053201300002","2013-07-12","","03","폐업","2","폐업","2015-02-05","","","","033-744-9552","","220-122","강원특별자치도 원주시 태장동 1379-23","강원특별자치도 원주시 북원상가길 13, 2층 45호 (태장동, 북원상가아파트)","220-122","(주)가나엔텍","2015-02-05 09:25:28","I","2023-06-13 00:00:00","","283960.641282355","431787.035435458","분뇨등관련영업관리","","","","","0","","0",
"48","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053201400001","2014-05-16","","03","폐업","2","폐업","2016-10-18","","","","733-2000","","220-924","강원특별자치도 원주시 호저면 만종리 593-39","강원특별자치도 원주시 호저면 원문로 525-4","220-924","태영환경이앤씨(주)","2016-10-18 14:35:35","I","2023-06-13 00:00:00","","280049.629201072","428961.553750799","분뇨등관련영업관리","","","","","0","","0",
"49","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053201900001","2019-04-10","","03","폐업","2","폐업","2021-05-07","","","","","","","강원특별자치도 원주시 우산동 75-4","강원특별자치도 원주시 북원로 2531, 2층 (우산동)","26341","한국산업개발(주)","2021-05-11 09:46:39","I","2023-06-13 00:00:00","","283273.665091982","430245.004324131","분뇨등관련영업관리","","","","","0","","0",
"50","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053201200003","2012-02-16","","03","폐업","2","폐업","2014-01-02","","","","033-745-6617","","220-962","강원특별자치도 원주시 태장동 1720-4","강원특별자치도 원주시 태장공단길 59  (태장동)","","(주)태산수기","2014-01-02 13:44:23","I","2023-06-13 00:00:00","","283462.589256302","433927.581681106","분뇨등관련영업관리","","","","","0","","0",
"51","개인하수처리시설관리업(사업장)","09_30_03_P","4191000","419100053200800001","2008-09-01","","01","영업/정상","3","재개업","","2014-03-31","2014-03-31","2014-03-31","033-747-7119","","","강원특별자치도 원주시 흥업면 매지리 71","강원특별자치도 원주시 흥업면 분지동길 111","26494","(주)자연환경","2023-03-16 09:35:58","I","2023-06-13 00:00:00","","282090.25247076","420419.826312244","분뇨등관련영업관리","","","","","0","","0",
"52","개인하수처리시설관리업(사업장)","09_30_03_P","4201000","420100053199900006","1999-11-10","","01","영업/정상","11","영업","","","","","","","210-111","강원특별자치도 강릉시 포남동 1167 1동","강원특별자치도 강릉시 성덕포남로188번길 10, 1동 (포남동)","","(주)거화","2005-05-04 17:16:57","I","2023-06-13 00:00:00","","368163.108572399","475751.489656379","분뇨등관련영업관리","","","","","0","","0",
"53","개인하수처리시설관리업(사업장)","09_30_03_P","4201000","420100053200000002","2007-05-07","","01","영업/정상","11","영업","","","","","033 6427914","","210-803","강원특별자치도 강릉시 주문진읍 교항리 1207-10","","","케이엠네이쳐(주)","2008-02-29 13:41:57","I","2023-06-13 00:00:00","","360689.147050536","486906.388323301","분뇨등관련영업관리","","","","","0","","0",
"54","개인하수처리시설관리업(사업장)","09_30_03_P","4201000","420100053200600001","2006-01-24","","01","영업/정상","11","영업","","","","","","","210-070","강원특별자치도 강릉시 용강동 33-4","","","똥","2011-12-06 13:42:44","I","2023-06-13 00:00:00","","366573.731549346","474132.946855927","분뇨등관련영업관리","","","","","0","","0",
"55","개인하수처리시설관리업(사업장)","09_30_03_P","4201000","420100053199900008","2006-03-20","","01","영업/정상","11","영업","","","","","6614482","","210-801","강원특별자치도 강릉시 주문진읍 교항리 1207-6","","","(주)대성환경건설","2010-08-16 15:44:55","I","2023-06-13 00:00:00","","360487.917334175","486867.906205672","분뇨등관련영업관리","","","","","0","","0",
"56","개인하수처리시설관리업(사업장)","09_30_03_P","4201000","420100053201000001","2010-10-05","","03","폐업","2","폐업","2022-12-26","","","","0336624413","","","강원특별자치도 강릉시 주문진읍 교항리 1207-6","강원특별자치도 강릉시 주문진읍 농공단지길 28-32","25422","주식회사 세동이엔지","2022-12-26 10:23:14","I","2023-06-13 00:00:00","","360487.917334175","486867.906205672","분뇨등관련영업관리","","","","","0","","0",
"57","개인하수처리시설관리업(사업장)","09_30_03_P","4201000","420100053199900004","1999-10-05","","03","폐업","2","폐업","2009-04-15","","","","0336421872","","210-851","강원특별자치도 강릉시 사천면 석교리 613","강원특별자치도 강릉시 사천면 청솔공원길 207-12","","(주)대양이엔씨","2009-04-15 18:13:45","I","2023-06-13 00:00:00","","360745.122179084","482775.080007162","분뇨등관련영업관리","","","","","0","","0",
"58","개인하수처리시설관리업(사업장)","09_30_03_P","4201000","420100053199900005","2006-03-20","","03","폐업","2","폐업","2009-01-30","","","","","","210-111","강원특별자치도 강릉시 포남동 1167","강원특별자치도 강릉시 성덕포남로188번길 10  (포남동)","","(주)대성환경건설","2009-01-30 17:52:31","I","2023-06-13 00:00:00","분뇨 처리업","368163.108572399","475751.489656379","분뇨등관련영업관리","분뇨 처리업","","","","0","","0",
"59","개인하수처리시설관리업(사업장)","09_30_03_P","4201000","420100053200000001","2000-06-16","","03","폐업","2","폐업","2004-07-01","","","","","","210-160","강원특별자치도 강릉시 내곡동 480-8","","","(주)태원개발","2008-02-18 15:21:47","I","2023-06-13 00:00:00","","365688.427424125","472775.990082512","분뇨등관련영업관리","","","","","0","","0",
"60","개인하수처리시설관리업(사업장)","09_30_03_P","4211000","421100053200100001","2001-10-26","","01","영업/정상","11","영업","","","","","","","240-010","강원특별자치도 동해시 천곡동 1078-2","","","(주)한일바이오","2004-06-05 11:34:05","I","2023-06-13 00:00:00","","","","분뇨등관련영업관리","","","","","0","","0",
"61","개인하수처리시설관리업(사업장)","09_30_03_P","4211000","421100053200000003","2000-01-07","","01","영업/정상","11","영업","","","","","","","240-050","강원특별자치도 동해시 묵호진동 2-2","","","한국퓨어테크","2001-10-08 17:14:33","I","2023-06-13 00:00:00","","","","분뇨등관련영업관리","","","","","0","","0",
"62","개인하수처리시설관리업(사업장)","09_30_03_P","4211000","421100053200300002","2003-10-29","","01","영업/정상","11","영업","","","","","","","240-041","강원특별자치도 동해시 발한동 240-43","","","동해바이오환경","2003-10-29 19:03:07","I","2023-06-13 00:00:00","","","","분뇨등관련영업관리","","","","","0","","0",
"63","개인하수처리시설관리업(사업장)","09_30_03_P","4211000","421100053200000002","2000-08-11","","03","폐업","2","폐업","2019-11-01","","","","","","240-010","강원특별자치도 동해시 천곡동 1078-13","강원특별자치도 동해시 샘실1길 94  (천곡동)","","(주)우진","2020-01-02 18:01:26","I","2023-06-13 00:00:00","","386567.888751879","448724.097362653","분뇨등관련영업관리","","","","","0","","0",
"64","개인하수처리시설관리업(사업장)","09_30_03_P","4211000","421100053200200001","2002-02-22","","03","폐업","2","폐업","2020-01-06","","","","5357077","","240-812","강원특별자치도 동해시 천곡동 961-23","","","(합)동해이엔씨","2020-01-06 15:17:07","I","2023-06-13 00:00:00","","","","분뇨등관련영업관리","","","","","0","","0",
"65","개인하수처리시설관리업(사업장)","09_30_03_P","4211000","421100053200300001","2003-07-29","","03","폐업","2","폐업","2008-01-09","","","","","","240-130","강원특별자치도 동해시 송정동 816","강원특별자치도 동해시 송정3길 27  (송정동)","","(주)청해환경","2008-01-18 13:47:16","I","2023-06-13 00:00:00","","387933.51967514","445902.717758757","분뇨등관련영업관리","","","","","0","","0",
"66","개인하수처리시설관리업(사업장)","09_30_03_P","4211000","421100053200400001","2004-12-28","","03","폐업","2","폐업","2008-07-11","","","","5226823","","240-230","강원특별자치도 동해시 구호동 243-16","강원특별자치도 동해시 공단3로 47  (구호동)","","지엘엔텍(주)","2008-07-11 17:33:51","I","2023-06-13 00:00:00","","389247.231155802","443660.027696177","분뇨등관련영업관리","","","","","0","","0",
"67","개인하수처리시설관리업(사업장)","09_30_03_P","4211000","421100053200500001","2005-06-13","","03","폐업","2","폐업","2020-04-30","","","","0335330561","","","강원특별자치도 동해시 천곡동 91-22 평남막국수","강원특별자치도 동해시 감추7길 22, 평남막국수 3층 (천곡동)","25781","(주)윤호","2020-04-06 11:23:36","I","2023-06-13 00:00:00","","387403.377471277","447880.462338016","분뇨등관련영업관리","","","","","0","","0",
