"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","폐기물처리업구분명","폐기물처리업별처리구분명","폐기물구분명","허용보관량","허용보관량내용",
"14","건설폐기물처리업","09_30_05_P","4181000","418100092201100002","2021-07-12","","01","영업/정상","BBBB","영업","","","","","033-262-7780","","","강원특별자치도 춘천시 남산면 수동리 239-1","강원특별자치도 춘천시 남산면 한치로 343","24465","덕호산업(주)","2023-07-26 11:20:17","U","2023-07-28 02:40:00","","258609.008082864","475604.755593434","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"15","건설폐기물처리업","09_30_05_P","4181000","418100092201800001","2022-08-25","","01","영업/정상","BBBB","영업","","","","","0332618784","","","강원특별자치도 춘천시 신동면 증리 697-3","강원특별자치도 춘천시 신동면 김유정로 1609","24412","강원이엔티(주)","2025-10-30 11:31:18","U","2025-11-01 02:40:00","","263893.145993081","481302.584905943","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"16","건설폐기물처리업","09_30_05_P","4181000","418100092202000002","2020-07-13","","01","영업/정상","BBBB","영업","","","","","033-243-3456","","","강원특별자치도 춘천시 온의동 501-7","강원특별자치도 춘천시 경춘로 2137 (온의동)","24431","영서로지스틱스(주)","2024-04-22 18:18:50","U","2024-04-24 02:40:00","","262783.432266062","482789.516811151","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"17","건설폐기물처리업","09_30_05_P","4181000","418100092202100001","2021-03-10","","01","영업/정상","BBBB","영업","","","","","033-241-0232","","","강원특별자치도 춘천시 신동면 팔미리 146-2 , 146-4","","","(주)춘일실업","2024-02-28 10:02:31","U","2024-03-01 02:40:00","","262437.327940113","480742.613962069","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"18","건설폐기물처리업","09_30_05_P","4181000","418100092202100002","2021-12-16","","01","영업/정상","BBBB","영업","","","","","","","","강원특별자치도 춘천시 온의동 542-2","강원특별자치도 춘천시 충혼길52번길 10, 드림타워 3층 14호 (온의동)","24437","그린도시환경","2021-12-16 16:40:12","I","2023-06-13 00:00:00","","263250.540593552","484452.409041204","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"19","건설폐기물처리업","09_30_05_P","4181000","418100092200500003","2025-10-20","","01","영업/정상","BBBB","영업","","","","","0332611234","","","강원특별자치도 춘천시 신동면 혈동리 607-1","강원특별자치도 춘천시 신동면 한치로 495","24411","주식회사 강토개발","2025-10-23 11:23:13","U","2025-10-25 02:40:00","","259809.044603012","475857.84367573","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"20","건설폐기물처리업","09_30_05_P","4181000","418100092200600001","2025-02-04","","01","영업/정상","BBBB","영업","","","","","0332539364","","200-812","강원특별자치도 춘천시 동산면 군자리 549","강원특별자치도 춘천시 동산면 새술막길 171","24409","(자)강원산업","2025-02-04 10:13:40","U","2025-02-06 02:40:00","","263950.479253527","473536.33651923","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"21","건설폐기물처리업","09_30_05_P","4181000","418100092200600005","2025-09-01","","01","영업/정상","BBBB","영업","","","","","033-264-3336","","200-853","강원특별자치도 춘천시 신동면 혈동리 606-5","강원특별자치도 춘천시 신동면 한치로 504","24210","강원건설폐기물수집운반연합","2025-09-01 13:15:21","U","2025-09-03 02:40:00","","259861.863846761","475867.820290698","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"22","건설폐기물처리업","09_30_05_P","4181000","418100092200700001","2007-05-03","","01","영업/정상","BBBB","영업","","","","","2627780","","200-922","강원특별자치도 춘천시 남면 후동리 75-3","","","(주)","2011-01-06 17:12:49","I","2023-06-13 00:00:00","","255608.995522819","472059.964596839","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","1","",
"23","건설폐기물처리업","09_30_05_P","4181000","418100092200700002","2007-05-04","","01","영업/정상","BBBB","영업","","","","","","","","강원특별자치도 춘천시 소양로1가 일대","","","(삭제대상)","2010-12-14 10:00:09","I","2023-06-13 00:00:00","","","","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","1","",
"24","건설폐기물처리업","09_30_05_P","4181000","418100092200000004","2025-02-04","","01","영업/정상","BBBB","영업","","","","","0332539364","","","강원특별자치도 춘천시 동산면 군자리 549","강원특별자치도 춘천시 동산면 새술막길 171","24409","(자)강원산업","2025-02-04 10:13:09","U","2025-02-06 02:40:00","","263950.479253527","473536.33651923","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","11222","",
"25","건설폐기물처리업","09_30_05_P","4181000","418100092200700003","1995-04-07","","01","영업/정상","BBBB","영업","","","","","033-262-9380","","","강원특별자치도 춘천시 동산면 조양리 815","강원특별자치도 춘천시 동산면 종자리로 560","24410","(주)녹색산업","2025-09-26 15:03:58","U","2025-09-28 02:40:00","","267276.946680783","473830.990212459","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","12000","",
"26","건설폐기물처리업","09_30_05_P","4181000","418100092200700004","2007-05-25","","01","영업/정상","BBBB","영업","","","","","033 2627780","","200-915","강원특별자치도 춘천시 남산면 수동리","","","(삭제)","2010-12-14 10:02:46","I","2023-06-13 00:00:00","","","","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"27","건설폐기물처리업","09_30_05_P","4181000","418100092200700005","2019-10-22","","01","영업/정상","BBBB","영업","","","","","0332629380","","200-842","강원특별자치도 춘천시 동산면 조양리 815","강원특별자치도 춘천시 동산면 종자리로 560","24410","(주)녹색산업","2025-05-15 15:20:29","U","2025-05-17 02:40:00","","267276.946680783","473830.990212459","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"28","건설폐기물처리업","09_30_05_P","4181000","418100092200700006","2007-06-11","","01","영업/정상","BBBB","영업","","","","","033 2619361","","200-915","강원특별자치도 춘천시 남산면 수동리 226-5","강원특별자치도 춘천시 남산면 한치로 432","","화성개발(주)","2022-02-25 16:42:10","I","2023-06-13 00:00:00","","259457.325002021","475722.078331178","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"29","건설폐기물처리업","09_30_05_P","4181000","418100092200700007","2024-06-28","","01","영업/정상","BBBB","영업","","","","","033-261-9361","","200-915","강원특별자치도 춘천시 남산면 수동리 226-5","강원특별자치도 춘천시 남산면 한치로 432","200-915","화성개발(주)","2024-11-29 15:50:58","U","2024-12-01 02:40:00","","259457.325002021","475722.078331178","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","12000","",
"30","건설폐기물처리업","09_30_05_P","4181000","418100092200700008","2021-04-15","","01","영업/정상","BBBB","영업","","","","","0332627780","","","강원특별자치도 춘천시 남산면 수동리 239-1","강원특별자치도 춘천시 남산면 한치로 343","24465","덕호산업(주)","2025-10-21 09:04:19","U","2025-10-23 02:40:00","","258609.008082864","475604.755593434","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","16000","",
"31","건설폐기물처리업","09_30_05_P","4181000","418100092200700009","2007-07-02","","01","영업/정상","BBBB","영업","","","","","033 2629380","","200-842","강원특별자치도 춘천시 동산면 조양리 816","강원특별자치도 춘천시 동산면 종자리로 570","","업","2011-01-13 11:30:30","I","2023-06-13 00:00:00","","267337.562698398","473870.192688964","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"32","건설폐기물처리업","09_30_05_P","4181000","418100092200700010","2025-05-22","","01","영업/정상","BBBB","영업","","","","","0332619361","","200-915","강원특별자치도 춘천시 남산면 수동리 226-5","강원특별자치도 춘천시 남산면 한치로 432","200-915","화성개발(주)","2025-05-22 10:49:01","U","2025-05-24 02:40:00","","259457.325002021","475722.078331178","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"33","건설폐기물처리업","09_30_05_P","4181000","418100092200700011","2007-07-20","","01","영업/정상","BBBB","영업","","","","","033 2629380","","","강원특별자치도 춘천시 동산면 조양리 816","강원특별자치도 춘천시 동산면 종자리로 570","","업","2011-01-13 11:30:58","I","2023-06-13 00:00:00","","267337.562698398","473870.192688964","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"34","건설폐기물처리업","09_30_05_P","4181000","418100092200800001","2025-10-20","","01","영업/정상","BBBB","영업","","","","","0332611234","","","강원특별자치도 춘천시 신동면 혈동리 607-1","강원특별자치도 춘천시 신동면 한치로 495","24411","주식회사 강토개발","2025-10-23 11:23:13","U","2025-10-25 02:40:00","","259809.044603012","475857.84367573","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","19900","",
"35","건설폐기물처리업","09_30_05_P","4181000","418100092202400001","2024-05-28","","01","영업/정상","BBBB","영업","","","","","","","","강원특별자치도 춘천시 신동면 팔미리 562-4","강원특별자치도 춘천시 신동면 한치로 795","24411","(주)지원환경","2025-10-24 18:41:04","U","2025-10-26 02:40:00","","261120.831530103","478249.416700251","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"36","건설폐기물처리업","09_30_05_P","4181000","418100092202500001","2025-09-26","","01","영업/정상","BBBB","영업","","","","","","","","강원특별자치도 춘천시 온의동 542-2","강원특별자치도 춘천시 충혼길52번길 10, 303-125호 (온의동)","24437","주식회사 남양건기","2025-09-26 16:32:27","I","2025-09-28 00:20:02","","263250.540593552","484452.409041204","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"37","건설폐기물처리업","09_30_05_P","4191000","419100092200900002","2009-01-16","","03","폐업","2","폐업","2009-01-16","","","","7353191","","220-801","강원특별자치도 원주시 문막읍 동화리 529-4","","","(주)영원산업","2009-01-16 17:24:55","U","2025-02-28 18:26:33","","274583.448152855","425131.087567996","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"38","건설폐기물처리업","09_30_05_P","4191000","419100092200900004","2024-02-19","","01","영업/정상","BBBB","영업","","","","","033 748 4089","","","강원특별자치도 원주시 우산동 552","강원특별자치도 원주시 우두산길 77 (우산동)","","(주)원주엔지니어링","2024-10-22 14:10:01","U","2024-10-24 02:40:00","","282694.138165742","431206.532241015","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","8068","",
"39","건설폐기물처리업","09_30_05_P","4191000","419100092201000001","2024-08-21","","01","영업/정상","BBBB","영업","","","","","766-0809","","220-843","강원특별자치도 원주시 흥업면 사제리 954-6","강원특별자치도 원주시 흥업면 사제로 299-17","26356","(주)반석산업","2025-10-21 10:36:31","U","2025-10-23 02:40:00","","279226.399473859","424340.864325889","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","0","",
"40","건설폐기물처리업","09_30_05_P","4191000","419100092202000002","2021-04-02","","01","영업/정상","BBBB","영업","","","","","","","","강원특별자치도 원주시 학성동 327-7","강원특별자치도 원주시 평원로 103 (학성동)","26415","선경산업환경","2023-11-02 17:34:43","U","2023-11-04 02:40:00","","283928.61155705","428357.163319101","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"41","건설폐기물처리업","09_30_05_P","4191000","419100092200700001","2025-09-09","","01","영업/정상","BBBB","영업","","","","","0337472565","","","강원특별자치도 원주시 지정면 보통리 132","강원특별자치도 원주시 지정면 질마재로 24-45","26356","(합)우창환경산업","2025-09-09 17:53:26","U","2025-09-11 02:40:00","","277936.300384506","428220.696248048","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","0","",
"42","건설폐기물처리업","09_30_05_P","4191000","419100092200700002","1997-04-28","","01","영업/정상","BBBB","영업","","","","","0337472680","","220-822","강원특별자치도 원주시 지정면 보통리 132-7","강원특별자치도 원주시 지정면 질마재로 24-11","26356","(자)금강개발","2025-04-29 11:05:53","U","2025-05-01 02:40:00","","278000.685312834","428062.066905717","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","17316","",
"43","건설폐기물처리업","09_30_05_P","4191000","419100092200800001","1996-07-02","","01","영업/정상","BBBB","영업","","","","","0337447444","","","강원특별자치도 원주시 지정면 보통리 402-1 원주시청","강원특별자치도 원주시 지정면 보통안길 59, 원주시청 (무실동)","26356","(자)대선환경","2024-03-20 17:39:55","U","2024-03-22 02:40:00","","276953.299163917","426787.307694379","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","12000","",
"44","건설폐기물처리업","09_30_05_P","4191000","419100092200800003","2025-03-31","","01","영업/정상","BBBB","영업","","","","","0337318846","","","강원특별자치도 원주시 호저면 주산리 1302","강원특별자치도 원주시 호저면 호매곡1길 201-27","26303","(주)대한환경산업","2025-04-08 14:54:27","U","2025-04-10 02:40:00","","280844.740825941","432811.77119352","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","0","",
"45","건설폐기물처리업","09_30_05_P","4191000","419100092200800004","2025-04-30","","01","영업/정상","BBBB","영업","","","","","732-0375","","","강원특별자치도 원주시 소초면 평장리 139-2","강원특별자치도 원주시 소초면 치악로 2910-16","220-835","(주)진우산업","2025-04-30 16:36:51","U","2025-05-02 02:40:00","","289197.297249765","436700.740290807","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","0","",
"46","건설폐기물처리업","09_30_05_P","4191000","419100092202300001","2024-01-10","","01","영업/정상","BBBB","영업","","","","","","","","강원특별자치도 원주시 단계동 807-1 세경3차아파트 상가동 201-9호","강원특별자치도 원주시 백간길 55, 세경3차아파트 상가동 201-9호 (단계동)","26410","최강환경개발","2024-01-10 17:18:12","U","2024-01-12 02:40:00","","282350.250504186","428239.899901682","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"47","건설폐기물처리업","09_30_05_P","4201000","420100092201700001","2023-04-05","","02","휴업","1","휴업","","2023-04-01","","","0336557904","","","강원특별자치도 강릉시 교동 925-5","강원특별자치도 강릉시 화부산로8번길 4 (교동)","25505","(주)황소","2024-12-09 17:55:59","U","2024-12-11 02:40:00","","366233.640511666","474460.336622006","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"48","건설폐기물처리업","09_30_05_P","4201000","420100092200700028","2007-12-10","","03","폐업","2","폐업","2007-12-10","","","","0336625445","","210-806","강원특별자치도 강릉시 주문진읍 주문리 987-3","강원특별자치도 강릉시 주문진읍 연주로 505","","주문진중기","2007-12-11 16:15:10","I","2023-06-13 00:00:00","","360358.147567222","489841.558999998","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"49","건설폐기물처리업","09_30_05_P","4201000","420100092200700029","2007-12-12","","03","폐업","2","폐업","2007-12-12","","","","0336450305","","210-160","강원특별자치도 강릉시 내곡동 관동2차아파트 다동 306호","","","율곡환경","2007-12-17 12:59:57","I","2023-06-13 00:00:00","","","","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"50","건설폐기물처리업","09_30_05_P","4201000","420100092200700032","2007-12-28","","03","폐업","2","폐업","2007-12-28","","","","0336464083","","210-160","강원특별자치도 강릉시 내곡동 364-15","강원특별자치도 강릉시 남부로 58  (내곡동)","","고려산업개발","2007-12-31 10:25:58","I","2023-06-13 00:00:00","","366233.933158794","472483.865895241","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"51","건설폐기물처리업","09_30_05_P","4201000","420100092200700033","2007-12-28","","03","폐업","2","폐업","2009-08-07","","","","0336450442","","210-010","강원특별자치도 강릉시 홍제동 312 신일주유소 2층","강원특별자치도 강릉시 경강로 1889  (홍제동,신일주유소 2층)","","동심건설중기","2009-08-11 09:40:15","U","2025-02-28 18:26:33","","365314.041493511","473311.181255565","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"52","건설폐기물처리업","09_30_05_P","4201000","420100092200800001","2008-01-04","","03","폐업","2","폐업","2008-02-12","","","","0336448689","","210-822","강원특별자치도 강릉시 강동면 산성우리 293","강원특별자치도 강릉시 강동면 율곡로 778","","삼진환경산업(주)","2008-02-13 18:21:55","I","2023-06-13 00:00:00","","378079.471985092","464409.33592034","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"53","건설폐기물처리업","09_30_05_P","4201000","420100092200800004","2008-01-07","","03","폐업","2","폐업","2009-08-12","","","","0336526528","","210-270","강원특별자치도 강릉시 두산동 63-3","강원특별자치도 강릉시 성덕로176번길 22-3  (두산동)","","성우종합환경","2009-08-14 15:18:09","U","2025-02-28 18:26:33","","370359.777174043","475157.217333312","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"54","건설폐기물처리업","09_30_05_P","4201000","420100092200800005","2008-01-24","","03","폐업","2","폐업","2008-01-24","","","","0336465779","","210-140","강원특별자치도 강릉시 송정동 827-18","강원특별자치도 강릉시 경강로 2373  (송정동)","","유성환경","2008-01-24 18:41:58","I","2023-06-13 00:00:00","","369101.440878674","476002.616348548","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"55","건설폐기물처리업","09_30_05_P","4201000","420100092200800007","2008-04-16","","03","폐업","2","폐업","2009-07-29","","","","0336480996","","210-210","강원특별자치도 강릉시 노암동 453-7","강원특별자치도 강릉시 남부로 174  (노암동)","","광림건설중기환경","2009-07-30 11:10:03","I","2023-06-13 00:00:00","","367348.563141569","472825.54782188","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"56","건설폐기물처리업","09_30_05_P","4201000","420100092200800008","2008-04-17","","03","폐업","2","폐업","2008-07-23","","","","0336612080","","210-100","강원특별자치도 강릉시 교동 213-14","강원특별자치도 강릉시 명륜로 41  (교동)","","양지환경","2008-07-28 16:50:34","I","2023-06-13 00:00:00","","367091.596959678","475144.526977312","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"57","건설폐기물처리업","09_30_05_P","4201000","420100092200800011","2008-08-07","","03","폐업","2","폐업","2009-07-29","","","","0336459364","","210-102","강원특별자치도 강릉시 교동 332-6","강원특별자치도 강릉시 가작로 178  (교동)","","승일중기환경","2009-07-31 14:03:10","U","2025-02-28 18:26:33","","366917.818358283","475786.552262277","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"58","건설폐기물처리업","09_30_05_P","4201000","420100092200900002","2009-02-02","","03","폐업","2","폐업","2009-02-10","","","","0336617818","","210-862","강원특별자치도 강릉시 연곡면 방내리 7-9","","","해성환경","2009-02-03 09:24:56","U","2025-02-28 18:26:33","","361547.147915444","486770.428290246","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"59","건설폐기물처리업","09_30_05_P","4201000","420100092200900004","2016-11-30","","03","폐업","2","폐업","2016-11-30","","","","0336535982","","210-300","강원특별자치도 강릉시 남항진동 142","강원특별자치도 강릉시 공항길 122-26 (남항진동)","","건설환경","2016-11-30 15:05:10","I","2023-06-13 00:00:00","","371655.556041365","475068.128701801","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"60","건설폐기물처리업","09_30_05_P","4201000","420100092201800001","2018-07-05","","03","폐업","2","폐업","2023-10-06","","","","033-641-8617","","","강원특별자치도 강릉시 청량동 556-5","강원특별자치도 강릉시 율곡로 2598 (청량동)","25617","미소환경산업","2023-10-16 13:35:54","U","2023-10-18 02:40:00","","368960.254781582","472891.879189288","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"61","건설폐기물처리업","09_30_05_P","4201000","420100092202000002","2022-09-13","","03","폐업","2","폐업","2022-09-13","","","","","","","강원특별자치도 강릉시 사천면 석교리 568-1","강원특별자치도 강릉시 사천면 구라미길 148-5","25434","강릉자원","2022-09-13 18:56:37","U","2025-02-28 18:26:33","","360791.17497853","483659.289785263","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"62","건설폐기물처리업","09_30_05_P","4201000","420100092200700001","2007-07-20","","03","폐업","2","폐업","2007-12-31","","","","","","210-862","강원특별자치도 강릉시 연곡면 송림리 325-2","","","용성환경","2008-01-16 11:54:11","I","2023-06-13 00:00:00","","359928.398448308","485212.982127112","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"63","건설폐기물처리업","09_30_05_P","4201000","420100092200700002","2007-07-26","","03","폐업","2","폐업","2008-01-30","","","","6537535","","210-110","강원특별자치도 강릉시 포남동 1096-14","강원특별자치도 강릉시 명륜로128번길 5  (포남동)","","금호극동중기환경","2008-02-04 10:49:47","I","2023-06-13 00:00:00","","367683.188292467","475819.58902196","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"64","건설폐기물처리업","09_30_05_P","4201000","420100092200700021","2007-10-19","","03","폐업","2","폐업","2007-10-19","","","","0336537179","","210-270","강원특별자치도 강릉시 두산동 229-13","강원특별자치도 강릉시 강변로648번길 9  (두산동)","","미래환경(주)","2007-10-22 16:15:23","I","2023-06-13 00:00:00","","370053.144542234","475778.197113549","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
