"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","일반창고동수","일반창고면적","냉동냉장창고동수","냉동냉장창고면적","보관장소면적","직원수","시설/장비현황","보관요율","법인여부명","업태보관및창고업","업태운송및택배업","업태판매업","업태제조업",
"11","물류창고업체","11_45_02_P","4191000","2017419027832500002","2017-09-10","","01","영업/정상","01","영업중","","","","","033-747-7939","","","강원특별자치도 원주시 소초면 장양리 484번지 1호","강원특별자치도 원주시 소초면 수래울길 5","26308","(주)에스피씨지에프에스","2024-11-26 09:10:43","U","2024-11-28 02:40:00","","285928.188554942","433490.309857545","1","1212.25","0","0","0","31","분류장비, DAS","","법인","","","","",
"12","물류창고업체","11_45_02_P","4191000","2018419027832500001","2018-05-11","","01","영업/정상","01","영업중","","","","","033-733-0235","","","강원특별자치도 원주시 소초면 장양리 184","강원특별자치도 원주시 소초면 북원로 3062-6","26308","롯데글로벌로지스(주)","2024-05-23 09:02:11","U","2024-05-25 02:40:00","","285240.875377241","435142.343733355","1","4030.47","1","1157","0","75","지게차, 파렛트렉, DPS,DAS시스템","","법인","1","","","",
"13","물류창고업체","11_45_02_P","4191000","2019419030132500001","2019-10-08","","01","영업/정상","01","영업중","","","","","033-731-5914","","","강원특별자치도 원주시 문막읍 반계리 5-19 주식회사대지수출포장","강원특별자치도 원주시 문막읍 문막공단길 215, 주식회사대지수출포장","26362","(주)대지수출포장","2024-02-23 10:25:18","U","2024-02-25 02:40:00","","271390.41253835","421949.060882137","1","2573.56","0","0","0","15","지게차(2대), 파렛트 등","","법인","1","1","","1",
"14","물류창고업체","11_45_02_P","4191000","2019419030132500002","2019-11-22","","01","영업/정상","01","영업중","","","","","070-7719-7851","","","강원특별자치도 원주시 호저면 주산리 1104번지","강원특별자치도 원주시 호저면 호매곡1길 121","26303","로젠주식회사","2025-10-02 09:02:20","U","2025-10-05 02:40:00","","281714.611138522","433019.906294403","1","1516.41","0","0","0","1","컨베이어벨트, 상하차슈트","3500","법인","","1","","",
"15","물류창고업체","11_45_02_P","4191000","2020419030132500001","2020-03-26","","01","영업/정상","01","영업중","","","","","033-738-7415","","","강원특별자치도 원주시 지정면 신평리 199번지 1호","강원특별자치도 원주시 지정면 하차면길 19-36","26348","씨제이대한통운(주)","2024-04-17 13:59:37","U","2024-04-19 02:40:00","","279298.841636397","429056.43219844","2","2856.89","0","0","424.55","11","지게차, 컨베이어벨트 등","","법인","1","1","","",
"16","물류창고업체","11_45_02_P","4191000","2020419030132500002","2020-08-07","","01","영업/정상","01","영업중","","","","","033-813-0958","","","강원특별자치도 원주시 문막읍 반계리 780-1","강원특별자치도 원주시 문막읍 원문로 2570","26361","(주)지에스네트웍스 원주지점","2024-02-14 14:24:38","U","2024-02-16 02:40:00","","268497.812082855","419888.36689865","1","2038.9","1","1264.5","0","75","상품보관랙, 컨베이어 등","","법인","1","","","",
"17","물류창고업체","11_45_02_P","4191000","2021419030132500001","2021-03-08","","01","영업/정상","01","영업중","","","","","033-735-4851","","","강원특별자치도 원주시 우산동 333-14","강원특별자치도 원주시 우산공단길 42 (우산동)","26336","오뚜기물류서비스(주)","2024-02-14 14:24:52","U","2024-02-16 02:40:00","","283064.267163489","430787.065165207","2","1547.14","1","161.98","0","6","렉/지게차","","법인","1","","","",
"18","물류창고업체","11_45_02_P","4191000","2022419030132500001","2022-08-17","","01","영업/정상","01","영업중","","","","","02-6150-8309","","","강원특별자치도 원주시 흥업면 사제리 220-1","강원특별자치도 원주시 흥업면 원문로 816","26356","쿠팡로지스틱스서비스(유)","2025-03-17 17:04:25","U","2025-03-19 02:40:00","","278769.282235562","427372.332616576","1","2760.9","0","0","0","142","지게차, 컨테이어벨트 등","","법인","1","1","","",
"19","물류창고업체","11_45_02_P","4191000","2022419033332500002","2022-11-04","","01","영업/정상","01","영업중","","","","","033-741-8500","","","강원특별자치도 원주시 태장동 1720-1 (주)참존","강원특별자치도 원주시 태장공단길 58 (주)참존 (태장동)","26311","(주)참존","2024-02-14 14:25:12","U","2024-02-16 02:40:00","","283521.334892492","434108.357139017","2","1071","0","0","0","","지게차 등","","법인","1","","","1",
"20","물류창고업체","11_45_02_P","4191000","2025419111332500002","2025-10-28","","01","영업/정상","01","영업중","","","","","","","","강원특별자치도 원주시 소초면 의관리 56","강원특별자치도 원주시 소초면 북원로 3366","26304","에이스물류","2025-10-28 17:34:01","I","2025-10-30 00:20:11","","286641.079826109","437627.181686806","1","27880.88","0","0","2491.7","5","파렛트 선별 시스템 및 세척기","","개인","1","","","",
"21","물류창고업체","11_45_02_P","4191000","2012419111332500007","2019-07-09","","01","영업/정상","01","영업중","","","","","033-766-3214","","","강원특별자치도 원주시 흥업면 대안리 393-19","강원특별자치도 원주시 흥업면 승안동길 93-17","26492","에이스물류","2025-10-21 10:40:37","I","2025-10-23 00:20:17","","278860.758863858","423845.150906998","1","2674","0","0","7326","1","","","개인","1","","","",
"22","물류창고업체","11_45_02_P","4191000","2025419111332500001","2025-05-12","","01","영업/정상","01","영업중","","","","","1544-9898-","","","강원특별자치도 원주시 호저면 주산리 298","강원특별자치도 원주시 호저면 호매곡1길 51, 1층","26303","쿠팡로지스틱스서비스 유한회사","2025-06-02 14:55:05","U","2025-06-04 02:40:00","","282269.037719455","433322.792529521","1","6019.14","0","0","4562.51","50","철제슬로프,도크레벨러","","법인","","1","","",
"23","물류창고업체","11_45_02_P","4191000","2023419102332500002","2023-12-28","","01","영업/정상","01","영업중","","","","","02-6969-6550","","","강원특별자치도 원주시 우산동 317-4","강원특별자치도 원주시 우산공단길 37 (우산동)","26337","삼양로지스틱스(주)","2024-02-14 14:27:18","U","2024-02-16 02:40:00","","283042.75006492","430657.039501506","1","5702.88","0",".00","0","33","가설건축 창고/지게차6대","","법인","1","","","",
"24","물류창고업체","11_45_02_P","4191000","2012419000032500007","2012-08-13","","03","폐업","03","폐업","","","","","033-766-3214","","","강원특별자치도 원주시 흥업면 대안리 393번지 19호","강원특별자치도 원주시 흥업면 승안동길 93-17","26492","에이스물류","2025-10-21 08:56:00","U","2025-10-23 02:40:00","","278860.758863858","423845.150906998","1","2674","0","0","7326","","","","법인","","","","",
"25","물류창고업체","11_45_02_P","4191000","2015419011932500008","2015-03-13","","03","폐업","03","폐업","2015-03-13","","","","033 761 8110","","220-180","강원특별자치도 원주시 관설동 1426번지","강원특별자치도 원주시 치악로 1475 (관설동)","220-180","케이티링커스주식회사","2015-03-13 15:56:19","I","2023-06-13 00:00:00","","285758.763419422","424234.799177566","2","2932","0","0","9685","2","랙(rack)설치,지게차,핸드리프트 등","5000","법인","1","","","",
"26","물류창고업체","11_45_02_P","4191000","2015419011932500009","2015-03-13","","03","폐업","03","폐업","2020-11-30","","","","033 761 8110","","220-180","강원특별자치도 원주시 관설동 1426번지","강원특별자치도 원주시 치악로 1475 (관설동)","220-180","케이티링커스 주식회사","2020-11-30 17:51:53","I","2023-06-13 00:00:00","","285758.763419422","424234.799177566","2","2932","0","0","9363","","","","법인","","","","",
"27","물류창고업체","11_45_02_P","4191000","2017419027832500001","2017-07-04","","03","폐업","03","폐업","2021-07-21","","","","033-733-0235","","","","강원특별자치도 원주시 호저면 호매곡1길 97","26303","(주)롯데로지스틱스","2024-01-15 09:30:13","U","2024-01-17 02:40:00","","282004.03725753","432941.867542718","1","2191.74","1","760.3","0","","","","법인","","","","",
"28","물류창고업체","11_45_02_P","4191000","2017419027832500003","2017-09-13","","03","폐업","03","폐업","2021-07-30","","","","054-776-5050","","","강원특별자치도 원주시 문막읍 반계리 387번지","강원특별자치도 원주시 문막읍 원문로 2334","26361","(주)협신통운","2021-08-02 10:12:06","I","2023-06-13 00:00:00","","269649.399521948","421186.429581708","2","1606.88","0","0","0","","","","법인","","","","",
"29","물류창고업체","11_45_02_P","4201000","2012420000032500001","2012-08-09","","01","영업/정상","01","영업중","","","","","","","","강원특별자치도 강릉시 구정면 학산리 483번지 1호","강원특별자치도 강릉시 구정면 금평로 52-3","25623","덕천창고","2018-02-21 21:40:31","I","2023-06-13 00:00:00","","366390.850564871","469342.045567333","1","1049","0","0","0","0","컨베어벨트, 송풍시설 등","0","개인","1","1","","",
"30","물류창고업체","11_45_02_P","4201000","2012420000032500002","2012-08-09","","01","영업/정상","01","영업중","","","","","033 645 3138","","","강원특별자치도 강릉시 구정면 금광리 770번지 7호","강원특별자치도 강릉시 구정면 범일로 50-34","25624","도원산업","2018-02-21 21:40:01","I","2023-06-13 00:00:00","","368475.689862422","469634.563176167","1","4350","0","0","0","0","컨베어벨트, 송풍시설 등","0","개인","1","","1","",
"31","물류창고업체","11_45_02_P","4201000","2012420000032500003","2012-08-09","","01","영업/정상","01","영업중","","","","","033-661-7908","","","강원특별자치도 강릉시 연곡면 동덕리 265번지 1호","강원특별자치도 강릉시 연곡면 동해대로 4100-36","25431","롯데하이마트(주)강릉물류센터","2023-05-10 10:22:51","I","2023-06-13 00:00:00","","362388.165030038","484613.854657717","1","2578.29","0","0","0","10","랙, 크레인 등","0","법인","1","1","","",
"32","물류창고업체","11_45_02_P","4201000","2012420000032500004","2012-08-14","","01","영업/정상","01","영업중","","","","","0336447833","","","강원특별자치도 강릉시 구정면 여찬리 215번지 10호","강원특별자치도 강릉시 구정면 구정중앙로 192","25622","오뚜기물류서비스㈜","2021-04-14 09:03:38","I","2023-06-13 00:00:00","","365431.597909241","469690.262146078","2","2201","0","0","0","7","지게차 등","0","법인","","1","","",
"33","물류창고업체","11_45_02_P","4201000","2015420019232500001","2015-05-26","","01","영업/정상","01","영업중","","","","","033-647-1500","","","강원특별자치도 강릉시 구정면 제비리 1275","강원특별자치도 강릉시 구정면 회산로 171-82","25621","주식회사 엘엑스판토스","2024-04-30 17:29:25","U","2024-05-02 02:40:00","","363024.701319364","471074.276061911","1","3140.99","0","0","0.00","50","지게차 4대","185319","법인","1","","","",
"34","물류창고업체","11_45_02_P","4201000","2017420026232500001","2017-06-29","","01","영업/정상","01","영업중","","","","","033-642-6858","","","강원특별자치도 강릉시 사천면 방동리 808번지 12호","강원특별자치도 강릉시 사천면 과학단지로 137-57","25440","동원로엑스(주)","2022-01-04 09:38:45","I","2023-06-13 00:00:00","","362946.462343472","480132.064466195","0","0.00","1","2140.42","0.00","22","냉장창고. 기계실, 냉동기계실, 전기실, 발전기실, 사무실, 화장실, 숙소 등","30000","법인","1","","","",
"35","물류창고업체","11_45_02_P","4201000","2017420026232500002","2017-11-06","","01","영업/정상","01","영업중","","","","","033-644-8212","","","강원특별자치도 강릉시 사천면 방동리 808번지 13호","강원특별자치도 강릉시 사천면 과학단지로 137-49","25440","(주)비지에프로지스","2023-01-04 09:42:20","I","2023-06-13 00:00:00","","362940.044719654","480013.05006575","1","2848","0","0","0","10","렉 설비 및 지게차","70","법인","1","1","","",
"36","물류창고업체","11_45_02_P","4201000","2018420026232500001","2018-10-01","","01","영업/정상","01","영업중","","","","","033-648-4166","","","강원특별자치도 강릉시 구정면 제비리 1278-1 강릉종합물류단지 내 A3-2, 4블럭","강원특별자치도 강릉시 구정면 회산로 171-117","25621","(주)지에스네트웍스 강릉지점","2023-02-16 10:44:18","I","2023-06-13 00:00:00","","363119.629307322","471284.100070924","1","3202.4","1","1976.5","0","8","지게차,콘베이어,palletrack등","","법인","1","","","",
"37","물류창고업체","11_45_02_P","4201000","2019420034232500001","2019-06-23","","01","영업/정상","01","영업중","","","","","033-760-9401","","","강원특별자치도 강릉시 죽헌동 291번지 1호","강원특별자치도 강릉시 율곡로 3214 (죽헌동)","25463","씨제이대한통운(주)","2024-04-17 09:02:35","U","2024-04-19 02:40:00","","365163.165486237","477428.953442541","1","950.11","1","660","0","5","카운터발란스(지게차) 3대","","법인","1","","","",
"38","물류창고업체","11_45_02_P","4201000","2022420034232500001","2022-09-08","","01","영업/정상","01","영업중","","","","","02-6150-8309","","","강원특별자치도 강릉시 구정면 금광리 1013-13 ,775-7","강원특별자치도 강릉시 구정면 범일로 56","25624","쿠팡로지스틱스서비스 유한회사","2025-03-19 15:20:43","U","2025-03-21 02:40:00","","368374.141094416","469404.039986942","1","1031.43","0","0","0","132","지게차, 네트워크 장비, PDA, 롤테이너 등","","법인","1","","","",
"39","물류창고업체","11_45_02_P","4201000","2023420041132500001","2023-03-30","","01","영업/정상","01","영업중","","","","","033-740-8651","","","강원특별자치도 강릉시 성산면 구산리 70-5","강원특별자치도 강릉시 성산면 공제로 57-28","25450","씨제이대한통운(주)","2024-04-18 09:47:00","U","2024-04-20 02:40:00","","361704.860661731","470783.863068282","3","2952.65","0","0","2965","8","창고시설, 사무실 및 휴게실, 자동분류 컨베이어 등","","법인","","1","","",
"40","물류창고업체","11_45_02_P","4201000","2025420107732500001","2025-10-24","","01","영업/정상","01","영업중","","","","","055-780-8921","","","강원특별자치도 강릉시 연곡면 방내리 9","강원특별자치도 강릉시 연곡면 연주로 135","25428","주식회사 넥센","2025-10-27 09:03:38","I","2025-10-29 00:20:02","","361591.626838752","486591.651294235","1","1729","0","0","1729","2","전동 입식형지게차","","법인","1","","","",
"41","물류창고업체","11_45_02_P","4201000","2021420034232500001","2021-01-20","","03","폐업","03","폐업","2025-05-30","","","","033-642-4099","","","강원특별자치도 강릉시 유산동 63-1","강원특별자치도 강릉시 신석길 52 (유산동)","25613","주식회사 케이티서비스남부","2025-05-26 16:58:17","U","2025-05-28 02:40:00","","369300.114325347","472132.9131939","2","1308.68","0","0","3349.20","","","","법인","","","","",
"42","물류창고업체","11_45_02_P","4211000","2021421021232500001","2017-09-12","","01","영업/정상","01","영업중","","","","","033-522-3735","","","강원특별자치도 동해시 구호동 235-34","강원특별자치도 동해시 공단6로 59-7 (구호동)","25799","동원로엑스(주)","2022-07-06 09:49:43","I","2023-06-13 00:00:00","","388874.350457965","443386.384041654","5","7938","0","0","19005.1","15","로우더, 굴삭기","3500","법인","1","","","",
"43","물류창고업체","11_45_02_P","4211000","2017421019232500001","2017-09-12","","03","폐업","03","폐업","2020-12-17","","","","033-522-6366","","","강원특별자치도 동해시 구호동 235번지 34호","강원특별자치도 동해시 공단6로 59-7 (구호동)","25799","(주)서도기업","2021-04-01 13:24:38","I","2023-06-13 00:00:00","","388874.350457965","443386.384041654","5","7938","0","0","19005.1","15","로우더, 굴삭기","3500","법인","1","","","",
"44","물류창고업체","11_45_02_P","4211000","2017421019232500002","2017-12-04","","03","폐업","03","폐업","2020-12-07","","","","5313434","","","강원특별자치도 동해시 이로동 158번지 7호","강원특별자치도 동해시 효자로 244-8 (이로동)","25742","태영물류(박태균)","2020-12-07 17:51:30","I","2023-06-13 00:00:00","","382428.044736641","445163.591411751","2","1728","0","0","4500","","","","개인","","","","",
"45","물류창고업체","11_45_02_P","4211000","2020421021232500001","2020-01-20","","03","폐업","03","폐업","2021-01-26","","","","033-522-2460","","","강원특별자치도 동해시 구호동 235번지 34호","강원특별자치도 동해시 공단6로 59-7 (구호동)","25799","(주)대세기업","2021-04-01 13:23:25","I","2023-06-13 00:00:00","","388874.350457965","443386.384041654","5","7938","0","0","19005.1","15","로우더, 굴삭기","3500","법인","1","","","",
"46","물류창고업체","11_45_02_P","4211000","2020421021232500002","2020-01-20","","03","폐업","03","폐업","2020-01-20","","","","033 522 6366","","","강원특별자치도 동해시 구호동 235번지 34호","강원특별자치도 동해시 공단6로 59-7 (구호동)","25799","(주)서도기업","2020-01-20 13:47:32","I","2023-06-13 00:00:00","","388874.350457965","443386.384041654","5","7938","0","0","19005.1","","","","법인","","","","",
"47","물류창고업체","11_45_02_P","4211000","2021421021232500002","2017-12-06","","03","폐업","03","폐업","2021-01-25","","","","033-522-2460","","","강원특별자치도 동해시 구호동 235번지 34호","강원특별자치도 동해시 공단6로 59-7 (구호동)","25799","(주)대세기업","2021-03-22 09:04:14","I","2023-06-13 00:00:00","","388874.350457965","443386.384041654","5","7938","0","0","19005.1","","","","법인","","","","",
"48","물류창고업체","11_45_02_P","4211000","2021421021232500003","2021-10-01","","03","폐업","03","폐업","2023-01-02","","","","","","","강원특별자치도 동해시 구호동 235-2","강원특별자치도 동해시 공단7로 1 (구호동)","25799","대신정기화물자동차 주식회사","2023-01-03 09:25:02","I","2023-06-13 00:00:00","","388971.283937673","443379.230396745","2","3366","0","0","10856.7","","","","법인","","","","",
"49","물류창고업체","11_45_02_P","4281000","2012428000032500001","2012-08-10","","03","폐업","03","폐업","2017-12-31","","","","","","","강원 평창군 평창읍 장암동길 10-6","","","협동창고","2020-11-13 13:21:35","I","2023-06-13 00:00:00","","","","1","1059","0","0","0","","","","개인","","","","",
"50","물류창고업체","11_45_02_P","4301000","2012430000032500001","2012-08-10","","01","영업/정상","01","영업중","","","","","033-455-2275","","","강원특별자치도 철원군 동송읍 상노리 633번지 1호 대일산업사","강원특별자치도 철원군 동송읍 상노로 189-38, 대일산업사","24026","대일산업사","2022-04-27 13:05:42","I","2023-06-13 00:00:00","","219280.43223617","516763.478021078","2","2400.76","0","0","3600.36","1","컨베어벨트, 송풍시설 등","0","개인","1","","","",
"51","물류창고업체","11_45_02_P","4321000","2012432000032500001","2012-08-10","","01","영업/정상","01","영업중","","","","","","","","강원특별자치도 양구군 국토정중앙면 구암리 556-18","강원특별자치도 양구군 국토정중앙면 정중앙로 40","24557","대영창고","2022-05-04 13:28:26","I","2023-06-13 00:00:00","","287814.732667252","509373.749193547","5","3608.57","0","0","0","3","컨베어벨트, 송풍시설 등","0","개인","1","","","",
"52","물류창고업체","11_45_02_P","4341000","2012434000032500001","2012-08-09","","01","영업/정상","01","영업중","","","","","033 681 2722","","","강원특별자치도 고성군 간성읍 동호리 401번지 1호","강원특별자치도 고성군 간성읍 동호길 88","24731","간성창고","2020-09-22 16:26:24","I","2023-06-13 00:00:00","","329553.352987098","544187.751368289","1","1008","0","0","0","1","컨베어벨트, 송풍시설 등","0","개인","1","1","","",
"53","물류창고업체","11_45_02_P","4341000","2025434102632500002","2025-07-31","","01","영업/정상","01","영업중","","","","","02-2170-3388","","","강원특별자치도 고성군 거진읍 송포리 78","강원특별자치도 고성군 거진읍 돌고개길 65","24722","롯데글로벌로지스(주)","2025-08-01 13:38:07","I","2025-08-03 00:20:03","","326861.128772902","548443.067237088","2","1162","0","0","0","0","해당 없음","","법인","1","","","",
