"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","준공일자","개관일자","설립운영주체구분명","박물관미술관종류명","박물관미술관유형명","폐관일자","폐관사유","자본금","소요자금","법인설립목적","허가조건","법인해산일자","법인명",
"11","문화예술법인","03_08_03_P","6530000","A0100653000020230011","2022-04-28","","01","영업/정상","1","","","","","","","","","강원특별자치도 평창군 방림면 방림리 1268번지 0호","강원특별자치도 평창군 방림면 서동로 1339-0","","사단법인 평창 방림삼베민속 보존회","2023-08-03 17:46:17","I","2023-08-05 00:18:48","","323325.829310498","436940.015053249","문화(사단)","","","","","","","","0","","평창군 삼베민속 보존, 전승","","","사단법인 평창 방림삼베민속 보존회",
"12","문화예술법인","03_08_03_P","6530000","A0100653000020230004","2023-02-06","","01","영업/정상","1","","","","","","","","","강원특별자치도 강릉시 사천면 사기막리 821번지 0호 용연사","강원특별자치도 강릉시 사천면 중앙서로 961-0, 1층 (용연사)","","사단법인 강릉전통문화연구원","2023-08-03 17:13:34","I","2023-08-05 00:18:48","","356753.175325385","477853.744311757","문화(사단)","","","","","","","","0","","강릉 전통문화예술 발굴 전승 보급사업, 선양사업, 축제 행사","","","사단법인 강릉전통문화연구원",
"13","문화예술법인","03_08_03_P","6530000","A0100653000020230001","2020-05-25","","01","영업/정상","1","","","","","","","","","강원특별자치도 원주시 귀래면 용암리 247번지 2호","강원특별자치도 원주시 귀래면 지차골길 27-0, -동 -층 -호 (용화사)","","사단법인 일붕정법보존위원회","2023-08-01 15:25:03","I","2023-08-03 00:18:51","","","","문화(사단)","","","","","","","","0","","일붕 서경보 큰 스님의 정법을 보존하고 그 정법사상을 연구 발전하여 세계불교 문화와 인류평화를 위하는 인재양성과 일붕 정법이 만인의 귀감이 되도록 보존관리함으 목적으로 함","","","사단법인 일붕정법보존위원회",
"14","문화예술법인","03_08_03_P","6530000","A0100653000020230012","2021-03-16","","01","영업/정상","1","","","","","","","","","강원특별자치도 원주시 인동 242번지 16호 원주가톨릭센터","강원특별자치도 원주시 원일로 28-0 (인동,원주가톨릭센터)","","사단법인 지학순다니엘","2023-08-04 10:00:32","I","2023-08-06 00:18:39","","284427.759988708","427531.495309273","문화(사단)","","","","","","","","0","","故지학순 주교의 정신 및 사상 연구","","","사단법인 지학순다니엘",
"15","문화예술법인","03_08_03_P","6530000","A0100653000020230013","2020-06-24","","01","영업/정상","1","","","","","","","","","강원특별자치도 평창군 용평면 장평리 351번지 5호","강원특별자치도 평창군 용평면 금송1길 11-0","","사단법인 평창군민속보존회","2023-08-04 10:04:13","I","2023-08-06 00:18:39","","324765.327612696","454541.678871208","문화(사단)","","","","","","","","0","","평창군의 전통민속문화 보존, 전승","","","사단법인 평창군민속보존회",
"16","문화예술법인","03_08_03_P","6530000","A0100653000020230014","2020-06-02","","01","영업/정상","1","","","","","","","","","강원특별자치도 속초시 동명동 579번지 2호","강원특별자치도 속초시 영랑호반길 69-2 (동명동)","","사단법인 동북아불교미술연구소","2023-08-04 10:07:45","I","2023-08-06 00:18:39","","338783.371392962","524599.395678892","문화(사단)","","","","","","","","0","","동북아지역의 불교미술 연구 활동","","","사단법인 동북아불교미술연구소",
"17","문화예술법인","03_08_03_P","6530000","A0100653000020230015","2020-05-27","","01","영업/정상","1","","","","","","","","","강원특별자치도 강릉시 교동 1889번지 4호","강원특별자치도 강릉시 솔올로 3-0, 6층 (교동)","","사단법인 심연수얼선양사업회","2023-08-04 10:12:32","I","2023-08-06 00:18:39","","365352.75308706","474988.423625031","문화(사단)","","","","","","","","0","","청송심연수 선생의 얼 선양 및 학술연구 등","","","사단법인 심연수얼선양사업회",
"18","문화예술법인","03_08_03_P","6530000","A0100653000020230016","2017-07-18","","01","영업/정상","1","","","","","","","","","강원특별자치도 춘천시 근화동 160번지 3호","강원특별자치도 춘천시 공지로 605-4 (근화동)","","사단법인 한국동부민요보존회","2023-08-04 10:27:30","I","2023-08-06 00:18:39","","263108.332458122","487262.798364919","문화(사단)","","","","","","","","0","","한국 동부 민요 보존, 전승","","","사단법인 한국동부민요보존회",
"19","문화예술법인","03_08_03_P","6530000","A0100653000020230017","2017-07-17","","01","영업/정상","1","","","","","","","","","강원특별자치도 춘천시 효자동 751번지 8호","강원특별자치도 춘천시 춘천로 235-0 (효자동)","","사단법인 춘천마을농악풍물연합회","2023-08-04 10:37:21","I","2023-08-06 00:18:39","","265020.101136822","486482.230800646","문화(사단)","","","","","","","","0","","춘천 마을 농악 및 풍물 전승","","","사단법인 춘천마을농악풍물연합회",
"20","문화예술법인","03_08_03_P","6530000","A0100653000020230018","2017-02-14","","01","영업/정상","1","","","","","","","","","강원특별자치도 속초시 동명동 280번지 10호","강원특별자치도 속초시 법대로 13-1, 2층 (동명동)","","사단법인 속초시 문화재 제자리 찾기 위원회","2023-08-04 10:41:07","I","2023-08-06 00:18:39","","339373.762636587","524459.864719697","행정(재단)","","","","","","","","0","","속초시 소재하였던 국보, 보물 등 문화재 환수를 위해 문화재 보존 및 전승 선양 사업 등","","","사단법인 속초시 문화재 제자리 찾기 위원회",
"21","문화예술법인","03_08_03_P","6530000","A0100653000020230019","2016-07-29","","01","영업/정상","1","","","","","","","","","강원특별자치도 강릉시 사천면 사기막리 821번지 0호 용연사","강원특별자치도 강릉시 사천면 중앙서로 961-0 (용연사)","","사단법인 용연계곡보존회","2023-08-04 10:59:08","I","2023-08-06 00:18:39","","356753.175325385","477853.744311757","문화(사단)","","","","","","","","0","","명승 용연계곡의 문화적 가치 전승","","","사단법인 용연계곡보존회",
"22","문화예술법인","03_08_03_P","6530000","A0100653000020230020","2016-07-18","","01","영업/정상","1","","","","","","","","","강원특별자치도 춘천시 동면 장학리 1004번지 0호","강원특별자치도 춘천시 동면 춘천로449번길 14-5, 501호","","사단법인 강원한국학연구원","2023-08-04 11:01:49","I","2023-08-06 00:18:39","","266310.18305105","488182.978742781","문화(사단)","","","","","","","","0","","강원문화유산과 사상의 연구","","","사단법인 강원한국학연구원",
"23","문화예술법인","03_08_03_P","6530000","A0100653000020230021","2016-07-11","","01","영업/정상","1","","","","","","","","","강원특별자치도 원주시 판부면 금대리 779번지 0호","강원특별자치도 원주시 판부면 치악로 999-146","","사단법인 세불 법륜회","2023-08-04 11:04:13","I","2023-08-06 00:18:39","","287653.437223485","419860.705601408","문화(사단)","","","","","","","","0","","문화향토사 및 인물 발굴 및 전승, 문화예술 창작공연 및 홍보","","","사단법인 세불 법륜회",
"24","문화예술법인","03_08_03_P","6530000","A0100653000020230022","2016-04-07","","01","영업/정상","1","","","","","","","","","강원특별자치도 춘천시 동내면 신촌리 239번지 1호","강원특별자치도 춘천시 동내면 순환대로 841-0","","사단법인 강원전통문화예절협회","2023-08-04 11:05:23","I","2023-08-06 00:18:39","","268124.265257862","483996.577254871","문화(사단)","","","","","","","","0","","전통문화를 계승, 발전","","","사단법인 강원전통문화예절협회",
"25","문화예술법인","03_08_03_P","6530000","A0100653000020230023","2016-04-07","","01","영업/정상","1","","","","","","","","","강원특별자치도 원주시 흥업면 매지리 641번지 4호","강원특별자치도 원주시 흥업면 매지회촌길 116-14","","사단법인 원주매지농악보존회","2023-08-04 11:15:48","I","2023-08-06 00:18:39","","280663.979516535","417098.609564548","문화(사단)","","","","","","","","0","","농악의조사연구및보존전승,양성교육","","","사단법인 원주매지농악보존회",
"26","문화예술법인","03_08_03_P","6530000","A0100653000020230024","2015-08-25","","01","영업/정상","1","","","","","","","","","강원특별자치도 춘천시 후평동 801번지 7호","강원특별자치도 춘천시 후만로 75-0, 3층 (후평동)","","사단법인 충장공 한백록 기념사업회","2023-08-04 11:20:51","I","2023-08-06 00:18:39","","266175.031765968","486238.851505231","문화(사단)","","","","","","","","0","","한백록장군의애국애족정신을기리는제반기념사업","","","사단법인 충장공 한백록 기념사업회",
"27","문화예술법인","03_08_03_P","6530000","A0100653000020230025","2015-07-30","","01","영업/정상","1","","","","","","","","","강원특별자치도 횡성군 공근면 행정리 124번지 0호","강원특별자치도 횡성군 공근면 항재로행정2길 15-0","","사단법인 횡성예절원","2023-08-04 11:32:43","I","2023-08-06 00:18:39","","284784.879863131","453284.140843671","문화(사단)","","","","","","","","0","","전통문화 예절 및 다도의 보급과 계승사업","","","사단법인 횡성예절원",
"28","문화예술법인","03_08_03_P","6530000","A0100653000020230026","2015-06-16","","01","영업/정상","1","","","","","","","","","강원특별자치도 정선군 정선읍 봉양리 385번지 0호","강원특별자치도 정선군 정선읍 비봉로 67-7","","사단법이 한민족전통문화실천협회","2023-08-04 11:35:24","I","2023-08-06 00:18:39","","347451.294157799","432416.376007622","문화(사단)","","","","","","","","0","","전통예절과 한문교육  및 관련지도자 양성사업","","","사단법이 한민족전통문화실천협회",
"29","문화예술법인","03_08_03_P","6530000","A0100653000020230027","2015-01-19","","01","영업/정상","1","","","","","","","","","강원특별자치도 원주시 행구동 666번지 1호","강원특별자치도 원주시 행구로 414-0 (행구동)","","사단법인 행구농악단","2023-08-04 11:39:13","I","2023-08-06 00:18:39","","288717.216867294","427280.710331532","문화(사단)","","","","","","","","0","","원주행구농악의보존과연구, 공연활동","","","사단법인 행구농악단",
"30","문화예술법인","03_08_03_P","6530000","A0100653000020230028","2014-12-10","","01","영업/정상","1","","","","","","","","","강원특별자치도 춘천시 효자동 662번지 17호","강원특별자치도 춘천시 효자로 105-1 (효자동)","","사단법인 춘천역사문화연구회","2023-08-04 11:41:01","I","2023-08-06 00:18:39","","264453.335596677","485778.98906319","문화(사단)","","","","","","","","0","","춘천지역향토사의 조사·발굴·연구","","","사단법인 춘천역사문화연구회",
"31","문화예술법인","03_08_03_P","6530000","A0100653000020230029","2014-12-10","","01","영업/정상","1","","","","","","","","","강원특별자치도 원주시 원동 5번지 5호","강원특별자치도 원주시 원일로 61-0 (원동)","","사단법인 원주향토문화연구원","2023-08-04 11:42:28","I","2023-08-06 00:18:39","","284241.310121673","427694.553038","문화(사단)","","","","","","","","0","","원주 지역 향토사 연구","","","사단법인 원주향토문화연구원",
"32","문화예술법인","03_08_03_P","6530000","A0100653000020230030","2014-09-23","","01","영업/정상","1","","","","","","","","","강원특별자치도 원주시 반곡동 39번지 4호","강원특별자치도 원주시 한가터길 207-0 (반곡동)","","사단법인 정주회","2023-08-04 13:24:23","I","2023-08-06 00:18:39","","289361.619396031","424851.861478298","문화(사단)","","","","","","","","0","","보은문화의 계승, 발전","","","사단법인 정주회",
"33","문화예술법인","03_08_03_P","6530000","A0100642000020140007","2013-12-11","","01","영업/정상","1","","","","","","0337644330","","","강원특별자치도 원주시 인동 242번지 3호","강원특별자치도 원주시 중앙로 25 (인동)","","한국국제조형미술협회","2014-04-08 11:17:57","I","2023-06-13 00:00:00","","284448.555994919","427551.782586439","예술(사단)","","","","","","","","0","","강원도 조형미술작가를 중심으로 국내외 전시와 외국작가와의 교류로 한국현대미술 발전에 기여","관련 법규와 규정 준수","","한국국제조형미술협회",
"34","문화예술법인","03_08_03_P","6530000","A0100642000020140033","2005-02-23","","01","영업/정상","1","","","","","","","","","강원특별자치도 정선군 정선읍 봉양리 253번지 1호","강원특별자치도 정선군 정선읍 봉양3길 17","","사단법인 정선아리랑제위원회","2014-12-22 10:04:38","I","2023-06-13 00:00:00","","346981.682376078","432202.410454664","문화(사단)","","","","","","","","0","","정선군 대표 향토문화축제인 정선아리랑제 시행 및 계승 발전","","","사단법인 정선아리랑제위원회",
"35","문화예술법인","03_08_03_P","6530000","A0100642000020190001","2019-01-21","","01","영업/정상","1","","","","","","","","","강원특별자치도 철원군 동송읍 장흥리 20번지 15호","강원특별자치도 철원군 동송읍 태봉로 1823-0","","사단법인 피스트레인","2021-07-15 17:29:34","I","2023-06-13 00:00:00","","225350.514869906","520544.322255002","문화(사단)","","","","","","","","0","","DMZ을 포함한 평화지역 및 기타 지역에서 문화예술행사를 기획 및 개최하고, 이를 통해 평화지역의 문화예술 역량 제고 및 지역의 가치 향상을 추진하는 것을 목적으로 함","","","사단법인 피스트레인",
"36","문화예술법인","03_08_03_P","6530000","A0100642000020060011","2006-12-21","","01","영업/정상","1","","","","","","0332544368","","","강원특별자치도 춘천시 효자동 409번지 10호","강원특별자치도 춘천시 효자상길5번길 13 (효자동)","","춘천청소년교향악단","2014-01-02 11:26:18","I","2023-06-13 00:00:00","","264116.316332011","485786.290073527","문화(사단)","","","","","","","","0","","꿈나무 청소년 음악인재 발굴지도 육성 및 청소년 음악활동 지원 등","민법 제32조 및 문화관광부 및 문화재청소관비영리법인의 설립및 감독에 관한규칙 제4조","","춘천청소년교향악단",
"37","문화예술법인","03_08_03_P","6530000","A0100642000020120002","2012-01-25","","01","영업/정상","1","","","","","","0337346328","","","강원특별자치도 원주시 중앙동 56번지 1호","강원특별자치도 원주시 원일로 56-1, 2층 (중앙동)","","사단법인 음악만들기앙상블","2012-01-25 18:32:10","I","2023-06-13 00:00:00","","284322.006427229","427691.213121932","예술(재단)","","","","","","","","0","","찾아가는 음학회 등 문화나눔 및 음악교육","관련 법령에 따름","","사단법인 음악만들기앙상블",
"38","문화예술법인","03_08_03_P","6530000","A0100642000020210013","2021-04-21","","01","영업/정상","1","","","","","","","","","강원특별자치도 원주시 무실동 16번지 0호","강원특별자치도 원주시 입춘로 45-0, 1210호 (반곡동,엔터비즈타워)","","사단법인 한지문화재단","2024-03-18 14:39:19","U","2024-03-20 02:40:00","","286650.196160256","425529.258545694","문화(사단)","","","","","","","","0","","원주한지의 보존 및 육성과 한지문화예술 진흥","문화체육관광부 시각예술디자인과-1419(2021.4.6.)호 관련 소관관청 변경(문화체육관광부→강원도청)","","사단법인 한지문화재단",
"39","문화예술법인","03_08_03_P","6530000","A0100642000020080009","2008-09-25","","01","영업/정상","1","","","","","","0335602208","","","강원특별자치도 정선군 정선읍 봉양리 253번지 1호","강원특별자치도 정선군 정선읍 애산로 51-0","","재단법인 정선아리랑 문화재단","2023-05-19 18:02:18","I","2023-06-13 00:00:00","","346981.682376078","432202.410454664","문화(재단)","","","","","","","","0","","정선아리랑의 전승보전과 창조적인 활용을 통해 정선아리랑 진흥과 가치제고를 통하여 군민의 문화적 삶의 질  향상과 문화복지 증대를 구현함","민법과 문화관광부 및 문화재청 소관 비영리법인의설립및감독에관한 규칙 등 관련법규와 정관에서 정하는 제 규정을 성실히 준수하여야 합니다.","","재단법인 정선아리랑 문화재단",
"40","문화예술법인","03_08_03_P","6530000","A0100642000020100009","2010-02-06","","01","영업/정상","1","","","","","","0332445379","","","강원특별자치도 춘천시 중앙로2가 87번지 1호","강원특별자치도 춘천시 중앙로 62-1, 2층 (중앙로2가)","","사단법인 애국지사 윤희순기념사업회","2014-01-02 11:10:26","I","2023-06-13 00:00:00","","263858.102757492","486597.392539909","문화(사단)","","","","","","","","0","","애국지사 윤희순의 독립투쟁 및 사상을 연구하여 그의『나라사랑』정신을 계승 발전시키고 국내외에 널리 선양함","민법과 문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에  관한 규칙 등 관련법규와 정관에서 정하는 제 규정을 성실히 준수","","사단법인 애국지사 윤희순기념사업회",
"41","문화예술법인","03_08_03_P","6530000","A0100642000020100010","2010-02-06","","01","영업/정상","1","","","","","","0332525562","","","강원특별자치도 춘천시 효자동 192번지 1호","강원특별자치도 춘천시 강원대학길 1 (효자동)","","사단법인 셰익스피어와 함께하는 세상","2010-02-06 13:42:01","I","2023-06-13 00:00:00","","265481.557982219","485420.871953344","문화(사단)","","","","","","","","0","","동서의 구분이 없는 글로벌 문화 활동에서 그 영감의 원천이 되고   있는 셰익스피어를 우리의 것으로 대중화하여 강원도의 문화 브랜드로 자리매김하고, 이와     함께 우리의 문학과 예술을 국내외에 널리 소개하고 일상화함으로써 강원도를 국내는   물론 국제적으로 문화예술 활동의 중심지로 격상시켜감","민법과 문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙 등 관련법규와 정관에서 정하는 제 규정을 성실히 준수","","사단법인 셰익스피어와 함께하는 세상",
"42","문화예술법인","03_08_03_P","6530000","A0100642000020100011","1995-01-18","","01","영업/정상","1","","","","","","","","","강원특별자치도 춘천시 약사동 156번지 1호","강원특별자치도 춘천시 방송길 35 (약사동)","","사단법인 강원지역문화연구회","2010-02-06 14:14:41","I","2023-06-13 00:00:00","","263355.412042985","485834.091114793","행정(재단)","","","","","","","","0","","강원지역문화연구","민법과 문화관광부 및 문화재청 소관 비영리법인의설립및감독에관한
     규칙 등 관련법규와 정관에서 정하는 제 규정을 성실히 준수","","사단법인 강원지역문화연구회",
"43","문화예술법인","03_08_03_P","6530000","A0100642000020100012","2010-02-06","","01","영업/정상","1","","","","","","","","","강원특별자치도 원주시 명륜동 342번지","강원특별자치도 원주시 서원대로 311 (명륜동)","","사단법인 강원감영제위원회","2010-02-07 11:55:42","I","2023-06-13 00:00:00","","283567.415989357","426479.780201421","문화(사단)","","","","","","","","0","","강원감영의 전통 문화 창달을 통하여 강원도민과 원주시민의 자긍심을 고취하고 화합과 결속을 다지는 강원감
영제를 효율적으로 추진","민법과 문화관광부 및 문화재청 소관 비영리법인의설립및감독에관한
     규칙 등 관련법규와 정관에서 정하는 제 규정을 성실히 준수","","사단법인 강원감영제위원회",
"44","문화예술법인","03_08_03_P","6530000","A0100642000020100013","1999-12-27","","01","영업/정상","1","","","","","","","","","강원특별자치도 춘천시 삼천동 200번지","강원특별자치도 춘천시 금강로 11-0, 1동 3층 301호 (소양로3가,KT춘천지사)","","재단법인 강원문화재단","2025-02-03 20:12:55","U","2025-02-05 02:40:00","","261638.06885953","485738.768274014","문화(재단)","","","","","","","","0","","지역의 문화예술활동을 지원하고 우수인재를 양성하며 문화유산을  발굴보존하여 강원도 역사와 전통을
계승발전시키고 강원문화를 창달함","민법과 문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙 등 관련법규와 정관에서 정하는 제 규정을 성실히 준수","","재단법인 강원문화재단",
"45","문화예술법인","03_08_03_P","6530000","A0100642000020100014","2005-11-08","","01","영업/정상","1","","","","","","0332448726","","","강원특별자치도 춘천시 서면 현암리 367번지","강원특별자치도 춘천시 서면 박사로 854","","재단법인 강원공예문화연구소","2010-02-07 10:50:04","I","2023-06-13 00:00:00","","","","행정(재단)","","","","","","","","0","","한국의 우수한 공예문화상품의 개발과 공예 관련 교육사업을 주 사업으로 하고, 강원지역의 문화상품 제작
 업체 및 관련 교육기관들과의 유기적인 협력관계를 전개하는 한편 나아가 전국을 대상으로 한 문화상품 개발 및 보급에 중추적인 역할
 을 담당","민법과 문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙 등 관련법규와 정관에서 정하는 제 규정을 성실히 준수","","재단법인 강원공예문화연구소",
"46","문화예술법인","03_08_03_P","6530000","A0100642000020100015","2003-04-04","","01","영업/정상","1","","","","","","0336465448","","","강원특별자치도 강릉시 옥천동 215번지","강원특별자치도 강릉시 옥가로 49-2 (옥천동)","","사단법인 강호정신문화연구회, 현 강릉전통문화선양회('09.4.14)","2010-02-07 11:07:02","I","2023-06-13 00:00:00","","367334.635178518","474842.774921317","문화(사단)","","","","","","","","0","","평생교육의 환경을 조성하고 소재를 제공하여 강릉지역의 고유문화와 정신, 전통적 가치 등에 대한 깊이 있는 이해를 통하여 향토문화 발전에 기여함","민법과 문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙 등 관련법규와 정관에서 정하는 제 규정을 성실히 준수","","사단법인 강호정신문화연구회, 현 강릉전통문화선양회('09.4.14)",
"47","문화예술법인","03_08_03_P","6530000","A0100642000020100016","2006-03-23","","01","영업/정상","1","","","","","","0332504040","","","강원특별자치도 춘천시 송암동 258번지","강원특별자치도 춘천시 스포츠타운길 113-1 (송암동)","","재단법인 2010월드레저총회 및 경기대회 조직위원회","2014-01-02 11:39:31","I","2023-06-13 00:00:00","","260300.117752865","483848.608538416","문화(재단)","","","","","","","","0","","2010년 월드레저총회, 월드레저 경기대회, 월드레저전시회를 성공적으로 개최하에 있어 필요한 사업 추진","민법과 문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙 등 관련법규와 정관에서 정하는 제 규정을 성실히 준수","","재단법인 2010월드레저총회 및 경기대회 조직위원회",
"48","문화예술법인","03_08_03_P","6530000","A0100642000020100017","2010-02-07","","01","영업/정상","1","","","","","","0333352323","","","강원특별자치도 평창군 봉평면 창동리 291번지 1호","강원특별자치도 평창군 봉평면 기풍로 134","","사단법인 가산문학선양회, 현 이효석문학선양회('09.8.10)","2010-02-07 11:45:43","I","2023-06-13 00:00:00","","321635.180473011","457793.688345862","문화(사단)","","","","","","","","0","","이효석 문학기념관 운영, 효석문화제 추진, 무노하마을 조성, 문화유적지 보존 등을 통해 가산 이효석 선생
 의 얼을 선양하고 향토문화 창달을 도모","민법과 문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙 등 관련법규와 정관에서 정하는 제 규정을 성실히 준수","","사단법인 가산문학선양회, 현 이효석문학선양회('09.8.10)",
"49","문화예술법인","03_08_03_P","6530000","A0100642000020100018","2002-04-27","","01","영업/정상","1","","","","","","0332420585","","","강원특별자치도 춘천시 효자동 531번지 0호 축제극장몸짓","강원특별자치도 춘천시 춘천로 112-0 (효자동,축제극장몸짓)","","사단법인 춘천마임축제","2024-11-04 14:26:50","U","2024-11-06 02:40:00","","263955.500305413","485849.578757573","예술(사단)","","","","","","","","0","","마임을 통해 문화예술 발전에 기여하고 춘천마임축제가 세계적인 문화축제로 도약함을 목적으로 함","민법과 문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙 등 관련법규와 정관에서 정하는 제 규정을 성실히 준수","","사단법인 춘천마임축제",
