"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"12","축산물보관업","07_22_24_P","4191000","419000000719990001","1999-05-10","","02","휴업","0001","휴업","","2020-06-16","2023-06-16","","033-742-0016","0","","강원특별자치도 원주시 단계동 318-2","강원특별자치도 원주시 서원대로 276-1 (단계동)","26479","세창냉동","2020-06-30 16:11:33","I","2023-06-13 00:00:00","","283073.703944457","426648.021851225","축산물보관업","","0","000","0",
"13","축산물보관업","07_22_24_P","4191000","419000000720020001","2002-03-14","","03","폐업","0002","폐업","2007-01-12","","","","","0","","강원특별자치도 원주시 소초면 장양리 13-4","","","원주아이델리총판","2007-01-12 11:00:01","I","2023-06-13 00:00:00","","286639.159360738","435838.96854533","축산물보관업","","0","000","0",
"14","축산물보관업","07_22_24_P","4191000","419000000720030001","2003-04-28","","03","폐업","0002","폐업","2020-06-09","","","2020-06-09","033-763-7786","330","","강원특별자치도 원주시 흥업면 흥업리 1420","강원특별자치도 원주시 흥업면 승안동길 7-15","","(주)구들택 원주냉장지점","2020-06-09 13:09:16","I","2023-06-13 00:00:00","","279585.071708134","423639.888346062","축산물보관업","","0","L00","0",
"15","축산물보관업","07_22_24_P","4191000","419000000720030002","2003-04-28","","03","폐업","0002","폐업","2003-09-05","","","","","0","","강원특별자치도 원주시 흥업면 사제리 13-4","","","(합)부원","2003-09-05 17:58:23","I","2023-06-13 00:00:00","","","","축산물보관업","","0","000","0",
"16","축산물보관업","07_22_24_P","4191000","419000000720130001","2013-02-05","","03","폐업","0002","폐업","2014-01-10","","","","033-732-1230","807.85","","강원특별자치도 원주시 호저면 광격리 581-2 B,C동","강원특별자치도 원주시 호저면 광학로 163, B,C동","26302","대상베스트코(주)","2014-01-10 18:12:58","I","2023-06-13 00:00:00","","282781.905121756","440338.615333163","축산물보관업","","0","L00","0",
"17","축산물보관업","07_22_24_P","4191000","419100000720240001","2024-07-16","","03","폐업","0002","폐업","2025-04-04","","","2025-04-04","","0","","강원특별자치도 원주시 무실동 1436-4","강원특별자치도 원주시 행가리2길 5 (무실동)","26396","신화유통","2025-04-04 14:32:21","U","2025-04-06 02:40:00","","280998.81546937","424421.135494025","축산물보관업","","0","000","0",
"18","축산물보관업","07_22_24_P","4201000","420000000720080002","2008-11-04","","01","영업/정상","0000","정상","","","","","644-6404","2898","","강원특별자치도 강릉시 강동면 안인진리 300-24","강원특별자치도 강릉시 강동면 임곡로 102-22","","태성냉동","2021-01-22 15:50:49","I","2023-06-13 00:00:00","","374202.562113357","470566.060977326","축산물보관업","","0","000","0",
"19","축산물보관업","07_22_24_P","4201000","420000000720100001","2010-04-07","","01","영업/정상","0000","정상","","","","","033-651-1666","0","","강원특별자치도 강릉시 교동 483-1","강원특별자치도 강릉시 수리골길 109 (교동)","25473","원진산업","2017-09-11 19:12:17","I","2023-06-13 00:00:00","","366890.916572583","476888.977481158","축산물보관업","","0","000","0",
"20","축산물보관업","07_22_24_P","4201000","420000000720110001","2011-10-31","","01","영업/정상","0000","정상","","","","","651-9209","320","","강원특별자치도 강릉시 포남동 1230","강원특별자치도 강릉시 강릉대로 481 (포남동)","25480","(주)광진육가공","2011-10-31 18:32:57","I","2023-06-13 00:00:00","","368603.609186258","476542.967247897","축산물보관업","","0","L00","0",
"21","축산물보관업","07_22_24_P","4201000","420000000720150001","2015-05-27","","01","영업/정상","0000","정상","","","","","033-643-3628","194","","","강원특별자치도 강릉시 모산로169번길 20 (담산동)","25607","(주)성원푸드","2020-11-26 14:40:09","I","2023-06-13 00:00:00","","367467.159781208","471005.803310674","축산물보관업","","0","L00","0",
"22","축산물보관업","07_22_24_P","4201000","420000000720150002","2015-11-12","","01","영업/정상","0000","정상","","","","","","175","","강원특별자치도 강릉시 두산동 240-6","강원특별자치도 강릉시 강변로648번길 34 (두산동)","25573","주식회사 빙그레","2025-07-15 14:03:02","U","2025-07-17 02:40:00","","370061.401268864","475540.250003054","축산물보관업","","0","L00","0",
"23","축산물보관업","07_22_24_P","4201000","420000000720160001","2016-05-31","","01","영업/정상","0000","정상","","","","","033-644-8212","209.1","","","강원특별자치도 강릉시 사천면 과학단지로 137-49","25440","(주)비지에프로지스 강릉센터","2022-12-26 15:15:35","I","2023-06-13 00:00:00","","362940.044719654","480013.05006575","축산물보관업","","0","L00","0",
"24","축산물보관업","07_22_24_P","4201000","420000000720190002","2019-06-24","","01","영업/정상","0000","정상","","","","","033-641-8845","0","","강원특별자치도 강릉시 강동면 산성우리 148","강원특별자치도 강릉시 강동면 오이동길 58","25630","만진냉동","2019-06-24 18:43:54","I","2023-06-13 00:00:00","","377637.075773593","466339.297386748","축산물보관업","","0","000","0",
"25","축산물보관업","07_22_24_P","4201000","420000000720200001","2020-10-27","","01","영업/정상","0000","정상","","","","","","313.69","","강원특별자치도 강릉시 주문진읍 교항리 1263-12","강원특별자치도 강릉시 주문진읍 농공단지길 28-81","25422","주식회사 계주","2024-07-15 13:31:49","U","2024-07-17 02:40:00","","360326.393791227","486374.712924217","축산물보관업","","0","L00","0",
"26","축산물보관업","07_22_24_P","4201000","420000000720200002","2020-11-05","","01","영업/정상","0000","정상","","","","","033-760-9402","0","","강원특별자치도 강릉시 죽헌동 291-1","강원특별자치도 강릉시 율곡로 3214, 1층 (죽헌동)","25463","씨제이대한통운 주식회사","2024-04-11 18:10:02","U","2024-04-13 02:40:00","","365163.165486237","477428.953442541","축산물보관업","","0","L00","0",
"27","축산물보관업","07_22_24_P","4201000","420000000720230001","2023-05-24","","01","영업/정상","0000","정상","","","","","","165","","강원특별자치도 강릉시 강동면 모전리 19-1","강원특별자치도 강릉시 강동면 임곡로 302","25627","주식회사 바로고","2024-03-26 10:03:08","U","2024-03-28 02:40:00","","375255.50959799","469171.526789593","축산물보관업","","0","L00","0",
"28","축산물보관업","07_22_24_P","4201000","420100000720240001","2024-05-28","","01","영업/정상","0000","정상","","","","","043-923-6323","330.56","","강원특별자치도 강릉시 성산면 송암리 8","강원특별자치도 강릉시 성산면 송두길 212","25446","엑소후레쉬물류(주)","2024-05-28 10:05:37","I","2024-05-30 00:14:26","","362194.434560243","476477.544210696","축산물보관업","","0","L00","0",
"29","축산물보관업","07_22_24_P","4201000","420100000720250001","2025-05-29","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 강릉시 사천면 방동리 808-12","강원특별자치도 강릉시 사천면 과학단지로 137-57","25440","동원로엑스 강릉센터","2025-05-29 14:13:13","I","2025-05-31 00:20:02","","362946.462343472","480132.064466195","축산물보관업","","0","L00","0",
"30","축산물보관업","07_22_24_P","4201000","420000000720080001","2008-10-08","","03","폐업","0002","폐업","2014-06-24","","","","646-3628","2695","","강원특별자치도 강릉시 담산동 335-1","강원특별자치도 강릉시 모산로169번길 20 (담산동)","25607","(주)승민냉동","2014-06-25 10:56:45","I","2023-06-13 00:00:00","","367467.159781208","471005.803310674","축산물보관업","","0","L00","0",
"31","축산물보관업","07_22_24_P","4201000","420000000720170001","2017-10-25","","03","폐업","0002","폐업","2023-01-05","","","2023-01-05","","0","","강원특별자치도 강릉시 사천면 사천진리 211-17","강원특별자치도 강릉시 사천면 손맞이길 132-7","25435","엑소후레쉬물류(주)","2023-01-09 09:45:48","I","2023-06-13 00:00:00","","364525.755976689","483838.576173192","축산물보관업","","0","L00","0",
"32","축산물보관업","07_22_24_P","4201000","420000000720190001","2019-02-07","","03","폐업","0002","폐업","2023-02-24","","","2023-02-24","031-378-8530","0","","강원특별자치도 강릉시 구정면 제비리 1278-1","강원특별자치도 강릉시 구정면 회산로 171-117","25621","(주)아산지엘에스","2023-02-27 18:02:15","I","2023-06-13 00:00:00","","363119.629307322","471284.100070924","축산물보관업","","0","L00","0",
"33","축산물보관업","07_22_24_P","4211000","421100000720240001","2024-03-07","","01","영업/정상","0000","정상","","","","","033-535-7785","0","","강원특별자치도 동해시 묵호진동 15-104","강원특별자치도 동해시 일출로 92-26, 1층, 7층 (묵호진동)","25718","주식회사 대양로지스","2024-08-22 13:12:05","U","2024-08-24 02:40:00","","386998.797664629","451848.657151322","축산물보관업","","0","L00","0",
"34","축산물보관업","07_22_24_P","4211000","421000000720190001","2019-10-28","","04","취소/말소/만료/정지/중지","0004","말소","2024-03-06","","","","033-531-7784","500","","강원특별자치도 동해시 묵호진동 15-104 대한냉동","강원특별자치도 동해시 일출로 92-26, 대한냉동 7층 (묵호진동)","25718","(주)대한로지스","2024-03-06 09:56:19","U","2024-03-08 02:40:00","","386998.797664629","451848.657151322","축산물보관업","","0","L00","0",
"35","축산물보관업","07_22_24_P","4251000","425000000720200001","2020-03-10","","01","영업/정상","0000","정상","","","","","033-439-3400","1608.32","","강원특별자치도 홍천군 홍천읍 상오안리 688-6","강원특별자치도 홍천군 홍천읍 농공단지길 23-10, 홍천축산업협동조합 육가공공장","25117","홍천축산업협동조합 육가공공장","2023-04-13 10:36:20","I","2023-06-13 00:00:00","","272917.326671394","461668.500473304","축산물보관업","","0","L00","0",
"36","축산물보관업","07_22_24_P","4261000","426000000720150001","2015-04-03","","01","영업/정상","0000","정상","","","","","033345-9008~9","330","","강원특별자치도 횡성군 우천면 우항리 558-1","강원특별자치도 횡성군 우천면 수남로 365","25248","동횡성농협하나로마트","2023-04-05 16:58:29","I","2023-06-13 00:00:00","","294269.489028476","440209.470843358","축산물보관업","","0","L00","0",
"37","축산물보관업","07_22_24_P","4261000","426000000720160001","2016-05-09","","01","영업/정상","0000","정상","","","","","1800-6550","3715.6","","","강원특별자치도 횡성군 우천면 우천제2농공단지로 65-50","25248","(주)케이프라이드","2024-02-22 16:50:49","U","2024-02-24 02:40:00","","294278.377424337","438991.957314583","축산물보관업","","0","L00","0",
"38","축산물보관업","07_22_24_P","4261000","426000000720200001","2020-08-20","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 횡성군 횡성읍 학곡리 881-4","강원특별자치도 횡성군 횡성읍 경강로 1642-6","25210","횡성육가공유통센터","2025-04-03 16:26:04","U","2025-04-05 02:40:00","","284498.09322902","445022.562494627","축산물보관업","","0","000","0",
"39","축산물보관업","07_22_24_P","4261000","426000000720210001","2021-03-29","","01","영업/정상","0000","정상","","","","","033-343-2229","0","","강원특별자치도 횡성군 횡성읍 조곡리 171","강원특별자치도 횡성군 횡성읍 한우로조곡8길 16","25213","횡성한우농협유통사업단","2021-03-29 16:37:04","I","2023-06-13 00:00:00","","290813.040302911","443673.844484737","축산물보관업","","0","L00","0",
"40","축산물보관업","07_22_24_P","4261000","426100000720250001","2025-07-04","","01","영업/정상","0000","정상","","","","","0333400600","918","","강원특별자치도 횡성군 우천면 법주리 729","강원특별자치도 횡성군 우천면 우천제2농공단지로 85","25249","농협경제지주(주)마트사업강원지사","2025-07-07 13:52:42","U","2025-07-09 02:40:00","","293933.650024159","439112.640182957","축산물보관업","","0","L00","0",
"41","축산물보관업","07_22_24_P","4261000","426000000720140001","2014-05-15","","04","취소/말소/만료/정지/중지","0004","말소","2018-12-04","","","","","0","","","강원특별자치도 횡성군 우천면 수남로 351-1","25248","청일축산물","2018-12-04 13:19:42","I","2023-06-13 00:00:00","","294145.291095361","440300.732880501","축산물보관업","","0","000","0",
"42","축산물보관업","07_22_24_P","4331000","433000000720060001","2006-11-16","","01","영업/정상","0000","정상","","","","","461-5701","667.26","","강원특별자치도 인제군 인제읍 덕산리 710-1","강원특별자치도 인제군 인제읍 덕산로 64","24627","인제축협냉동창고","2011-10-30 11:04:04","I","2023-06-13 00:00:00","","304071.618750211","509471.400793789","축산물보관업","","0","L00","0",
"43","축산물보관업","07_22_24_P","4341000","434000000720200001","2020-07-21","","01","영업/정상","0000","정상","","","","","033-632-0018","1665","","강원특별자치도 고성군 죽왕면 공현진리 431-34 죽왕수산업협동조합 냉동창고","강원특별자치도 고성군 죽왕면 공현진해변길 78-1, 죽왕수산업협동조합 냉동창고","24745","죽왕수산업협동조합","2023-01-12 15:10:11","I","2023-06-13 00:00:00","","332119.696495894","540166.158417224","축산물보관업","","0","L00","0",
"44","축산물보관업","07_22_24_P","4341000","434000000720230001","2023-01-18","","02","휴업","0001","휴업","","2025-09-26","2030-09-25","","033-681-3569","895.44","","강원특별자치도 고성군 죽왕면 송암리 213","강원특별자치도 고성군 죽왕면 동해대로 5634-9","24752","고성축산농협","2025-10-02 15:30:05","U","2025-10-05 02:40:00","","334305.420000235","534987.638433712","축산물보관업","","0","L00","0",
