"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"38","가축인공수정소","02_04_02_P","4191000","419100000320250001","2025-08-12","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 문막읍 후용리 1060","강원특별자치도 원주시 문막읍 장승백이길 82-2","26495","득문수정소","2025-08-12 09:09:22","I","2025-08-14 00:20:43","","271228.226479199","420175.894221925","가축인공수정소","","0","000","0",
"39","가축인공수정소","02_04_02_P","4191000","419000000319680001","1968-01-10","","03","폐업","0002","폐업","2018-12-20","","","","033-744-6801","0","","강원특별자치도 원주시 문막읍 건등리 1477-1","강원특별자치도 원주시 문막읍 건등로 70","26370","원주축협","2018-12-21 16:14:46","I","2023-06-13 00:00:00","","272912.892126908","424015.32582032","가축인공수정소","","0","000","0",
"40","가축인공수정소","02_04_02_P","4191000","419000000319840001","1984-01-10","","03","폐업","0002","폐업","","","","","","0","","강원특별자치도 원주시 문막읍 궁촌리 750-2","강원특별자치도 원주시 문막읍 궁말길 45","26496","문막가축인공수정소","2018-12-18 17:09:41","I","2023-06-13 00:00:00","","273439.379888042","419805.66258745","가축인공수정소","","0","000","0",
"41","가축인공수정소","02_04_02_P","4191000","419000000319870001","1987-05-04","","03","폐업","0002","폐업","2009-01-16","","","","","0","","강원특별자치도 원주시 부론면 노림리 32-7","강원특별자치도 원주시 부론면 모산길 20","26497","부론가축인공수정소","2013-12-18 09:36:12","I","2023-06-13 00:00:00","","270183.394106074","417997.929430778","가축인공수정소","","0","000","0",
"42","가축인공수정소","02_04_02_P","4191000","419000000319900001","1990-08-14","","03","폐업","0002","폐업","2020-10-29","","","","","0","","강원특별자치도 원주시 신림면 신림리 425","강원특별자치도 원주시 신림면 갈곡길 45","26506","신림가축인공수정소","2020-10-29 14:09:23","I","2023-06-13 00:00:00","","294615.73649024","415356.175311703","가축인공수정소","","0","000","0",
"43","가축인공수정소","02_04_02_P","4191000","419000000319930001","1993-09-13","","03","폐업","0002","폐업","2012-03-05","","","","","0","","강원특별자치도 원주시 일산동 247-162","강원특별자치도 원주시 남산로 141 (일산동)","26418","치악가축인공수정소","2012-03-05 13:27:22","I","2023-06-13 00:00:00","","283106.667143336","427882.318806568","가축인공수정소","","0","000","0",
"44","가축인공수정소","02_04_02_P","4191000","419000000320100001","2010-12-03","","03","폐업","0002","폐업","2017-02-20","","","","","0","","강원특별자치도 원주시 문막읍 취병리 918","강원특별자치도 원주시 문막읍 취병로 663","26360","선가축인공수정소","2017-02-20 17:56:52","I","2023-06-13 00:00:00","","268169.485144911","427633.256882475","가축인공수정소","","0","000","0",
"45","가축인공수정소","02_04_02_P","4191000","419000000320150002","2015-07-16","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","52","","","강원특별자치도 원주시 문막읍 문막시장1길 82","26373","백두인공수정소","2018-04-18 16:29:07","I","2023-06-13 00:00:00","","272182.330836937","422728.350496567","가축인공수정소","","0","000","0",
"46","가축인공수정소","02_04_02_P","4201000","420000000320180001","2018-09-12","","01","영업/정상","0000","정상","","","","","","10","","강원특별자치도 강릉시 옥계면 남양리 25-3","강원특별자치도 강릉시 옥계면 올밑길 189-12","25646","남양 가축인공수정소","2018-09-12 09:34:53","I","2023-06-13 00:00:00","","380688.003067056","455494.965593473","가축인공수정소","","0","000","0",
"47","가축인공수정소","02_04_02_P","4201000","420000000320200001","2020-01-13","","01","영업/정상","0000","정상","","","","","","10","","강원특별자치도 강릉시 사천면 석교리 634","강원특별자치도 강릉시 사천면 돌다리길 91-266","25434","소담가축인공수정소","2020-01-13 14:39:34","I","2023-06-13 00:00:00","","360960.124378395","482159.413110639","가축인공수정소","","0","000","0",
"48","가축인공수정소","02_04_02_P","4201000","420000000319930001","1993-05-03","","01","영업/정상","0000","정상","","","","","644-8575","0","","강원특별자치도 강릉시 성산면 금산리 454 2통3반","강원특별자치도 강릉시 성산면 소목길 18-31","","정봉가축인공수정소","2003-04-11 11:01:14","I","2023-06-13 00:00:00","","363142.929563315","472455.375149541","가축인공수정소","","0","000","0",
"49","가축인공수정소","02_04_02_P","4201000","420000000319960001","1996-05-18","","01","영업/정상","0000","정상","","","","","","10","","강원특별자치도 강릉시 죽헌동 438-2","강원특별자치도 강릉시 유죽길533번길 10-6, 102동 4층 401호 (죽헌동)","25454","대관령가축인공수정소","2019-12-02 11:16:51","I","2023-06-13 00:00:00","","365101.648789635","476957.157101015","가축인공수정소","","0","000","0",
"50","가축인공수정소","02_04_02_P","4201000","420000000320050001","2005-02-07","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 강릉시 주문진읍 교항리 106-21","강원특별자치도 강릉시 주문진읍 신리천로 60","","현대축산","2005-02-07 10:58:23","I","2023-06-13 00:00:00","","360425.01219393","488373.888682255","가축인공수정소","","0","000","0",
"51","가축인공수정소","02_04_02_P","4201000","420000000320070002","2007-02-16","","01","영업/정상","0000","정상","","","","","","10","","강원특별자치도 강릉시 성산면 산북리 204-1 1통3반","강원특별자치도 강릉시 성산면 칠봉로 207-20","","대우 가축인공수정소","2007-02-16 17:00:21","I","2023-06-13 00:00:00","","362464.547060376","468251.920727108","가축인공수정소","","0","000","0",
"52","가축인공수정소","02_04_02_P","4201000","420000000320080001","2008-01-17","","01","영업/정상","0000","정상","","","","","","15","","강원특별자치도 강릉시 강동면 하시동리 565","강원특별자치도 강릉시 강동면 시동윗길 92-6","","바우가축인공수정소","2008-01-17 17:34:22","I","2023-06-13 00:00:00","","372388.222841329","472289.748216872","가축인공수정소","","0","000","0",
"53","가축인공수정소","02_04_02_P","4201000","420000000320090001","2009-03-20","","03","폐업","0002","폐업","2009-08-04","","","","651-8291","103.08","","강원특별자치도 강릉시 포남동 1298-3","강원특별자치도 강릉시 하평5길 49 (포남동)","","제일 가축인공수정소","2009-08-04 15:43:58","I","2023-06-13 00:00:00","","368650.278966142","476282.428198261","가축인공수정소","","0","000","0",
"54","가축인공수정소","02_04_02_P","4201000","420000000320100001","2010-02-01","","03","폐업","0002","폐업","2012-09-07","","","","","0","","강원특별자치도 강릉시 교동 740-1","강원특별자치도 강릉시 화부산로111번길 30 (교동)","","강릉 가축인공수정소","2012-09-07 17:55:44","I","2023-06-13 00:00:00","","366356.502823232","475546.565865233","가축인공수정소","","0","000","0",
"55","가축인공수정소","02_04_02_P","4201000","420000000320100002","2010-08-27","","03","폐업","0002","폐업","2010-10-08","","","","651-8291","108.08","","강원특별자치도 강릉시 포남동 1298-3 24통2반","강원특별자치도 강릉시 하평5길 49 (포남동)","","제일가축인공수정소","2010-10-08 16:51:39","I","2023-06-13 00:00:00","","368650.278966142","476282.428198261","가축인공수정소","","0","000","0",
"56","가축인공수정소","02_04_02_P","4201000","420000000320120001","2012-09-10","","03","폐업","0002","폐업","2019-12-23","","","","033-647-1188","0","","강원특별자치도 강릉시 교동 740-1","강원특별자치도 강릉시 화부산로 111-30 (교동)","210-101","강릉가축인공수정소","2019-12-23 12:27:34","I","2023-06-13 00:00:00","","366356.502823232","475546.565865233","가축인공수정소","","0","000","0",
"57","가축인공수정소","02_04_02_P","4201000","420000000319860001","1986-01-15","","03","폐업","0002","폐업","2020-01-10","","","","662-3115","0","","강원특별자치도 강릉시 주문진읍 교항리 16","","","현대가축인공수정소","2020-01-10 17:55:58","I","2023-06-13 00:00:00","","","","가축인공수정소","","0","000","0",
"58","가축인공수정소","02_04_02_P","4201000","420000000319900001","1990-07-20","","03","폐업","0002","폐업","2004-05-06","","","","643-1843","0","","강원특별자치도 강릉시 포남동 1160-10","강원특별자치도 강릉시 경강로2255번길 25-4 (포남동)","","강원가축인공수정소","2004-05-06 11:07:01","I","2023-06-13 00:00:00","","367920.342729158","475487.990327092","가축인공수정소","","0","000","0",
"59","가축인공수정소","02_04_02_P","4201000","420000000320020001","2002-07-20","","03","폐업","0002","폐업","2004-05-28","","","","651-8291","0","","강원특별자치도 강릉시 포남동 1298-3","강원특별자치도 강릉시 하평5길 49 (포남동)","","새생명가축인공수정소","2004-05-28 18:22:22","I","2023-06-13 00:00:00","","368650.278966142","476282.428198261","가축인공수정소","","0","000","0",
"60","가축인공수정소","02_04_02_P","4201000","420000000320060001","2006-02-28","","03","폐업","0002","폐업","2007-01-22","","","","647-1050","40","","강원특별자치도 강릉시 구정면 제비리 337-4","강원특별자치도 강릉시 구정면 칠봉로 478","","강원축산","2007-01-22 13:28:52","I","2023-06-13 00:00:00","","364151.017718327","469105.312219673","가축인공수정소","","0","000","0",
"61","가축인공수정소","02_04_02_P","4201000","420000000320070001","2007-01-22","","03","폐업","0002","폐업","2010-02-01","","","","648-9063","0","","강원특별자치도 강릉시 교동","강원특별자치도 강릉시 화부산로111번길 30 (교동)","25496","강릉가축인공수정소","2015-08-04 09:21:44","I","2023-06-13 00:00:00","","366356.502823232","475546.565865233","가축인공수정소","","0","000","0",
"62","가축인공수정소","02_04_02_P","4211000","421000000319870001","1987-08-21","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 동해시 단봉동 554-4","강원특별자치도 동해시 봉정1길 80-1 (단봉동)","25821","북평개인가축인공수정소","2017-06-17 15:50:28","I","2023-06-13 00:00:00","","387274.875445713","443185.176680571","가축인공수정소","","0","000","0",
"63","가축인공수정소","02_04_02_P","4211000","421000000320060001","2006-01-11","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 동해시 괴란동 251 6통4반","","","동해가축인공수정소","2006-01-11 10:12:56","I","2023-06-13 00:00:00","","","","가축인공수정소","","0","000","0",
"64","가축인공수정소","02_04_02_P","4221000","422000000319900001","1990-02-02","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 태백시 황지동 120-41 상장동 1/4","강원특별자치도 태백시 상장로 40-1 (황지동,상장동 1/4)","","태백가축인공수정소","2003-04-11 15:56:38","I","2023-06-13 00:00:00","","376786.744306089","407215.90863943","가축인공수정소","","0","000","0",
"65","가축인공수정소","02_04_02_P","4221000","422000000320070001","2007-05-07","","01","영업/정상","0000","정상","","","","","553-3472","5","","강원특별자치도 태백시 황지동 80-1","강원특별자치도 태백시 황지로 29 (황지동)","26022","임병현가축인공수정소","2011-10-31 09:33:00","I","2023-06-13 00:00:00","","376853.249793396","408977.688837817","가축인공수정소","","0","000","0",
"66","가축인공수정소","02_04_02_P","4221000","422000000320150001","2015-01-14","","01","영업/정상","0000","정상","","","","","","14","","강원특별자치도 태백시 상사미동 53-2","","","황금가축인공수정소","2015-01-14 15:49:38","I","2023-06-13 00:00:00","","377003.210813979","419884.29053348","가축인공수정소","","0","000","0",
"67","가축인공수정소","02_04_02_P","4221000","422000000320210001","2021-04-01","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 태백시 상사미동 192-2","강원특별자치도 태백시 백두대간로 1237-16 (상사미동)","26001","부흥인공수정소","2021-04-01 19:20:05","I","2023-06-13 00:00:00","","376426.281620408","420760.634045054","가축인공수정소","","0","000","0",
"68","가축인공수정소","02_04_02_P","4221000","422000000319840001","1984-08-28","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","","강원특별자치도 태백시 황지동 215-24","","","태백축산업협동조합","2017-06-19 10:05:18","I","2023-06-13 00:00:00","","376533.762647318","408269.920842453","가축인공수정소","","0","000","0",
"69","가축인공수정소","02_04_02_P","4241000","424000000320210003","2021-04-27","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 삼척시 미로면 동산리 산 109-1","강원특별자치도 삼척시 미로면 동산길 519","25905","동남농장 인공수정소","2021-04-27 13:09:23","I","2023-06-13 00:00:00","","","","가축인공수정소","","0","000","0",
"70","가축인공수정소","02_04_02_P","4241000","424000000320210004","2021-11-08","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 삼척시 원덕읍 호산리 226-6 샤인빌","강원특별자치도 삼척시 원덕읍 삼척로 437-20, 샤인빌 B동 503호","25961","봄가축인공수정소","2021-11-08 14:22:34","I","2023-06-13 00:00:00","","407293.07813332","410723.913122425","가축인공수정소","","0","000","0",
"71","가축인공수정소","02_04_02_P","4241000","424000000320210005","2021-12-09","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 삼척시 원덕읍 산양리 685-2","강원특별자치도 삼척시 원덕읍 사곡길 43-142","25959","우성가축인공수정소","2021-12-09 16:16:40","I","2023-06-13 00:00:00","","404008.578367933","406712.525407374","가축인공수정소","","0","000","0",
"72","가축인공수정소","02_04_02_P","4241000","424000000320210006","2021-12-21","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 삼척시 마달동 179 삼척 마달 세영리첼 아파트 103동 104호","강원특별자치도 삼척시 마달길 215, 삼척 마달 세영리첼 아파트 103동 104호 (마달동, 삼척 마달 세영리첼 아파트)","25908","삼척가축인공수정소","2021-12-21 14:25:01","I","2023-06-13 00:00:00","","390708.845204233","440880.971197845","가축인공수정소","","0","000","0",
"73","가축인공수정소","02_04_02_P","4241000","424000000320220001","2022-10-20","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 삼척시 원덕읍 노곡리 574-2","강원특별자치도 삼척시 원덕읍 옥원노곡길 184-5","25957","문병식","2022-10-20 17:10:59","I","2023-06-13 00:00:00","","406674.241704048","414000.124621805","가축인공수정소","","0","000","0",
