"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"35","종축업","02_04_06_P","4281000","428000000220170001","2017-06-12","","03","폐업","0002","폐업","2022-02-21","","","","033-330-9500","","25342","강원특별자치도 평창군 대관령면 횡계리 산 *-***","강원특별자치도 평창군 대관령면 대관령마루길 ***-** (고령지시험장)","25342","국립축산과학원 가금연구소","2022-02-21 16:18:07","I","2023-06-13 00:00:00","종계업","352740.670850395","466763.719348658","종축업","종계업","456","L00","0",
"36","종축업","02_04_06_P","4281000","428000000220200001","2020-02-13","","03","폐업","0002","폐업","2020-09-10","","","","033-330-9511","","25342","강원특별자치도 평창군 대관령면 횡계리 산 *-*** 고령지 시험장","강원특별자치도 평창군 대관령면 대관령마루길 ***-**, 고령지 시험장","25342","국립축산과학원 가금연구소","2020-09-10 13:23:35","I","2023-06-13 00:00:00","종오리업","353142.583543033","466274.625424648","종축업","종오리업","504","L00","0",
"37","종축업","02_04_06_P","4301000","430000000220070001","2007-01-22","","01","영업/정상","0000","정상","","","","","452-1673","0","269-803","강원특별자치도 철원군 갈말읍 동막리 ***","강원특별자치도 철원군 갈말읍 신동막길 ***","","농업회사법인주식회사 철원종돈","2007-01-22 10:51:52","I","2023-06-13 00:00:00","종돈업","225395.522442228","526859.662811331","종축업","종돈업","405","000","0",
"38","종축업","02_04_06_P","4301000","430000000220090001","2009-01-14","","01","영업/정상","0000","정상","","","","","","0","269-843","강원특별자치도 철원군 서면 자등리 *** 외 *필지","강원특별자치도 철원군 서면 태봉로 ***-** (외 *필지)","","에이스종돈","2009-01-14 18:28:20","I","2023-06-13 00:00:00","종돈업","238636.147767944","518030.802052688","종축업","종돈업","549","000","0",
"39","종축업","02_04_06_P","4301000","430000000220180001","2018-12-26","","01","영업/정상","0000","정상","","","","","","","24002","강원특별자치도 철원군 철원읍 율이리 ***","강원특별자치도 철원군 철원읍 독서당길 **","24002","태봉농장","2021-10-26 13:23:08","I","2023-06-13 00:00:00","종돈업","216397.351235754","526433.814093325","종축업","종돈업","912","L00","0",
"40","종축업","02_04_06_P","4301000","430100000220240001","2024-02-06","","01","영업/정상","0000","정상","","","","","","","24056","강원특별자치도 철원군 서면 와수리 ****-**","강원특별자치도 철원군 서면 신벌로 ***-**","24056","안성 서면농장","2024-04-29 09:52:40","U","2024-05-01 02:40:00","종계업","239261.521745133","528432.39703963","종축업","종계업","971","L00","0",
"41","종축업","02_04_06_P","4301000","430000000219950001","1995-03-29","","03","폐업","0002","폐업","2004-05-21","","","","52-3077","2677","269-800","강원특별자치도 철원군 갈말읍 신철원리 동막리 ***번지","","","철원종축","2004-06-01 09:53:23","I","2023-06-13 00:00:00","종돈업","","","종축업","종돈업","6","000","0",
"42","종축업","02_04_06_P","4301000","430000000220030001","2003-06-16","","03","폐업","0002","폐업","2013-03-18","","","","45-0057","5799","269-811","강원특별자치도 철원군 동송읍 장흥리 ****","강원특별자치도 철원군 동송읍 오대로 ***","","한세종축영농조합법인","2013-03-18 17:12:26","I","2023-06-13 00:00:00","종돈업","221985.617651542","523689.520777949","종축업","종돈업","64","000","0",
"43","종축업","02_04_06_P","4301000","430000000220030002","2003-07-31","","03","폐업","0002","폐업","2013-03-18","","","","","0","269-833","강원특별자치도 철원군 김화읍 청양리 ***-*","강원특별자치도 철원군 김화읍 청하골길 ***","","혁진종돈장","2013-03-19 09:36:19","I","2023-06-13 00:00:00","종돈업","234035.479908102","524839.840831376","종축업","종돈업","0","000","0",
"44","종축업","02_04_06_P","4301000","430000000220040001","2004-07-02","","03","폐업","0002","폐업","2007-01-12","","","","","0","269-803","강원특별자치도 철원군 갈말읍 동막리 ***","강원특별자치도 철원군 갈말읍 신동막길 ***","","동방삭영농법인","2007-01-12 10:08:14","I","2023-06-13 00:00:00","종돈업","225395.522442228","526859.662811331","종축업","종돈업","7","000","0",
"45","종축업","02_04_06_P","4301000","430000000220050001","2005-05-20","","03","폐업","0002","폐업","2008-06-18","","","","","0","269-843","강원특별자치도 철원군 서면 자등리 ***-*","","","성현농장","2008-06-18 14:38:18","I","2023-06-13 00:00:00","종돈업","","","종축업","종돈업","219","000","0",
"46","종축업","02_04_06_P","4301000","430000000220050002","2005-09-15","","03","폐업","0002","폐업","2007-02-05","","","","","0","269-813","강원특별자치도 철원군 동송읍 이길리 산 **","","","원모루","2007-02-05 10:21:34","I","2023-06-13 00:00:00","종계업","226909.130780208","531620.004702447","종축업","종계업","369","000","0",
"47","종축업","02_04_06_P","4301000","430000000220070002","2007-01-22","","03","폐업","0002","폐업","2014-04-15","","","","","0","269-803","강원특별자치도 철원군 갈말읍 동막리 ***","강원특별자치도 철원군 갈말읍 신동막길 ***","","한양종돈","2014-04-15 16:54:14","I","2023-06-13 00:00:00","종돈업","225395.522442228","526859.662811331","종축업","종돈업","406","000","0",
"48","종축업","02_04_06_P","4301000","430000000220070003","2007-02-05","","03","폐업","0002","폐업","2009-02-05","","","","455-3020","0","269-813","강원특별자치도 철원군 동송읍 이길리 산 **","","","일보농장","2009-02-05 15:55:26","I","2023-06-13 00:00:00","종계업","226909.130780208","531620.004702447","종축업","종계업","407","000","0",
"49","종축업","02_04_06_P","4301000","430000000220080001","2008-07-28","","03","폐업","0002","폐업","2023-06-19","","","","","0","269-833","강원특별자치도 철원군 김화읍 청양리 ***-*","강원특별자치도 철원군 김화읍 청하골길 ***","","제이피엔씨종돈장","2023-06-19 10:43:41","U","2023-06-21 02:40:00","종돈업","234035.479908102","524839.840831376","종축업","종돈업","535","000","0",
"50","종축업","02_04_06_P","4301000","430000000220120001","2012-07-19","","03","폐업","0002","폐업","2017-03-10","","","","","","269-811","강원특별자치도 철원군 동송읍 장흥리 ***-*","강원특별자치도 철원군 동송읍 구수동*길 **","24023","우보축산","2017-03-10 14:18:46","I","2023-06-13 00:00:00","종돈업","222892.433316834","519924.153797715","종축업","종돈업","681","000","0",
"51","종축업","02_04_06_P","4301000","430000000220160001","2016-03-18","","03","폐업","0002","폐업","2020-10-13","","","","","","24009","강원특별자치도 철원군 동송읍 양지리 ***-*","강원특별자치도 철원군 동송읍 양지*길 **","24009","중림","2020-10-13 11:28:15","I","2023-06-13 00:00:00","종계업","225125.425286963","529726.997673541","종축업","종계업","843","L00","0",
"52","종축업","02_04_06_P","4311000","431000000219960002","1996-02-09","","01","영업/정상","0000","정상","","","","","033-441-4829","4297","209-831","강원특별자치도 화천군 사내면 광덕리 ***","강원특별자치도 화천군 사내면 도일길 ***-**","24150","경기양돈","2015-12-15 09:36:39","I","2023-06-13 00:00:00","종돈업","243183.9806701","509245.871315315","종축업","종돈업","4","000","0",
"53","종축업","02_04_06_P","4311000","431000000220170001","2017-09-04","","01","영업/정상","0000","정상","","","","","","","24146","","강원특별자치도 화천군 하남면 계파로 **-**","24146","충청농장","2021-08-11 17:54:28","I","2023-06-13 00:00:00","종계업","256965.142207546","507776.305185389","종축업","종계업","381","000","0",
"54","종축업","02_04_06_P","4311000","431000000220010001","2001-10-16","","03","폐업","0002","폐업","2020-02-17","","","","033-441-7693","20561","209-841","강원특별자치도 화천군 하남면 계성리 **","강원특별자치도 화천군 하남면 계파로 **-**","24146","승안농장","2020-02-27 11:34:49","I","2023-06-13 00:00:00","종계업","256676.693149928","507770.687518933","종축업","종계업","5","000","0",
"55","종축업","02_04_06_P","4311000","431000000220120001","2012-04-09","","03","폐업","0002","폐업","2017-09-01","","","","","","209-842","강원특별자치도 화천군 하남면 계성리 **-*","강원특별자치도 화천군 하남면 계파로 **-**","24146","Farm's Echo","2017-09-01 17:40:35","I","2023-06-13 00:00:00","종계업","256979.979823641","507700.258760338","종축업","종계업","169","000","0",
"56","종축업","02_04_06_P","4321000","432000000220050001","2005-04-21","","03","폐업","0002","폐업","2008-01-18","","","","(0330481-6594","0","255-806","강원특별자치도 양구군 양구읍 한전리 **-* 한전리 *반","","","성호농장","2008-01-17 14:07:59","I","2023-06-13 00:00:00","종돈업","289545.557058083","518201.038005109","종축업","종돈업","19","000","0",
