"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","기공용레스수","원심주조기수","기공용모터수","아세틸렌수","치과용프레스수","전기로수","포셀린로수","초음파청소기수","서베이어수","진동기수","트리머수","기공용컴프레서수","샌드기수","진공매몰기수","핀덱스수",
"17","치과기공소","01_02_04_P","4181000","PHMB320134180029062300001","2013-01-29","","01","영업/정상","13","영업중","","","","","033-257-2877","","","강원특별자치도 춘천시 운교동 169번지 20호 3층","강원특별자치도 춘천시 금강로 98-1, 3층 (운교동)","24355","스마일치과기공소","2016-09-12 13:26:53","I","2023-06-13 00:00:00","","264212.766575667","486272.817942834","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1",
"18","치과기공소","01_02_04_P","4181000","PHMB320134180029062300003","2013-11-07","","01","영업/정상","13","영업중","","","","","033-255-2804","","200-961","강원특별자치도 춘천시 후평2동 699번지","강원특별자치도 춘천시 백령로 217-20 (후평동)","24278","캡스톤치과기공소","2013-11-08 15:19:18","I","2023-06-13 00:00:00","","265896.334518854","486553.413232949","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"19","치과기공소","01_02_04_P","4181000","PHMB320224180029062300001","2010-07-23","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 후평동 905 춘천더샵아파트","강원특별자치도 춘천시 춘천로 316, 춘천더샵아파트  상가2동 2층 212호 (후평동)","24278","다솜치과기공소","2022-03-04 14:05:53","I","2023-06-13 00:00:00","","265738.645258009","486838.778707857","1","1","4","1","1","2","3","2","1","1","1","2","3","1","1",
"20","치과기공소","01_02_04_P","4191000","PHMB320184190023062300003","2018-08-20","","03","폐업","03","폐업","2022-04-17","","","","033-733-1238","","","강원특별자치도 원주시 일산동 358번지 47호 청마빌딩","강원특별자치도 원주시 무실로 148, 청마빌딩 2층 202호 (일산동)","26434","지(Zi)스마트 치과기공소","2022-04-15 16:45:22","I","2023-06-13 00:00:00","","283346.459870231","427136.455183855","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"21","치과기공소","01_02_04_P","4191000","PHMB319934190023062300001","1993-06-11","","03","폐업","03","폐업","2014-11-30","","","","033-765-4311","","220-070","강원특별자치도 원주시 인동 72번지 1통 1반","강원특별자치도 원주시 치악로 1833-1 (인동)","26429","청아치과기공소","2021-10-20 11:19:36","I","2023-06-13 00:00:00","","284544.765319674","427530.966576553","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"22","치과기공소","01_02_04_P","4191000","PHMB320044190023062300001","2004-12-14","","03","폐업","03","폐업","2022-05-11","","","","033-743-2804","","220-010","강원특별자치도 원주시 중앙동 39번지 4호 2층","강원특별자치도 원주시 중앙로 152, 2층 (중앙동)","26428","한솔치과기공소","2022-05-11 11:33:22","I","2023-06-13 00:00:00","","284023.302092696","428158.619092062","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"23","치과기공소","01_02_04_P","4191000","PHMB320054190023062300001","2005-02-24","","03","폐업","03","폐업","2009-08-21","","","","","","220-778","강원특별자치도 원주시 명륜동 847번지 5호 22통 10반 동보노빌리티 1아파트 105동 803호","","","하나치과기공소","2009-08-22 10:34:51","I","2023-06-13 00:00:00","","283098.428572328","425138.619272093","1","1","2","1","1","1","1","1","1","1","1","0","0","0","0",
"24","치과기공소","01_02_04_P","4191000","PHMB320064190023062300002","2006-07-28","","03","폐업","03","폐업","2021-05-13","","","","033-747-2879","","","","강원특별자치도 원주시 천사로 155 (일산동)","26417","예인치과기공소","2021-05-13 11:27:36","I","2023-06-13 00:00:00","","283348.931083681","427897.513308479","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"25","치과기공소","01_02_04_P","4191000","PHMB320084190023062300002","2008-04-07","","03","폐업","03","폐업","2014-06-09","","","","033-900-2804","","220-957","강원특별자치도 원주시 일산동 228번지 7호 2층","강원특별자치도 원주시 천사로 155, 2층 (일산동)","220-957","원(元)치과기공소","2014-06-09 16:10:48","I","2023-06-13 00:00:00","","283348.931083681","427897.513308479","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"26","치과기공소","01_02_04_P","4191000","PHMB320084190023062300003","2008-04-14","","03","폐업","03","폐업","2010-11-23","","","","033-766-2883","","220-901","강원특별자치도 원주시 원동 274번지 146호 4층","강원특별자치도 원주시 무실로 95 (원동,4층)","","세라믹치과기공소","2010-11-23 17:33:50","I","2023-06-13 00:00:00","","283620.115281342","427411.418468085","1","1","2","1","1","1","1","1","1","1","1","0","0","0","0",
"27","치과기공소","01_02_04_P","4191000","PHMB320094190023062300001","2009-04-02","","03","폐업","03","폐업","2018-03-31","","","","033-764-9939","","220-904","강원특별자치도 원주시 중앙동 260번지 2층","강원특별자치도 원주시 평원로 1-1 (중앙동, 2층)","26429","무학치과기공소","2021-10-28 10:41:46","I","2023-06-13 00:00:00","","284433.041449037","427681.400770983","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"28","치과기공소","01_02_04_P","4191000","PHMB320114190023062300002","2011-11-03","","03","폐업","03","폐업","2017-09-01","","","","033-748-2845","","220-903","강원특별자치도 원주시 중앙동 4번지 1호","강원특별자치도 원주시 중앙로 162 (중앙동)","26415","부부치과기공소","2017-09-01 17:52:57","I","2023-06-13 00:00:00","","283990.510881083","428215.686096347","1","1","3","1","1","1","1","1","1","1","1","0","0","0","0",
"29","치과기공소","01_02_04_P","4191000","PHMB320124190023062300002","2012-06-12","","03","폐업","03","폐업","2021-11-09","","","","070-8682-5976","","220-943","강원특별자치도 원주시 단구동 1458번지 23호","강원특별자치도 원주시 송림길 78-48 (단구동)","26449","이레치과기공소","2021-11-09 11:17:35","I","2023-06-13 00:00:00","","284519.682499335","425726.431142943","1","1","3","1","1","2","2","1","1","1","1","1","1","1","1",
"30","치과기공소","01_02_04_P","4191000","PHMB320164190023062300003","2016-07-21","","03","폐업","03","폐업","2017-02-13","","","","","","","","강원특별자치도 원주시 봉화로 16, 4층 (단계동)","26436","지율치과기공소","2017-02-13 10:20:03","I","2023-06-13 00:00:00","","282230.361245633","427508.525261734","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1",
"31","치과기공소","01_02_04_P","4191000","PHMB320164190023062300005","2016-11-07","","03","폐업","03","폐업","2025-01-02","","","","033-734-5266","","","강원특별자치도 원주시 일산동 347번지 37호","강원특별자치도 원주시 남산로 77, 2층 (일산동)","26434","미소치과기공소","2025-03-10 17:33:21","U","2025-03-12 02:40:00","","283479.220844719","427407.780185461","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"32","치과기공소","01_02_04_P","4191000","PHMB320184190023062300004","2018-09-19","","03","폐업","03","폐업","2021-04-01","","","","","","","강원특별자치도 원주시 무실동 1850번지 7호","강원특별자치도 원주시 능라동길 74, 5층 504호 (무실동)","26392","에브리테크(Every Tech)","2021-04-16 16:38:54","I","2023-06-13 00:00:00","","282342.944247272","426107.853201528","1","1","5","1","1","1","2","1","1","1","1","2","1","1","1",
"33","치과기공소","01_02_04_P","4191000","PHMB320004190023062300001","2000-09-01","","01","영업/정상","13","영업중","","","","","033-746-0136","","220-963","강원특별자치도 원주시 학성동 980번지 2호","강원특별자치도 원주시 원문로 66 (학성동)","26413","신치과기공소","2025-09-30 11:11:21","U","2025-10-02 02:40:00","","283116.379702977","428760.157428239","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"34","치과기공소","01_02_04_P","4191000","PHMB320014190023062300001","2001-08-16","","01","영업/정상","13","영업중","","","","","033-761-8664","","220-040","강원특별자치도 원주시 명륜동 39번지 33호","강원특별자치도 원주시 남부시장길 18 (명륜동)","26441","영서치과기공소","2011-12-21 15:33:58","I","2023-06-13 00:00:00","","284452.014775638","427199.191451989","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"35","치과기공소","01_02_04_P","4191000","PHMB320034190023062300001","2003-12-15","","01","영업/정상","13","영업중","","","","","033-904-2812","","","강원특별자치도 원주시 학성동 915-3","강원특별자치도 원주시 원일로 260, 가동 302호 (학성동)","26413","대성치과기공소","2023-01-25 16:26:21","I","2023-06-13 00:00:00","","283396.024910635","428955.831047246","1","1","5","1","1","1","2","1","2","1","1","1","2","1","1",
"36","치과기공소","01_02_04_P","4191000","PHMB320034190023062300002","2003-02-19","","01","영업/정상","13","영업중","","","","","033-763-6669","","220-944","강원특별자치도 원주시 단구동 625번지 1호","강원특별자치도 원주시 치악로 1640 (단구동)","","준치과기공소","2009-02-09 16:47:04","I","2023-06-13 00:00:00","","284991.37858629","425681.717017845","1","1","2","1","1","1","1","1","1","1","1","0","0","0","0",
"37","치과기공소","01_02_04_P","4191000","PHMB320054190023062300002","2005-03-16","","01","영업/정상","13","영업중","","","","","033-748-1804","","220-020","강원특별자치도 원주시 평원동 190번지 16호 2층","강원특별자치도 원주시 평원로 72, 2층 (평원동)","26430","이사랑치과기공소","2011-12-21 15:12:34","I","2023-06-13 00:00:00","","284145.239936077","428159.623903133","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"38","치과기공소","01_02_04_P","4191000","PHMB320064190023062300001","2006-09-11","","01","영업/정상","13","영업중","","","","","033-745-2879","","","","강원특별자치도 원주시 중앙로 105, 4층 (중앙동, PR빌딩)","26428","아카데미치과기공소","2016-01-12 11:58:09","I","2023-06-13 00:00:00","","284158.765014375","427913.396795949","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"39","치과기공소","01_02_04_P","4191000","PHMB320074190023062300001","2007-06-08","","01","영업/정상","13","영업중","","","","","033-765-2879","","220-940","강원특별자치도 원주시 단구동 1515번지 1호 6층","강원특별자치도 원주시 남원로534번길 14, 6층 (단구동)","26484","수치과기공소","2016-01-15 10:40:25","I","2023-06-13 00:00:00","","283958.08003447","425838.465197836","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"40","치과기공소","01_02_04_P","4191000","PHMB320084190023062300001","2008-02-29","","01","영업/정상","13","영업중","","","","","033-735-2806","","220-939","강원특별자치도 원주시 단계동 898번지 5호 1층","강원특별자치도 원주시 이화4길 75 (단계동, 1층)","26474","믿음치과기공소","2011-12-21 14:47:11","I","2023-06-13 00:00:00","","282679.980204318","427183.740728365","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"41","치과기공소","01_02_04_P","4191000","PHMB320104190023062300001","2010-04-27","","01","영업/정상","13","영업중","","","","","033-766-7541","","220-944","강원특별자치도 원주시 단구동 1512번지 2호 광장타운빌딩 203호","강원특별자치도 원주시 서원대로 408 (단구동, 광장타운빌딩 203호)","26484","고은기공소","2011-12-21 14:27:25","I","2023-06-13 00:00:00","","284124.423574889","425753.203190806","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"42","치과기공소","01_02_04_P","4191000","PHMB320104190023062300002","2010-06-04","","01","영업/정상","13","영업중","","","","","033-746-2272","","220-963","강원특별자치도 원주시 학성동 953번지 2호","강원특별자치도 원주시 원일로 285 (학성동)","26413","프라임기공소","2011-12-21 14:20:19","I","2023-06-13 00:00:00","","283279.084956741","429048.098092446","1","1","3","1","1","1","2","1","1","1","1","1","1","1","1",
"43","치과기공소","01_02_04_P","4191000","PHMB320114190023062300001","2011-04-08","","01","영업/정상","13","영업중","","","","","070-8791-2879","","220-935","강원특별자치도 원주시 단계동 111번지 63호 강남빌딩 401호","강원특별자치도 원주시 원문로 144 (단계동)","26408","아름다운동행치과기공소","2011-12-21 14:11:47","I","2023-06-13 00:00:00","","282577.721053738","428607.695741388","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"44","치과기공소","01_02_04_P","4191000","PHMB320124190023062300001","2012-02-01","","01","영업/정상","13","영업중","","","","","033-901-8228","","","강원특별자치도 원주시 단계동 858-1","강원특별자치도 원주시 천사로 32, 4층 (단계동)","26436","아름다운치과기공소","2023-05-09 16:02:18","I","2023-06-13 00:00:00","","282273.770466645","427705.170886634","1","1","5","1","1","2","3","1","1","1","1","2","1","1","1",
"45","치과기공소","01_02_04_P","4191000","PHMB320124190023062300003","2012-06-20","","01","영업/정상","13","영업중","","","","","033-745-2802","","","강원특별자치도 원주시 단계동 868-3","강원특별자치도 원주시 장미공원길 71-12, 4층 (단계동)","26436","심미치과기공소","2020-07-28 09:54:43","I","2023-06-13 00:00:00","","282345.797596095","427460.539952419","1","1","12","1","3","4","4","1","4","3","1","1","5","2","2",
"46","치과기공소","01_02_04_P","4191000","PHMB320124190023062300004","2012-06-26","","01","영업/정상","13","영업중","","","","","033-900-7760","","","강원특별자치도 원주시 일산동 331-6","강원특별자치도 원주시 남산로 105, 201호 (일산동)","26434","플러스치과기공소","2024-03-27 10:31:28","U","2024-03-29 02:40:00","","283285.828019386","427565.26457392","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"47","치과기공소","01_02_04_P","4191000","PHMB320134190023062300001","2013-11-28","","01","영업/정상","13","영업중","","","","","033-733-2804","","220-739","강원특별자치도 원주시 관설동 1713번지 2호 청솔8차아파트 상가동 203호","강원특별자치도 원주시 나비허리길 188, 상가동 203호 (관설동, 청솔8차아파트)","26473","베이직치과기공소","2013-11-29 13:12:48","I","2023-06-13 00:00:00","","285585.793888962","424297.389932818","1","1","3","1","1","1","1","1","1","1","1","1","2","1","1",
"48","치과기공소","01_02_04_P","4191000","PHMB320154190023062300001","2015-03-09","","01","영업/정상","13","영업중","","","","","033-766-2804","","","","강원특별자치도 원주시 서원대로 391, 201호 (개운동, 한신1차아파트 상가동)","26448","더디자인치과기공소","2015-04-03 14:49:44","I","2023-06-13 00:00:00","","284146.815688508","425993.009304842","1","1","3","1","1","1","1","1","1","1","1","1","2","1","1",
"49","치과기공소","01_02_04_P","4191000","PHMB320154190023062300002","2015-03-11","","01","영업/정상","13","영업중","","","","","033-735-2894","","","강원특별자치도 원주시 일산동 282번지 31호","강원특별자치도 원주시 남산로 116, 1층 (일산동)","26425","최강치과기공소","2017-12-13 10:55:38","I","2023-06-13 00:00:00","","283305.858341967","427657.719489927","1","1","3","1","1","2","1","1","1","1","1","1","1","1","1",
"50","치과기공소","01_02_04_P","4191000","PHMB320154190023062300003","2015-06-18","","01","영업/정상","13","영업중","","","","","033-734-1238","","","강원특별자치도 원주시 일산동 228번지 7호","강원특별자치도 원주시 천사로 155, 2층 202호 (일산동)","26417","Plus 치과기공소","2019-09-23 17:40:39","I","2023-06-13 00:00:00","","283348.931083681","427897.513308479","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"51","치과기공소","01_02_04_P","4191000","PHMB320164190023062300001","2016-01-12","","01","영업/정상","13","영업중","","","","","033-765-2804","","","","강원특별자치도 원주시 서원대로 383 (개운동)","26381","이룸 치과기공소","2016-01-13 09:08:48","I","2023-06-13 00:00:00","","283988.068430024","425979.3239463","1","1","3","1","1","1","2","1","1","1","1","1","1","1","1",
"52","치과기공소","01_02_04_P","4191000","PHMB320164190023062300002","2016-04-11","","01","영업/정상","13","영업중","","","","","033-733-2874","","","","강원특별자치도 원주시 북원로2246번길 49, 2층 (단계동)","26424","다담치과기공소","2016-06-24 16:10:55","I","2023-06-13 00:00:00","","282960.386279834","427355.705906296","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"53","치과기공소","01_02_04_P","4191000","PHMB320164190023062300004","2016-10-17","","01","영업/정상","13","영업중","","","","","070-4383-2804","","","","강원특별자치도 원주시 우산로 63 (우산동)","26340","좋은날치과기공소","2016-10-18 10:22:02","I","2023-06-13 00:00:00","","282892.422453281","430105.883725526","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"54","치과기공소","01_02_04_P","4191000","PHMB320174190023062300001","2017-03-14","","01","영업/정상","13","영업중","","","","","070-4109-2804","","","","강원특별자치도 원주시 모래내길 11-4 (단계동)","26411","투데이치과기공소","2017-03-24 13:26:28","I","2023-06-13 00:00:00","","282677.903748618","428411.49644766","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"55","치과기공소","01_02_04_P","4191000","PHMB320174190023062300002","2015-06-05","","01","영업/정상","13","영업중","","","","","033-731-7502","","","","강원특별자치도 원주시 서원대로 188 (단계동)","26382","늘솜 치과기공소","2017-08-14 17:49:16","I","2023-06-13 00:00:00","","282529.751898657","427262.864678469","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1",
"56","치과기공소","01_02_04_P","4191000","PHMB320174190023062300003","2017-10-18","","01","영업/정상","13","영업중","","","","","033-766-5630","","","강원특별자치도 원주시 개운동 413-5","강원특별자치도 원주시 치악로 1736, 2층 (개운동)","26444","구강치과기공소","2022-08-17 15:43:29","I","2023-06-13 00:00:00","","284693.84640307","426586.32285929","1","2","3","0","1","4","0","1","2","2","1","2","2","1","0",
"57","치과기공소","01_02_04_P","4191000","PHMB320184190023062300001","2018-01-12","","01","영업/정상","13","영업중","","","","","033-762-2804","","","강원특별자치도 원주시 일산동 326번지 4호","강원특별자치도 원주시 무실로 107, 3층 (일산동)","26433","가온치과기공소","2019-09-26 09:43:20","I","2023-06-13 00:00:00","","283562.978191921","427338.30841608","1","1","3","0","1","2","2","1","1","1","1","1","2","1","1",
"58","치과기공소","01_02_04_P","4191000","PHMB320184190023062300005","2018-12-31","","01","영업/정상","13","영업중","","","","","033-747-2804","","","강원특별자치도 원주시 무실동 1880번지 5호","강원특별자치도 원주시 솔우물2길 25-1, 3층 (무실동)","26394","엔엔티덴탈랩(N&T Dental Lab)","2019-09-26 09:37:58","I","2023-06-13 00:00:00","","282418.471058042","425343.065926658","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"59","치과기공소","01_02_04_P","4191000","PHMB320194190023062300001","2019-03-06","","01","영업/정상","13","영업중","","","","","033-764-2879","","","강원특별자치도 원주시 원동 274번지 146호","강원특별자치도 원주시 무실로 95, 3층 (원동)","26433","가온플러스치과기공소","2019-09-26 09:35:55","I","2023-06-13 00:00:00","","283620.115281342","427411.418468085","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"60","치과기공소","01_02_04_P","4191000","PHMB320194190023062300002","2019-07-04","","01","영업/정상","13","영업중","","","","","033-762-2888","","","","강원특별자치도 원주시 무실로43번길 1, 1층 (원동)","26432","크라운치과기공소","2019-07-04 13:30:07","I","2023-06-13 00:00:00","","283954.705062976","427596.257774281","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"61","치과기공소","01_02_04_P","4191000","PHMB320194190023062300003","2019-12-17","","01","영업/정상","13","영업중","","","","","033-761-2883","","","강원특별자치도 원주시 단구동 1511번지 4호 대신프라자","강원특별자치도 원주시 서원대로 402, 대신프라자 404호 (단구동)","26484","당신을 GRIN 기공소","2019-12-19 09:44:00","I","2023-06-13 00:00:00","","284060.844117657","425805.976224163","1","1","3","0","1","1","2","1","1","1","1","1","1","1","1",
"62","치과기공소","01_02_04_P","4191000","PHMB320204190023062300001","2020-09-23","","01","영업/정상","13","영업중","","","","","033-742-2804","","","강원특별자치도 원주시 단계동 512-1","강원특별자치도 원주시 원문로 174-1, 3층 (단계동)","26408","Z-max 치과기공소","2020-09-23 21:36:41","I","2023-06-13 00:00:00","","282358.715885513","428668.449047108","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"63","치과기공소","01_02_04_P","4191000","PHMB320204190023062300002","2020-10-14","","01","영업/정상","13","영업중","","","","","033-812-2882","","","강원특별자치도 원주시 무실동 1850-7","강원특별자치도 원주시 능라동길 74, 5층 504호 (무실동)","26392","매일기공소","2021-04-08 15:26:42","I","2023-06-13 00:00:00","","282342.944247272","426107.853201528","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1",
"64","치과기공소","01_02_04_P","4191000","PHMB320214190023062300001","2021-04-19","","01","영업/정상","13","영업중","","","","","033-900-0028","","","강원특별자치도 원주시 원동 278-26","강원특별자치도 원주시 남산로 61, 2층 (원동)","26438","라임치과기공소","2021-04-19 17:59:46","I","2023-06-13 00:00:00","","283590.312794048","427278.311321748","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
