"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","보유자격증명","국비지원여부","담당직원내용","삭제일자",
"22","요양보호사교육기관","11_49_01_P","6530000","202465300000040007-20241212","2024-12-12","","01","영업/정상","0","운영","","","","","0334614610","","","강원특별자치도 인제군 인제읍 상동리 374-3","강원특별자치도 인제군 인제읍 인제로 213, 3층","","백담 요양보호사교육원","2025-07-29 09:09:24","U","2025-07-31 02:40:00","","","","","","","",
"23","요양보호사교육기관","11_49_01_P","6530000","201865300000040005-20181114","2018-11-14","","01","영업/정상","0","운영","","","","","0334520125","","","강원특별자치도 철원군 갈말읍 신철원리 682-15","강원특별자치도 철원군 갈말읍 삼부연로 21","51780","신철원요양보호사교육원","2018-11-14 15:17:42","I","2025-03-12 00:10:35","","227132.583939774","515906.924438717","","","","",
"24","요양보호사교육기관","11_49_01_P","6530000","201165300000040028-20110215","2011-02-15","","01","영업/정상","0","운영","","","","","0335350053","","","강원특별자치도 동해시 천곡동   801-2","강원특별자치도 동해시 한섬로 61-13 (천곡동)","","동해요양보호사교육원","2022-03-15 16:43:26","I","2025-03-12 00:10:35","","386677.971190158","448506.534898215","","","","",
"25","요양보호사교육기관","11_49_01_P","6530000","201265300000040050-20120109","2012-01-09","","01","영업/정상","0","운영","","","","","0335720242","","","강원특별자치도 삼척시 남양동 335번지 7호  301호","강원특별자치도 삼척시 남양안길 21-6, 3층 301호 (남양동)","51230","삼척요양보호사교육원","2014-02-17 14:26:27","I","2025-03-12 00:10:35","","392025.748804947","440239.130692304","","","","",
"26","요양보호사교육기관","11_49_01_P","6530000","202065300000040001-20200324","2020-03-24","","01","영업/정상","0","운영","","","","","0333432121","","","강원특별자치도 횡성군 횡성읍 읍하리 556-5","강원특별자치도 횡성군 횡성읍 중앙로 12, 2층","","고려요양보호사교육원","2022-02-25 16:15:37","I","2025-03-12 00:10:35","","","","","","","",
"27","요양보호사교육기관","11_49_01_P","6530000","202165300000040001-20210120","2021-01-20","","01","영업/정상","0","운영","","","","","","","","강원특별자치도 원주시 태장동 1373-4","강원특별자치도 원주시 흥양로51번길 9 (태장동)","51130","고려요양보호사교육원 원주점","2021-01-20 14:26:54","I","2025-03-12 00:10:35","","284315.850635371","431816.102614725","","","","",
"28","요양보호사교육기관","11_49_01_P","6530000","201465300000040004-20140819","2014-08-19","","01","영업/정상","0","운영","","","","","0339006090","","","강원특별자치도 원주시 명륜동 26번지 남부시장 67~71호","강원특별자치도 원주시 치악로 1803, 남부시장 2층 67~71호(명륜동)","51130","패밀리 요양보호사교육원","2022-05-02 10:50:02","I","2025-03-12 00:10:35","","284505.128476342","427202.926014401","","","","",
"29","요양보호사교육기관","11_49_01_P","6530000","202165300000040003-20210303","2021-03-03","","01","영업/정상","0","운영","","","","","","","","강원특별자치도 원주시 반곡동 1476번지","강원특별자치도 원주시 반곡길 62 (반곡동)","51130","원주중앙요양보호사교육원","2021-03-03 10:29:58","I","2025-03-12 00:10:35","","285517.480987238","426581.555026328","","","","",
"30","요양보호사교육기관","11_49_01_P","6530000","202165300000040004-20210421","2021-04-21","","01","영업/정상","0","운영","","","","","0335622446","","","강원특별자치도 정선군 정선읍 애산리 432-202 정선군업무지원센터 1호","강원특별자치도 정선군 정선읍 녹송4길 71, 정선군업무지원센터 1동","","정선요양보호사교육원","2025-03-26 15:43:00","U","2025-03-28 02:40:00","","","","","","","",
"31","요양보호사교육기관","11_49_01_P","6530000","202265300000040003-20220525","2022-05-25","","01","영업/정상","0","운영","","","","","","","","강원특별자치도 평창군 진부면 하진부리 102-2","강원특별자치도 평창군 진부면 진부중앙로 68, 4층","","MBC아카데미 요양보호사교육원 진부","2022-05-25 11:12:24","I","2025-03-12 00:10:35","","","","","","","",
"32","요양보호사교육기관","11_49_01_P","6530000","201165300000040037-20110214","2011-02-14","","01","영업/정상","0","운영","","","","","0337452603","","","강원특별자치도 원주시 단계동   868번지 3호","강원특별자치도 원주시 장미공원길 71-12 (단계동)","","원주간호학원부설 요양보호사교육원","2023-03-09 10:07:43","I","2025-03-12 00:10:35","","282345.797596095","427460.539952419","","","","",
"33","요양보호사교육기관","11_49_01_P","6530000","201165300000040018-20110215","2011-02-15","","01","영업/정상","0","운영","","","","","0332418480","","","강원특별자치도 춘천시 효자2동   655번지 10호","강원특별자치도 춘천시 춘천로 169, 7층 (운교동)","51110","춘천메디칼요양보호사교육원","2017-01-26 15:02:34","I","2025-03-12 00:10:35","","264548.94292891","486220.65930174","","","","",
"34","요양보호사교육기관","11_49_01_P","6530000","202165300000040002-20210204","2021-02-04","","01","영업/정상","0","운영","","","","","","","","강원특별자치도 원주시 무실동 1855-2","강원특별자치도 원주시 능라동길 48-1 (무실동)","","무실요양보호사교육원","2023-11-24 09:51:58","U","2025-03-12 02:40:00","","","","","","","",
"35","요양보호사교육기관","11_49_01_P","6530000","201365300000040003-20130523","2013-05-23","","01","영업/정상","0","운영","","","","","0336511800","","","강원특별자치도 강릉시 포남동 1135번지 7호","강원특별자치도 강릉시 경강로 2203 (포남동)","","강릉직업요양보호사교육원","2025-02-06 16:23:12","U","2025-03-12 02:40:00","","367792.075576691","474944.790148688","","","","",
"36","요양보호사교육기관","11_49_01_P","6530000","201165300000040006-20110214","2011-02-14","","03","폐업","1","폐지","2024-03-14","","","","0333713000","","","강원특별자치도 영월군 영월읍 하송리  57번지 세경대학","강원특별자치도 영월군 영월읍 하송로 197","","세경대학교 부설 요양보호사교육원","2023-08-30 18:10:04","U","2025-03-12 02:40:00","","","","","","","",
"37","요양보호사교육기관","11_49_01_P","6530000","202365300000040002-20230830","2023-08-30","","03","폐업","1","폐지","2025-02-07","","","","0332445960","","","강원특별자치도 춘천시 효자동 622-4","강원특별자치도 춘천시 백령로 153, 3층 (효자동)","","명성요양보호사교육원","2024-02-22 09:22:10","U","2025-03-12 02:40:00","","","","","","","",
"38","요양보호사교육기관","11_49_01_P","6530000","201965300000040003-20191010","2019-10-10","","03","폐업","1","폐지","2023-08-16","","","","0336418873","","","강원특별자치도 강릉시 옥천동 156-1","강원특별자치도 강릉시 옥가로 5, 동형빌딩 4층 (옥천동)","","강릉메디컬간호학원 부설 요양보호사교육원","2023-08-16 16:39:43","U","2025-03-12 02:40:00","","","","","","","",
"39","요양보호사교육기관","11_49_01_P","6530000","202265300000040002-20220210","2022-02-10","","03","폐업","1","폐지","2023-07-28","","","","0332445960","","","강원특별자치도 춘천시 우두동 1053-7","강원특별자치도 춘천시 신흥길5번길 4, 2층(우두동)","","명성그룹요양보호사교육원","2023-08-01 08:56:48","U","2025-03-12 02:40:00","","","","","","","",
"40","요양보호사교육기관","11_49_01_P","6530000","201865300000040001-20180123","2018-01-23","","03","폐업","1","폐지","2023-07-31","","","","0335327805","","","강원특별자치도 동해시 천곡동 1078-4 정현빌딩 403호","강원특별자치도 동해시 천곡로 56, 정현빌딩 4층 403호 (천곡동)","","동해플러스 요양보호사교육원","2023-08-02 18:39:58","U","2025-03-12 02:40:00","","","","","","","",
"41","요양보호사교육기관","11_49_01_P","6530000","201465300000040005-20141201","2014-12-01","","03","폐업","1","폐지","2022-04-13","","","","0332644067","","","강원특별자치도 춘천시 칠전동 588-7","강원특별자치도 춘천시 칠전서길 34 (칠전동)","","춘천효도요양보호사교육원","2023-08-29 07:17:23","U","2025-03-12 02:40:00","","","","","","","",
"42","요양보호사교육기관","11_49_01_P","6530000","202465300000040003-20240612","2024-06-12","","03","폐업","1","폐지","2024-06-14","","","","","","","강원특별자치도 영월군 영월읍 하송리 산 55번지 세경대학","강원특별자치도 영월군 영월읍 하송로 197, 세경대학 3층","51750","세경요양보호사교육원","2024-06-12 13:33:07","U","2025-03-12 02:40:00","","328995.295721148","409063.213320207","","","","",
"43","요양보호사교육기관","11_49_01_P","6530000","202465300000040002-20240415","2024-04-15","","03","폐업","1","폐지","2025-08-18","","","","0332445960","","","강원특별자치도 춘천시 우두동 1053-7","강원특별자치도 춘천시 신흥길5번길 4 (우두동)","","주식회사 명성그룹요양보호사교육원","2025-08-21 22:00:01","U","2025-08-23 02:40:00","","","","","","","",
"44","요양보호사교육기관","11_49_01_P","6530000","202565300000040002-20250107","2025-01-07","","03","폐업","1","폐지","2025-08-11","","","","0335419907","","","강원특별자치도 삼척시 도계읍 도계리 407-10","강원특별자치도 삼척시 도계읍 도계로 264-27","51230","강원글로벌요양보호사교육원","2025-08-11 13:10:53","U","2025-08-13 02:40:00","","381473.436666165","416560.175492563","","","","",
"45","요양보호사교육기관","11_49_01_P","6530000","201165300000040038-20110215","2011-02-15","","03","폐업","1","폐지","2011-11-15","","","","0337476788","","","강원특별자치도 원주시 관설동   1689-15","강원특별자치도 원주시 라옹정길 37-12 (관설동)","51130","원주요양보호사교육원","2011-10-30 16:51:05","I","2025-03-12 00:10:35","","285252.74","424565.525","","","","",
"46","요양보호사교육기관","11_49_01_P","6530000","201165300000040013-20110214","2011-02-14","","03","폐업","1","폐지","2012-01-09","","","","0335720242","","","강원특별자치도 삼척시 남양동   7번지 88호","강원특별자치도 삼척시 척주로 59 (남양동)","51230","삼척요양보호사교육원","2011-10-30 17:25:52","I","2025-03-12 00:10:35","","391566.727295979","440202.410286744","","","","",
"47","요양보호사교육기관","11_49_01_P","6530000","201165300000040012-20110215","2011-02-15","","03","폐업","1","폐지","2017-12-11","","","","0336390186","","","강원특별자치도 고성군 토성면 봉포리 산 91번지 1호 경동대학교","강원특별자치도 고성군 토성면 봉포4길 46","","경동대학교부설요양보호사교육원","2017-12-12 11:16:07","I","2025-03-12 00:10:35","","","","","","","",
"48","요양보호사교육기관","11_49_01_P","6530000","201165300000040005-20110214","2011-02-14","","03","폐업","1","폐지","2022-09-23","","","","0333401042","","","강원특별자치도 횡성군 횡성읍 남산리 송호대학  66번지 송호관 3층 1305호","강원특별자치도 횡성군 횡성읍 남산로 210 (송호관 3층 1305호)","","송호대학부설요양보호사교육원","2022-09-23 17:54:28","I","2025-03-12 00:10:35","","288599.447606907","441540.943912191","","","","",
"49","요양보호사교육기관","11_49_01_P","6530000","201165300000040008-20110214","2011-02-14","","03","폐업","1","폐지","2014-11-12","","","","0335347744","","","강원특별자치도 동해시 천곡동   1029번지 7호","강원특별자치도 동해시 한섬로 92 (천곡동)","51170","이레요양보호사교육원","2013-10-21 14:54:32","I","2025-03-12 00:10:35","","386811.55768729","448559.898216445","","","","",
"50","요양보호사교육기관","11_49_01_P","6530000","201565300000040001-20150406","2015-04-06","","03","폐업","1","폐지","2017-01-01","","","","","","","","강원특별자치도 강릉시 경강로 2157 (홍제동)","51150","강릉간호학원 부설 요양보호사교육원","2015-04-06 10:47:01","I","2025-03-12 00:10:35","","367471.779111385","474631.614462624","","","","",
"51","요양보호사교육기관","11_49_01_P","6530000","201665300000040001-20160125","2016-01-25","","03","폐업","1","폐지","2022-07-18","","","","0334526332","","","강원특별자치도 철원군 철원읍 화지리 69-5 산호마트","강원특별자치도 철원군 철원읍 금학로291번길 35, 산호마트","","돌보미요양보호사 교육원","2022-09-23 17:56:06","I","2025-03-12 00:10:35","","","","","","","",
"52","요양보호사교육기관","11_49_01_P","6530000","201665300000040002-20160128","2016-01-28","","03","폐업","1","폐지","2017-10-20","","","","0332445960","","","강원특별자치도 춘천시 우두동 1053번지 7호","강원특별자치도 춘천시 신흥길5번길 4 (우두동)","","춘천명성요양보호사교육원","2017-03-31 13:20:08","I","2025-03-12 00:10:35","","263932.280985779","488828.511292048","","","","",
"53","요양보호사교육기관","11_49_01_P","6530000","201865300000040002-20180425","2018-04-25","","03","폐업","1","폐지","2019-12-06","","","","0332427226","","","강원특별자치도 춘천시 퇴계동 392-63","강원특별자치도 춘천시 퇴계로 92, 3층 (퇴계동)","","그린요양보호사교육원","2019-05-21 17:14:32","I","2025-03-12 00:10:35","","","","","","","",
"54","요양보호사교육기관","11_49_01_P","6530000","201865300000040003-20180725","2018-07-25","","03","폐업","1","폐지","2019-12-06","","","","0332445960","","","강원특별자치도 춘천시 우두동 1053-7","강원특별자치도 춘천시 신흥길5번길 4, 3층 (우두동)","","(주)명성그룹요양보호사교육원","2019-12-20 14:35:41","I","2025-03-12 00:10:35","","","","","","","",
"55","요양보호사교육기관","11_49_01_P","6530000","201865300000040004-20181030","2018-10-30","","03","폐업","1","폐지","2022-11-30","","","","0336389987","","","강원특별자치도 속초시 조양동 1521-1","강원특별자치도 속초시 동해대로 4063 (조양동)","","다온 간호학원 부설 요양보호사 교육원","2022-12-01 15:16:15","I","2025-03-12 00:10:35","","","","","","","",
"56","요양보호사교육기관","11_49_01_P","6530000","201965300000040001-20190123","2019-01-23","","03","폐업","1","폐지","2022-04-19","","","","0336426423","","","강원특별자치도 강릉시 옥천동 267번지","강원특별자치도 강릉시 경강로 2165 (옥천동)","","강릉간호직업전문학원 부설 요양보호사교육원","2022-04-19 21:02:46","I","2025-03-12 00:10:35","","","","","","","",
"57","요양보호사교육기관","11_49_01_P","6530000","201965300000040002-20190718","2019-07-18","","03","폐업","1","폐지","2023-03-17","","","","0332445960","","","강원특별자치도 춘천시 효자동 622-4","강원특별자치도 춘천시 백령로 153, 3층 (효자동)","","명성협동조합요양보호사교육원","2023-03-28 17:33:34","I","2025-03-12 00:10:35","","","","","","","",
"58","요양보호사교육기관","11_49_01_P","6530000","201165300000040016-20110215","2011-02-15","","03","폐업","1","폐지","2013-01-17","","","","0337478734","","","강원특별자치도 원주시 학성동   96번지 4호 우용빌딩 6층","강원특별자치도 원주시 천사로 264 (학성동)","51130","부승니드유원주요양보호사교육원","2011-10-30 17:20:54","I","2025-03-12 00:10:35","","284314.013671104","428384.47854826","","","","",
"59","요양보호사교육기관","11_49_01_P","6530000","201165300000040039-20110215","2011-02-15","","03","폐업","1","폐지","2022-07-31","","","","0336325655","","","강원특별자치도 속초시 교동   665번지 4호","강원특별자치도 속초시 중앙로 25 (교동)","","대한요양보호사교육원","2022-07-26 20:23:05","I","2025-03-12 00:10:35","","","","","","","",
"60","요양보호사교육기관","11_49_01_P","6530000","201165300000040002-20110520","2011-05-20","","03","폐업","1","폐지","2012-10-15","","","","0332412660","","","강원특별자치도 춘천시 효자동   682번지 8호 3층","강원특별자치도 춘천시 춘천로67번길 3 (효자동,3층)","51110","강원요양보호사교육원","2013-07-25 15:30:17","I","2025-03-12 00:10:35","","263676.386355856","485578.225259676","","","","",
"61","요양보호사교육기관","11_49_01_P","6530000","201265300000040051-20120229","2012-02-29","","03","폐업","1","폐지","2013-07-31","","","","0337618833","","","강원특별자치도 원주시 단구동 392번지 서원대로","","","사랑평생교육원부설 요양보호사교육원","2013-07-23 16:47:49","I","2025-03-12 00:10:35","","","","","","","",
"62","요양보호사교육기관","11_49_01_P","6530000","201265300000040052-20121015","2012-10-15","","03","폐업","1","폐지","2025-07-21","","","","0332412660","","","강원특별자치도 춘천시 효자동   684번지 7호 3층","강원특별자치도 춘천시 춘천로 70, 3층 (효자동)","51110","강원요양보호사교육원","2025-07-28 15:32:14","U","2025-07-30 02:40:00","","263731.055403713","485564.33137647","","","","",
"63","요양보호사교육기관","11_49_01_P","6530000","201265300000040053-20121228","2012-12-28","","03","폐업","1","폐지","2022-01-19","","","","0334403618","","","강원특별자치도 화천군 간동면   757번지","강원특별자치도 화천군 간동면 간척월명로 88","","제2하나원요양보호사교육원","2022-04-11 17:14:56","I","2025-03-12 00:10:35","","271683.553735843","504190.144458682","","","","",
"64","요양보호사교육기관","11_49_01_P","6530000","201365300000040001-20130102","2013-01-02","","03","폐업","1","폐지","2015-11-06","","","","07082362630","","","강원특별자치도 춘천시 우두동 1052번지 34호","강원특별자치도 춘천시 영서로 2793 (우두동)","51110","(주)명성그룹요양보호사교육원","2015-03-16 15:58:58","I","2025-03-12 00:10:35","","263976.310316081","488824.324967881","","","","",
"65","요양보호사교육기관","11_49_01_P","6530000","201365300000040002-20130314","2013-03-14","","03","폐업","1","폐지","2014-05-27","","","","0335634814","","","강원특별자치도 정선군 정선읍 봉양리 385번지 향교유림회관 지하","강원특별자치도 정선군 정선읍 비봉로 지하 65-1","51770","수호천사 요양보호사교육원","2013-11-21 14:09:06","I","2025-03-12 00:10:35","","347451.294157799","432416.376007622","","","","",
"66","요양보호사교육기관","11_49_01_P","6530000","201465300000040001-20140527","2014-05-27","","03","폐업","1","폐지","2024-12-23","","","","0333320025","","","강원특별자치도 평창군 평창읍 하리 58번지 50호","강원특별자치도 평창군 평창읍 문화길 66-3","","수호천사 요양보호사교육원","2025-03-19 10:28:01","U","2025-03-21 02:40:00","","323388.231724254","430323.60698934","","","","",
"67","요양보호사교육기관","11_49_01_P","6530000","201465300000040003-20140725","2014-07-25","","03","폐업","1","폐지","2025-10-31","","","","","","","강원특별자치도 원주시 일산동 51-14","강원특별자치도 원주시 원일로 121, 3층 (일산동)","","원주간호학원하이엔(주)분원","2025-10-29 16:09:50","U","2025-10-31 02:40:00","","","","","","","",
"68","요양보호사교육기관","11_49_01_P","6530000","202165300000040005-20210625","2021-06-25","","03","폐업","1","폐지","2022-09-15","","","","","","","강원특별자치도 홍천군 홍천읍 갈마곡리 160-6","강원특별자치도 홍천군 홍천읍 공작산로 42","","한림요양보호사교육원","2022-09-12 12:52:57","I","2025-03-12 00:10:35","","","","","","","",
"69","요양보호사교육기관","11_49_01_P","6530000","202165300000040006-20210625","2021-06-25","","03","폐업","1","폐지","2025-07-02","","","","","","","강원특별자치도 홍천군 홍천읍 신장대리 49-3 미진타워 2호","강원특별자치도 홍천군 홍천읍 홍천로 372, 미진타워 4층 2호","","고려요양보호사교육원 홍천점","2025-07-02 17:37:00","U","2025-07-04 02:40:00","","","","","","","",
"70","요양보호사교육기관","11_49_01_P","6530000","202165300000040008-20211109","2021-11-09","","03","폐업","1","폐지","2021-11-09","","","","0334412141","","","강원특별자치도 화천군 화천읍 하리 52-8 일흥빌딩","강원특별자치도 화천군 화천읍 중앙로4길 21-5, 일흥빌딩 5층","","동행요양보호사교육원","2022-08-03 16:17:49","I","2025-03-12 00:10:35","","","","","","","",
"71","요양보호사교육기관","11_49_01_P","6530000","201165300000040044-20110215","2011-02-15","","03","폐업","1","폐지","2013-03-07","","","","07088370949","","","강원특별자치도 춘천시 칠전동   594번지 6호","강원특별자치도 춘천시 칠전서1길 8 (칠전동)","51110","연구요양보호사교육원","2011-10-30 14:41:40","I","2025-03-12 00:10:35","","262767.41","482283.375","","","","",
"72","요양보호사교육기관","11_49_01_P","6530000","201165300000040022-20110214","2011-02-14","","03","폐업","1","폐지","2012-06-29","","","","0332483093","","","강원특별자치도 춘천시 옥천동  1번지 한림대학교","강원특별자치도 춘천시 봉의산길22번길 29 (옥천동,한림대학교)","51110","한림대학교고령사회종합연구원부설요양보호사교육원","2012-08-28 10:10:44","I","2025-03-12 00:10:35","","264548.443504906","487261.17884438","","","","",
"73","요양보호사교육기관","11_49_01_P","6530000","201165300000040035-20110214","2011-02-14","","03","폐업","1","폐지","2012-01-12","","","","0334343255","","","강원특별자치도 홍천군 홍천읍 연봉1리  453번지 8호","강원특별자치도 홍천군 홍천읍 남산강변로5길 6","51720","천사요양보호사교육원","2011-10-30 17:01:55","I","2025-03-12 00:10:35","","277729.307322767","465156.316985736","","","","",
