"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"11","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002017000007","2017-07-27","","03","폐업","03","폐업","","","","","","","","강원특별자치도 춘천시 남산면 백양리 산 1-2","강원특별자치도 춘천시 남산면 북한강변길 688 (엘리시안강촌)","24464","스마트 가이","2018-01-02 17:59:32","I","2023-06-13 00:00:00","","252001.082871926","480160.576219091","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"12","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002017000009","2017-10-13","","03","폐업","03","폐업","2019-07-22","","","","","","","강원특별자치도 춘천시 온의동 6-25","강원특별자치도 춘천시 방송길 84 (온의동, 롯데마트)","24364","리틀팝","2019-07-22 10:17:13","I","2023-06-13 00:00:00","","263109.175778889","485355.40305733","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"13","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002017000010","2017-12-04","","03","폐업","03","폐업","2018-12-18","","","","","","","강원특별자치도 춘천시 퇴계동 1017","강원특별자치도 춘천시 지석로 80 (퇴계동, 춘천시너스카펠라복합빌딩)","24420","VR레이싱파크","2018-12-19 17:45:29","I","2023-06-13 00:00:00","","265386.634330563","483368.251535269","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"14","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002018000001","2018-04-20","","03","폐업","03","폐업","2021-12-06","","","","033-242-1042","","","강원특별자치도 춘천시 동면 월곡리 264","강원특별자치도 춘천시 동면 금옥길 239","24211","대일생활건강 주식회사","2021-12-08 17:01:20","I","2023-06-13 00:00:00","","270791.93911628","491312.621219587","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"15","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002018000002","2018-11-23","","03","폐업","03","폐업","2021-01-20","","","","033-251-1369","","","강원특별자치도 춘천시 석사동 27-2 롯데마트 석사점","강원특별자치도 춘천시 세실로 108, 롯데마트 석사점 2층 (석사동)","24315","디지털노리파크 춘천점","2022-02-24 08:22:13","I","2023-06-13 00:00:00","","266737.880921009","485159.020559127","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"16","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002019000001","2019-03-29","","03","폐업","03","폐업","2021-05-10","","","","033-255-3105","","","강원특별자치도 춘천시 삼천동 13-1 2동 105호","강원특별자치도 춘천시 수변공원길 11, 2동 105호 (삼천동)","24239","호텔공지천(ㅁㅊVR)","2021-06-03 08:58:58","I","2023-06-13 00:00:00","","262155.339956187","485796.818762133","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"17","테마파크업(기타)","03_07_08_P","4181000","CDFI5272001999000001","1999-08-11","","03","폐업","03","폐업","2006-06-16","","","","","","200-911","강원특별자치도 춘천시 남산면 강촌리 338-11","강원특별자치도 춘천시 남산면 강촌로 104","","강촌실내스포츠센타","2007-08-16 13:54:32","I","2023-06-13 00:00:00","","255949.37912285","478836.748410868","신고테마파크업","테마파크업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","74.32","","0","N","N","N","N","","","0","","","","74",
"18","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002003000001","2003-05-12","","03","폐업","03","폐업","2014-11-07","","","","033)240-8000","","200-200","강원특별자치도 춘천시 삼천동 792","강원특별자치도 춘천시 스포츠타운길 317  (삼천동)","","두산큐벡스(주)라데나콘도","2014-11-07 16:43:52","I","2023-06-13 00:00:00","","260973.682494517","485795.52502275","신고테마파크업","테마파크업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","543.7","","0","N","N","N","N","","","0","","","","544",
"19","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002024000007","2024-10-16","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 동내면 신촌리 183-1","강원특별자치도 춘천시 동내면 순환대로 808-42","24399","춘천신촌캠프장","2025-09-30 10:10:42","U","2025-10-02 02:40:00","","268500.522649602","483558.979020027","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","1","","","","","","","0","","","","0",
"20","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002020000001","2020-05-26","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 온의동 511 이마트","강원특별자치도 춘천시 경춘로 2353, 이마트 2층 (온의동)","24435","주식회사 케이커머스","2025-05-13 11:00:29","U","2025-05-15 02:40:00","","263141.943193102","484821.289677657","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"21","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002020000002","2020-10-21","","01","영업/정상","13","영업중","","","","","033-255-2774","","","강원특별자치도 춘천시 근화동 175 춘천꿈자람어린이공원","강원특별자치도 춘천시 평화로 26, 춘천꿈자람어린이공원 (근화동)","24242","춘천꿈자람어린이공원 실내공원","2025-02-24 10:51:42","U","2025-02-26 02:40:00","","263381.720506159","487217.825086518","신고테마파크업","","","2","","","","","2","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"22","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002021000001","2021-02-03","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 사북면 지암리 578-1","강원특별자치도 춘천시 사북면 화악지암길 186","24200","자연에 머물다 캠핑장","2025-09-30 10:11:16","U","2025-10-02 02:40:00","","251355.767922683","496732.248959249","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"23","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002021000002","2021-06-14","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 신동면 증리 425-5","강원특별자치도 춘천시 신동면 금병의숙길 9-18","24412","브이스페이스","2025-02-15 10:50:49","U","2025-02-17 02:40:00","","263004.731189241","479449.263938293","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"24","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002023000001","2023-04-18","","01","영업/정상","13","영업중","","","","","033-818-2020","","","강원특별자치도 춘천시 퇴계동 493-18","강원특별자치도 춘천시 솟발1길 4-33, 2층 (퇴계동)","24455","점핑몬스터 춘천점","2025-02-15 10:56:09","U","2025-02-17 02:40:00","","264371.995174194","483111.371882425","신고테마파크업","","자연녹지지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"25","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002016000003","2016-12-01","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 죽림동 189 브라운가","강원특별자치도 춘천시 중앙로67번길 18, 4115~4119,6113,6119,61121호 (죽림동, 브라운가)","24354","컬쳐스페이스","2025-02-15 10:40:23","U","2025-02-17 02:40:00","","263954.075694438","486406.885561246","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","592.89","","0","","","","","","","0","","","","593",
"26","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002017000001","2017-05-30","","01","영업/정상","13","영업중","","","","","033-261-2616","","","강원특별자치도 춘천시 석사동 880-3","강원특별자치도 춘천시 퇴계농공로 20, 6층 (석사동)","24414","봉스키즈카페","2025-02-15 10:52:13","U","2025-02-17 02:40:00","","265430.321877481","483479.866333666","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"27","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002017000003","2017-06-02","","01","영업/정상","13","영업중","","","","","033-264-1230","","","강원특별자치도 춘천시 동내면 거두리 912-2","강원특별자치도 춘천시 동내면 춘천순환로 63, 2층","24400","키크는 나무","2025-02-15 10:35:59","U","2025-02-17 02:40:00","","266014.006883551","483972.072375063","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"28","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002017000005","2017-06-26","","01","영업/정상","13","영업중","","","","","242-2017","","","강원특별자치도 춘천시 동면 장학리 234","강원특별자치도 춘천시 동면 춘천순환로 600","24213","퍼플 큐비쥬 키즈카페","2025-02-15 10:39:21","U","2025-02-17 02:40:00","","266540.279685759","488014.164781552","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"29","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002017000006","2017-06-29","","01","영업/정상","13","영업중","","","","","254-5860","","","강원특별자치도 춘천시 우두동 707-1","강원특별자치도 춘천시 충열로79번길 37 (우두동)","24226","우두 키즈카페","2025-10-10 09:44:31","U","2025-10-12 02:40:00","","264386.876770642","488839.474051973","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","442.2","","0","","","","","","","0","","","","442",
"30","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002017000008","2017-08-28","","01","영업/정상","13","영업중","","","","","033-264-2279","","","강원특별자치도 춘천시 퇴계동 141 홈플러스","강원특별자치도 춘천시 김유정로 1840, 홈플러스 지하2층 (퇴계동)","24423","상상노리","2025-02-15 10:49:45","U","2025-02-17 02:40:00","","264597.191878957","483368.29049207","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","2","","","","","","","0","","","","0",
"31","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002024000003","2024-08-13","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 남산면 창촌리 546","강원특별자치도 춘천시 남산면 둔일길 202","24465","다볼펜션","2025-09-12 13:48:23","U","2025-09-14 02:40:00","","254918.770031115","474836.456464295","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","1","","","","","","","0","","","","0",
"32","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002024000004","2024-08-16","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 온의동 109","강원특별자치도 춘천시 춘주로 55, 3층 (온의동)","24435","옥토넛키즈카페 춘천점","2025-02-15 11:05:33","U","2025-02-17 02:40:00","","263012.687064638","484869.608953863","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","1","","","","","","","0","","","","0",
"33","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002024000002","2024-07-29","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 동산면 군자리 산 403 춘천숲자연휴양림","강원특별자치도 춘천시 동산면 종자리로 224-104, 춘천숲자연휴양림","24409","춘천숲자연휴양림","2025-02-15 11:01:51","U","2025-02-17 02:40:00","","265564.285862455","471654.290023839","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"34","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002024000001","2024-06-03","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 동산면 조양리 산 199 라비에벨 컨트리클럽","강원특별자치도 춘천시 동산면 종자리로 436, 라비에벨 컨트리클럽","24410","라비에벨","2025-09-30 10:13:40","U","2025-10-02 02:40:00","","266801.723069835","471255.505860593","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"35","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002025000002","2025-04-22","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 삼천동 67-10","강원특별자치도 춘천시 옛경춘로 732, 1층 (삼천동)","24431","월드킹 춘천점","2025-05-01 09:29:33","U","2025-05-03 02:40:00","","262221.389398696","484690.99453548","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"36","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002025000001","2025-03-04","","01","영업/정상","13","영업중","","","","","033-252-2588","","","강원특별자치도 춘천시 퇴계동 523-23","강원특별자치도 춘천시 안마산로 128 (퇴계동)","24455","플레이모두","2025-03-04 18:41:48","I","2025-03-06 00:10:58","","","","신고테마파크업","","자연녹지지역","4","기타","","","근린생활시설","4","0","0","0","","","0","0","","0","0","","0","93.75","","5","","","","","","","0","","","","94",
"37","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002023000004","2023-10-05","","01","영업/정상","13","영업중","","","","","070-8860-4866","","","강원특별자치도 춘천시 조양동 34 미도파아파트","강원특별자치도 춘천시 금강로 68-9, 미도파아파트엠백화점 지하1층 (조양동)","24353","몬스터파크 주식회사 춘천지점","2025-02-15 10:58:49","U","2025-02-17 02:40:00","","264033.833068137","486464.959442249","신고테마파크업","","일반상업지역","0","","","","","0","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"38","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002023000003","2023-09-19","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 남산면 백양리 159","강원특별자치도 춘천시 남산면 서백길 585","24464","자유인의 카라반","2025-02-15 10:57:43","U","2025-02-17 02:40:00","","250536.316585791","478126.717269338","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"39","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002012000001","2012-04-16","","03","폐업","34","영업장폐쇄","2012-10-24","","","","","","200-111","강원특별자치도 춘천시 소양로1가 98-27","강원특별자치도 춘천시 소양로 201-1 (소양로1가)","200-111","소양놀이랜드","2012-10-25 11:41:28","I","2023-06-13 00:00:00","","263747.112953362","487875.197681323","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"40","테마파크업(기타)","03_07_08_P","4191000","CDFI5272002022000008","2022-07-06","","02","휴업","02","휴업","","2025-10-24","2026-03-31","","","","","강원특별자치도 원주시 흥업면 사제리 1028-2","강원특별자치도 원주시 흥업면 복거리길 40","26356","행복앤피크닉","2025-10-24 15:09:36","U","2025-10-26 02:40:00","","","","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","199.5","","0","","","","","","","0","","","","200",
"41","테마파크업(기타)","03_07_08_P","4191000","CDFI5272002023000002","2023-07-14","","03","폐업","03","폐업","2023-08-10","","","","","","","강원특별자치도 원주시 지정면 판대리 577-4","강원특별자치도 원주시 지정면 오크밸리2길 40","26357","오크밸리 수영장","2023-08-10 13:08:55","U","2023-08-12 02:40:00","","271451.223493249","434371.373123856","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"42","테마파크업(기타)","03_07_08_P","4191000","CDFI5272002023000006","2023-08-16","","03","폐업","03","폐업","2023-08-22","","","","","","","강원특별자치도 원주시 지정면 간현리 산 115-5","","","간현관광지 물놀이장","2025-10-16 11:22:41","U","2025-10-18 02:40:00","","272935.961523929","429501.551416891","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"43","테마파크업(기타)","03_07_08_P","4191000","CDFI5272002023000004","2023-07-19","","03","폐업","03","폐업","2025-09-10","","","","","","","강원특별자치도 원주시 신림면 황둔리 1580","","","우주캠프","2025-09-10 15:12:12","U","2025-09-12 02:40:00","","300911.586427826","417151.109508989","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"44","테마파크업(기타)","03_07_08_P","4191000","CDFI5272001995000001","1995-05-31","","03","폐업","03","폐업","2014-01-21","","","","033)732-3700","","220-821","강원특별자치도 원주시 지정면 월송리 산 2-2","강원특별자치도 원주시 지정면 신평석화로 236","220-821","동서울레스피아","2014-01-21 11:37:34","I","2023-06-13 00:00:00","","","","신고테마파크업","테마파크업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","1400","1종","0","N","N","N","N","","","0","","","","1400",
"45","테마파크업(기타)","03_07_08_P","4191000","CDFI5272001995000002","1995-08-11","","03","폐업","03","폐업","2008-01-28","","","","033)731-4522","","220-836","강원특별자치도 원주시 소초면 흥양리 1235-1","강원특별자치도 원주시 소초면 황골로 142-1","220-836","그린미니골프","2013-12-16 08:35:08","I","2023-06-13 00:00:00","","287873.687466914","431696.403668871","신고테마파크업","테마파크업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","N","N","N","N","","","0","","","","0",
"46","테마파크업(기타)","03_07_08_P","4191000","CDFI5272002011000001","2011-01-26","","03","폐업","03","폐업","2014-02-20","","","","033-765-2630","","220-944","강원특별자치도 원주시 단구동 1511-2 스타월드5층 (롯데시네마 남원주)","강원특별자치도 원주시 서원대로 396 (단구동)","220-944","롯데시네마 남원주","2014-02-20 10:50:15","I","2023-06-13 00:00:00","","284012.197863588","425846.256339564","신고테마파크업","","일반상업지역","9","주택가주변","","","문화시설","7","2","0","0","","","0","0","","0","0","","0","1793.5","유기기구 4종(안전점검 비대상)","0","Y","","","Y","","","0","","","","1794",
"47","테마파크업(기타)","03_07_08_P","4191000","CDFI5272002011000002","2011-06-28","","03","폐업","03","폐업","2011-10-25","","","","","","220-903","강원특별자치도 원주시 중앙동 63 관광호텔 4층","강원특별자치도 원주시 중앙시장길 32-1 (중앙동)","220-903","신개념놀이랜드","2014-01-28 08:45:53","I","2023-06-13 00:00:00","","284113.555870593","428054.723545349","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"48","테마파크업(기타)","03_07_08_P","4191000","CDFI5272002014000001","2014-12-19","","03","폐업","03","폐업","2015-07-10","","","","761-3339","","220-944","강원특별자치도 원주시 단구동 1512-2","강원특별자치도 원주시 서원대로 408 (단구동)","220-944","키즈스마일","2015-09-08 17:32:48","I","2023-06-13 00:00:00","","284124.423574889","425753.203190806","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"49","테마파크업(기타)","03_07_08_P","4191000","CDFI5272002016000001","2016-07-08","","03","폐업","03","폐업","2021-04-05","","","","033-735-1977","","","강원특별자치도 원주시 단계동 1186-4","강원특별자치도 원주시 바우골길 5 (단계동)","26379","타요키즈카페","2021-04-05 17:03:10","I","2023-06-13 00:00:00","","281307.029602975","428590.878386568","신고테마파크업","","","0","","","","","1","0","0","0","","","0","0","","0","0","","0","0","정글짐, 트램플린, 밧데리카","3","","","","","","","0","","","","0",
"50","테마파크업(기타)","03_07_08_P","4191000","CDFI5272002016000003","2016-09-19","","03","폐업","03","폐업","2018-08-06","","","","","","","강원특별자치도 원주시 단계동 873","강원특별자치도 원주시 서원대로 165-3 (단계동, 아트스페이스빌딩)","26436","홈런짱야구연습장","2018-09-06 14:34:43","I","2023-06-13 00:00:00","","282315.673637127","427402.924552547","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","5","","","","","","","0","","","","0",
"51","테마파크업(기타)","03_07_08_P","4191000","CDFI5272002017000001","2017-06-15","","03","폐업","03","폐업","2020-03-12","","","","","","","강원특별자치도 원주시 학성동 991-2","강원특별자치도 원주시 원일로 233, 2층 (학성동)","26413","키즈로","2020-12-21 22:35:29","I","2023-06-13 00:00:00","","283473.536558182","428693.830689917","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"52","테마파크업(기타)","03_07_08_P","4191000","CDFI5272002017000002","2017-06-29","","03","폐업","03","폐업","2017-10-16","","","","","","","강원특별자치도 원주시 단계동 873","강원특별자치도 원주시 서원대로 165-3 (단계동, 아트스페이스빌딩)","26436","티놀자","2017-10-16 16:23:17","I","2023-06-13 00:00:00","","282315.673637127","427402.924552547","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"53","테마파크업(기타)","03_07_08_P","4191000","CDFI5272002017000004","2017-07-11","","03","폐업","03","폐업","2023-02-17","","","","033-766-1440","","","강원특별자치도 원주시 단구동 1589-4","강원특별자치도 원주시 단구로 418, 지하 1층 (단구동, 성일아파트)","26489","점폴린파크","2023-02-17 10:33:11","I","2023-06-13 00:00:00","","284364.526439607","424684.11669714","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"54","테마파크업(기타)","03_07_08_P","4191000","CDFI5272002017000005","2017-09-19","","03","폐업","03","폐업","2020-04-23","","","","","","","강원특별자치도 원주시 문막읍 건등리 1705-3","강원특별자치도 원주시 문막읍 건등로 36","26370","해피점핑(문막)","2020-05-22 18:00:22","I","2023-06-13 00:00:00","","272623.974705933","423802.526658166","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
