"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","직원수","허가기간시작일자","허가기간종료일자",
"62","급수공사대행업","09_30_06_P","4181000","418100016201800012","2018-09-21","","01","영업/정상","11","정상","","","","","033-263-4674","","","강원특별자치도 춘천시 동내면 사암리 ***-*","강원특별자치도 춘천시 동내면 사래울*길 ***","","(주)수정건설","2018-09-21 09:30:15","I","2023-06-13 00:00:00","","268233.211482143","480501.185729246","5","20180921","20210920",
"63","급수공사대행업","09_30_06_P","4181000","418100016201800013","2018-10-12","","01","영업/정상","11","정상","","","","","033-241-3144","","","강원특별자치도 춘천시 신동 ***-*","강원특별자치도 춘천시 사랑말*길 *** (신동)","","(합)동부포장건설","2018-10-12 12:38:34","I","2023-06-13 00:00:00","","264386.147450766","492955.764407111","0","20181012","20211011",
"64","급수공사대행업","09_30_06_P","4181000","418100016201700005","2017-05-20","","01","영업/정상","11","정상","","","","","033-241-0494","","","강원특별자치도 춘천시 약사동 ***","강원특별자치도 춘천시 춘천로**번길 **, *층 *호 (약사동)","","(합)토성건설","2017-05-19 09:37:15","I","2023-06-13 00:00:00","","263525.942018217","485668.830859704","0","20170520","20200519",
"65","급수공사대행업","09_30_06_P","4181000","418100016201700007","2017-05-26","","01","영업/정상","11","정상","","","","","","","","강원특별자치도 춘천시 후평동 ***-**","","","(주)현대배관","2017-05-22 10:45:04","I","2023-06-13 00:00:00","","265426.851298193","487384.159796493","0","20170526","20200525",
"66","급수공사대행업","09_30_06_P","4181000","418100016201700008","2017-07-19","","01","영업/정상","11","정상","","","","","033-241-9836","","","강원특별자치도 춘천시 우두동 ***-*","강원특별자치도 춘천시 우두상리길 *-* (우두동)","","국정건설(주)","2017-07-31 14:46:22","I","2023-06-13 00:00:00","","265252.086963969","489677.771596376","0","20170805","20200804",
"67","급수공사대행업","09_30_06_P","4181000","418100016201700009","2017-07-24","","01","영업/정상","11","정상","","","","","033-263-7858","","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 후석로**번길 ** (석사동)","","티에스건설주식회사","2017-07-31 14:46:35","I","2023-06-13 00:00:00","","265006.260466628","484475.78826163","0","20170721","20200720",
"68","급수공사대행업","09_30_06_P","4181000","418100016201700010","2017-07-31","","01","영업/정상","11","정상","","","","","033-244-8978","","","강원특별자치도 춘천시 동내면 신촌리 ***-*","강원특별자치도 춘천시 동내면 장안길 **","","(주)남토건설","2017-07-31 14:46:50","I","2023-06-13 00:00:00","","267159.57129252","482467.323293313","0","20170721","20200720",
"69","급수공사대행업","09_30_06_P","4181000","418100016201700011","2017-09-01","","01","영업/정상","11","정상","","","","","033-261-3900","","","","강원특별자치도 춘천시 영서로 ****-* (근화동)","","(주)남광건설","2017-09-01 11:34:02","I","2023-06-13 00:00:00","","262638.225","486549.07","0","20170901","20200831",
"70","급수공사대행업","09_30_06_P","4181000","418100016201700012","2017-09-11","","01","영업/정상","11","정상","","","","","033-244-4900","","","","강원특별자치도 춘천시 공원*길 * (퇴계동)","","(합)효성건설","2017-09-11 10:42:51","I","2023-06-13 00:00:00","","263717.14537094","484543.106368181","0","20170911","20200910",
"71","급수공사대행업","09_30_06_P","4181000","418100016201700013","2017-10-11","","01","영업/정상","11","정상","","","","","033-262-2109","","","","강원특별자치도 춘천시 효자로 *** (퇴계동)","","(합)서현개발","2017-10-11 09:55:20","I","2023-06-13 00:00:00","","264510.454517541","485918.680091633","6","20171012","20201011",
"72","급수공사대행업","09_30_06_P","4181000","418100016201700014","2017-10-17","","01","영업/정상","11","정상","","","","","033-262-1824","","","","강원특별자치도 춘천시 동내면 학곡서*길 **","","돌사랑건설(주)","2017-10-17 14:33:25","I","2023-06-13 00:00:00","","266640.425799565","481628.292341411","4","20171017","20201016",
"73","급수공사대행업","09_30_06_P","4181000","418100016201800001","2018-01-25","","01","영업/정상","11","정상","","","","","033-262-4507","","","강원특별자치도 춘천시 동내면 사암리 ***-*","강원특별자치도 춘천시 동내면 사래울*길 ***","","(주)다올","2018-02-12 18:04:20","I","2023-06-13 00:00:00","","268233.211482143","480501.185729246","0","20170309","20200308",
"74","급수공사대행업","09_30_06_P","4181000","418100016201800002","2018-01-29","","01","영업/정상","11","정상","","","","","033-243-7741","","","강원특별자치도 춘천시 온의동 ***-*","강원특별자치도 춘천시 충혼길**번길 *-** (온의동)","","희영건설(주)","2018-02-12 18:04:08","I","2023-06-13 00:00:00","","263252.642531248","484374.581182559","0","20160210","20180209",
"75","급수공사대행업","09_30_06_P","4181000","418100016201800003","2018-02-06","","01","영업/정상","11","정상","","","","","033-243-7742","","","강원특별자치도 춘천시 온의동 ***-*","강원특별자치도 춘천시 충혼길**번길 *-** (온의동)","","(주)희영건설","2018-02-06 17:19:24","I","2023-06-13 00:00:00","","263252.642531248","484374.581182559","0","20180206","20210205",
"76","급수공사대행업","09_30_06_P","4181000","418100016201800014","2018-10-31","","01","영업/정상","11","정상","","","","","261-5747","","","강원특별자치도 춘천시 동내면 거두리 ***-*","강원특별자치도 춘천시 동내면 거두길 ***-**","","(주)가경건설","2018-10-31 11:43:05","I","2023-06-13 00:00:00","","268745.049399604","484427.867628968","0","20161219","20191218",
"77","급수공사대행업","09_30_06_P","4181000","418100016201900001","2019-02-26","","01","영업/정상","11","정상","","","","","033-242-0378","","","강원특별자치도 춘천시 동면 장학리 *","강원특별자치도 춘천시 동면 가락재로 *","","(주)정수건설","2019-02-26 09:50:35","I","2023-06-13 00:00:00","","268108.428366998","488822.913158491","0","20190226","20220225",
"78","급수공사대행업","09_30_06_P","4181000","418100016201900002","2019-03-08","","01","영업/정상","11","정상","","","","","033-255-9982","","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 세실로***번길 **-* (후평동)","","(주)해광건설","2019-03-08 10:43:49","I","2023-06-13 00:00:00","","266668.520600246","486219.276093273","0","20190308","20220307",
