"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"11","전문휴양업","03_07_10_P","4261000","CDFI2262102023000001","2023-03-07","","01","영업/정상","13","영업중","","","","","042-580-5551","","","강원특별자치도 횡성군 둔내면 삽교리 산 1-4 청태산자연휴양림","강원특별자치도 횡성군 둔내면 청태산로 610, 청태산자연휴양림","25261","국립청태산자연휴양림","2023-03-07 10:39:56","I","2023-06-13 00:00:00","","313586.467955679","446862.670524524","전문휴양업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"12","전문휴양업","03_07_10_P","4281000","CDFI2262102017000001","2017-08-08","","01","영업/정상","13","영업중","","","","","02-6943-2596","","","강원특별자치도 평창군 대관령면 용산리 649-1","강원특별자치도 평창군 대관령면 올림픽로 1169","25352","바랑재","2024-04-29 16:07:31","U","2024-05-01 02:40:00","","345411.382710616","458662.298299928","전문휴양업","","","0","","","","","0","0","0","2237","","","0","0","","0","0","","0","0","","0","","","","","","","24999999500","","","","0",
"13","전문휴양업","03_07_10_P","4281000","CDFI2262102022000001","2022-12-16","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 평창군 진부면 수항리 산 10","강원특별자치도 평창군 진부면 아차골길 132","25337","국립두타산자연휴양림","2025-10-20 16:01:30","U","2025-10-23 02:40:00","","339852.60900334","451982.339953097","전문휴양업","","","0","","","","","0","0","0","1041","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"14","전문휴양업","03_07_10_P","4291000","CDFI2262102017000001","2017-03-16","","01","영업/정상","13","영업중","","","","","033 563 9011","","","강원특별자치도 정선군 임계면 임계리 산 8-12","강원특별자치도 정선군 임계면 화천동길 351-100","26111","강원특별자치도산림과학연구원동부지원","2024-08-19 09:17:29","U","2024-08-21 02:40:00","","366315.365650597","452506.449706695","전문휴양업","","","0","기타","","","기타","0","0","36","26501","","","0","0","","0","0","","0","26501","","0","","","","","","","0","","","","26501",
"15","전문휴양업","03_07_10_P","4291000","CDFI2262102022000001","2022-12-28","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 정선군 정선읍 회동리 308-1 가리왕산 자연학습관","강원특별자치도 정선군 정선읍 가리왕산로 791, 가리왕산 자연학습관","26119","국립가리왕산자연휴양림","2023-02-09 17:44:41","I","2023-06-13 00:00:00","","338877.081146015","437205.104242333","전문휴양업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"16","전문휴양업","03_07_10_P","4291000","CDFI2262102018000001","2018-12-20","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 정선군 고한읍 고한리 5-26","강원특별자치도 정선군 고한읍 함백산로 1445-44","26157","㈜솔로몬 삼탄아트마인","2019-01-24 09:15:17","I","2023-06-13 00:00:00","","367110.792216938","410925.15858789","전문휴양업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","46030","","0","","","","","","","3830000130","","","","46030",
"17","전문휴양업","03_07_10_P","4291000","CDFI2262102020000001","2020-05-19","","01","영업/정상","13","영업중","","","","","033-562-8611","","","강원특별자치도 정선군 북평면 나전리 산 119","강원특별자치도 정선군 북평면 어래길 20","26100","로미지안가든","2023-09-18 14:52:24","U","2023-09-20 02:40:00","","345040.986300879","438398.100447804","전문휴양업","","","0","","","","","0","0","6","0","","","0","0","","0","0","","0","318480","","0","","","","","","","12330000400","","","","318480",
"18","전문휴양업","03_07_10_P","4301000","CDFI2262102003000001","2003-01-01","","01","영업/정상","13","영업중","","","","","033-458-9426","","","강원특별자치도 철원군 근남면 잠곡리 산 133-1 복주산자연휴양림","강원특별자치도 철원군 근남면 하오재로 818, 복주산자연휴양림","24065","국립복주산자연휴양림","2025-09-24 13:10:19","U","2025-09-26 02:40:00","","241743.540796788","517429.52622089","전문휴양업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","6070000100","","","","0",
"19","전문휴양업","03_07_10_P","4331000","CDFI2262102022000001","2022-11-28","","01","영업/정상","13","영업중","","","","","033-462-5031","","","강원특별자치도 인제군 북면 용대리 산 262-1 용대리자연자연휴양림","강원특별자치도 인제군 북면 연화동길 7, 용대리자연자연휴양림","24605","국립용대자연휴양림","2023-02-23 09:15:13","I","2023-06-13 00:00:00","","315413.385508003","525352.7231598","전문휴양업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","1938.04","","0","","","","","","","0","","","","1938",
"20","전문휴양업","03_07_10_P","4331000","CDFI2262102024000001","2024-08-13","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 인제군 북면 한계리 1259","강원특별자치도 인제군 북면 설악로 3340","24607","(주)설악아름다운동행","2025-02-12 11:16:20","U","2025-02-14 02:40:00","","309851.769075345","515827.249943823","전문휴양업","","","0","","","","식품위생시설","0","0","0","0","","","0","0","","0","0","","0","12821","","0","","","","","","","0","","","","12821",
"21","전문휴양업","03_07_10_P","4341000","CDFI2262101995000001","1995-08-01","","01","영업/정상","13","영업중","","","","","033-681-5030","","219-804","강원특별자치도 고성군 간성읍 흘리 72","강원특별자치도 고성군 간성읍 흘리령길 52","24742","알프스리조트","2011-10-30 15:52:05","I","2023-06-13 00:00:00","","320554.235441442","529990.769912525","전문휴양업","관광사업","관리지역","10","기타","","","숙박시설","8","2","0","0","","","0","0","","0","0","","0","641187","","0","","","","","","","715000000","","","","641187",
"22","전문휴양업","03_07_10_P","4341000","CDFI2262102024000001","2024-02-02","","01","영업/정상","13","영업중","","","","","0336306300","","","강원특별자치도 고성군 토성면 인흥리 506-6 파인리즈 컨드리클럽","강원특별자치도 고성군 토성면 잼버리동로 267, 파인리즈 컨드리클럽","24763","(주)에이치제이매그놀리아용평파인리즈골프앤리조트","2025-02-17 15:46:44","U","2025-02-19 02:40:00","","334472.217302567","527754.114891642","전문휴양업","","관리지역","3","기타","","","숙박시설","3","0","0","0","","","0","0","","0","0","","0","42621.49","","0","","","","","","","0","","","","42621",
"23","전문휴양업","03_07_10_P","4351000","CDFI2262102022000001","2022-12-05","","01","영업/정상","13","영업중","","","","","033-673-1806","","","강원특별자치도 양양군 서면 서림리 산 89 미천골자연휴양림","강원특별자치도 양양군 서면 미천골길 115, 미천골자연휴양림","25040","국립미천골자연휴양림","2025-10-13 13:50:03","U","2025-10-15 02:40:00","","336299.569801366","497208.478783187","전문휴양업","","","0","","","","","0","0","25","2196","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
